Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.232602685714104,3.787425411705837,2.414999107086278,6.715837305385479,11.3643712184882,19.843516390715582,3.938975975143514,3.5785413208380565,3.8273931834586925,16.018091964015692,1628.3192138671875,585.6036376953125,1107.0506591796875,609.4895629882812,26.202960968017578,1336.8486328125,266.2498474121094,877.8011474609375,2832.513427734375,507.1424560546875,2045.109130859375,269.0750732421875,1152.0159912109375,838.2979125976562,528.1893310546875,1343.5572509765625,292.7176208496094,1706.596923828125,952.1871948242188,1176.66015625,0.1764705926179886,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1764705926179886,0.19215688109397888,0.1725490242242813,0.1725490242242813,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.13333334028720856,0.13333334028720856,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.13333334028720856,0.1666666716337204,265.3946838378906,-72.05388641357422,-0.6550670266151428,260.73077392578125,-70.09352111816406,0.2857814133167267,260.73077392578125,-70.09352111816406,0.2857814133167267,266.0522766113281,-73.14080047607422,-2.178468942642212,263.2871398925781,-71.74153900146484,-1.926397681236267,263.2871398925781,-71.74153900146484,-1.926397681236267,265.966552734375,-70.94363403320312,0.04273990914225578,265.966552734375,-70.94363403320312,0.04273990914225578,265.3946838378906,-72.05388641357422,-0.6550670266151428,265.3946838378906,-72.05388641357422,-0.6550670266151428,4.816464135672166,4.0095105284172945,1.0,0.009612947658402204,1.5,0.0,9.97,100
L-1:2,3.347091445667203,10.863056206108872,13.366180278085102,2.590604744623041,10.854036007423481,10.387448605783142,14.492455052617021,11.358236811617816,4.861934880462833,10.08928034979276,0.0,0.0,1467.2589111328125,1406.21630859375,615.0792236328125,1633.1307373046875,139.4055633544922,950.7105102539062,955.6737060546875,761.0110473632812,1348.418212890625,142.23861694335938,1429.72314453125,1036.2415771484375,1065.85693359375,1481.432373046875,766.5813598632812,1517.106201171875,1344.4898681640625,1262.91796875,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.18039216101169586,0.1764705926179886,0.1764705926179886,0.1725490242242813,0.1764705926179886,0.13333334028720856,0.13333334028720856,0.1666666716337204,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,261.16949462890625,-70.52609252929688,-3.002458333969116,265.4561462402344,-72.55209350585938,-4.532355785369873,264.2720642089844,-72.9725112915039,-4.638580799102783,264.2720642089844,-72.9725112915039,-4.638580799102783,265.0731201171875,-74.55659484863281,-5.854459285736084,264.72613525390625,-74.2422866821289,-3.6849594116210938,264.72613525390625,-74.2422866821289,-3.6849594116210938,264.72613525390625,-74.2422866821289,-3.6849594116210938,263.92803955078125,-73.46712493896484,-3.336826801300049,263.92803955078125,-73.46712493896484,-3.336826801300049,10.20429904607049,6.338421855149467,1.0,0.008504283674440742,8.5,0.0,10.21,100
L-1:3,9.953507906732819,4.487067453557942,7.004210671053225,1.4158293235551223,7.745782651960643,11.113317378285837,1.3201947591554468,9.052421721828741,9.378838131978025,7.6436295305648105,1569.130615234375,421.2772521972656,1031.863037109375,486.2158508300781,369.30194091796875,1180.48876953125,271.178955078125,856.871337890625,1230.187255859375,1190.4476318359375,1311.12060546875,220.05789184570312,1434.465576171875,1195.316650390625,999.0091552734375,1486.447265625,627.3435668945312,1764.7393798828125,1341.2557373046875,708.7027587890625,0.1764705926179886,0.1764705926179886,0.1725490242242813,0.1725490242242813,0.1764705926179886,0.1725490242242813,0.20000001788139343,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1666666716337204,0.13333334028720856,0.13333334028720856,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.20000001788139343,265.34527587890625,-69.47718811035156,-3.515685558319092,264.2123107910156,-68.98845672607422,-2.9845030307769775,264.2123107910156,-68.98845672607422,-2.9845030307769775,266.7422790527344,-70.36094665527344,-2.573293447494507,266.7422790527344,-70.36094665527344,-2.573293447494507,266.04248046875,-69.8226547241211,-2.1051878929138184,266.04248046875,-69.8226547241211,-2.1051878929138184,264.40850830078125,-69.42973327636719,-2.8524985313415527,264.40850830078125,-69.42973327636719,-2.8524985313415527,265.34527587890625,-69.47718811035156,-3.515685558319092,5.405467723828282,3.3146639572111716,-1.0,0.008622159090909092,5.0,0.0,12.14,36
L-1:4,9.83248320442959,24.604036070732054,2.776896702809211,1.6585072540135735,7.1071849425078,17.327821041546773,16.18704876930862,17.9990651279999,5.391934993341325,7.746405365143322,1022.6895141601562,20.709625244140625,658.3521728515625,463.8692626953125,92.82862854003906,530.6746215820312,515.7893676757812,1164.3675537109375,760.3629150390625,192.43304443359375,578.7466430664062,18.589017868041992,623.294677734375,382.42059326171875,340.92279052734375,731.5892333984375,33.70355987548828,794.1104125976562,561.5879516601562,494.0965576171875,0.20000001788139343,0.1725490242242813,0.1725490242242813,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.19607844948768616,0.2039215862751007,0.24313727021217346,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.20000001788139343,0.20000001788139343,263.5538024902344,-66.66917419433594,-4.24542236328125,263.7098083496094,-66.04832458496094,-4.051047325134277,266.7576599121094,-68.03548431396484,-2.8646204471588135,267.572509765625,-67.79634094238281,-2.484358072280884,267.572509765625,-67.79634094238281,-2.484358072280884,263.52618408203125,-66.17401885986328,-2.8609514236450195,263.86865234375,-66.92851257324219,-3.019333600997925,263.86865234375,-66.92851257324219,-3.019333600997925,261.8107604980469,-65.941162109375,-3.506481647491455,263.5538024902344,-66.66917419433594,-4.24542236328125,5.6864011814807,20.137018217272228,-1.0,0.013922515308525672,3.5,3.97,16.89,100
L-1:5,13.353966495420435,8.181266338763784,14.15152538750467,2.993248718337018,3.169839464103623,3.5886248471708226,3.8837204102319527,11.983077493412543,18.93730410620465,21.444402808904712,714.9730224609375,40.34934616088867,534.9916381835938,256.7472229003906,539.1312255859375,2071.7880859375,688.2247924804688,2742.732421875,1233.9022216796875,1026.98095703125,1502.2283935546875,109.0665512084961,794.7671508789062,700.8025512695312,608.484130859375,1854.412109375,912.8902587890625,993.2457885742188,275.8262023925781,313.68756103515625,0.1725490242242813,0.18039216101169586,0.1764705926179886,0.1764705926179886,0.1725490242242813,0.1764705926179886,0.18039216101169586,0.19607844948768616,0.18039216101169586,0.18039216101169586,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.13333334028720856,0.13333334028720856,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.1666666716337204,256.184326171875,-68.00743103027344,-4.841091632843018,264.1796569824219,-70.01091766357422,-2.64349365234375,264.1796569824219,-70.01091766357422,-2.64349365234375,264.1796569824219,-70.01091766357422,-2.64349365234375,258.37005615234375,-67.24396514892578,-3.434680938720703,258.37005615234375,-67.24396514892578,-3.434680938720703,259.33837890625,-67.74057006835938,-2.800143003463745,259.33837890625,-67.74057006835938,-2.800143003463745,258.4244384765625,-67.93546295166016,-5.621654987335205,258.4244384765625,-67.93546295166016,-5.621654987335205,14.042487751014344,13.152698822070382,-1.0,0.010088691796008869,4.0,0.0,13.0,100
L-1:6,13.772246203540176,1.1260785050721962,9.841169274451444,13.314023217242262,14.41498925753183,4.5339573600876575,13.08474517696606,15.417675111533313,0.5437476489452205,24.13790574562921,1481.0980224609375,366.0718078613281,960.4453125,1172.3072509765625,325.8797302246094,1385.4390869140625,617.3921508789062,1011.1135864257812,1102.9764404296875,878.4415893554688,990.8316650390625,258.5589599609375,910.93798828125,1027.7921142578125,1110.6492919921875,1919.42626953125,277.0826416015625,2447.922607421875,1103.3643798828125,882.871826171875,0.1764705926179886,0.1764705926179886,0.18039216101169586,0.1725490242242813,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.18039216101169586,0.1764705926179886,0.18431372940540314,0.20000001788139343,0.13333334028720856,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.13333334028720856,258.1884460449219,-63.878299713134766,-4.662726402282715,258.1884460449219,-63.878299713134766,-4.662726402282715,258.1884460449219,-63.878299713134766,-4.662726402282715,264.94256591796875,-67.3798599243164,-6.358480930328369,264.94256591796875,-67.3798599243164,-6.358480930328369,269.24713134765625,-68.26034545898438,-5.619456768035889,260.5992431640625,-64.22278594970703,-4.215335845947266,260.5992431640625,-64.22278594970703,-4.215335845947266,260.5992431640625,-64.22278594970703,-4.215335845947266,260.5992431640625,-64.22278594970703,-4.215335845947266,22.858555562274873,5.647242237475177,-1.0,0.008560117302052785,3.0,0.0,8.34,68
L-1:7,4.346881340508024,13.426259292490542,20.553406457848524,26.588033843415182,15.227432720309922,5.88726853206609,20.459745083365355,14.849543629993995,2.360854319097017,9.992860539379986,1654.5179443359375,160.18890380859375,1245.862060546875,1336.1072998046875,355.01104736328125,1555.001708984375,818.3511962890625,2128.50634765625,1151.41259765625,1511.8497314453125,894.0877075195312,589.216064453125,1736.6138916015625,862.1694946289062,1020.3223876953125,1739.6025390625,167.0366973876953,1030.402587890625,1649.71875,1141.952392578125,0.1764705926179886,0.1725490242242813,0.1764705926179886,0.1764705926179886,0.1725490242242813,0.1764705926179886,0.1764705926179886,0.18039216101169586,0.18039216101169586,0.1764705926179886,0.13333334028720856,0.20000001788139343,0.1666666716337204,0.1666666716337204,0.20000001788139343,0.13333334028720856,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.13333334028720856,266.0333251953125,-72.36693572998047,-11.0564603805542,266.0333251953125,-72.36693572998047,-11.0564603805542,266.62567138671875,-71.78829956054688,-9.687956809997559,266.62567138671875,-71.78829956054688,-9.687956809997559,266.62567138671875,-71.78829956054688,-9.687956809997559,267.09698486328125,-72.67426300048828,-8.84778881072998,259.54083251953125,-68.5561294555664,-11.031144142150879,259.54083251953125,-68.5561294555664,-11.031144142150879,259.54083251953125,-68.5561294555664,-11.031144142150879,266.0333251953125,-72.36693572998047,-11.0564603805542,20.350063097482796,6.248197017747855,-1.0,0.00803030303030303,14.0,0.0,8.48,36
L-1:8,14.341148639236774,29.341885967768455,25.772016554748486,16.40642689555511,7.075592318690724,7.871788808164705,7.655273565785226,4.472709709878717,18.408788731856784,5.933164564615738,1125.4053955078125,485.9871826171875,763.7388916015625,654.5308227539062,539.3880615234375,521.5525512695312,348.0662536621094,1487.712646484375,880.2725830078125,906.15576171875,1093.96240234375,159.56455993652344,930.391845703125,725.9970092773438,633.074951171875,404.1489562988281,391.4561767578125,973.9910888671875,924.9620361328125,604.490234375,0.1725490242242813,0.1725490242242813,0.16862745583057404,0.16862745583057404,0.1725490242242813,0.1764705926179886,0.1764705926179886,0.20000001788139343,0.1764705926179886,0.1725490242242813,0.1666666716337204,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.1666666716337204,0.1666666716337204,0.13333334028720856,0.20000001788139343,0.1666666716337204,0.13333334028720856,267.2891845703125,-67.23125457763672,-4.887152671813965,267.259765625,-68.83769226074219,-5.4108757972717285,264.19903564453125,-67.9452133178711,-6.3220672607421875,264.19903564453125,-67.9452133178711,-6.3220672607421875,264.19903564453125,-67.9452133178711,-6.3220672607421875,265.8804016113281,-69.98548889160156,-7.104887008666992,265.8804016113281,-69.98548889160156,-7.104887008666992,266.4865417480469,-68.1306381225586,-5.868800640106201,263.8002014160156,-65.9647216796875,-5.598145484924316,267.2891845703125,-67.23125457763672,-4.887152671813965,12.510223848557684,19.396061574089792,1.0,0.010802785923753668,7.5,4.14,12.63,68
L-1:9,24.48723813294164,4.026424190876692,12.274573119596424,15.0305528585132,4.899906507675016,7.8070507597968195,11.686333849490207,2.422392686594982,1.1284570101541174,3.116304596275288,1716.155029296875,1650.4766845703125,785.4057006835938,1076.406982421875,185.08892822265625,787.8256225585938,482.927001953125,1668.339599609375,867.673828125,852.3062744140625,846.8849487304688,277.8752136230469,1611.0926513671875,721.5661010742188,625.8582763671875,1275.360595703125,433.986572265625,1215.9251708984375,1102.313720703125,1021.879150390625,0.1725490242242813,0.1725490242242813,0.1725490242242813,0.1764705926179886,0.20000001788139343,0.1764705926179886,0.22745099663734436,0.18039216101169586,0.1764705926179886,0.1725490242242813,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.13333334028720856,0.13333334028720856,263.4830017089844,-70.67024993896484,-6.246737957000732,262.5704650878906,-69.79269409179688,-8.210309982299805,262.8212890625,-69.6866683959961,-7.683940410614014,262.8212890625,-69.6866683959961,-7.683940410614014,262.3416748046875,-69.20378112792969,-6.240022659301758,260.03179931640625,-70.47745513916016,-5.034214496612549,260.03179931640625,-70.47745513916016,-5.034214496612549,261.93994140625,-71.8752670288086,-7.24039888381958,261.93994140625,-71.8752670288086,-7.24039888381958,263.4830017089844,-70.67024993896484,-6.246737957000732,5.024294754039981,8.14520577988878,-1.0,0.009773892773892774,3.0,0.0,11.98,100
L-1:10,3.0468563032264364,10.598994728202412,6.9998380718324125,15.04415523372724,28.010559518881934,21.06468496719522,20.552955391598296,19.08394764433519,4.872245663899402,6.4126612778997725,1615.5203857421875,435.22991943359375,1434.1685791015625,1337.9615478515625,524.3182373046875,1107.341064453125,1114.5897216796875,997.2035522460938,1350.2718505859375,994.6411743164062,1308.341064453125,257.7655944824219,815.2420654296875,1006.5303955078125,610.5610961914062,1434.4080810546875,12.310434341430664,1373.42041015625,1342.961669921875,689.2529296875,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.1764705926179886,0.18039216101169586,0.19607844948768616,0.21176472306251526,0.1764705926179886,0.1725490242242813,0.1666666716337204,0.20000001788139343,0.20000001788139343,0.1666666716337204,0.20000001788139343,0.1666666716337204,0.23333334922790527,0.20000001788139343,0.20000001788139343,0.1666666716337204,264.0308532714844,-66.95731353759766,-6.176878452301025,264.0308532714844,-66.95731353759766,-6.176878452301025,264.0308532714844,-66.95731353759766,-6.176878452301025,263.23284912109375,-67.6048355102539,-6.969455242156982,263.23284912109375,-67.6048355102539,-6.969455242156982,263.23284912109375,-67.6048355102539,-6.969455242156982,258.996826171875,-67.52052307128906,-7.668786525726318,258.996826171875,-67.52052307128906,-7.668786525726318,263.82415771484375,-71.06807708740234,-7.580221176147461,263.82415771484375,-71.06807708740234,-7.580221176147461,31.251620961170303,5.546185079654891,1.0,0.009296068796068797,8.0,0.0,10.81,0
