Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,11.615242366090524,3.1452534534666885,0.9149046412366638,4.408117693342037,1.4337487576532402,3.1236119809745984,4.943824980103034,2.279675098081279,0.8682826870684398,3.94684329077665,868.2761840820312,0.02359539456665516,975.116455078125,541.5335693359375,13.271881103515625,916.8544311523438,230.16217041015625,1056.3837890625,715.7171630859375,422.926025390625,1041.63818359375,5.065800189971924,737.1117553710938,366.7358703613281,411.3917541503906,932.452880859375,447.0841979980469,958.6161499023438,501.0379333496094,468.6137390136719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.0313725508749485,202.44869995117188,-59.376251220703125,-17.87383270263672,202.2890625,-59.852962493896484,-17.904510498046875,201.6697235107422,-61.53666687011719,-18.613677978515625,201.6697235107422,-61.53666687011719,-18.613677978515625,200.99176025390625,-63.12009811401367,-19.401268005371094,200.3343505859375,-64.00627136230469,-20.08492088317871,199.60012817382812,-64.11418151855469,-20.224586486816406,200.34188842773438,-61.673091888427734,-19.36005973815918,203.36090087890625,-57.37389373779297,-16.88839340209961,206.0997314453125,-54.35373306274414,-14.935420036315918,11.081712136107873,1.9570367385696095,1.0,0.012457945597709378,0.6666666865348816,0.0,19.89,68
L-1:2,1.1400528135899122,7.2009553013077525,12.07039230508342,10.140900798959276,11.110452039250909,0.6271664030031134,2.4723748266711194,4.698966079211733,3.495928798261638,1.7665259850995452,1281.7547607421875,16.833545684814453,1043.1837158203125,386.6960144042969,249.16629028320312,1169.4769287109375,260.5875244140625,1468.6060791015625,883.4793701171875,476.2069091796875,578.8484497070312,291.50030517578125,693.211669921875,368.5135192871094,310.019287109375,1003.8071899414062,364.61566162109375,971.0703125,740.223876953125,747.555419921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,202.54432678222656,-58.2921257019043,-18.035686492919922,203.9595947265625,-56.40764617919922,-16.71063232421875,205.03485107421875,-55.74760437011719,-16.17605972290039,205.0643310546875,-56.46493148803711,-16.830646514892578,204.58340454101562,-57.07548522949219,-17.994359970092773,202.92306518554688,-59.45405197143555,-18.26816177368164,201.98971557617188,-60.113136291503906,-18.734542846679688,201.22642517089844,-60.78223419189453,-19.041683197021484,201.66433715820312,-59.91645812988281,-18.93341064453125,202.54432678222656,-58.2921257019043,-18.035686492919922,3.6676822695979587,7.5041278422532764,-1.0,0.012103896103896106,0.0,0.0,18.64,36
L-1:3,2.6651118831305243,11.36869809248353,19.169418580317526,2.550750281280754,0.9290433119884338,3.444292092555329,4.867318247123876,0.6204994838688006,1.9482700192256308,6.202053914455592,1549.46240234375,90.90631103515625,1112.486572265625,636.9832153320312,506.8706970214844,1101.5418701171875,348.50848388671875,566.8314819335938,563.8888549804688,531.3267822265625,768.8744506835938,55.55050277709961,715.9570922851562,578.6322631835938,152.8391571044922,1006.3492431640625,167.8019256591797,1026.6771240234375,1085.177978515625,674.4105224609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.04313725605607033,203.26597595214844,-46.544071197509766,-18.119396209716797,205.594970703125,-44.5501708984375,-15.666765213012695,205.594970703125,-44.5501708984375,-15.666765213012695,206.6350860595703,-48.61276626586914,-14.813404083251953,204.6468505859375,-51.42242431640625,-17.433547973632812,203.90966796875,-51.82424545288086,-18.58742904663086,202.62554931640625,-51.867103576660156,-19.987659454345703,201.7212677001953,-51.393333435058594,-20.251243591308594,201.7212677001953,-51.393333435058594,-20.251243591308594,202.2209930419922,-49.30061721801758,-19.52048683166504,5.968290319369634,9.053430111989579,-1.0,0.01190597308828356,1.0000000298023224,0.0,20.73,68
L-1:4,14.9940710799807,7.4182521534522206,2.1771961337969956,1.402913315900427,7.774773501748573,18.693327916236473,8.454069669849288,3.4107861399755666,16.950848161859305,22.5290764523096,2063.341064453125,126.94132995605469,1599.3521728515625,1180.48291015625,407.6437683105469,1116.651611328125,332.2503662109375,1069.967041015625,1096.414306640625,1174.1868896484375,1520.8287353515625,192.8060760498047,1100.5028076171875,1223.66455078125,40.81288528442383,1509.1109619140625,809.6624755859375,1708.7821044921875,1741.5010986328125,1641.906005859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,204.8905792236328,-45.367897033691406,-16.604612350463867,205.20962524414062,-44.305233001708984,-14.833749771118164,204.5428009033203,-43.16384506225586,-13.467588424682617,204.6354522705078,-44.90005874633789,-14.234672546386719,203.7021026611328,-46.9011344909668,-15.99438190460205,204.03866577148438,-47.715858459472656,-17.091472625732422,204.03866577148438,-47.715858459472656,-17.091472625732422,204.45709228515625,-46.88270568847656,-17.126113891601562,204.45709228515625,-46.88270568847656,-17.126113891601562,204.8905792236328,-45.367897033691406,-16.604612350463867,7.408897980816171,16.291852083722613,-1.0,0.008057359307359308,2.3333334028720856,4.36,14.89,68
L-1:5,1.903815545216722,3.2269253472632613,3.571548532061689,1.464588170393194,2.8843297317237906,1.7302037597908997,6.426562115694782,14.884260156830923,13.19402626779234,3.634754331853884,762.2393188476562,101.48788452148438,823.7006225585938,398.36444091796875,210.9507598876953,753.6494750976562,630.8204956054688,750.7697143554688,464.68255615234375,492.3205261230469,397.68328857421875,21.96904754638672,426.6965637207031,481.37701416015625,102.50972747802734,715.2141723632812,53.26497268676758,819.0239868164062,480.48968505859375,295.6761169433594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.04313725605607033,257.67333984375,-9.322909355163574,-14.676130294799805,257.79248046875,-9.285015106201172,-15.271685600280762,256.9376220703125,-9.182562828063965,-16.55992889404297,257.29718017578125,-8.999663352966309,-16.890317916870117,257.23724365234375,-9.010390281677246,-16.61524200439453,256.62841796875,-9.048760414123535,-15.729398727416992,257.1349182128906,-9.207521438598633,-13.991720199584961,257.27239990234375,-9.215961456298828,-14.187604904174805,257.26556396484375,-9.24512004852295,-13.868577003479004,257.4383544921875,-9.294087409973145,-13.800179481506348,23.48823759438763,9.50282757716361,-1.0,0.01570887445887446,0.3333333432674408,0.0,29.03,32
L-1:6,6.682573994837207,6.935662686298814,1.4095756058893831,10.884298183497808,10.12102330916373,0.7101131058125356,1.9112171756166378,4.86357397229517,1.5260809194896652,6.627251976296152,517.9843139648438,25.942516326904297,431.77777099609375,355.46795654296875,372.5785827636719,828.4889526367188,214.79971313476562,1031.2486572265625,482.59820556640625,332.9067687988281,377.6551208496094,90.67259216308594,653.6083374023438,349.2696533203125,69.37258911132812,785.379638671875,135.86630249023438,475.00067138671875,561.6661376953125,464.38330078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.0470588281750679,0.04313725605607033,0.03921568766236305,0.04313725605607033,0.03921568766236305,257.5410461425781,-8.873870849609375,-16.883607864379883,256.9251403808594,-9.026300430297852,-18.9879093170166,256.6564636230469,-9.142538070678711,-19.738250732421875,256.9322814941406,-9.08899974822998,-19.964452743530273,256.7623596191406,-9.030455589294434,-19.567798614501953,257.74774169921875,-9.008157730102539,-16.99525260925293,257.3769226074219,-9.108625411987305,-16.232717514038086,257.2970886230469,-9.22504711151123,-15.344062805175781,258.35552978515625,-8.849113464355469,-14.251794815063477,257.7506103515625,-8.831589698791504,-15.636543273925781,19.338761067515968,3.3329240267859066,1.0,0.01601322314049587,2.3333334028720856,0.0,27.68,100
L-1:7,1.4394425674526425,6.053713921642307,2.7906377863158824,5.14644425966282,2.578806165509889,2.95286443018773,8.566704832060893,2.0455309550078407,7.886551742434033,6.526735752771656,752.0343627929688,244.55462646484375,526.2183837890625,533.052001953125,538.095947265625,1021.4156494140625,242.66358947753906,933.349365234375,743.2158813476562,461.28717041015625,1097.3466796875,82.4879379272461,875.12548828125,459.357177734375,242.6399383544922,1064.726806640625,444.2398681640625,961.6712036132812,876.4398193359375,627.9060668945312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.03921568766236305,0.0313725508749485,0.04313725605607033,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.03921568766236305,0.03529411926865578,257.0703430175781,-8.963251113891602,-16.841047286987305,256.82269287109375,-8.92444133758545,-16.77196502685547,256.4367980957031,-8.761906623840332,-19.795146942138672,256.7222900390625,-8.74323844909668,-19.492197036743164,256.7222900390625,-8.74323844909668,-19.492197036743164,257.09735107421875,-8.807511329650879,-18.260055541992188,257.4095458984375,-8.876124382019043,-17.117515563964844,257.46875,-8.996927261352539,-15.585478782653809,257.38232421875,-9.094037055969238,-15.000080108642578,257.19921875,-9.052214622497559,-15.703877449035645,13.783542291006539,9.674424806330949,1.0,0.012224880382775118,3.333333432674408,0.0,21.9,108
L-1:8,14.432611622907249,14.094830346724248,5.808525559663644,7.553814964759658,7.7317100009574435,10.95066795273098,11.89728280164996,26.99152432736869,26.698885367912165,18.360732853636012,1334.8250732421875,0.5951595902442932,1209.1083984375,784.88232421875,753.7326049804688,1165.2615966796875,140.61192321777344,1472.586669921875,89.86701202392578,61.189849853515625,893.2708740234375,66.66849517822266,402.00927734375,938.19482421875,265.77459716796875,1248.6556396484375,187.84146118164062,1239.42431640625,816.1132202148438,748.639892578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.0470588281750679,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.0470588281750679,0.0470588281750679,251.64352416992188,-8.149345397949219,-8.880894660949707,251.1158447265625,-7.976661682128906,-10.554649353027344,251.1158447265625,-7.976661682128906,-10.554649353027344,251.12936401367188,-7.908944129943848,-11.323251724243164,251.97372436523438,-8.082282066345215,-9.953813552856445,251.64080810546875,-8.073935508728027,-9.382779121398926,251.49278259277344,-8.127707481384277,-8.711823463439941,251.29241943359375,-8.210396766662598,-8.05059814453125,251.29241943359375,-8.210396766662598,-8.05059814453125,251.64352416992188,-8.149345397949219,-8.880894660949707,16.28607156193339,23.5908179596547,-1.0,0.0130375,15.333333790302277,4.41,16.39,64
L-1:9,1.0765200182540162,2.483375084028261,1.2141433996712212,1.8011860717075794,0.2949223744078476,1.6146169832535544,12.602111195389492,15.736442328833336,16.328466031491974,2.73923934354584,829.7930297851562,99.78150939941406,740.90771484375,519.7462158203125,169.4191131591797,454.82257080078125,140.9989013671875,621.8704833984375,322.90576171875,291.633544921875,459.8849792480469,191.015380859375,434.9369201660156,308.132568359375,52.87247085571289,620.7191772460938,122.08485412597656,656.87255859375,443.7898864746094,405.7807922363281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03921568766236305,252.07090759277344,-8.214091300964355,-10.340275764465332,252.3098602294922,-8.155987739562988,-11.252352714538574,252.5274200439453,-8.101619720458984,-11.570303916931152,252.09750366210938,-8.026801109313965,-12.366583824157715,251.73976135253906,-8.044034004211426,-11.635980606079102,251.43511962890625,-8.074222564697266,-10.769330024719238,251.2336883544922,-8.131396293640137,-10.105454444885254,251.6475830078125,-8.150131225585938,-9.593743324279785,251.8719024658203,-8.202282905578613,-9.481971740722656,251.70156860351562,-8.207438468933105,-9.669974327087402,4.495491493385766,10.830450618279508,-1.0,0.019120370370370374,3.6666667759418488,0.0,32.45,100
L-1:10,6.3437513917215815,8.169777048496519,3.6867249690844965,3.334904061275644,1.5618279891630658,3.6458355346210243,1.694101545904473,11.571277855473383,9.737977286336589,2.2187082153572173,928.87939453125,67.30348205566406,859.728759765625,325.4132080078125,82.28691864013672,1090.6512451171875,316.0961608886719,1234.740478515625,322.92388916015625,357.50665283203125,874.4173583984375,3.318138360977173,276.7905578613281,521.7821044921875,275.42340087890625,747.0806884765625,114.50953674316406,929.1719360351562,511.961669921875,735.3663940429688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.05098039656877518,0.04313725605607033,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.04313725605607033,0.05098039656877518,0.05098039656877518,250.87106323242188,-7.956579685211182,-8.96699047088623,250.97735595703125,-7.851485729217529,-10.914515495300293,250.9791717529297,-7.7006731033325195,-11.519795417785645,250.9791717529297,-7.7006731033325195,-11.519795417785645,251.49136352539062,-7.575727939605713,-10.728809356689453,252.72650146484375,-8.152656555175781,-10.167991638183594,252.21690368652344,-8.173874855041504,-7.954919815063477,252.35031127929688,-7.939104080200195,-7.165656089782715,252.18606567382812,-7.897853374481201,-7.054236888885498,251.5887451171875,-7.889130592346191,-7.454336643218994,11.670973557816327,7.364337338990444,-1.0,0.014331168831168832,0.3333333432674408,0.0,22.07,64
