Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.150384639660787,6.303720437475006,8.150216359210006,3.832623775731244,5.423637208521686,11.258659880098412,2.7078701950238773,9.444353163468758,8.67971554045872,9.68840064997541,924.4793701171875,65.37847900390625,1018.602294921875,537.5164794921875,324.65234375,797.0219116210938,408.1615905761719,948.43994140625,724.2395629882813,340.63751220703125,776.9539184570313,35.687198638916016,840.1597290039063,408.2840881347656,267.10400390625,483.28973388671875,191.50888061523438,757.0502319335938,615.3152465820313,277.22998046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.9220275878906,-40.663978576660156,-6.807505130767822,356.74462890625,-40.96527099609375,-6.791645526885986,356.33197021484375,-42.04661560058594,-7.426106929779053,356.6172790527344,-42.50867462158203,-7.49002742767334,358.6713562011719,-39.35063171386719,-6.250003337860107,357.7637023925781,-40.767452239990234,-7.891491889953613,357.8611755371094,-40.537662506103516,-7.979274272918701,357.92950439453125,-40.306739807128906,-7.922033786773682,357.6469421386719,-40.11057662963867,-7.058074474334717,357.4386291503906,-40.36183547973633,-6.941074848175049,14.17773179657368,6.236895425109284,-1.0,0.014886028425851435,3.000000089406967,0.0,31.72,64
L-1:2,5.886688250977802,3.9001829919983004,2.070924231850532,0.9714298653609621,3.9721808814139905,3.5731185398376293,3.0785011043522164,2.133965086315036,6.335409413373247,10.181317463271775,885.4661865234375,226.02667236328125,950.5751342773438,681.393798828125,582.2642822265625,832.238525390625,330.73944091796875,893.7326049804688,418.044189453125,261.1281433105469,820.9169311523438,27.388538360595703,418.5170593261719,419.9921569824219,142.74945068359375,532.649169921875,120.78248596191406,667.9170532226563,523.5524291992188,304.19158935546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.1173095703125,-39.180755615234375,-8.961870193481445,355.6889343261719,-39.31669998168945,-8.95289421081543,0.702117919921875,-36.26028823852539,-3.330104351043701,358.0657653808594,-39.03828430175781,-7.062622547149658,357.959228515625,-39.5750732421875,-7.9243693351745605,357.33935546875,-40.67597579956055,-9.476018905639648,357.767578125,-40.51146697998047,-9.615421295166016,357.8995361328125,-39.86874008178711,-9.395267486572266,357.5743103027344,-39.31674575805664,-9.075586318969727,356.7841796875,-39.14982223510742,-8.911669731140137,9.285555151185568,5.367324547165314,-1.0,0.01699134199134199,3.000000089406967,0.0,31.4,68
L-1:3,3.2052552301550885,4.344025180399209,0.8838684554065825,0.2399922584282661,1.7820887915133996,2.5277837213694694,1.9346931169887929,2.5986392215064282,2.9308350279483766,6.493733168691852,750.5509643554688,250.65892028808594,590.2702026367188,414.6077575683594,320.3801574707031,489.0747375488281,237.70330810546875,609.7711791992188,450.1271667480469,229.7787628173828,602.9361572265625,14.175310134887695,681.0806884765625,385.4013977050781,100.42262268066406,532.7257690429688,163.09521484375,660.0750732421875,662.762939453125,539.3408203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.15032958984375,-38.17306900024414,-8.026876449584961,355.0566101074219,-38.72981262207031,-8.550204277038574,354.5772705078125,-39.20853042602539,-8.935052871704102,354.2388610839844,-39.666996002197266,-9.581151962280273,355.01885986328125,-39.69618225097656,-10.307469367980957,355.4954833984375,-39.5660514831543,-10.323007583618164,355.8209228515625,-38.94963073730469,-10.190577507019043,355.83160400390625,-38.64130783081055,-10.091577529907227,355.7188720703125,-38.24146270751953,-9.896255493164063,354.74639892578125,-37.69654083251953,-9.56188678741455,9.520805595286458,3.874516693741641,-1.0,0.01700420298879203,5.6666668355464935,0.0,31.21,36
L-1:4,4.779702098377328,6.131100262257024,5.271986338420886,6.319269648662851,1.0246578958631452,5.2368147470427076,16.8383740268018,16.353671884490236,5.2244738662398085,4.823984690789595,1883.7608642578125,135.0428009033203,791.7854614257813,527.4404296875,157.09022521972656,1051.0399169921875,192.4527587890625,937.6841430664063,835.17431640625,628.6582641601563,1164.658935546875,208.2324676513672,1194.446533203125,505.8966979980469,31.838850021362305,1146.3260498046875,597.0950927734375,1203.9305419921875,880.9722290039063,620.7402954101563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.97930908203125,-36.26585388183594,-4.079214572906494,358.3699951171875,-36.175899505615234,-4.559076309204102,358.2231140136719,-36.23419189453125,-4.86950159072876,358.6075134277344,-36.0770378112793,-5.331298828125,358.5910949707031,-35.93696975708008,-5.416957855224609,359.39825439453125,-35.72572708129883,-5.253106117248535,359.39825439453125,-35.72572708129883,-5.253106117248535,359.9117431640625,-35.718807220458984,-5.197932243347168,359.7558288574219,-35.628719329833984,-5.197043418884277,359.7558288574219,-35.628719329833984,-5.197043418884277,5.83345289069512,8.164458821858801,-1.0,0.011166860296253267,2.6666667461395264,4.07,21.97,36
L-1:5,4.336077973542074,0.7953408488367112,2.21460729313517,3.427962887425677,5.824944226525282,5.942611782934456,1.7491404047530876,2.923972457649714,4.516505610986626,2.024029832693667,729.4217529296875,41.123756408691406,458.78216552734375,161.92892456054688,298.725830078125,719.6149291992188,227.64234924316406,776.2969360351563,489.44696044921875,249.5945281982422,592.4842529296875,0.01069900207221508,612.03759765625,268.63616943359375,137.7491455078125,1010.8884887695313,313.82666015625,891.4013671875,891.4500732421875,494.45147705078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.7287902832031,-39.37300109863281,-7.507839202880859,355.6029052734375,-39.63252639770508,-7.488059997558594,356.6401062011719,-39.72975158691406,-7.449848651885986,358.4739685058594,-39.94055938720703,-7.206718444824219,359.07757568359375,-39.9152717590332,-6.953927040100098,359.4842224121094,-40.18501281738281,-6.882626533508301,359.47174072265625,-40.561424255371094,-6.989513874053955,358.9767761230469,-40.11458206176758,-6.202762126922607,354.67266845703125,-39.36473083496094,-7.941089630126953,354.50860595703125,-39.2203254699707,-7.700145721435547,11.284520643971716,1.2687469256188362,1.0,0.015564667291471414,0.6666666865348816,0.0,28.47,64
L-1:6,3.5547633795058844,2.374329956679692,6.5176983489354265,8.096637771450665,6.4140281193560975,9.463022706735915,6.459727444243086,9.019929561970317,2.806924495883337,1.7857097990632385,1012.2501220703125,102.63102722167969,650.5629272460938,444.3802490234375,284.64300537109375,764.5835571289063,271.4589538574219,533.1880493164063,570.9306640625,509.1775207519531,628.3530883789063,74.7942886352539,537.21728515625,396.6376647949219,106.6324234008789,619.1689453125,437.44244384765625,834.5061645507813,690.4907836914063,439.24005126953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.4084167480469,-38.965980529785156,-9.083250999450684,351.1690673828125,-39.00918197631836,-8.841100692749023,352.84429931640625,-38.94001388549805,-8.540603637695313,354.8421936035156,-39.024105072021484,-8.342362403869629,355.50140380859375,-39.074588775634766,-8.321697235107422,355.3787841796875,-39.30832290649414,-8.321549415588379,355.2519226074219,-39.45881652832031,-8.373379707336426,355.5311279296875,-39.38001251220703,-8.550472259521484,355.13427734375,-39.74436569213867,-7.580356597900391,348.99688720703125,-38.50674057006836,-9.61204719543457,17.447250618970727,6.169499633261785,1.0,0.01702733860342556,4.0000001192092896,0.0,29.54,100
L-1:7,6.761215705085047,1.2387702692441451,1.034169310821801,1.9975168227144628,0.3937504262181921,2.5383833607692865,4.4131817116916014,2.994126032169112,7.9508315643792145,9.469420381884998,717.0546264648438,77.55069732666016,598.80126953125,544.564208984375,289.86590576171875,742.0839233398438,294.0525207519531,535.3797607421875,364.93988037109375,241.68417358398438,600.7131958007813,9.913698196411133,440.7455749511719,267.42388916015625,64.94312286376953,506.95391845703125,28.40316390991211,817.4942626953125,922.7410888671875,423.87298583984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.8240966796875,-37.730106353759766,-9.246633529663086,351.3096618652344,-36.31693649291992,-7.1732892990112305,351.13690185546875,-36.874122619628906,-7.528326988220215,351.279541015625,-37.47880935668945,-8.277098655700684,351.3590087890625,-37.83917236328125,-8.996058464050293,351.6938781738281,-37.534549713134766,-8.889595985412598,351.8038024902344,-37.295230865478516,-8.780436515808105,352.13201904296875,-37.20344543457031,-8.814773559570313,351.67474365234375,-37.12380599975586,-8.6491117477417,351.5066223144531,-37.45109558105469,-8.95208740234375,2.7406486425275216,6.060219785789902,-1.0,0.017841252403185938,3.333333432674408,0.0,37.12,100
L-1:8,7.254672055730669,4.720827360555661,3.654665722664415,5.775833422668332,3.9709887687866883,9.601749029328921,21.372441891839063,8.220242586266906,3.6704852966972576,9.777618346434963,939.5184936523438,31.338912963867188,854.322509765625,446.13885498046875,46.36057662963867,1028.3719482421875,263.60003662109375,796.8934936523438,455.165283203125,398.4827880859375,830.2261352539063,173.57217407226563,521.087890625,322.1390380859375,112.40725708007813,880.5908813476563,443.5729675292969,803.7289428710938,685.9205322265625,453.49176025390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.870361328125,-37.85669708251953,-8.421614646911621,356.0559997558594,-38.17582702636719,-8.458039283752441,356.29156494140625,-37.80287170410156,-8.286663055419922,357.23272705078125,-37.82353210449219,-7.759758949279785,357.5381164550781,-37.904052734375,-8.084088325500488,357.13336181640625,-38.14750289916992,-8.605669975280762,357.97833251953125,-37.90022277832031,-8.739871978759766,357.9683532714844,-37.850502014160156,-8.700248718261719,357.61627197265625,-37.50368881225586,-8.248065948486328,357.2883605957031,-37.468910217285156,-8.105018615722656,11.900663874069274,11.141505636551635,-1.0,0.016625,1.666666716337204,0.09,31.35,44
L-1:9,3.458411010633044,2.924126612539922,0.8440856832545697,5.958003016744813,2.960222739702649,3.5601841229863322,0.42662868070456733,1.4887054252116776,3.0948032699018664,0.6997542290657924,928.2660522460938,146.7691650390625,596.075439453125,568.0281372070313,172.406494140625,506.281494140625,94.42530822753906,542.8394165039063,495.9271240234375,239.51751708984375,808.4159545898438,47.01106643676758,539.4991455078125,298.060791015625,229.159912109375,762.69189453125,268.0616455078125,691.7969360351563,719.084716796875,603.1575927734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.8296203613281,-36.966766357421875,-8.952498435974121,357.7767333984375,-37.5042839050293,-8.678729057312012,357.57861328125,-37.49806594848633,-8.880160331726074,357.58184814453125,-37.7939567565918,-9.202493667602539,357.6781311035156,-37.923500061035156,-9.268857955932617,358.0134582519531,-37.886985778808594,-9.281085968017578,358.32354736328125,-37.76740264892578,-9.227418899536133,358.4838562011719,-37.68221664428711,-9.18781566619873,358.3110656738281,-37.329673767089844,-9.00551700592041,358.27978515625,-36.89756774902344,-8.868261337280273,9.426162752604606,4.818047179413065,-1.0,0.017097701149425288,0.6666666865348816,0.0,28.05,64
L-1:10,8.483740079921755,4.041549197948973,10.329865585319904,6.242336767932265,8.855564180211797,0.9420121359473901,6.932047217461872,4.726763540630736,7.087519148364094,14.428583691607718,793.4663696289063,248.4219207763672,526.5379638671875,275.9327697753906,252.65806579589844,648.1708374023438,200.48458862304688,579.5272216796875,456.5158996582031,367.93817138671875,645.9839477539063,104.74711608886719,708.0833129882813,526.8388671875,0.0,0.0,240.7746124267578,839.2432861328125,552.8905639648438,521.3950805664063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.1170349121094,-38.00113296508789,-9.658191680908203,354.13421630859375,-37.8072624206543,-9.622583389282227,354.86334228515625,-37.6057243347168,-9.56328010559082,355.93548583984375,-37.56007766723633,-9.248011589050293,356.9828796386719,-37.843448638916016,-9.115381240844727,357.434814453125,-37.92685317993164,-8.965299606323242,357.5335998535156,-38.02016067504883,-8.735198974609375,358.10614013671875,-37.898128509521484,-8.651214599609375,353.4796142578125,-37.87870407104492,-9.52021312713623,353.7939758300781,-38.006317138671875,-9.463744163513184,4.901290629654924,5.492491772567952,1.0,0.016678110409228238,2.6666667461395264,0.0,34.7,100
