Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,8.006941671601659,2.5780050344314005,1.2334141717163811,1.313967053161382,8.534175043532548,5.099019665555405,1.32388710074138,4.156511261864521,5.950358629727714,5.274230221039825,650.2921142578125,96.71931457519531,670.0025024414063,565.4036254882813,67.42131042480469,655.6428833007813,712.220458984375,1174.6685791015625,624.7978515625,717.4716796875,555.7674560546875,18.6763973236084,963.9714965820313,93.158447265625,224.85760498046875,941.2017211914063,134.63372802734375,934.0950927734375,824.0391235351563,558.7534790039063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.021568628028035164,0.02549019828438759,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02549019828438759,0.02352941408753395,11.652552604675293,-0.28550323843955994,-1.0616816282272339,11.65256404876709,-0.2781694233417511,-1.0511419773101807,11.652523040771484,-0.2775413990020752,-1.0403649806976318,11.652457237243652,-0.2861946225166321,-1.0300747156143188,11.652375221252441,-0.29256993532180786,-1.0240435600280762,8.804561614990234,-0.3301917612552643,-1.4485328197479248,1.2562731504440308,-0.3891374170780182,-0.6941571235656738,11.652572631835938,-0.2879110872745514,-1.0606603622436523,11.652597427368164,-0.2911750376224518,-1.0591504573822021,11.652584075927734,-0.28772270679473877,-1.063636302947998,7.845735097781,3.1542306551603114,-1.0,0.013591897233201582,1.666666716337204,0.0,23.58,36
L-1:2,6.699917280420348,2.3960600849785867,9.56767073917199,8.622706756672132,9.134675527376418,12.083046333697403,5.547305621157784,2.7443423267435056,1.478006798913076,7.116388972791601,1392.13671875,295.58392333984375,1565.2955322265625,1201.419677734375,12.325316429138184,1114.2320556640625,94.35144805908203,887.351806640625,940.5773315429688,852.2890014648438,1672.0491943359375,448.79669189453125,710.1923828125,631.4681396484375,218.4158477783203,1024.11328125,272.72711181640625,1123.0201416015625,1089.4102783203125,862.06591796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,1.251067876815796,-0.36180150508880615,0.09575081616640091,1.2546653747558594,-0.37271952629089355,-0.4462050795555115,1.2542781829833984,-0.3751041889190674,-0.39592045545578003,1.2538299560546875,-0.37815162539482117,-0.32696351408958435,1.2538299560546875,-0.37815162539482117,-0.32696351408958435,1.2534050941467285,-0.3781105577945709,-0.26794320344924927,1.2530637979507446,-0.3703281581401825,-0.2041396200656891,1.2526216506958008,-0.36874714493751526,-0.1391432285308838,1.2521597146987915,-0.3697640895843506,-0.06707004457712173,1.2516871690750122,-0.3685281574726105,0.008580266498029232,3.8005848635967117,5.516810900231357,-1.0,0.010750164690382081,1.3333333730697632,0.0,18.65,68
L-1:3,1.2018504609725968,4.112736327849861,2.535002664996214,2.0744872888751043,4.071888326334372,2.603416636223411,3.1360009291051756,2.0813969637915015,3.453268889555831,2.266811632395932,970.28076171875,41.615570068359375,615.7421264648438,629.6060791015625,128.74349975585938,688.849609375,623.8211059570313,1349.6669921875,1171.481689453125,644.427734375,1624.2076416015625,16.4069881439209,1380.4384765625,665.1680297851563,55.0931282043457,1809.6959228515625,305.6207580566406,1332.148681640625,1087.094970703125,667.9567260742188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02352941408753395,1.2408515214920044,-0.33327174186706543,1.8182429075241089,1.2395445108413696,-0.32827869057655334,2.035724401473999,1.2479078769683838,-0.33969029784202576,0.6327853798866272,1.2470579147338867,-0.34280499815940857,0.761222243309021,1.2470579147338867,-0.34280499815940857,0.761222243309021,1.246026635169983,-0.34609732031822205,0.9483339190483093,1.2450233697891235,-0.34498539566993713,1.099511742591858,1.2441279888153076,-0.3422580659389496,1.2603336572647095,1.2441279888153076,-0.3422580659389496,1.2603336572647095,1.2420474290847778,-0.3368120491504669,1.6152251958847046,5.830952068621208,8.073380912856416,-1.0,0.009686868686868688,0.0,0.0,16.44,76
L-1:4,20.763215955321954,21.032589934809902,18.29822655749645,11.631519093059831,4.801942145226826,10.088497600941686,10.514815422111223,12.773816286035979,3.8613874325477866,2.4625995341638482,708.3592529296875,76.77056884765625,1361.40478515625,1093.589111328125,484.567626953125,1290.3701171875,67.07035827636719,1819.7623291015625,1601.740234375,1567.4825439453125,1983.888427734375,116.4334945678711,1444.2894287109375,1176.88671875,520.4929809570313,467.0194396972656,831.0476684570313,128.07147216796875,1366.381591796875,594.080078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.02352941408753395,35.20807647705078,-1.1782580614089966,2.018585205078125,35.203712463378906,-1.2822316884994507,2.224827289581299,35.198463439941406,-1.383658766746521,2.4504222869873047,35.198463439941406,-1.383658766746521,2.4504222869873047,35.19258117675781,-1.50872802734375,2.686952829360962,35.19258117675781,-1.50872802734375,2.686952829360962,35.00873565673828,-1.1527659893035889,2.1071248054504395,31.0029354095459,-1.770108699798584,3.8849356174468994,34.999107360839844,-1.356444001197815,2.5476794242858887,30.992820739746094,-1.9031760692596436,4.201311111450195,26.816247947344795,15.921701013332482,-1.0,0.010021028793270785,11.666667014360428,7.43,17.7,100
L-1:5,6.227180749674244,11.711786593807972,8.732965728113529,4.80125655362462,0.7004577174053193,3.333333432674408,1.9689863075882201,0.46241406757178627,2.150822538323245,2.705805314886319,1204.976318359375,238.78121948242188,1297.4005126953125,1000.3369750976563,86.36419677734375,832.4055786132813,285.666748046875,833.429443359375,1227.810791015625,956.7211303710938,1346.342529296875,89.13554382324219,1114.8541259765625,1056.612060546875,588.576904296875,1839.3330078125,235.56259155273438,883.619140625,620.8944702148438,512.4690551757813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.02549019828438759,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02549019828438759,0.02352941408753395,0.02352941408753395,18.300498962402344,-21.336336135864258,89.4080581665039,21.335920333862305,-158.71263122558594,86.2175521850586,25.857099533081055,-158.8766632080078,81.86099243164063,31.107622146606445,-159.15670776367188,77.54717254638672,23.84694480895996,-19.42294692993164,64.1966323852539,22.89586067199707,-19.9666748046875,68.14934539794922,21.946535110473633,-20.43583106994629,72.21823120117188,21.946535110473633,-20.43583106994629,72.21823120117188,21.0069522857666,-20.81185531616211,76.40667724609375,19.19446563720703,-21.260778427124023,85.02991485595703,6.289320942140767,8.476573171358234,-1.0,0.010052772305094286,1.666666716337204,0.0,20.41,100
L-1:6,2.8674418411372993,5.391327404625064,2.4613420272582545,2.0684929287744374,2.7363009269199488,2.6034166362233986,3.2850594636209363,5.80258484652872,0.6085785946803177,1.3598265844088833,976.7704467773438,17.667587280273438,671.3154907226563,329.0740966796875,354.6943054199219,742.3804931640625,312.63214111328125,1234.7425537109375,1086.9622802734375,721.995361328125,1060.725341796875,94.20219421386719,1041.526611328125,485.372802734375,281.7009582519531,1503.38134765625,250.88775634765625,747.7730712890625,890.0296020507813,689.9351196289063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.021568628028035164,0.02549019828438759,0.02352941408753395,79.17859649658203,-164.0813446044922,47.25529098510742,84.69793701171875,-164.86180114746094,44.19425964355469,82.76776123046875,-165.63304138183594,41.308326721191406,65.5328140258789,-167.1657257080078,36.025474548339844,57.796878814697266,-167.89430236816406,33.618228912353516,57.796878814697266,-167.89430236816406,33.618228912353516,50.56520080566406,-168.60714721679688,31.365509033203125,43.886268615722656,-169.29922485351563,29.252891540527344,37.8574104309082,-169.95794677734375,27.279129028320313,32.46327209472656,-170.5808563232422,25.443023681640625,2.357022674199906,5.8330918325976535,-1.0,0.012927702219040804,2.3333334028720856,0.0,20.64,68
L-1:7,2.6874193295241846,2.111785757310793,2.066276511456517,6.8537913763429,11.455121790876573,12.115188257984897,3.9101246512427466,3.4872182242799536,5.488694520327183,11.51066060110353,1280.1162109375,167.93116760253906,681.9087524414063,399.37799072265625,211.3251190185547,682.4822387695313,449.4642333984375,813.0925903320313,653.1373901367188,398.2656555175781,1213.2548828125,98.4924545288086,855.2933349609375,768.0851440429688,318.10064697265625,706.3436279296875,205.99981689453125,1061.4544677734375,499.5993347167969,524.1480712890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02352941408753395,2.6669437885284424,-175.185791015625,12.746753692626953,0.09896431863307953,-175.80166625976563,11.125539779663086,359.0630187988281,-176.07701110839844,10.409968376159668,358.13983154296875,-176.33978271484375,9.742508888244629,357.3390808105469,-176.583740234375,9.118570327758789,356.64739990234375,-176.80914306640625,8.53740406036377,356.0557556152344,-177.0149688720703,7.991138935089111,355.52691650390625,-177.2120819091797,7.486975193023682,8.045720100402832,-174.0970458984375,15.66474723815918,4.243852138519287,-174.84326171875,13.654472351074219,11.338234572369013,10.914915865286044,-1.0,0.013373900293255131,2.6666667461395264,0.0,26.06,32
L-1:8,8.006941671601659,10.185967732166043,3.575427608848521,5.895206768413938,1.5226440233976366,1.3743685828319279,0.9391935770948378,15.030528341803567,22.151899213096627,5.919562286371894,1151.993896484375,328.95330810546875,1086.1055908203125,1000.862060546875,1003.0975952148438,1122.6080322265625,657.8610229492188,1266.6414794921875,1320.6138916015625,747.4088745117188,1499.019775390625,44.53300476074219,1154.176513671875,901.5156860351563,111.12957763671875,1148.8641357421875,208.56723022460938,744.19970703125,383.01068115234375,623.5274047851563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.02549019828438759,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.021568628028035164,352.9416809082031,-178.47061157226563,4.1899333000183105,353.86297607421875,-178.01394653320313,4.949245452880859,353.86297607421875,-178.01394653320313,4.949245452880859,353.46234130859375,-178.2445831298828,4.40400505065918,353.46234130859375,-178.2445831298828,4.40400505065918,353.28741455078125,-178.3555908203125,4.154812812805176,353.14068603515625,-178.45494079589844,3.933391571044922,353.0108642578125,-178.54820251464844,3.7169837951660156,352.90576171875,-178.6280975341797,3.5148651599884033,352.7184143066406,-178.78408813476563,3.1563074588775635,9.055385408008924,1.8677336038873993,-1.0,0.009469484167517877,4.666666805744171,4.26,21.19,64
L-1:9,8.000000238418579,2.398124166856906,5.478965665469999,1.8504023407993258,3.4237329915656236,4.33333346247673,3.4392212063988556,3.015664981011179,4.008340567796377,2.7637739223511333,732.0150146484375,109.95264434814453,947.712158203125,752.1651000976563,399.3927307128906,895.6505737304688,232.41990661621094,756.999267578125,1258.1817626953125,744.6082153320313,1268.97412109375,104.50518035888672,986.4594116210938,1021.345703125,404.6065673828125,1215.1485595703125,430.8605651855469,767.2369995117188,691.4802856445313,550.519775390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.02549019828438759,0.021568628028035164,0.02549019828438759,0.02352941408753395,352.4206237792969,-179.69876098632813,1.1397897005081177,352.44189453125,-179.62965393066406,1.2633614540100098,352.4386901855469,-179.639404296875,1.2429938316345215,352.43511962890625,-179.65066528320313,1.2375433444976807,352.4329833984375,-179.6573028564453,1.2223666906356812,352.4329833984375,-179.6573028564453,1.2223666906356812,352.43328857421875,-179.65586853027344,1.216301441192627,352.4308166503906,-179.66366577148438,1.1941852569580078,352.4263610839844,-179.6785888671875,1.1717549562454224,352.42364501953125,-179.68780517578125,1.1576710939407349,2.108185169607732,11.669131074372894,-1.0,0.012333884297520662,4.0000001192092896,0.0,21.32,100
L-1:10,9.386752173299488,16.347784277309994,14.692132384223987,3.7109884802173165,6.556003275114031,2.426703368748233,3.489572249368605,5.040961501655373,5.95829585882927,2.4045926333097856,1053.4434814453125,260.7705078125,1144.9208984375,899.7601318359375,215.48069763183594,757.2890625,1135.87548828125,1574.3720703125,921.5167846679688,722.7706298828125,1000.534423828125,146.3999786376953,672.284912109375,417.2639465332031,240.28530883789063,774.9701538085938,367.5281066894531,1216.016845703125,755.37255859375,643.2962036132813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.021568628028035164,352.4081115722656,-179.74819946289063,1.0646302700042725,352.4061584472656,-179.75669860839844,1.0544122457504272,352.4069519042969,-179.75308227539063,1.0483061075210571,352.4071350097656,-179.75238037109375,1.0502185821533203,352.4071350097656,-179.75238037109375,1.0502185821533203,352.406005859375,-179.75729370117188,1.0489344596862793,352.4136962890625,-179.72450256347656,1.084191918373108,352.4136962890625,-179.72450256347656,1.084191918373108,352.4112243652344,-179.73468017578125,1.0694797039031982,352.41064453125,-179.73707580566406,1.067908763885498,8.062257988572554,4.797534987992835,-1.0,0.011738500543281419,0.0,0.0,18.52,100
