Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.062608976550377,7.995716257071504,3.281170422053075,0.7454776894563888,1.517122223377618,1.2055463908596902,2.898629185505711,1.3574006309269906,1.4254608630629322,2.371371804999132,623.927001953125,82.8538818359375,318.3930358886719,253.04640197753906,120.38289642333984,376.1783752441406,351.6769714355469,992.9177856445312,475.1885681152344,366.2744140625,782.1250610351562,69.5628890991211,352.2737731933594,293.4401550292969,154.64614868164062,309.9706726074219,157.74110412597656,497.1788330078125,550.5765991210938,373.6441345214844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,145.095947265625,-106.53825378417969,7.057987689971924,144.72467041015625,-107.13518524169922,7.000163555145264,145.8570556640625,-107.34026336669922,6.638247489929199,151.192626953125,-103.52523040771484,4.233521461486816,145.30197143554688,-104.04969787597656,4.802234649658203,141.02264404296875,-105.06012725830078,5.645302772521973,141.1011962890625,-105.52678680419922,6.772018909454346,141.8243408203125,-105.63442993164062,7.094886779785156,142.90481567382812,-106.08062744140625,7.346047401428223,144.2432861328125,-106.65104675292969,7.467314720153809,6.636759693651968,0.9408828533921447,-1.0,0.021198986771742187,2.0000000596046448,0.0,43.04,16
L-1:2,2.518656388477456,2.482238352577534,1.531077477072133,0.263951649987751,0.08284353694176588,3.1513006197202023,1.0215836930272373,2.826767602210002,4.044600132045634,2.634789415213748,288.6841125488281,43.83430480957031,282.2471923828125,289.86962890625,227.9883575439453,551.8570556640625,135.273193359375,369.65985107421875,574.0425415039062,190.77938842773438,674.2660522460938,95.71878814697266,411.57489013671875,179.26828002929688,10.0772705078125,559.0475463867188,168.95135498046875,446.7084655761719,520.800537109375,270.2409362792969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.03529411926865578,0.0313725508749485,143.034912109375,-107.76425170898438,7.868404388427734,143.0130615234375,-107.5851821899414,7.770306587219238,142.959228515625,-107.60448455810547,7.744890213012695,144.14617919921875,-107.42453002929688,7.271634578704834,143.851806640625,-107.591796875,7.197153568267822,142.25433349609375,-108.52130889892578,7.577465057373047,142.77236938476562,-107.14173889160156,6.8115668296813965,142.62091064453125,-107.1329345703125,7.649206161499023,143.112548828125,-107.46292877197266,7.98131799697876,143.88946533203125,-107.8497085571289,7.92460823059082,9.617259360386784,4.829955606104547,-1.0,0.023638203901361798,1.666666716337204,0.0,36.7,36
L-1:3,2.2942709017079324,2.614426167074252,1.5200795524911999,0.7531666187081987,2.0794341848051783,3.8814666342840125,0.4058576670498582,6.123295119115068,7.480030806996811,2.191594792470896,645.9248046875,118.0805435180664,539.4749755859375,135.63946533203125,108.8917465209961,620.0308227539062,301.4418640136719,486.10308837890625,531.841064453125,304.7953796386719,651.2360229492188,69.57048034667969,360.26739501953125,206.22344970703125,330.9835510253906,1009.6488647460938,191.93572998046875,371.6853942871094,531.7446899414062,445.8634338378906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.027450982481241226,0.0313725508749485,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.0313725508749485,147.37503051757812,-105.26853942871094,6.704372882843018,148.1251220703125,-104.76114654541016,6.256969451904297,148.4432373046875,-104.06917572021484,6.00560998916626,148.20330810546875,-103.79544830322266,6.284282684326172,146.01251220703125,-103.45869445800781,7.119136333465576,144.94171142578125,-103.79583740234375,7.152643203735352,143.7039794921875,-105.5351333618164,7.649944305419922,143.60028076171875,-105.5027084350586,7.747796535491943,145.07366943359375,-107.70425415039062,7.678112030029297,145.52056884765625,-105.78384399414062,6.836474418640137,8.727071596193733,3.484731643926441,1.0,0.01800848676639816,1.3333333730697632,0.0,35.77,36
L-1:4,3.8302145758921,9.372740104864961,6.526826001516668,6.998644808303993,3.539742975452506,8.593963543601124,5.051243439512126,3.7850492020760247,1.6216916451776013,3.0544581683093193,555.9346923828125,83.30644226074219,434.2687072753906,124.88231658935547,1.2346470355987549,373.7335510253906,219.53549194335938,568.483642578125,499.1759338378906,621.4024047851562,610.01416015625,10.666766166687012,334.63311767578125,191.32460021972656,15.524542808532715,399.8782958984375,158.04959106445312,271.22869873046875,337.6933898925781,155.36427307128906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.027450982481241226,146.9620361328125,-105.299072265625,4.74868631362915,146.62094116210938,-105.13121795654297,4.408541202545166,146.8887939453125,-104.22964477539062,3.679225206375122,146.11529541015625,-103.5415267944336,4.0030646324157715,146.00347900390625,-103.58037567138672,4.370481014251709,144.894287109375,-104.04815673828125,4.740696430206299,144.34722900390625,-104.6728744506836,5.163259506225586,144.7056884765625,-105.06318664550781,5.227588653564453,145.3568115234375,-105.31702423095703,5.245204448699951,146.28338623046875,-105.67987823486328,4.995412826538086,11.701891071489468,4.225026193070103,1.0,0.02462028824833703,2.3333334028720856,5.39,38.07,100
L-1:5,2.547939952157515,1.0059656762479439,0.7994293779462901,0.9090096154367128,0.550109622168084,1.1167536109325016,2.356893734436911,1.370065686109273,3.7094497887080053,3.5632293237725734,190.13470458984375,48.55298614501953,355.67474365234375,340.6972351074219,176.75515747070312,398.1363220214844,215.93370056152344,596.4669189453125,308.98822021484375,314.416748046875,619.3095703125,80.4902114868164,234.36148071289062,234.3936004638672,62.30831527709961,455.9526672363281,176.09959411621094,597.216064453125,325.55694580078125,253.18002319335938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.03921568766236305,147.03033447265625,-107.6275405883789,6.273261070251465,147.0816650390625,-108.30622100830078,6.102670192718506,146.91741943359375,-108.0044174194336,5.895049095153809,148.29071044921875,-104.2386245727539,5.08461332321167,146.806640625,-105.05814361572266,5.544791221618652,145.44110107421875,-105.63729095458984,5.880666732788086,144.6268310546875,-105.8747787475586,6.167490482330322,144.26406860351562,-106.08184814453125,6.603760719299316,145.19039916992188,-106.42874145507812,6.805856704711914,145.37911987304688,-107.11917877197266,6.750546455383301,6.91970190938198,3.516732545385275,-1.0,0.022558027079303676,0.3333333432674408,0.0,46.65,36
L-1:6,3.8458394081842675,2.0964202129476113,1.5744571269658125,5.321500220970003,2.1784399870554965,1.6704729983712305,1.6320186516563195,6.2469540354857465,3.532996209226439,1.1326933544931477,542.1905517578125,72.37344360351562,327.50347900390625,331.3221130371094,167.05328369140625,349.15081787109375,197.16192626953125,264.3466796875,442.41259765625,467.080322265625,535.3428955078125,60.8537712097168,353.8659362792969,174.8865966796875,105.43342590332031,441.43682861328125,165.02572631835938,760.3849487304688,259.73626708984375,246.5748748779297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.03921568766236305,0.04313725605607033,0.03529411926865578,0.0313725508749485,0.0313725508749485,146.47259521484375,-105.26966857910156,5.044554710388184,147.41110229492188,-104.83599853515625,4.707393169403076,147.62530517578125,-104.43211364746094,4.6238203048706055,146.10076904296875,-104.16323852539062,4.812459945678711,146.03619384765625,-104.22926330566406,4.80669641494751,143.74688720703125,-104.50666809082031,5.209592819213867,144.71466064453125,-105.44464111328125,5.6615118980407715,144.9501953125,-106.1345443725586,5.8255157470703125,145.95001220703125,-106.62462615966797,5.634153842926025,145.95001220703125,-106.62462615966797,5.634153842926025,8.481496532769707,3.397425205114558,1.0,0.021742424242424244,2.6666667461395264,0.0,36.9,32
L-1:7,8.496610330920289,0.422993864076426,1.2805383116019022,5.068368120710591,3.5999016185713466,1.3907865733045965,1.6045119980316034,0.8913084199312247,0.9540884601824416,6.390280380986504,539.9307250976562,89.06365203857422,344.6591796875,345.3572998046875,71.09432220458984,301.38909912109375,37.12395095825195,322.71051025390625,421.79510498046875,369.0473327636719,1070.99365234375,25.584436416625977,368.6867370605469,245.6791534423828,196.7091522216797,647.9006958007812,126.88212585449219,474.9144287109375,419.2861633300781,366.37860107421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,144.63330078125,-107.10181427001953,4.567312240600586,145.10516357421875,-106.9795913696289,4.5714287757873535,145.210205078125,-107.08411407470703,4.6270647048950195,146.97817993164062,-107.26045227050781,4.5049967765808105,147.6976318359375,-108.15316009521484,4.473546504974365,146.92840576171875,-106.20594787597656,3.7674057483673096,146.209228515625,-106.20610046386719,4.404629230499268,144.4012451171875,-106.56134033203125,4.241693496704102,144.77484130859375,-106.90104675292969,4.369087219238281,145.08135986328125,-107.13371276855469,4.571487903594971,11.74850685985611,4.958505989701968,-1.0,0.022598920863309353,3.333333432674408,0.0,39.49,108
L-1:8,2.755793629309225,3.5206132497997293,0.28351464989092784,7.180451166140101,2.2307090188274943,6.650746289468492,2.9174628010874213,6.092006531611168,7.4493645745442,0.059130068174524014,519.3408203125,3.9152798652648926,447.4195556640625,532.585693359375,269.36285400390625,782.3970947265625,83.32430267333984,525.9984130859375,300.7718505859375,212.45062255859375,730.9890747070312,9.1450834274292,443.63671875,259.954345703125,191.91012573242188,654.8541870117188,204.7489013671875,615.8460693359375,672.7732543945312,551.4180297851562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,144.7696533203125,-104.34095764160156,6.5499677658081055,144.95681762695312,-104.15597534179688,6.100633144378662,150.31710815429688,-103.68749237060547,4.764777660369873,150.30120849609375,-103.62626647949219,4.650659561157227,146.76190185546875,-103.64739227294922,5.093082904815674,144.9847412109375,-103.30747985839844,5.731539249420166,144.29241943359375,-103.16716003417969,6.443914890289307,144.18878173828125,-103.26846313476562,6.887005805969238,144.2135009765625,-103.59074401855469,6.9864501953125,144.41424560546875,-103.88300323486328,6.90915060043335,8.295714591301454,7.055282829191505,-1.0,0.01981903676261043,1.0000000298023224,3.08,39.74,100
L-1:9,4.837263385748059,2.9235722774525192,0.8923036896561227,5.4567178283497375,1.4984942322913997,1.1352083779182982,0.2634339470208248,1.61263079647441,2.8659043289496333,1.5695682391555548,507.76300048828125,95.43911743164062,389.8504333496094,368.4866027832031,25.07193946838379,409.637451171875,239.15646362304688,608.6800537109375,422.8810119628906,327.0426330566406,1528.5601806640625,288.9742736816406,662.184814453125,491.24957275390625,156.43284606933594,645.3612060546875,281.11395263671875,881.0177001953125,569.770263671875,373.5882568359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.027450982481241226,144.86236572265625,-107.77903747558594,5.783758640289307,144.0438232421875,-107.76721954345703,5.196147441864014,145.054931640625,-107.85662078857422,4.8110880851745605,144.69036865234375,-108.47086334228516,4.658511161804199,144.62417602539062,-109.06063079833984,4.850001335144043,145.10629272460938,-107.3536148071289,4.503720283508301,143.92901611328125,-107.79464721679688,5.349283695220947,143.97256469726562,-107.7979507446289,6.056722640991211,144.22491455078125,-107.89391326904297,6.134546756744385,145.00653076171875,-107.66435241699219,6.0823869705200195,10.395902873182248,6.758738508948104,-1.0,0.01605562200956938,1.0000000298023224,0.0,30.68,36
L-1:10,0.38305159491992874,4.414921952211075,1.0884946953730852,2.964297392184546,5.451221958290191,0.6553516388165431,1.5791587919882193,1.179808860128843,1.2857493331289993,4.393690055946909,738.77197265625,59.69887924194336,759.6303100585938,355.4418640136719,113.8192367553711,680.6836547851562,247.16189575195312,416.4927978515625,870.6182250976562,683.0967407226562,103.12911224365234,42.387290954589844,452.591552734375,338.84332275390625,530.9845581054688,963.3009643554688,405.57000732421875,941.7318115234375,598.3878784179688,508.89129638671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,142.16552734375,-111.53749084472656,6.685904026031494,142.5819091796875,-111.80033874511719,6.692261695861816,143.67730712890625,-112.16838836669922,6.443629741668701,143.7296142578125,-112.50413513183594,6.4552202224731445,143.54583740234375,-112.7864761352539,6.594368934631348,142.33367919921875,-113.51664733886719,6.727361679077148,139.2581787109375,-111.1352310180664,5.9664459228515625,140.1842041015625,-110.78704833984375,6.541574001312256,141.3778076171875,-110.44600677490234,6.426352024078369,142.08035278320312,-110.72010803222656,6.406949996948242,18.11918382149483,6.066781708446392,-1.0,0.015200911940723854,2.0000000596046448,0.0,30.48,16
