Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.168045716218985,1.7523747147476365,3.0360238649351485,4.000436003807128,5.847658842531592,6.654016104590187,3.12567266711724,10.08037691253673,12.352082856271,13.275929242084864,1172.58544921875,566.3668823242188,511.99139404296875,475.15234375,281.9375915527344,560.3509521484375,580.33837890625,780.7225952148438,941.8306884765625,577.212890625,617.7799072265625,82.66319274902344,710.6857299804688,252.91127014160156,548.9848022460938,1147.846435546875,236.6934814453125,834.6527709960938,802.9617309570312,402.43072509765625,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.08235294371843338,0.0784313753247261,0.08235294371843338,0.08627451211214066,0.09019608050584793,0.13333334028720856,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.1666666716337204,0.20000001788139343,0.23333334922790527,295.3359680175781,-9.603103637695312,-0.4595690965652466,295.3359680175781,-9.603103637695312,-0.4595690965652466,295.1524963378906,-9.632248878479004,-0.7145023941993713,294.8213806152344,-9.929689407348633,-1.5615745782852173,294.8585205078125,-10.270648002624512,-3.5646259784698486,294.8585205078125,-10.270648002624512,-3.5646259784698486,294.26263427734375,-9.309674263000488,-1.1716824769973755,294.26019287109375,-9.437392234802246,-1.6998432874679565,294.26019287109375,-9.437392234802246,-1.6998432874679565,294.5986633300781,-9.667149543762207,-0.5639458298683167,5.45051702993639,4.822479090136728,-1.0,0.013972681359044996,2.0,0.0,17.39,4
L-1:2,6.697225065437383,3.8526666040304813,3.0928817719171673,1.767397209441301,4.046763125401251,2.8746425654122523,5.791884804243451,9.163874025508669,3.6188399404133578,5.945368652462664,1162.3687744140625,122.64057922363281,651.5507202148438,547.0750732421875,175.7564697265625,1005.994140625,497.859619140625,965.93994140625,721.8002319335938,567.7102661132812,1036.7254638671875,213.40701293945312,828.3806762695312,610.8223876953125,535.5440063476562,1018.8374633789062,568.3610229492188,1010.7942504882812,820.6233520507812,437.0400695800781,0.10196079313755035,0.09019608050584793,0.09803922474384308,0.09803922474384308,0.08627451211214066,0.0784313753247261,0.09803922474384308,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.23333334922790527,0.06666667014360428,0.13333334028720856,0.23333334922790527,0.13333334028720856,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.06666667014360428,295.8096923828125,-8.76827335357666,-3.532707929611206,295.8096923828125,-8.76827335357666,-3.532707929611206,295.8245544433594,-8.484795570373535,-3.5693013668060303,295.1942138671875,-8.936775207519531,-3.9617769718170166,295.1942138671875,-8.936775207519531,-3.9617769718170166,295.42138671875,-10.061884880065918,-3.245795726776123,295.356201171875,-9.119804382324219,-4.502068042755127,295.6451416015625,-8.62767219543457,-3.9199085235595703,295.6451416015625,-8.62767219543457,-3.9199085235595703,295.8096923828125,-8.76827335357666,-3.532707929611206,3.2939905786386876,7.295141004588297,-1.0,0.014379765395894428,2.5,0.0,14.01,100
L-1:3,5.567303805371128,3.0486568251696298,4.040783224814976,7.209524944879911,5.686418646667399,5.360613397061846,15.450675223982104,17.569712219748244,8.86815265976214,9.515715083796088,5.648385047912598,0.025011589750647545,373.24310302734375,47.76466751098633,244.315185546875,887.1075439453125,414.92279052734375,850.4420166015625,689.8624877929688,381.2480773925781,1196.6265869140625,188.6902313232422,1264.9443359375,748.5203247070312,253.16519165039062,1529.864990234375,989.8477172851562,1466.6485595703125,1082.166259765625,567.2163696289062,0.0784313753247261,0.0941176563501358,0.09803922474384308,0.0941176563501358,0.0941176563501358,0.10196079313755035,0.08627451211214066,0.10196079313755035,0.09019608050584793,0.09019608050584793,0.10000000894069672,0.06666667014360428,0.23333334922790527,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.06666667014360428,0.1666666716337204,0.06666667014360428,0.10000000894069672,297.1753845214844,-8.030198097229004,-2.4087514877319336,298.111328125,-9.837906837463379,-2.343332052230835,297.09930419921875,-9.115011215209961,-3.058462619781494,297.09930419921875,-9.115011215209961,-3.058462619781494,296.8851013183594,-9.707998275756836,-4.603801250457764,296.8851013183594,-9.707998275756836,-4.603801250457764,297.2232666015625,-9.447805404663086,-4.4916582107543945,297.2232666015625,-9.447805404663086,-4.4916582107543945,297.9733581542969,-9.52285385131836,-2.7673230171203613,297.9733581542969,-9.52285385131836,-2.7673230171203613,3.983722419801334,1.922111764478421,-1.0,0.012765607886089814,2.5,0.0,13.32,108
L-1:4,5.204267362039955,4.048955038320013,7.151675778067475,5.90269643391655,7.075297050200811,7.939454232062723,1.4376853638030263,9.597496075792726,10.661892374173252,15.360352211660183,1869.518310546875,230.3057861328125,1145.933837890625,540.6539306640625,480.4390869140625,1507.904296875,197.5555419921875,1312.8614501953125,1018.8614501953125,566.1362915039062,2133.100830078125,291.6897888183594,1123.6383056640625,370.5117492675781,225.69088745117188,1281.0440673828125,526.9849243164062,2004.1695556640625,1330.8919677734375,791.86767578125,0.0941176563501358,0.11372549831867218,0.0941176563501358,0.0941176563501358,0.0941176563501358,0.08627451211214066,0.08627451211214066,0.0784313753247261,0.08627451211214066,0.10196079313755035,0.06666667014360428,0.10000000894069672,0.20000001788139343,0.10000000894069672,0.10000000894069672,0.13333334028720856,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.20000001788139343,296.9671325683594,-9.300369262695312,-2.31298565864563,296.18670654296875,-9.011914253234863,-2.985952854156494,296.18670654296875,-9.011914253234863,-2.985952854156494,296.2596740722656,-8.921528816223145,-2.656989336013794,296.2596740722656,-8.921528816223145,-2.656989336013794,296.2596740722656,-8.921528816223145,-2.656989336013794,296.53582763671875,-8.763700485229492,-2.437134027481079,296.53582763671875,-8.763700485229492,-2.437134027481079,296.9671325683594,-9.300369262695312,-2.31298565864563,296.9671325683594,-9.300369262695312,-2.31298565864563,13.767505359180543,7.121098458511275,1.0,0.009280303030303031,1.5,7.61,10.85,68
L-1:5,5.271189157537886,5.88312812882456,4.821789957604913,10.626768376249231,6.393620297353405,3.1476968676241714,12.584984857820494,13.088866601159141,6.40994675733587,0.8146920253196358,1155.1551513671875,333.9098815917969,781.0567626953125,562.7776489257812,790.9176635742188,833.0467529296875,370.8547668457031,881.4397583007812,61.91843032836914,139.97821044921875,1802.9766845703125,145.18263244628906,1908.614501953125,404.00054931640625,203.2539825439453,1133.24853515625,405.66705322265625,1437.921875,937.4325561523438,1197.515380859375,0.10588236153125763,0.09803922474384308,0.09803922474384308,0.08627451211214066,0.0784313753247261,0.08627451211214066,0.08235294371843338,0.08627451211214066,0.09019608050584793,0.09803922474384308,0.1666666716337204,0.10000000894069672,0.3333333432674408,0.1666666716337204,0.06666667014360428,0.2666666805744171,0.06666667014360428,0.13333334028720856,0.10000000894069672,0.13333334028720856,296.3962707519531,-8.700990676879883,-2.7624642848968506,296.3962707519531,-8.700990676879883,-2.7624642848968506,296.71014404296875,-8.668187141418457,-2.884061574935913,296.71014404296875,-8.668187141418457,-2.884061574935913,296.81536865234375,-8.837621688842773,-2.889017105102539,295.79071044921875,-10.565771102905273,-4.128129005432129,295.7340087890625,-10.403698921203613,-3.208656072616577,295.7340087890625,-10.403698921203613,-3.208656072616577,296.05694580078125,-8.750001907348633,-2.864659309387207,296.05694580078125,-8.750001907348633,-2.864659309387207,3.6881206910530686,13.811609735019964,1.0,0.013030740935365213,2.5,0.0,14.17,32
L-1:6,2.020788487842331,2.514696993388511,2.031367277581214,11.226767201150887,12.613838187687218,17.41606937901534,16.034786065292398,6.236398692321349,5.312152001647666,9.035630536054555,812.907470703125,101.88321685791016,538.6561279296875,531.8131713867188,401.68310546875,1015.2348022460938,158.518310546875,963.5576782226562,472.6297912597656,509.2886962890625,1073.3885498046875,31.75269889831543,864.9314575195312,891.9158935546875,208.73623657226562,1010.1214599609375,280.8185119628906,834.096435546875,837.244873046875,285.2552795410156,0.0941176563501358,0.0941176563501358,0.09803922474384308,0.09803922474384308,0.0941176563501358,0.09803922474384308,0.09019608050584793,0.08627451211214066,0.08627451211214066,0.09019608050584793,0.10000000894069672,0.10000000894069672,0.1666666716337204,0.10000000894069672,0.10000000894069672,0.20000001788139343,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.23333334922790527,297.3782958984375,-9.69847297668457,-1.0814377069473267,296.8494873046875,-9.902527809143066,-1.241436243057251,296.85589599609375,-10.12258529663086,-1.7781623601913452,296.85589599609375,-10.12258529663086,-1.7781623601913452,296.776611328125,-10.249361991882324,-2.9192352294921875,297.0693054199219,-9.850223541259766,-4.0699782371521,297.91729736328125,-9.32561206817627,-3.881770133972168,297.91729736328125,-9.32561206817627,-3.881770133972168,298.4039001464844,-9.456910133361816,-2.8450193405151367,297.2154846191406,-9.376802444458008,-1.2104183435440063,3.7393474644775675,4.603268632492502,-1.0,0.012436170212765957,11.0,0.0,18.37,32
L-1:7,6.615229196397907,5.112274385636278,16.539311656104065,2.9398960931853373,7.410539809393107,10.500552413379168,6.553113182436672,4.639031811672573,6.308500468224844,2.490574775085809,586.7576293945312,218.18653869628906,703.7471313476562,778.1201171875,205.61270141601562,709.1720581054688,96.53971099853516,755.1510009765625,604.5001220703125,443.3666687011719,986.19287109375,163.42015075683594,522.50146484375,961.0045776367188,817.1070556640625,1327.853515625,235.69155883789062,798.1002197265625,533.807861328125,403.06976318359375,0.0941176563501358,0.09803922474384308,0.09019608050584793,0.0941176563501358,0.09019608050584793,0.0941176563501358,0.09803922474384308,0.09019608050584793,0.09803922474384308,0.08235294371843338,0.10000000894069672,0.1666666716337204,0.06666667014360428,0.13333334028720856,0.10000000894069672,0.10000000894069672,0.3333333432674408,0.10000000894069672,0.23333334922790527,0.10000000894069672,297.425537109375,-9.52393913269043,-2.6156458854675293,297.2500305175781,-9.249823570251465,-3.2409777641296387,297.2500305175781,-9.249823570251465,-3.2409777641296387,296.7665100097656,-9.12081241607666,-3.3763809204101562,296.79156494140625,-9.124550819396973,-2.1860146522521973,297.1061096191406,-9.462674140930176,-1.5466071367263794,297.53253173828125,-9.664224624633789,-1.2600913047790527,297.53253173828125,-9.664224624633789,-1.2600913047790527,297.6611633300781,-9.634537696838379,-1.5628596544265747,297.6613464355469,-9.460980415344238,-1.8341695070266724,2.217571771986212,3.74202255800571,1.0,0.01334639498432602,3.5,0.0,17.03,68
L-1:8,12.833189238303689,8.322154059297276,9.818348398693534,8.972909887509134,18.083142203461918,12.321581524342987,8.642467303988136,4.019607101153891,6.728167485384352,14.496367724457386,1439.862548828125,203.82553100585938,1953.3612060546875,1098.5780029296875,373.308837890625,1624.7716064453125,814.4789428710938,2162.1171875,1577.82421875,1830.6966552734375,1746.1158447265625,683.7384643554688,441.1885681152344,617.40185546875,7.704082489013672,1570.6029052734375,638.8897094726562,1599.2867431640625,1798.9613037109375,908.2730712890625,0.0941176563501358,0.09803922474384308,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.08627451211214066,0.08627451211214066,0.0784313753247261,0.0784313753247261,0.08235294371843338,0.23333334922790527,0.13333334028720856,0.06666667014360428,0.06666667014360428,0.1666666716337204,0.13333334028720856,0.23333334922790527,0.13333334028720856,0.1666666716337204,0.20000001788139343,297.25054931640625,-7.553369045257568,-2.6181700229644775,296.92559814453125,-7.787403106689453,-3.212897300720215,296.92559814453125,-7.787403106689453,-3.212897300720215,296.92559814453125,-7.787403106689453,-3.212897300720215,296.92559814453125,-7.787403106689453,-3.212897300720215,296.296142578125,-7.66385555267334,-3.671624183654785,296.296142578125,-7.66385555267334,-3.671624183654785,296.9217529296875,-7.742471694946289,-3.4040396213531494,297.25054931640625,-7.553369045257568,-2.6181700229644775,297.25054931640625,-7.553369045257568,-2.6181700229644775,28.521003027064992,18.04500893453072,-1.0,0.007929943767572634,1.5,6.28,9.67,68
L-1:9,9.65319084656872,5.8322538425348665,2.5898127694996718,5.04033663032623,4.555195705970022,4.987480026156907,3.4882926040377704,6.847648540892885,1.6259622378708813,5.301552269127458,803.9739990234375,216.38319396972656,649.3263549804688,752.723388671875,271.4605407714844,925.0678100585938,324.4369812011719,1131.3592529296875,805.0910034179688,461.0250244140625,1088.810791015625,221.53289794921875,862.8613891601562,689.689208984375,117.10002136230469,1180.7760009765625,323.0532531738281,1502.720947265625,524.0502319335938,236.7495574951172,0.09019608050584793,0.0941176563501358,0.0941176563501358,0.09803922474384308,0.0941176563501358,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.0784313753247261,0.09019608050584793,0.10000000894069672,0.20000001788139343,0.1666666716337204,0.30000001192092896,0.10000000894069672,0.06666667014360428,0.10000000894069672,0.20000001788139343,0.20000001788139343,0.23333334922790527,297.875,-7.733191967010498,-0.7326247692108154,297.4798583984375,-7.922811031341553,-1.0988153219223022,297.0444030761719,-8.322309494018555,-1.7805366516113281,297.0444030761719,-8.322309494018555,-1.7805366516113281,296.8819274902344,-9.044353485107422,-3.4703752994537354,296.8819274902344,-9.044353485107422,-3.4703752994537354,297.3772888183594,-8.98121166229248,-3.5551323890686035,297.9376525878906,-8.92686653137207,-2.2305376529693604,297.9376525878906,-8.92686653137207,-2.2305376529693604,297.9376525878906,-8.92686653137207,-2.2305376529693604,0.8228260230823614,5.247771540334426,-1.0,0.012710348162475823,3.0,0.0,15.02,100
L-1:10,13.757803217047304,6.378902948553227,7.340455409063564,7.300619090514526,15.637321192334236,7.042613342982641,7.069318483550365,8.342693443115506,9.38951939608557,14.121438208505548,1565.7835693359375,493.84228515625,812.5592041015625,924.4453125,542.5098266601562,814.150390625,348.04730224609375,799.03955078125,1092.732421875,806.7324829101562,1938.12841796875,57.839656829833984,1985.6304931640625,1460.5775146484375,1297.9898681640625,1611.7314453125,685.530029296875,1839.03955078125,909.360595703125,1413.8768310546875,0.09803922474384308,0.0941176563501358,0.09019608050584793,0.08627451211214066,0.08627451211214066,0.08627451211214066,0.09019608050584793,0.08627451211214066,0.09019608050584793,0.09803922474384308,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.13333334028720856,0.1666666716337204,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.10000000894069672,298.16192626953125,-8.182719230651855,-3.291602373123169,298.16192626953125,-8.182719230651855,-3.291602373123169,297.861572265625,-8.33425521850586,-3.3251750469207764,297.861572265625,-8.33425521850586,-3.3251750469207764,298.1278076171875,-7.9137139320373535,-3.232088088989258,298.49005126953125,-8.720220565795898,-2.688734769821167,298.49005126953125,-8.720220565795898,-2.688734769821167,298.49005126953125,-8.720220565795898,-2.688734769821167,298.3945007324219,-8.470270156860352,-3.146458864212036,298.3945007324219,-8.470270156860352,-3.146458864212036,4.492216417618638,9.205913446919624,1.0,0.01196797520661157,2.0,0.0,16.55,32
L-1:11,2.9847593734030724,6.61709122512735,7.357117887502805,3.880655030204821,1.8717227954751374,4.88718007029581,6.2677710499552415,8.942708518093411,4.5561947094807005,2.769481165974874,1065.106201171875,93.06756591796875,856.0410766601562,835.794677734375,289.9648132324219,871.114013671875,18.12689208984375,379.2958068847656,591.7207641601562,157.46022033691406,395.33258056640625,51.695926666259766,548.5821533203125,435.39892578125,377.7922668457031,1316.8953857421875,362.332275390625,1053.3450927734375,1259.047607421875,593.076416015625,0.0941176563501358,0.09019608050584793,0.0784313753247261,0.07450980693101883,0.0941176563501358,0.09803922474384308,0.09019608050584793,0.09019608050584793,0.09803922474384308,0.09803922474384308,0.10000000894069672,0.20000001788139343,0.06666667014360428,0.06666667014360428,0.10000000894069672,0.1666666716337204,0.10000000894069672,0.10000000894069672,0.20000001788139343,0.13333334028720856,297.8895263671875,-8.296921730041504,-4.87996768951416,297.8833312988281,-8.828661918640137,-5.681162357330322,297.8833312988281,-8.828661918640137,-5.681162357330322,298.6464538574219,-6.583172798156738,-1.898692011833191,298.1343078613281,-7.0553975105285645,-3.4973409175872803,297.6573181152344,-7.509910583496094,-5.858623027801514,297.3108215332031,-7.574813365936279,-6.473560810089111,297.38299560546875,-7.747366428375244,-5.946800231933594,297.38299560546875,-7.747366428375244,-5.946800231933594,297.8895263671875,-8.296921730041504,-4.87996768951416,3.171454069319557,16.52024764563812,-1.0,0.016694844789356983,5.0,0.0,17.21,0
L-1:12,17.52655701400427,8.06072035695399,6.098497661968818,6.514793467966335,17.645378273278617,13.076629597337345,6.650264687887233,8.412386580958277,4.853597318387817,7.613893024947387,1570.192626953125,343.4903259277344,1787.763427734375,512.6076049804688,509.0447082519531,1762.41259765625,420.1396484375,1630.8365478515625,1585.6278076171875,1379.37890625,2111.9072265625,95.00507354736328,1174.039794921875,977.8585205078125,835.5863037109375,1291.5721435546875,725.6703491210938,1166.302001953125,0.0,0.0,0.10196079313755035,0.0941176563501358,0.0941176563501358,0.08627451211214066,0.0941176563501358,0.10196079313755035,0.09803922474384308,0.08627451211214066,0.0941176563501358,0.0784313753247261,0.23333334922790527,0.10000000894069672,0.10000000894069672,0.10000000894069672,0.13333334028720856,0.23333334922790527,0.1666666716337204,0.10000000894069672,0.20000001788139343,0.2666666805744171,297.69232177734375,-8.475858688354492,-3.7058582305908203,297.69232177734375,-8.475858688354492,-3.7058582305908203,297.69232177734375,-8.475858688354492,-3.7058582305908203,297.67498779296875,-7.984494686126709,-2.498034954071045,297.67498779296875,-7.984494686126709,-2.498034954071045,297.67498779296875,-7.984494686126709,-2.498034954071045,297.45977783203125,-8.5206298828125,-1.9871973991394043,297.45977783203125,-8.5206298828125,-1.9871973991394043,296.9836730957031,-8.613412857055664,-1.9327442646026611,297.344970703125,-7.846996307373047,-1.6905733346939087,5.176691167579098,4.08030771306855,1.0,0.008881208997188379,2.0,8.97,10.83,0
