Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.7726071633268905,7.590621011768228,4.3483778396100945,3.7226944665931505,3.2890196286705615,9.055385408008922,5.819215402611039,5.571060573749522,2.3616819850096613,2.1123636599699895,544.0099487304688,146.3638916015625,982.1583862304688,454.18792724609375,547.1929931640625,974.302001953125,135.30227661132812,582.7713623046875,444.29119873046875,119.14875030517578,904.6431274414062,58.109867095947266,720.48779296875,224.09471130371094,395.6151428222656,1130.5509033203125,174.05120849609375,694.752197265625,456.4434509277344,561.56494140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.01568627543747425,0.01764705963432789,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.019607843831181526,47.09783935546875,-41.35097885131836,-10.118985176086426,49.2305908203125,-39.28416061401367,-7.435727596282959,49.678985595703125,-38.000457763671875,-7.896775245666504,49.08502197265625,-38.24713134765625,-8.831145286560059,46.229278564453125,-40.61594009399414,-11.567301750183105,44.38897705078125,-42.11690902709961,-12.792835235595703,40.7747802734375,-44.60386657714844,-19.285585403442383,40.33447265625,-45.299537658691406,-19.095661163330078,40.692718505859375,-45.340763092041016,-17.666576385498047,43.385650634765625,-43.28901672363281,-14.398849487304688,8.856887101013413,5.7253042265134795,1.0,0.014414967162115452,1.3333333730697632,0.0,23.83,100
L-1:2,5.044248800470843,6.148462656391301,2.6571610519070394,6.495916978607517,3.904678496901403,0.9428090696799625,6.89795250528817,1.0618631778205276,1.2055412817503708,1.6290472773361544,1227.2115478515625,35.46648406982422,744.7379760742188,594.0377197265625,267.4197998046875,801.8900756835938,49.397586822509766,709.8900756835938,509.95526123046875,672.9185180664062,624.3804931640625,145.0907745361328,1009.555908203125,552.0632934570312,357.7152404785156,550.10107421875,345.0310974121094,1028.48974609375,828.5426025390625,999.5426025390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.01764705963432789,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.02352941408753395,0.021568628028035164,9.244293212890625,-30.259326934814453,-4.854156494140625,9.689849853515625,-29.763648986816406,-4.404208660125732,55.919281005859375,-30.13351821899414,-4.797959327697754,54.23065185546875,-32.83815383911133,-6.367712020874023,51.373016357421875,-35.981475830078125,-8.876470565795898,2.22662353515625,-33.037296295166016,-16.11586570739746,0.082305908203125,-35.2503547668457,-17.57969856262207,358.43035888671875,-36.42265701293945,-18.4429931640625,359.95416259765625,-35.349796295166016,-16.441959381103516,5.038482666015625,-32.123191833496094,-10.37165641784668,4.242640813559831,5.532364277774337,1.0,0.012575468424705066,2.0000000596046448,0.0,20.71,68
L-1:3,9.055385408008924,14.360565787167861,6.236765158748175,3.3276687347285345,0.5462740864316982,5.676462291147221,4.389020887984848,0.33014546937712125,4.381006048138873,1.5659067689718829,944.668701171875,35.130680084228516,415.8126220703125,319.7349548339844,456.1463928222656,1433.5040283203125,225.26040649414062,1007.6500854492188,572.8931274414062,290.23455810546875,1235.8873291015625,210.88990783691406,811.6663208007812,695.306640625,532.6765747070312,882.2518310546875,589.8370971679688,1010.7444458007812,856.6820068359375,726.8619995117188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.02352941408753395,0.019607843831181526,0.021568628028035164,0.021568628028035164,2.11309814453125,-32.1423454284668,-15.463139533996582,4.884246826171875,-29.509246826171875,-13.612338066101074,10.77447509765625,-25.32997703552246,-6.8363776206970215,9.470550537109375,-26.39371681213379,-8.970918655395508,0.22161865234375,-34.34083938598633,-18.299211502075195,356.26202392578125,-37.377254486083984,-21.599069595336914,356.26202392578125,-37.377254486083984,-21.599069595336914,353.1772155761719,-39.71401596069336,-23.446556091308594,353.77679443359375,-39.13936233520508,-22.121143341064453,357.4774475097656,-36.274009704589844,-19.013864517211914,7.310570951025755,11.502004788379134,-1.0,0.011226325757575758,3.333333432674408,0.0,23.71,68
L-1:4,25.733679521081765,9.638264050651674,6.380117336493223,4.14817231016025,1.4501404259813584,5.374838659048372,5.137155831875694,3.5216688441581527,6.258206069351358,13.88520258092467,741.0283203125,253.56967163085938,451.84063720703125,816.7984619140625,288.8620300292969,763.8014526367188,220.4932403564453,485.0878601074219,1847.2491455078125,61.47584533691406,789.3930053710938,99.75099182128906,447.9246520996094,68.4000473022461,358.53973388671875,396.87127685546875,179.07846069335938,1167.9608154296875,672.4624633789062,606.1668090820312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,6.827056884765625,-36.9209098815918,-9.313448905944824,7.947845458984375,-35.76177215576172,-8.57721996307373,7.78424072265625,-35.549957275390625,-8.9284086227417,7.230255126953125,-35.9423942565918,-9.704071044921875,3.99774169921875,-38.85755157470703,-14.445124626159668,2.01275634765625,-40.48320007324219,-14.5092191696167,0.807373046875,-41.689796447753906,-15.1949462890625,359.4342346191406,-42.73454666137695,-17.399883270263672,359.9871520996094,-42.2963752746582,-15.738306045532227,3.08782958984375,-39.69302749633789,-12.699554443359375,11.82276558632466,6.6614834284133355,1.0,0.01743881118881119,0.6666666865348816,-8.38,31.35,76
L-1:5,12.337837383244027,12.918474626367532,4.5539323340495,3.493151531956542,2.302569731334049,1.0540925848038838,3.677667380798282,2.9885908216355572,1.9627112309100099,5.952007189250067,614.8621826171875,28.00752067565918,383.61083984375,72.55960083007812,233.9170684814453,677.29931640625,77.34242248535156,1254.4342041015625,942.5230712890625,643.996337890625,1205.281494140625,0.3807939291000366,694.315673828125,846.9566650390625,261.063720703125,726.85205078125,465.67083740234375,919.0156860351562,600.9581298828125,457.9936218261719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.01764705963432789,0.01764705963432789,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.021568628028035164,4.425689697265625,-37.720672607421875,-16.847972869873047,9.248992919921875,-33.42236328125,-13.240378379821777,9.902862548828125,-32.69853591918945,-12.607282638549805,9.780853271484375,-32.74055099487305,-12.839509963989258,1.50830078125,-39.93690872192383,-18.06096839904785,357.6291809082031,-43.810752868652344,-21.22052574157715,354.1031494140625,-47.04169464111328,-23.989713668823242,352.9831237792969,-47.41151809692383,-24.73736572265625,353.17864990234375,-46.82778549194336,-24.361291885375977,358.7870788574219,-42.10183334350586,-20.6662654876709,6.86375363188046,3.2586504188225054,-1.0,0.014839616904834298,1.3333333730697632,0.0,27.89,108
L-1:6,4.714045348399812,11.028389523724991,4.542091576536214,0.4190591338786986,5.923570163810035,3.1622777544115976,3.166324459556031,0.7710754185813243,3.770916765019517,5.202062882789673,641.2691040039062,23.310577392578125,539.1625366210938,649.2349853515625,194.7776336669922,385.99053955078125,317.8267517089844,797.1357421875,612.9146728515625,464.0890808105469,1360.59765625,55.44138717651367,693.2435913085938,437.42626953125,428.04052734375,913.7017822265625,426.4645080566406,883.7628784179688,882.3207397460938,718.732421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01764705963432789,0.01764705963432789,0.019607843831181526,0.013725491240620613,0.021568628028035164,0.01764705963432789,0.01764705963432789,0.019607843831181526,0.019607843831181526,0.021568628028035164,5.96240234375,-34.935977935791016,-15.331073760986328,9.560699462890625,-31.592845916748047,-11.834725379943848,12.620330810546875,-30.266559600830078,-7.511353015899658,10.244781494140625,-31.0604248046875,-10.248202323913574,5.6363525390625,-35.17635726928711,-15.13664436340332,1.27880859375,-39.29029083251953,-19.26028823852539,1.27880859375,-39.29029083251953,-19.26028823852539,358.8294372558594,-41.619422912597656,-21.544204711914062,359.06182861328125,-41.15156936645508,-21.42361068725586,2.2635498046875,-38.17089080810547,-18.734989166259766,12.67105225012558,9.559707745866511,-1.0,0.014126794258373206,2.0000000596046448,0.0,23.62,32
L-1:7,4.5338236380302845,5.416558292975478,1.9160783891225917,1.381340576144674,7.134859781240282,1.7950549892083143,11.783018205036605,7.168150786487127,7.458371968037055,2.291971222900374,950.1586303710938,103.63227844238281,865.953857421875,601.9183349609375,310.20196533203125,1030.3765869140625,326.1120300292969,1106.0826416015625,734.0171508789062,469.77911376953125,1487.9466552734375,567.6387329101562,721.4514770507812,385.3675537109375,410.99993896484375,763.0658569335938,552.6885986328125,1199.1029052734375,998.3274536132812,605.198486328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.01764705963432789,0.01764705963432789,0.01764705963432789,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,3.759796142578125,-35.40144729614258,-16.06067657470703,7.67120361328125,-32.21723937988281,-12.996013641357422,8.200958251953125,-31.80876922607422,-12.717576026916504,7.309234619140625,-32.55215072631836,-13.643691062927246,3.6990966796875,-35.51297378540039,-16.988435745239258,3.6990966796875,-35.51297378540039,-16.988435745239258,357.1862487792969,-41.07952880859375,-21.946548461914062,356.3098449707031,-41.95745086669922,-21.8987979888916,358.6650695800781,-39.88277053833008,-19.981245040893555,358.6650695800781,-39.88277053833008,-19.981245040893555,2.0000000596046448,1.8043573774728567,1.0,0.011838600852272728,3.000000089406967,0.0,19.05,32
L-1:8,19.00292431798356,15.515094726505449,3.4555020979715727,6.18365775444824,6.463203629439047,2.357022674199906,3.675617144357583,4.040663573856122,1.6362218548613745,11.679555317972445,945.9185180664062,263.15557861328125,387.28765869140625,762.9794311523438,349.7583923339844,1437.5750732421875,138.2989501953125,982.6107788085938,699.7711181640625,621.5784912109375,954.0975952148438,59.22291564941406,1002.5980834960938,815.5591430664062,351.9134826660156,1165.5260009765625,4.253597736358643,980.8222045898438,546.3785400390625,540.8770141601562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.02352941408753395,0.021568628028035164,0.01764705963432789,0.01764705963432789,0.019607843831181526,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,5.126373291015625,-34.87835693359375,-9.985455513000488,5.516143798828125,-34.122718811035156,-9.942479133605957,5.64642333984375,-33.599090576171875,-10.054837226867676,5.486602783203125,-33.164337158203125,-10.56676197052002,4.883819580078125,-33.3818359375,-11.384156227111816,3.33099365234375,-35.63340377807617,-12.907181739807129,2.1580810546875,-36.897891998291016,-13.497137069702148,1.7802734375,-37.4732551574707,-13.376852989196777,1.490386962890625,-37.94694900512695,-13.10186767578125,2.954925537109375,-36.71134948730469,-11.678625106811523,12.041594937659779,8.09414246659364,1.0,0.016427477017364658,3.6666667759418488,-7.97,27.57,64
L-1:9,9.871395557497737,5.910222373738689,1.9048580737155631,7.328220644592098,6.826464419297854,5.497474331327716,7.297602609241248,1.3731170464452702,3.1241953193095555,3.086051769872033,716.852294921875,106.50838470458984,548.2792358398438,429.1946105957031,225.04234313964844,1287.201171875,206.5917510986328,565.9961547851562,396.2702331542969,360.6600646972656,1000.3590087890625,1.1968472003936768,746.1806030273438,635.9304809570312,303.3051452636719,784.1527099609375,369.2464599609375,886.4688720703125,850.1925659179688,648.0040283203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01764705963432789,0.01764705963432789,0.019607843831181526,0.013725491240620613,0.01764705963432789,0.019607843831181526,0.01764705963432789,0.019607843831181526,0.021568628028035164,0.019607843831181526,357.2291259765625,-41.72834396362305,-20.869384765625,2.832489013671875,-37.577903747558594,-17.235736846923828,3.70013427734375,-37.127864837646484,-16.63161277770996,0.661529541015625,-40.285667419433594,-19.19701385498047,357.29144287109375,-43.29733657836914,-21.694446563720703,356.8948059082031,-41.379486083984375,-20.855987548828125,354.6561584472656,-43.96552276611328,-22.52509307861328,352.5769348144531,-45.42538070678711,-23.91390037536621,352.6286315917969,-44.780418395996094,-23.668977737426758,354.21881103515625,-43.66207504272461,-22.531944274902344,22.541320755379306,9.797336531806714,-1.0,0.015946969696969696,2.0000000596046448,0.0,33.68,100
L-1:10,4.955356396787293,0.7496065891252023,0.6188960376085719,2.983719569266593,2.8003378463663444,6.674994997097276,0.9668966979826691,4.700581169168188,5.293003838038648,0.551321286165759,697.0692749023438,20.308849334716797,642.6837158203125,417.6074523925781,190.013916015625,811.005859375,91.82490539550781,764.6987915039062,449.08294677734375,375.3304748535156,963.1693725585938,223.20877075195312,596.2608642578125,419.1500549316406,256.4501037597656,938.7388916015625,433.10357666015625,888.2890014648438,743.4357299804688,277.7403259277344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.01764705963432789,0.01568627543747425,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.02352941408753395,0.019607843831181526,359.47625732421875,-37.851112365722656,-18.914579391479492,0.412841796875,-37.0904655456543,-18.816431045532227,0.9259033203125,-36.4654426574707,-18.771326065063477,0.951416015625,-36.08334732055664,-19.077943801879883,4.1724853515625,-33.94709014892578,-15.369043350219727,1.1461181640625,-36.3582763671875,-18.17950439453125,358.32342529296875,-38.79518127441406,-20.48569679260254,357.1130065917969,-39.649757385253906,-21.03508758544922,357.0207214355469,-39.54078674316406,-20.599103927612305,358.2384033203125,-38.58483123779297,-19.41802406311035,3.333333432674408,1.31839680376042,-1.0,0.013380115900036217,2.3333334028720856,0.0,21.11,100
