Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,7.690855439243544,5.78938187708442,2.481868624147867,1.1530191834133388,4.170861357380016,2.797932486414636,6.30186105490385,12.651598285071513,10.281733273055806,11.416206179712217,851.98388671875,171.99513244628906,474.6187438964844,384.54132080078125,184.74591064453125,534.0061645507813,122.20245361328125,534.8817138671875,491.77777099609375,213.03158569335938,533.9569702148438,66.80746459960938,609.9425048828125,403.24871826171875,383.67413330078125,891.5643920898438,409.64605712890625,858.5447998046875,559.9349975585938,705.4971313476563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23137256503105164,0.23137256503105164,0.23137256503105164,0.23137256503105164,0.23137256503105164,0.23137256503105164,0.23137256503105164,0.23137256503105164,0.23137256503105164,0.23137256503105164,162.578125,-36.53125,-6.734375,155.21875,-39.046875,-8.109375,147.359375,-39.984375,-9.921875,137.90625,-40.28125,-10.03125,107.703125,-41.546875,-12.71875,126.203125,-42.015625,-14.625,126.640625,-41.5,-14.796875,137.421875,-41.21875,-13.25,162.53125,-37.15625,-7.71875,162.53125,-37.15625,-7.71875,4.168042654171147,1.8337483839779178,1.0,0.01715909090909091,6.000000178813934,0.0,28.69,100
L-1:2,5.500740401711302,2.694307601510586,6.958694130301472,5.0293891199082985,6.889105511474171,5.601701703974562,5.812811829696031,1.5680255965861427,2.342281218140549,1.2057360642396253,567.2703247070313,2.9237728118896484,808.8896484375,491.3495178222656,229.50140380859375,610.982177734375,174.26922607421875,782.7551879882813,647.6868896484375,320.08514404296875,856.0223999023438,54.25568389892578,607.0856323242188,479.0692138671875,229.636962890625,1000.3628540039063,291.8869323730469,746.6145629882813,794.61083984375,700.72021484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2352941334247589,0.2352941334247589,0.2352941334247589,0.2352941334247589,0.2352941334247589,0.2352941334247589,0.2352941334247589,0.2352941334247589,0.2352941334247589,0.2352941334247589,148.609375,-33.09375,-6.3125,148.921875,-33.5625,-7.0625,154.9375,-34.875,-7.609375,168.75,-33.84375,-6.984375,114.671875,-40.046875,-14.15625,114.640625,-40.15625,-13.71875,122.78125,-38.1875,-13.5,135.125,-35.703125,-10.78125,143.453125,-34.1875,-7.515625,148.203125,-33.78125,-6.53125,5.657592538667857,4.092861910118789,1.0,0.014459074136195908,2.6666667461395264,0.0,24.63,36
L-1:3,1.2904566601102367,1.4438274565786116,3.1163154728682807,0.314755073845306,3.2762463070282206,7.989206946143329,3.3777740751838516,1.0888432482272128,5.0851513279423015,2.287381267288783,999.1994018554688,5.196097373962402,542.0281982421875,427.0590515136719,198.6144561767578,637.9972534179688,132.3817596435547,566.8004760742188,519.0819702148438,478.1658020019531,686.6238403320313,145.20289611816406,713.5596313476563,660.140869140625,512.9757690429688,762.541259765625,373.8378601074219,864.255859375,524.5453491210938,626.871826171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19607844948768616,0.19607844948768616,0.19607844948768616,0.19607844948768616,0.19607844948768616,0.19607844948768616,0.19607844948768616,0.19607844948768616,0.19607844948768616,0.19607844948768616,149.09375,-33.25,-7.34375,148.875,-33.65625,-6.921875,131.484375,-35.90625,-9.53125,122.1875,-36.875,-10.8125,117.09375,-37.5,-12.828125,127.234375,-37.90625,-13.046875,145.171875,-34.828125,-11.0,159.265625,-32.6875,-7.6875,165.0,-32.296875,-6.984375,165.0,-32.296875,-6.984375,27.436255339709643,5.294171565179551,1.0,0.015127994748933376,1.0000000298023224,0.0,26.34,100
L-1:4,1.7609856214217785,6.817837992485075,1.2327143956783715,3.870503590960397,4.709212889707538,1.1239826764905865,2.1867060689161204,6.147806914706665,6.236675700338028,6.965284612957893,711.2988891601563,206.6414337158203,628.7537231445313,397.438232421875,314.09979248046875,693.40966796875,189.5660400390625,874.3727416992188,664.9443969726563,292.6990661621094,606.331298828125,5.688159465789795,556.2218017578125,443.611083984375,262.9520568847656,568.5007934570313,232.89561462402344,973.0878295898438,625.7274169921875,277.11260986328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,0.2039215862751007,167.515625,-36.953125,-8.21875,167.3125,-37.1875,-8.359375,159.171875,-38.75,-9.921875,151.578125,-39.90625,-11.71875,144.15625,-41.125,-12.921875,129.84375,-41.15625,-13.578125,116.296875,-40.6875,-12.609375,150.609375,-38.453125,-10.75,161.546875,-37.40625,-8.765625,167.328125,-36.953125,-8.21875,8.473349411600243,3.0364511402803855,1.0,0.01701555023923445,1.3333333730697632,5.36,28.45,100
L-1:5,2.259688420140596,2.971278243080146,2.1747335393068266,4.512784661405244,1.8748603559578763,6.009785892358988,6.5877015154192735,4.251900479970281,3.6170053985047037,2.8449185452781784,689.849365234375,72.97628784179688,634.9370727539063,305.63287353515625,230.86074829101563,732.5275268554688,137.92446899414063,662.1730346679688,528.2089233398438,323.92474365234375,747.052978515625,132.58721923828125,964.130859375,271.1037292480469,51.76202392578125,952.3250122070313,407.5753173828125,1013.8607177734375,541.8868408203125,625.1019897460938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24705883860588074,0.24705883860588074,0.24705883860588074,0.24705883860588074,0.24705883860588074,0.24705883860588074,0.24705883860588074,0.24705883860588074,0.24705883860588074,0.24705883860588074,155.4375,-35.375,-7.0625,147.265625,-36.765625,-7.796875,135.125,-38.75,-9.75,125.765625,-39.4375,-10.96875,134.390625,-39.046875,-10.515625,120.4375,-41.890625,-15.171875,132.78125,-40.40625,-13.125,147.671875,-37.390625,-10.125,155.8125,-35.84375,-7.921875,155.84375,-35.34375,-6.984375,9.060057113470235,6.748547955643192,1.0,0.014752578981302384,3.6666667759418488,0.0,26.15,76
L-1:6,3.4554241525017027,5.796425503837484,2.961538025327742,0.11143397235493531,0.3302430055378794,1.533787811702906,0.5858896965346766,0.9654525236318442,2.4736578969854053,3.6724429633999462,620.748046875,18.85626983642578,549.5725708007813,429.689208984375,114.16450500488281,440.5080871582031,145.59739685058594,490.63720703125,414.67730712890625,406.68182373046875,477.6155700683594,9.812718391418457,650.1647338867188,520.7974243164063,284.30096435546875,1092.575439453125,248.6815185546875,969.4677734375,635.0992431640625,492.69537353515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,158.578125,-34.578125,-8.625,162.828125,-35.28125,-9.296875,163.296875,-35.828125,-9.609375,144.046875,-37.96875,-12.65625,128.921875,-40.046875,-15.21875,129.09375,-39.6875,-14.625,129.34375,-39.140625,-14.59375,138.1875,-37.4375,-13.78125,141.34375,-36.46875,-10.40625,152.1875,-35.171875,-8.421875,23.504072960223372,6.12232538650361,1.0,0.01593910806174957,1.666666716337204,0.0,31.86,108
L-1:7,2.843453323293845,12.400092889942217,1.1134277728146968,6.036959495566887,1.0252478828254667,2.1116673735941927,3.6094870714632066,3.276930127364327,6.272995561102717,2.0814991562904153,829.9986572265625,108.53509521484375,399.52520751953125,258.76007080078125,304.5204772949219,835.2428588867188,131.71726989746094,438.83599853515625,486.7687072753906,388.88134765625,888.5592651367188,87.27591705322266,614.3980102539063,414.5819091796875,273.4847106933594,945.4365234375,114.51712799072266,707.8324584960938,812.3743896484375,383.9924011230469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.25882354378700256,147.1875,-33.1875,-6.78125,146.75,-34.1875,-7.859375,142.421875,-36.140625,-9.09375,137.109375,-37.125,-10.1875,136.828125,-39.28125,-13.0625,146.765625,-37.765625,-12.5,113.21875,-39.328125,-14.65625,122.875,-36.875,-13.8125,134.5,-34.53125,-10.203125,147.265625,-32.734375,-7.046875,2.1462086435268537,6.009285146052816,1.0,0.015830284266816777,1.3333333730697632,0.0,32.14,4
L-1:8,1.0687536940179583,7.201399087816653,8.660638861668078,4.810458400566947,3.958275630014619,13.5799801647803,19.967317284909246,16.875375047302196,11.115255949336298,5.644543329343138,802.04736328125,123.18003845214844,856.317626953125,456.2114562988281,251.43704223632813,628.06884765625,408.0304870605469,805.271728515625,651.0919799804688,288.9194641113281,1219.4254150390625,227.42938232421875,681.9519653320313,625.65283203125,316.4694519042969,765.2462158203125,185.4997100830078,1215.106201171875,546.454833984375,313.9652404785156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16470588743686676,118.828125,-30.375,-3.421875,150.671875,-33.625,-6.78125,124.078125,-36.359375,-9.953125,112.359375,-37.46875,-10.515625,98.296875,-37.296875,-12.0625,98.109375,-37.1875,-11.6875,102.03125,-36.03125,-10.6875,109.125,-33.59375,-7.609375,114.671875,-31.890625,-4.65625,118.765625,-30.625,-3.28125,21.831071800303313,17.096474200455418,1.0,0.012980371900826446,5.000000149011612,4.07,28.72,68
L-1:9,0.9372786259446007,4.659738300478014,1.4545079671267394,2.1302917828985755,4.409297354226464,3.2363747036118538,2.586283744474752,2.324756473429132,2.802342201242352,4.9642856217558835,516.1204223632813,133.1438751220703,1486.592041015625,893.9431762695313,127.00235748291016,736.4595336914063,144.1902618408203,839.8826904296875,348.5335388183594,559.056884765625,900.2098388671875,84.2255859375,551.5816040039063,365.8887023925781,388.2977600097656,1111.5093994140625,404.38232421875,849.92431640625,730.5460205078125,607.8275756835938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22745099663734436,0.22745099663734436,0.22745099663734436,0.22745099663734436,0.22745099663734436,0.22745099663734436,0.22745099663734436,0.22745099663734436,0.22745099663734436,0.22745099663734436,137.0,-33.34375,-8.390625,140.75,-33.28125,-8.34375,142.40625,-36.21875,-10.6875,122.9375,-38.796875,-13.21875,110.609375,-39.90625,-15.84375,110.96875,-39.34375,-15.171875,117.203125,-37.78125,-13.671875,124.5,-36.0,-11.140625,133.078125,-33.984375,-8.953125,133.078125,-33.984375,-8.953125,8.764313861977033,5.829184683173748,1.0,0.012811895551257254,3.000000089406967,0.0,22.71,76
L-1:10,2.501760318213906,7.981016592272827,2.9107697095692,4.345758563658539,8.035582780847273,5.224622506057696,5.9328931581967455,1.879177581997793,2.2199060427362136,0.595594435692467,803.4872436523438,253.3764190673828,554.4817504882813,430.2518615722656,226.35723876953125,775.755859375,287.7088623046875,746.4234008789063,421.754150390625,377.5278625488281,741.9876098632813,119.599365234375,732.125244140625,336.3904724121094,169.6626739501953,933.3264770507813,243.2786865234375,687.3812255859375,767.8866577148438,361.4665832519531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.21176472306251526,150.53125,-35.046875,-9.5625,143.40625,-35.21875,-9.984375,128.765625,-38.15625,-11.78125,119.578125,-38.671875,-12.375,109.9375,-39.59375,-13.640625,106.59375,-40.078125,-14.015625,117.15625,-37.765625,-12.8125,127.34375,-35.5625,-10.8125,127.734375,-34.234375,-9.75,155.0625,-34.703125,-8.703125,22.767592247492143,4.564639387191237,1.0,0.01543904958677686,4.0000001192092896,0.0,25.62,96
