Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.383164553178918,1.5061788663149156,2.718723142450839,12.38497669589481,8.635422382072427,7.871760595201309,3.099973956688406,5.1288308698711855,2.511897529864466,8.723991049957206,2522.1689453125,453.78668212890625,756.2297973632812,449.1365051269531,198.66876220703125,1614.304443359375,955.584716796875,2071.787109375,1235.8812255859375,1296.9342041015625,2848.8564453125,158.59645080566406,1499.389404296875,916.1036376953125,560.4927368164062,2338.767578125,236.37025451660156,3873.89990234375,1911.555419921875,1726.89404296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.02549019828438759,0.027450982481241226,0.027450982481241226,0.019607843831181526,0.027450982481241226,0.021568628028035164,212.83575439453125,-78.89414978027344,3.267860174179077,212.5219268798828,-79.14534759521484,3.8857052326202393,210.72291564941406,-76.67111206054688,3.3606116771698,211.06199645996094,-77.73770141601562,3.1543610095977783,211.06199645996094,-77.73770141601562,3.1543610095977783,210.57025146484375,-79.74544525146484,2.8734233379364014,210.57025146484375,-79.74544525146484,2.8734233379364014,211.24696350097656,-80.5853500366211,2.975316286087036,211.24696350097656,-80.5853500366211,2.975316286087036,212.09144592285156,-80.56351470947266,3.096651554107666,4.312586686741968,11.38379631232366,-1.0,0.006142676767676767,2.25,0.0,13.9,36
L-1:2,3.768865307108361,2.7576193270630487,4.234342529671265,7.514150907779039,9.927865603031318,10.909205170235321,11.489991960946842,13.13800627074982,7.033699606649669,3.9529735514909268,1860.01220703125,474.0572204589844,1008.3624267578125,400.7538757324219,1004.2052001953125,2612.291259765625,527.0900268554688,1350.004638671875,1656.9234619140625,1240.11767578125,1984.23095703125,95.32498168945312,1642.393310546875,1091.9569091796875,1086.3397216796875,2954.87841796875,528.4894409179688,744.7035522460938,2755.653564453125,2945.71337890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.029411766678094864,0.02352941408753395,0.03333333507180214,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.027450982481241226,215.36285400390625,-74.62397766113281,3.0916080474853516,215.27516174316406,-73.68145751953125,3.4259517192840576,213.47740173339844,-74.83883666992188,3.869422674179077,213.94522094726562,-74.63374328613281,3.6649630069732666,214.02462768554688,-75.7271499633789,3.469774007797241,214.45286560058594,-76.23834228515625,3.000699758529663,214.45286560058594,-76.23834228515625,3.000699758529663,214.72425842285156,-75.45166015625,3.1062917709350586,214.72425842285156,-75.45166015625,3.1062917709350586,215.36285400390625,-74.62397766113281,3.0916080474853516,7.436720606894531,14.594556614992397,-1.0,0.005897891963109354,6.75,0.0,12.79,44
L-1:3,4.693258588441353,6.098095599816771,2.2794337449932733,7.581649022568179,12.637914827689832,1.4767898303837956,4.822864173447523,3.1061599635430923,5.8217918451381445,3.826962231795085,2811.13134765625,179.13868713378906,2437.8935546875,1345.99267578125,655.7543334960938,2083.542236328125,1013.297119140625,2744.921630859375,2003.95068359375,1395.3284912109375,704.348388671875,61.349761962890625,2266.800048828125,1590.131103515625,516.8082885742188,2162.6103515625,1011.3766479492188,4489.4326171875,1655.59228515625,833.3656616210938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.021568628028035164,0.027450982481241226,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.0313725508749485,0.027450982481241226,0.021568628028035164,0.0313725508749485,216.7739715576172,-70.86253356933594,2.8640496730804443,216.7739715576172,-70.86253356933594,2.8640496730804443,216.56204223632812,-70.34150695800781,3.4973318576812744,216.56204223632812,-70.34150695800781,3.4973318576812744,216.61021423339844,-70.65005493164062,3.262584924697876,216.11935424804688,-73.6694564819336,2.6182374954223633,215.84420776367188,-75.07987976074219,2.268951654434204,216.07693481445312,-72.81816864013672,2.1518969535827637,216.07693481445312,-72.81816864013672,2.1518969535827637,216.63572692871094,-72.10198974609375,2.2437214851379395,7.913781239217904,7.878642686686787,-1.0,0.004986732810336871,4.25,0.0,12.35,36
L-1:4,5.727963888896298,4.469164545908061,5.985810721199431,4.838028774662339,9.130347519666774,13.086209331365085,16.8477335034266,1.5706313834062362,9.483865969421103,11.020643295027874,2206.88525390625,53.38896179199219,2203.77294921875,1008.17431640625,17.760412216186523,749.5208740234375,360.0287780761719,1665.7210693359375,2295.472900390625,1901.2169189453125,3247.38330078125,424.77606201171875,1532.5439453125,1686.2760009765625,101.71784973144531,2736.94287109375,1443.028564453125,2922.275390625,1915.90234375,1407.0946044921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.0313725508749485,0.029411766678094864,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.021568628028035164,0.0313725508749485,219.75372314453125,-71.12621307373047,2.3818867206573486,219.75372314453125,-71.12621307373047,2.3818867206573486,219.525634765625,-70.80958557128906,2.3851070404052734,218.79148864746094,-71.20873260498047,2.7964372634887695,218.87197875976562,-71.43701934814453,2.1922130584716797,218.87197875976562,-71.43701934814453,2.1922130584716797,218.9320068359375,-72.54503631591797,2.1473445892333984,218.9320068359375,-72.54503631591797,2.1473445892333984,219.41064453125,-72.69730377197266,2.286893367767334,219.41064453125,-72.69730377197266,2.286893367767334,9.62463080949052,12.413852886968108,-1.0,0.005696185997910136,2.5,4.57,12.46,68
L-1:5,3.5727498689352104,5.059936858758342,11.115121074763264,15.698741608943745,12.651913907279264,10.064776050636343,6.26634370800787,2.273712057062472,10.895218331931861,6.057283799727067,2510.9423828125,229.69256591796875,1605.384765625,854.2752685546875,291.0650329589844,1757.7744140625,738.9732666015625,2432.843505859375,1810.0086669921875,1234.3548583984375,2177.8701171875,457.5589294433594,3470.322998046875,2020.63525390625,777.5916748046875,2544.3486328125,2441.039306640625,3162.68798828125,399.7183532714844,722.8704833984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.021568628028035164,0.021568628028035164,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.013725491240620613,220.10316467285156,-67.75939178466797,0.3138887882232666,220.2354278564453,-67.46357727050781,0.043108515441417694,220.51853942871094,-68.18917083740234,-0.059259187430143356,220.51853942871094,-68.18917083740234,-0.059259187430143356,220.51376342773438,-69.32615661621094,-0.062127262353897095,220.65415954589844,-69.45023345947266,-0.03150063008069992,220.65415954589844,-69.45023345947266,-0.03150063008069992,220.8832244873047,-68.14317321777344,-0.18572136759757996,220.8832244873047,-68.14317321777344,-0.18572136759757996,220.22952270507812,-68.21981811523438,0.35967063903808594,18.695928299641917,9.847201720592807,1.0,0.0051253721089993135,8.5,0.0,12.79,108
L-1:6,1.6750310183257848,1.4549424465435532,2.588682612482785,8.120324088763939,4.673175310268859,4.954671624289648,3.6979452288666392,0.673731110726281,0.9123729344428176,0.8178324292064146,2273.864013671875,300.5488586425781,3187.9365234375,1099.1531982421875,108.21650695800781,1603.4632568359375,783.3423461914062,2767.97021484375,1964.9771728515625,1102.9874267578125,3394.60009765625,605.0631713867188,1882.8809814453125,1046.052490234375,612.3882446289062,3907.1533203125,477.53887939453125,849.92822265625,935.56005859375,746.9358520507812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.029411766678094864,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.021568628028035164,0.029411766678094864,0.027450982481241226,0.027450982481241226,220.5223846435547,-69.90484619140625,-0.6068515777587891,220.5223846435547,-69.90484619140625,-0.6068515777587891,220.6759033203125,-70.15384674072266,-0.6320467591285706,220.6759033203125,-70.15384674072266,-0.6320467591285706,220.43301391601562,-70.05339050292969,-0.4346773028373718,220.43301391601562,-70.05339050292969,-0.4346773028373718,220.59666442871094,-69.24177551269531,-0.3809458017349243,220.59666442871094,-69.24177551269531,-0.3809458017349243,219.85165405273438,-70.83910369873047,-0.2286592274904251,220.38914489746094,-69.54983520507812,-0.5990471243858337,3.084444481589799,4.940989151745399,1.0,0.005275362318840579,0.5,0.0,11.44,64
L-1:7,1.8090629875220667,6.180152397342251,8.031622885326227,11.060592187055835,21.340461137348473,9.356601616235013,4.755565763013955,8.810590019222346,6.825525272275829,6.647732892181633,2726.1513671875,201.5945281982422,2481.326416015625,1326.115478515625,1029.6982421875,2905.24609375,260.58831787109375,3445.861572265625,2269.721923828125,1123.50830078125,4493.1162109375,768.3655395507812,1148.7652587890625,1219.524658203125,257.084716796875,2005.65185546875,16.61884307861328,2212.259033203125,1441.6787109375,925.8356323242188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.029411766678094864,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.0313725508749485,220.5111083984375,-69.21863555908203,-0.8524294495582581,220.4736328125,-69.47854614257812,-0.9489379525184631,220.4736328125,-69.47854614257812,-0.9489379525184631,220.10345458984375,-71.15167236328125,-0.9359997510910034,220.0626678466797,-73.09375,-1.3990752696990967,220.0626678466797,-73.09375,-1.3990752696990967,220.0626678466797,-73.09375,-1.3990752696990967,220.7131805419922,-70.07915496826172,-0.8565175533294678,220.7131805419922,-70.07915496826172,-0.8565175533294678,220.5111083984375,-69.21863555908203,-0.8524294495582581,1.4218978041612258,8.022744430314322,1.0,0.0042748388530784625,4.5,0.0,10.99,96
L-1:8,3.9045509000028273,4.292723536858085,3.463252532154135,7.399974188060591,12.781062538831756,10.236052350916973,2.7494817793890785,10.152106582006335,8.81782121599798,11.930864712238106,2086.46875,252.85678100585938,1818.3729248046875,866.7105712890625,333.0812072753906,2225.37060546875,1422.12646484375,2615.467529296875,2624.35205078125,1202.3951416015625,2836.68896484375,438.8237609863281,2506.7939453125,1170.309326171875,1183.9169921875,3042.503662109375,1013.5586547851562,4235.87451171875,2285.001220703125,1585.215087890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.03333333507180214,0.0313725508749485,0.027450982481241226,0.021568628028035164,218.82757568359375,-65.02240753173828,1.099797248840332,218.82757568359375,-65.02240753173828,1.099797248840332,218.7052459716797,-63.441070556640625,1.385981798171997,218.7052459716797,-63.441070556640625,1.385981798171997,218.16065979003906,-62.67820739746094,1.0695996284484863,218.16065979003906,-62.67820739746094,1.0695996284484863,218.2899627685547,-63.71928024291992,0.7466630339622498,218.2899627685547,-63.71928024291992,0.7466630339622498,219.23257446289062,-64.04058837890625,0.5443925261497498,219.23257446289062,-64.04058837890625,0.5443925261497498,3.976252155896981,10.488547940802635,-1.0,0.004841370558375635,0.5,4.3,11.99,64
L-1:9,7.2046820887700616,4.9506661680003505,1.6636947065312637,7.108275373378645,8.174842826922799,11.945856814211142,9.105980855202068,7.52050441551812,11.907300151046828,5.790838910487854,833.8854370117188,605.6060180664062,2152.544921875,996.1775512695312,144.68516540527344,1756.7471923828125,741.1343994140625,1582.8292236328125,1454.936279296875,744.43505859375,2399.765380859375,58.84845733642578,1190.6092529296875,823.9821166992188,30.561792373657227,1153.1298828125,866.4526977539062,4933.20751953125,2485.249267578125,2178.55517578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.021568628028035164,0.03333333507180214,0.027450982481241226,0.027450982481241226,0.029411766678094864,220.62484741210938,-70.9929428100586,0.5224599838256836,220.46530151367188,-69.69317626953125,0.5551294684410095,220.5587921142578,-70.90452575683594,0.5079657435417175,220.11032104492188,-70.35028839111328,0.5212958455085754,220.11032104492188,-70.35028839111328,0.5212958455085754,219.70521545410156,-70.94461822509766,0.5073533654212952,219.70521545410156,-70.94461822509766,0.5073533654212952,220.05322265625,-71.01586151123047,0.6353216171264648,220.05322265625,-71.01586151123047,0.6353216171264648,220.62484741210938,-70.9929428100586,0.5224599838256836,9.498517573289417,11.110435526567683,-1.0,0.006080591187953151,5.25,0.0,12.46,64
L-1:10,2.0813568912584555,2.3540374536120168,5.387848527954827,13.658723777872748,5.430005317359439,1.0626453973355907,8.473050486128665,3.83175113208359,4.586197426502944,3.4215546799075196,2179.501708984375,322.2645568847656,1161.67236328125,1168.5447998046875,1.4223012924194336,1244.7215576171875,588.2263793945312,1842.4205322265625,914.518310546875,1038.0181884765625,1176.8551025390625,328.5115661621094,2221.233642578125,1727.2674560546875,178.8810272216797,2081.465576171875,753.8333740234375,1584.1644287109375,1388.1912841796875,1203.87255859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.029411766678094864,0.029411766678094864,0.021568628028035164,0.029411766678094864,0.027450982481241226,0.0313725508749485,0.029411766678094864,0.03529411926865578,0.029411766678094864,222.3744659423828,-72.09362030029297,-0.30207309126853943,222.3744659423828,-72.09362030029297,-0.30207309126853943,221.828857421875,-72.28226470947266,0.1457950919866562,221.3917694091797,-72.4395523071289,0.3697846829891205,220.82838439941406,-72.67891693115234,0.2800590991973877,221.666259765625,-74.26226043701172,-0.7771284580230713,221.93406677246094,-73.13140106201172,-0.7572042346000671,221.93406677246094,-73.13140106201172,-0.7572042346000671,222.4700927734375,-72.41109466552734,-0.5866096019744873,222.4700927734375,-72.41109466552734,-0.5866096019744873,8.481716463084359,7.398174407440974,-1.0,0.006236888111888112,3.5,0.0,14.27,68
