Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,13.017083181117055,17.265544499474323,10.105232704429211,6.922306259532855,21.36301210803343,4.268749618840547,1.1324414011855992,4.829806896834924,4.707858377721117,3.219139970019722,2460.83251953125,393.37286376953125,2124.72607421875,1278.9736328125,1452.2635498046875,1740.6978759765625,63.572940826416016,2324.924560546875,408.0501708984375,899.2191772460938,3729.75244140625,941.886474609375,2650.42236328125,1743.228759765625,268.3868713378906,1768.167724609375,51.97305679321289,423.3608093261719,1446.7340087890625,885.278564453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.021568628028035164,50.804656982421875,-41.841861724853516,-7.257190704345703,51.85673904418945,-41.76195526123047,-7.685338973999023,51.85673904418945,-41.76195526123047,-7.685338973999023,51.85673904418945,-41.76195526123047,-7.685338973999023,50.272743225097656,-42.42380905151367,-7.977229118347168,50.272743225097656,-42.42380905151367,-7.977229118347168,47.80858612060547,-43.302520751953125,-8.747414588928223,47.80858612060547,-43.302520751953125,-8.747414588928223,47.70339584350586,-43.452274322509766,-9.199313163757324,50.804656982421875,-41.841861724853516,-7.257190704345703,8.485281627119662,8.198124340990924,1.0,0.006320304209409267,2.6666667461395264,0.0,10.21,36
L-1:2,2.6874193295241846,2.7413926511142765,6.339611795016798,3.177866135664862,4.258920677003767,2.357022674199906,8.724338500350017,4.335250933359044,3.284492990435424,1.9517110669988431,2467.67919921875,385.1603088378906,1314.6688232421875,1258.49072265625,731.839599609375,2252.97265625,423.0678405761719,1989.001220703125,1081.3316650390625,890.1654052734375,27.65003204345703,89.0220718383789,1420.358154296875,1010.2722778320313,922.7298583984375,1796.100341796875,762.3814086914063,1636.7037353515625,1962.1766357421875,1344.8970947265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,47.39009475708008,-41.48133850097656,-2.620725154876709,47.39009475708008,-41.48133850097656,-2.620725154876709,47.39009475708008,-41.48133850097656,-2.620725154876709,47.4949951171875,-42.186981201171875,-3.2357499599456787,47.4949951171875,-42.186981201171875,-3.2357499599456787,48.90553283691406,-42.99361038208008,-4.774868965148926,51.742008209228516,-43.55980682373047,-6.673249244689941,51.742008209228516,-43.55980682373047,-6.673249244689941,51.01063537597656,-42.69860076904297,-5.552626609802246,51.01063537597656,-42.69860076904297,-5.552626609802246,5.906681891589282,5.916459583620629,-1.0,0.006870973514674303,4.0000001192092896,0.0,10.97,100
L-1:3,3.299831743879868,4.245562620067769,10.456249079134155,14.32974078274813,7.904228713988919,3.299831743879868,3.2898382054466437,2.8294538270932916,3.7064051856547926,4.023230157030183,2582.754638671875,459.56231689453125,1918.950439453125,940.2002563476563,457.9502868652344,2086.6376953125,259.09381103515625,2369.391845703125,2786.6884765625,1285.4744873046875,2821.22802734375,228.89747619628906,1377.5411376953125,1692.98095703125,418.10711669921875,2445.9306640625,627.3325805664063,2036.77490234375,1233.080810546875,946.126953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02352941408753395,48.382911682128906,-40.13814926147461,-1.609722375869751,48.382911682128906,-40.13814926147461,-1.609722375869751,46.6993293762207,-40.67177963256836,-1.7014306783676147,46.6993293762207,-40.67177963256836,-1.7014306783676147,46.6993293762207,-40.67177963256836,-1.7014306783676147,47.43511199951172,-41.737003326416016,-3.440732002258301,47.43511199951172,-41.737003326416016,-3.440732002258301,47.43511199951172,-41.737003326416016,-3.440732002258301,49.731178283691406,-41.674068450927734,-3.936976909637451,49.731178283691406,-41.674068450927734,-3.936976909637451,10.54092584803866,0.7377530838304113,-1.0,0.006069023569023569,2.0000000596046448,0.0,10.3,36
L-1:4,13.828312753910183,4.37280670117243,14.77699157930563,10.458901797387485,16.7248088224881,19.487888557108946,14.629949348333996,1.5407440018327596,15.530278380138647,17.518697098337576,1998.158447265625,169.84463500976563,1949.5018310546875,1378.9625244140625,341.36212158203125,2559.022705078125,170.52293395996094,2659.754638671875,1228.339111328125,1337.4755859375,2515.8037109375,398.23834228515625,2315.947998046875,1568.869140625,94.4525146484375,2738.478515625,989.1915283203125,2315.20556640625,2116.490966796875,1035.5986328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,45.0776481628418,-40.23478698730469,0.060986246913671494,42.3071174621582,-40.2636604309082,-1.744117021560669,42.3071174621582,-40.2636604309082,-1.744117021560669,45.75294876098633,-40.72681427001953,-2.813408136367798,45.75294876098633,-40.72681427001953,-2.813408136367798,47.19609832763672,-41.42245864868164,-3.1853086948394775,47.19609832763672,-41.42245864868164,-3.1853086948394775,47.117347717285156,-40.911354064941406,-2.3845419883728027,47.117347717285156,-40.911354064941406,-2.3845419883728027,45.0776481628418,-40.23478698730469,0.060986246913671494,3.9015667531822884,7.272994777062716,-1.0,0.004990218642117377,8.000000238418579,4.39,12.39,100
L-1:5,2.7487371656638557,4.486502460537125,6.748774212893373,7.515207262219848,11.490894580354356,13.670731510359454,16.88559997242694,10.113513790269549,8.700404324592313,0.8520679865264348,2566.156005859375,304.23876953125,1460.8089599609375,1107.138916015625,163.84359741210938,798.638916015625,1079.794921875,1812.04296875,944.4226684570313,1199.4024658203125,2187.406982421875,261.5186767578125,2274.512451171875,1551.425048828125,1308.3831787109375,1460.4886474609375,1208.7181396484375,3188.078857421875,825.3214111328125,924.4655151367188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,47.580902099609375,-41.211761474609375,-5.2523698806762695,44.71672821044922,-41.516456604003906,-4.408016681671143,48.62272262573242,-41.004798889160156,-4.832019329071045,48.801422119140625,-41.34615707397461,-4.925331115722656,48.801422119140625,-41.34615707397461,-4.925331115722656,49.319854736328125,-41.5859489440918,-5.339456081390381,49.319854736328125,-41.5859489440918,-5.339456081390381,49.319854736328125,-41.5859489440918,-5.339456081390381,47.580902099609375,-41.211761474609375,-5.2523698806762695,47.580902099609375,-41.211761474609375,-5.2523698806762695,6.699917280420348,14.770437957723264,1.0,0.007353828743870238,6.666666865348816,0.0,11.14,100
L-1:6,1.3743685828319279,2.665836680293648,8.404560671578405,5.215788343599921,8.004692539998176,7.608475033759095,2.152981833001992,16.860079499738532,12.509355029580322,1.010543643248984,2661.472412109375,328.8088073730469,1430.3424072265625,1368.7467041015625,325.0057678222656,2278.894775390625,525.3995971679688,1534.360107421875,1916.4666748046875,1093.0633544921875,2464.90576171875,0.23197339475154877,0.0,0.0,804.1026000976563,2291.38232421875,330.88623046875,2290.759033203125,2101.694091796875,1307.6798095703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.021568628028035164,45.96575164794922,-41.8633918762207,-5.33328914642334,45.96575164794922,-41.8633918762207,-5.33328914642334,45.16704177856445,-42.52600860595703,-4.999622821807861,45.16704177856445,-42.52600860595703,-4.999622821807861,46.154232025146484,-43.478759765625,-5.692570209503174,46.154232025146484,-43.478759765625,-5.692570209503174,49.30070877075195,-44.27864456176758,-9.432406425476074,49.04203796386719,-43.038822174072266,-8.561357498168945,49.04203796386719,-43.038822174072266,-8.561357498168945,49.04203796386719,-43.038822174072266,-8.561357498168945,2.538591110943878,2.1846852920824027,-1.0,0.005980215827338129,6.666666865348816,0.0,10.45,100
L-1:7,4.33333346247673,7.186249012117764,11.184704299299549,4.299718126008044,2.651194366273793,6.574361170369899,6.411752260340795,1.7309683579656177,9.366421696894568,11.727258050166633,3121.26220703125,674.8807373046875,1350.1343994140625,1753.6324462890625,604.191162109375,2235.2373046875,280.0679016113281,1846.034423828125,125.11990356445313,187.60409545898438,2110.76171875,714.3214111328125,1494.6385498046875,2129.375,1099.930419921875,3019.685791015625,459.0105285644531,2715.60302734375,2535.44287109375,1291.3406982421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02549019828438759,47.30337905883789,-42.554805755615234,-2.8501694202423096,47.30337905883789,-42.554805755615234,-2.8501694202423096,47.87065887451172,-42.19089889526367,-3.5829477310180664,47.87065887451172,-42.19089889526367,-3.5829477310180664,47.25117874145508,-43.949668884277344,-4.032085418701172,48.972984313964844,-44.130130767822266,-5.323050022125244,48.972984313964844,-44.130130767822266,-5.323050022125244,48.957481384277344,-43.64845657348633,-4.923912525177002,48.957481384277344,-43.64845657348633,-4.923912525177002,48.957481384277344,-43.64845657348633,-4.923912525177002,15.092309013348208,9.206955421058458,-1.0,0.0057346723044397465,2.3333334028720856,0.0,10.85,100
L-1:8,4.630814801158966,26.227055860094655,11.346645171715773,8.002226573510816,15.634520092589351,2.2360680441398086,8.868567567470405,13.793189164669021,4.402626811589631,9.344622592684129,0.0,0.0,2042.1309814453125,862.709716796875,1384.523681640625,1474.8060302734375,277.76385498046875,2832.669189453125,1993.2222900390625,1157.99072265625,3264.675048828125,758.4528198242188,1400.5772705078125,1407.7979736328125,1183.8319091796875,2619.04736328125,310.8772277832031,1639.7548828125,1792.18115234375,945.8450927734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.021568628028035164,0.02352941408753395,43.48563766479492,-44.28266906738281,-4.457356929779053,49.1298713684082,-43.947906494140625,-5.494338035583496,49.1298713684082,-43.947906494140625,-5.494338035583496,48.2385139465332,-44.39902877807617,-5.487142086029053,48.2385139465332,-44.39902877807617,-5.487142086029053,46.60524368286133,-44.745269775390625,-5.524028301239014,46.60524368286133,-44.745269775390625,-5.524028301239014,46.60524368286133,-44.745269775390625,-5.524028301239014,44.18799591064453,-44.770870208740234,-5.132441520690918,44.18799591064453,-44.770870208740234,-5.132441520690918,14.970341494741342,4.393369113066512,1.0,0.006383196721311476,6.000000178813934,3.8,9.79,36
L-1:9,13.207742231060681,16.265742533868096,10.7092941627609,9.104910671865927,2.9918871619318197,2.6874193295241846,3.803736041708513,3.812776374407735,2.6421730096657687,5.884316029226751,2093.924560546875,5.181976795196533,1963.0325927734375,1371.090576171875,1008.8284912109375,1522.7491455078125,644.3826904296875,1763.700927734375,934.7764892578125,1277.6285400390625,2349.6669921875,397.2570495605469,2318.575927734375,1695.91162109375,874.315673828125,2002.541259765625,1019.4412841796875,2052.044189453125,1734.4888916015625,944.2748413085938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.021568628028035164,47.81331253051758,-41.512237548828125,-2.9662599563598633,47.81331253051758,-41.512237548828125,-2.9662599563598633,46.480228424072266,-41.8795166015625,-3.070538282394409,46.480228424072266,-41.8795166015625,-3.070538282394409,44.235172271728516,-42.595237731933594,-3.452261209487915,44.235172271728516,-42.595237731933594,-3.452261209487915,45.35936737060547,-41.96967697143555,-2.3547070026397705,45.35936737060547,-41.96967697143555,-2.3547070026397705,46.295005798339844,-41.50987243652344,-2.5658717155456543,46.295005798339844,-41.50987243652344,-2.5658717155456543,6.128258952919755,12.23310092328847,1.0,0.006655217772581116,6.333333522081375,0.0,13.01,0
L-1:10,1.490712029426539,4.000900334339654,2.9989411812872446,1.8516358805926352,5.400488016505451,4.027682111232468,8.685547820336161,4.215730146525271,3.419875262623692,4.264878253721801,2216.193603515625,365.5464782714844,1895.5762939453125,1551.1639404296875,704.0470581054688,1866.3685302734375,519.4076538085938,2407.77734375,1819.0277099609375,988.2423095703125,2601.439453125,232.12374877929688,1575.004150390625,1354.13623046875,370.53265380859375,1513.620361328125,689.1266479492188,1942.5142822265625,1198.9951171875,1165.8917236328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02352941408753395,46.28986740112305,-40.43122482299805,-2.275078058242798,46.28986740112305,-40.43122482299805,-2.275078058242798,46.14493942260742,-40.76083755493164,-2.466731309890747,46.14493942260742,-40.76083755493164,-2.466731309890747,44.25099182128906,-41.20975875854492,-2.6575253009796143,44.25099182128906,-41.20975875854492,-2.6575253009796143,43.046653747558594,-41.83195495605469,-2.750678062438965,43.046653747558594,-41.83195495605469,-2.750678062438965,45.63827896118164,-40.74198913574219,-2.3135783672332764,45.63827896118164,-40.74198913574219,-2.3135783672332764,10.770329935249842,1.8878709282189294,1.0,0.006422361195851128,4.33333346247673,0.0,12.03,0
