Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.428571492433548,5.698378301777232,2.54376083338635,2.9343343839874656,4.7183406731787505,8.576189537559037,8.645247474883082,3.8001176696682477,2.3877364669960155,5.824751888334446,2092.75244140625,294.1811218261719,1551.002197265625,1305.8822021484375,850.896484375,3084.40869140625,817.1279296875,1143.87841796875,902.1144409179688,244.75685119628906,2893.80419921875,235.82980346679688,2088.77392578125,1631.1373291015625,493.9675598144531,2680.5146484375,856.6329956054688,2614.8798828125,2154.721923828125,1242.183349609375,0.26274511218070984,0.24705883860588074,0.2352941334247589,0.24705883860588074,0.26274511218070984,0.2980392277240753,0.3333333432674408,0.3294117748737335,0.30980393290519714,0.2666666805744171,0.07916667312383652,0.07083334028720856,0.06666667014360428,0.07083334028720856,0.07500000298023224,0.07083334028720856,0.07500000298023224,0.07083334028720856,0.0625,0.0625,309.87335205078125,1.3991163969039917,1.8259108066558838,309.9109802246094,1.434338092803955,1.8111002445220947,309.94207763671875,1.456890344619751,1.8045767545700073,309.9858093261719,1.4883791208267212,1.7989352941513062,310.0188293457031,1.502199411392212,1.8020293712615967,309.7210693359375,1.2527517080307007,1.8736803531646729,309.7520751953125,1.2849682569503784,1.8749942779541016,309.7904052734375,1.3222060203552246,1.8707664012908936,309.81591796875,1.3483740091323853,1.853598952293396,309.8477783203125,1.3743805885314941,1.8383686542510986,16.593581994055576,11.948172966414859,-1.0,0.006108864445163378,0.8571428954601288,0.0,10.79,100
L-1:2,12.551933496251584,15.519351511268217,9.55804476331178,13.66390160012174,9.186308371007486,1.6162441435352777,7.009202435472708,13.11590665783675,14.513709980224833,15.445655141599339,3959.741455078125,197.898193359375,2138.27001953125,936.177490234375,1820.5408935546875,3185.90771484375,1863.2767333984375,3860.581298828125,2409.122314453125,1344.0428466796875,1865.611083984375,255.2104949951172,2134.413330078125,1720.1019287109375,34.685394287109375,860.3551635742188,1547.2640380859375,3599.4365234375,1505.3006591796875,959.4354248046875,0.26274511218070984,0.2666666805744171,0.250980406999588,0.22745099663734436,0.2666666805744171,0.2666666805744171,0.2549019753932953,0.26274511218070984,0.3019607961177826,0.29019609093666077,0.05833333730697632,0.06666667014360428,0.05833333730697632,0.07916667312383652,0.07500000298023224,0.0833333358168602,0.05833333730697632,0.0833333358168602,0.07500000298023224,0.0625,310.5672912597656,1.5758898258209229,1.7865731716156006,310.55169677734375,1.5796481370925903,1.7756837606430054,310.5086669921875,1.5825999975204468,1.7609469890594482,310.4841613769531,1.5806066989898682,1.7705374956130981,310.4452819824219,1.59028959274292,1.759898066520691,310.4024353027344,1.5926110744476318,1.756969928741455,310.3629455566406,1.589070439338684,1.768091082572937,310.32861328125,1.5874987840652466,1.773701786994934,310.6225891113281,1.566571593284607,1.8327600955963135,310.5996398925781,1.5695489645004272,1.8069015741348267,18.865799722474563,4.177456245073528,1.0,0.004709928229665072,2.2857143878936768,0.0,11.25,36
L-1:3,4.6860629142995345,4.394780520692581,19.604831091586373,17.973276602394474,11.212605750077191,3.7579848645566942,4.798839476303116,5.76913244946807,6.764949113909794,6.546712961819078,3524.708251953125,234.6730194091797,1885.42333984375,874.5020141601563,725.9928588867188,4376.63330078125,1186.536376953125,3162.74267578125,1941.3004150390625,1637.9788818359375,4530.85791015625,355.1799011230469,2633.339111328125,2165.556396484375,1169.79150390625,2126.290283203125,883.6888427734375,5309.66162109375,2781.796630859375,1607.0355224609375,0.2705882489681244,0.2666666805744171,0.250980406999588,0.24705883860588074,0.2549019753932953,0.2862745225429535,0.3019607961177826,0.30588236451148987,0.2980392277240753,0.27450981736183167,0.07916667312383652,0.06666667014360428,0.07083334028720856,0.07916667312383652,0.07916667312383652,0.0833333358168602,0.0833333358168602,0.07500000298023224,0.07500000298023224,0.07500000298023224,311.30511474609375,1.4862931966781616,1.8347077369689941,311.3002624511719,1.49347722530365,1.8208450078964233,311.43182373046875,1.4313346147537231,1.8325862884521484,311.4248046875,1.4352049827575684,1.8271276950836182,311.427978515625,1.4465700387954712,1.8270630836486816,311.4224548339844,1.4447633028030396,1.8328362703323364,311.41265869140625,1.4512484073638916,1.831621527671814,311.3396911621094,1.46277916431427,1.835684895515442,311.3273010253906,1.4677969217300415,1.837933897972107,311.3135070800781,1.4796174764633179,1.84403395652771,22.007420882838865,8.718156940805267,1.0,0.004136363636363636,7.714286059141159,0.0,8.45,68
L-1:4,3.8438927567135917,8.029279271796886,18.040435326752853,11.95180526151847,3.180524456921233,9.731078358399598,4.521250925791024,5.189140498624258,1.2908714886015356,4.661159176438952,2973.293701171875,270.28106689453125,2774.493408203125,1969.9207763671875,1910.1739501953125,2705.62939453125,1929.524658203125,2996.957763671875,2473.431640625,1689.63818359375,2147.444091796875,320.6632995605469,2059.7041015625,2502.024169921875,1551.96728515625,4019.772216796875,1288.7198486328125,2292.160400390625,2714.875244140625,2189.314208984375,0.2862745225429535,0.25882354378700256,0.22745099663734436,0.2549019753932953,0.2705882489681244,0.30980393290519714,0.29019609093666077,0.3019607961177826,0.3137255012989044,0.27843138575553894,0.07083334028720856,0.06666667014360428,0.05416667088866234,0.0625,0.06666667014360428,0.0833333358168602,0.06666667014360428,0.08750000596046448,0.07916667312383652,0.07500000298023224,311.16241455078125,1.130593180656433,1.9043837785720825,311.1546325683594,1.1270736455917358,1.9053611755371094,311.14581298828125,1.1207326650619507,1.909143090248108,311.14129638671875,1.1144676208496094,1.9037327766418457,311.13494873046875,1.1065963506698608,1.9106459617614746,311.1048889160156,1.0996226072311401,1.9266091585159302,311.0833435058594,1.0899401903152466,1.9763195514678955,311.1904296875,1.1541496515274048,1.922015905380249,311.1837158203125,1.1412760019302368,1.9126269817352295,311.17431640625,1.1352430582046509,1.9098782539367676,19.74738510635112,7.411752253730599,-1.0,0.004096133751306165,4.5714287757873535,4.62,11.2,36
L-1:5,1.428571492433548,6.577480668417752,4.922739871879517,1.8131390861247452,7.3711806391415,11.88379158443853,1.2242516318004661,10.508582840195434,10.71200732656953,1.7076929984775915,3882.6923828125,146.61419677734375,2476.862060546875,1230.600341796875,756.2550659179688,2894.856689453125,515.123779296875,1881.6771240234375,1787.371826171875,1658.930908203125,2857.441162109375,506.3961486816406,1333.5263671875,2055.92724609375,906.0465087890625,2655.89892578125,787.1966552734375,4023.3955078125,2151.560546875,1946.945068359375,0.29019609093666077,0.27843138575553894,0.27450981736183167,0.26274511218070984,0.2823529541492462,0.29019609093666077,0.30588236451148987,0.32156863808631897,0.3137255012989044,0.30588236451148987,0.0833333358168602,0.06666667014360428,0.07500000298023224,0.07500000298023224,0.06666667014360428,0.07916667312383652,0.0625,0.08750000596046448,0.0625,0.08750000596046448,309.5703430175781,0.9332369565963745,2.039086103439331,309.67022705078125,0.931382417678833,1.991310954093933,309.8439636230469,0.93228679895401,1.9804596900939941,309.94708251953125,0.9390963912010193,1.9792661666870117,310.0799865722656,0.9427341818809509,1.9801510572433472,310.19378662109375,0.9513852000236511,1.9995509386062622,309.9669189453125,0.9629421830177307,2.0290935039520264,309.36883544921875,1.0527392625808716,2.648667573928833,309.4083557128906,0.9791452884674072,2.2691562175750732,309.516845703125,1.0070353746414185,2.3994438648223877,10.935805751156956,8.256524724603208,1.0,0.004459026888604353,0.8571428954601288,0.0,9.95,68
L-1:6,0.638876593559948,20.62127282240959,5.6501463747086556,3.0066712300941423,8.586062445327833,3.7579848645566942,0.7577174811564724,1.5502485293506951,0.3352130841126512,0.41994552101832916,1036.7071533203125,81.12632751464844,1117.2928466796875,663.620361328125,602.6884765625,2443.367431640625,619.5684814453125,1942.378662109375,916.7116088867188,693.7128295898438,2540.0546875,24.17540168762207,1906.44873046875,1013.2054443359375,911.6334228515625,2910.65185546875,989.975830078125,2767.23486328125,2702.90576171875,1661.961181640625,0.25882354378700256,0.25882354378700256,0.250980406999588,0.250980406999588,0.26274511218070984,0.27450981736183167,0.30588236451148987,0.3137255012989044,0.29019609093666077,0.2823529541492462,0.07500000298023224,0.07916667312383652,0.07916667312383652,0.07916667312383652,0.07083334028720856,0.07500000298023224,0.07500000298023224,0.07916667312383652,0.07916667312383652,0.0625,309.2569885253906,0.9004995226860046,2.0092382431030273,308.9591369628906,0.87056964635849,1.9971530437469482,309.1795959472656,0.8732152581214905,1.9952744245529175,309.2812194824219,0.874283492565155,2.0012176036834717,309.48236083984375,0.8755044341087341,2.000126838684082,309.53277587890625,0.8977857828140259,2.0639452934265137,309.0827331542969,0.9118973016738892,2.043905019760132,309.0284118652344,0.9133861660957336,2.0879080295562744,309.08172607421875,0.9113266468048096,2.071051836013794,309.1643981933594,0.9054301381111145,2.036803960800171,7.693092925528758,9.642097013317928,1.0,0.0051861130994989265,1.7142857909202576,0.0,12.42,36
L-1:7,4.370588349888617,4.498683353449215,16.085339617547643,18.775441979042363,2.3168925431108054,2.2315000071577207,4.280152183592948,5.567676547710732,12.644468442051336,11.861761568681686,2740.33544921875,409.0477600097656,2301.366455078125,935.5595092773438,781.2919311523438,2503.935791015625,1137.4146728515625,1917.404296875,2098.028564453125,1108.6278076171875,2091.77294921875,5.21417236328125,950.1822509765625,56.667606353759766,1828.34423828125,3260.04296875,641.8087768554688,3468.871337890625,2400.60888671875,1242.7568359375,0.24705883860588074,0.2352941334247589,0.23137256503105164,0.2352941334247589,0.2705882489681244,0.27843138575553894,0.2666666805744171,0.27450981736183167,0.27843138575553894,0.2666666805744171,0.05833333730697632,0.06666667014360428,0.06666667014360428,0.0625,0.07083334028720856,0.07500000298023224,0.07083334028720856,0.07500000298023224,0.07083334028720856,0.07083334028720856,307.74884033203125,0.8749200701713562,1.9822884798049927,307.662353515625,0.8800305724143982,1.977343201637268,307.59033203125,0.8839629292488098,1.9730361700057983,307.48809814453125,0.8896216750144958,1.968080997467041,307.3802490234375,0.8970668911933899,1.9690967798233032,307.2694091796875,0.8933597207069397,1.9811331033706665,308.1300354003906,0.8761857151985168,1.9958765506744385,308.0439758300781,0.874439537525177,1.9986683130264282,307.993896484375,0.8760594129562378,1.9960548877716064,307.8555908203125,0.8743962645530701,1.9872972965240479,16.866826060457782,5.315103715020752,-1.0,0.005259846017175007,4.5714287757873535,0.0,10.15,108
L-1:8,12.016995305666152,17.173687718497273,6.11882833046364,15.949485626019275,24.52880880100852,18.09273246479392,2.776748951759046,9.243556713276014,14.513062064175232,10.333259436013767,2203.505615234375,18.208311080932617,2223.550537109375,1396.7940673828125,1027.79833984375,1267.3011474609375,295.97662353515625,2649.04296875,2372.8427734375,1158.3734130859375,2027.822509765625,368.0204162597656,1769.261474609375,1827.792236328125,510.93878173828125,3251.51171875,1018.3021240234375,3002.359619140625,2042.252685546875,1080.715087890625,0.24705883860588074,0.24705883860588074,0.250980406999588,0.2549019753932953,0.2666666805744171,0.2980392277240753,0.30980393290519714,0.2980392277240753,0.2862745225429535,0.250980406999588,0.07500000298023224,0.0625,0.05833333730697632,0.07500000298023224,0.07500000298023224,0.08750000596046448,0.07500000298023224,0.0625,0.0833333358168602,0.0833333358168602,306.17333984375,0.8604393005371094,1.9804818630218506,306.1443176269531,0.8587660193443298,1.965644359588623,306.1214599609375,0.8629182577133179,1.9568573236465454,306.0873107910156,0.8716968297958374,1.9548249244689941,306.0566101074219,0.8703616857528687,1.9557853937149048,306.0155334472656,0.8743487000465393,1.9733840227127075,305.8888244628906,0.8750004768371582,1.9775149822235107,305.8554382324219,0.8710528016090393,1.9789683818817139,305.8181457519531,0.8669652342796326,1.9881037473678589,305.8048400878906,0.868089497089386,1.9878026247024536,19.699788510292787,16.66007696556747,1.0,0.004688057040998218,4.000000178813934,3.4,10.52,68
L-1:9,5.150787766635274,2.2124845757206932,6.63719473051063,3.5998656496307233,0.6347073427225997,2.8139594977355307,4.414675170344554,4.025849983792117,1.041363691446858,3.916586909365726,1735.7379150390625,160.92042541503906,2171.94384765625,1022.0662841796875,1147.8076171875,1748.4610595703125,1253.4801025390625,2881.158935546875,1261.7325439453125,1742.5723876953125,3594.618408203125,52.75214767456055,2227.272216796875,1928.6468505859375,1723.0692138671875,2465.092041015625,893.6901245117188,2269.83056640625,2200.577880859375,1089.0618896484375,0.2549019753932953,0.2666666805744171,0.2549019753932953,0.25882354378700256,0.2705882489681244,0.2705882489681244,0.27843138575553894,0.26274511218070984,0.2705882489681244,0.27843138575553894,0.07083334028720856,0.0625,0.0625,0.07083334028720856,0.07083334028720856,0.07500000298023224,0.07916667312383652,0.07083334028720856,0.0833333358168602,0.07500000298023224,306.9909973144531,0.8343875408172607,2.0015158653259277,306.96649169921875,0.8322958946228027,1.991856336593628,306.92279052734375,0.8366409540176392,1.9857289791107178,306.91156005859375,0.8408697843551636,1.980879545211792,306.91552734375,0.8413538932800293,1.9796407222747803,306.9083557128906,0.8457702994346619,1.9921860694885254,306.8669128417969,0.8479268550872803,1.9984785318374634,306.8655090332031,0.8437982797622681,2.0007541179656982,306.87127685546875,0.8364161252975464,2.0098161697387695,306.99957275390625,0.8341382145881653,2.0082244873046875,16.960940277819745,4.872456488073792,1.0,0.004889952153110048,2.2857143878936768,0.0,8.76,36
L-1:10,4.120630213308218,6.863920607745999,16.650062321784677,16.3721517614584,13.592561448063922,18.0994990544956,3.4816482347964395,2.2874382957023736,6.283915611172206,1.579517555630897,2210.5126953125,288.8228759765625,2021.8218994140625,1957.21435546875,2851.1904296875,3269.236083984375,1539.53857421875,1074.5435791015625,2625.3544921875,93.3382797241211,1368.630859375,162.43545532226563,1070.0562744140625,158.69241333007813,644.3521728515625,3487.22314453125,883.2315063476563,2894.8671875,1817.1396484375,945.876953125,0.2666666805744171,0.24313727021217346,0.21176472306251526,0.2392157018184662,0.250980406999588,0.27450981736183167,0.2980392277240753,0.3137255012989044,0.2980392277240753,0.27843138575553894,0.05833333730697632,0.0833333358168602,0.04583333432674408,0.07916667312383652,0.07083334028720856,0.07916667312383652,0.07916667312383652,0.0833333358168602,0.0833333358168602,0.07916667312383652,308.29046630859375,0.8218611478805542,2.0011024475097656,308.3155822753906,0.8241955041885376,1.9981428384780884,308.3236999511719,0.8214579224586487,2.004929304122925,308.36566162109375,0.8320696353912354,2.0051767826080322,308.3712158203125,0.8372633457183838,2.0089175701141357,308.4024353027344,0.8444747924804688,2.0240066051483154,308.2965393066406,0.8220539093017578,2.031263589859009,308.2992858886719,0.8209266662597656,2.027353286743164,308.29791259765625,0.8201416730880737,2.010098934173584,308.279296875,0.8232489824295044,2.006598711013794,9.851965954455274,8.272660579964592,-1.0,0.004725557461406518,0.5714285969734192,0.0,11.02,68
