Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,6.815594777155556,0.3934483585590746,5.7154751049485135,8.064807959687426,1.1140101718157338,2.946452636242962,1.0352365156040124,1.3069049989212913,5.520432331146148,7.476506110016794,479.2889709472656,65.13235473632813,705.1669311523438,339.7745361328125,317.48162841796875,586.9857788085938,297.5664367675781,477.90869140625,814.2174072265625,403.0264892578125,773.30712890625,6.709413528442383,894.4591064453125,744.54736328125,350.6599426269531,1000.3692626953125,253.25262451171875,958.1825561523438,705.0509643554688,627.1604614257813,0.38823533058166504,0.40000003576278687,0.4078431725502014,0.4078431725502014,0.29019609093666077,0.3333333432674408,0.35686275362968445,0.37254902720451355,0.37254902720451355,0.3764706254005432,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.3333333432674408,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,31.6651611328125,-39.67013168334961,45.20811080932617,31.399505615234375,-39.189754486083984,46.99324417114258,31.553985595703125,-38.9422492980957,47.936363220214844,29.9412841796875,-39.27875900268555,48.97537612915039,28.6270751953125,-39.53215026855469,46.283695220947266,27.618316650390625,-39.400691986083984,46.10905838012695,27.618316650390625,-39.400691986083984,46.10905838012695,28.4107666015625,-39.518226623535156,45.272239685058594,28.93145751953125,-39.788597106933594,44.58173370361328,30.7015380859375,-39.755916595458984,44.50334548950195,13.977513320775325,9.088169439746228,-1.0,0.015428698752228165,0.3333333432674408,0.0,24.73,32
L-1:2,4.662932003036121,7.425097368806287,2.606619307028795,2.6498408804150504,4.1702928751441215,7.180186204541485,1.6730484945189839,3.8289986249825687,5.475432610776668,2.3199286403586816,862.779296875,263.2332763671875,693.6888427734375,949.6173706054688,338.0623779296875,701.41650390625,444.9771423339844,898.8984985351563,805.1943359375,430.9220886230469,1070.0682373046875,141.011962890625,210.8709716796875,441.6070556640625,79.90132141113281,632.4692993164063,96.60757446289063,581.3844604492188,472.63031005859375,470.94708251953125,0.33725491166114807,0.3607843220233917,0.3764706254005432,0.3921568989753723,0.3960784673690796,0.3960784673690796,0.3960784673690796,0.3960784673690796,0.2823529541492462,0.3294117748737335,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.46666669845581055,29.533050537109375,-36.76508712768555,44.346595764160156,30.45782470703125,-36.59556579589844,45.58263397216797,29.579315185546875,-36.491432189941406,46.61611557006836,28.73419189453125,-36.22707748413086,46.63134765625,28.073822021484375,-37.71860122680664,46.42893600463867,27.38812255859375,-37.96741485595703,44.782875061035156,27.8243408203125,-39.136749267578125,42.180335998535156,29.1566162109375,-38.970924377441406,41.133262634277344,29.700225830078125,-37.78763961791992,44.672035217285156,29.509613037109375,-37.35759735107422,43.60285568237305,7.582589960452891,7.976977102165192,-1.0,0.017641539954707214,4.33333346247673,0.0,31.16,36
L-1:3,1.4108473902530623,2.943209279257171,10.110408192317275,12.18005482864982,4.809931589134645,2.939413611862302,5.823104608339605,9.302874968561303,11.257337519240906,7.557178908882549,728.3379516601563,99.10527801513672,662.4139404296875,704.6443481445313,136.3530731201172,924.1094360351563,246.54574584960938,984.7203979492188,431.6961975097656,510.6172790527344,714.7194213867188,52.46220397949219,765.5175170898438,892.7156372070313,384.7609558105469,1095.802490234375,330.30126953125,1022.5999145507813,820.0650634765625,475.95068359375,0.19607844948768616,0.19607844948768616,0.22352942824363708,0.24705883860588074,0.25882354378700256,0.2666666805744171,0.2862745225429535,0.3019607961177826,0.32549020648002625,0.32549020648002625,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,28.16778564453125,-35.25763702392578,46.339290618896484,28.0208740234375,-34.76603698730469,46.60896682739258,27.717376708984375,-35.05867004394531,46.58378219604492,28.18780517578125,-35.191532135009766,46.82078170776367,26.954132080078125,-35.16421127319336,46.581336975097656,26.986846923828125,-36.80512619018555,46.79164505004883,27.046173095703125,-37.73870849609375,45.30586242675781,27.046173095703125,-37.73870849609375,45.30586242675781,27.537261962890625,-38.38041687011719,43.14656066894531,28.68017578125,-37.8078498840332,42.39744567871094,1.3709255721920903,12.525898417829348,-1.0,0.01607558139534884,1.3333333730697632,0.0,26.07,32
L-1:4,6.139055149935377,5.011480926603382,7.1254207793564595,8.498901707592909,1.0381378589587404,5.776740452744366,20.37932291459359,29.369700117318523,27.667441422787626,9.875629131221983,1494.925537109375,445.2552490234375,1485.3685302734375,922.6920166015625,585.4540405273438,938.9813232421875,346.2217712402344,743.3526611328125,388.83807373046875,441.47979736328125,1022.788818359375,348.4449157714844,692.3131103515625,828.51904296875,207.20968627929688,1107.3988037109375,233.6232452392578,1430.1549072265625,681.8341064453125,1258.58935546875,0.3529411852359772,0.34117648005485535,0.34117648005485535,0.34117648005485535,0.34117648005485535,0.32156863808631897,0.3529411852359772,0.3529411852359772,0.3529411852359772,0.3529411852359772,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,30.872894287109375,-41.823158264160156,43.794944763183594,30.872894287109375,-41.823158264160156,43.794944763183594,29.90045166015625,-39.79793930053711,44.28524398803711,30.7691650390625,-40.111698150634766,44.177825927734375,29.079071044921875,-39.926490783691406,45.819366455078125,28.986907958984375,-40.972816467285156,44.4947509765625,29.278961181640625,-41.42759323120117,44.01820755004883,29.893707275390625,-41.41975021362305,43.34475326538086,29.82806396484375,-41.35667037963867,44.011817932128906,29.82806396484375,-41.35667037963867,44.011817932128906,7.808514312280934,24.0822075584068,-1.0,0.013297150610583446,9.000000268220901,4.42,22.4,108
L-1:5,2.644974106628904,0.38870790054081933,3.9048816787315825,4.004341549281056,4.574619032366917,5.934177372242451,1.020787053139411,2.368099045339225,3.8436394072304423,2.3521944142647966,537.8681030273438,102.68342590332031,530.8936767578125,353.24755859375,234.46380615234375,1060.3330078125,281.6451110839844,1025.739013671875,1257.76611328125,309.3052978515625,891.9989013671875,20.62367820739746,1174.7855224609375,759.57763671875,203.36221313476563,878.6132202148438,463.34722900390625,1434.700439453125,805.6991577148438,342.5665588378906,0.3333333432674408,0.3333333432674408,0.34117648005485535,0.3607843220233917,0.3764706254005432,0.38823533058166504,0.2980392277240753,0.32549020648002625,0.3333333432674408,0.3333333432674408,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,27.403289794921875,-39.15367126464844,45.66383743286133,27.823760986328125,-38.456905364990234,45.941898345947266,27.47076416015625,-37.9643669128418,47.92206573486328,26.919952392578125,-37.72885513305664,48.58222579956055,27.862457275390625,-38.577857971191406,48.803253173828125,27.3475341796875,-40.291542053222656,49.44683837890625,28.02655029296875,-41.141780853271484,45.18983840942383,27.8070068359375,-40.554813385009766,44.27067184448242,27.8070068359375,-40.554813385009766,44.27067184448242,28.0445556640625,-40.538536071777344,44.73790740966797,3.2228095208852894,6.863412382075317,-1.0,0.012050290135396517,0.3333333432674408,0.0,21.36,100
L-1:6,1.2142819555591533,1.1007501236733277,1.338554524536438,9.991471353998707,2.5644312793031965,11.991302560129082,8.537680251235473,6.745570645040437,3.482615993970162,2.7163621483279607,577.9002685546875,139.34291076660156,1048.2908935546875,832.1043090820313,135.2678680419922,1366.9512939453125,624.3744506835938,1681.722900390625,658.1402587890625,1173.0364990234375,1650.2701416015625,61.958221435546875,1435.238037109375,1124.076904296875,345.0703430175781,1195.9591064453125,368.9637451171875,1118.2379150390625,629.2785034179688,461.733154296875,0.2039215862751007,0.24313727021217346,0.2705882489681244,0.2980392277240753,0.30588236451148987,0.3294117748737335,0.3333333432674408,0.33725491166114807,0.34117648005485535,0.34117648005485535,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,27.025970458984375,-37.88112258911133,49.27330780029297,27.035888671875,-37.811561584472656,49.365203857421875,27.035888671875,-37.811561584472656,49.365203857421875,27.177947998046875,-37.79618453979492,49.25938415527344,27.177947998046875,-37.79618453979492,49.25938415527344,26.08868408203125,-37.69274139404297,48.952430725097656,27.00494384765625,-39.84156799316406,47.5601692199707,27.00494384765625,-39.84156799316406,47.5601692199707,27.80615234375,-41.51603317260742,46.62180709838867,29.25146484375,-40.41348648071289,45.859466552734375,4.886133994576863,6.803749504412184,-1.0,0.014489105935386928,1.3333333730697632,0.0,22.04,108
L-1:7,5.9901006349067965,5.554239609906075,2.1282850831453164,2.97991666155167,1.6989915722914168,1.5456167814481463,8.08618580263527,7.072609426211997,4.1525689594194635,3.142853732943164,865.5929565429688,71.58848571777344,726.5596923828125,771.7557373046875,262.1239013671875,832.9480590820313,364.17486572265625,1018.088134765625,675.3943481445313,662.5233154296875,915.7691040039063,46.58079147338867,1351.6700439453125,1096.5003662109375,225.0275115966797,1137.4686279296875,203.05398559570313,1049.7080078125,719.42919921875,661.2354736328125,0.32549020648002625,0.32549020648002625,0.32549020648002625,0.32549020648002625,0.33725491166114807,0.35686275362968445,0.24313727021217346,0.2705882489681244,0.2862745225429535,0.32549020648002625,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,24.47320556640625,-33.95917892456055,44.6583366394043,24.2939453125,-33.91746139526367,47.50141143798828,23.838958740234375,-33.63874435424805,49.03376388549805,23.9605712890625,-33.38813400268555,49.18059158325195,23.605499267578125,-33.64979934692383,48.97263717651367,24.81365966796875,-37.04285430908203,48.271610260009766,25.33587646484375,-36.629150390625,46.35441970825195,25.33587646484375,-36.629150390625,46.35441970825195,25.95623779296875,-36.51836395263672,44.431068420410156,25.070404052734375,-35.49485778808594,43.9150276184082,8.198878842137782,4.84988710057917,-1.0,0.012338007736943907,2.6666667461395264,0.0,21.87,108
L-1:8,1.7504306550479587,3.044333138208695,10.126950357028257,13.141713816645312,5.361510188396581,2.1959452212600072,6.624137882308684,9.444614043435797,9.577012540342247,5.562229192630021,576.8267822265625,128.5720977783203,961.9024658203125,242.64212036132813,49.387901306152344,1228.064453125,346.6666564941406,1709.553955078125,1125.189453125,1103.6083984375,2121.1484375,49.21650695800781,2039.01953125,1256.737060546875,607.4115600585938,1599.1959228515625,423.59759521484375,1524.1114501953125,1673.46240234375,973.0375366210938,0.3490196168422699,0.3490196168422699,0.20784315466880798,0.2392157018184662,0.2823529541492462,0.3019607961177826,0.3333333432674408,0.3490196168422699,0.3490196168422699,0.3490196168422699,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,27.54608154296875,-39.11557388305664,49.71403503417969,27.4385986328125,-38.760765075683594,49.66880416870117,27.412689208984375,-37.17366409301758,51.02796936035156,27.412689208984375,-37.17366409301758,51.02796936035156,25.54583740234375,-36.47825241088867,50.710201263427734,26.671142578125,-38.58442306518555,49.06993865966797,26.671142578125,-38.58442306518555,49.06993865966797,26.1859130859375,-39.40445327758789,48.69113540649414,26.1859130859375,-39.40445327758789,48.69113540649414,26.745880126953125,-39.81714630126953,48.10868453979492,11.787883082749964,20.525265937766584,-1.0,0.01316017316017316,8.000000238418579,4.58,24.32,96
L-1:9,1.7212859005187384,1.4890131163580669,11.330782997736454,10.906529829700544,5.6924495773473405,1.8163896570274118,5.8512160056988165,3.041069806180684,6.536926901777066,3.157593131403414,692.4413452148438,166.17591857910156,491.3845520019531,394.9151306152344,171.93087768554688,1467.893798828125,365.0425109863281,1358.2806396484375,1038.473388671875,722.84521484375,1403.5396728515625,77.48260498046875,1249.9447021484375,468.7577209472656,292.3973693847656,1173.766845703125,714.3280639648438,1252.999755859375,745.658203125,593.88916015625,0.364705890417099,0.3686274588108063,0.24313727021217346,0.2823529541492462,0.32156863808631897,0.35686275362968445,0.364705890417099,0.364705890417099,0.364705890417099,0.364705890417099,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,31.923980712890625,-41.47933578491211,44.24922180175781,31.943450927734375,-40.340667724609375,47.45201873779297,29.555694580078125,-40.19090270996094,50.658653259277344,29.555694580078125,-40.19090270996094,50.658653259277344,28.79791259765625,-39.63469314575195,49.31489562988281,29.97161865234375,-39.90790557861328,46.587188720703125,29.768798828125,-41.469547271728516,46.337894439697266,29.929962158203125,-41.29636764526367,45.564186096191406,29.929962158203125,-41.29636764526367,45.564186096191406,31.529083251953125,-41.89157485961914,43.52028274536133,3.863514139572546,11.82717858627844,-1.0,0.01207739156268568,5.000000149011612,0.0,23.23,100
L-1:10,2.3769546555616743,4.751149218070699,3.5050951608497907,0.27541793115137647,2.6268441899848813,2.0518129504887352,0.8391940352570813,0.7152918651520286,3.1127316651404056,1.81531232674647,783.27880859375,196.137451171875,946.4951782226563,1123.18017578125,223.3439178466797,1014.3822021484375,407.33251953125,1074.2769775390625,1459.17822265625,1000.4098510742188,950.4528198242188,39.64197540283203,659.7908935546875,490.7175598144531,365.4195861816406,1360.6558837890625,448.6435546875,1322.237548828125,513.4081420898438,303.9078063964844,0.35686275362968445,0.35686275362968445,0.35686275362968445,0.35686275362968445,0.35686275362968445,0.35686275362968445,0.364705890417099,0.30980393290519714,0.3176470696926117,0.3450980484485626,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.5333333611488342,31.1959228515625,-39.14534378051758,45.848777770996094,29.409332275390625,-38.4444694519043,47.260074615478516,29.35528564453125,-39.39856719970703,49.73667526245117,28.975921630859375,-38.28387451171875,49.80029296875,29.018951416015625,-39.767303466796875,49.40060043334961,28.6915283203125,-40.372962951660156,48.99446105957031,29.16595458984375,-41.46253967285156,47.855350494384766,28.76055908203125,-39.38309097290039,45.780887603759766,28.295745849609375,-39.25212097167969,44.65958023071289,29.7344970703125,-39.11872482299805,45.31149673461914,3.4079583314478814,2.3898763614777696,-1.0,0.011263636363636363,1.0000000298023224,0.0,21.24,68
