Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.258859459443379,4.186720533581032,3.1711058753575707,10.731815479758804,15.362930318143812,5.323093785756595,0.7409596728439098,3.0163928113825365,9.345868335014174,11.448818256275974,2356.976318359375,269.9136962890625,2007.688720703125,1686.0736083984375,38.717796325683594,2425.4599609375,1482.714111328125,3299.05810546875,1925.5272216796875,1118.6351318359375,2178.097900390625,270.9244689941406,432.28521728515625,544.9959716796875,272.66485595703125,2347.138671875,1136.889892578125,1810.712158203125,2012.0325927734375,1573.835205078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,223.97007751464844,-16.829681396484375,-0.9216981530189514,223.97007751464844,-16.829681396484375,-0.9216981530189514,223.84840393066406,-16.824342727661133,-1.0492533445358276,223.84840393066406,-16.824342727661133,-1.0492533445358276,223.84840393066406,-16.824342727661133,-1.0492533445358276,223.86183166503906,-16.763437271118164,-0.9778821468353271,223.93238830566406,-16.647581100463867,-0.7904802560806274,224.0172576904297,-16.74552345275879,-0.7901331782341003,224.0172576904297,-16.74552345275879,-0.7901331782341003,224.0172576904297,-16.74552345275879,-0.7901331782341003,4.6839892771044624,3.5304850239241885,-1.0,0.005425114453891432,4.666666805744171,0.0,9.48,32
L-1:2,9.843255267757002,9.545810972561053,3.444297416083801,2.248055749681334,1.9708805871856887,8.447184620026222,11.819561518673042,5.4044150970260665,3.4909680344582625,3.191080042310887,2760.573486328125,548.003662109375,1402.5716552734375,2592.052001953125,651.518310546875,2129.076904296875,707.4288330078125,1413.4052734375,2652.6435546875,2092.915771484375,2449.94921875,547.552490234375,1911.606689453125,1529.260009765625,1100.59521484375,3336.3466796875,1155.7276611328125,2960.25244140625,2434.75830078125,1824.26806640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,223.9125518798828,-16.63189125061035,-0.7873958349227905,223.9125518798828,-16.63189125061035,-0.7873958349227905,223.8987579345703,-16.62554931640625,-0.8755803108215332,223.96670532226562,-16.52899742126465,-0.7826012969017029,223.96670532226562,-16.52899742126465,-0.7826012969017029,223.96670532226562,-16.52899742126465,-0.7826012969017029,223.96209716796875,-16.578332901000977,-0.7186601758003235,223.96209716796875,-16.578332901000977,-0.7186601758003235,223.96209716796875,-16.578332901000977,-0.7186601758003235,223.9125518798828,-16.63189125061035,-0.7873958349227905,2.3898474990062346,1.4094624368595143,-1.0,0.004845643939393939,0.6666666865348816,0.0,7.31,100
L-1:3,2.3081930257206396,10.078046711729115,2.287577948773685,8.799624807624392,3.5569609181189414,7.964182919845257,9.143612901737528,1.9489490212664724,3.1959280239804495,2.184952140530101,1969.812744140625,488.87109375,2361.2744140625,1861.6390380859375,251.81076049804688,3892.437255859375,1692.9351806640625,3781.444580078125,1923.2747802734375,1438.468017578125,3196.44677734375,708.52392578125,2199.05224609375,1517.0947265625,978.9228515625,2629.08642578125,1220.007568359375,2974.358642578125,2504.1123046875,1782.6875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,0.09803922474384308,223.99122619628906,-16.826505661010742,-0.8328795433044434,224.0533447265625,-16.73454475402832,-0.8795072436332703,223.9532928466797,-16.842376708984375,-0.9668343663215637,223.93887329101562,-16.713716506958008,-0.9297269582748413,223.93887329101562,-16.713716506958008,-0.9297269582748413,223.93887329101562,-16.713716506958008,-0.9297269582748413,223.96559143066406,-16.731233596801758,-0.8315305709838867,223.96559143066406,-16.731233596801758,-0.8315305709838867,223.99122619628906,-16.826505661010742,-0.8328795433044434,223.99122619628906,-16.826505661010742,-0.8328795433044434,6.277022940570434,8.980336693757513,-1.0,0.004541214382632293,2.3333334028720856,0.0,7.65,68
L-1:4,15.447338347828687,6.962442055855117,11.559536446709883,7.965844336793508,5.891556203409398,23.765861351270797,20.683805432268667,14.845324517405428,4.401193003958516,13.507912503807844,3722.30517578125,489.49700927734375,2246.436279296875,1478.6168212890625,784.8748168945312,4449.8388671875,816.9567260742188,3861.4697265625,1763.429931640625,2061.180908203125,3942.534423828125,451.79986572265625,3133.02685546875,3393.4677734375,736.8148803710938,3701.21240234375,1867.044677734375,3415.73486328125,3836.47509765625,1165.7564697265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,224.1439208984375,-16.83158302307129,-0.8612953424453735,224.1439208984375,-16.83158302307129,-0.8612953424453735,224.1439208984375,-16.83158302307129,-0.8612953424453735,224.12599182128906,-16.789196014404297,-0.9441666603088379,224.09786987304688,-16.764894485473633,-0.9762477874755859,224.09786987304688,-16.764894485473633,-0.9762477874755859,224.11807250976562,-16.7486515045166,-0.8777297735214233,224.11807250976562,-16.7486515045166,-0.8777297735214233,224.11807250976562,-16.7486515045166,-0.8777297735214233,224.1439208984375,-16.83158302307129,-0.8612953424453735,11.79975711232216,19.23203734921854,-1.0,0.003394254113838684,1.3333333730697632,7.9,7.19,100
L-1:5,4.487579061367357,0.7829320822029667,1.6975032834493302,4.8248726559410375,9.008803784043588,6.8724336208477315,3.339234371647834,4.270883945423188,7.181970762003369,3.6457563317052046,2601.949951171875,105.95829772949219,1906.042724609375,1884.618896484375,602.074462890625,2414.070068359375,1018.62158203125,1390.1907958984375,2061.095947265625,2115.32275390625,2769.43603515625,140.40557861328125,1911.7198486328125,1739.2032470703125,1429.8519287109375,2580.23681640625,1193.036865234375,2535.86181640625,2086.35595703125,1445.0411376953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,224.02395629882812,-16.762588500976562,-0.9289292097091675,224.02395629882812,-16.762588500976562,-0.9289292097091675,224.02395629882812,-16.762588500976562,-0.9289292097091675,224.0360107421875,-16.742446899414062,-0.9351495504379272,224.0360107421875,-16.742446899414062,-0.9351495504379272,224.0360107421875,-16.742446899414062,-0.9351495504379272,224.0732421875,-16.714797973632812,-0.8304003477096558,224.0732421875,-16.714797973632812,-0.8304003477096558,224.09710693359375,-16.74930191040039,-0.837504506111145,224.09710693359375,-16.74930191040039,-0.837504506111145,11.957222460611614,4.1905337957521915,-1.0,0.004832988980716254,0.6666666865348816,0.0,8.02,108
L-1:6,4.186385916987768,6.6525726172411055,2.127377945945564,4.256999947577324,3.0009836692542247,1.4987309423097772,5.842974326115868,7.701625209649887,6.62012209857588,4.593570634302221,1775.3734130859375,183.84632873535156,1856.7249755859375,1301.9503173828125,817.2533569335938,2898.64111328125,549.7136840820312,2162.7783203125,2377.965087890625,1441.856689453125,2306.05078125,366.8419494628906,1574.5899658203125,1625.767333984375,672.5076904296875,2276.029052734375,872.9151611328125,1748.461181640625,1630.18701171875,1570.6099853515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,224.0725555419922,-16.849956512451172,-1.025614619255066,224.13900756835938,-16.718385696411133,-0.9034053683280945,224.13900756835938,-16.718385696411133,-0.9034053683280945,224.16067504882812,-16.709707260131836,-0.9326565861701965,224.00889587402344,-16.726076126098633,-0.9477673768997192,224.0386962890625,-16.72417449951172,-0.9503555297851562,224.0386962890625,-16.72417449951172,-0.9503555297851562,224.08335876464844,-16.768224716186523,-0.9445746541023254,224.08335876464844,-16.768224716186523,-0.9445746541023254,224.0725555419922,-16.849956512451172,-1.025614619255066,6.465787455188205,6.401416213991574,-1.0,0.005414328469884025,1.666666716337204,0.0,8.27,36
L-1:7,6.870329132883787,10.821555603115847,5.63272742870472,4.116559063121965,2.8843960770366817,3.538746113381109,5.645891312363056,15.002444168750555,10.564443124452778,8.357465677902935,3146.1103515625,207.1836395263672,1933.8642578125,988.3056640625,153.12725830078125,2651.66796875,723.5487670898438,2680.964599609375,1893.4384765625,1867.2974853515625,1949.250244140625,302.19830322265625,2198.357666015625,1761.4197998046875,1002.1768798828125,2103.224365234375,1226.5076904296875,3716.48583984375,2674.0751953125,1576.2774658203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,224.05514526367188,-16.834415435791016,-0.943742036819458,224.0051727294922,-16.82085418701172,-0.9847137928009033,224.0051727294922,-16.82085418701172,-0.9847137928009033,224.0051727294922,-16.82085418701172,-0.9847137928009033,224.01942443847656,-16.780672073364258,-0.957655131816864,224.01942443847656,-16.780672073364258,-0.957655131816864,223.99227905273438,-16.782163619995117,-0.9860333800315857,224.05496215820312,-16.805044174194336,-0.9160472750663757,224.05496215820312,-16.805044174194336,-0.9160472750663757,224.05514526367188,-16.834415435791016,-0.943742036819458,11.638735381852763,2.507566803955463,1.0,0.004474050853361198,2.3333334028720856,0.0,7.34,108
L-1:8,3.800166594096127,7.69130430056251,10.186492835856031,5.900772204165076,2.8082132908130495,13.131567567277632,9.876078372682748,12.906485681445755,11.236779303968325,2.730723874245525,3740.475830078125,435.0851745605469,2550.45263671875,2632.315673828125,1006.4976196289062,3542.436279296875,815.8085327148438,3101.47607421875,2770.58984375,2696.943603515625,3690.29833984375,496.17926025390625,3297.864990234375,3129.37548828125,1894.3433837890625,4375.1982421875,1889.6031494140625,2523.326171875,2575.5166015625,1789.719482421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,224.0626220703125,-16.850337982177734,-0.9954818487167358,224.0626220703125,-16.850337982177734,-0.9954818487167358,224.0626220703125,-16.850337982177734,-0.9954818487167358,224.0412139892578,-16.821191787719727,-0.9909924268722534,224.0412139892578,-16.821191787719727,-0.9909924268722534,224.0412139892578,-16.821191787719727,-0.9909924268722534,224.0412139892578,-16.821191787719727,-0.9909924268722534,224.05606079101562,-16.797761917114258,-0.9526849985122681,224.05606079101562,-16.797761917114258,-0.9526849985122681,224.10748291015625,-16.856355667114258,-0.9526240229606628,7.885961302533472,11.062438300933264,-1.0,0.0033969411092052604,3.333333432674408,2.68,6.79,100
L-1:9,3.560203748524272,5.4563587388723365,1.809694161797673,6.209896469625728,3.37510096827683,3.917311839778143,3.555115942907026,9.903843257076646,1.727647114865059,1.7006603352372216,2874.70947265625,188.27198791503906,2327.572998046875,1912.4266357421875,915.1085815429688,2014.6802978515625,750.8206787109375,3194.469970703125,2519.485107421875,1133.022705078125,3045.989501953125,341.3103942871094,2283.218505859375,2438.533447265625,1869.6416015625,2930.411865234375,989.533203125,1831.2158203125,2001.06494140625,1507.71142578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,224.07350158691406,-16.729751586914062,-0.8505908846855164,224.1262969970703,-16.83039665222168,-0.952653706073761,224.1262969970703,-16.83039665222168,-0.952653706073761,224.1262969970703,-16.83039665222168,-0.952653706073761,224.20176696777344,-16.820167541503906,-0.9019083380699158,224.20176696777344,-16.820167541503906,-0.9019083380699158,224.25050354003906,-16.860960006713867,-0.8298765420913696,224.25050354003906,-16.860960006713867,-0.8298765420913696,224.07350158691406,-16.729751586914062,-0.8505908846855164,224.07350158691406,-16.729751586914062,-0.8505908846855164,5.042615907004915,5.985218376473972,-1.0,0.004772727272727273,0.3333333432674408,0.0,8.49,68
L-1:10,2.0498167918789036,12.662129947686658,17.844808550090715,9.239177047815925,1.7237188684626417,3.568547681633524,3.2146704224212863,1.7423619118320564,2.9791880140802367,6.802828535931574,1846.8238525390625,359.88580322265625,1865.2647705078125,1062.768310546875,228.2988739013672,2305.4658203125,1160.658935546875,2409.9384765625,2486.941650390625,1101.0645751953125,2689.60986328125,103.31688690185547,1898.2626953125,1786.075439453125,779.6080322265625,2974.22900390625,1130.2086181640625,1967.7685546875,2211.035888671875,1631.5174560546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,224.14132690429688,-16.8211612701416,-0.943203330039978,224.14132690429688,-16.8211612701416,-0.943203330039978,224.1237335205078,-16.78691864013672,-0.9298062920570374,224.1237335205078,-16.78691864013672,-0.9298062920570374,224.1237335205078,-16.78691864013672,-0.9298062920570374,224.07655334472656,-16.692148208618164,-0.8912681341171265,224.07655334472656,-16.692148208618164,-0.8912681341171265,224.07655334472656,-16.692148208618164,-0.8912681341171265,224.10836791992188,-16.744421005249023,-0.9061648845672607,224.10836791992188,-16.744421005249023,-0.9061648845672607,14.868347312241381,10.133766949224922,-1.0,0.00507867132867133,2.6666667461395264,0.0,8.3,64
