Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,7.675005091851583,5.618530889623158,4.697720600294771,7.574770732662121,8.096309174769436,2.25570927173336,6.051161515380802,1.9620807203612374,6.9981111359000705,12.239343509440609,2268.247314453125,144.051513671875,2011.8817138671875,1833.5648193359375,540.5808715820312,1852.4447021484375,884.7037353515625,2258.639404296875,2274.9892578125,1451.11181640625,2762.16357421875,978.8302001953125,1508.3917236328125,1646.4779052734375,436.2132873535156,2105.200927734375,1018.2904052734375,1442.449951171875,1828.6246337890625,1030.1412353515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,286.2835998535156,-14.887910842895508,-0.0057138800621032715,286.2835998535156,-14.887910842895508,-0.0057138800621032715,286.1518249511719,-14.841188430786133,-0.04034123569726944,286.19189453125,-14.718759536743164,0.13866834342479706,286.19189453125,-14.718759536743164,0.13866834342479706,286.19189453125,-14.718759536743164,0.13866834342479706,286.1497497558594,-14.856707572937012,0.04974469915032387,286.4082946777344,-14.815566062927246,0.2385057806968689,286.4082946777344,-14.815566062927246,0.2385057806968689,286.2835998535156,-14.887910842895508,-0.0057138800621032715,13.464729360691106,7.268089447143807,-1.0,0.005445603576751118,5.6666668355464935,0.0,10.44,76
L-1:2,4.900298525653201,4.358443546191348,5.255686139245541,1.6864178730346053,7.359539178723473,6.856550396096113,2.7526268757703996,2.5811408029021012,2.6234840498021055,1.7021146779152694,1721.6781005859375,423.4647521972656,924.9649658203125,610.1384887695312,504.77459716796875,2157.251953125,860.7001953125,2190.58447265625,1869.823974609375,809.5332641601562,2691.873046875,242.86045837402344,1998.3961181640625,1775.7979736328125,893.6835327148438,3241.77783203125,1028.8624267578125,2669.533203125,2151.328857421875,760.6343994140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,285.8397521972656,-14.906340599060059,-0.08435457199811935,285.8867492675781,-14.93834114074707,-0.023972684517502785,285.8594970703125,-14.85036849975586,-0.10702144354581833,285.8358154296875,-14.853470802307129,-0.028186913579702377,285.8358154296875,-14.853470802307129,-0.028186913579702377,285.9397277832031,-14.868552207946777,0.08648986369371414,285.9397277832031,-14.868552207946777,0.08648986369371414,286.0155029296875,-14.99490737915039,-0.005334378220140934,286.0155029296875,-14.99490737915039,-0.005334378220140934,286.0155029296875,-14.99490737915039,-0.005334378220140934,9.368670851256669,9.555941613548253,-1.0,0.005144145737530951,2.0000000596046448,0.0,8.31,68
L-1:3,6.2316498820065025,6.593955804160269,4.1422990477919,0.752519482765357,5.571206067842153,6.261894629295201,8.495531350063173,1.9428804674804527,11.544758688590388,23.76830328049848,2396.19287109375,684.6436767578125,1891.6258544921875,1706.9971923828125,291.9154052734375,575.4267578125,778.1126098632812,2329.190673828125,1772.24072265625,976.7564697265625,2071.129150390625,347.7276611328125,1578.58984375,1192.3492431640625,1070.5396728515625,2309.457763671875,146.7733917236328,2636.3115234375,1602.671875,733.81396484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,0.062745101749897,287.2151184082031,-14.970708847045898,-0.16605708003044128,287.1687927246094,-14.973163604736328,-0.17700335383415222,287.26104736328125,-14.915397644042969,-0.09909968823194504,287.1540222167969,-14.913631439208984,-0.10384027659893036,287.1540222167969,-14.913631439208984,-0.10384027659893036,287.24359130859375,-14.898327827453613,-0.04179094731807709,287.24359130859375,-14.898327827453613,-0.04179094731807709,287.3291015625,-14.948262214660645,-0.10275641083717346,287.3291015625,-14.948262214660645,-0.10275641083717346,287.2151184082031,-14.970708847045898,-0.16605708003044128,14.326720156911216,11.494607003427369,-1.0,0.005389072847682119,3.6666667759418488,0.0,10.23,32
L-1:4,3.510716446662557,7.817127298260879,20.115498964082036,20.750036157188706,14.547634170914353,9.716503718379402,7.441976575253364,12.546163027979542,9.81789865195998,4.016210779161979,2465.73486328125,293.3042907714844,2079.497314453125,2362.05322265625,664.3443603515625,3356.95068359375,599.1719360351562,2727.347900390625,2162.70654296875,1656.5760498046875,3168.760009765625,520.5632934570312,2874.982421875,1094.1561279296875,345.87017822265625,2999.658203125,983.6456909179688,2982.210693359375,2538.501953125,1603.126220703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,287.0251159667969,-14.795990943908691,0.05976971983909607,287.1671142578125,-14.836219787597656,-0.10872215777635574,287.1671447753906,-14.835298538208008,-0.11185166984796524,287.1671447753906,-14.835298538208008,-0.11185166984796524,287.1671447753906,-14.835298538208008,-0.11185166984796524,287.3137512207031,-14.772643089294434,0.08955662697553635,287.3137512207031,-14.772643089294434,0.08955662697553635,287.3137512207031,-14.772643089294434,0.08955662697553635,287.2585754394531,-14.81549072265625,0.15639743208885193,287.2585754394531,-14.81549072265625,0.15639743208885193,4.433304984780843,16.67852032237842,-1.0,0.0042455902306648575,7.000000208616257,2.08,8.94,32
L-1:5,3.168395115352394,3.522694560554976,5.909144385743485,11.054888249227428,3.1999968900414624,3.56722333797504,11.044482609031096,9.496743283488657,11.0735448456668,4.369858371672243,2156.40283203125,162.3098907470703,2027.2977294921875,1962.578125,1074.80517578125,1885.500732421875,1706.5640869140625,1109.597412109375,1435.1014404296875,733.7593994140625,2205.125732421875,18.755983352661133,1823.809814453125,1501.9473876953125,511.8676452636719,1546.6021728515625,796.0540771484375,2058.358154296875,1547.3935546875,1664.9488525390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,286.89581298828125,-14.86015510559082,-0.099138543009758,286.89581298828125,-14.86015510559082,-0.099138543009758,286.99639892578125,-14.918466567993164,-0.21195662021636963,287.030517578125,-14.909036636352539,-0.20793618261814117,287.030517578125,-14.909036636352539,-0.20793618261814117,287.1024475097656,-14.81590747833252,-0.17736920714378357,287.1024475097656,-14.81590747833252,-0.17736920714378357,287.06134033203125,-14.801980972290039,-0.048134054988622665,287.06134033203125,-14.801980972290039,-0.048134054988622665,287.06134033203125,-14.801980972290039,-0.048134054988622665,18.951440192680263,13.898409964462314,-1.0,0.005297506313131313,2.0000000596046448,0.0,9.59,36
L-1:6,12.975377839728367,5.46938569941193,4.686998832033362,12.272873167518897,9.709247053777366,4.21770892570863,14.003413143218694,6.255457922659725,10.827922186032168,13.795252512499435,0.0,0.0,1815.808837890625,1688.8216552734375,108.91417694091797,2476.99609375,1218.7252197265625,3173.581298828125,2035.3746337890625,1616.5438232421875,2549.3251953125,494.0277099609375,2580.89892578125,1429.6158447265625,28.559370040893555,3068.195068359375,1514.9935302734375,2735.232177734375,1880.3697509765625,1243.5272216796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,287.0556640625,-14.921828269958496,-0.038224730640649796,287.2738037109375,-15.079407691955566,-0.23903213441371918,287.2738037109375,-15.079407691955566,-0.23903213441371918,287.2738037109375,-15.079407691955566,-0.23903213441371918,287.3749084472656,-14.972380638122559,-0.18112070858478546,287.3749084472656,-14.972380638122559,-0.18112070858478546,287.3749084472656,-14.972380638122559,-0.18112070858478546,287.28564453125,-14.800837516784668,0.18682777881622314,287.28564453125,-14.800837516784668,0.18682777881622314,287.02349853515625,-14.838165283203125,0.0240619033575058,9.28045309943537,4.1795994339783,-1.0,0.00457258064516129,0.3333333432674408,0.0,8.91,100
L-1:7,12.021303836303545,11.430953088224813,2.587333336969857,2.4725125661307947,3.872579412319702,0.9507370642774168,6.160859525884604,7.1084832321730795,7.188046102313436,1.3645352648221054,2480.240478515625,294.102783203125,2454.940185546875,842.9859008789062,745.4322509765625,1712.423095703125,936.3860473632812,2424.4384765625,1629.281494140625,1720.830322265625,2483.42236328125,565.2440185546875,2393.23974609375,1754.49072265625,1263.5926513671875,2221.79345703125,1348.6964111328125,3113.323486328125,2375.394287109375,789.6516723632812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,0.09019608050584793,287.0089111328125,-14.89862060546875,0.07117187231779099,287.0089111328125,-14.89862060546875,0.07117187231779099,286.91455078125,-14.847604751586914,0.08114694803953171,286.91455078125,-14.847604751586914,0.08114694803953171,287.0075988769531,-14.806740760803223,-0.03735260292887688,287.0075988769531,-14.806740760803223,-0.03735260292887688,286.9557189941406,-14.883744239807129,-0.05234401673078537,287.05218505859375,-14.866196632385254,0.05860346183180809,287.2901916503906,-14.85090446472168,0.3363763689994812,287.2901916503906,-14.85090446472168,0.3363763689994812,3.23958123335983,5.497765617300466,1.0,0.004772727272727273,0.3333333432674408,0.0,8.58,36
L-1:8,13.21059249691966,0.9343006539615583,6.875357854732694,16.47197256497672,5.638834001344127,1.8899540714371381,5.642535268962851,7.195629245605046,13.960712839330776,18.956153596854428,2828.306640625,357.9521484375,2445.98486328125,1233.38720703125,1093.0159912109375,3134.43994140625,1027.6435546875,2869.030029296875,2875.770751953125,930.9986572265625,3230.234619140625,326.0560607910156,1769.1727294921875,2347.156982421875,685.1995239257812,3149.048583984375,1218.8883056640625,2686.034423828125,2657.0126953125,1764.0423583984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,287.01934814453125,-14.73945140838623,0.08908063918352127,287.01934814453125,-14.73945140838623,0.08908063918352127,287.1383056640625,-14.831404685974121,-0.10057330131530762,287.1485290527344,-14.891613960266113,-0.07195990532636642,287.1485290527344,-14.891613960266113,-0.07195990532636642,287.0577087402344,-14.621368408203125,0.06647653877735138,287.0577087402344,-14.621368408203125,0.06647653877735138,287.3092346191406,-14.720518112182617,0.25531330704689026,287.3092346191406,-14.720518112182617,0.25531330704689026,287.3092346191406,-14.720518112182617,0.25531330704689026,9.83309407267069,17.75248376000858,-1.0,0.004290238450074515,3.6666667759418488,1.16,9.87,108
L-1:9,6.401304920553731,4.902906111297254,1.8759093580363133,3.1051178609126597,8.702141750878061,3.0568070270272902,3.0117588695159463,1.86204948652281,3.307733811396236,7.4462133114741915,2576.83056640625,228.6980438232422,2168.0263671875,1122.580810546875,180.0620880126953,2277.91259765625,834.7762451171875,2494.61962890625,1030.3382568359375,1195.346435546875,2217.1025390625,48.325767517089844,1989.1883544921875,1516.6920166015625,178.97250366210938,1708.78955078125,911.3890991210938,1783.7366943359375,2018.8807373046875,1181.2249755859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,286.63623046875,-14.94569206237793,-0.025255052372813225,286.63623046875,-14.94569206237793,-0.025255052372813225,286.62677001953125,-14.93310260772705,-0.08923432230949402,286.75103759765625,-14.883103370666504,-0.04866552725434303,286.75103759765625,-14.883103370666504,-0.04866552725434303,286.9240417480469,-14.898048400878906,0.006998809520155191,286.906982421875,-14.887035369873047,0.10411988943815231,286.906982421875,-14.887035369873047,0.10411988943815231,286.8056640625,-14.92024040222168,0.08354732394218445,286.8056640625,-14.92024040222168,0.08354732394218445,14.027312900483555,10.551305491161067,-1.0,0.005136911281489596,0.6666666865348816,0.0,10.72,36
L-1:10,2.8633004336202674,1.2225193279130224,2.1643935419612728,8.87113612815789,10.459039054024162,6.752918144343217,0.8659265864430815,6.8255489581608355,5.168211895202362,2.562051311850632,2283.3046875,304.7650451660156,638.3092651367188,880.0235595703125,333.7558288574219,2281.45751953125,753.11962890625,2376.695556640625,2046.280517578125,1361.5418701171875,2345.5634765625,438.9202575683594,1334.768310546875,1575.027099609375,599.0438232421875,1921.28564453125,572.0863037109375,1856.4422607421875,1831.720947265625,1491.15673828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,286.5612487792969,-14.83895492553711,0.19783470034599304,286.63201904296875,-14.93289852142334,-0.012164567597210407,286.65667724609375,-14.869725227355957,-0.08254628628492355,286.65667724609375,-14.869725227355957,-0.08254628628492355,286.65667724609375,-14.869725227355957,-0.08254628628492355,286.7494201660156,-14.72477912902832,0.21438093483448029,286.7494201660156,-14.72477912902832,0.21438093483448029,286.56396484375,-14.701068878173828,0.4092492163181305,286.56396484375,-14.701068878173828,0.4092492163181305,286.5612487792969,-14.83895492553711,0.19783470034599304,7.531736128606194,8.023675338967664,-1.0,0.005195230998509687,3.333333432674408,0.0,9.96,100
