Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,11.562998992875011,14.053167110265607,11.614354125447838,14.181839035492693,16.06212739060348,4.042676714241338,6.4852949789017975,1.8316428102608036,8.198823554221935,8.18335031392569,2798.946044921875,961.3276977539062,3499.42529296875,3275.04736328125,1298.9622802734375,4694.57080078125,503.3705749511719,4500.68115234375,3010.135498046875,1782.9200439453125,3219.130615234375,1339.772216796875,2379.2099609375,2252.40625,1695.2508544921875,2002.1463623046875,1304.1265869140625,3580.5263671875,3651.599609375,2209.4755859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05882353335618973,0.05490196496248245,0.05490196496248245,0.0470588281750679,0.05098039656877518,0.05490196496248245,0.062745101749897,0.062745101749897,0.062745101749897,0.05882353335618973,230.84573364257812,-56.54607009887695,-3.2656028270721436,230.7570343017578,-56.57154083251953,-3.3181560039520264,230.7570343017578,-56.57154083251953,-3.3181560039520264,230.7570343017578,-56.57154083251953,-3.3181560039520264,230.1608123779297,-56.020294189453125,-3.9216208457946777,230.1608123779297,-56.020294189453125,-3.9216208457946777,230.1608123779297,-56.020294189453125,-3.9216208457946777,229.11546325683594,-55.827945709228516,-3.1073226928710938,230.84573364257812,-56.54607009887695,-3.2656028270721436,230.84573364257812,-56.54607009887695,-3.2656028270721436,12.228217864177472,0.9565254282397219,1.0,0.0038767942583732055,4.0,0.0,9.26,68
L-1:2,2.6010815058356016,3.0039926984354985,0.8539409895635864,5.680722853191082,12.130370267565533,19.89275483552464,16.73573770212518,10.928695540451589,3.9693753511132877,9.219204211200953,2997.7109375,194.64315795898438,3083.121826171875,2568.2275390625,2115.966796875,4300.2900390625,914.8720703125,3430.914306640625,2243.071044921875,2174.962158203125,2022.4351806640625,293.9467468261719,4079.452880859375,2837.357177734375,678.4395751953125,3356.04443359375,2056.374267578125,3227.235107421875,3464.80712890625,2490.21240234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.05490196496248245,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.05098039656877518,0.06666667014360428,0.06666667014360428,0.05882353335618973,0.05882353335618973,218.21946716308594,-60.95423126220703,-1.870651364326477,220.46046447753906,-61.04534149169922,-1.2142868041992188,220.46046447753906,-61.04534149169922,-1.2142868041992188,220.46046447753906,-61.04534149169922,-1.2142868041992188,222.5845947265625,-60.5241813659668,-2.1410574913024902,222.5845947265625,-60.5241813659668,-2.1410574913024902,217.5457000732422,-60.43891143798828,-3.365434408187866,217.5457000732422,-60.43891143798828,-3.365434408187866,218.21946716308594,-60.95423126220703,-1.870651364326477,218.21946716308594,-60.95423126220703,-1.870651364326477,12.739124072518086,17.809804444883056,-1.0,0.0038781046539667226,4.0,0.0,9.19,44
L-1:3,3.321337732341502,2.492087578796722,13.913013709106492,6.691482478184328,3.8666649806397766,2.056279830948128,3.306209933922891,11.273075381754225,3.4046566723821554,3.6346811116350564,6109.6572265625,883.5841064453125,5230.65869140625,2315.69287109375,579.9347534179688,1566.916748046875,1775.55859375,3725.59228515625,2142.749755859375,1304.36474609375,4002.274169921875,292.63330078125,4954.6083984375,1901.0897216796875,1009.007080078125,3738.30908203125,2511.233154296875,3803.1064453125,3970.3603515625,2559.397216796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.05098039656877518,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.05098039656877518,0.05490196496248245,0.06666667014360428,0.05490196496248245,0.05098039656877518,221.0537872314453,-59.19466781616211,-1.2484540939331055,219.50704956054688,-59.179420471191406,-1.547495722770691,219.50704956054688,-59.179420471191406,-1.547495722770691,219.50704956054688,-59.179420471191406,-1.547495722770691,217.54005432128906,-58.0931282043457,-2.105048656463623,217.54005432128906,-58.0931282043457,-2.105048656463623,217.54005432128906,-58.0931282043457,-2.105048656463623,217.166015625,-57.289344787597656,-2.414645195007324,217.166015625,-57.289344787597656,-2.414645195007324,217.166015625,-57.289344787597656,-2.414645195007324,4.18483364563056,5.76781454441276,-1.0,0.0033620040180813663,4.25,0.0,7.65,108
L-1:4,13.602045023256514,9.569247663839969,9.86538785550385,9.15819172159025,19.5824303216428,8.051335848270794,6.363740802536351,8.045515545107106,2.1878466845722793,4.076729731454199,3865.4443359375,682.3707275390625,3284.19873046875,1802.7076416015625,632.314208984375,3920.915771484375,0.9049625396728516,4774.8779296875,3712.4755859375,1963.6573486328125,3116.069580078125,279.5995178222656,3746.732421875,5732.41796875,1969.4764404296875,2385.685302734375,1387.66748046875,3893.402587890625,3229.591796875,3775.780029296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062745101749897,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.05490196496248245,0.06666667014360428,0.05882353335618973,0.062745101749897,0.05490196496248245,219.1181640625,-57.41848373413086,0.3499144911766052,219.05697631835938,-57.034732818603516,0.38597866892814636,219.05697631835938,-57.034732818603516,0.38597866892814636,219.05697631835938,-57.034732818603516,0.38597866892814636,217.00613403320312,-56.86246871948242,0.09588736295700073,217.00613403320312,-56.86246871948242,0.09588736295700073,217.00613403320312,-56.86246871948242,0.09588736295700073,216.21629333496094,-57.04641342163086,0.3557851016521454,219.1181640625,-57.41848373413086,0.3499144911766052,219.1181640625,-57.41848373413086,0.3499144911766052,10.794491981047846,5.622073270711083,1.0,0.0031429206490331185,4.25,4.91,8.08,64
L-1:5,11.008652665162856,0.6407430536214114,10.465897675663724,6.63085603059686,3.212165248507089,5.711446465435797,3.206522130723621,4.302009307635823,3.444884846940498,3.761167408899326,3708.20556640625,471.66827392578125,4291.74560546875,2252.3271484375,2072.497802734375,3285.303955078125,2979.040283203125,3361.12109375,3761.39306640625,2751.44287109375,3554.027587890625,991.5997924804688,2976.36865234375,3206.22216796875,1589.2984619140625,4918.99267578125,915.739501953125,3276.67333984375,2639.46875,1486.356689453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.06666667014360428,0.05882353335618973,0.062745101749897,0.05882353335618973,213.11642456054688,-57.41300964355469,1.0505692958831787,217.1682891845703,-57.02478790283203,0.5085979104042053,216.0500946044922,-57.05970001220703,0.14996550977230072,216.0500946044922,-57.05970001220703,0.14996550977230072,216.0500946044922,-57.05970001220703,0.14996550977230072,213.1288604736328,-57.24580001831055,-0.7509324550628662,213.1288604736328,-57.24580001831055,-0.7509324550628662,213.1288604736328,-57.24580001831055,-0.7509324550628662,213.1288604736328,-57.24580001831055,-0.7509324550628662,213.11642456054688,-57.41300964355469,1.0505692958831787,3.42249978688966,10.565219461343839,-1.0,0.003410979602115336,0.25,0.0,7.74,64
L-1:6,17.511202904793592,13.874004509257048,5.810539091880502,4.813130756482511,11.42758979035353,6.1724266095470215,12.91776269832527,19.698103262192678,3.2771659195835294,22.140272108840094,5385.74755859375,469.86688232421875,1914.8695068359375,2996.122802734375,846.1513671875,4068.220703125,32.00416946411133,4384.54638671875,2821.955810546875,2382.74072265625,2583.590087890625,384.0455017089844,2213.140380859375,3709.8486328125,2196.850830078125,3789.326171875,436.07562255859375,3499.34033203125,2846.938232421875,2338.7109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05882353335618973,0.05882353335618973,0.062745101749897,0.05882353335618973,0.05490196496248245,215.9300537109375,-58.13715744018555,0.9149598479270935,216.8892364501953,-57.530067443847656,1.0795223712921143,216.8892364501953,-57.530067443847656,1.0795223712921143,216.8892364501953,-57.530067443847656,1.0795223712921143,216.44534301757812,-57.631343841552734,0.7713822722434998,216.44534301757812,-57.631343841552734,0.7713822722434998,217.41616821289062,-57.19120788574219,1.5092227458953857,217.41616821289062,-57.19120788574219,1.5092227458953857,214.7110595703125,-57.65164566040039,0.7314170002937317,215.9300537109375,-58.13715744018555,0.9149598479270935,7.8543653656964265,6.786056308640654,1.0,0.0035587168442530043,4.0,0.0,8.97,108
L-1:7,6.632198525488674,4.853180093552227,5.105891654044391,4.4905471506096655,22.63278742907244,13.692097209740243,4.264480019456674,2.921974086423077,5.746497890829396,21.861973131718972,4486.80126953125,602.6876831054688,7718.0068359375,2412.747802734375,126.01217651367188,2663.18701171875,882.8173217773438,7562.76123046875,2598.462890625,3347.21484375,4046.901611328125,2062.59326171875,4566.62744140625,3911.3369140625,848.672607421875,4311.19189453125,636.373291015625,4296.52685546875,3151.115234375,2698.735595703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.0470588281750679,0.062745101749897,0.062745101749897,0.062745101749897,0.05882353335618973,0.05098039656877518,217.1681365966797,-57.10778045654297,0.9078145027160645,217.1681365966797,-57.10778045654297,0.9078145027160645,217.1681365966797,-57.10778045654297,0.9078145027160645,217.00625610351562,-57.659915924072266,-0.23379801213741302,217.00625610351562,-57.659915924072266,-0.23379801213741302,215.06307983398438,-58.47175598144531,-1.358555555343628,215.06307983398438,-58.47175598144531,-1.358555555343628,215.06307983398438,-58.47175598144531,-1.358555555343628,215.06307983398438,-58.47175598144531,-1.358555555343628,214.9954833984375,-58.29350280761719,0.25282880663871765,10.079960051260608,1.7775129332817188,-1.0,0.0027719821162444118,11.0,0.0,7.44,68
L-1:8,3.770088304856534,7.271272241436095,3.8043718888248184,7.842982411001068,6.386905378280831,17.43757394207553,24.394480042335772,18.52837613210555,4.7046337792304405,3.49514613184794,5039.7685546875,62.8103141784668,4005.302490234375,2846.453369140625,423.99163818359375,2272.138427734375,390.07586669921875,2908.31298828125,3311.850830078125,2418.179443359375,3336.318115234375,900.333740234375,3282.448974609375,2553.54638671875,2613.796142578125,4561.447265625,885.161376953125,3538.1025390625,3244.52783203125,2147.614013671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.0470588281750679,0.0313725508749485,0.0313725508749485,0.0470588281750679,0.05882353335618973,0.05490196496248245,0.062745101749897,0.062745101749897,0.05882353335618973,218.2133026123047,-58.681304931640625,1.9415557384490967,218.2133026123047,-58.681304931640625,1.9415557384490967,218.57276916503906,-59.01457595825195,1.551011323928833,218.57276916503906,-59.01457595825195,1.551011323928833,215.93365478515625,-58.70151901245117,0.6977816820144653,215.93365478515625,-58.70151901245117,0.6977816820144653,217.28257751464844,-58.31539535522461,1.135371208190918,217.28257751464844,-58.31539535522461,1.135371208190918,217.28257751464844,-58.31539535522461,1.135371208190918,218.2133026123047,-58.681304931640625,1.9415557384490967,12.491284956305302,18.50675771450673,-1.0,0.003687039312039312,7.25,3.14,10.29,36
L-1:9,7.209921718812643,4.009918010770612,7.17917373471196,5.0954760627500395,4.928939799808715,3.2061729258295264,8.3887292953213,4.740036393515028,6.811628582137888,7.993192883947386,3965.081787109375,300.8401794433594,2353.2431640625,1247.248779296875,131.52749633789062,289.3711242675781,291.4105224609375,2607.1396484375,3498.54541015625,2428.517333984375,4485.802734375,311.3609619140625,4407.8046875,3078.023193359375,369.2159118652344,2848.399169921875,1360.31787109375,3245.027099609375,3016.843994140625,2131.05126953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062745101749897,0.05490196496248245,0.05490196496248245,0.05490196496248245,0.05098039656877518,0.05098039656877518,0.06666667014360428,0.062745101749897,0.062745101749897,0.062745101749897,212.91319274902344,-57.141849517822266,2.0602149963378906,212.91319274902344,-57.141849517822266,2.0602149963378906,216.82081604003906,-57.16337585449219,2.1418023109436035,216.82081604003906,-57.16337585449219,2.1418023109436035,215.48094177246094,-57.04609680175781,1.6212559938430786,215.48094177246094,-57.04609680175781,1.6212559938430786,215.48094177246094,-57.04609680175781,1.6212559938430786,213.66444396972656,-56.70144271850586,1.764136791229248,213.66444396972656,-56.70144271850586,1.764136791229248,213.66444396972656,-56.70144271850586,1.764136791229248,10.932036163169768,11.998040123153586,-1.0,0.0040479291482156815,6.0,0.0,8.88,68
L-1:10,4.5148409786503,8.728330327057181,10.919149637595552,7.527596114962921,7.256153217508412,2.816666293473379,6.401864925693431,4.582989775340853,4.938621057373331,2.265513623114899,4625.40283203125,1217.5491943359375,3499.75732421875,3073.482421875,407.3500671386719,3097.28076171875,325.9659729003906,230.53123474121094,2076.281494140625,3478.63037109375,2630.44287109375,604.5755615234375,4570.81640625,2351.111572265625,985.6954345703125,2675.465576171875,1467.89453125,3350.8681640625,3686.58544921875,2642.37060546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05882353335618973,0.05882353335618973,0.06666667014360428,0.07058823853731155,0.05882353335618973,0.05490196496248245,211.9028778076172,-55.826961517333984,1.9045743942260742,211.9028778076172,-55.826961517333984,1.9045743942260742,211.78260803222656,-56.278297424316406,1.6737676858901978,215.48779296875,-56.4348030090332,2.211521625518799,213.6781005859375,-56.12619400024414,1.9911757707595825,213.6781005859375,-56.12619400024414,1.9911757707595825,211.083740234375,-55.85801696777344,1.5623791217803955,211.083740234375,-55.85801696777344,1.5623791217803955,211.083740234375,-55.85801696777344,1.5623791217803955,211.9028778076172,-55.826961517333984,1.9045743942260742,11.82776523380581,12.111343851464223,-1.0,0.0039796192008581385,2.25,0.0,8.48,100
