Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,8.23272626884,0.6435865133786963,3.9817968185392005,4.61455485809802,16.093822822444917,14.337209205686497,20.267182344977492,29.494773025050584,18.75602313622442,9.46827292448304,2033.376953125,17.52082633972168,1071.6943359375,859.6358642578125,470.1055908203125,1598.247802734375,805.5507202148438,1666.902099609375,1662.087890625,878.7963256835938,1254.2078857421875,111.07660675048828,802.671875,1066.421142578125,511.9066162109375,1615.9771728515625,288.308837890625,1502.6678466796875,1266.630615234375,876.708984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12352941930294037,0.1411764770746231,0.12352941930294037,0.10588236153125763,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,352.453857421875,-30.638525009155273,-4.496480941772461,352.78265380859375,-31.554214477539063,-4.092571258544922,352.78265380859375,-31.554214477539063,-4.092571258544922,352.90374755859375,-25.498868942260742,-3.2394211292266846,355.4348449707031,-27.214048385620117,-4.547062397003174,358.2363586425781,-28.875215530395508,-6.703134059906006,355.601318359375,-29.626249313354492,-6.424414157867432,355.601318359375,-29.626249313354492,-6.424414157867432,352.8971252441406,-30.069061279296875,-5.271677017211914,352.8971252441406,-30.069061279296875,-5.271677017211914,12.69295555471939,9.76759831343145,-1.0,0.0070768025078369904,11.666667014360428,0.0,12.9,100
L-1:2,6.8718429141596395,1.4016268062021855,2.169297341488439,3.0911091779825823,12.99447096280209,18.00308669172148,16.764806177909133,14.657412699854415,10.536404016452126,6.185372848408768,2635.13525390625,29.100500106811523,1800.040771484375,1293.45263671875,183.98916625976563,1930.548583984375,716.5064697265625,1389.3912353515625,1360.2899169921875,579.679931640625,1498.4063720703125,94.58206939697266,1249.3543701171875,730.3676147460938,770.9220581054688,1584.4293212890625,336.6594543457031,1863.1376953125,1361.2099609375,856.692626953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12352941930294037,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,350.6781311035156,-37.930938720703125,-3.0911738872528076,350.6593017578125,-38.56942367553711,-2.452697277069092,350.6593017578125,-38.56942367553711,-2.452697277069092,353.1817932128906,-36.23753356933594,-3.6633267402648926,353.1817932128906,-36.23753356933594,-3.6633267402648926,353.8663635253906,-37.1060791015625,-4.442037105560303,353.8663635253906,-37.1060791015625,-4.442037105560303,352.7942810058594,-37.742919921875,-4.230236530303955,352.7942810058594,-37.742919921875,-4.230236530303955,350.6781311035156,-37.930938720703125,-3.0911738872528076,0.7453560147132695,10.83127551543006,-1.0,0.007364583333333333,9.000000268220901,0.0,11.11,32
L-1:3,5.217492102992886,3.3382550931009276,12.201725714896597,4.583398968643806,2.313773500477548,5.467073318550374,8.875892501482268,3.3807685012498525,4.053458153502913,1.9855599665317163,2058.75341796875,74.2480239868164,1829.6597900390625,899.4087524414063,761.735595703125,1348.374755859375,1201.578125,2341.560791015625,1303.4827880859375,1014.3305053710938,2146.62158203125,193.35015869140625,1804.082275390625,1081.3526611328125,422.13238525390625,1493.4310302734375,213.56085205078125,1737.13623046875,982.0016479492188,779.8178100585938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.12352941930294037,0.12352941930294037,349.6388244628906,-41.51652145385742,0.10714270919561386,349.1883544921875,-40.9005126953125,0.34795963764190674,349.1883544921875,-40.9005126953125,0.34795963764190674,349.4600830078125,-40.906707763671875,-0.3980557322502136,349.4600830078125,-40.906707763671875,-0.3980557322502136,350.29364013671875,-40.70625686645508,-1.078520655632019,351.3369445800781,-42.34627151489258,-0.572974681854248,351.3369445800781,-42.34627151489258,-0.572974681854248,351.25115966796875,-41.975379943847656,-0.6501466035842896,349.6388244628906,-41.51652145385742,0.10714270919561386,3.9015667531822884,3.55797846094274,1.0,0.007011099365750528,2.6666667461395264,0.0,11.37,100
L-1:4,12.369317245487352,5.701178239458586,3.4426024047535275,8.989166917464996,2.4562479131496304,3.073181577352241,5.021580201085464,5.214203440460664,4.630427170157207,9.363095142550833,2137.433837890625,133.0768280029297,2113.22412109375,1062.02099609375,573.2041625976563,1977.2020263671875,491.8976135253906,1214.3587646484375,943.3992919921875,905.8894653320313,2377.989990234375,132.18182373046875,1483.8487548828125,1378.8148193359375,714.6038818359375,2008.2691650390625,748.7545776367188,1685.619140625,2138.200439453125,1013.521728515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.12352941930294037,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,349.33538818359375,-40.4825439453125,2.3043107986450195,349.18505859375,-40.36116027832031,2.3739593029022217,349.18505859375,-40.36116027832031,2.3739593029022217,348.066650390625,-40.9304313659668,2.9210731983184814,348.066650390625,-40.9304313659668,2.9210731983184814,349.616943359375,-41.08099365234375,2.2400832176208496,349.616943359375,-41.08099365234375,2.2400832176208496,349.8742980957031,-41.00935363769531,2.0726428031921387,349.8742980957031,-41.00935363769531,2.0726428031921387,349.33538818359375,-40.4825439453125,2.3043107986450195,7.866949381923986,5.411610581909788,-1.0,0.0063074866310160425,6.000000178813934,5.27,10.11,68
L-1:5,7.803133506364577,7.651618207304142,6.572211970120895,3.0975367670966003,2.9417947373856617,6.411794878310153,5.601265460371353,8.214748957212908,4.285268681634917,12.210849758596739,2382.8955078125,427.57891845703125,1606.7249755859375,611.5039672851563,412.7464599609375,2576.25927734375,878.8298950195313,2079.12353515625,1156.1817626953125,816.2605590820313,1969.5496826171875,408.8237609863281,1548.5772705078125,814.4168090820313,97.26183319091797,1497.2867431640625,869.0895385742188,1388.4864501953125,2103.196533203125,1186.2777099609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,351.7265625,-33.25929260253906,-1.3134697675704956,351.0447082519531,-32.6723518371582,-0.6184722781181335,351.0447082519531,-32.6723518371582,-0.6184722781181335,352.39385986328125,-32.534603118896484,-1.255884051322937,352.39385986328125,-32.534603118896484,-1.255884051322937,352.8603210449219,-35.03487777709961,-1.1776604652404785,353.2349853515625,-34.4426383972168,-2.153794288635254,352.439208984375,-33.731834411621094,-1.7075562477111816,352.439208984375,-33.731834411621094,-1.7075562477111816,351.7265625,-33.25929260253906,-1.3134697675704956,12.292726309408964,4.71254720642495,-1.0,0.006824324324324324,2.3333334028720856,0.0,11.11,32
L-1:6,8.66666692495346,2.6197210003323446,3.3283429904149497,9.468122465899526,4.789237810071104,3.6817871154548887,1.4854047384162545,4.693953736237004,8.356225077894237,13.114688560355894,1763.5054931640625,267.0976257324219,1517.9464111328125,833.4650268554688,303.7341613769531,2350.0634765625,950.5658569335938,1900.5540771484375,469.5574951171875,240.1998748779297,1520.2955322265625,283.5777282714844,958.2069091796875,953.4251708984375,306.2269287109375,1542.96240234375,599.3760986328125,1139.0469970703125,1471.23095703125,953.35205078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15882353484630585,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,352.26995849609375,-29.759111404418945,-1.9331696033477783,352.26995849609375,-29.759111404418945,-1.9331696033477783,352.6319580078125,-29.41595458984375,-1.6968132257461548,352.6319580078125,-29.41595458984375,-1.6968132257461548,354.36151123046875,-29.652259826660156,-2.3456499576568604,353.75164794921875,-30.72492027282715,-2.2711474895477295,353.75164794921875,-30.72492027282715,-2.2711474895477295,352.91766357421875,-30.490394592285156,-2.436251401901245,352.7688293457031,-29.93501853942871,-2.31941819190979,352.7688293457031,-29.93501853942871,-2.31941819190979,9.357112843942485,6.621310245573283,-1.0,0.007319369063772049,5.6666668355464935,0.0,12.33,100
L-1:7,13.283239625985562,1.9204132139333325,4.433470548549116,2.943206778803679,11.277260882958977,9.988883006873033,3.0834039441291647,21.60967187990912,17.2939952128198,23.760581229852594,1519.82373046875,758.5922241210938,2061.454833984375,1205.529052734375,976.1181640625,1706.393798828125,953.3472900390625,1708.3958740234375,1806.8094482421875,1329.1556396484375,2203.865478515625,182.31124877929688,1268.398193359375,731.6155395507813,756.651611328125,1652.0753173828125,560.6539916992188,1206.4727783203125,1825.194091796875,1387.276123046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.12352941930294037,0.1411764770746231,355.9064636230469,-27.672534942626953,-5.061415672302246,355.03192138671875,-28.01004409790039,-4.957720756530762,355.03192138671875,-28.01004409790039,-4.957720756530762,353.2232360839844,-28.500505447387695,-5.248200416564941,353.2232360839844,-28.500505447387695,-5.248200416564941,354.695068359375,-28.90052604675293,-6.060770034790039,354.695068359375,-28.90052604675293,-6.060770034790039,357.3711242675781,-27.776195526123047,-5.630809307098389,355.9064636230469,-27.672534942626953,-5.061415672302246,355.9064636230469,-27.672534942626953,-5.061415672302246,4.3461350663266805,4.205737223494796,1.0,0.006429674099485421,6.333333522081375,0.0,10.71,100
L-1:8,4.013864979219926,3.523112674173938,1.76307888947657,16.85390619927687,21.872085816580398,12.758439852900885,1.1139191206995376,1.70686961847392,11.199188295938445,2.3749290860762544,1803.759033203125,241.02865600585938,1993.3746337890625,1023.7719116210938,464.29705810546875,1520.2677001953125,1447.549560546875,2260.5654296875,1618.3699951171875,1629.02783203125,1959.5086669921875,343.0383605957031,1338.5982666015625,892.5477905273438,1094.5308837890625,1985.5582275390625,545.5174560546875,1788.7012939453125,1737.0465087890625,816.18310546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.12352941930294037,0.1411764770746231,359.56689453125,-24.049163818359375,-6.448073863983154,357.2251281738281,-23.502195358276367,-5.901047229766846,357.2251281738281,-23.502195358276367,-5.901047229766846,356.3100891113281,-23.707462310791016,-6.045906066894531,356.3100891113281,-23.707462310791016,-6.045906066894531,357.4175109863281,-23.79383659362793,-6.597316265106201,0.8076418042182922,-24.45493507385254,-7.498068332672119,1.1509381532669067,-24.501636505126953,-7.305134296417236,1.1509381532669067,-24.501636505126953,-7.305134296417236,359.56689453125,-24.049163818359375,-6.448073863983154,4.447221487246303,11.825882871378285,1.0,0.006202320406865861,4.0000001192092896,5.08,11.15,4
L-1:9,5.906681891589282,7.222285469218138,5.441135235641438,4.106026930195944,13.183989795208854,10.671874047101369,3.2995628591748463,0.30446990852476963,3.1344178173325052,12.601699781534599,2140.874755859375,276.0121765136719,1653.99658203125,700.1107788085938,370.5362854003906,1893.0369873046875,743.4916381835938,1507.223876953125,1672.7435302734375,1114.472900390625,1477.260498046875,440.6476135253906,1888.253173828125,1032.9801025390625,578.912109375,1426.585693359375,483.89752197265625,1336.297119140625,970.0243530273438,998.857421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.12352941930294037,0.1411764770746231,359.475830078125,-24.870912551879883,-6.426839351654053,359.475830078125,-24.870912551879883,-6.426839351654053,358.7135925292969,-24.830520629882813,-6.5117058753967285,359.3016357421875,-24.766820907592773,-6.8230791091918945,359.3016357421875,-24.766820907592773,-6.8230791091918945,359.6799621582031,-24.836549758911133,-7.026642799377441,359.6799621582031,-24.836549758911133,-7.026642799377441,358.7124938964844,-24.247243881225586,-6.604868412017822,358.7124938964844,-24.247243881225586,-6.604868412017822,359.475830078125,-24.870912551879883,-6.426839351654053,7.753135797470118,5.036483438855208,1.0,0.006681818181818182,2.6666667461395264,0.0,10.71,100
L-1:10,14.395215683470301,15.975462210315872,3.8669516366375207,13.535350116799492,19.721947161978274,12.22474757825403,2.6358219895033206,8.164761663768376,9.960934568500056,12.703262370932038,1381.1875,5.521090984344482,1150.583984375,869.8929443359375,19.780651092529297,1281.0531005859375,513.2901611328125,1305.376953125,1580.388671875,1105.42626953125,1849.982666015625,356.9150085449219,1002.7559204101563,891.463134765625,210.26148986816406,1737.6859130859375,444.5421447753906,1458.4447021484375,1381.1737060546875,836.4120483398438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.1411764770746231,357.86517333984375,-25.235431671142578,-7.102985858917236,359.130859375,-25.56717872619629,-7.040339469909668,359.9279479980469,-25.395261764526367,-6.595829486846924,359.9279479980469,-25.395261764526367,-6.595829486846924,2.2092506885528564,-25.692995071411133,-7.769984722137451,2.2092506885528564,-25.692995071411133,-7.769984722137451,2.807314157485962,-25.74051856994629,-8.579496383666992,2.807314157485962,-25.74051856994629,-8.579496383666992,0.17117875814437866,-25.44833755493164,-7.940052509307861,357.86517333984375,-25.235431671142578,-7.102985858917236,2.6874193295241846,3.3089627934385857,-1.0,0.007300505050505051,9.000000268220901,0.0,12.39,108
