Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,10.042334591085215,9.796254430952919,5.818591476970802,5.238093343579712,16.638455589795512,15.104668690022683,6.834669030083165,7.646310787055651,1.1847718639620854,6.117472756811246,2744.343994140625,247.39952087402344,1533.2470703125,1062.9532470703125,1466.246826171875,3073.092529296875,344.92486572265625,2161.21044921875,2235.786865234375,1522.1409912109375,3302.623291015625,242.02557373046875,2220.778564453125,1893.6817626953125,293.9169921875,1659.883544921875,1486.7802734375,3352.802001953125,2376.974365234375,1096.3948974609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.019607843831181526,55.40815353393555,-6.373080253601074,-0.8459949493408203,55.39437484741211,-6.521807670593262,-0.7154085040092468,55.38503646850586,-6.649114608764648,-0.6606409549713135,55.38503646850586,-6.649114608764648,-0.6606409549713135,55.3704948425293,-6.7150349617004395,-0.5525574088096619,55.3704948425293,-6.7150349617004395,-0.5525574088096619,55.365543365478516,-6.797035217285156,-0.3484942615032196,55.37177276611328,-6.910515785217285,-0.19972297549247742,55.37177276611328,-6.910515785217285,-0.19972297549247742,55.40815353393555,-6.373080253601074,-0.8459949493408203,11.989505152222339,10.996244760470926,-1.0,0.005519258645682336,2.25,0.0,15.23,64
L-1:2,2.5297854861060634,4.84960524759086,6.044301439926689,6.0256496290261685,4.156376491948318,5.754691159125228,6.7268465431473325,8.980567289244771,2.860792121610966,5.160080508892158,2839.146728515625,104.57020568847656,792.6232299804688,106.02031707763672,1242.5545654296875,4226.4013671875,1211.554931640625,3031.241943359375,2444.34228515625,1446.345703125,2920.4951171875,267.0877380371094,1640.804931640625,1701.6468505859375,1153.036865234375,2831.302490234375,198.49334716796875,2136.71728515625,2469.852294921875,1136.26171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.021568628028035164,0.01568627543747425,55.38536834716797,-7.524978160858154,0.34517425298690796,55.340240478515625,-7.282766342163086,0.2689870297908783,55.359554290771484,-7.300754070281982,0.19247420132160187,55.359554290771484,-7.300754070281982,0.19247420132160187,55.359554290771484,-7.300754070281982,0.19247420132160187,55.36469650268555,-7.303770542144775,0.19886772334575653,55.36469650268555,-7.303770542144775,0.19886772334575653,55.3748893737793,-7.370761394500732,0.28161245584487915,55.3748893737793,-7.370761394500732,0.28161245584487915,55.3820686340332,-7.453273296356201,0.33060166239738464,9.124946698594862,12.318122708110751,-1.0,0.004610872997969771,3.5,0.0,11.68,76
L-1:3,2.0765420721813133,5.836971563481792,4.363368015255769,2.464006786771435,4.113491318112816,8.606040793586162,2.8112262635799934,2.6426942076608326,7.579004781164195,6.205694454195278,3287.38623046875,93.6686019897461,2323.986572265625,1818.2257080078125,531.1185302734375,2569.388916015625,798.6672973632812,2428.961181640625,2079.783203125,1452.298828125,2650.330322265625,1051.5750732421875,3523.515380859375,2257.03955078125,798.118896484375,2097.677490234375,1080.43359375,2390.065673828125,2143.797119140625,1652.1802978515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.01568627543747425,0.021568628028035164,0.02352941408753395,0.013725491240620613,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.021568628028035164,55.37656021118164,-7.974724769592285,0.8880478143692017,55.382720947265625,-8.012579917907715,0.8237848281860352,55.382720947265625,-8.012579917907715,0.8237848281860352,55.39126205444336,-7.997064590454102,0.7181987762451172,55.389827728271484,-7.990020275115967,0.7108274698257446,55.389827728271484,-7.990020275115967,0.7108274698257446,55.38618087768555,-7.930225372314453,0.8227580189704895,55.38618087768555,-7.930225372314453,0.8227580189704895,55.37656021118164,-7.974724769592285,0.8880478143692017,55.37656021118164,-7.974724769592285,0.8880478143692017,3.7819082144377383,4.585455209980617,-1.0,0.004940417690417691,1.25,0.0,11.49,64
L-1:4,19.051764394997644,11.940525742793115,6.1863210299263445,3.945328021955454,4.439323223936497,1.6987652052759528,5.89980075898493,7.166968801388168,6.230630542297895,14.306946207227085,5292.85302734375,652.1436767578125,5631.0576171875,2290.922607421875,1725.7723388671875,4859.25537109375,1190.038818359375,3866.010498046875,3945.163818359375,2385.436767578125,5284.83203125,317.9556579589844,2545.55224609375,1477.5614013671875,2724.392822265625,5195.0234375,1642.1358642578125,3979.311279296875,4726.603515625,2620.2294921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.007843137718737125,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.013725491240620613,55.48033142089844,-8.59514331817627,0.3934454917907715,55.48033142089844,-8.59514331817627,0.3934454917907715,55.48033142089844,-8.59514331817627,0.3934454917907715,55.49381637573242,-8.604288101196289,0.3502533435821533,55.49381637573242,-8.604288101196289,0.3502533435821533,55.49381637573242,-8.604288101196289,0.3502533435821533,55.48460006713867,-8.562026023864746,0.46068131923675537,55.48460006713867,-8.562026023864746,0.46068131923675537,55.48460006713867,-8.562026023864746,0.46068131923675537,55.48460006713867,-8.562026023864746,0.46068131923675537,4.883009761640396,14.795232898616183,-1.0,0.0026727272727272724,3.25,2.87,7.14,108
L-1:5,5.745986532926462,5.038645305567728,2.6190439037891413,3.9905520430409216,2.137614335235925,6.254392987382948,4.066674719444396,4.539934876306357,4.475614388450807,1.9923166217683341,4326.865234375,684.4876708984375,2841.574951171875,1896.966064453125,1327.819580078125,3082.031005859375,968.2056884765625,4145.87646484375,3009.08642578125,1334.5865478515625,3590.7333984375,700.0079345703125,1886.4080810546875,1510.2735595703125,922.884521484375,2752.012451171875,543.08154296875,2771.291015625,2901.607421875,1785.4830322265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.02352941408753395,0.01568627543747425,55.47056579589844,-8.786011695861816,0.24838471412658691,55.47056579589844,-8.786011695861816,0.24838471412658691,55.47283172607422,-8.805191993713379,0.18591561913490295,55.47283172607422,-8.805191993713379,0.18591561913490295,55.47283172607422,-8.805191993713379,0.18591561913490295,55.470306396484375,-8.756577491760254,0.14724883437156677,55.470306396484375,-8.756577491760254,0.14724883437156677,55.47255325317383,-8.76954460144043,0.21272289752960205,55.47255325317383,-8.76954460144043,0.21272289752960205,55.47829818725586,-8.796103477478027,0.24547481536865234,9.450161757926505,6.947295594555591,-1.0,0.004197552447552448,4.25,0.0,10.29,100
L-1:6,14.504351785003182,15.518546288810498,10.489570732627119,2.9119931861842305,5.528701418903244,4.327878208216614,2.439055423851381,5.52084139099283,2.54178184320365,3.8305285632902657,3059.702392578125,850.4837646484375,2193.06494140625,1272.668212890625,1845.138427734375,3125.656982421875,321.29888916015625,2927.271484375,3961.06689453125,2976.320556640625,3504.591796875,684.15478515625,1796.0230712890625,2023.7432861328125,492.9062805175781,2577.04248046875,613.1172485351562,2577.7509765625,2165.59716796875,1081.3900146484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.01568627543747425,0.019607843831181526,0.013725491240620613,0.01568627543747425,0.011764707043766975,0.013725491240620613,0.019607843831181526,0.019607843831181526,55.50246810913086,-8.813222885131836,0.1721545308828354,55.50246810913086,-8.813222885131836,0.1721545308828354,55.50761795043945,-8.821084022521973,0.13683457672595978,55.50761795043945,-8.821084022521973,0.13683457672595978,55.488014221191406,-8.830121040344238,0.17827317118644714,55.488014221191406,-8.830121040344238,0.17827317118644714,55.494483947753906,-8.779354095458984,0.09952816367149353,55.494483947753906,-8.779354095458984,0.09952816367149353,55.498680114746094,-8.78819751739502,0.14365297555923462,55.498680114746094,-8.78819751739502,0.14365297555923462,4.072246889944913,8.037796607783793,-1.0,0.004601951720595789,5.75,0.0,10.24,4
L-1:7,2.1986636177691126,4.594646634020746,0.6155946909750329,4.502748020211276,3.5217543771609257,2.5356414753766727,6.974643922847729,9.749827318439346,19.26203574624724,7.312292888405271,2914.228271484375,178.69691467285156,2273.1376953125,1700.65625,1080.330078125,2628.330810546875,1309.7215576171875,3068.436279296875,3175.00830078125,2362.702880859375,3172.877197265625,58.22118377685547,2080.55859375,1290.0322265625,939.856201171875,2728.27099609375,774.8150634765625,2348.83935546875,2519.172119140625,1082.2501220703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013725491240620613,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.011764707043766975,0.011764707043766975,0.01568627543747425,0.013725491240620613,0.011764707043766975,55.51742935180664,-8.921883583068848,0.1614997833967209,55.518218994140625,-8.929374694824219,0.18257442116737366,55.518218994140625,-8.929374694824219,0.18257442116737366,55.51154708862305,-8.915282249450684,0.09710406512022018,55.51154708862305,-8.915282249450684,0.09710406512022018,55.51154708862305,-8.915282249450684,0.09710406512022018,55.51483917236328,-8.894944190979004,0.10780701041221619,55.51483917236328,-8.894944190979004,0.10780701041221619,55.5155143737793,-8.898488998413086,0.12979009747505188,55.51742935180664,-8.921883583068848,0.1614997833967209,7.627733334773576,2.226262422147766,-1.0,0.004260801080108011,5.25,0.0,10.82,100
L-1:8,5.341582633957879,6.920465446916004,16.439039590987612,15.404008868915524,1.516989450407575,4.471529009834446,4.086914168046347,5.287748726464486,5.802023996460641,7.897526380621492,4602.78271484375,1137.8232421875,4577.283203125,1438.2418212890625,2041.9210205078125,4315.62744140625,2673.88134765625,3431.18896484375,656.8967895507812,298.9234313964844,3822.891357421875,719.0475463867188,2389.372314453125,2497.325439453125,1129.25146484375,3111.0595703125,1040.0609130859375,3041.492431640625,3263.508544921875,2461.108642578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013725491240620613,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.005882353521883488,0.011764707043766975,0.005882353521883488,0.011764707043766975,0.011764707043766975,0.019607843831181526,55.519378662109375,-8.983074188232422,0.20553818345069885,55.519378662109375,-8.983074188232422,0.20553818345069885,55.519378662109375,-8.983074188232422,0.20553818345069885,55.519378662109375,-8.983074188232422,0.20553818345069885,55.521156311035156,-8.963044166564941,0.1939883977174759,55.520626068115234,-8.969895362854004,0.19743044674396515,55.520626068115234,-8.969895362854004,0.19743044674396515,55.52024459838867,-8.975306510925293,0.2003350555896759,55.52024459838867,-8.975306510925293,0.2003350555896759,55.52024459838867,-8.975306510925293,0.2003350555896759,8.168823606105473,11.186286500109563,-1.0,0.0035818713450292395,1.5,0.71,7.7,68
L-1:9,2.597515268730689,3.3585361360089485,2.065031049696932,5.823092057538661,8.50065282427646,8.26013139486294,5.470160046373674,0.791381608645497,4.972279204069084,5.195971428138816,4116.04833984375,618.4971313476562,2230.7666015625,1958.0894775390625,411.339599609375,3062.357177734375,1217.464111328125,3734.989990234375,2682.035888671875,1420.203369140625,2609.5087890625,40.31644821166992,1957.254150390625,904.725341796875,414.5151672363281,2408.06787109375,698.9599609375,2394.07421875,649.6604614257812,77.81948852539062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.013725491240620613,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.011764707043766975,55.546016693115234,-9.06756591796875,0.23577196896076202,55.546016693115234,-9.06756591796875,0.23577196896076202,55.54601287841797,-9.073293685913086,0.23899811506271362,55.54601287841797,-9.073293685913086,0.23899811506271362,55.54581832885742,-9.050795555114746,0.23305238783359528,55.54581832885742,-9.050795555114746,0.23305238783359528,55.54938888549805,-9.039552688598633,0.2622165381908417,55.54938888549805,-9.039552688598633,0.2622165381908417,55.550148010253906,-9.050994873046875,0.2922584116458893,55.54007339477539,-9.072843551635742,0.23618009686470032,8.614414962236355,12.562466301873505,-1.0,0.00526060606060606,3.25,0.0,12.4,64
L-1:10,9.640720162934393,15.162453604998941,10.939087331652066,6.444237038960829,1.6804027512033881,2.828580872270857,6.201062893912249,7.410148262167722,11.574849537631462,4.991999575122694,3459.411865234375,466.88177490234375,2355.260009765625,1844.4488525390625,912.8919677734375,2277.525390625,695.2015991210938,3001.59423828125,2391.611328125,1169.4422607421875,2915.08984375,247.786376953125,3509.7431640625,2229.1220703125,961.6376953125,3745.68603515625,954.0730590820312,2030.3365478515625,2236.281494140625,931.8352661132812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013725491240620613,0.01568627543747425,0.021568628028035164,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.011764707043766975,0.011764707043766975,0.01568627543747425,0.019607843831181526,55.558109283447266,-9.090496063232422,0.23587609827518463,55.56196212768555,-9.097501754760742,0.24318362772464752,55.56196212768555,-9.097501754760742,0.24318362772464752,55.567195892333984,-9.07659912109375,0.21194720268249512,55.567195892333984,-9.07659912109375,0.21194720268249512,55.567195892333984,-9.07659912109375,0.21194720268249512,55.5564079284668,-9.080660820007324,0.21389715373516083,55.5564079284668,-9.080660820007324,0.21389715373516083,55.5564079284668,-9.080660820007324,0.21389715373516083,55.558109283447266,-9.090496063232422,0.23587609827518463,7.397278321281416,14.889189952093272,-1.0,0.005089902186421173,4.5,0.0,10.11,4
