Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,8.114025048468465,1.776066444245016,4.433313205857707,3.5768920017764105,0.33230015946258723,8.904362762010356,5.116670667022139,6.781385855452275,2.41169177457896,1.4257213561195672,921.613037109375,137.82012939453125,789.8922119140625,442.2861328125,137.79776000976563,456.09368896484375,226.6496124267578,534.0590209960938,382.363037109375,275.7457275390625,151.94737243652344,137.4669189453125,657.355712890625,486.41705322265625,189.72654724121094,674.2415771484375,98.01678466796875,705.5968017578125,722.1069946289063,332.46112060546875,0.24313727021217346,0.2392157018184662,0.2392157018184662,0.2352941334247589,0.2392157018184662,0.2549019753932953,0.25882354378700256,0.2549019753932953,0.2549019753932953,0.24313727021217346,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.40000003576278687,0.36666667461395264,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.339502337392046,6.526849637729204,1.0,0.022167252636865895,6.5,0.0,25.22,100
L-1:2,6.157359780833736,6.525058154432902,3.2198416255758335,6.828546696361212,8.952136606058515,4.345956230347195,9.73146192961612,18.18856676842479,5.32852058034307,6.614515894112313,1082.982666015625,46.75043487548828,281.31964111328125,304.3797302246094,230.0227508544922,631.8229370117188,45.846099853515625,481.9146423339844,1017.0492553710938,568.5609741210938,690.2444458007813,130.07809448242188,515.2393798828125,633.7127685546875,252.87501525878906,873.1296997070313,32.55021286010742,781.0404663085938,758.9693603515625,571.4247436523438,0.250980406999588,0.24313727021217346,0.24705883860588074,0.250980406999588,0.2549019753932953,0.2549019753932953,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.2549019753932953,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.354922184123038,9.811662728095587,-1.0,0.015552793560606059,0.0,0.0,18.77,100
L-1:3,3.2533647705210456,3.6042310807745492,2.002753899344971,5.492745214752105,7.347019025951934,1.7716769268362165,8.856326765215414,8.465894767052774,7.5308527555096285,2.111232434500636,891.1242065429688,14.053933143615723,623.85302734375,507.2423095703125,317.5658264160156,639.6287841796875,93.4052505493164,682.3082275390625,704.5531005859375,445.6484069824219,1201.384765625,161.404541015625,758.5225219726563,703.5776977539063,259.0509948730469,748.1853637695313,257.6846008300781,900.8450927734375,547.2996215820313,438.99505615234375,0.25882354378700256,0.2549019753932953,0.250980406999588,0.26274511218070984,0.25882354378700256,0.2549019753932953,0.250980406999588,0.25882354378700256,0.25882354378700256,0.25882354378700256,0.40000003576278687,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.40000003576278687,0.36666667461395264,0.40000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.893533479825717,5.788080589852004,1.0,0.01451913875598086,1.5,0.0,17.34,36
L-1:4,9.570119357690285,6.845462436964042,28.176549177618536,37.92848979078899,19.29984512114625,5.166441904564282,13.081549376719158,24.494827442438286,29.513358997496535,21.16445180359798,380.71844482421875,195.508544921875,673.5999145507813,162.9032745361328,473.8302307128906,516.7013549804688,436.0063781738281,699.8734741210938,710.4481201171875,346.5798034667969,691.1921997070313,354.0111389160156,352.3279113769531,519.2799072265625,75.81622314453125,707.1889038085938,268.3692932128906,736.7996826171875,505.8201904296875,781.287353515625,0.26274511218070984,0.2549019753932953,0.25882354378700256,0.26274511218070984,0.2705882489681244,0.2705882489681244,0.26274511218070984,0.2666666805744171,0.2549019753932953,0.25882354378700256,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.90216773115992,30.87394221176424,1.0,0.01621818181818182,4.5,16.03,17.84,68
L-1:5,6.494275763206264,0.8081847049469802,3.364449542407817,1.3167322345447143,0.1547423186821623,6.4812581499557975,8.452806183196248,11.273631882983345,8.339669957439758,12.852391036981148,533.2838134765625,232.03419494628906,737.7601928710938,421.2056884765625,123.42031860351563,537.666259765625,214.03147888183594,858.3927612304688,519.9955444335938,433.4836120605469,1102.8153076171875,0.27251920104026794,792.93505859375,614.2322998046875,282.7225036621094,713.1163330078125,281.38671875,814.4127197265625,783.300048828125,442.02587890625,0.25882354378700256,0.25882354378700256,0.250980406999588,0.250980406999588,0.250980406999588,0.2705882489681244,0.2705882489681244,0.2666666805744171,0.2666666805744171,0.26274511218070984,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.185981813487339,7.162734377309209,1.0,0.015321366531557613,4.0,0.0,15.12,36
L-1:6,2.8886617392506593,4.8045427908860905,2.9035608380293865,7.342173034272259,3.8993141151717703,4.717700220787311,5.943326901604406,9.06198380135321,8.26802620197257,2.802791096555171,670.158935546875,43.80734634399414,599.2401733398438,463.20751953125,293.0425109863281,700.1805419921875,102.96141815185547,934.109619140625,662.1373901367188,330.4388122558594,982.1124267578125,108.45696258544922,960.3018798828125,582.4436645507813,242.26177978515625,1114.438232421875,139.27806091308594,1049.97119140625,763.7040405273438,480.0075378417969,0.2666666805744171,0.2666666805744171,0.25882354378700256,0.26274511218070984,0.26274511218070984,0.2666666805744171,0.2705882489681244,0.2666666805744171,0.26274511218070984,0.2705882489681244,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.36666667461395264,0.40000003576278687,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.839124636387549,6.237566942620089,1.0,0.014196389734667244,0.5,0.0,18.65,64
L-1:7,6.703638441022763,12.178796166479946,6.293613679867982,2.984107681624134,3.4171181630892584,2.1983346132165633,6.630024321173554,5.456931291105191,1.6435957899389113,0.42189501513700745,796.6856689453125,183.55648803710938,689.48681640625,726.4191284179688,111.029541015625,972.49853515625,281.3125915527344,691.06005859375,1028.6827392578125,623.4612426757813,1024.537353515625,148.97512817382813,947.7847900390625,1070.4208984375,268.34722900390625,774.724365234375,275.09698486328125,772.3622436523438,832.0529174804688,482.2012023925781,0.25882354378700256,0.26274511218070984,0.26274511218070984,0.26274511218070984,0.2666666805744171,0.26274511218070984,0.2352941334247589,0.2549019753932953,0.25882354378700256,0.25882354378700256,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.40000003576278687,0.36666667461395264,0.40000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.255050451892188,4.96767742114255,-1.0,0.01381925766541151,1.0,0.0,14.68,100
L-1:8,8.191377092177328,23.570435489615814,19.35973735326065,4.611367513544538,2.6285180735301488,3.628758291734179,4.273748763376752,2.996866430183634,6.66541223971342,11.865967095493492,0.0,0.0,737.8715209960938,480.53985595703125,63.54900360107422,1070.745361328125,620.1314697265625,1216.812255859375,961.6341552734375,671.6497802734375,976.6395263671875,2.991081714630127,1008.0751342773438,633.367919921875,449.4964599609375,859.7069702148438,286.8309020996094,1018.3389282226563,451.30291748046875,519.1375122070313,0.24313727021217346,0.26274511218070984,0.25882354378700256,0.26274511218070984,0.2705882489681244,0.27450981736183167,0.2705882489681244,0.2666666805744171,0.26274511218070984,0.26274511218070984,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38883501603604,15.465310584994711,1.0,0.013015734265734265,5.0,6.82,14.89,36
L-1:9,5.816374884121976,2.876272107224552,10.135896401553545,7.16035749925989,3.767761129384225,10.947042058668313,7.0662768155687665,5.905561699254546,4.411865876421522,5.320495123908903,1069.4761962890625,100.71048736572266,723.9266357421875,298.21343994140625,460.01129150390625,1250.9913330078125,475.75018310546875,1105.4844970703125,1369.2860107421875,632.8009033203125,1488.07763671875,175.3286590576172,670.2883911132813,496.7178649902344,406.6922302246094,879.1134643554688,363.1157531738281,859.3765869140625,835.2024536132813,571.5709228515625,0.2666666805744171,0.2666666805744171,0.250980406999588,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.26274511218070984,0.2705882489681244,0.2666666805744171,0.2666666805744171,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.262521979460153,4.999243356008855,-1.0,0.011257498846331333,2.0,0.0,13.94,36
L-1:10,8.841087300880972,7.720527469030906,5.036690753526355,9.982395687078972,11.890033095032251,9.3269585650245,3.9340082338047204,6.50494432375995,7.646537324083477,10.990126357219866,1019.1571044921875,193.0799102783203,709.6331176757813,322.9187927246094,31.13810920715332,1330.9393310546875,447.2074279785156,1240.4769287109375,1180.0235595703125,664.4540405273438,1389.617431640625,194.25254821777344,582.6339721679688,656.5996704101563,363.6401672363281,938.5797729492188,419.16851806640625,904.6351928710938,753.8366088867188,501.2430419921875,0.2666666805744171,0.2666666805744171,0.26274511218070984,0.2666666805744171,0.2705882489681244,0.2705882489681244,0.27450981736183167,0.2666666805744171,0.26274511218070984,0.2666666805744171,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.40000003576278687,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.007035525495702,5.171295907194106,-1.0,0.011501490312965722,7.0,0.0,13.23,0
