Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,21.06024922970397,12.883173982848136,19.76138316867345,26.847139986462068,9.315989901097277,7.344382302345482,1.0327884678074233,2.8444225179788685,4.431968134764417,18.094740051161796,2466.139404296875,238.16932678222656,1779.8060302734375,1144.2608642578125,76.63326263427734,1589.9827880859375,201.48391723632812,1929.19189453125,891.8228149414062,1055.7218017578125,1847.486572265625,63.382850646972656,1882.0474853515625,1062.806640625,419.19952392578125,2695.739501953125,345.8902587890625,1595.662109375,1481.8389892578125,840.7889404296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.04313725605607033,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03921568766236305,269.93304443359375,0.5969949960708618,-0.46929383277893066,269.9248046875,0.6017736196517944,-0.4584539532661438,269.9248046875,0.6017736196517944,-0.4584539532661438,269.9478454589844,0.588481605052948,-0.4354221224784851,269.9478454589844,0.588481605052948,-0.4354221224784851,269.9478454589844,0.588481605052948,-0.4354221224784851,269.92364501953125,0.6024339199066162,-0.466476172208786,269.9491882324219,0.5876405239105225,-0.5092753767967224,269.9491882324219,0.5876405239105225,-0.5092753767967224,269.93304443359375,0.5969949960708618,-0.46929383277893066,10.710554140161198,17.5951609856539,1.0,0.006032909742587162,5.6666668355464935,0.0,10.58,68
L-1:2,14.868606277329704,15.12630042003739,12.26270527375293,3.7688709405841685,11.633951981882504,9.760189402973783,2.260440530941043,1.7587304488558826,4.789293313740598,2.594936021104414,2253.16552734375,240.01283264160156,1618.2423095703125,1094.8421630859375,723.0950927734375,1951.095947265625,176.71237182617188,1820.7454833984375,920.8905029296875,1008.5064697265625,1782.5166015625,84.08749389648438,1429.63671875,1448.6055908203125,742.6158447265625,1928.8492431640625,649.515869140625,1834.9837646484375,1830.3052978515625,620.8218383789062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.03529411926865578,0.03921568766236305,269.9303283691406,0.5985620617866516,-0.470398873090744,269.9303283691406,0.5985620617866516,-0.470398873090744,269.9354553222656,0.595646858215332,-0.4296034574508667,269.9354553222656,0.595646858215332,-0.4296034574508667,269.94891357421875,0.5878989696502686,-0.39264020323753357,269.94891357421875,0.5878989696502686,-0.39264020323753357,269.9601745605469,0.5813729166984558,-0.4053954780101776,269.9601745605469,0.5813729166984558,-0.4053954780101776,269.9436950683594,0.5908950567245483,-0.42863425612449646,269.9532470703125,0.5853551030158997,-0.4401552677154541,9.074761141943586,11.86761689718053,1.0,0.006679561573178594,2.0000000596046448,0.0,11.84,68
L-1:3,0.4929034842403895,10.341645879190391,6.1867485690780954,1.7446361107667325,1.1892662291425409,8.437803362180313,10.060749056255506,5.086257111831663,11.209843832094709,11.121163308182437,314.0898742675781,16.06955337524414,1790.1971435546875,1211.1153564453125,744.3008422851562,1744.324462890625,493.96368408203125,1740.3526611328125,1205.8909912109375,975.1347045898438,2243.08935546875,286.1171875,1839.4447021484375,1171.59912109375,609.8136596679688,1774.411376953125,502.36285400390625,1170.0550537109375,1042.4422607421875,1260.0533447265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.04313725605607033,0.04313725605607033,269.9627380371094,0.579886794090271,-0.42875438928604126,269.9513854980469,0.5863960981369019,-0.4936920404434204,269.9513854980469,0.5863960981369019,-0.4936920404434204,269.9513854980469,0.5863960981369019,-0.4936920404434204,269.9853210449219,0.56683349609375,-0.41871634125709534,269.9835205078125,0.567884087562561,-0.40819209814071655,269.9835205078125,0.567884087562561,-0.40819209814071655,269.9835205078125,0.567884087562561,-0.40819209814071655,269.9817810058594,0.5688896775245667,-0.42396295070648193,269.9817810058594,0.5688896775245667,-0.42396295070648193,5.63007178673526,4.307461741623582,1.0,0.006253719008264463,5.333333492279053,0.0,10.81,100
L-1:4,16.86866496936675,17.968386346530558,20.100017591105424,3.7084866906114953,8.276109682539545,4.334305661092975,15.201889953314886,14.171985859823108,8.105477099877866,18.181168790328588,2231.117431640625,6.571229934692383,1860.0113525390625,1607.2325439453125,280.06396484375,1738.2835693359375,649.3992919921875,1280.523681640625,1514.1168212890625,1545.28466796875,1929.630126953125,397.4185791015625,2098.97900390625,1454.495361328125,154.57969665527344,1970.2674560546875,1360.1343994140625,1828.62451171875,2045.5001220703125,1435.0511474609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.04313725605607033,269.95880126953125,0.5821651220321655,-0.4271278977394104,269.95782470703125,0.5827195644378662,-0.4456193149089813,269.95782470703125,0.5827195644378662,-0.4456193149089813,269.94183349609375,0.5918954610824585,-0.5011593103408813,269.94183349609375,0.5918954610824585,-0.5011593103408813,269.9468078613281,0.5889822244644165,-0.541715681552887,269.9468078613281,0.5889822244644165,-0.541715681552887,269.95269775390625,0.5856389403343201,-0.4943595826625824,269.95269775390625,0.5856389403343201,-0.4943595826625824,269.95880126953125,0.5821651220321655,-0.4271278977394104,10.38661126617129,12.751580976906833,-1.0,0.005828030303030304,2.6666667461395264,4.8,10.99,36
L-1:5,15.677717958558967,14.07716231332526,14.2438125741841,2.4370498483120695,4.7082194183035755,5.943739795660665,0.5027619317724252,5.39288787249323,10.884882335418277,11.31754571344709,1636.341064453125,38.82905578613281,1132.6768798828125,707.2899780273438,809.2955322265625,1753.773681640625,14.265851974487305,1271.833740234375,1052.8258056640625,823.9725952148438,655.829833984375,29.357027053833008,489.7247619628906,346.03448486328125,498.5524597167969,1482.3843994140625,521.9308471679688,1319.0419921875,1151.6517333984375,902.4114379882812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,269.8948974609375,0.6188545227050781,-0.5573848485946655,269.8948974609375,0.6188545227050781,-0.5573848485946655,269.89208984375,0.6204800009727478,-0.5553330183029175,269.89208984375,0.6204800009727478,-0.5553330183029175,269.91009521484375,0.6101968884468079,-0.5066583752632141,269.9249267578125,0.6016876697540283,-0.47422727942466736,269.9465026855469,0.5892835855484009,-0.4135896563529968,269.9410095214844,0.5924347639083862,-0.43398335576057434,269.9410095214844,0.5924347639083862,-0.43398335576057434,269.93975830078125,0.5930713415145874,-0.5153769850730896,3.250536392540067,17.37563016630739,1.0,0.009086333129957292,6.666666865348816,0.0,17.02,36
L-1:6,2.874490529640866,7.930341497577706,9.232294005145768,2.4207948380108304,6.977224167401461,13.172793422013218,10.548710507884207,7.562040732261708,2.779751800928905,4.198054895008474,1445.617919921875,438.96063232421875,1524.6611328125,1057.1192626953125,43.56541442871094,983.7681884765625,458.0744323730469,1144.985595703125,397.6776428222656,367.52349853515625,934.4189453125,45.85249328613281,1152.889892578125,551.522216796875,638.697021484375,1617.4578857421875,340.01080322265625,1346.7362060546875,1202.332275390625,897.7250366210938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.0470588281750679,269.9080505371094,0.6112895011901855,-0.5597970485687256,269.9080505371094,0.6112895011901855,-0.5597970485687256,269.91925048828125,0.6048420071601868,-0.5608628988265991,269.9227294921875,0.6028538346290588,-0.5513957738876343,269.9364929199219,0.5949559807777405,-0.5160651803016663,269.9250793457031,0.6016523838043213,-0.42623546719551086,269.935546875,0.5956252813339233,-0.4001774787902832,269.95281982421875,0.5856279730796814,-0.42660167813301086,269.95281982421875,0.5856279730796814,-0.42660167813301086,269.9283447265625,0.599665641784668,-0.497896671295166,10.297981742496546,12.924861306429476,1.0,0.009262283024418946,2.0000000596046448,0.0,17.99,68
L-1:7,5.869395000369755,4.291775106073584,0.6657466394755918,9.706601883889984,2.7145488974943954,2.545364933750018,2.6966368369198235,4.383648182633992,8.421641339912028,11.038564166104143,994.6842041015625,30.94873809814453,1053.9852294921875,871.6715698242188,767.9428100585938,1423.504638671875,499.5582580566406,1198.05078125,1342.498779296875,503.2756652832031,1147.7498779296875,63.76741409301758,1291.46630859375,944.1421508789062,241.40216064453125,1153.5328369140625,0.0,0.0,982.4089965820312,775.7360229492188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.05098039656877518,0.04313725605607033,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.0470588281750679,269.96435546875,0.5789113640785217,-0.4863070845603943,269.97039794921875,0.5754057765007019,-0.5254945755004883,269.97039794921875,0.5754057765007019,-0.5254945755004883,269.94110107421875,0.5922563672065735,-0.5636114478111267,269.9183349609375,0.6053466796875,-0.5797299742698669,269.9183349609375,0.6053466796875,-0.5797299742698669,269.9189758300781,0.6049805879592896,-0.5692143440246582,269.9189758300781,0.6049805879592896,-0.5692143440246582,269.95123291015625,0.5864689946174622,-0.504611611366272,269.95123291015625,0.5864689946174622,-0.504611611366272,9.969202363691654,4.134467661490796,-1.0,0.00892092411720511,3.6666667759418488,0.0,13.57,100
L-1:8,12.510569245323307,12.510951339492145,17.732763247011395,3.953155304985045,8.334734836968813,13.687830523320763,10.636486055739075,16.404087909720722,13.446478640628714,9.388959354223294,1552.8607177734375,206.90219116210938,1948.6326904296875,1350.7203369140625,703.3621826171875,1696.5567626953125,917.8353271484375,1211.807861328125,1029.7608642578125,728.2279052734375,1567.926025390625,279.80517578125,1169.3360595703125,1072.3955078125,748.9280395507812,2102.996337890625,429.46588134765625,1637.7769775390625,1333.6766357421875,1769.5648193359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.04313725605607033,269.898681640625,0.6166556477546692,-0.5767529010772705,269.898681640625,0.6166556477546692,-0.5767529010772705,269.9146728515625,0.6074879765510559,-0.5445830821990967,269.9146728515625,0.6074879765510559,-0.5445830821990967,269.9472961425781,0.5887685418128967,-0.4783581495285034,269.92095947265625,0.6039117574691772,-0.5187185406684875,269.94049072265625,0.5927315950393677,-0.44363290071487427,269.94049072265625,0.5927315950393677,-0.44363290071487427,269.9430236816406,0.5911953449249268,-0.5190568566322327,269.9430236816406,0.5911953449249268,-0.5190568566322327,16.95878492304001,11.3247223279151,1.0,0.007382038376848065,2.3333334028720856,10.18,13.41,36
L-1:9,4.928668848838778,10.643663462883708,2.5812224566451087,11.29635468017557,14.353157791412727,8.382213664899208,0.9446721223836667,5.171023371817478,4.69515210167805,3.152735100744851,656.491943359375,203.0884246826172,833.7966918945312,530.8848876953125,630.5729370117188,766.6454467773438,177.9064178466797,1061.3953857421875,688.5125122070312,430.97271728515625,839.7583618164062,220.9984893798828,900.426513671875,729.592041015625,173.28543090820312,875.800048828125,326.8533020019531,887.9386596679688,760.643310546875,630.8062133789062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.03921568766236305,0.04313725605607033,269.8398132324219,0.6503732204437256,-0.6280451416969299,269.7911071777344,0.6781489253044128,-0.6837159991264343,269.7857971191406,0.6810261607170105,-0.7289254665374756,269.8011779785156,0.672319233417511,-0.7001568078994751,269.8732604980469,0.6311710476875305,-0.6245851516723633,269.89593505859375,0.6182305812835693,-0.577743411064148,269.9183044433594,0.6054653525352478,-0.5023224353790283,269.9405212402344,0.5926472544670105,-0.5070410966873169,269.9161376953125,0.6066809296607971,-0.5187930464744568,269.9107666015625,0.6097542643547058,-0.5314649939537048,17.222643129146597,5.648944171473291,1.0,0.012037878787878788,6.000000178813934,0.0,22.7,32
L-1:10,20.68981184317614,18.114623881360835,8.890959853178309,2.6653924014381634,5.0826580740255825,4.772681763149992,5.770703290637113,1.313451664140616,4.363211972082042,20.753251670611828,900.5696411132812,136.90948486328125,735.5448608398438,490.1563720703125,578.4376220703125,1034.12890625,204.46908569335938,778.5443725585938,285.553955078125,364.0745544433594,2500.648193359375,106.51148223876953,1808.1517333984375,1028.8402099609375,445.64727783203125,1064.2529296875,678.6863403320312,733.2636108398438,793.3773193359375,375.345458984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.04313725605607033,0.0470588281750679,0.04313725605607033,269.9096374511719,0.6104679703712463,-0.49723947048187256,269.88336181640625,0.6254814863204956,-0.5683674812316895,269.88336181640625,0.6254814863204956,-0.5683674812316895,269.8838195800781,0.6251586079597473,-0.5959857106208801,269.85626220703125,0.64089035987854,-0.6420394778251648,269.9148254394531,0.6074314713478088,-0.5288271903991699,269.9148254394531,0.6074314713478088,-0.5288271903991699,269.9125671386719,0.6086681485176086,-0.5644772052764893,269.92822265625,0.5998013615608215,-0.4582197666168213,269.92578125,0.6012172102928162,-0.45534658432006836,19.376148277854025,7.295623818169216,-1.0,0.011299688904251641,10.333333641290665,0.0,18.68,100
