Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,12.004629094678554,3.591139303176991,10.82740208005953,8.713379185724254,3.7477990650531696,3.6817871154548905,18.543969783928773,16.38933300171433,4.367583877257178,3.5008680797472707,1540.8858642578125,219.06761169433594,1104.88330078125,1516.012939453125,352.6062927246094,2204.5478515625,417.8887634277344,1656.0638427734375,1352.5206298828125,1204.5518798828125,441.1299133300781,431.7560119628906,1565.2110595703125,1456.9947509765625,850.7203979492188,1988.1641845703125,321.60736083984375,1697.6507568359375,1073.8115234375,1074.2171630859375,0.2549019753932953,0.2549019753932953,0.2549019753932953,0.26274511218070984,0.26274511218070984,0.2705882489681244,0.2549019753932953,0.25882354378700256,0.25882354378700256,0.24705883860588074,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.30000001192092896,63.578125,-47.53125,-2.734375,63.796875,-47.53125,-2.734375,63.84375,-48.375,-2.296875,63.875,-48.375,-2.296875,64.203125,-46.375,-2.9375,64.5,-46.375,-2.9375,58.3125,-48.578125,-3.96875,58.3125,-48.578125,-3.96875,58.75,-48.578125,-3.96875,63.359375,-46.390625,-1.765625,8.01387709227968,5.581504627999846,-1.0,0.006539184952978057,5.333333492279053,0.0,11.92,64
L-1:2,1.2018504609725968,11.60922972581829,4.076271111029326,7.279034274442261,11.970775366261929,14.70071848558217,10.354525203829633,5.425015310730783,2.1030620126890254,3.738363687607401,3108.889404296875,541.4821166992188,2049.135498046875,1109.450927734375,552.117431640625,1551.7132568359375,1392.083984375,2542.504150390625,1852.6412353515625,1086.4918212890625,2649.594482421875,412.6588439941406,1857.1905517578125,1062.84228515625,1089.3902587890625,2285.864990234375,989.772705078125,1896.783935546875,2306.912353515625,1267.40478515625,0.26274511218070984,0.26274511218070984,0.250980406999588,0.26274511218070984,0.2666666805744171,0.2666666805744171,0.26274511218070984,0.2705882489681244,0.2705882489681244,0.26274511218070984,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,63.78125,-44.5625,-2.34375,63.859375,-44.5625,-2.34375,63.359375,-46.734375,-2.4375,63.65625,-43.34375,-2.875,63.9375,-43.34375,-2.875,63.9375,-43.34375,-2.875,63.8125,-48.421875,-6.078125,63.8125,-48.421875,-6.078125,63.703125,-48.421875,-6.078125,63.78125,-44.5625,-2.34375,5.934831448460041,11.616212839010746,-1.0,0.005677899686520375,2.6666667461395264,0.0,8.28,108
L-1:3,14.970341494741342,5.5644695092749,3.8326552600851542,3.5801846197504847,5.564469509274864,6.599663487759724,4.8843496438193394,22.896016975077853,28.551784360582978,20.954648536761503,3338.457763671875,212.4322509765625,2674.327880859375,1545.0238037109375,1138.8912353515625,3285.5126953125,1232.6844482421875,3802.423583984375,1866.99951171875,1030.0101318359375,2922.1201171875,195.2264862060547,740.9359130859375,666.8484497070312,551.0357055664062,3115.41455078125,725.6146240234375,2480.38232421875,1606.9581298828125,1634.73779296875,0.2666666805744171,0.2549019753932953,0.250980406999588,0.2549019753932953,0.25882354378700256,0.26274511218070984,0.25882354378700256,0.26274511218070984,0.2666666805744171,0.2705882489681244,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.3333333432674408,62.28125,-46.796875,-3.390625,62.359375,-44.96875,-1.734375,62.359375,-44.96875,-1.734375,62.4375,-44.96875,-1.734375,62.8125,-45.28125,-6.0,62.8125,-45.28125,-6.0,62.28125,-46.28125,-3.15625,62.3125,-46.28125,-3.15625,62.296875,-46.796875,-3.390625,62.296875,-46.796875,-3.390625,16.034685105611764,13.173619532657773,-1.0,0.004850332594235033,10.666666984558105,0.0,8.75,100
L-1:4,20.179748424957097,31.810932740230456,26.615850855714893,10.336611277912837,11.551595054987594,1.4907120294265472,5.159029754760129,5.7793597085624775,7.418722863395753,6.255511025767779,4074.73583984375,475.9356689453125,2943.775146484375,3020.724609375,2226.56689453125,3656.02001953125,798.575439453125,1734.678955078125,2186.465087890625,1075.6395263671875,2517.657470703125,427.2399597167969,1901.578125,1396.4276123046875,966.80224609375,3594.4970703125,1079.4459228515625,2880.930908203125,2408.111572265625,1295.5167236328125,0.26274511218070984,0.26274511218070984,0.26274511218070984,0.25882354378700256,0.2666666805744171,0.25882354378700256,0.2666666805744171,0.26274511218070984,0.26274511218070984,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.3333333432674408,60.265625,-43.203125,-1.53125,64.203125,-43.203125,-1.53125,64.203125,-43.203125,-1.53125,63.921875,-49.0625,-5.4375,63.65625,-49.0625,-5.4375,51.796875,-62.3125,-7.71875,52.109375,-52.625,-7.296875,52.109375,-52.625,-7.296875,52.390625,-52.625,-7.296875,60.265625,-43.203125,-1.53125,14.181365346759376,18.949521259511187,-1.0,0.0048707180500658755,10.666666984558105,8.05,8.45,64
L-1:5,7.601169727193423,6.419570924432442,3.2933142471614447,6.548990147280773,16.25308052416677,2.6874193295241846,9.281014612211983,18.65110765096074,2.7570933092093153,9.430857029696414,2835.517822265625,710.3861083984375,1843.8570556640625,1359.7454833984375,783.7664794921875,3138.95166015625,1650.8590087890625,1841.6571044921875,2123.915283203125,1234.243896484375,2160.8046875,206.7710418701172,2448.84033203125,842.1515502929688,612.5034790039062,2360.969970703125,1773.617919921875,1766.8282470703125,2626.8134765625,1598.867431640625,0.25882354378700256,0.2549019753932953,0.24705883860588074,0.250980406999588,0.25882354378700256,0.250980406999588,0.25882354378700256,0.26274511218070984,0.26274511218070984,0.25882354378700256,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,59.421875,-45.828125,-2.796875,59.421875,-45.828125,-2.796875,59.5,-45.828125,-2.796875,59.3125,-49.625,-4.953125,59.3125,-49.625,-4.953125,58.90625,-45.34375,-5.09375,59.28125,-45.34375,-5.09375,59.3125,-48.53125,-6.109375,59.34375,-48.53125,-6.109375,59.34375,-48.53125,-6.109375,6.324555508823195,9.05121582185935,-1.0,0.0053219696969696965,1.666666716337204,0.0,8.43,100
L-1:6,1.6996732218518027,7.400431343884604,5.847907157243566,11.838261831085967,5.802016249531997,18.13529455212113,28.650756114371898,22.60957601060722,4.376728875063016,5.550592682579734,1407.0899658203125,29.80753517150879,2457.705810546875,1784.8182373046875,1687.317138671875,3447.90087890625,335.8024597167969,2963.906982421875,2511.919189453125,569.5811767578125,3177.69384765625,1167.80859375,2241.87890625,2011.78125,1250.0406494140625,2334.8154296875,302.6838684082031,2177.5732421875,1510.435791015625,612.011474609375,0.250980406999588,0.2549019753932953,0.25882354378700256,0.26274511218070984,0.2666666805744171,0.26274511218070984,0.2705882489681244,0.2666666805744171,0.27450981736183167,0.27450981736183167,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.36666667461395264,0.36666667461395264,58.09375,-52.78125,-5.515625,57.671875,-52.78125,-5.515625,57.671875,-52.78125,-5.515625,57.796875,-47.546875,-4.8125,57.890625,-47.546875,-4.8125,57.890625,-47.546875,-4.8125,57.84375,-51.109375,-7.828125,57.84375,-51.109375,-7.828125,57.78125,-51.109375,-7.828125,57.90625,-47.171875,-4.8125,5.174725052972161,13.866889621670227,-1.0,0.005491202346041056,6.000000178813934,0.0,8.56,108
L-1:7,14.666667103767395,8.910435782561276,7.071931946455086,14.67916301079258,11.997170440233578,7.608475033759095,8.902402481204145,3.4197439016219535,3.826283366822839,13.975645003330664,1870.269775390625,247.232177734375,2073.10888671875,1107.6649169921875,451.20208740234375,1604.4698486328125,815.3185424804688,2617.52880859375,1846.8953857421875,1842.6968994140625,3051.3505859375,48.33354949951172,2644.33740234375,1738.702392578125,1127.40234375,2746.676513671875,1387.877685546875,2794.865478515625,812.3688354492188,730.8397827148438,0.2549019753932953,0.250980406999588,0.2549019753932953,0.26274511218070984,0.26274511218070984,0.27450981736183167,0.2705882489681244,0.2705882489681244,0.25882354378700256,0.2549019753932953,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.3333333432674408,59.625,-48.8125,-6.90625,59.65625,-45.375,-4.953125,59.40625,-45.375,-4.953125,59.140625,-50.578125,-7.0625,59.140625,-50.578125,-7.0625,59.328125,-50.578125,-7.0625,59.53125,-44.90625,-4.234375,59.53125,-44.90625,-4.234375,59.265625,-44.90625,-4.234375,59.59375,-48.8125,-6.90625,11.392005333264912,7.323930986100025,1.0,0.005465447836296545,9.666666954755783,0.0,9.31,108
L-1:8,11.377365782989255,15.85426939580149,25.05526340854912,23.99038488372195,15.251905799654484,11.31861823488753,18.832617702227683,9.16408303704191,17.590337164851785,13.841170812532715,3566.515380859375,185.02566528320312,2006.9139404296875,2048.548583984375,1016.1714477539062,3853.502197265625,983.8812255859375,3353.806884765625,1866.9342041015625,1410.3587646484375,2740.1396484375,3.972352981567383,1995.5028076171875,1835.3133544921875,234.27352905273438,1830.439697265625,995.7832641601562,2524.22314453125,2086.079833984375,1713.0350341796875,0.25882354378700256,0.26274511218070984,0.26274511218070984,0.26274511218070984,0.2705882489681244,0.2705882489681244,0.2705882489681244,0.2549019753932953,0.26274511218070984,0.25882354378700256,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,62.078125,-45.703125,-4.3125,62.46875,-45.703125,-4.3125,62.46875,-45.703125,-4.3125,62.546875,-48.640625,-6.03125,62.625,-48.640625,-6.03125,62.625,-48.640625,-6.03125,62.59375,-48.734375,-5.203125,56.109375,-54.8125,-8.25,56.03125,-54.8125,-8.25,62.078125,-45.703125,-4.3125,8.339997584015824,12.123907908222757,-1.0,0.005612538019601218,18.333333879709244,4.24,9.49,36
L-1:9,3.000000089406967,4.209173856342086,5.471536149318087,4.501905500957452,6.141893218895708,6.119186765927911,11.808540170362402,10.744716025428053,10.281823771337342,6.05748007193891,2306.00390625,55.160545349121094,590.0343017578125,894.7752685546875,544.3482666015625,2673.730712890625,534.7247924804688,2622.58642578125,2318.34716796875,733.7955322265625,3001.763916015625,659.6029663085938,2013.2344970703125,1844.260009765625,685.0177001953125,2607.92919921875,776.1994018554688,1900.1549072265625,1265.4129638671875,1225.669189453125,0.2705882489681244,0.25882354378700256,0.25882354378700256,0.2666666805744171,0.26274511218070984,0.2666666805744171,0.2705882489681244,0.2705882489681244,0.27450981736183167,0.2666666805744171,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.36666667461395264,59.171875,-48.734375,-4.171875,59.0,-48.734375,-4.171875,59.203125,-45.890625,-5.015625,59.484375,-45.890625,-5.015625,59.28125,-50.921875,-6.5625,59.28125,-50.921875,-6.5625,59.09375,-50.921875,-6.5625,59.21875,-47.21875,-5.0625,59.21875,-47.21875,-5.0625,59.34375,-47.21875,-5.0625,11.352924582294444,14.826375927996637,-1.0,0.00635064935064935,2.6666667461395264,0.0,9.78,100
L-1:10,8.33333358168602,4.368432454535905,4.2597071431600355,9.105028543801192,11.246516944022199,2.4267033687482384,8.727049819810118,14.21801045589998,9.291110002764562,5.112220726072285,3133.626708984375,146.75723266601562,1994.3409423828125,2032.79541015625,1054.594970703125,3126.772216796875,1424.0106201171875,2202.005859375,1864.4315185546875,1397.4134521484375,914.1572875976562,63.90310287475586,1375.0758056640625,1562.3499755859375,724.8331909179688,2363.36572265625,714.2927856445312,2343.596435546875,1268.931884765625,1609.294189453125,0.27450981736183167,0.2705882489681244,0.2705882489681244,0.2705882489681244,0.2705882489681244,0.25882354378700256,0.2666666805744171,0.26274511218070984,0.2666666805744171,0.27450981736183167,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.40000003576278687,59.078125,-50.546875,-8.9375,59.4375,-48.53125,-7.265625,59.796875,-48.53125,-7.265625,60.078125,-50.28125,-9.53125,60.078125,-50.28125,-9.53125,58.375,-51.171875,-7.5,58.484375,-51.6875,-9.78125,58.625,-51.6875,-9.78125,58.84375,-50.546875,-8.9375,59.078125,-50.546875,-8.9375,13.767918029024841,2.3464812504166415,-1.0,0.005525719831769653,5.000000149011612,0.0,9.76,36
