Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.7818052119729393,5.4447168645003385,3.787521131825782,3.754465661956588,3.2230111021412933,9.214179532613423,2.9098355954553363,2.9290309881818035,3.461723518128859,5.125352267765681,471.2847900390625,5.734657287597656,805.517333984375,708.0753784179688,156.41494750976563,763.9419555664063,338.8617858886719,1445.398681640625,810.6763916015625,651.4801025390625,1169.541015625,152.95018005371094,755.1415405273438,642.8256225585938,318.6183776855469,841.9939575195313,359.6318664550781,648.9192504882813,370.1756591796875,307.8829650878906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.021568628028035164,0.021568628028035164,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.030247443024242,6.578731130978221,-1.0,0.015286816504528681,2.3333334028720856,0.0,26.04,36
L-1:2,16.417032839923216,5.282788465972091,1.603336728016599,6.369700395613896,4.865659701460458,5.577082085610544,2.8148950509562027,3.360224272646259,1.1156544441217247,1.9701343433081915,1424.6395263671875,52.91989517211914,622.7319946289063,573.031005859375,176.07638549804688,1057.9749755859375,469.6537170410156,1501.157958984375,760.7201538085938,711.7157592773438,1236.955078125,115.30596160888672,1637.2081298828125,1159.14208984375,463.1703796386719,1143.0029296875,398.98431396484375,1026.150146484375,1230.078857421875,1256.5107421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.02549019828438759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.30050892251532,9.284511291196733,-1.0,0.010587059520284275,0.3333333432674408,0.0,20.43,100
L-1:3,6.63381928715693,6.18201070662461,8.506730503272633,6.5119355648814805,2.0167267960795057,3.6104144644476728,4.26849871445817,12.314931754708732,1.2771628523376655,1.6919380304552187,757.2738037109375,150.74330139160156,584.1644897460938,959.7379760742188,148.92086791992188,1473.36376953125,426.94097900390625,1647.5830078125,1020.1288452148438,135.7109375,1384.552490234375,261.47064208984375,1426.40771484375,716.528564453125,80.58805847167969,956.421875,389.8630676269531,979.6689453125,877.5372314453125,636.7793579101563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.555643489363468,5.082424688882923,-1.0,0.013326278984173722,1.0000000298023224,0.0,20.69,100
L-1:4,4.117603929265433,14.629735448760226,17.89220655033549,20.43142664327076,16.631899371361442,17.23411161276683,15.763033718407609,21.580166248533963,19.907079415877345,3.2285758299890475,750.6355590820313,157.20921325683594,645.32568359375,699.4959716796875,204.97457885742188,1057.5545654296875,304.25555419921875,1546.028564453125,1103.5408935546875,74.5896224975586,1948.3402099609375,37.76920700073242,1007.2796630859375,875.307373046875,179.94107055664063,735.0244140625,311.7550964355469,1424.8856201171875,896.5892944335938,1152.3797607421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7635438016034954,21.690187586426532,-1.0,0.011957629391257711,14.333333760499954,-4.85,25.48,36
L-1:5,9.90356742647176,7.512753491073302,6.438018873311441,7.138054616206585,1.9769594915128352,3.285187648094074,8.54206449062724,6.721201369513371,5.089533661267103,1.4763328401251214,754.1285400390625,16.05485725402832,759.1002197265625,580.8064575195313,233.75833129882813,1129.880615234375,258.1048278808594,1275.1971435546875,1033.8397216796875,750.3787231445313,997.2901611328125,82.84839630126953,1084.8197021484375,864.5473022460938,446.8548583984375,1089.8116455078125,356.69390869140625,1220.298583984375,834.0518188476563,548.899658203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.411215211007358,9.705861095223026,-1.0,0.012034203420342034,6.333333522081375,0.0,22.92,100
L-1:6,10.14952523796237,8.80415650365679,9.298997625092994,6.402526609651466,3.5095440452092426,2.5942512410837795,10.712402037723049,7.453787404050118,3.5666882077915982,0.4800353283283922,869.4317016601563,144.95399475097656,891.4347534179688,884.39599609375,260.3505554199219,774.5919189453125,307.1908264160156,1529.3909912109375,1192.532470703125,551.919189453125,956.7193603515625,132.45025634765625,1157.7855224609375,1173.6961669921875,840.5445556640625,1511.9139404296875,279.8971862792969,894.9137573242188,696.6683349609375,647.7361450195313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.019607843831181526,0.01764705963432789,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.146201351178789,2.3429401931815295,-1.0,0.011506224667052693,2.6666667461395264,0.0,22.71,100
L-1:7,3.2363956838862564,3.5880950491223547,1.0330101510155176,2.0143787450630186,2.534118545395107,7.701873096161627,7.238187999577588,3.7998573987691464,2.164776696426257,0.6679755019581539,863.867919921875,74.36774444580078,988.9428100585938,816.9003295898438,216.15048217773438,885.1210327148438,371.2854919433594,1465.30126953125,772.96728515625,523.6160278320313,1242.4913330078125,143.89535522460938,950.8571166992188,589.2982177734375,252.07362365722656,1047.6959228515625,204.35044860839844,925.2117919921875,764.134765625,655.6300659179688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.019607843831181526,0.01764705963432789,0.019607843831181526,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.211374985207012,6.617687683655295,-1.0,0.013202716823406478,3.000000089406967,0.0,21.66,4
L-1:8,1.9233819401069001,1.4761748097086749,5.694004985122728,4.443002702358293,10.840974205569307,14.456341421663323,1.1943316526708199,3.0770101416491915,5.208596615994771,1.0501346943912526,1135.430419921875,123.1917724609375,896.1271362304688,744.46875,416.4670104980469,1233.3292236328125,476.53472900390625,1745.7244873046875,707.6799926757813,570.7744140625,903.2084350585938,144.1611785888672,856.4120483398438,695.4293823242188,271.53521728515625,1088.7607421875,330.28033447265625,1205.11962890625,926.0745849609375,743.7335815429688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.24768694946803,8.7441306361742,-1.0,0.013380493678506923,1.3333333730697632,-7.01,25.4,100
L-1:9,2.7030738690023037,2.333713686617968,1.667119680704362,3.4094573886104587,3.4570788565255626,7.181865219567652,3.9316957281888167,2.1871033475774806,6.528562474844338,4.290069655458698,709.3079223632813,35.43057632446289,781.7913208007813,567.39501953125,322.2344055175781,753.0853881835938,362.7360534667969,1145.856689453125,981.2200927734375,793.1831665039063,1331.5662841796875,105.24657440185547,848.9483642578125,691.1913452148438,56.206111907958984,671.0508422851563,216.1570587158203,729.209228515625,607.8101806640625,521.706787109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.591156919021417,4.968686077690308,-1.0,0.014153807447165379,1.666666716337204,0.0,24.11,100
L-1:10,2.1204496747481305,5.02899488830739,1.8141887561125836,2.275555745289095,7.785511172060102,7.783145083620587,2.627546364116959,2.7369551289527467,5.878016730032737,1.8410061457404485,580.7396850585938,91.33692169189453,690.9823608398438,429.53314208984375,299.6976623535156,587.6012573242188,254.76986694335938,865.6527709960938,1320.526611328125,895.6617431640625,1161.47998046875,4.36871862411499,1012.6211547851563,489.2759094238281,279.1444091796875,1003.0723266601563,313.220458984375,1009.7044677734375,435.9989013671875,421.93353271484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.429197628308525,12.05631703718262,-1.0,0.013917633784655062,3.333333432674408,0.0,24.67,0
