Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.137205514240467,4.669070250873924,5.785401188012117,5.1412969116727885,1.4439989050980777,1.302935002904682,3.0304908285573586,4.122259376123497,2.500317561831597,4.785024289694321,476.48681640625,113.96183013916016,511.3634948730469,320.23736572265625,159.65267944335938,325.0079650878906,92.71696472167969,131.3925018310547,386.1220703125,226.68917846679688,636.7789916992188,74.75999450683594,470.21466064453125,321.0281982421875,162.17645263671875,416.07049560546875,130.59181213378906,522.4924926757813,258.421142578125,311.26690673828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.04159545898438,-30.9825439453125,-17.180356979370117,248.17184448242188,-31.276599884033203,-16.352092742919922,248.9237060546875,-31.708112716674805,-16.43545150756836,251.293701171875,-32.04092788696289,-16.290678024291992,245.45718383789063,-38.96512985229492,-24.53658676147461,245.91876220703125,-39.480899810791016,-24.640810012817383,246.14675903320313,-38.54117965698242,-24.017702102661133,245.4735107421875,-37.728126525878906,-23.850513458251953,245.2386474609375,-35.813419342041016,-22.83626937866211,245.33065795898438,-33.287506103515625,-20.761995315551758,12.799470263738696,13.658901043054483,1.0,0.032384437596302,1.0,0.0,36.03,76
L-1:2,7.4595710622958995,2.023340407826265,3.7611817294664998,4.937601033851804,8.255686810318885,2.989351508871103,4.190102995725913,1.03857729535114,5.096209488495366,1.610275657330584,563.9110107421875,7.458393096923828,624.8507690429688,299.070068359375,129.58558654785156,444.1498107910156,61.722293853759766,472.5078430175781,501.1524963378906,398.9551696777344,316.2161560058594,28.062278747558594,552.62548828125,371.28106689453125,121.53203582763672,451.4895324707031,102.42390441894531,481.86114501953125,103.86688995361328,120.04608917236328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.61233520507813,-33.10396957397461,-27.478004455566406,243.50180053710938,-32.8484001159668,-25.592514038085938,246.0252227783203,-33.65400314331055,-24.8104305267334,247.6380615234375,-34.162315368652344,-24.945247650146484,251.1331024169922,-34.6100959777832,-26.444602966308594,251.622802734375,-34.74230194091797,-26.946744918823242,252.41064453125,-34.47161865234375,-27.459766387939453,252.02236938476563,-33.70051574707031,-27.169485092163086,250.202880859375,-30.745882034301758,-25.22688865661621,250.91281127929688,-26.139968872070313,-21.43497085571289,12.256587924658517,1.1478222641203206,1.0,0.024190535491905352,0.0,0.0,33.3,68
L-1:3,5.775913973769637,3.464216162889554,10.962382623937414,9.282419902443715,1.3250971135621807,2.0554098476104574,1.2029732434550344,1.4474099745604132,5.618226195103134,3.929845637324934,461.0934143066406,3.832883358001709,589.0361328125,314.99542236328125,233.85693359375,306.048095703125,412.376220703125,700.7341918945313,535.2945556640625,327.7126770019531,297.70654296875,71.47228240966797,381.09161376953125,183.62632751464844,106.63526916503906,420.41937255859375,92.28778076171875,406.1373291015625,591.292724609375,215.05528259277344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.8199462890625,-40.512367248535156,-30.13011932373047,249.0042266845703,-40.81867980957031,-29.56566047668457,250.09999084472656,-41.742286682128906,-29.73880958557129,253.1902313232422,-42.86671829223633,-31.38495635986328,255.3256378173828,-42.88164520263672,-32.34006881713867,257.2669372558594,-42.3098030090332,-32.18365478515625,257.18682861328125,-42.358158111572266,-32.40373992919922,257.30828857421875,-41.49626159667969,-31.93764305114746,255.07540893554688,-38.14665222167969,-29.714847564697266,248.71347045898438,-40.61332702636719,-30.604642868041992,8.577160898276096,8.188537847121417,1.0,0.026181162587412585,1.0,0.0,34.23,100
L-1:4,12.59353792852116,5.665286239847795,3.69753560558288,7.38323625801472,7.540357944929563,9.267614815825759,0.378758780515513,3.39610872358837,3.6198154606046447,7.338887749163533,478.6089782714844,17.008438110351563,499.7941589355469,204.58421325683594,59.93406295776367,422.0207214355469,46.85654830932617,265.30230712890625,283.73101806640625,266.852783203125,386.68499755859375,13.007941246032715,201.52037048339844,158.10191345214844,80.3619613647461,752.7909545898438,143.3773956298828,388.3050231933594,274.56744384765625,149.52114868164063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.65509033203125,-146.89735412597656,59.0826530456543,88.7716064453125,-147.4112548828125,56.6197509765625,89.73126220703125,-146.2340850830078,54.84645462036133,89.8375244140625,-145.7286376953125,55.50425720214844,89.259521484375,-144.74122619628906,56.491600036621094,88.27896118164063,-143.57208251953125,57.5428352355957,86.2828369140625,-142.89857482910156,58.6603889465332,86.2828369140625,-142.89857482910156,58.6603889465332,86.16851806640625,-144.5409698486328,61.1467399597168,87.00631713867188,-146.17678833007813,60.586544036865234,6.571942337769333,9.395217983097956,1.0,0.028057851239669425,0.5,0.63,29.1,76
L-1:5,1.8901835507602611,1.5650182275420832,5.009934362214775,4.538533928761382,6.577989996937675,4.268760386286527,1.683701800962731,2.2889949747521543,8.400905804684474,7.354272570186948,544.7572021484375,68.3783950805664,417.44305419921875,327.8323059082031,248.53610229492188,504.4073791503906,130.373046875,540.9121704101563,338.59423828125,249.76231384277344,269.5364990234375,17.095500946044922,478.7673034667969,413.23846435546875,97.973388671875,684.83349609375,121.73616027832031,628.958251953125,423.944091796875,304.39599609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.67529296875,-142.47555541992188,63.847808837890625,85.85662841796875,-142.8762664794922,63.19957733154297,85.75125122070313,-142.55902099609375,62.49535369873047,84.96090698242188,-141.1825408935547,60.573219299316406,85.47549438476563,-141.46292114257813,60.176719665527344,85.15975952148438,-141.389404296875,59.8044548034668,85.90914916992188,-143.2031707763672,59.0532112121582,81.5433349609375,-138.80615234375,65.15837097167969,82.39132690429688,-139.71804809570313,65.29102325439453,83.11190795898438,-140.14349365234375,65.04302978515625,9.722028445989057,6.975928241050504,1.0,0.025690235690235694,1.0,0.0,34.88,76
L-1:6,0.5967407368974742,3.4058461414750707,2.6999683467311333,1.9796795595972112,1.5586418786397196,1.909980653227473,10.365328377063053,1.3871033433498254,8.629487248401878,5.169328000412768,403.0882873535156,0.2940731644630432,574.753173828125,397.78057861328125,170.61483764648438,443.15985107421875,68.92147064208984,386.8305969238281,477.5163269042969,385.6977844238281,362.54864501953125,37.1895637512207,206.00160217285156,164.92210388183594,151.65528869628906,335.4548645019531,150.7738037109375,380.0835876464844,243.11270141601563,235.25009155273438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.06509399414063,-137.63868713378906,66.0778579711914,82.49386596679688,-138.10470581054688,65.67324829101563,82.63934326171875,-137.8531036376953,65.02330780029297,81.74609375,-136.9910125732422,64.1963882446289,81.46630859375,-136.445556640625,63.852256774902344,80.9736328125,-135.96812438964844,63.74793243408203,81.26516723632813,-136.83457946777344,64.30519104003906,79.44247436523438,-134.6794891357422,66.8486328125,79.60464477539063,-135.1651153564453,67.28791809082031,80.29754638671875,-136.0985565185547,67.11389923095703,12.399573821678063,4.437797401490176,1.0,0.027493380406001768,5.5,0.0,35.6,32
L-1:7,4.558430060346394,1.9211123124176421,3.4491197048338833,1.3013826759199796,5.929053843869588,1.1151987182216503,3.346229729464106,5.020068490404458,2.6211317439551656,1.4290232824640898,805.1227416992188,186.61659240722656,533.4777221679688,364.8375549316406,136.6377410888672,466.3439025878906,40.909854888916016,430.80950927734375,444.71136474609375,313.05291748046875,155.59095764160156,107.93001556396484,711.4540405273438,639.5162353515625,499.34710693359375,1020.9035034179688,224.28961181640625,862.919189453125,438.2384948730469,507.5415954589844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.04315185546875,-137.34249877929688,64.5063705444336,81.04315185546875,-137.34249877929688,64.5063705444336,81.43994140625,-137.98919677734375,63.92049789428711,81.4735107421875,-138.3162078857422,63.66339874267578,81.19650268554688,-139.19509887695313,63.767356872558594,84.17535400390625,-141.85549926757813,63.21647262573242,78.79815673828125,-135.36068725585938,63.702239990234375,78.79815673828125,-135.36068725585938,63.702239990234375,79.6864013671875,-136.32952880859375,64.4616470336914,80.67913818359375,-136.47314453125,64.74226379394531,18.440685751423775,9.847765216196448,1.0,0.02371723368655884,4.5,0.0,24.3,76
L-1:8,37.76979430007005,29.10301013488063,10.893814096041105,1.4090241075169336,2.986902932530282,14.81145558882766,7.62775388473331,12.793343791079101,27.108523887451543,36.229878372785976,940.0130615234375,3.680246353149414,140.20130920410156,123.30738067626953,318.90521240234375,413.3714294433594,132.7791290283203,358.008544921875,389.33331298828125,208.77438354492188,272.0987854003906,6.065271377563477,279.6414794921875,417.7760314941406,25.861215591430664,622.8075561523438,345.27435302734375,583.29736328125,512.1401977539063,361.72271728515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.28640747070313,-144.25631713867188,57.00647735595703,85.97872924804688,-144.01486206054688,56.321571350097656,86.17156982421875,-143.34727478027344,54.94898986816406,86.59747314453125,-143.03443908691406,54.528446197509766,87.9088134765625,-144.85658264160156,56.89700698852539,83.83511352539063,-140.12042236328125,59.656497955322266,83.16867065429688,-140.0016326904297,60.36589050292969,83.33770751953125,-141.0884246826172,59.95774459838867,83.33770751953125,-141.0884246826172,59.95774459838867,84.5989990234375,-142.6188201904297,58.949344635009766,5.411598901587849,26.905593172797115,1.0,0.028626230457440647,15.0,-5.27,28.25,36
L-1:9,1.3106800544120882,3.385717360343697,4.468064449083249,4.4561178561035915,1.4665601667796893,1.2159012832642615,3.0091299164528174,2.418793196364768,4.341106372484506,1.6916491878694737,427.75677490234375,34.82414627075195,307.0271911621094,191.49107360839844,219.0847930908203,513.2011108398438,166.9735107421875,361.57513427734375,526.5503540039063,316.892333984375,664.7379150390625,41.393089294433594,385.10186767578125,298.3377380371094,228.03883361816406,731.7564697265625,67.13334655761719,474.2921142578125,354.95257568359375,213.0760040283203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.3076171875,-139.2616729736328,56.40903091430664,86.373046875,-139.21812438964844,56.16264724731445,86.29266357421875,-139.24147033691406,55.75734329223633,86.60128784179688,-139.61279296875,55.03081512451172,87.19784545898438,-140.33444213867188,54.73576736450195,84.19842529296875,-137.8987274169922,56.44747543334961,84.42276000976563,-138.06155395507813,56.34846878051758,85.21658325195313,-139.3037567138672,56.42609405517578,85.51522827148438,-139.24754333496094,56.775699615478516,86.2744140625,-139.21275329589844,56.525794982910156,35.83862888555136,34.13477603460351,1.0,0.024496278575225943,5.5,0.0,26.33,32
L-1:10,0.41450091001361616,2.4121921218833564,0.26332126090218755,1.4942549758880315,3.417719504731979,3.438371560602907,1.4331666374734537,3.4288084177137628,7.168186780690815,7.245892779674083,321.7854919433594,35.666717529296875,696.7108154296875,440.2957458496094,243.3266143798828,503.8930969238281,123.5383529663086,495.140625,459.9452209472656,339.70892333984375,397.40118408203125,30.5606632232666,475.07568359375,262.1275939941406,243.618408203125,671.3467407226563,87.03063201904297,418.2613525390625,302.8385925292969,247.99948120117188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.06155395507813,-135.20802307128906,59.327579498291016,81.34185791015625,-135.4865264892578,58.7092170715332,81.15594482421875,-135.67543029785156,58.19705581665039,80.4605712890625,-135.227294921875,57.96023178100586,79.97622680664063,-135.3419952392578,57.949241638183594,79.78521728515625,-135.60751342773438,57.95163345336914,77.82015991210938,-132.00198364257813,59.146270751953125,78.42404174804688,-132.68319702148438,59.35459518432617,78.27874755859375,-132.5235595703125,59.59363555908203,79.7183837890625,-134.41470336914063,59.73113250732422,16.291295525185557,2.077806636500465,1.0,0.02713636363636364,6.0,0.0,29.85,108
