Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.646736486524889,3.0860403427522036,20.312712582127034,22.901328012833364,22.784563490478153,14.871332555007799,16.281916189559265,20.1346877930005,21.658258191300927,3.563574548522539,2259.7060546875,78.72283172607422,821.0281982421875,1061.9222412109375,40.29859161376953,1094.9346923828125,81.10869598388672,1123.6343994140625,1005.6920166015625,916.9283447265625,819.6279907226563,460.3808898925781,70.60240173339844,138.98561096191406,161.02085876464844,986.2705688476563,576.712890625,3142.19287109375,887.8464965820313,1181.664794921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,352.953125,-31.859375,-2.6875,352.765625,-34.21875,-6.390625,352.765625,-34.21875,-6.390625,352.46875,-41.796875,-7.65625,352.46875,-41.796875,-7.65625,352.171875,-34.328125,-4.59375,352.171875,-34.328125,-4.59375,353.046875,-27.359375,0.0,352.953125,-31.859375,-2.6875,352.953125,-31.859375,-2.6875,23.69863775201166,2.8268986615690754,1.0,0.008283699059561129,17.5,0.0,9.06,100
L-1:2,19.827123192992477,11.849696033826335,17.906137718601784,20.67755540015775,3.8967683311573644,4.757294942654559,7.730740871639264,16.604216325886252,20.033778497325077,13.218082979444034,1838.5548095703125,77.22291564941406,2135.056640625,649.6585083007813,191.31837463378906,1246.8057861328125,243.626708984375,1306.3399658203125,476.4129638671875,1552.459228515625,1855.87939453125,391.44500732421875,1439.987060546875,524.23681640625,213.94393920898438,2051.378662109375,253.91864013671875,2181.209228515625,874.7232666015625,747.3604125976563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,353.734375,-31.046875,-4.59375,353.734375,-31.046875,-4.59375,354.28125,-32.3125,-14.125,354.28125,-32.3125,-14.125,354.28125,-32.3125,-14.125,354.0625,-31.796875,-12.5,354.0625,-31.796875,-12.5,353.828125,-29.203125,-5.375,353.828125,-29.203125,-5.375,353.828125,-29.203125,-5.375,5.335616629211796,6.698190939941144,1.0,0.007389354066985645,12.0,0.0,7.06,96
L-1:3,14.283924009288892,14.973970353033822,2.4844844403315816,1.8933516134086557,4.837759545410776,7.721410312578788,28.385312356144055,34.30597847222105,20.99857307313808,13.150576693759492,2842.87841796875,135.86215209960938,1649.516357421875,1539.280517578125,1045.601318359375,1758.4190673828125,1331.099365234375,1697.875732421875,1590.716064453125,1226.982666015625,1261.0379638671875,357.12957763671875,1054.56494140625,1578.0867919921875,756.8417358398438,1410.828369140625,486.43450927734375,985.7967529296875,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,354.375,-29.15625,-6.28125,354.359375,-27.546875,-7.328125,354.359375,-27.546875,-7.328125,354.359375,-27.546875,-7.328125,354.359375,-27.546875,-7.328125,354.28125,-28.5625,-8.84375,354.28125,-28.5625,-8.84375,354.28125,-28.5625,-8.84375,354.28125,-28.5625,-8.84375,354.375,-29.15625,-6.28125,7.908195731786706,7.82604715490687,-1.0,0.0060182416267942586,13.0,0.0,5.75,108
L-1:4,9.524439842913212,4.382802618969826,11.854210960959994,12.025593211205658,21.710827450002252,20.880430481061335,27.343631190075453,6.485384687155746,5.0396544374959715,6.838929711329018,2546.8291015625,113.38369750976563,1862.0726318359375,446.86053466796875,63.32456970214844,1814.6348876953125,0.008810142055153847,709.0728759765625,1280.22607421875,1402.9876708984375,2877.884765625,1457.549560546875,2914.386474609375,1225.0614013671875,854.3009643554688,1405.5968017578125,371.3672790527344,2665.415771484375,1721.23828125,1085.909912109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,0.26999998092651367,354.296875,-28.78125,-5.328125,354.296875,-28.78125,-5.328125,354.296875,-28.78125,-5.328125,354.203125,-29.765625,-3.609375,354.5,-37.09375,-10.015625,354.375,-26.5,-3.4375,354.375,-26.5,-3.4375,354.375,-26.5,-3.4375,354.375,-26.5,-3.4375,354.296875,-28.78125,-5.328125,10.113797253331429,7.252295852105571,1.0,0.006043514412416851,10.0,10.74,6.23,100
L-1:5,8.569895576626944,3.71862531206895,9.297409240121585,4.979034541037227,4.286599692626687,21.186630383463584,24.60338904329989,20.37949040043744,23.43067232860713,12.935173534807378,1564.569580078125,203.809814453125,1723.03662109375,925.7058715820313,1035.3516845703125,1050.0322265625,645.5009155273438,1151.4554443359375,1304.11669921875,820.682373046875,1533.6151123046875,220.04222106933594,1286.809814453125,467.9180908203125,229.90911865234375,1944.284423828125,164.87091064453125,943.13818359375,1207.572998046875,1360.8201904296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,354.65625,-31.0,-11.34375,354.65625,-31.0,-11.34375,354.65625,-31.0,-11.34375,354.5625,-33.3125,-7.4375,354.5625,-33.3125,-7.4375,354.65625,-35.0,-9.390625,354.65625,-35.0,-9.390625,354.625,-31.046875,-4.59375,354.625,-31.046875,-4.59375,354.625,-31.046875,-4.59375,6.106614812774469,13.803783623815665,1.0,0.007712028824833702,10.0,0.0,7.95,68
L-1:6,18.132044647540287,16.881288231300655,23.228869708097687,22.846294420498534,20.01139148929824,10.803743351872026,5.6742544073298395,16.157792714604238,18.74099668119355,18.072348594454088,1045.527587890625,261.20404052734375,880.398193359375,918.281982421875,121.10729217529297,393.69805908203125,209.863525390625,1427.496337890625,1245.99853515625,768.5989379882813,702.9933471679688,833.0906372070313,9104.228515625,6515.091796875,181.43280029296875,2951.5068359375,0.17130723595619202,1071.947998046875,1919.866455078125,818.3439331054688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,354.609375,-30.328125,-8.140625,354.59375,-31.0,-8.953125,354.59375,-31.0,-8.953125,354.578125,-43.921875,-11.203125,354.578125,-43.921875,-11.203125,354.578125,-43.921875,-11.203125,354.640625,-32.28125,-10.203125,354.546875,-29.546875,-6.140625,354.609375,-30.328125,-8.140625,354.609375,-30.328125,-8.140625,8.288708140017466,6.446745067723862,1.0,0.0083498023715415,17.0,0.0,8.45,108
L-1:7,7.5671294039980115,5.888663528577343,7.699520011967719,3.874223430280052,10.104158540659451,20.965486630272146,15.629948122340075,7.1448126491521675,8.840226316320875,0.8446223661416016,1748.8529052734375,416.5587158203125,842.7442016601563,479.8772277832031,647.1162109375,1415.758056640625,602.3951416015625,1572.145263671875,1554.9708251953125,771.3184204101563,1022.1212768554688,184.8897247314453,1495.359619140625,729.6959838867188,614.9303588867188,937.5720825195313,375.83917236328125,2297.895263671875,688.5834350585938,870.7183227539063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,354.1875,-25.703125,-0.890625,353.65625,-27.671875,-4.5625,353.78125,-27.359375,-1.765625,353.78125,-27.359375,-1.765625,353.96875,-26.375,-5.90625,353.96875,-26.375,-5.90625,353.96875,-26.375,-5.90625,354.0625,-25.265625,-3.546875,354.0625,-25.265625,-3.546875,354.0625,-25.265625,-3.546875,7.668757466901445,9.834586729945423,1.0,0.007010785824345146,7.0,0.0,7.8,68
L-1:8,40.04937914636926,24.626228759066965,11.600926701278642,7.061924619134994,9.250881414970797,20.610838106910872,29.347333415338042,37.418533061206695,45.02880026120575,42.204470345084104,1831.612060546875,110.66840362548828,2936.02978515625,92.62983703613281,119.4045181274414,1240.3681640625,756.1044921875,1414.17626953125,1586.646240234375,830.7269897460938,2739.2763671875,291.517333984375,2122.33935546875,2465.111083984375,551.657958984375,1014.9024047851563,1008.4398193359375,2869.56494140625,1591.351806640625,1323.2060546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,0.17999999225139618,352.921875,-28.078125,-3.53125,352.921875,-28.078125,-3.53125,352.90625,-28.109375,-2.625,352.90625,-28.109375,-2.625,352.921875,-38.5,-7.546875,352.90625,-29.0,-2.71875,352.90625,-29.0,-2.71875,352.90625,-29.0,-2.71875,352.90625,-29.0,-2.71875,352.921875,-28.078125,-3.53125,3.533751638762808,33.32255339698166,1.0,0.006483554134307902,25.0,4.45,8.11,108
L-1:9,0.3297867772946718,4.682172914593763,3.6569426308302018,21.080679191727985,36.59290118560001,24.60263270379049,15.6157562689193,28.135033668003587,22.378125927663813,12.060154268311917,729.6358642578125,152.05694580078125,1259.6197509765625,1254.164794921875,705.6290283203125,1180.689208984375,1180.1019287109375,1062.2386474609375,1080.719482421875,513.9291381835938,775.2442016601563,265.8011169433594,626.0279541015625,540.0242919921875,253.92404174804688,1274.8216552734375,54.071998596191406,1629.23291015625,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14999999105930328,0.14999999105930328,0.14999999105930328,0.14999999105930328,0.14999999105930328,0.14999999105930328,0.14999999105930328,0.14999999105930328,0.14999999105930328,0.14999999105930328,353.609375,-30.734375,-6.171875,353.609375,-30.734375,-6.171875,353.609375,-30.734375,-6.171875,353.8125,-35.125,-3.578125,353.8125,-35.125,-3.578125,354.015625,-33.359375,-4.484375,354.015625,-33.359375,-4.484375,354.21875,-37.578125,-5.484375,354.21875,-37.578125,-5.484375,353.296875,-33.59375,-2.75,15.36792125634214,15.412295227280005,-1.0,0.00856331168831169,8.0,0.0,10.55,108
L-1:10,10.75264420563211,8.932837515136656,4.355536851751612,4.3605126865774935,16.335177713150077,23.34376001328394,19.619367575619194,8.087359596143868,7.821480938660278,6.84082797745809,1798.98876953125,155.5784149169922,1211.81005859375,657.2754516601563,304.4520263671875,2156.4580078125,975.277587890625,1353.6597900390625,668.3897094726563,580.4283447265625,735.3914794921875,165.0379180908203,780.8541259765625,50.41797637939453,473.63787841796875,465.66259765625,44.30360412597656,1716.839599609375,1426.7379150390625,1172.36669921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,355.296875,-30.28125,0.0,355.140625,-32.1875,0.0,355.140625,-32.1875,0.0,355.734375,-33.6875,-2.609375,355.734375,-33.6875,-2.609375,355.609375,-40.71875,-6.5,355.4375,-29.1875,0.0,355.4375,-29.1875,0.0,355.296875,-30.28125,0.0,355.296875,-30.28125,0.0,10.334966341623009,12.498347221627547,1.0,0.009675856929955292,5.5,0.0,11.13,68
