Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.6666666865348816,2.258205491114681,0.7933412975624745,1.289106909688442,4.879787524779553,8.027729958439854,11.052676813897289,3.60632224032035,8.836153552252823,6.324622162091033,650.8555908203125,3.443812847137451,517.0709228515625,222.74429321289063,268.2906494140625,953.084228515625,176.62518310546875,791.9429321289063,831.4970092773438,500.8685607910156,1123.442626953125,124.84161376953125,515.2941284179688,338.83544921875,341.1221008300781,528.1187133789063,229.4283447265625,653.6112670898438,511.3177795410156,387.35699462890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.021568628028035164,220.8909454345703,-27.502063751220703,-14.216108322143555,221.35073852539063,-27.919179916381836,-13.854654312133789,221.7354736328125,-28.93937873840332,-14.351404190063477,221.9796600341797,-28.67770767211914,-14.148629188537598,222.3403778076172,-29.17103385925293,-14.118998527526855,222.5702667236328,-30.068252563476563,-14.64441204071045,222.4558868408203,-30.116506576538086,-14.650801658630371,221.8134307861328,-29.605741500854492,-13.862523078918457,220.78160095214844,-29.43561553955078,-17.873502731323242,220.80450439453125,-29.215038299560547,-17.561521530151367,10.3387085876314,2.7023840768184564,1.0,0.017884012539184955,3.6666667759418488,0.0,32.6,76
L-1:2,4.666666805744171,1.9571549941038684,6.244337389503696,1.1898148900802104,1.0245640173127075,4.447221487246303,2.1573068672992894,5.161115609020619,0.9388316781017967,2.2615185750097506,843.459716796875,5.1328325271606445,316.7275390625,224.93402099609375,194.45091247558594,864.3038940429688,217.8436279296875,361.3489685058594,243.86129760742188,95.5469970703125,698.9104614257813,17.187156677246094,524.2262573242188,361.6272888183594,151.75538635253906,635.02099609375,247.1253662109375,698.451416015625,403.3766174316406,286.2747497558594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.019607843831181526,219.38427734375,-23.767967224121094,-13.927135467529297,219.887451171875,-24.671043395996094,-13.696298599243164,219.81373596191406,-25.627262115478516,-14.272250175476074,219.97691345214844,-26.167627334594727,-14.453414916992188,220.55987548828125,-27.86574363708496,-14.944186210632324,221.82461547851563,-30.673704147338867,-23.36298942565918,221.52381896972656,-30.561357498168945,-22.6569766998291,220.88607788085938,-29.62435531616211,-21.716999053955078,220.27110290527344,-27.560710906982422,-18.67591667175293,219.2106170654297,-24.803312301635742,-15.721439361572266,7.180219956833229,7.384790824209316,1.0,0.019358794126835364,2.0000000596046448,0.0,35.41,68
L-1:3,2.357022674199906,2.084729018650218,5.608745096324491,5.3423485120535315,5.229376280413785,4.013864979219926,4.594060212209719,1.373192553040656,2.751644142173553,2.8433941055406464,514.7096557617188,0.11731494963169098,356.0153503417969,304.02044677734375,281.7355041503906,527.5511474609375,250.95993041992188,565.6832275390625,276.0705261230469,230.89382934570313,834.4534301757813,77.94877624511719,856.6897583007813,430.0103454589844,104.10620880126953,826.4791259765625,219.39810180664063,539.274169921875,374.623291015625,395.7148742675781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.021568628028035164,220.42613220214844,-24.53849220275879,-22.793062210083008,220.76866149902344,-24.53803253173828,-22.368032455444336,221.6461944580078,-24.377382278442383,-21.861970901489258,222.8046875,-26.874475479125977,-23.623016357421875,222.9086151123047,-27.190784454345703,-23.55694580078125,222.83616638183594,-27.19060516357422,-24.34488868713379,222.52452087402344,-27.435298919677734,-24.426977157592773,221.6271514892578,-25.751853942871094,-22.961441040039063,219.486083984375,-27.330289840698242,-27.7298583984375,218.9706573486328,-25.349407196044922,-26.019468307495117,8.673074812649556,4.548692314145208,1.0,0.02277309384164223,1.666666716337204,0.0,35.5,100
L-1:4,9.871395557497737,2.1280340139427336,4.325006714012131,4.966894410846847,5.280272765458892,7.453560147132695,13.87228558805227,26.741580903540648,30.744773287970848,27.382432662436937,773.0968627929688,78.31826782226563,650.5076293945313,832.3446044921875,301.5487976074219,935.2882080078125,413.1900329589844,678.5970458984375,786.5289306640625,593.3499755859375,723.2807006835938,85.69845581054688,872.75146484375,983.5897216796875,187.0174560546875,1172.9837646484375,435.16064453125,1131.398681640625,957.7305297851563,919.79931640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.019607843831181526,0.021568628028035164,0.02352941408753395,219.72512817382813,-26.72888946533203,-29.160993576049805,220.1315460205078,-26.68488311767578,-26.306734085083008,220.7017059326172,-27.886667251586914,-27.364137649536133,221.2189483642578,-28.57680892944336,-28.769140243530273,221.4282684326172,-29.543607711791992,-30.21749496459961,221.41497802734375,-28.975080490112305,-30.26423454284668,221.4543914794922,-28.913436889648438,-31.562103271484375,221.4543914794922,-28.913436889648438,-31.562103271484375,220.749267578125,-28.333751678466797,-31.21458625793457,219.72512817382813,-26.72888946533203,-29.160993576049805,3.000000089406967,15.664211245175338,-1.0,0.012037878787878787,12.33333370089531,18.62,20.43,36
L-1:5,2.2360680441398086,3.770474930944393,1.2776639145645012,1.024491677700595,3.436299809243726,3.480102273351977,4.808122941085997,0.5603657508495229,3.803000164822397,1.7604880559290892,513.9708251953125,8.728082656860352,456.50177001953125,313.6826477050781,219.77938842773438,555.8850708007813,285.5701599121094,408.9272766113281,552.4913940429688,498.2275085449219,626.7313842773438,30.038881301879883,732.797607421875,381.8599853515625,169.2298126220703,547.5575561523438,246.4546356201172,872.1671752929688,643.8379516601563,356.5556335449219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.021568628028035164,216.39154052734375,-28.994569778442383,-28.242820739746094,216.87803649902344,-27.787900924682617,-27.59282112121582,217.9174041748047,-28.48576545715332,-28.62720489501953,218.61631774902344,-30.875757217407227,-30.46666717529297,219.12594604492188,-32.08218765258789,-31.60073471069336,219.06204223632813,-32.342960357666016,-33.01686477661133,218.91510009765625,-32.56159973144531,-33.65629196166992,218.79495239257813,-31.836345672607422,-32.28605651855469,218.23880004882813,-30.1505184173584,-30.555919647216797,218.082763671875,-29.85787582397461,-29.96735954284668,1.885618139359925,7.36986079141094,-1.0,0.017038791827065445,1.0000000298023224,0.0,32.88,36
L-1:6,1.885618139359925,6.048095459098704,2.4927274602819103,1.4639708928016841,1.285245616337032,2.108185169607732,0.673337373663381,1.533504621460023,5.946632919060016,2.7482735042452853,773.85009765625,135.998046875,424.95318603515625,335.5584716796875,186.13616943359375,622.7233276367188,110.8012466430664,331.9505615234375,394.057861328125,180.12940979003906,736.6594848632813,0.001635247841477394,365.296142578125,241.06854248046875,282.7515563964844,628.72021484375,483.6895751953125,877.7982177734375,381.73492431640625,379.4085693359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.019607843831181526,0.021568628028035164,0.021568628028035164,217.61915588378906,-26.952239990234375,-28.194805145263672,217.89686584472656,-26.52324104309082,-27.37607192993164,217.82122802734375,-24.630916595458984,-24.889511108398438,218.99972534179688,-27.757633209228516,-27.489662170410156,219.365966796875,-29.338151931762695,-28.47915267944336,219.57493591308594,-30.467790603637695,-29.610843658447266,219.43167114257813,-30.503154754638672,-30.166412353515625,219.4921112060547,-30.433765411376953,-30.186038970947266,219.2169189453125,-29.18474006652832,-30.338176727294922,218.48252868652344,-28.176387786865234,-29.84670066833496,0.3333333432674408,6.808081428527686,-1.0,0.021,1.3333333730697632,0.0,38.28,68
L-1:7,4.013864979219926,2.1208330543212397,2.900327976017397,4.401045806376378,6.381947341068459,1.666666716337204,4.571077134991155,2.480353068369326,4.717142460369183,2.665015975355799,904.7435302734375,22.204309463500977,555.5307006835938,571.8943481445313,284.9540710449219,817.02587890625,131.28810119628906,397.1150817871094,303.13690185546875,189.17897033691406,810.2129516601563,5.10639762878418,615.0051879882813,559.25927734375,164.53138732910156,451.07354736328125,469.2097473144531,927.73779296875,563.2177124023438,713.4815673828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.021568628028035164,213.54010009765625,-24.439441680908203,-29.560426712036133,213.59326171875,-24.989957809448242,-29.879215240478516,214.11007690429688,-25.630266189575195,-29.950130462646484,214.32789611816406,-26.038345336914063,-30.130905151367188,215.43450927734375,-28.426429748535156,-31.267858505249023,216.1512908935547,-29.837650299072266,-32.41475296020508,215.65023803710938,-29.070199966430664,-32.01003646850586,214.73716735839844,-28.17416763305664,-30.752216339111328,212.9202423095703,-29.3106746673584,-35.52057647705078,212.34683227539063,-27.015705108642578,-34.01192855834961,7.520343005909332,2.6709927240273186,1.0,0.01822261072261072,0.0,0.0,31.27,64
L-1:8,3.0184618026696417,8.479329825852938,4.925553689841253,9.925556213556206,21.442207081771404,19.00292431798356,20.555035702989304,20.943655790267783,13.808222731353098,4.129806781647779,715.8770751953125,109.49261474609375,875.7969970703125,594.792236328125,58.283973693847656,563.5930786132813,385.2025146484375,423.3204650878906,877.7921142578125,386.4594421386719,1034.8193359375,58.4399528503418,849.215576171875,637.0318603515625,280.389404296875,712.265869140625,103.18323516845703,678.7552490234375,773.1102905273438,792.4158935546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.019607843831181526,218.3240203857422,-26.874013900756836,-32.023948669433594,218.42974853515625,-26.14397430419922,-30.95146369934082,218.5643310546875,-25.75719451904297,-30.113344192504883,219.64141845703125,-29.193134307861328,-35.5709114074707,219.5686798095703,-29.2867374420166,-35.646156311035156,220.0760040283203,-29.76394271850586,-37.05842208862305,219.1645965576172,-29.66097068786621,-36.9413948059082,219.1645965576172,-29.66097068786621,-36.9413948059082,218.3916778564453,-28.271976470947266,-35.475826263427734,218.42111206054688,-27.93131446838379,-34.29887390136719,8.006941671601659,18.963364125637632,1.0,0.016003413582464966,9.333333611488342,4.25,25.45,68
L-1:9,4.055175141052446,9.058143725336668,3.6344556368611154,7.56266808448884,2.276196552808082,3.3499586402101724,8.81403523349328,5.297842757898173,3.9454175693760107,3.658798066271082,595.1021728515625,37.27051544189453,575.893310546875,388.9109191894531,383.51556396484375,705.2222900390625,183.2485809326172,351.5762023925781,732.656982421875,444.07086181640625,877.6976318359375,86.85263061523438,765.4954223632813,422.6444091796875,127.41325378417969,576.5,278.1753845214844,597.2783813476563,381.4368896484375,320.66241455078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01764705963432789,0.021568628028035164,0.019607843831181526,0.01764705963432789,0.01764705963432789,0.021568628028035164,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.019607843831181526,227.87062072753906,-27.401552200317383,-27.831680297851563,228.4405517578125,-27.9818058013916,-27.3569393157959,228.54673767089844,-27.87965965270996,-27.835783004760742,229.0470428466797,-28.829273223876953,-27.483997344970703,230.46910095214844,-27.31373405456543,-23.288808822631836,228.742431640625,-33.815223693847656,-40.990604400634766,228.64761352539063,-32.480918884277344,-39.29726791381836,227.4776153564453,-30.863784790039063,-36.46068572998047,228.36419677734375,-28.515165328979492,-31.001314163208008,227.75848388671875,-27.027624130249023,-28.34710693359375,6.839428380058575,7.852918162380613,1.0,0.01726990984222389,0.3333333432674408,0.0,26.27,64
L-1:10,10.3387085876314,4.735337995172506,4.661080585782104,0.9442283111033366,2.6101120960264748,4.7726071633268905,8.24776784145141,3.4040471589170185,1.1929022025807094,6.466171138628383,651.8746948242188,38.984153747558594,484.6006774902344,347.1551513671875,176.72869873046875,469.0461730957031,150.46762084960938,454.22406005859375,564.6244506835938,379.1175537109375,519.967041015625,173.67630004882813,662.0957641601563,539.050048828125,160.89036560058594,713.9580078125,57.47315979003906,527.1563110351563,419.5035095214844,143.4949951171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.019607843831181526,226.47962951660156,-23.051658630371094,-24.985145568847656,226.51324462890625,-22.747005462646484,-24.958410263061523,226.43031311035156,-23.64128875732422,-25.109397888183594,231.00241088867188,-28.754262924194336,-36.159847259521484,232.2765655517578,-28.81035041809082,-37.27845764160156,231.95309448242188,-28.808307647705078,-37.05982208251953,230.98675537109375,-28.514753341674805,-36.95777130126953,227.96266174316406,-27.185956954956055,-34.866966247558594,226.92503356933594,-25.127845764160156,-31.163902282714844,225.7129669189453,-24.161558151245117,-28.556486129760742,3.3993464437036054,1.4715303165930604,1.0,0.019782608695652175,4.666666805744171,0.0,34.32,4
