Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,9.841104485219956,12.724873271273927,20.497471380547964,15.742832294993855,13.70391777694125,6.773888641985113,3.517959777646989,1.7160875850173862,7.712995685213937,9.466565513438729,1634.7879638671875,279.3374328613281,1021.3477783203125,1107.2960205078125,718.4244995117188,1615.3404541015625,531.87939453125,1403.1483154296875,1384.7064208984375,1529.6937255859375,1963.5523681640625,131.9315643310547,1311.2744140625,894.1461791992188,423.3561706542969,856.27099609375,510.1581726074219,1344.17431640625,1212.4888916015625,518.5491943359375,0.18431372940540314,0.18039216101169586,0.18039216101169586,0.1725490242242813,0.1725490242242813,0.18039216101169586,0.18431372940540314,0.16862745583057404,0.5137255191802979,0.5176470875740051,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.40000003576278687,0.4333333671092987,0.40000003576278687,38.400238037109375,-44.27958297729492,-6.606473445892334,38.400238037109375,-44.27958297729492,-6.606473445892334,38.400238037109375,-44.27958297729492,-6.606473445892334,34.567901611328125,-43.71986389160156,-6.061459064483643,34.567901611328125,-43.71986389160156,-6.061459064483643,34.567901611328125,-43.71986389160156,-6.061459064483643,35.17236328125,-42.61601638793945,-4.875513076782227,35.17236328125,-42.61601638793945,-4.875513076782227,35.045654296875,-44.22841262817383,-5.674128532409668,35.045654296875,-44.22841262817383,-5.674128532409668,3.113065647301627,16.61009999991495,1.0,0.008663447951012718,7.5,0.0,10.51,32
L-1:2,12.092478930304956,9.483805391563198,9.798459248393707,6.068207462072516,5.973719293261558,3.244503610436342,15.166308989599655,18.308252099954036,5.029090035750885,6.575016879954443,1791.24365234375,130.1391143798828,1277.781005859375,722.4819946289063,837.021484375,1665.2222900390625,666.4371337890625,1491.948974609375,31.282939910888672,65.92584228515625,0.0,0.0,911.0032958984375,791.3580322265625,1126.935791015625,2372.92626953125,3.7581396102905273,1463.7674560546875,1632.852294921875,868.3335571289063,0.5176470875740051,0.1882353127002716,0.1725490242242813,0.16862745583057404,0.1725490242242813,0.16078431904315948,0.5215686559677124,0.5215686559677124,0.5176470875740051,0.5176470875740051,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.5333333611488342,0.40000003576278687,0.5,0.5333333611488342,0.40000003576278687,0.40000003576278687,34.117645263671875,-42.819129943847656,-3.031245708465576,34.117645263671875,-42.819129943847656,-3.031245708465576,34.23797607421875,-42.52180480957031,-2.4594123363494873,34.23797607421875,-42.52180480957031,-2.4594123363494873,33.3118896484375,-41.99016571044922,-3.0084738731384277,35.110260009765625,-42.9456787109375,-2.8447070121765137,33.83636474609375,-42.270729064941406,-2.548187017440796,33.83636474609375,-42.270729064941406,-2.548187017440796,33.83636474609375,-42.270729064941406,-2.548187017440796,34.117645263671875,-42.819129943847656,-3.031245708465576,9.889344128228773,5.787374307644241,1.0,0.008573761567773544,6.5,0.0,9.0,76
L-1:3,10.478439915606623,2.812851432918968,7.135418288231024,12.040802643884177,7.331679783131509,22.280518678840757,32.65982486834275,22.258107636351756,14.182617009780056,4.050689597501576,1839.382568359375,287.6046447753906,669.2431640625,225.76470947265625,909.0745849609375,1501.983642578125,250.44610595703125,1331.0003662109375,2106.575439453125,636.0361938476563,2356.099609375,819.67138671875,1987.3988037109375,1124.6339111328125,1029.9803466796875,1303.4837646484375,422.94189453125,2870.12158203125,1951.248291015625,1917.5140380859375,0.5176470875740051,0.5176470875740051,0.5137255191802979,0.5137255191802979,0.5176470875740051,0.5215686559677124,0.5215686559677124,0.5215686559677124,0.5176470875740051,0.5176470875740051,0.4333333671092987,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.40000003576278687,0.40000003576278687,38.31396484375,-39.423587799072266,-1.3982981443405151,37.826080322265625,-39.38124465942383,-3.319087028503418,37.826080322265625,-39.38124465942383,-3.319087028503418,39.781158447265625,-38.35345458984375,-2.3175876140594482,39.781158447265625,-38.35345458984375,-2.3175876140594482,39.781158447265625,-38.35345458984375,-2.3175876140594482,37.03546142578125,-39.423583984375,-1.3982973098754883,37.03546142578125,-39.423583984375,-1.3982973098754883,37.03546142578125,-39.423583984375,-1.3982973098754883,38.31396484375,-39.423587799072266,-1.3982981443405151,12.046863471056906,26.39142257941284,1.0,0.007034313725490196,7.0,0.0,9.02,100
L-1:4,2.331164263631723,9.568394273549153,13.450739285456185,14.972357081735183,16.55086985811589,19.44360042819681,11.065577215751313,6.861950205485502,15.255389149115013,4.372392986851315,2381.696533203125,364.098876953125,2104.6962890625,1841.6595458984375,973.060546875,2101.445556640625,600.73291015625,2339.473388671875,1824.10986328125,1106.9210205078125,2636.899658203125,313.356689453125,1774.5615234375,1430.9913330078125,456.8427429199219,1442.6138916015625,105.89482116699219,2461.95458984375,2021.108642578125,1698.6639404296875,0.18431372940540314,0.1725490242242813,0.16078431904315948,0.19215688109397888,0.19215688109397888,0.16470588743686676,0.18431372940540314,0.18039216101169586,0.5137255191802979,0.5137255191802979,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.40000003576278687,0.4333333671092987,0.40000003576278687,34.3280029296875,-44.335811614990234,-2.9408063888549805,35.64459228515625,-43.454044342041016,-2.375795364379883,35.64459228515625,-43.454044342041016,-2.375795364379883,35.64459228515625,-43.454044342041016,-2.375795364379883,35.64459228515625,-43.454044342041016,-2.375795364379883,38.043365478515625,-41.90271759033203,-1.8108839988708496,38.043365478515625,-41.90271759033203,-1.8108839988708496,38.043365478515625,-41.90271759033203,-1.8108839988708496,34.3280029296875,-44.335811614990234,-2.9408063888549805,34.3280029296875,-44.335811614990234,-2.9408063888549805,19.322132817761442,5.205816103435522,1.0,0.006519799219185722,12.0,5.21,6.68,76
L-1:5,3.861365439950294,9.104017866618452,6.336816459309761,3.202744474918794,10.093541027076428,6.1304793711374375,5.514978303777801,4.599880622249314,9.927035720138313,8.193171250248371,2311.861083984375,122.2734603881836,2189.76171875,962.8849487304688,713.709228515625,1493.2835693359375,345.971435546875,1038.8419189453125,1527.7718505859375,1156.89794921875,1463.904541015625,3.8248863220214844,255.17550659179688,111.41815948486328,879.7857666015625,1809.307861328125,283.1615295410156,1440.637939453125,1271.1995849609375,859.8333129882813,0.18431372940540314,0.18039216101169586,0.16470588743686676,0.16078431904315948,0.16470588743686676,0.18039216101169586,0.18039216101169586,0.5215686559677124,0.5176470875740051,0.5137255191802979,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.40000003576278687,0.4333333671092987,0.5333333611488342,0.40000003576278687,0.40000003576278687,34.021881103515625,-43.170555114746094,-3.482947587966919,34.021881103515625,-43.170555114746094,-3.482947587966919,34.021881103515625,-43.170555114746094,-3.482947587966919,29.292327880859375,-44.07661056518555,-3.3526761531829834,29.292327880859375,-44.07661056518555,-3.3526761531829834,35.49273681640625,-43.00006866455078,-3.3035967350006104,35.49273681640625,-43.00006866455078,-3.3035967350006104,33.36651611328125,-43.06627655029297,-2.9232544898986816,33.36651611328125,-43.06627655029297,-2.9232544898986816,34.021881103515625,-43.170555114746094,-3.482947587966919,6.851188074000813,8.515217758137917,1.0,0.008077514273166447,7.0,0.0,10.51,100
L-1:6,5.11777684709564,3.2815474849282364,4.399865128154346,9.810445750323023,16.537998988457694,11.280943741690741,0.09649471685630198,4.320318176311466,11.999876799976002,11.28196422679201,1667.664794921875,250.33807373046875,1418.0107421875,1128.971435546875,725.87451171875,1559.433837890625,49.686607360839844,1455.88720703125,1643.925537109375,927.1888427734375,1974.2255859375,626.595947265625,1423.769775390625,1627.1644287109375,82.25354766845703,309.8155517578125,194.28701782226563,791.6937866210938,1421.69287109375,1373.5523681640625,0.5137255191802979,0.18431372940540314,0.18431372940540314,0.1725490242242813,0.1764705926179886,0.5137255191802979,0.5137255191802979,0.18431372940540314,0.5176470875740051,0.5137255191802979,0.5,0.5,0.5333333611488342,0.5,0.5333333611488342,0.5,0.5,0.5,0.5,0.5333333611488342,35.63995361328125,-42.409400939941406,-3.5236313343048096,35.63995361328125,-42.409400939941406,-3.5236313343048096,33.27191162109375,-43.35147476196289,-3.3466110229492188,33.27191162109375,-43.35147476196289,-3.3466110229492188,33.980682373046875,-42.46243667602539,-2.9363317489624023,33.980682373046875,-42.46243667602539,-2.9363317489624023,33.980682373046875,-42.46243667602539,-2.9363317489624023,33.173614501953125,-42.9478645324707,-3.075960636138916,35.63995361328125,-42.409400939941406,-3.5236313343048096,35.63995361328125,-42.409400939941406,-3.5236313343048096,8.058676008800512,9.108256291038426,1.0,0.009556277056277056,6.5,0.0,8.83,108
L-1:7,7.546619996300636,3.133753571986513,5.346277194809599,9.734706956024768,10.811778464197939,0.7951189243285499,5.303135445354622,4.688875135928889,8.682246196422104,4.8857513907673,2005.1395263671875,132.50294494628906,466.42547607421875,28.40446662902832,51.98350143432617,754.3602905273438,525.3296508789063,996.019287109375,787.9935913085938,1007.3447875976563,1676.69189453125,189.37648010253906,1578.093994140625,1418.46923828125,1039.9569091796875,2249.83984375,138.14309692382813,820.5126342773438,2590.555419921875,1287.1173095703125,0.1725490242242813,0.18039216101169586,0.1764705926179886,0.1764705926179886,0.18431372940540314,0.5137255191802979,0.5137255191802979,0.5137255191802979,0.5137255191802979,0.18039216101169586,0.3333333432674408,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.3333333432674408,34.2078857421875,-39.68031692504883,-1.5379232168197632,37.818145751953125,-39.621707916259766,-1.78916597366333,37.239288330078125,-39.94994354248047,-2.428016185760498,37.239288330078125,-39.94994354248047,-2.428016185760498,31.84967041015625,-39.53487014770508,-1.3768527507781982,31.84967041015625,-39.53487014770508,-1.3768527507781982,31.84967041015625,-39.53487014770508,-1.3768527507781982,35.67034912109375,-39.588409423828125,-1.4374232292175293,35.67034912109375,-39.588409423828125,-1.4374232292175293,35.67034912109375,-39.588409423828125,-1.4374232292175293,5.099575038248809,10.36959489429093,1.0,0.009069134458356016,3.0,0.0,9.52,32
L-1:8,17.517194787359063,18.94813311769929,21.216059947134408,15.332588469714064,9.987570633599756,8.878006700812286,9.252683771481827,8.562262215619961,4.610726169736162,22.331682027040404,2242.484619140625,93.98768615722656,1443.6346435546875,1339.68017578125,712.2034301757813,2108.0615234375,247.77542114257813,1811.42578125,1228.38623046875,1627.6707763671875,2665.370361328125,232.35116577148438,2017.1270751953125,1340.5811767578125,260.08111572265625,2449.41455078125,1071.61376953125,931.4382934570313,556.5497436523438,945.2855224609375,0.1725490242242813,0.16862745583057404,0.19607844948768616,0.1882353127002716,0.19607844948768616,0.1764705926179886,0.18431372940540314,0.1764705926179886,0.16862745583057404,0.1764705926179886,0.4333333671092987,0.4333333671092987,0.4333333671092987,0.36666667461395264,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.3333333432674408,0.36666667461395264,0.40000003576278687,34.344451904296875,-39.732574462890625,-1.9482027292251587,34.344451904296875,-39.732574462890625,-1.9482027292251587,37.61456298828125,-39.44524002075195,-1.3660485744476318,37.61456298828125,-39.44524002075195,-1.3660485744476318,37.61456298828125,-39.44524002075195,-1.3660485744476318,37.61456298828125,-39.44524002075195,-1.3660485744476318,38.04736328125,-39.13764572143555,-1.2517949342727661,38.04736328125,-39.13764572143555,-1.2517949342727661,38.04736328125,-39.13764572143555,-1.2517949342727661,34.344451904296875,-39.732574462890625,-1.9482027292251587,22.311752554590164,18.076364288784895,1.0,0.0061786469344608875,10.0,5.23,6.68,68
L-1:9,8.597726199083484,3.6573205942303466,21.548203997689345,4.770641909961552,10.987296042427085,11.872733054986444,1.6446105451226272,5.4316516270093365,3.463431852576561,12.854496668280822,2425.173583984375,259.3388671875,1024.2940673828125,536.2705078125,308.42767333984375,642.05419921875,832.0516967773438,1164.44091796875,1322.6807861328125,686.3532104492188,1340.2750244140625,240.56153869628906,1275.424560546875,459.61334228515625,685.951171875,2014.1298828125,431.8829345703125,734.3701171875,1605.5462646484375,1442.621337890625,0.16862745583057404,0.16470588743686676,0.18039216101169586,0.1764705926179886,0.18431372940540314,0.5137255191802979,0.5176470875740051,0.5137255191802979,0.18431372940540314,0.18039216101169586,0.4333333671092987,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.40000003576278687,0.4333333671092987,33.88739013671875,-41.42298889160156,-2.7493584156036377,33.88739013671875,-41.42298889160156,-2.7493584156036377,34.65850830078125,-41.89564895629883,-5.0519866943359375,33.4588623046875,-42.259857177734375,-4.599822521209717,33.4588623046875,-42.259857177734375,-4.599822521209717,29.327392578125,-42.59648513793945,-3.787660598754883,29.327392578125,-42.59648513793945,-3.787660598754883,35.01483154296875,-41.39338684082031,-2.8960678577423096,35.01483154296875,-41.39338684082031,-2.8960678577423096,35.01483154296875,-41.39338684082031,-2.8960678577423096,11.699912259557927,20.50306185632115,1.0,0.01085725677830941,3.0,0.0,11.67,100
L-1:10,7.871012916590625,6.255356821410439,2.342429097239481,9.061628047265327,6.3052511287645725,5.807285896918595,6.707969823758388,8.812854836912043,9.880547800692714,3.476607971943533,1646.8621826171875,62.72867965698242,1583.8731689453125,726.6064453125,245.33877563476563,1185.3350830078125,369.7633972167969,1341.966796875,1119.193603515625,1061.39404296875,1683.7784423828125,140.70831298828125,1411.3018798828125,1137.487060546875,178.13169860839844,1368.831298828125,330.3953552246094,1813.9837646484375,925.0376586914063,725.2494506835938,0.1882353127002716,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.5137255191802979,0.5137255191802979,0.18039216101169586,0.18431372940540314,0.5215686559677124,0.5137255191802979,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.4333333671092987,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.5,0.40000003576278687,36.062957763671875,-40.7401008605957,-4.2758259773254395,34.03350830078125,-41.74442672729492,-4.426826477050781,34.03350830078125,-41.74442672729492,-4.426826477050781,34.03350830078125,-41.74442672729492,-4.426826477050781,31.378387451171875,-41.382938385009766,-3.649315357208252,31.378387451171875,-41.382938385009766,-3.649315357208252,32.565673828125,-41.13703918457031,-3.167949676513672,32.565673828125,-41.13703918457031,-3.167949676513672,36.062957763671875,-40.7401008605957,-4.2758259773254395,36.062957763671875,-40.7401008605957,-4.2758259773254395,15.502141699912228,1.9186759861612512,1.0,0.0088170865279299,4.5,0.0,9.2,36
