Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,12.659396657628943,9.937946587678105,20.701920636605198,4.759455917016224,7.59607144307133,0.22057670162530993,11.664001334016225,2.178038000956718,16.67474722578493,19.109571655878533,2999.622802734375,671.400146484375,2738.69580078125,50.08034133911133,42.13753128051758,2347.476318359375,1987.3583984375,2454.668701171875,1578.2628173828125,983.1920776367188,957.7261962890625,1086.383544921875,2264.5830078125,2065.769775390625,58.411808013916016,3194.677490234375,1544.3575439453125,3194.228515625,2472.84033203125,1707.206298828125,0.22745099663734436,0.2039215862751007,0.21176472306251526,0.2352941334247589,0.22352942824363708,0.30588236451148987,0.29019609093666077,0.2666666805744171,0.250980406999588,0.2352941334247589,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.40000003576278687,0.40000003576278687,75.75234985351562,-28.373271942138672,-3.333580255508423,75.75234985351562,-28.373271942138672,-3.333580255508423,76.02590942382812,-27.41861343383789,-3.2055771350860596,76.02590942382812,-27.41861343383789,-3.2055771350860596,76.02590942382812,-27.41861343383789,-3.2055771350860596,75.4676513671875,-27.582714080810547,-2.5238871574401855,75.4676513671875,-27.582714080810547,-2.5238871574401855,75.75234985351562,-28.373271942138672,-3.333580255508423,75.75234985351562,-28.373271942138672,-3.333580255508423,75.75234985351562,-28.373271942138672,-3.333580255508423,12.592517913137309,17.499361517340553,1.0,0.005833333333333334,1.5,0.0,6.82,36
L-1:2,12.635043465684346,7.460377469499632,5.849474561576852,9.66918635592458,26.078835896293825,25.198686648557903,8.048151663117283,0.3839926958948962,11.529973520375895,18.560957722651057,3749.80029296875,720.5013427734375,2838.689453125,684.2388305664062,41.99845886230469,1260.0958251953125,1834.8089599609375,2522.241943359375,4366.14990234375,2150.645751953125,3826.86669921875,542.66943359375,2674.021240234375,1152.114013671875,773.6480712890625,2292.95751953125,1695.18115234375,3041.4560546875,3084.50244140625,2073.92822265625,0.26274511218070984,0.2549019753932953,0.24705883860588074,0.3019607961177826,0.3176470696926117,0.3333333432674408,0.32549020648002625,0.3019607961177826,0.27843138575553894,0.2705882489681244,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.40000003576278687,0.40000003576278687,73.07269287109375,-27.755516052246094,-2.4153637886047363,73.07269287109375,-27.755516052246094,-2.4153637886047363,74.02142333984375,-27.557750701904297,-2.3937392234802246,74.52020263671875,-27.32773208618164,-2.54996657371521,74.52020263671875,-27.32773208618164,-2.54996657371521,74.52020263671875,-27.32773208618164,-2.54996657371521,74.52020263671875,-27.32773208618164,-2.54996657371521,74.52020263671875,-27.32773208618164,-2.54996657371521,73.07269287109375,-27.755516052246094,-2.4153637886047363,73.07269287109375,-27.755516052246094,-2.4153637886047363,3.27947499795107,14.357198646320288,1.0,0.0052602639296187685,8.5,0.0,6.15,36
L-1:3,5.516638873340957,16.690631191427347,9.97634525652735,16.055448360414765,9.540245976105078,28.907018066690117,27.21187047992264,9.157017173982727,1.4242036814212125,4.854401548266401,2991.444091796875,627.789794921875,1346.912841796875,1330.3057861328125,2929.76611328125,2612.588134765625,978.2929077148438,2299.88525390625,3693.918701171875,720.4905395507812,4418.05810546875,559.7254638671875,3393.81201171875,1984.0537109375,1599.022705078125,2327.673583984375,1188.3870849609375,2719.28955078125,2854.48974609375,2427.48681640625,0.22745099663734436,0.19607844948768616,0.32156863808631897,0.32549020648002625,0.3294117748737335,0.32156863808631897,0.30588236451148987,0.29019609093666077,0.2666666805744171,0.250980406999588,0.3333333432674408,0.3333333432674408,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.3333333432674408,0.3333333432674408,0.3333333432674408,75.05398559570312,-25.939340591430664,-2.2817513942718506,75.05398559570312,-25.939340591430664,-2.2817513942718506,73.99383544921875,-27.087968826293945,-4.375704765319824,73.99383544921875,-27.087968826293945,-4.375704765319824,75.11260986328125,-25.619407653808594,-2.1850297451019287,75.11260986328125,-25.619407653808594,-2.1850297451019287,75.11260986328125,-25.619407653808594,-2.1850297451019287,75.11260986328125,-25.619407653808594,-2.1850297451019287,75.11260986328125,-25.619407653808594,-2.1850297451019287,75.05398559570312,-25.939340591430664,-2.2817513942718506,18.35710216378991,28.02061826830609,1.0,0.004942316566682049,4.5,0.0,6.12,108
L-1:4,20.12916278627635,17.495813002579673,20.411908489774504,11.675527941538792,4.182202031303904,0.8961189469039277,5.68310862385571,2.9700236306618244,20.35436469641161,23.899446797292367,1940.1419677734375,265.2684020996094,1508.2713623046875,1484.2899169921875,1119.524169921875,2871.65380859375,403.1795959472656,2661.8759765625,1901.5908203125,1088.791015625,1854.2301025390625,72.90888214111328,2245.336181640625,1757.8895263671875,485.734619140625,700.7127075195312,1705.8697509765625,3192.84521484375,2349.30908203125,1969.0948486328125,0.29019609093666077,0.27843138575553894,0.2705882489681244,0.27843138575553894,0.250980406999588,0.22745099663734436,0.19607844948768616,0.3294117748737335,0.30588236451148987,0.29019609093666077,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.3333333432674408,0.3333333432674408,0.40000003576278687,0.40000003576278687,0.40000003576278687,77.66122436523438,-28.889358520507812,-3.8662753105163574,77.66122436523438,-28.889358520507812,-3.8662753105163574,77.66122436523438,-28.889358520507812,-3.8662753105163574,78.39785766601562,-28.64760971069336,-3.1024551391601562,78.39785766601562,-28.64760971069336,-3.1024551391601562,78.39785766601562,-28.64760971069336,-3.1024551391601562,78.39785766601562,-28.64760971069336,-3.1024551391601562,77.177978515625,-27.95672035217285,-3.2989540100097656,77.66122436523438,-28.889358520507812,-3.8662753105163574,77.66122436523438,-28.889358520507812,-3.8662753105163574,6.179540277524123,16.902050827517197,1.0,0.0060414269275028765,10.0,4.81,6.0,36
L-1:5,18.504067882620497,6.423469054761828,9.1499496738226,8.140158483139569,22.6184424986169,17.46381847951494,9.659352691170909,16.62628933136013,11.15120806367809,21.60170135553158,2972.72802734375,438.2301025390625,3092.29296875,1193.2662353515625,1037.0572509765625,1657.1776123046875,1541.323486328125,1907.349609375,2655.654541015625,1621.4605712890625,2322.12353515625,562.2520141601562,1496.69921875,1251.4781494140625,283.0227355957031,2942.944091796875,248.39479064941406,268.0303649902344,1900.02734375,1671.010009765625,0.2862745225429535,0.2862745225429535,0.27450981736183167,0.2862745225429535,0.29019609093666077,0.2823529541492462,0.25882354378700256,0.2352941334247589,0.32549020648002625,0.3019607961177826,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,75.6207275390625,-29.094465255737305,-4.984576225280762,76.59896850585938,-28.23834991455078,-3.781771421432495,76.59896850585938,-28.23834991455078,-3.781771421432495,76.59896850585938,-28.23834991455078,-3.781771421432495,76.59896850585938,-28.23834991455078,-3.781771421432495,76.62490844726562,-28.003002166748047,-3.4462833404541016,76.62490844726562,-28.003002166748047,-3.4462833404541016,76.62490844726562,-28.003002166748047,-3.4462833404541016,75.6207275390625,-29.094465255737305,-4.984576225280762,75.6207275390625,-29.094465255737305,-4.984576225280762,13.862562759890963,2.1046212380537694,1.0,0.0068675889328063235,11.5,0.0,6.95,4
L-1:6,29.768216670141292,23.984199874536245,3.08224368813514,3.53457309561473,4.383882931673756,5.6024213956488715,0.8848056411438565,1.4632960876393928,6.091659276575445,20.526192119940504,2751.443359375,48.20420837402344,2420.601806640625,1355.502685546875,1296.5628662109375,1676.739501953125,321.3327941894531,1982.662841796875,2770.739013671875,1355.6046142578125,2659.835693359375,341.30364990234375,2323.02685546875,1397.7061767578125,675.6058959960938,2706.896728515625,1491.2030029296875,2037.83447265625,2049.935791015625,967.9800415039062,0.24705883860588074,0.22352942824363708,0.22352942824363708,0.30980393290519714,0.32156863808631897,0.3333333432674408,0.3176470696926117,0.29411765933036804,0.2705882489681244,0.26274511218070984,0.40000003576278687,0.3333333432674408,0.3333333432674408,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,77.02786254882812,-28.541566848754883,-4.241407871246338,77.02786254882812,-28.541566848754883,-4.241407871246338,77.07846069335938,-28.450475692749023,-3.8056344985961914,76.4127197265625,-28.992284774780273,-4.6069560050964355,76.4127197265625,-28.992284774780273,-4.6069560050964355,76.4127197265625,-28.992284774780273,-4.6069560050964355,76.4127197265625,-28.992284774780273,-4.6069560050964355,77.02786254882812,-28.541566848754883,-4.241407871246338,77.02786254882812,-28.541566848754883,-4.241407871246338,77.02786254882812,-28.541566848754883,-4.241407871246338,10.654432929026514,10.777518208689148,1.0,0.006508264462809918,7.0,0.0,6.75,68
L-1:7,2.388528432432187,9.246529320984026,4.760177354404,8.783432771595985,9.299979053562552,28.752683210400768,28.093772532651137,6.596582962493415,3.2443410280970797,1.0837453841394482,1476.2484130859375,107.67314147949219,2633.11572265625,1517.8392333984375,1555.41162109375,3463.791748046875,10.650127410888672,2242.511474609375,2294.30029296875,708.7913818359375,3657.07080078125,762.8954467773438,3165.677001953125,1355.023193359375,1567.2803955078125,1149.8785400390625,1369.953125,2579.01806640625,2716.0751953125,2522.978515625,0.3294117748737335,0.30588236451148987,0.3019607961177826,0.30980393290519714,0.3294117748737335,0.3137255012989044,0.2980392277240753,0.2823529541492462,0.250980406999588,0.2352941334247589,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,73.09201049804688,-27.98914337158203,-4.223167896270752,73.09201049804688,-27.98914337158203,-4.223167896270752,73.09201049804688,-27.98914337158203,-4.223167896270752,73.35946655273438,-25.85551643371582,-2.4172260761260986,73.35946655273438,-25.85551643371582,-2.4172260761260986,73.35946655273438,-25.85551643371582,-2.4172260761260986,73.35946655273438,-25.85551643371582,-2.4172260761260986,73.35946655273438,-25.85551643371582,-2.4172260761260986,71.87969970703125,-26.413450241088867,-2.9432523250579834,71.87969970703125,-26.413450241088867,-2.9432523250579834,20.71205477831087,21.1723410137792,1.0,0.005620059288537549,4.5,0.0,6.5,100
L-1:8,24.411602686565008,15.334853800687222,4.472097029755774,18.040014217352375,17.559331969060036,9.527582281772048,5.203785432656327,13.401138413294097,9.6906640332686,3.1441170074680587,3770.113525390625,498.2215270996094,2530.1103515625,281.9245910644531,192.6916961669922,2474.938232421875,1161.658447265625,3018.77490234375,2467.27734375,1989.0782470703125,2485.503173828125,780.2305297851562,2267.613525390625,2010.4283447265625,950.2429809570312,3300.5302734375,895.8323974609375,3545.589599609375,812.1707763671875,356.1637878417969,0.33725491166114807,0.32549020648002625,0.32156863808631897,0.3450980484485626,0.3607843220233917,0.3686274588108063,0.3686274588108063,0.3529411852359772,0.34117648005485535,0.3333333432674408,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,72.21963500976562,-26.675983428955078,-2.9537179470062256,72.21963500976562,-26.675983428955078,-2.9537179470062256,72.21963500976562,-26.675983428955078,-2.9537179470062256,73.31710815429688,-25.56229591369629,-1.507148265838623,73.31710815429688,-25.56229591369629,-1.507148265838623,73.31710815429688,-25.56229591369629,-1.507148265838623,73.31710815429688,-25.56229591369629,-1.507148265838623,72.726318359375,-25.708965301513672,-1.3271433115005493,72.726318359375,-25.708965301513672,-1.3271433115005493,72.726318359375,-25.708965301513672,-1.3271433115005493,8.449316746632395,10.416284004786515,1.0,0.005137164597517021,12.5,4.25,7.33,64
L-1:9,22.43459270189573,9.753526830733625,6.26886423704511,3.4145037669427865,11.551546532773388,8.19069811315574,4.137387336259893,7.132068292574094,25.671152045874695,31.019264353927028,2136.288330078125,574.439453125,2257.347412109375,622.8247680664062,302.17462158203125,2188.24462890625,382.87939453125,2054.81884765625,2194.4423828125,1602.0369873046875,2758.717529296875,77.9481430053711,2450.12060546875,1443.1724853515625,248.4612274169922,2374.650634765625,1702.517333984375,2730.645751953125,2160.08447265625,1836.5992431640625,0.30980393290519714,0.2862745225429535,0.26274511218070984,0.3333333432674408,0.364705890417099,0.3686274588108063,0.3686274588108063,0.3529411852359772,0.3333333432674408,0.3176470696926117,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.40000003576278687,0.40000003576278687,75.94082641601562,-26.31770133972168,-2.9122908115386963,75.94082641601562,-26.31770133972168,-2.9122908115386963,75.94082641601562,-26.31770133972168,-2.9122908115386963,73.64620971679688,-26.155256271362305,-3.4637937545776367,73.64620971679688,-26.155256271362305,-3.4637937545776367,74.5465087890625,-26.029733657836914,-2.9739890098571777,74.5465087890625,-26.029733657836914,-2.9739890098571777,74.5465087890625,-26.029733657836914,-2.9739890098571777,74.5465087890625,-26.029733657836914,-2.9739890098571777,74.5465087890625,-26.029733657836914,-2.9739890098571777,6.608504489404553,23.382037140681092,1.0,0.0067379679144385024,8.5,0.0,7.2,96
L-1:10,26.424605184240594,15.399132040130693,1.9377335036412908,2.885025728046973,8.0819078770672,8.367945663501592,3.532657854919458,5.715570676283064,6.96163721718995,10.96158061943903,3282.588134765625,190.20266723632812,2833.24560546875,536.4580078125,1061.3377685546875,1173.4691162109375,778.8323364257812,2925.3994140625,2795.224365234375,1934.0750732421875,3076.53564453125,57.967342376708984,3058.17724609375,1246.43505859375,1529.0135498046875,3198.210205078125,1053.4033203125,2815.70166015625,2709.28125,612.9111938476562,0.2549019753932953,0.2392157018184662,0.33725491166114807,0.3450980484485626,0.364705890417099,0.364705890417099,0.3490196168422699,0.32549020648002625,0.3019607961177826,0.27843138575553894,0.3333333432674408,0.3333333432674408,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.40000003576278687,0.40000003576278687,74.65814208984375,-24.896360397338867,-1.8027502298355103,74.36572265625,-24.86503028869629,-1.7635130882263184,74.80609130859375,-25.453733444213867,-3.0112524032592773,74.3828125,-25.4537353515625,-3.0112531185150146,74.3828125,-25.4537353515625,-3.0112531185150146,74.3828125,-25.4537353515625,-3.0112531185150146,74.3828125,-25.4537353515625,-3.0112531185150146,74.65814208984375,-24.896360397338867,-1.8027502298355103,74.65814208984375,-24.896360397338867,-1.8027502298355103,74.65814208984375,-24.896360397338867,-1.8027502298355103,10.043102416340073,8.55987115568713,1.0,0.006293791574279378,3.0,0.0,8.11,44
