Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.579989898935632,10.299088209912911,7.988181799068157,8.570195557047848,15.416908389050755,2.5872530122699082,6.631229220697835,7.889444736323056,7.591076995395025,5.564077691613928,4120.943359375,912.1002197265625,857.0628662109375,1135.8272705078125,2330.293212890625,6866.31591796875,821.2958984375,5876.7880859375,3554.932861328125,1198.0631103515625,2582.26416015625,224.6406707763672,4727.5849609375,2840.76904296875,1398.5565185546875,2491.421142578125,1645.3519287109375,3635.627197265625,545.2953491210938,285.3662109375,0.7125000357627869,0.737500011920929,0.6625000238418579,0.675000011920929,0.699999988079071,0.75,0.75,0.862500011920929,0.762499988079071,0.824999988079071,0.13235294818878174,0.13235294818878174,0.11764705926179886,0.11764705926179886,0.11764705926179886,0.13235294818878174,0.14705882966518402,0.14705882966518402,0.13235294818878174,0.13235294818878174,107.26428985595703,-77.93573760986328,-8.504474639892578,107.63570404052734,-77.3572006225586,-8.481051445007324,106.64625549316406,-78.0105972290039,-8.403746604919434,106.64625549316406,-78.0105972290039,-8.403746604919434,105.73475646972656,-78.71324920654297,-8.421248435974121,103.87226104736328,-80.79345703125,-7.935512065887451,103.23110961914062,-82.19071197509766,-7.712161540985107,104.60848236083984,-81.41192626953125,-7.13828182220459,106.33048248291016,-79.740966796875,-6.988739013671875,106.45561981201172,-78.95703887939453,-8.07986831665039,13.791450200694035,15.339291513555489,1.0,0.004810606060606061,4.5714287757873535,0.0,10.16,64
L-1:2,13.932783868828643,8.735741078013797,6.078367521143621,6.581202151502706,11.527065505063788,8.741176699777235,11.083694513115626,3.060614173863723,9.45548400721009,4.460582673484124,2043.507568359375,498.18768310546875,3128.464599609375,1585.95849609375,219.1741180419922,1152.7926025390625,407.0009460449219,1347.4542236328125,1762.1661376953125,1112.7149658203125,3014.072509765625,114.3196792602539,2837.362548828125,2490.09716796875,1948.00341796875,2852.654541015625,682.528076171875,2487.284423828125,3544.460205078125,1266.8516845703125,0.7750000357627869,0.75,0.737500011920929,0.8125,0.862500011920929,0.7750000357627869,0.9000000357627869,0.9000000357627869,0.862500011920929,0.7250000238418579,0.13235294818878174,0.11764705926179886,0.11764705926179886,0.11764705926179886,0.14705882966518402,0.14705882966518402,0.13235294818878174,0.14705882966518402,0.13235294818878174,0.13235294818878174,105.46871948242188,-78.0672378540039,-6.464197158813477,105.80972290039062,-78.06185913085938,-6.59262752532959,105.80972290039062,-78.06185913085938,-6.59262752532959,109.82595825195312,-74.70237731933594,-5.475766658782959,106.5360107421875,-78.10542297363281,-5.850636005401611,105.72296905517578,-78.10259246826172,-6.055703639984131,105.72296905517578,-78.10259246826172,-6.055703639984131,104.8257064819336,-78.51799011230469,-6.302263259887695,104.10565185546875,-78.99320220947266,-5.934340000152588,104.69495391845703,-78.59648132324219,-6.1254496574401855,11.02501842518513,9.980738334833283,-1.0,0.0062200126262626255,7.714286059141159,0.0,11.26,100
L-1:3,10.004081247223889,6.404200503932064,16.228458799939098,6.270828973370728,11.31034732401694,4.89064100966402,6.577742886882159,4.152023787734352,5.968808478108973,5.736473506186406,3429.10546875,595.5125122070312,2141.746826171875,2481.81298828125,1256.2608642578125,3744.058837890625,111.59910583496094,1186.183349609375,2577.870361328125,1503.862548828125,2410.687744140625,680.9290771484375,3267.2333984375,3445.416259765625,272.12677001953125,2371.5185546875,1204.90234375,1893.37158203125,2333.730224609375,1327.726806640625,0.699999988079071,0.762499988079071,0.7125000357627869,0.7875000238418579,0.800000011920929,0.824999988079071,0.7875000238418579,0.9125000238418579,0.875,0.800000011920929,0.11764705926179886,0.13235294818878174,0.11764705926179886,0.13235294818878174,0.11764705926179886,0.14705882966518402,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.13235294818878174,106.28755950927734,-78.04739379882812,-5.478109836578369,111.81568145751953,-72.15369415283203,-6.536959648132324,110.88448333740234,-72.4084701538086,-6.53545618057251,110.86198425292969,-71.78426361083984,-6.858574390411377,109.30084228515625,-73.85729217529297,-6.672311782836914,108.85060119628906,-74.81665802001953,-6.489127159118652,108.50118255615234,-75.55862426757812,-6.304276466369629,107.42745208740234,-76.77440643310547,-6.0290045738220215,107.31182098388672,-76.98701477050781,-5.671021938323975,107.2413330078125,-77.17615509033203,-5.709383487701416,4.32364189340229,2.7574025660990964,-1.0,0.005881984987489574,7.14285746216774,0.0,12.09,68
L-1:4,1.6659863301454751,2.4732359804421784,6.534159538702962,1.7909994055330039,10.660975738445257,6.027149729357145,8.431345721732598,16.74053217691811,12.245650515299179,4.751340949365485,1434.8048095703125,212.72032165527344,2122.0283203125,1844.2724609375,527.6842041015625,2645.73193359375,309.4263916015625,1330.6053466796875,1846.1766357421875,1956.8985595703125,4046.510498046875,1459.440673828125,2482.402099609375,2419.0302734375,687.0443115234375,4218.7412109375,666.9710693359375,3759.893310546875,999.3850708007812,1345.8486328125,0.7750000357627869,0.7750000357627869,0.7875000238418579,0.800000011920929,0.824999988079071,0.8500000238418579,0.9000000357627869,0.7875000238418579,0.8375000357627869,0.7875000238418579,0.11764705926179886,0.11764705926179886,0.11764705926179886,0.11764705926179886,0.11764705926179886,0.14705882966518402,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.13235294818878174,110.15025329589844,-75.43035125732422,-5.315186023712158,110.255859375,-75.04615783691406,-5.775369644165039,108.92034912109375,-75.18891906738281,-6.130999565124512,107.51053619384766,-75.85009002685547,-6.69590425491333,105.78311920166016,-77.84370422363281,-6.477786540985107,105.24395751953125,-78.69932556152344,-6.6274094581604,104.55580139160156,-79.22906494140625,-6.589269161224365,104.6304931640625,-78.89264678955078,-6.4946675300598145,104.6304931640625,-78.89264678955078,-6.4946675300598145,104.81941986083984,-78.9375228881836,-6.497255802154541,4.247448403395305,14.308823475494107,-1.0,0.004550555429607799,3.1428572833538055,3.5,11.47,68
L-1:5,9.432899861237281,7.720244812241778,11.861760389023729,21.198584243216224,2.7656015620439947,2.424366215302916,16.67305853979099,25.104710361974686,11.623235617316515,3.917153250636029,6163.14599609375,332.3446350097656,2661.34521484375,1366.2093505859375,2440.021728515625,5812.64306640625,231.37734985351562,3292.584716796875,6236.61572265625,2516.40625,0.0,0.0,1477.8819580078125,1516.84716796875,2077.89306640625,4157.2353515625,1130.126708984375,5417.8935546875,293.50262451171875,370.04290771484375,0.737500011920929,0.7125000357627869,0.699999988079071,0.6625000238418579,0.6875,0.762499988079071,0.9125000238418579,0.9125000238418579,0.800000011920929,0.9000000357627869,0.14705882966518402,0.13235294818878174,0.11764705926179886,0.11764705926179886,0.13235294818878174,0.13235294818878174,0.14705882966518402,0.14705882966518402,0.14705882966518402,0.14705882966518402,109.37362670898438,-75.24916076660156,-7.447099208831787,111.07154846191406,-74.1048812866211,-7.069312572479248,111.18924713134766,-73.27884674072266,-7.360992431640625,111.30712890625,-73.04279327392578,-7.049318790435791,109.17266082763672,-74.97142028808594,-7.096613883972168,110.03618621826172,-74.40362548828125,-6.937655448913574,109.32392883300781,-75.2430191040039,-7.6441850662231445,109.32392883300781,-75.2430191040039,-7.6441850662231445,109.15706634521484,-75.61865234375,-7.191969394683838,109.91992950439453,-75.01634216308594,-7.357749938964844,4.090806200952238,16.273737293210143,1.0,0.003628099173553719,2.857142984867096,0.0,8.78,64
L-1:6,7.4285717606544495,6.983320877639569,22.175155517010054,16.403436077461315,2.303727742601283,3.48758747468836,9.489483097548126,2.616951585697848,3.1199835119166672,5.292053119409672,1962.6533203125,200.48779296875,4109.255859375,1373.0455322265625,610.3590698242188,2617.15283203125,1319.777099609375,1632.267578125,1903.1400146484375,1064.08740234375,2941.8544921875,190.24061584472656,3328.31298828125,2331.60546875,781.9412231445312,2101.747314453125,1908.6497802734375,4020.372802734375,2113.220947265625,1521.60009765625,0.699999988079071,0.675000011920929,0.737500011920929,0.762499988079071,0.8375000357627869,0.8375000357627869,0.887499988079071,0.9125000238418579,0.8500000238418579,0.7875000238418579,0.11764705926179886,0.11764705926179886,0.13235294818878174,0.14705882966518402,0.11764705926179886,0.14705882966518402,0.14705882966518402,0.1764705926179886,0.13235294818878174,0.13235294818878174,106.8479995727539,-76.30408477783203,-6.988236427307129,108.79668426513672,-74.81813049316406,-7.3631510734558105,108.55892944335938,-74.80052947998047,-7.875925064086914,107.99658966064453,-74.78851318359375,-7.949432849884033,107.96949768066406,-75.06533813476562,-7.798417568206787,107.73734283447266,-75.28648376464844,-7.568403244018555,107.39246368408203,-75.6194839477539,-7.716568946838379,107.01758575439453,-75.68978118896484,-7.537956237792969,107.36119079589844,-75.21800994873047,-7.292924880981445,107.66799926757812,-75.39968872070312,-7.040771007537842,9.752027959307323,14.771668801714567,-1.0,0.004368550368550369,2.000000089406967,0.0,10.16,100
L-1:7,19.481022509419,12.181345874136053,14.908758039711822,22.88921918899923,6.559955286571236,4.607004633548318,2.585266388581461,6.460288620053686,2.438242695179141,5.597765861578503,2536.138916015625,157.994384765625,3350.768310546875,3557.416015625,1262.8551025390625,1920.328125,2392.399169921875,2362.49169921875,2884.07421875,1434.20849609375,2778.109130859375,66.89684295654297,3423.147216796875,2775.67626953125,1742.128173828125,4497.1982421875,824.7052001953125,1325.5118408203125,1706.5364990234375,3168.859130859375,0.7750000357627869,0.75,0.75,0.7875000238418579,0.8125,0.875,0.9125000238418579,0.9000000357627869,0.8500000238418579,0.7750000357627869,0.13235294818878174,0.11764705926179886,0.11764705926179886,0.11764705926179886,0.14705882966518402,0.14705882966518402,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.13235294818878174,106.00865173339844,-76.47970581054688,-7.1263651847839355,106.26033782958984,-76.03057098388672,-7.949012756347656,106.26033782958984,-76.03057098388672,-7.949012756347656,105.51373291015625,-76.6590347290039,-7.639695167541504,105.51373291015625,-76.6590347290039,-7.639695167541504,105.95769500732422,-76.56967163085938,-7.30366325378418,105.83595275878906,-76.92131805419922,-7.409982204437256,105.03778076171875,-77.4797134399414,-8.586084365844727,105.07225799560547,-77.58709716796875,-7.98607873916626,106.30489349365234,-76.23500061035156,-6.728921890258789,5.368084305130896,4.433793303855351,-1.0,0.0042483494159471814,4.5714287757873535,0.0,9.56,32
L-1:8,18.995166721829698,28.551833071713514,19.02730515389865,12.988556399178117,18.89684028144349,19.244931282085616,17.09018940307007,26.213562562161414,21.90138373404892,13.2691471999231,2508.64111328125,171.25225830078125,5264.72314453125,4692.18994140625,2988.0732421875,3264.1904296875,1142.6173095703125,2796.78857421875,2355.08447265625,2257.932861328125,4665.01953125,130.1917724609375,2019.1148681640625,1317.0771484375,914.0512084960938,4971.28759765625,1136.1365966796875,3851.716796875,1742.6318359375,1438.6895751953125,0.762499988079071,0.6875,0.675000011920929,0.75,0.7750000357627869,0.737500011920929,0.862500011920929,0.762499988079071,0.762499988079071,0.800000011920929,0.13235294818878174,0.13235294818878174,0.11764705926179886,0.11764705926179886,0.11764705926179886,0.11764705926179886,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.13235294818878174,118.23960876464844,-69.82023620605469,-2.284411907196045,119.24031829833984,-68.31771850585938,-2.1660869121551514,119.24031829833984,-68.31771850585938,-2.1660869121551514,119.6638412475586,-67.73336791992188,-2.130463123321533,118.60581970214844,-68.67941284179688,-1.8524274826049805,117.32805633544922,-70.06710815429688,-1.497680902481079,116.5696029663086,-70.65225219726562,-1.5403470993041992,118.82331848144531,-66.60615539550781,-1.7639786005020142,118.82331848144531,-66.60615539550781,-1.7639786005020142,117.85099029541016,-70.39319610595703,-2.41873836517334,12.93626506134954,6.006101128794843,1.0,0.004223314223314223,18.857143700122833,4.57,8.84,64
L-1:9,10.384447233013086,4.951927700473087,17.410856798962246,4.037757797569296,6.958442909209273,10.478355223214527,17.36207412367947,11.967312191407467,1.100733005326046,17.76837770191338,5447.56396484375,2348.5302734375,2652.49267578125,3242.6533203125,836.4912719726562,5199.87646484375,137.92825317382812,2404.759765625,0.0,0.0,3232.597900390625,204.86944580078125,2550.728759765625,2299.1552734375,2156.650146484375,4314.4853515625,971.6907958984375,4433.427734375,1722.5023193359375,1772.3148193359375,0.7125000357627869,0.800000011920929,0.699999988079071,0.800000011920929,0.6000000238418579,0.762499988079071,0.887499988079071,0.7750000357627869,0.862500011920929,0.8125,0.13235294818878174,0.11764705926179886,0.13235294818878174,0.11764705926179886,0.10294117778539658,0.14705882966518402,0.1764705926179886,0.14705882966518402,0.13235294818878174,0.13235294818878174,109.02049255371094,-77.05083465576172,-0.685854434967041,109.55718994140625,-77.03205871582031,-0.5423746109008789,109.55718994140625,-77.03205871582031,-0.5423746109008789,109.39380645751953,-76.84346771240234,-1.046724796295166,114.49657440185547,-71.37281036376953,-3.241678476333618,110.8119888305664,-73.88448333740234,-3.1132054328918457,110.86691284179688,-74.2725601196289,-3.058701515197754,110.86691284179688,-74.2725601196289,-3.058701515197754,110.50003051757812,-75.45589447021484,-2.034088611602783,109.92076873779297,-76.33184814453125,-1.3166807889938354,21.352245973415027,6.229496689991833,-1.0,0.003903813864236028,0.5714285969734192,0.0,9.3,100
L-1:10,10.860902090519115,13.282380185925975,4.253516611525878,13.658127543276303,7.687108341428623,3.19438296779974,15.110028819123741,3.9944797321659147,6.89217387800456,3.2290594609254013,3591.24853515625,1039.3018798828125,1765.0980224609375,1094.0252685546875,867.4984130859375,1921.1873779296875,491.1822509765625,2532.729248046875,1302.718505859375,557.981201171875,3420.55810546875,339.6970520019531,1651.5411376953125,1199.737060546875,645.45947265625,4825.9736328125,1201.477294921875,3086.7109375,1691.4677734375,814.7157592773438,0.75,0.75,0.75,0.7875000238418579,0.8125,0.824999988079071,0.875,0.8375000357627869,0.7250000238418579,0.762499988079071,0.11764705926179886,0.11764705926179886,0.13235294818878174,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.14705882966518402,0.13235294818878174,0.13235294818878174,0.13235294818878174,111.16192626953125,-76.56645965576172,-0.5139291286468506,111.56043243408203,-76.23443603515625,-0.7609395384788513,111.3518295288086,-76.41455078125,-0.822990894317627,112.53376770019531,-73.91968536376953,-1.1175905466079712,112.53782653808594,-73.88426971435547,-0.9281266331672668,112.60853576660156,-73.25584411621094,-1.3880693912506104,111.90418243408203,-74.94705963134766,-0.9386311173439026,110.57634735107422,-76.3115234375,-0.9591877460479736,111.02735900878906,-76.6065444946289,-0.6304511427879333,110.87714385986328,-76.74679565429688,-0.5349891185760498,7.0276425291594276,20.767968410789376,-1.0,0.005885356731875719,5.714285969734192,0.0,11.69,4
