Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,15.879109277664812,10.200904588233346,3.205520491026661,3.1392452390817067,2.8149935154402823,8.352881033444937,8.632442996636023,14.923297751483029,13.967410287251457,4.021407914015579,1448.7305908203125,164.055419921875,1129.201171875,493.787353515625,233.62344360351563,833.3749389648438,397.222412109375,956.7039794921875,995.1564331054688,421.7880554199219,843.82177734375,26.322555541992188,732.8453979492188,672.538330078125,90.8304672241211,820.635498046875,145.06663513183594,538.1746215820313,316.4249572753906,126.5472183227539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.620452880859375,-30.384166717529297,5.067767143249512,62.620452880859375,-30.384166717529297,5.067767143249512,62.31402587890625,-30.466447830200195,4.772721290588379,62.31402587890625,-30.466447830200195,4.772721290588379,62.1741943359375,-30.13900375366211,5.142228603363037,62.1741943359375,-30.13900375366211,5.142228603363037,62.434906005859375,-29.924352645874023,5.474630355834961,62.40283203125,-29.923152923583984,5.162716865539551,62.66168212890625,-30.192773818969727,4.729781150817871,62.5545654296875,-30.362356185913086,5.144464015960693,2.8998723003644433,1.726868905961384,-1.0,0.014375291375291376,5.0,0.0,17.62,100
L-1:2,5.490496899660825,4.141964289154786,8.318243327110599,10.754707650910992,5.000685641538136,5.372362214291973,3.633901810993599,2.7024284573177546,2.7269376672285595,3.0716712908105506,554.5338134765625,78.68363952636719,1130.494873046875,523.224853515625,749.240966796875,1206.1783447265625,578.7865600585938,924.0591430664063,762.7301635742188,491.7012939453125,1839.4337158203125,421.26971435546875,1520.7694091796875,1027.662353515625,234.7312469482422,859.9306030273438,280.1437683105469,1146.7459716796875,772.7818603515625,675.7911987304688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.356689453125,-30.626415252685547,3.57615065574646,62.53485107421875,-30.65289878845215,4.624700546264648,62.55859375,-30.767723083496094,4.080714225769043,61.4271240234375,-30.1513729095459,4.599826335906982,61.4271240234375,-30.1513729095459,4.599826335906982,61.84197998046875,-30.03656005859375,4.9462666511535645,61.84197998046875,-30.03656005859375,4.9462666511535645,62.6529541015625,-30.229419708251953,4.430788993835449,62.6529541015625,-30.229419708251953,4.430788993835449,62.81988525390625,-30.440845489501953,3.7469382286071777,10.025918662634703,9.357663054587746,-1.0,0.014880239520958082,1.0,0.0,15.62,4
L-1:3,1.2165369246755275,7.360254971338664,8.505835752040635,20.508129735673418,24.55618893157841,7.611426294945189,6.478966469716791,6.347146940803826,6.5047386346158715,3.9253988947450864,930.92529296875,189.0804901123047,489.5661315917969,282.42578125,626.3806762695313,582.3773193359375,362.55706787109375,2076.75732421875,897.7709350585938,278.96240234375,1939.377685546875,342.33599853515625,976.0415649414063,605.0122680664063,672.2662353515625,1773.2176513671875,540.915771484375,1341.23876953125,913.112060546875,554.9644775390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.59295654296875,-30.29244613647461,3.7286975383758545,62.22149658203125,-30.317197799682617,3.821662664413452,62.433074951171875,-29.921470642089844,4.837988376617432,61.887420654296875,-30.076080322265625,4.101534843444824,62.615386962890625,-30.516098022460938,4.041049480438232,62.615386962890625,-30.516098022460938,4.041049480438232,63.211822509765625,-30.49393653869629,4.216648101806641,63.211822509765625,-30.49393653869629,4.216648101806641,62.929962158203125,-30.0068302154541,4.2664361000061035,62.929962158203125,-30.0068302154541,4.2664361000061035,5.084046370047329,7.954926223609706,-1.0,0.011539489921842864,4.5,0.0,16.03,68
L-1:4,2.824384298862523,2.9990448319938148,17.15272784648929,7.373535841902797,4.171195513890559,11.902912898895515,10.103461352655735,16.316796259187786,19.39042331335875,9.710251291093671,1599.763671875,769.1851196289063,3927.326904296875,1980.1309814453125,318.71148681640625,937.5984497070313,498.17376708984375,1086.9569091796875,1185.2435302734375,836.084228515625,1873.552734375,370.2080383300781,1520.0562744140625,2009.4473876953125,183.92384338378906,2019.383544921875,1116.3651123046875,2288.775634765625,1811.9354248046875,2534.924072265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.87066650390625,-28.379776000976563,6.127152442932129,63.20111083984375,-29.521331787109375,4.013147830963135,63.20111083984375,-29.521331787109375,4.013147830963135,63.13360595703125,-29.515111923217773,4.9880547523498535,63.13360595703125,-29.515111923217773,4.9880547523498535,63.64361572265625,-29.402536392211914,5.472280502319336,63.64361572265625,-29.402536392211914,5.472280502319336,63.64361572265625,-29.402536392211914,5.472280502319336,63.87066650390625,-28.379776000976563,6.127152442932129,63.87066650390625,-28.379776000976563,6.127152442932129,14.069497466773596,21.57867351338507,-1.0,0.007761473962930274,13.0,-6.5,10.05,68
L-1:5,9.224087002228131,15.679287736961921,20.01944542834376,9.622422383207482,6.803957762340559,11.352644095078526,6.847757908654278,2.5749624036472234,7.132088842557611,7.143544075225549,2292.03662109375,237.53872680664063,1409.791748046875,1662.926513671875,457.14453125,2063.66943359375,11.506446838378906,2473.069580078125,1597.745361328125,767.9498901367188,2718.9638671875,550.53125,1668.4669189453125,2011.489501953125,318.81756591796875,200.70481872558594,226.82582092285156,1973.03857421875,1360.8974609375,1195.3681640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.83578491210938,-29.20762062072754,4.743688583374023,64.83578491210938,-29.20762062072754,4.743688583374023,64.52508544921875,-28.988677978515625,4.8121185302734375,64.52508544921875,-28.988677978515625,4.8121185302734375,64.52508544921875,-28.988677978515625,4.8121185302734375,64.52508544921875,-28.988677978515625,4.8121185302734375,65.04238891601563,-28.93073272705078,5.48809289932251,65.04238891601563,-28.93073272705078,5.48809289932251,64.92730712890625,-29.22248077392578,4.955994129180908,64.83578491210938,-29.20762062072754,4.743688583374023,14.345259086076393,11.746209222576269,-1.0,0.0074920718816067645,2.0,0.0,8.1,36
L-1:6,2.501038764165583,1.7066998601197456,4.648813497968848,2.3833155328785804,1.1220192770295332,19.949807722198805,10.28115777186324,11.794094850206342,5.696266940834405,3.913331220186737,1697.412109375,244.56719970703125,2409.68505859375,1069.2008056640625,271.14556884765625,1590.0108642578125,447.1097717285156,1553.6549072265625,209.8425750732422,9.857534408569336,2342.1982421875,169.01914978027344,2894.040771484375,878.3884887695313,254.31118774414063,948.953369140625,456.6890869140625,1182.5379638671875,1843.5626220703125,1163.59716796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.3470458984375,-29.965167999267578,2.6918959617614746,64.3470458984375,-29.965167999267578,2.6918959617614746,63.3115234375,-29.86945915222168,2.6359775066375732,63.3115234375,-29.86945915222168,2.6359775066375732,62.741607666015625,-29.060718536376953,3.862001895904541,63.35186767578125,-29.92803382873535,3.223297595977783,63.35186767578125,-29.92803382873535,3.223297595977783,64.7193603515625,-29.924827575683594,3.369354724884033,64.7193603515625,-29.924827575683594,3.369354724884033,64.3470458984375,-29.965167999267578,2.6918959617614746,11.888864850927977,0.8298665133529969,-1.0,0.008406862745098038,0.5,0.0,10.78,100
L-1:7,3.705255758576286,7.481198637079163,6.234093971352294,1.7349945622271912,3.168088448465067,6.803617377943102,8.372741325106754,5.041918006313646,13.090047339417268,4.217213531196275,1676.9752197265625,137.35687255859375,1373.2952880859375,1039.8714599609375,395.2186584472656,1948.7596435546875,728.182861328125,2143.88134765625,1144.4952392578125,875.2289428710938,1537.884521484375,217.31466674804688,1528.91650390625,1152.7662353515625,314.83404541015625,539.921142578125,498.18853759765625,875.7938842773438,1840.5179443359375,1211.176513671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.07659912109375,-29.625905990600586,3.418720006942749,63.67742919921875,-29.67147445678711,3.155158519744873,63.67742919921875,-29.67147445678711,3.155158519744873,63.67742919921875,-29.67147445678711,3.155158519744873,63.984619140625,-29.650096893310547,3.0949907302856445,63.984619140625,-29.650096893310547,3.0949907302856445,64.49221801757813,-29.71103858947754,3.753425359725952,64.49221801757813,-29.71103858947754,3.753425359725952,64.42791748046875,-29.869626998901367,3.063138246536255,64.07659912109375,-29.625905990600586,3.418720006942749,3.218741559575195,4.816042089931403,-1.0,0.009895454545454546,0.5,0.0,12.44,100
L-1:8,6.445753763367055,27.808204169443748,44.75969541390965,27.855057601019187,7.023486517153277,18.79689633281477,6.489155861437526,11.236686620919134,9.827405178671118,6.930183992291179,3630.0859375,120.3826904296875,2721.46142578125,3339.595458984375,1074.13623046875,4097.53564453125,195.2401885986328,2897.28662109375,1912.73486328125,1106.749755859375,3800.302490234375,60.48406219482422,1116.2808837890625,684.3591918945313,383.45355224609375,2761.31640625,535.2327880859375,2737.919677734375,2189.830810546875,1888.197998046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.26239013671875,-28.725351333618164,4.741552829742432,64.93057250976563,-29.552906036376953,3.5187273025512695,64.93057250976563,-29.552906036376953,3.5187273025512695,64.93057250976563,-29.552906036376953,3.5187273025512695,64.93057250976563,-29.552906036376953,3.5187273025512695,64.93057250976563,-29.552906036376953,3.5187273025512695,65.61016845703125,-29.21074104309082,5.02545690536499,65.26239013671875,-28.725351333618164,4.741552829742432,65.26239013671875,-28.725351333618164,4.741552829742432,65.26239013671875,-28.725351333618164,4.741552829742432,17.658836696418124,17.52364391437737,-1.0,0.004408887077048512,14.5,-5.98,6.18,100
L-1:9,5.716695361238805,8.372282073099626,8.950921484774685,6.996266731962583,3.8220976471470043,3.299847564816646,21.090630316430794,34.20618032823487,36.064972569800894,18.816317207554835,772.986083984375,18.607742309570313,1252.6048583984375,1102.43701171875,52.08926773071289,816.2025146484375,828.5223388671875,1658.5999755859375,828.4971313476563,735.0842895507813,970.6234741210938,270.036865234375,1369.739990234375,1378.08349609375,135.51199340820313,861.8635864257813,312.529052734375,898.614990234375,578.7683715820313,1022.0620727539063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.37271118164063,-29.345319747924805,3.830177068710327,64.37271118164063,-29.345319747924805,3.830177068710327,63.6651611328125,-29.194686889648438,4.042629241943359,63.6651611328125,-29.194686889648438,4.042629241943359,63.4771728515625,-28.345046997070313,5.318897247314453,63.4771728515625,-28.345046997070313,5.318897247314453,63.99615478515625,-28.816436767578125,4.6005964279174805,64.5216064453125,-29.014522552490234,4.576498508453369,64.5216064453125,-29.014522552490234,4.576498508453369,64.5216064453125,-29.014522552490234,4.576498508453369,8.981539245623715,15.825774886234518,-1.0,0.010278987479586282,6.0,0.0,10.79,100
L-1:10,14.34570478760026,8.344350188026931,9.22116882513148,12.251255137222474,4.326735183261011,7.380764682595907,6.086078678280321,9.911121388939513,5.006062797440814,8.08841819203904,1384.888427734375,202.0081024169922,2727.85205078125,911.0513916015625,1311.79541015625,1966.4111328125,794.5921630859375,1251.38232421875,1646.6014404296875,1206.16845703125,2458.971923828125,220.71066284179688,967.4138793945313,1238.8616943359375,454.2175598144531,2034.324951171875,202.32814025878906,1204.3858642578125,2058.26171875,1265.6143798828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.31930541992188,-29.417909622192383,3.5555553436279297,64.31930541992188,-29.417909622192383,3.5555553436279297,64.31930541992188,-29.417909622192383,3.5555553436279297,63.498077392578125,-28.655311584472656,4.086680889129639,63.498077392578125,-28.655311584472656,4.086680889129639,63.498077392578125,-28.655311584472656,4.086680889129639,64.46206665039063,-28.17988395690918,5.302374839782715,64.774658203125,-29.44544792175293,4.381842613220215,64.6334228515625,-28.7575740814209,4.657834529876709,64.6334228515625,-28.7575740814209,4.657834529876709,2.9667600694823313,8.248581384782872,-1.0,0.007616381203337725,1.0,0.0,9.91,0
