Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.8600282869998889,1.7756096269269328,3.0944132746635113,7.314063105645674,11.75395505517275,2.8115216913799856,7.966372681700669,5.271000614719768,1.8255142740227182,3.768241747302073,536.4058837890625,4.836585998535156,542.0423583984375,281.72393798828125,175.95758056640625,545.9340209960938,290.8682556152344,434.7187194824219,432.2981872558594,403.4584045410156,823.5552978515625,172.33177185058594,849.49755859375,549.284423828125,30.663244247436523,724.5672607421875,296.12518310546875,654.79541015625,554.0504760742188,517.8956909179688,0.14901961386203766,0.16078431904315948,0.13333334028720856,0.1411764770746231,0.16078431904315948,0.16078431904315948,0.16862745583057404,0.16470588743686676,0.1764705926179886,0.16470588743686676,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,329.3999938964844,-51.0,-7.200000286102295,330.0,-50.400001525878906,-6.800000190734863,330.3999938964844,-50.400001525878906,-6.400000095367432,327.0,-53.79999923706055,-8.600000381469727,327.20001220703125,-54.400001525878906,-8.5,327.5,-55.70000076293945,-8.699999809265137,327.70001220703125,-56.0,-8.699999809265137,327.70001220703125,-55.400001525878906,-8.699999809265137,327.70001220703125,-54.400001525878906,-8.5,328.3000183105469,-52.60000228881836,-8.0,2.4156645007951356,5.354713250542627,1.0,0.01911421911421911,3.6666667759418488,0.0,32.8,36
L-1:2,6.974634341501598,8.638839317593309,5.047813034070808,3.554512756808849,3.3328902478871822,2.2839861652956355,7.272507451718275,3.4583397665067617,5.7523481845535365,1.4430549948968638,912.3175659179688,48.62728500366211,744.3551635742188,479.5506896972656,323.6463623046875,821.2728271484375,265.2835693359375,584.9431762695312,445.79962158203125,418.73248291015625,582.9475708007812,150.944580078125,947.7916870117188,639.716552734375,293.45587158203125,962.2579345703125,379.0937805175781,830.7866821289062,629.6837768554688,609.1122436523438,0.1725490242242813,0.16862745583057404,0.16470588743686676,0.16078431904315948,0.14901961386203766,0.1411764770746231,0.1725490242242813,0.16470588743686676,0.16078431904315948,0.1725490242242813,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,323.3999938964844,-55.10000228881836,-8.5,324.8000183105469,-54.70000076293945,-7.599999904632568,325.3999938964844,-54.5,-7.599999904632568,326.20001220703125,-55.29999923706055,-8.100000381469727,326.6000061035156,-55.900001525878906,-8.300000190734863,321.70001220703125,-57.400001525878906,-9.600000381469727,322.1000061035156,-57.5,-9.40000057220459,322.20001220703125,-57.400001525878906,-9.40000057220459,322.20001220703125,-56.70000076293945,-9.300000190734863,322.3999938964844,-55.79999923706055,-9.100000381469727,2.4589286425933996,10.736231077989228,1.0,0.015533532041728764,0.6666666865348816,0.0,29.78,44
L-1:3,4.763750428200245,1.7034920136439586,3.867266966634475,2.3905217632052835,2.8591667006544883,3.387753579796392,3.7324753156735393,1.4877861279174496,3.480362773031449,2.0153561678721563,703.8135986328125,146.7640380859375,645.5418090820312,603.0655517578125,338.5320739746094,718.6795654296875,213.06979370117188,815.509521484375,1030.9354248046875,766.7142944335938,1049.1783447265625,74.05499267578125,962.4584350585938,674.3573608398438,18.236663818359375,131.31829833984375,316.376708984375,948.1442260742188,734.9721069335938,487.0419616699219,0.16470588743686676,0.1568627506494522,0.16862745583057404,0.16862745583057404,0.1725490242242813,0.1725490242242813,0.14901961386203766,0.12941177189350128,0.15294118225574493,0.15294118225574493,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.125,0.125,0.140625,0.140625,320.8999938964844,-57.70000076293945,-9.800000190734863,321.20001220703125,-57.400001525878906,-9.699999809265137,321.3999938964844,-57.29999923706055,-9.699999809265137,321.6000061035156,-57.5,-9.699999809265137,321.8999938964844,-57.70000076293945,-9.800000190734863,322.0,-58.5,-9.699999809265137,322.20001220703125,-59.20000076293945,-9.699999809265137,322.0,-58.900001525878906,-9.800000190734863,320.6000061035156,-59.29999923706055,-10.0,320.6000061035156,-58.900001525878906,-9.90000057220459,4.973708695089802,3.864734923737849,1.0,0.013969344608879492,0.3333333432674408,0.0,26.43,100
L-1:4,21.250285211129697,23.19264947466034,25.21015821174255,9.155387984492819,9.1140304896643,17.010314944551546,10.234744217901667,1.1550520828531448,0.27204768059847223,5.696426069547143,654.406005859375,201.42892456054688,1195.199462890625,739.0451049804688,149.10348510742188,844.492919921875,716.802978515625,1161.4071044921875,714.7633666992188,927.2950439453125,1180.7901611328125,131.77670288085938,557.0636596679688,844.677001953125,397.82177734375,1190.699462890625,256.0790100097656,736.8756103515625,326.61260986328125,522.4283447265625,0.14509804546833038,0.15294118225574493,0.16862745583057404,0.1725490242242813,0.16470588743686676,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.12941177189350128,0.12941177189350128,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.125,0.140625,323.6000061035156,-55.29999923706055,-7.0,323.70001220703125,-54.900001525878906,-7.099999904632568,324.1000061035156,-54.60000228881836,-7.300000190734863,324.5,-54.900001525878906,-7.400000095367432,324.8999938964844,-55.400001525878906,-7.300000190734863,324.8999938964844,-55.400001525878906,-7.300000190734863,325.0,-55.70000076293945,-7.200000286102295,325.1000061035156,-55.70000076293945,-7.0,325.20001220703125,-54.900001525878906,-6.900000095367432,323.5,-55.5,-7.0,11.81786002981983,10.210860502341385,1.0,0.012788036616161616,10.333333641290665,3.81,23.15,64
L-1:5,1.6311079457804507,3.9785324376618987,4.924869217588058,4.018540743767823,1.2970757042789685,5.709223173749037,4.944730544516555,5.564346670077072,4.866904463167167,3.4585718683783755,819.8095703125,121.62877655029297,647.1436157226562,460.87701416015625,273.6544494628906,864.0454711914062,442.2673645019531,1095.1822509765625,702.9557495117188,761.8179321289062,866.503662109375,108.92828369140625,517.6447143554688,535.0286254882812,343.210693359375,865.5797729492188,163.2834930419922,798.5510864257812,539.5388793945312,414.0643615722656,0.1568627506494522,0.16470588743686676,0.16078431904315948,0.15294118225574493,0.15294118225574493,0.1568627506494522,0.15294118225574493,0.14901961386203766,0.12941177189350128,0.12941177189350128,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.125,0.140625,0.125,0.125,320.6000061035156,-51.70000076293945,-4.200000286102295,320.8000183105469,-51.60000228881836,-4.300000190734863,321.0,-51.60000228881836,-4.300000190734863,321.3000183105469,-52.0,-4.5,321.3999938964844,-52.400001525878906,-4.700000286102295,321.5,-52.400001525878906,-4.700000286102295,321.6000061035156,-52.900001525878906,-4.599999904632568,321.6000061035156,-53.10000228881836,-4.5,321.6000061035156,-52.60000228881836,-4.400000095367432,320.5,-51.79999923706055,-4.200000286102295,6.52415799750107,6.304993861079644,1.0,0.01260527049637479,0.3333333432674408,0.0,25.83,64
L-1:6,5.188240925706377,1.4096838588668257,0.23809973143597027,1.9835361699591658,1.4868740441032313,0.7604444302950454,1.5747497145781784,5.6470859680206145,0.8568735468977595,1.6197370171678136,827.1141967773438,27.35831642150879,576.869873046875,408.84783935546875,157.96031188964844,502.4722900390625,174.41079711914062,936.5601196289062,662.3102416992188,497.9640808105469,398.5187683105469,24.558202743530273,557.3882446289062,481.9008483886719,297.95501708984375,727.9012451171875,196.34083557128906,783.1448974609375,429.6783447265625,457.05352783203125,0.1725490242242813,0.16470588743686676,0.16862745583057404,0.14901961386203766,0.14901961386203766,0.13725490868091583,0.14509804546833038,0.1568627506494522,0.16078431904315948,0.1568627506494522,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.125,0.140625,0.140625,0.140625,321.3000183105469,-52.60000228881836,-4.800000190734863,321.5,-52.20000076293945,-4.599999904632568,321.6000061035156,-52.29999923706055,-4.400000095367432,321.8999938964844,-53.400001525878906,-4.5,322.0,-54.10000228881836,-4.599999904632568,320.20001220703125,-55.0,-5.900000095367432,320.3000183105469,-55.10000228881836,-5.800000190734863,320.20001220703125,-55.0,-5.700000286102295,320.6000061035156,-54.20000076293945,-5.400000095367432,320.6000061035156,-53.5,-5.300000190734863,1.2413281072523346,5.661248519332024,1.0,0.016827333740085416,1.666666716337204,0.0,31.52,100
L-1:7,0.6214979379474557,2.8429384069030292,2.6010086701938713,7.298796622039253,5.816190811162653,1.1493346499566763,3.36904934066247,1.9413442765664937,2.925077488631982,5.067782628897834,798.6646728515625,20.87629508972168,735.1239013671875,460.1145324707031,249.2130126953125,580.1708984375,187.3892364501953,545.5093383789062,745.9199829101562,499.1348876953125,1096.5511474609375,63.40983200073242,991.1639404296875,611.9874267578125,244.75953674316406,814.1920776367188,272.5670166015625,553.7161254882812,530.7426147460938,567.2949829101562,0.16470588743686676,0.1411764770746231,0.1411764770746231,0.16862745583057404,0.16078431904315948,0.15294118225574493,0.16862745583057404,0.16470588743686676,0.1568627506494522,0.16078431904315948,0.140625,0.140625,0.125,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,321.70001220703125,-54.29999923706055,-4.5,321.8999938964844,-54.20000076293945,-4.300000190734863,319.8999938964844,-55.60000228881836,-4.800000190734863,320.3000183105469,-56.10000228881836,-5.0,320.70001220703125,-56.5,-5.400000095367432,320.70001220703125,-56.70000076293945,-5.700000286102295,320.70001220703125,-56.70000076293945,-5.700000286102295,320.8000183105469,-57.10000228881836,-5.599999904632568,320.8000183105469,-56.60000228881836,-5.599999904632568,321.3000183105469,-54.70000076293945,-4.800000190734863,3.4111114858000784,10.53199045500482,1.0,0.015623543123543122,0.0,0.0,26.81,100
L-1:8,19.163229184336814,18.076410134641964,11.54104355162965,9.379486427199687,16.83416074188342,25.191051121779196,11.649530712538139,1.98651168821376,4.815796227163826,13.42698693679547,1229.3624267578125,80.06549072265625,873.0294189453125,695.61181640625,379.4895324707031,1297.59765625,422.5924377441406,1282.33544921875,1133.5543212890625,1435.7076416015625,1654.9451904296875,99.78321838378906,849.325927734375,1003.6874389648438,84.42452239990234,886.9899291992188,156.9125213623047,877.0213012695312,582.9342651367188,880.8834228515625,0.13725490868091583,0.16078431904315948,0.1725490242242813,0.1725490242242813,0.16470588743686676,0.1568627506494522,0.15294118225574493,0.13725490868091583,0.1411764770746231,0.16470588743686676,0.125,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,317.8999938964844,-54.0,-5.800000190734863,318.20001220703125,-53.900001525878906,-5.599999904632568,318.1000061035156,-53.900001525878906,-5.599999904632568,318.5,-54.400001525878906,-6.0,318.5,-54.400001525878906,-6.0,318.70001220703125,-55.20000076293945,-6.300000190734863,318.6000061035156,-55.900001525878906,-6.200000286102295,318.6000061035156,-56.20000076293945,-6.200000286102295,318.1000061035156,-54.5,-5.800000190734863,317.8999938964844,-54.20000076293945,-5.800000190734863,11.726696936709843,8.663587578859842,1.0,0.010063519813519814,7.000000208616257,6.08,24.67,72
L-1:9,0.8112137069312756,4.4784871953497305,5.632059553862089,3.8564014273809835,4.970107605163548,12.290963330505395,4.423398325377947,1.127718716641534,2.786125571850411,6.987244858353147,678.2975463867188,198.94650268554688,763.235107421875,437.22100830078125,191.43124389648438,611.1807861328125,229.3815460205078,525.9414672851562,748.53271484375,823.8643798828125,1067.932861328125,85.02225494384766,881.3341064453125,798.5350341796875,275.9071044921875,911.4318237304688,249.13815307617188,886.0661010742188,391.7411804199219,423.67962646484375,0.15294118225574493,0.1411764770746231,0.13333334028720856,0.16078431904315948,0.16470588743686676,0.16078431904315948,0.1725490242242813,0.16470588743686676,0.16862745583057404,0.1725490242242813,0.125,0.140625,0.125,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,324.3999938964844,-52.29999923706055,-3.0,324.5,-52.0,-2.799999952316284,323.70001220703125,-52.5,-3.200000047683716,323.8000183105469,-52.60000228881836,-3.200000047683716,324.1000061035156,-53.400001525878906,-3.6000001430511475,324.20001220703125,-54.10000228881836,-3.6000001430511475,324.20001220703125,-54.10000228881836,-3.6000001430511475,324.20001220703125,-54.20000076293945,-3.5,324.3000183105469,-53.900001525878906,-3.4000000953674316,324.3999938964844,-52.5,-3.1000001430511475,7.330215696937215,9.100563516731453,1.0,0.014655019247853125,3.333333432674408,0.0,28.28,68
L-1:10,0.47762776996062645,1.0735442755471738,0.4303794216037943,4.091259012032138,2.6027448560753763,5.596993345537873,0.7486139910064629,9.496076135128822,11.532399859571738,10.420133346437796,764.7088623046875,109.95662689208984,461.59051513671875,343.9670715332031,188.73841857910156,600.0306396484375,120.12794494628906,537.1195068359375,554.4638061523438,464.7662353515625,960.2176513671875,26.215856552124023,835.4649047851562,597.3837890625,78.13668060302734,643.2542114257812,341.9632568359375,989.0404052734375,494.3065185546875,359.9023132324219,0.15294118225574493,0.15294118225574493,0.1411764770746231,0.14509804546833038,0.14509804546833038,0.16078431904315948,0.16078431904315948,0.16470588743686676,0.1568627506494522,0.16862745583057404,0.140625,0.140625,0.125,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,325.1000061035156,-56.70000076293945,-3.700000047683716,325.5,-56.20000076293945,-3.299999952316284,325.6000061035156,-56.29999923706055,-3.1000001430511475,323.3999938964844,-57.70000076293945,-3.9000000953674316,323.8999938964844,-58.29999923706055,-4.5,324.20001220703125,-58.900001525878906,-4.800000190734863,324.3000183105469,-59.60000228881836,-4.900000095367432,324.3000183105469,-59.70000076293945,-4.800000190734863,324.3000183105469,-58.60000228881836,-4.5,325.0,-57.5,-3.799999952316284,10.11320516460346,12.615491439358316,1.0,0.01637310606060606,4.666666805744171,0.0,32.11,76
