Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.2360680441398086,1.4463302400179956,7.037223682854512,2.8365996344660993,3.891217700410209,0.9428090696799625,6.764000147858633,10.982409047228634,6.790307963783299,3.457300981601925,1486.2354736328125,160.1528778076172,1025.1641845703125,427.313720703125,88.14936065673828,500.5871887207031,319.3512878417969,773.9213256835938,869.8724975585938,506.7157897949219,438.9295654296875,8.443215370178223,283.1468505859375,531.4577026367188,296.44207763671875,654.8026123046875,241.56924438476562,732.1588745117188,534.0193481445312,291.1787414550781,0.23137256503105164,0.24705883860588074,0.25882354378700256,0.27843138575553894,0.2862745225429535,0.2705882489681244,0.24705883860588074,0.2392157018184662,0.23137256503105164,0.22745099663734436,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.4333333671092987,0.46666669845581055,0.40000003576278687,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.671874047101369,2.3667458399192762,-1.0,0.013798701298701298,2.3333334028720856,0.0,25.5,36
L-1:2,9.428090696799623,7.509094807450067,5.130951262734807,7.973443337545821,8.15091175152503,6.036923605339284,3.010333371320014,7.119723868307578,3.7822731857447605,2.342874465160569,692.607177734375,131.62017822265625,463.0232849121094,218.80453491210938,75.46208190917969,908.774169921875,216.72689819335938,725.7369995117188,601.592041015625,390.4412536621094,428.379638671875,27.886980056762695,314.2362976074219,417.0234069824219,95.7065200805664,406.5333251953125,128.5765380859375,671.1173706054688,1589.678466796875,767.80810546875,0.22745099663734436,0.2352941334247589,0.250980406999588,0.27450981736183167,0.2823529541492462,0.29019609093666077,0.26274511218070984,0.24313727021217346,0.23137256503105164,0.22745099663734436,0.30000001192092896,0.3333333432674408,0.40000003576278687,0.40000003576278687,0.46666669845581055,0.46666669845581055,0.40000003576278687,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.871395557497737,4.835306473076525,-1.0,0.016811397557666214,3.6666667759418488,0.0,28.32,36
L-1:3,4.666666805744171,2.7786752756212327,6.47659409351161,3.458644775120875,3.3090392191478246,7.156970397822295,13.284420281977132,5.788604027219532,1.3729327131588007,2.3326821192947884,1082.6563720703125,45.85624313354492,646.0232543945312,539.4093017578125,216.63108825683594,1126.3826904296875,105.3340072631836,375.446533203125,1526.08251953125,975.5523071289062,3573.688232421875,535.6625366210938,560.7408447265625,180.053955078125,230.7412872314453,580.8306274414062,229.3202362060547,699.1554565429688,950.938232421875,656.5751953125,0.23137256503105164,0.24705883860588074,0.25882354378700256,0.2705882489681244,0.2705882489681244,0.18431372940540314,0.2392157018184662,0.2352941334247589,0.2352941334247589,0.23137256503105164,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.4333333671092987,0.23333334922790527,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.422205531671164,6.544429547804039,-1.0,0.014109975594874922,7.3333335518836975,0.0,26.43,64
L-1:4,23.949020642651156,26.141922120715204,19.640597670792303,8.29772779047517,9.475103242585924,6.009252304862985,5.871177160322125,11.165226970844746,28.493224066991246,20.71188957555697,1386.6658935546875,4.471520900726318,1357.142578125,1140.34375,372.0603942871094,1098.6207275390625,117.3328628540039,853.6670532226562,623.3245849609375,511.2852783203125,552.5614624023438,65.14047241210938,472.627197265625,580.6031494140625,117.65878295898438,653.9898681640625,625.7293701171875,1316.3997802734375,397.17645263671875,348.8812561035156,0.22352942824363708,0.2392157018184662,0.24705883860588074,0.2666666805744171,0.2823529541492462,0.25882354378700256,0.24313727021217346,0.23137256503105164,0.22745099663734436,0.22352942824363708,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.46666669845581055,0.40000003576278687,0.36666667461395264,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.06703672549983,23.694244741206038,-1.0,0.011404709748083242,12.66666704416275,14.02,23.8,68
L-1:5,4.027682111232468,11.735316773702934,9.728111495149886,7.890054045187289,5.367823347886312,2.9814240588530865,1.499595489047632,1.7609185522521775,7.769775490291549,8.143876477449053,1268.0400390625,8.246419906616211,458.94830322265625,344.07122802734375,396.2305603027344,1007.1070556640625,134.7311248779297,556.1565551757812,319.5234680175781,319.5361022949219,514.2992553710938,25.057838439941406,324.7882995605469,258.9161071777344,108.00464630126953,231.82440185546875,282.4750061035156,466.9625549316406,384.9365539550781,321.2587890625,0.22352942824363708,0.23137256503105164,0.2392157018184662,0.24705883860588074,0.26274511218070984,0.2549019753932953,0.24705883860588074,0.24313727021217346,0.23137256503105164,0.23137256503105164,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.755070200332966,11.557889884324071,-1.0,0.019946524064171123,7.000000208616257,0.0,29.84,100
L-1:6,12.37380783094859,9.332357750177486,10.119374891535967,9.23101571545969,9.083371307372913,5.676462291147222,0.5637383228104161,5.464084158999966,2.0742103301004216,3.7062908380278987,980.8850708007812,146.5523681640625,344.0543212890625,209.60121154785156,269.0521240234375,597.3948364257812,250.4268341064453,432.31719970703125,636.01025390625,482.4803466796875,311.7459716796875,0.024786323308944702,212.38107299804688,219.78323364257812,150.5859832763672,331.9202880859375,63.189144134521484,768.3027954101562,644.5379028320312,535.4979858398438,0.23137256503105164,0.24313727021217346,0.25882354378700256,0.27843138575553894,0.2862745225429535,0.29019609093666077,0.2705882489681244,0.2549019753932953,0.24313727021217346,0.2392157018184662,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.4333333671092987,0.46666669845581055,0.46666669845581055,0.4333333671092987,0.40000003576278687,0.36666667461395264,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.869662896920081,6.758545407127601,-1.0,0.021007231404958675,7.000000208616257,0.0,29.05,100
L-1:7,6.741249672957118,4.064483887962272,1.701876935195783,3.2798216020793065,3.0198734266157157,7.363574230909782,7.21906275258198,8.048984709625786,2.4766638883455703,1.3867979136249953,765.4220581054688,0.02367234416306019,1064.453857421875,569.7463989257812,399.5733337402344,1160.12841796875,463.7628479003906,603.2305297851562,1440.0509033203125,1314.12890625,501.41192626953125,0.010496865957975388,623.8197631835938,285.6539001464844,239.3131561279297,606.5103149414062,107.58370971679688,322.7633361816406,591.037841796875,445.4666442871094,0.22745099663734436,0.23137256503105164,0.24705883860588074,0.2666666805744171,0.19215688109397888,0.250980406999588,0.24313727021217346,0.2352941334247589,0.23137256503105164,0.22352942824363708,0.3333333432674408,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.2666666805744171,0.40000003576278687,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.211102765835582,7.494167380866465,-1.0,0.01599537750385208,6.000000178813934,0.0,29.66,36
L-1:8,14.727148461819562,7.764609999987471,4.654291870461496,5.1760780787429885,14.598087532453448,11.352924582294444,5.0225983210426115,0.12319491794522204,0.8610253113184302,10.980155651551303,904.1895141601562,10.202204704284668,1161.50439453125,429.6390686035156,11.630826950073242,1174.5328369140625,563.9056396484375,1194.0458984375,419.8134460449219,289.4255676269531,921.1318359375,59.840301513671875,393.3554382324219,250.317138671875,186.79249572753906,605.0454711914062,105.842041015625,409.3205871582031,556.0393676757812,196.39410400390625,0.22352942824363708,0.22352942824363708,0.22745099663734436,0.250980406999588,0.25882354378700256,0.25882354378700256,0.24705883860588074,0.2392157018184662,0.23137256503105164,0.22352942824363708,0.3333333432674408,0.3333333432674408,0.36666667461395264,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.27046292401933,11.98231448781642,-1.0,0.014449843260188087,8.000000238418579,5.84,26.34,68
L-1:9,5.099019665555408,3.9654324947135877,5.494792908733345,1.5915969655870363,8.041559250256752,9.357112843942485,5.655613739573387,13.313809589087208,11.21110851300681,10.157769141001436,785.6863403320312,33.24917221069336,820.0265502929688,369.2792053222656,221.68063354492188,678.7296142578125,133.2674560546875,400.9326171875,717.7984008789062,427.38800048828125,458.2652893066406,42.65503692626953,263.7576904296875,320.14654541015625,97.17227172851562,401.4488525390625,180.07852172851562,817.832275390625,577.8853149414062,358.7392883300781,0.2392157018184662,0.24705883860588074,0.26274511218070984,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.26274511218070984,0.2549019753932953,0.24313727021217346,0.2392157018184662,0.36666667461395264,0.40000003576278687,0.4333333671092987,0.4333333671092987,0.40000003576278687,0.46666669845581055,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.35481668660362,3.6633493957923933,-1.0,0.015628659476117104,6.666666865348816,0.0,28.98,4
L-1:10,3.1622777544115976,8.549877548802606,9.243255841635593,7.6470870879066934,9.675590855875942,2.7487371656638606,0.5460357980445324,1.1803140039372535,2.0934350750024553,7.254019718526393,818.9010009765625,194.824951171875,458.1813049316406,302.189208984375,402.46038818359375,766.7575073242188,305.1554260253906,577.1593627929688,924.0426025390625,620.3375854492188,405.12939453125,58.641239166259766,286.3839416503906,348.33489990234375,41.14433670043945,573.9407958984375,0.005621372256428003,324.9557800292969,440.3089294433594,266.8634948730469,0.2352941334247589,0.2352941334247589,0.24313727021217346,0.24705883860588074,0.25882354378700256,0.2666666805744171,0.26274511218070984,0.250980406999588,0.24705883860588074,0.24313727021217346,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.40000003576278687,0.4333333671092987,0.40000003576278687,0.36666667461395264,0.36666667461395264,0.36666667461395264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.875684901645581,7.957017304519525,-1.0,0.019693228582117472,2.3333334028720856,0.0,30.08,100
