Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,8.782084035125148,8.492194750542115,9.007773988513968,1.6435612608997179,2.2520606321206422,13.439680055715613,1.5652287667302258,5.821101904019137,4.047896267917286,8.945677319652676,1217.290771484375,73.81644439697266,805.2490844726562,708.8157348632812,302.0426025390625,1409.708740234375,40.12017059326172,907.712158203125,1422.8380126953125,665.3406982421875,1040.9676513671875,224.56719970703125,400.5862121582031,65.746826171875,169.8321533203125,1457.35693359375,373.5537109375,521.364990234375,649.4992065429688,616.4010009765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.037254903465509415,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.027450982481241226,345.57342529296875,-19.072586059570312,-1.241082787513733,344.3258972167969,-17.846267700195312,1.0262027978897095,345.2984619140625,-17.785791397094727,1.0641653537750244,345.2984619140625,-17.785791397094727,1.0641653537750244,345.2320251464844,-18.041051864624023,-0.13592366874217987,344.0043640136719,-20.65677833557129,-2.87321138381958,341.54681396484375,-21.951969146728516,-3.8435442447662354,340.13787841796875,-22.15543556213379,-4.352234840393066,343.96710205078125,-21.95552635192871,-5.396509170532227,343.3992004394531,-20.412372589111328,-3.5800187587738037,7.420411039827915,10.788473438694194,1.0,0.012761763981276177,6.25,0.0,29.6,68
L-1:2,2.3717082451262845,8.861771527750044,7.45751731652657,5.249799161746261,4.492310405058511,1.25,2.8081319583229356,0.6891718579341104,3.0695096356117544,5.057451871313138,1480.52001953125,50.141117095947266,777.0657348632812,555.8177490234375,606.9390869140625,1889.748046875,39.039154052734375,1299.719482421875,1101.637939453125,531.0042724609375,1478.4923095703125,453.1458435058594,1304.3646240234375,1043.3299560546875,139.46780395507812,1133.7596435546875,122.67240905761719,1118.8955078125,1233.518310546875,799.5146484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.027450982481241226,0.021568628028035164,0.027450982481241226,0.021568628028035164,0.0313725508749485,0.029411766678094864,0.037254903465509415,0.03333333507180214,0.021568628028035164,344.397216796875,-20.823564529418945,-2.7207396030426025,340.10693359375,-20.750944137573242,-2.776160478591919,346.663330078125,-19.042530059814453,-1.1347895860671997,345.3346252441406,-19.405841827392578,-1.3611851930618286,343.099853515625,-20.158050537109375,-2.2860805988311768,343.099853515625,-20.158050537109375,-2.2860805988311768,342.057861328125,-20.74765968322754,-2.9146623611450195,342.9075622558594,-21.086257934570312,-3.221494674682617,343.96600341796875,-20.918386459350586,-3.0047457218170166,344.62200927734375,-20.769256591796875,-2.8629610538482666,4.697073557013984,1.5892174345239933,-1.0,0.008333949248583395,1.0,0.0,19.33,76
L-1:3,1.6770509831248424,6.711030633936102,7.162992790708739,4.909483744765262,8.639087428596884,5.522680508593631,4.378481219772274,5.449740645682838,9.775903851310192,4.697492360507382,963.0661010742188,335.3338317871094,757.804443359375,308.19940185546875,1371.958251953125,2698.845458984375,1194.359375,1210.34130859375,1017.6851806640625,760.6986083984375,1103.565185546875,19.711414337158203,1870.0714111328125,1087.987548828125,580.4155883789062,2087.582763671875,594.8353881835938,2525.388916015625,1616.8536376953125,767.1692504882812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.029411766678094864,0.0313725508749485,0.0313725508749485,311.84136962890625,-20.79328727722168,-2.686661958694458,325.2261657714844,-19.999996185302734,-2.4342153072357178,325.2261657714844,-19.999996185302734,-2.4342153072357178,321.66156005859375,-20.056774139404297,-2.3577795028686523,319.3797302246094,-20.46242332458496,-2.7956886291503906,317.5662841796875,-20.534191131591797,-3.1739704608917236,314.95428466796875,-20.678325653076172,-2.9865126609802246,314.95428466796875,-20.678325653076172,-2.9865126609802246,313.17333984375,-20.63254737854004,-2.839869976043701,312.2250061035156,-20.626113891601562,-2.672593116760254,6.005206074732157,13.220692821816284,-1.0,0.0073686461388074295,1.75,0.0,17.23,68
L-1:4,5.55090082779363,6.561004363983898,0.9490658879458427,13.567969737445097,14.371255582929992,15.787653403846944,15.943836263183792,13.433187155688287,13.156355878082671,6.640078238416041,808.6474609375,83.46083068847656,0.0,0.0,343.3483581542969,1135.809814453125,529.1904907226562,1400.8206787109375,1008.9053955078125,781.9027709960938,1149.7449951171875,203.34274291992188,1131.378173828125,565.3303833007812,343.8850402832031,1170.0634765625,469.1194763183594,2079.68408203125,1212.927001953125,1128.311767578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.011764707043766975,0.02352941408753395,0.021568628028035164,0.027450982481241226,0.027450982481241226,0.03333333507180214,0.03333333507180214,0.029411766678094864,0.03529411926865578,344.78289794921875,-21.607769012451172,-1.051410436630249,343.37554931640625,-21.08926773071289,-0.6636731624603271,343.29541015625,-21.21257209777832,-0.8690651655197144,343.6764221191406,-21.243684768676758,-0.8865124583244324,344.22344970703125,-21.21567726135254,-1.0187618732452393,344.22344970703125,-21.21567726135254,-1.0187618732452393,344.66741943359375,-21.28312873840332,-1.1511231660842896,345.4736328125,-21.337343215942383,-0.9435673356056213,345.19805908203125,-21.576908111572266,-0.9502949118614197,345.19805908203125,-21.576908111572266,-0.9502949118614197,9.25,13.295957925704016,-1.0,0.009774864633798805,10.5,8.74,19.6,36
L-1:5,3.5,3.601121967472578,3.6149998452171093,5.273884636828339,2.2818438185461845,6.010407640085654,6.758852083877103,10.612232032427116,8.558162252553883,8.478129978635371,1495.506103515625,352.4974670410156,1410.6181640625,846.7197265625,814.4484252929688,2099.524658203125,908.1329956054688,1325.7247314453125,880.4912109375,982.1138305664062,2495.72900390625,268.77508544921875,1237.802978515625,771.6607055664062,34.850738525390625,3007.656494140625,468.9112548828125,2544.45263671875,2118.15087890625,1131.2218017578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.03529411926865578,0.029411766678094864,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,341.2228698730469,-21.302703857421875,-0.9741538166999817,342.8913269042969,-21.362865447998047,-0.9811984300613403,338.9845275878906,-21.2803955078125,-1.0946427583694458,338.7189636230469,-21.348188400268555,-1.065828800201416,338.7189636230469,-21.348188400268555,-1.065828800201416,340.297607421875,-21.07975196838379,-1.3545233011245728,342.0932312011719,-21.216190338134766,-1.3660051822662354,342.0932312011719,-21.216190338134766,-1.3660051822662354,342.5035095214844,-21.400590896606445,-1.1704787015914917,342.5035095214844,-21.400590896606445,-1.1704787015914917,1.9039432764659772,7.564449677212515,-1.0,0.006697685516583155,1.75,0.0,16.04,68
L-1:6,2.0,1.704208383381968,16.60122191608264,2.2862124405442485,10.692768282785783,11.472793905583766,3.7280451962010264,7.047043941294908,6.2481265871937435,6.868938055246592,2497.211181640625,488.8367614746094,2225.347900390625,956.6981811523438,1478.8056640625,2231.866943359375,1392.755859375,1086.1922607421875,1618.998046875,921.2655639648438,1568.085693359375,6.59645938873291,1208.540283203125,358.7317810058594,1105.724609375,3903.48291015625,287.44012451171875,3065.124267578125,2204.944580078125,1232.08544921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.019607843831181526,0.01568627543747425,0.021568628028035164,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.0313725508749485,344.4560546875,-21.552701950073242,-1.3870643377304077,344.4560546875,-21.552701950073242,-1.3870643377304077,343.5439147949219,-21.48641014099121,-1.3496040105819702,343.4502868652344,-21.70450782775879,-1.4879988431930542,343.4502868652344,-21.70450782775879,-1.4879988431930542,343.9121398925781,-21.31653594970703,-1.640264868736267,343.6953125,-21.36844825744629,-1.630789041519165,343.39642333984375,-21.454362869262695,-1.2507840394973755,343.39642333984375,-21.454362869262695,-1.2507840394973755,343.8296203613281,-21.35968017578125,-1.3429908752441406,3.816084380618437,4.096423629134776,-1.0,0.0055584096493187405,0.25,0.0,14.22,64
L-1:7,4.031128874149275,1.8469574600219167,1.6579513863607007,1.4432743202695852,1.922384153432177,5.942432162002357,6.434824349523425,8.656588490639,5.5662061434657355,0.9475873687120492,2033.0185546875,156.38697814941406,1309.6014404296875,1190.6678466796875,177.1932830810547,1449.7125244140625,563.9544677734375,1558.58984375,2314.918212890625,1522.887939453125,2518.918212890625,31.50398826599121,2187.037841796875,1369.67578125,316.49822998046875,2276.069580078125,138.29928588867188,3815.984619140625,1241.6890869140625,447.3121337890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.029411766678094864,0.029411766678094864,0.027450982481241226,0.0313725508749485,0.029411766678094864,0.03333333507180214,0.0313725508749485,0.0313725508749485,0.021568628028035164,342.53790283203125,-21.79726219177246,-1.307856798171997,342.53790283203125,-21.79726219177246,-1.307856798171997,342.2542724609375,-21.681943893432617,-1.2523820400238037,343.3921203613281,-21.6438045501709,-1.3176336288452148,343.3921203613281,-21.6438045501709,-1.3176336288452148,343.9020690917969,-21.716970443725586,-1.581125259399414,343.9020690917969,-21.716970443725586,-1.581125259399414,342.47320556640625,-21.765554428100586,-1.519493579864502,342.7544860839844,-22.063617706298828,-1.4775372743606567,342.7544860839844,-22.063617706298828,-1.4775372743606567,19.014796869806418,3.351211184010538,-1.0,0.005356212555352956,1.5,0.0,11.75,32
L-1:8,2.7950849718747373,1.6040412336566376,10.53964818528483,1.5277392797459113,2.415936578671078,5.0990195135927845,0.6967329902776441,3.7201594217597895,9.17158347909585,4.141076603234974,2050.93701171875,155.79296875,1801.9451904296875,2307.784912109375,0.0,0.0,118.18692779541016,2000.473876953125,2639.379638671875,1593.9833984375,1420.1561279296875,235.07940673828125,1929.1539306640625,2398.544677734375,282.37969970703125,1794.013916015625,561.009765625,2372.29736328125,2188.042236328125,2327.0322265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.0313725508749485,0.01568627543747425,0.021568628028035164,0.027450982481241226,0.027450982481241226,0.03529411926865578,0.029411766678094864,0.029411766678094864,0.029411766678094864,319.4349365234375,-17.978559494018555,0.18513216078281403,319.2803955078125,-17.86004066467285,0.2088625282049179,319.61846923828125,-18.05779457092285,0.4960051476955414,327.4825744628906,-18.01869010925293,-0.3587264120578766,324.7474365234375,-17.971948623657227,-0.17899180948734283,324.7474365234375,-17.971948623657227,-0.17899180948734283,324.12506103515625,-18.244909286499023,-0.34023550152778625,321.3255310058594,-18.490095138549805,-0.2723129689693451,321.3255310058594,-18.490095138549805,-0.2723129689693451,319.4349365234375,-17.978559494018555,0.18513216078281403,24.66779276708802,5.959006134440968,1.0,0.006075174825174825,1.5,9.65,13.9,100
L-1:9,2.0615528128088303,4.6631224036585825,3.9024794601838555,4.377562483422967,2.7968002156881937,6.254998001598402,10.301696549206259,12.233329359890437,9.87402953151818,13.651681319116886,1655.21044921875,67.83035278320312,943.2883911132812,593.0618286132812,554.4575805664062,1446.29833984375,973.8410034179688,2306.064208984375,10.468562126159668,188.771484375,1335.1351318359375,25.78988265991211,1119.1898193359375,920.7515258789062,992.3270263671875,3085.301025390625,605.9597778320312,1321.98681640625,1324.6893310546875,1266.4832763671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.037254903465509415,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.03333333507180214,0.0470588281750679,0.03529411926865578,0.0470588281750679,0.03529411926865578,329.9697265625,-23.60913848876953,-6.2083024978637695,333.8563232421875,-22.16274070739746,-5.273873805999756,340.216552734375,-21.844100952148438,-5.632213115692139,341.29022216796875,-21.784364700317383,-5.815431118011475,340.23065185546875,-21.79255485534668,-5.728090763092041,321.556396484375,-25.074417114257812,-8.16050910949707,322.859619140625,-26.041601181030273,-8.579655647277832,322.859619140625,-26.041601181030273,-8.579655647277832,325.44122314453125,-25.756202697753906,-8.147684097290039,329.9697265625,-23.60913848876953,-6.2083024978637695,4.257346591481601,11.166173219621099,1.0,0.0068969783797864035,4.75,0.0,15.13,100
L-1:10,11.305419054595014,7.308024696357822,13.233753244215423,3.5135512591438522,9.068959263207386,5.5901699437494745,2.100105347636991,5.694895735166416,0.943275318893513,5.154685321645738,4291.734375,120.43923950195312,262.3338623046875,837.8890380859375,372.5736999511719,1302.5594482421875,1056.8994140625,3581.305908203125,1202.8660888671875,336.94830322265625,3541.2275390625,8.159246444702148,752.5794677734375,747.546875,1426.57421875,2819.99267578125,757.781982421875,2394.91943359375,2737.0625,1302.4923095703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.021568628028035164,0.02352941408753395,0.02352941408753395,0.03529411926865578,0.037254903465509415,0.037254903465509415,0.0470588281750679,0.037254903465509415,0.037254903465509415,315.66363525390625,-27.237756729125977,-10.2669677734375,321.2750244140625,-24.797683715820312,-9.908486366271973,319.0076599121094,-24.354276657104492,-10.273272514343262,319.0076599121094,-24.354276657104492,-10.273272514343262,315.8642883300781,-26.805622100830078,-12.185815811157227,313.33526611328125,-29.367027282714844,-13.247318267822266,313.33526611328125,-29.367027282714844,-13.247318267822266,313.23321533203125,-29.484783172607422,-13.138107299804688,313.23321533203125,-29.484783172607422,-13.138107299804688,315.66363525390625,-27.237756729125977,-10.2669677734375,3.48209706929603,1.9668042633330747,1.0,0.005630745658835546,1.0,0.0,12.6,64
