Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,11.138693345149504,5.494367329443946,22.180611300593114,11.656020991618286,1.9230224273707155,5.70293788092663,5.08152065071726,1.1886339039499159,1.3309291878769582,13.502862944553103,1882.805419921875,533.5269165039063,2138.434326171875,979.9190673828125,69.59498596191406,1032.5902099609375,631.1954956054688,1722.305908203125,1492.130126953125,754.1737060546875,1419.7752685546875,260.2782287597656,1398.5849609375,576.0968627929688,617.617431640625,1496.6083984375,485.0758361816406,1015.0652465820313,1256.122314453125,735.48388671875,0.14901961386203766,0.14901961386203766,0.14901961386203766,0.14901961386203766,0.14901961386203766,0.14901961386203766,0.14901961386203766,0.14901961386203766,0.24705883860588074,0.29019609093666077,0.01568627543747425,0.01568627543747425,0.011764707043766975,0.007843137718737125,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.02352941408753395,0.01568627543747425,133.395263671875,-37.71255874633789,-5.008462429046631,133.232177734375,-36.696510314941406,-4.644450664520264,133.55166625976563,-37.63838577270508,-5.310249328613281,133.55166625976563,-37.63838577270508,-5.310249328613281,133.51605224609375,-38.47057342529297,-5.9110493659973145,133.51605224609375,-38.47057342529297,-5.9110493659973145,133.39208984375,-38.606895446777344,-5.7959370613098145,133.39208984375,-38.606895446777344,-5.7959370613098145,133.50677490234375,-37.853763580322266,-5.753262996673584,133.395263671875,-37.71255874633789,-5.008462429046631,17.93220143698948,11.187637721544021,1.0,0.008315602836879434,0.3333333432674408,0.0,14.74,64
L-1:2,8.07271025138131,9.070587089737236,6.450332216867698,3.915718209248342,12.688413210785528,4.419616997218826,10.012056384205344,3.795802688928022,3.00256990872057,4.191849524512322,2233.319580078125,130.4315948486328,1463.8284912109375,1014.3587646484375,331.2911682128906,974.3942260742188,85.4676513671875,1987.3428955078125,877.2050170898438,618.3314208984375,1494.351318359375,283.05718994140625,1244.27685546875,707.7674560546875,1022.7715454101563,1763.80810546875,708.1207275390625,1665.4053955078125,1746.7332763671875,1130.2799072265625,0.14509804546833038,0.14509804546833038,0.14509804546833038,0.14509804546833038,0.14509804546833038,0.14509804546833038,0.14509804546833038,0.14509804546833038,0.1882353127002716,0.14509804546833038,0.011764707043766975,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.007843137718737125,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.019607843831181526,134.386474609375,-34.57248306274414,-4.0716023445129395,134.6058349609375,-34.69391632080078,-4.133779525756836,134.6058349609375,-34.69391632080078,-4.133779525756836,134.8590087890625,-35.07127380371094,-4.214814186096191,134.8590087890625,-35.07127380371094,-4.214814186096191,134.97189331054688,-35.35531997680664,-4.31890869140625,134.97189331054688,-35.35531997680664,-4.31890869140625,135.2322998046875,-35.75092697143555,-4.17314338684082,133.93304443359375,-34.74861145019531,-4.362320899963379,134.386474609375,-34.57248306274414,-4.0716023445129395,6.254296127518454,4.824566158148319,1.0,0.007073524085476277,2.6666667461395264,0.0,11.16,100
L-1:3,1.083345885579261,3.490646934455465,2.6809689728081905,6.207597261278706,4.9284910331346765,3.577518553509614,2.08342262365187,5.799328782590583,1.3615348667556209,3.4739331459279694,1367.2896728515625,74.90641784667969,874.5364379882813,422.69744873046875,36.30348587036133,904.7275390625,673.349365234375,1611.29931640625,1096.75341796875,942.6909790039063,799.118896484375,30.201828002929688,1532.6666259765625,1076.0538330078125,326.10968017578125,1002.3344116210938,431.35003662109375,1144.005126953125,696.3677368164063,499.153076171875,0.16078431904315948,0.16078431904315948,0.16078431904315948,0.16078431904315948,0.16078431904315948,0.16078431904315948,0.16078431904315948,0.16078431904315948,0.16078431904315948,0.16078431904315948,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.011764707043766975,135.16217041015625,-36.15696334838867,-3.325343608856201,135.2457275390625,-35.70138931274414,-3.1155056953430176,135.2777099609375,-35.619380950927734,-3.1271770000457764,135.32577514648438,-35.84687042236328,-3.1672415733337402,135.14532470703125,-35.63927459716797,-3.394019603729248,135.23516845703125,-36.11600112915039,-3.5450894832611084,135.59576416015625,-36.4053955078125,-3.056946277618408,135.31256103515625,-36.97294616699219,-3.680194139480591,135.36288452148438,-37.09393310546875,-3.7380001544952393,135.3348388671875,-36.59138870239258,-3.4993085861206055,14.445428185666152,1.4071847699658648,-1.0,0.009325174825174825,0.6666666865348816,0.0,19.05,100
L-1:4,25.196921053847415,23.68366592924197,13.814112580921215,3.0654924302890763,7.864722755509259,6.765158079384281,0.6300832446286634,5.343889924276327,17.13648195799087,22.182859422798053,1664.0689697265625,36.669376373291016,1155.1798095703125,955.5691528320313,533.7326049804688,926.3515014648438,42.77490234375,1109.7664794921875,1284.023681640625,1016.5924072265625,1488.7642822265625,59.28001403808594,943.3352661132813,636.0187377929688,86.11204528808594,1489.178955078125,535.634521484375,1084.290283203125,1067.310791015625,555.3345947265625,0.24313727021217346,0.20000001788139343,0.20784315466880798,0.21176472306251526,0.21176472306251526,0.22352942824363708,0.12941177189350128,0.24313727021217346,0.24313727021217346,0.24313727021217346,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.02352941408753395,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.01568627543747425,135.2845458984375,-36.077247619628906,-2.9843010902404785,135.2845458984375,-36.077247619628906,-2.9843010902404785,135.2845458984375,-36.077247619628906,-2.9843010902404785,135.09967041015625,-35.85775375366211,-3.000793695449829,135.01287841796875,-35.629417419433594,-3.070157766342163,135.01287841796875,-35.629417419433594,-3.070157766342163,135.80059814453125,-36.3475227355957,-2.8004963397979736,135.61068725585938,-36.32413101196289,-2.9036312103271484,135.4439697265625,-36.25296401977539,-2.960453748703003,135.4439697265625,-36.25296401977539,-2.960453748703003,7.2215999563567905,18.15712816385404,-1.0,0.009733471074380166,9.333333611488342,0.94,13.46,36
L-1:5,19.3664205033504,2.402310051492519,2.3050437757009834,9.186630428512444,2.2333479151029603,3.489607729846692,1.4147099779198538,1.8368696097734176,1.9722623672114847,19.751870053230807,2425.6572265625,519.3466186523438,1194.6705322265625,402.59686279296875,277.829345703125,762.6328125,443.1635437011719,1888.140869140625,1198.2529296875,1243.6087646484375,1904.8509521484375,44.937164306640625,1247.26220703125,833.4291381835938,764.783203125,1295.1461181640625,522.9701538085938,754.3505859375,1728.841552734375,918.3131103515625,0.125490203499794,0.125490203499794,0.125490203499794,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.125490203499794,0.125490203499794,0.125490203499794,0.01568627543747425,0.01568627543747425,0.011764707043766975,0.011764707043766975,0.01568627543747425,0.011764707043766975,0.01568627543747425,0.011764707043766975,0.01568627543747425,0.011764707043766975,134.98367309570313,-34.21053695678711,-1.341875672340393,134.98367309570313,-34.21053695678711,-1.341875672340393,134.8516845703125,-34.85824203491211,-2.2048630714416504,134.7777099609375,-34.887176513671875,-2.325883388519287,134.915283203125,-34.74217224121094,-2.159126043319702,134.915283203125,-34.74217224121094,-2.159126043319702,134.967041015625,-34.860504150390625,-2.022326707839966,134.9503173828125,-34.91194534301758,-1.9304152727127075,134.97354125976563,-34.61442184448242,-1.7778838872909546,134.97354125976563,-34.61442184448242,-1.7778838872909546,11.465728306022987,5.7229826456624595,1.0,0.008739322757779134,2.6666667461395264,0.0,16.37,4
L-1:6,0.4991379979307303,10.272430344376026,12.05564083878884,16.43624618029942,20.089403915661652,10.057119342780556,13.111101031356279,6.7347954611661365,3.5782208277870478,2.1822796152119777,646.898681640625,89.92955780029297,1350.1087646484375,569.3904418945313,441.2396240234375,1284.7646484375,257.89202880859375,1065.212890625,1030.9876708984375,742.2984008789063,1826.310791015625,39.654014587402344,1040.836181640625,700.648681640625,486.691650390625,1398.653076171875,677.8839111328125,1323.2420654296875,1179.31640625,885.4744873046875,0.26274511218070984,0.26274511218070984,0.2039215862751007,0.20784315466880798,0.2666666805744171,0.25882354378700256,0.24705883860588074,0.16862745583057404,0.125490203499794,0.125490203499794,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.011764707043766975,0.01568627543747425,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.01568627543747425,133.93707275390625,-34.078617095947266,-2.340474843978882,134.06842041015625,-34.19280242919922,-2.3413772583007813,134.12997436523438,-34.22168731689453,-2.399278402328491,134.27239990234375,-34.40181350708008,-2.4864068031311035,134.456787109375,-34.53470230102539,-2.366852045059204,134.65652465820313,-34.565059661865234,-2.3303158283233643,134.65652465820313,-34.565059661865234,-2.3303158283233643,134.57586669921875,-34.759708404541016,-2.1271088123321533,134.458984375,-34.78872299194336,-1.9833871126174927,134.371826171875,-34.54658126831055,-1.8760415315628052,6.235245356230634,7.511432205182177,1.0,0.009407734056987787,7.3333335518836975,0.0,19.81,100
L-1:7,12.586506597601462,16.500530501068187,3.1267349082584244,11.520210949845055,2.779669525136141,5.775008533243789,2.713605178385728,2.939135910850996,6.445142126206802,17.79499482500763,1181.33740234375,90.62735748291016,1672.9180908203125,1077.339111328125,612.7277221679688,786.23095703125,551.6329345703125,1362.71728515625,1426.8719482421875,251.8817901611328,889.583251953125,365.02874755859375,1591.9725341796875,1554.73388671875,706.5940551757813,1332.899658203125,1183.5360107421875,1661.8673095703125,1154.030029296875,575.5057983398438,0.21568629145622253,0.21176472306251526,0.23137256503105164,0.23137256503105164,0.250980406999588,0.250980406999588,0.250980406999588,0.24313727021217346,0.2862745225429535,0.21568629145622253,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,134.43695068359375,-35.908721923828125,-3.191838026046753,134.43695068359375,-35.908721923828125,-3.191838026046753,134.21356201171875,-35.343624114990234,-2.976961374282837,134.11798095703125,-35.513484954833984,-3.0735714435577393,134.35687255859375,-35.23682403564453,-2.3841700553894043,134.6761474609375,-35.88088607788086,-2.7738020420074463,134.31387329101563,-37.21410369873047,-3.7866573333740234,134.31387329101563,-37.21410369873047,-3.7866573333740234,134.43411254882813,-36.953392028808594,-3.785616397857666,134.43411254882813,-36.953392028808594,-3.785616397857666,6.931460290054497,10.331274863768488,-1.0,0.008003081664098613,3.000000089406967,0.0,14.84,100
L-1:8,16.631799961515465,17.220560920571362,17.207740707849297,8.6055354898535,6.600590592292429,8.837484547506282,1.2838885139962763,3.3074173083640943,12.215981174642897,16.356317188218235,1479.715087890625,77.02474975585938,839.6705322265625,601.3157958984375,555.2435302734375,1353.0631103515625,201.63229370117188,1381.9002685546875,835.6101684570313,1449.7926025390625,1174.8603515625,275.5410461425781,1188.426513671875,761.6181640625,233.7990264892578,1077.411865234375,144.2123260498047,768.1532592773438,1130.337890625,775.9036254882813,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.1568627506494522,0.019607843831181526,0.01568627543747425,0.011764707043766975,0.01568627543747425,0.011764707043766975,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.01568627543747425,133.51376342773438,-34.96308517456055,-1.8217653036117554,133.51376342773438,-34.96308517456055,-1.8217653036117554,133.51376342773438,-34.96308517456055,-1.8217653036117554,133.599853515625,-34.75621795654297,-1.6051719188690186,133.599853515625,-34.75621795654297,-1.6051719188690186,133.5870361328125,-34.851802825927734,-1.6650272607803345,133.48638916015625,-34.877685546875,-1.722230315208435,133.52163696289063,-34.88188934326172,-1.6235535144805908,133.470703125,-34.891502380371094,-1.9651198387145996,133.51376342773438,-34.96308517456055,-1.8217653036117554,18.52690262809049,14.320407834794604,1.0,0.010573209975864844,7.666666895151138,0.03,15.02,64
L-1:9,16.35216352310084,8.129866832446858,3.098010983243439,5.356738171865229,7.440158173084712,1.569990771837168,6.6061973612880305,3.3144317105310055,6.39116284855705,18.241961512632052,2226.13720703125,275.9771423339844,1651.46533203125,555.28466796875,208.38455200195313,995.3023681640625,620.9896240234375,1595.5303955078125,1563.9381103515625,1419.7952880859375,1483.498291015625,102.64799499511719,1529.301513671875,1109.1976318359375,1239.216064453125,1804.6773681640625,847.8368530273438,1366.4437255859375,2261.55078125,1339.616455078125,0.12941177189350128,0.12941177189350128,0.12941177189350128,0.12941177189350128,0.12941177189350128,0.12941177189350128,0.12941177189350128,0.12941177189350128,0.12941177189350128,0.12941177189350128,0.011764707043766975,0.011764707043766975,0.011764707043766975,0.01568627543747425,0.011764707043766975,0.01568627543747425,0.01568627543747425,0.011764707043766975,0.011764707043766975,0.011764707043766975,133.61990356445313,-35.527713775634766,-1.809319019317627,133.60400390625,-35.693092346191406,-1.6050200462341309,133.8336181640625,-35.16091537475586,-2.209531545639038,133.8336181640625,-35.16091537475586,-2.209531545639038,133.87908935546875,-35.59336853027344,-2.017927646636963,133.87908935546875,-35.59336853027344,-2.017927646636963,133.69744873046875,-35.581146240234375,-1.8704233169555664,133.69744873046875,-35.581146240234375,-1.8704233169555664,133.61990356445313,-35.527713775634766,-1.809319019317627,133.61990356445313,-35.527713775634766,-1.809319019317627,10.47418040522002,9.092261383675874,1.0,0.0073426573426573424,4.666666805744171,0.0,11.4,32
L-1:10,12.152717654935426,2.3938635380321296,4.049400895751216,0.8724389076998788,4.927132478523521,0.770274489562677,2.4868341353461108,5.5916600995753445,4.219194670922772,1.4217253817968452,1355.8961181640625,12.244349479675293,921.0354614257813,928.1593017578125,742.4263305664063,1394.7396240234375,435.6860046386719,2426.65966796875,1648.7186279296875,1222.0943603515625,1773.3031005859375,34.82878494262695,1811.5469970703125,1403.094482421875,1004.7626953125,1911.01220703125,1016.2824096679688,2077.374755859375,1535.5252685546875,906.5889892578125,0.25882354378700256,0.25882354378700256,0.20784315466880798,0.21568629145622253,0.2352941334247589,0.23137256503105164,0.24313727021217346,0.24313727021217346,0.16862745583057404,0.125490203499794,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.01568627543747425,0.01568627543747425,133.74462890625,-34.982154846191406,-2.941814661026001,133.68109130859375,-34.80824279785156,-3.119523525238037,133.83901977539063,-35.3753547668457,-2.8899760246276855,133.83901977539063,-35.3753547668457,-2.8899760246276855,134.02163696289063,-35.66850280761719,-2.6332926750183105,134.02163696289063,-35.66850280761719,-2.6332926750183105,133.82290649414063,-35.569366455078125,-2.2787768840789795,133.82290649414063,-35.569366455078125,-2.2787768840789795,133.8392333984375,-35.83339309692383,-1.950577735900879,133.8392333984375,-35.83339309692383,-1.950577735900879,8.829365420005626,3.9586253577567696,1.0,0.007547709923664121,0.3333333432674408,0.0,12.43,100
