Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,16.003472322484367,15.854851861519201,11.052255025961534,3.567094638376977,1.1484664116224281,7.731609233582039,3.6004056955494446,0.9903761818268161,5.3043129726696625,9.858174824056977,1738.232177734375,181.59352111816406,1654.419921875,942.73193359375,546.3548583984375,1355.56494140625,175.30328369140625,591.8512573242188,327.6017761230469,245.01930236816406,2119.281005859375,40.347599029541016,1388.7435302734375,790.070068359375,311.0154113769531,1140.2691650390625,618.2784423828125,1687.217041015625,1144.8651123046875,734.5385131835938,0.4392157196998596,0.43137258291244507,0.43137258291244507,0.41568630933761597,0.4901961088180542,0.4941176772117615,0.49803924560546875,0.46666669845581055,0.45098042488098145,0.45098042488098145,0.4392157196998596,0.43137258291244507,0.43137258291244507,0.41568630933761597,0.4901961088180542,0.4941176772117615,0.49803924560546875,0.46666669845581055,0.45098042488098145,0.45098042488098145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.437096647620923,15.102516885088363,1.0,0.010289031620553361,7.3333335518836975,0.0,17.85,96
L-1:2,11.080513755954808,4.958524904964774,3.4301954332352627,5.121618678319694,5.857192812332905,6.00925230486299,4.749820117489766,4.686914986615626,7.741962760703172,4.748851265030763,1423.297607421875,201.70083618164062,1348.41650390625,790.5560302734375,739.3412475585938,1084.039794921875,540.681396484375,1088.6290283203125,1495.971923828125,793.3878173828125,1331.691162109375,115.87680053710938,1079.5123291015625,783.8001708984375,305.7318420410156,772.6569213867188,767.8200073242188,1458.9912109375,0.0,0.0,0.4431372880935669,0.43529415130615234,0.41568630933761597,0.4745098352432251,0.48235297203063965,0.4784314036369324,0.48235297203063965,0.4549019932746887,0.4235294461250305,0.32549020648002625,0.4431372880935669,0.43529415130615234,0.41568630933761597,0.4745098352432251,0.48235297203063965,0.4784314036369324,0.48235297203063965,0.4549019932746887,0.4235294461250305,0.32549020648002625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.948965908730203,1.3194425986435625,1.0,0.009335799859055673,4.33333346247673,0.0,15.14,36
L-1:3,4.027682111232468,2.3197102668943,2.22648013400609,3.533622869073176,11.112127510307444,5.01109894213335,5.214869063466567,5.238140967400518,10.58593442629056,4.879936535638905,2015.010986328125,126.45750427246094,1593.93701171875,1363.101806640625,375.3446350097656,1131.9075927734375,513.1047973632812,699.957763671875,900.8480224609375,669.291259765625,1244.13427734375,262.7123718261719,1022.4232177734375,873.3524169921875,423.9431457519531,1329.2828369140625,369.87799072265625,944.314453125,1114.25537109375,1331.776611328125,0.4235294461250305,0.3921568989753723,0.44705885648727417,0.40000003576278687,0.48235297203063965,0.4862745404243469,0.4745098352432251,0.45098042488098145,0.43137258291244507,0.44705885648727417,0.4235294461250305,0.3921568989753723,0.44705885648727417,0.40000003576278687,0.48235297203063965,0.4862745404243469,0.4745098352432251,0.45098042488098145,0.43137258291244507,0.44705885648727417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.227180749674244,3.7324428526058653,1.0,0.010154250082047915,1.0000000298023224,0.0,17.68,100
L-1:4,18.91795206201584,24.87951665017808,16.540617730716743,5.333111783254281,4.536908463282048,10.651030523205733,15.540630421813722,22.148944786324414,18.66598377296637,10.113194589658509,1537.8082275390625,152.27259826660156,2320.47412109375,1725.454345703125,1274.8114013671875,1788.044189453125,496.53106689453125,2528.72314453125,2243.5078125,881.5708618164062,3699.697509765625,689.2593994140625,1272.1654052734375,728.8104248046875,801.593505859375,3346.78466796875,692.95458984375,2483.216796875,967.7786865234375,1567.3992919921875,0.458823561668396,0.46666669845581055,0.45098042488098145,0.4705882668495178,0.5098039507865906,0.4745098352432251,0.4745098352432251,0.4549019932746887,0.43529415130615234,0.4117647409439087,0.458823561668396,0.46666669845581055,0.45098042488098145,0.4705882668495178,0.5098039507865906,0.4745098352432251,0.4745098352432251,0.4549019932746887,0.43529415130615234,0.4117647409439087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.547687190429349,7.141634378468624,1.0,0.005853729603729603,10.000000298023224,38.8,8.61,32
L-1:5,10.671874047101369,16.379667286495263,13.243264475818558,16.196050102997784,1.6268763230212129,1.6996732218518027,7.269580646843769,8.853846435993797,0.4857649486754673,3.523739129735916,2357.47705078125,530.943359375,2207.84912109375,1573.052978515625,524.3682250976562,1308.292724609375,142.02615356445312,843.0692138671875,630.8627319335938,753.016845703125,1213.695068359375,455.6766357421875,1036.141357421875,811.8972778320312,540.0038452148438,777.4843139648438,30.605144500732422,1777.089599609375,1064.4522705078125,1036.4158935546875,0.41960787773132324,0.4392157196998596,0.43529415130615234,0.4784314036369324,0.33725491166114807,0.4745098352432251,0.46274513006210327,0.458823561668396,0.46274513006210327,0.4549019932746887,0.41960787773132324,0.4392157196998596,0.43529415130615234,0.4784314036369324,0.33725491166114807,0.4745098352432251,0.46274513006210327,0.458823561668396,0.46274513006210327,0.4549019932746887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.794894455036966,9.486754186971844,1.0,0.00916501976284585,13.000000387430191,0.0,13.25,32
L-1:6,3.349958640210174,3.273273206581804,4.164148286469502,10.977019517172666,6.941048150036145,6.324555508823189,5.868577412242381,17.646480439853665,21.93992581240984,13.259878541519196,675.799072265625,34.0809326171875,910.271728515625,701.5661010742188,187.2433319091797,984.5121459960938,254.14291381835938,940.6316528320312,794.2733764648438,779.4030151367188,1568.3182373046875,7.180412292480469,783.6045532226562,674.1193237304688,108.06637573242188,1400.1688232421875,64.59265899658203,1101.2655029296875,962.558349609375,1385.8414306640625,0.458823561668396,0.45098042488098145,0.48235297203063965,0.49803924560546875,0.4745098352432251,0.46666669845581055,0.4705882668495178,0.4431372880935669,0.4274510145187378,0.41568630933761597,0.458823561668396,0.45098042488098145,0.48235297203063965,0.49803924560546875,0.4745098352432251,0.46666669845581055,0.4705882668495178,0.4431372880935669,0.4274510145187378,0.41568630933761597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.749603426362953,7.991070528815125,1.0,0.010703748006379585,10.000000298023224,0.0,15.34,68
L-1:7,19.324711296768918,0.532807921913072,1.0201009494200328,0.6148452429266038,4.419153742663961,2.8284272090399005,5.3491539662175915,4.259633804120287,14.265503936766155,23.72880365678712,2543.9970703125,74.96046447753906,311.3504943847656,324.8921203613281,426.7433776855469,652.2128295898438,266.4226989746094,879.7391357421875,1126.770751953125,936.5545654296875,2388.222900390625,283.8817138671875,2097.446044921875,877.233154296875,63.50522232055664,1307.3253173828125,607.1331176757812,1316.8585205078125,1861.76904296875,1155.0899658203125,0.38431376218795776,0.40392160415649414,0.40392160415649414,0.43137258291244507,0.4705882668495178,0.43529415130615234,0.4392157196998596,0.4392157196998596,0.41568630933761597,0.4117647409439087,0.38431376218795776,0.40392160415649414,0.40392160415649414,0.43137258291244507,0.4705882668495178,0.43529415130615234,0.4392157196998596,0.4392157196998596,0.41568630933761597,0.4117647409439087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.324555508823195,18.819899706125536,1.0,0.009776197085357392,5.333333492279053,0.0,16.1,64
L-1:8,14.727148461819562,10.919359436041422,11.717793668643377,18.262599696518837,26.323154671062433,20.6774171752628,19.689408347747207,9.793199229269717,5.1075228860990665,11.466026039310513,3381.689453125,243.53570556640625,1947.953125,1449.213623046875,958.2322387695312,2849.736572265625,1037.0792236328125,1981.506591796875,1555.6103515625,1309.25244140625,820.2134399414062,271.6221923828125,2634.365478515625,1537.928466796875,173.73080444335938,1272.131591796875,599.0569458007812,2513.10498046875,4047.45703125,1847.2010498046875,0.46274513006210327,0.4705882668495178,0.458823561668396,0.5333333611488342,0.4235294461250305,0.4117647409439087,0.46666669845581055,0.3686274588108063,0.4901961088180542,0.49803924560546875,0.46274513006210327,0.4705882668495178,0.458823561668396,0.5333333611488342,0.4235294461250305,0.4117647409439087,0.46666669845581055,0.3686274588108063,0.4901961088180542,0.49803924560546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.333334058523178,9.141001254730748,1.0,0.005793310463121784,17.33333384990692,-7.46,11.58,108
L-1:9,14.035669265913727,12.59581771566121,7.958185590781952,1.3285760354888905,5.686066334521586,1.666666716337204,1.8003549644856853,4.082589888224138,0.6164657413856317,7.786738826446046,1672.0880126953125,108.01200866699219,1697.0201416015625,1012.1834716796875,493.4266662597656,1066.22314453125,263.7098083496094,910.0614624023438,857.791015625,440.8343505859375,759.6514282226562,37.604007720947266,902.418701171875,509.1776123046875,146.21307373046875,780.468994140625,603.827392578125,1772.4041748046875,1286.87451171875,1002.1978759765625,0.44705885648727417,0.45098042488098145,0.46274513006210327,0.4705882668495178,0.22352942824363708,0.44705885648727417,0.4745098352432251,0.46666669845581055,0.46666669845581055,0.4705882668495178,0.44705885648727417,0.45098042488098145,0.46274513006210327,0.4705882668495178,0.22352942824363708,0.44705885648727417,0.4745098352432251,0.46666669845581055,0.46666669845581055,0.4705882668495178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.62114190205151,10.094703881844246,1.0,0.010682814992025518,6.666666865348816,0.0,15.31,4
L-1:10,3.3993464437036054,2.954172951865334,8.245388917224938,2.6534090346755854,3.4563735667322324,9.098229647119153,5.190182375779095,4.61551184625352,11.257646565203032,18.34039062035822,1535.4222412109375,8.171269416809082,753.2160034179688,542.6143188476562,455.68316650390625,1397.9378662109375,82.6194076538086,1143.170166015625,1430.731689453125,697.6300659179688,1818.90576171875,113.96735382080078,1238.255126953125,863.915771484375,838.1791381835938,1528.669921875,832.6966552734375,873.3121948242188,2133.53759765625,1918.7828369140625,0.38823533058166504,0.43137258291244507,0.4274510145187378,0.46274513006210327,0.4705882668495178,0.46274513006210327,0.46666669845581055,0.4392157196998596,0.4117647409439087,0.40392160415649414,0.38823533058166504,0.43137258291244507,0.4274510145187378,0.46274513006210327,0.4705882668495178,0.46274513006210327,0.46666669845581055,0.4392157196998596,0.4117647409439087,0.40392160415649414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.007932222728862,10.99992476579934,1.0,0.008412628227803325,4.666666805744171,0.0,13.59,68
