Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.627995350481294,1.8731279286437141,1.9328827484717501,4.194966837738723,20.097135668417543,2.2994652499637858,3.652792292152509,4.323050971168349,5.738997022424059,9.71819241392906,2119.236328125,547.8060913085938,2344.203369140625,1320.2567138671875,525.151123046875,2495.646240234375,254.93319702148438,2567.313720703125,2178.237060546875,108.4808578491211,2825.387939453125,524.253662109375,2304.427978515625,1268.655517578125,315.77935791015625,1245.5203857421875,439.7681579589844,1545.37646484375,1368.497802734375,987.6049194335938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.0470588281750679,0.03921568766236305,0.04313725605607033,0.05882353335618973,0.07058823853731155,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05882353335618973,165.9517822265625,-31.59188461303711,2.002281904220581,165.9517822265625,-31.59188461303711,2.002281904220581,165.135009765625,-30.980195999145508,1.5561318397521973,165.135009765625,-30.980195999145508,1.5561318397521973,161.885498046875,-34.858455657958984,-1.250437617301941,160.79449462890625,-36.86855697631836,-1.700766682624817,160.2357177734375,-39.68450164794922,-1.6035447120666504,160.2357177734375,-39.68450164794922,-1.6035447120666504,161.351318359375,-38.459625244140625,-1.2076445817947388,164.11981201171875,-34.93281555175781,-0.08975469321012497,4.499192907223056,7.144325785962625,-1.0,0.00540994623655914,1.5,0.0,12.65,36
L-1:2,5.170647881825087,4.068716309202081,1.6432887555209612,9.712683489981954,4.114454572961987,6.723172883347918,2.3034935147953077,4.857794236375808,5.672261158459507,10.053427814178866,3239.682861328125,780.2945556640625,3170.326416015625,2697.455810546875,495.36163330078125,2317.4111328125,281.76715087890625,3894.311767578125,1865.8997802734375,812.1781616210938,2316.76904296875,215.67030334472656,2841.450439453125,1328.2672119140625,997.6018676757812,2693.68359375,907.6090087890625,2911.961181640625,1937.906005859375,1584.7158203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.05490196496248245,0.05098039656877518,0.05098039656877518,0.062745101749897,0.06666667014360428,0.07058823853731155,0.07058823853731155,0.05882353335618973,0.05490196496248245,160.688720703125,-32.58004379272461,-0.2469867765903473,161.46551513671875,-31.560924530029297,0.04152712598443031,161.46551513671875,-31.560924530029297,0.04152712598443031,160.76629638671875,-34.452091217041016,-1.331343173980713,156.7705078125,-37.887210845947266,-4.025446891784668,156.7705078125,-37.887210845947266,-4.025446891784668,155.76318359375,-39.079185485839844,-5.220357418060303,155.76318359375,-39.079185485839844,-5.220357418060303,157.09613037109375,-37.16542434692383,-3.3774187564849854,157.09613037109375,-37.16542434692383,-3.3774187564849854,18.551589482320825,4.499148935082438,-1.0,0.004277859237536657,5.0,0.0,11.67,68
L-1:3,3.2435385221660913,3.4004174314462676,5.7574944013726155,13.895205898145884,5.936990812814189,2.27465284444553,1.7153043858677324,7.102451056520529,7.340395811688335,1.7868626539413888,1966.0164794921875,801.41064453125,3056.086181640625,2649.291015625,1897.21923828125,2441.638916015625,1188.2928466796875,2541.84912109375,2647.19873046875,1062.77734375,2187.903076171875,415.3836975097656,1775.0958251953125,1325.8795166015625,1080.5745849609375,2041.0799560546875,912.3707885742188,1903.9393310546875,4419.66357421875,2290.251953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05490196496248245,0.062745101749897,0.07058823853731155,0.062745101749897,0.05882353335618973,0.05490196496248245,160.75927734375,-33.53486633300781,2.4751250743865967,160.4732666015625,-32.55220413208008,2.3823373317718506,160.4732666015625,-32.55220413208008,2.3823373317718506,159.3309326171875,-34.87889099121094,0.8174142837524414,159.3309326171875,-34.87889099121094,0.8174142837524414,158.3701171875,-36.85968780517578,-0.16863249242305756,158.3701171875,-36.85968780517578,-0.16863249242305756,158.75384521484375,-34.91586685180664,0.7730715870857239,158.75384521484375,-34.91586685180664,0.7730715870857239,160.75927734375,-33.53486633300781,2.4751250743865967,14.116260086443754,2.288851101945844,1.0,0.004633802816901408,5.25,0.0,10.34,68
L-1:4,1.4590405883581725,5.175788371253141,1.8716164981299332,5.838807478888572,5.727427792750494,20.38721095476073,19.288145042658495,17.418877835597893,12.975240659868092,9.202748630026894,1386.1397705078125,449.35150146484375,2445.7919921875,1440.278076171875,15.86144733428955,1063.111328125,367.0328674316406,1595.369140625,990.7791748046875,617.6738891601562,1457.6826171875,64.88417053222656,1095.218994140625,976.5401000976562,188.26731872558594,907.9159545898438,220.68934631347656,1077.4141845703125,1021.54541015625,738.3450927734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05490196496248245,0.05098039656877518,0.04313725605607033,0.05098039656877518,0.062745101749897,0.07058823853731155,0.08235294371843338,0.07450980693101883,0.05882353335618973,0.05490196496248245,163.153564453125,-34.45477294921875,3.084489345550537,162.946044921875,-34.35663986206055,3.3080379962921143,158.8631591796875,-39.06032943725586,-3.3160312175750732,157.21209716796875,-41.1414794921875,-4.830240726470947,155.84429931640625,-43.89525604248047,-5.971513748168945,155.9312744140625,-45.670230865478516,-6.284533977508545,157.0498046875,-45.866817474365234,-5.780945301055908,158.811279296875,-45.388668060302734,-3.911895275115967,160.99700927734375,-40.10548782348633,-1.028900384902954,162.431396484375,-37.014984130859375,1.1623773574829102,11.702553912134148,11.318888764981203,1.0,0.008551567738118715,10.25,4.54,24.78,64
L-1:5,5.190093713403088,8.507475876182532,2.0038039436979425,2.370614651680256,1.5785733398448902,2.3682605086675035,3.8226151624751084,1.6620761686392382,4.00280669549573,8.421122170323638,1670.7099609375,459.65240478515625,1517.8995361328125,716.2621459960938,145.8336944580078,1548.479248046875,133.3436279296875,1387.173583984375,1254.5089111328125,713.7545166015625,1175.218017578125,315.1780700683594,372.4256286621094,102.0401840209961,311.37725830078125,2473.21923828125,239.5966033935547,875.0107421875,929.0775756835938,726.0061645507812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05490196496248245,0.062745101749897,0.062745101749897,0.05490196496248245,0.05098039656877518,0.0470588281750679,161.64935302734375,-34.55757141113281,5.303567886352539,160.7506103515625,-33.920719146728516,4.027254104614258,159.931884765625,-33.94392776489258,2.9259510040283203,159.22210693359375,-34.35651779174805,1.9661684036254883,158.4273681640625,-36.93610763549805,1.3019407987594604,157.5621337890625,-37.81903839111328,0.8977696299552917,157.5621337890625,-37.81903839111328,0.8977696299552917,157.48974609375,-37.5080680847168,1.0345814228057861,160.43316650390625,-36.924373626708984,2.8121705055236816,161.55108642578125,-35.28594970703125,4.122159957885742,2.106393473008964,3.2806824597075175,1.0,0.006851173020527859,0.25,0.0,16.02,36
L-1:6,8.590116641370681,21.96487614780844,19.529948097166567,0.42290451260347856,20.753776093416167,19.4491588302765,11.757295619464905,4.185213504449479,1.204973580924765,1.4967694073819413,2383.24267578125,612.1957397460938,2350.42333984375,1264.294189453125,114.01508331298828,1563.4534912109375,1249.9154052734375,1884.558349609375,2900.47412109375,1154.7303466796875,1935.8272705078125,461.1806640625,1252.1903076171875,909.5731811523438,747.9915771484375,1659.008544921875,602.0150756835938,1145.1273193359375,1354.797119140625,1198.0611572265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.05490196496248245,0.05882353335618973,0.05882353335618973,0.05882353335618973,0.05098039656877518,0.04313725605607033,150.157958984375,-47.208740234375,-1.1050121784210205,151.01730346679688,-46.18537139892578,-0.2692325711250305,149.86083984375,-46.44194030761719,-1.1747039556503296,148.5667724609375,-44.143402099609375,-1.3260647058486938,146.8724365234375,-46.71921920776367,-2.657863140106201,146.8724365234375,-46.71921920776367,-2.657863140106201,146.70257568359375,-48.43522644042969,-3.196207046508789,148.2142333984375,-47.87532424926758,-2.3459949493408203,148.2142333984375,-47.87532424926758,-2.3459949493408203,150.157958984375,-47.208740234375,-1.1050121784210205,10.452349122223747,13.441481977971248,-1.0,0.006041550474065812,0.75,0.0,12.38,64
L-1:7,7.316069685348079,6.443656093742878,13.004382199807814,15.064398447669626,12.961342674803062,2.114967449109091,8.377609095098814,5.20392520226466,4.170160426432831,2.0514296947805954,1118.2547607421875,207.33901977539062,1853.6435546875,457.985107421875,309.4441223144531,1924.4830322265625,187.32632446289062,1928.1168212890625,1114.200927734375,385.85089111328125,3343.3876953125,553.6101684570312,1425.35107421875,1135.21826171875,453.142333984375,2134.24169921875,205.51904296875,1539.857666015625,1042.158203125,348.7408142089844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.05098039656877518,0.05098039656877518,0.05490196496248245,0.062745101749897,0.05098039656877518,0.0470588281750679,0.0470588281750679,158.4698486328125,-37.54706573486328,4.014711856842041,158.4698486328125,-37.54706573486328,4.014711856842041,157.31072998046875,-37.39636993408203,2.65507173538208,154.9134521484375,-39.0240478515625,0.531198263168335,152.48870849609375,-40.754798889160156,-1.4111292362213135,151.80328369140625,-40.63271713256836,-2.4059462547302246,153.47528076171875,-40.15428924560547,-0.06990274041891098,153.47528076171875,-40.15428924560547,-0.06990274041891098,155.5399169921875,-38.36611557006836,1.8146511316299438,157.4417724609375,-37.29950714111328,3.6201884746551514,4.104041289659079,8.237780841215397,1.0,0.006780409731113957,4.75,0.0,15.13,64
L-1:8,7.943801181007059,13.100609164329267,5.5940395408471115,9.793560312631119,10.367875549365152,7.019851872546885,2.21974848842272,3.133407970727089,6.950586525875946,5.424410023485142,1381.25830078125,327.92340087890625,621.8258056640625,383.84832763671875,410.8355407714844,854.4740600585938,308.7771301269531,364.3531799316406,416.0689697265625,422.17340087890625,980.6444091796875,144.50762939453125,998.571044921875,645.8218994140625,530.4937744140625,1011.9139404296875,575.7586059570312,1434.483154296875,2285.24267578125,880.6336669921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.05098039656877518,0.062745101749897,0.062745101749897,0.06666667014360428,0.062745101749897,0.05490196496248245,0.04313725605607033,159.42132568359375,-36.13963317871094,4.7553911209106445,160.00592041015625,-35.71029281616211,4.805038928985596,159.67401123046875,-35.80315399169922,4.291634559631348,158.86712646484375,-35.755794525146484,3.722831964492798,156.966552734375,-37.007022857666016,2.5235745906829834,156.259765625,-38.267974853515625,2.3591880798339844,157.06573486328125,-38.73799514770508,3.268019437789917,157.06573486328125,-38.73799514770508,3.268019437789917,158.8931884765625,-36.25261688232422,5.369393348693848,158.8931884765625,-36.25261688232422,5.369393348693848,5.407430001845009,2.6416180255980244,1.0,0.011279137529137529,5.0,4.06,22.12,36
L-1:9,1.6220112238071134,3.228389755694687,1.0910465467617736,2.2818089174409506,1.4445472765254121,5.654436864091773,2.4291166422282124,9.296385316924232,24.994154765809462,12.405892573034663,2972.4404296875,1029.40234375,1052.1790771484375,760.27685546875,53.83587646484375,1789.8770751953125,349.72802734375,1084.2562255859375,2180.533935546875,1282.459228515625,2933.656982421875,244.85630798339844,1681.5653076171875,1308.1612548828125,1201.2303466796875,1882.62353515625,720.6336669921875,1258.0244140625,1914.280517578125,1142.275146484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.05490196496248245,0.05882353335618973,0.062745101749897,0.062745101749897,0.05490196496248245,0.0470588281750679,155.45458984375,-38.08393859863281,3.810760498046875,156.1683349609375,-38.34438705444336,3.8442251682281494,156.22857666015625,-37.37558364868164,3.2428131103515625,156.22857666015625,-37.37558364868164,3.2428131103515625,153.95849609375,-39.06074142456055,0.9036279916763306,153.95849609375,-39.06074142456055,0.9036279916763306,153.498779296875,-39.40888595581055,0.9727048873901367,153.498779296875,-39.40888595581055,0.9727048873901367,154.20770263671875,-38.534767150878906,2.688035488128662,155.45458984375,-38.08393859863281,3.810760498046875,6.904358479657976,10.044353563192528,-1.0,0.005239864014102241,6.0,0.0,11.89,4
L-1:10,2.9019204982433617,13.328925869316814,20.805438164157064,10.567401848287012,5.4366659433067275,4.854521556973369,3.265976478845613,9.349566696315817,4.700519848114049,1.4733776206647358,2463.427490234375,90.72257995605469,2930.80712890625,718.1951293945312,161.46446228027344,2533.804443359375,942.4591674804688,2297.816650390625,2686.846923828125,1703.850341796875,2545.144775390625,528.3896484375,2019.98681640625,447.03594970703125,455.1038818359375,2247.165283203125,671.5638427734375,1823.2496337890625,1555.9268798828125,1014.8263549804688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.03529411926865578,0.04313725605607033,0.0470588281750679,0.05098039656877518,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.0470588281750679,153.42401123046875,-40.529014587402344,2.1090688705444336,153.6416015625,-40.391151428222656,1.6835005283355713,153.6416015625,-40.391151428222656,1.6835005283355713,152.10028076171875,-40.96455764770508,0.13404259085655212,152.10028076171875,-40.96455764770508,0.13404259085655212,150.76708984375,-41.94287109375,-2.5474541187286377,151.3067626953125,-42.114051818847656,-1.7023744583129883,152.627685546875,-41.61693572998047,0.6457406282424927,152.627685546875,-41.61693572998047,0.6457406282424927,153.42401123046875,-40.529014587402344,2.1090688705444336,4.312952874771529,1.7178165779871593,-1.0,0.0053107606679035245,5.25,0.0,11.45,100
