Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.067530703327024,9.677635915911784,6.7262573143224955,3.2108359186782365,4.004970541957226,5.100971437699509,3.976444771663138,0.7593555579574375,5.876027491457068,1.656548618332833,671.1344604492188,19.963350296020508,636.9496459960938,690.59716796875,531.9376831054688,904.3401489257812,276.6671447753906,808.8280639648438,628.2118530273438,400.1731262207031,547.1077270507812,148.89263916015625,687.46826171875,474.8861083984375,264.8692626953125,782.757080078125,221.87857055664062,693.3297729492188,839.9636840820312,572.442626953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.03529411926865578,128.79766845703125,-29.442859649658203,-2.7389705181121826,125.24710083007812,-29.516597747802734,-2.6801917552948,122.71734619140625,-29.453468322753906,-2.405115842819214,121.45745849609375,-29.509441375732422,-2.03114652633667,123.07562255859375,-31.127859115600586,-3.3578052520751953,124.00729370117188,-32.17360305786133,-4.848869800567627,125.15228271484375,-30.863862991333008,-5.90211296081543,128.70986938476562,-29.94094467163086,-6.673636436462402,145.68478393554688,-30.544536590576172,-3.9105660915374756,132.8099365234375,-29.699481964111328,-3.2482707500457764,6.582140531765876,8.878987688040924,-1.0,0.01473521624007061,1.666666716337204,0.0,28.62,68
L-1:2,5.89338329021368,2.7185862268644847,6.061202005686063,7.123570571490006,6.270812131652495,3.765014767459879,0.7158957901845355,1.2712712304442064,3.042547317273362,13.05704715215529,27.395523071289062,48.70115661621094,1406.02197265625,849.6004028320312,640.3989868164062,1318.6455078125,348.4574890136719,1592.1568603515625,780.2744750976562,102.49563598632812,963.0790405273438,28.97265625,730.257080078125,555.8131713867188,344.8527526855469,832.108154296875,351.20977783203125,762.8450927734375,758.1646118164062,303.7558898925781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03921568766236305,123.71316528320312,-25.172426223754883,-1.7512189149856567,122.1180419921875,-25.386184692382812,-2.236295223236084,121.48971557617188,-25.764902114868164,-1.990587592124939,121.1085205078125,-25.96190071105957,-1.889697551727295,121.52685546875,-28.51465606689453,-3.9293715953826904,122.076904296875,-28.92379379272461,-5.635787010192871,122.81259155273438,-29.53940200805664,-7.576773166656494,123.62554931640625,-29.448043823242188,-8.256619453430176,124.83642578125,-28.847822189331055,-8.24557113647461,125.13201904296875,-28.01791000366211,-7.244264602661133,7.858829876213667,6.7620497184481145,-1.0,0.013647727272727271,2.3333334028720856,0.0,24.02,100
L-1:3,6.226799708151226,0.896344452843857,3.131454030501753,10.79434700394206,5.225936649648678,1.9169277639975033,0.9246328029301737,9.638412140548553,6.860945948150049,1.9622591541095606,732.2953491210938,5.473365306854248,686.6688842773438,431.54461669921875,514.7039794921875,1026.7652587890625,183.66493225097656,1983.0401611328125,909.2966918945312,481.4249267578125,1472.8536376953125,93.35533905029297,197.28341674804688,509.7528381347656,295.9051818847656,764.2029418945312,287.8531188964844,783.3419799804688,788.7943725585938,463.88702392578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.04313725605607033,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.04313725605607033,116.42910766601562,-23.5640869140625,-4.4720964431762695,113.80108642578125,-23.752656936645508,-4.187618255615234,113.3284912109375,-23.929370880126953,-4.334791660308838,113.3284912109375,-23.929370880126953,-4.334791660308838,114.10964965820312,-23.99458885192871,-4.826051712036133,114.67434692382812,-24.570348739624023,-5.900157928466797,116.4969482421875,-24.980653762817383,-7.86030912399292,119.08395385742188,-24.731481552124023,-8.924800872802734,118.7210693359375,-24.681394577026367,-9.054656982421875,116.7862548828125,-23.475112915039062,-5.125979423522949,1.4026871032307933,7.443746188154222,-1.0,0.01388586956521739,3.6666667759418488,0.0,24.09,68
L-1:4,19.149365957457384,2.8900416417655475,2.5308367942134242,4.045570716705423,0.9452649452351836,6.906677469398535,6.761867343835628,4.4432755106703326,4.4268016247638835,6.365516577287795,1150.9071044921875,18.211408615112305,984.0316162109375,902.574462890625,508.60736083984375,1947.45751953125,527.7517700195312,1531.6446533203125,1137.7410888671875,769.6198120117188,1262.7979736328125,52.70637130737305,1462.5341796875,580.9461059570312,580.2548217773438,1543.969482421875,536.3795776367188,1566.72314453125,1046.8206787109375,969.7083129882812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,124.5828857421875,-22.674789428710938,-4.668707847595215,115.54815673828125,-23.23904800415039,-1.832945466041565,116.12130737304688,-22.939245223999023,-1.7422841787338257,116.12130737304688,-22.939245223999023,-1.7422841787338257,118.58554077148438,-23.252548217773438,-2.1589908599853516,119.55526733398438,-24.149456024169922,-3.2940969467163086,121.9610595703125,-24.340959548950195,-4.962643146514893,124.27529907226562,-24.24381446838379,-6.251786708831787,125.53125,-23.730558395385742,-6.406937122344971,125.57562255859375,-23.401517868041992,-5.694632530212402,10.746249946793318,15.000583453153453,-1.0,0.009554077358955408,4.33333346247673,5.57,22.16,100
L-1:5,5.434191720347098,4.035389875570742,6.7573280020967506,1.0087178027912598,7.472581868701911,0.5433796100845069,5.695576388647301,4.149856892121172,4.641380548728333,1.5178576162885238,1043.8001708984375,87.26764678955078,793.4028930664062,619.5895385742188,546.0626220703125,1254.93701171875,268.65399169921875,1194.91748046875,723.1875610351562,558.7930297851562,803.0423583984375,117.43212127685547,639.8707275390625,653.152099609375,184.3811492919922,854.3653564453125,330.8557434082031,1009.240966796875,714.7020263671875,809.8897094726562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,140.1409912109375,-22.775991439819336,-6.406765937805176,139.09783935546875,-22.868072509765625,-6.287130355834961,138.155029296875,-22.683103561401367,-6.2156453132629395,136.60205078125,-23.5095272064209,-5.07904052734375,136.60205078125,-23.5095272064209,-5.07904052734375,137.822265625,-24.162519454956055,-6.245803356170654,140.1622314453125,-24.526586532592773,-7.507031440734863,141.5152587890625,-23.664634704589844,-7.790677070617676,141.5152587890625,-23.664634704589844,-7.790677070617676,141.29266357421875,-22.93142318725586,-7.2481279373168945,3.652746530884597,8.206964594253577,-1.0,0.012130681818181818,0.3333333432674408,0.0,20.13,100
L-1:6,2.8486680680114715,6.379508042428373,1.9123000959084182,13.211777926436312,4.9219557292322875,3.6166844099129305,4.586631444336032,6.268898985481112,8.201965133683009,3.432114809869954,676.6876220703125,30.077953338623047,591.74853515625,503.42816162109375,656.5049438476562,987.6683349609375,498.77764892578125,488.22918701171875,684.7241821289062,376.5272216796875,1003.0089111328125,164.78602600097656,354.7893981933594,635.6699829101562,466.37042236328125,957.760009765625,280.1853332519531,2325.39892578125,948.0040283203125,448.11383056640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.0470588281750679,0.03921568766236305,0.03921568766236305,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,139.65310668945312,-23.083158493041992,-7.920840740203857,139.1080322265625,-22.625808715820312,-7.187397003173828,138.54583740234375,-22.601682662963867,-6.930506229400635,138.43994140625,-22.53603744506836,-6.457574844360352,139.12942504882812,-23.258010864257812,-7.047224521636963,138.4298095703125,-24.50165367126465,-8.392298698425293,139.55548095703125,-24.021528244018555,-9.051983833312988,139.8770751953125,-23.968090057373047,-9.180429458618164,139.8770751953125,-23.968090057373047,-9.180429458618164,139.25372314453125,-23.506404876708984,-9.374982833862305,7.605785657653679,6.105737497371323,-1.0,0.012101437165775402,0.6666666865348816,0.0,20.69,100
L-1:7,2.5291839162914656,5.148269099495593,0.9134731923746862,1.3636399043213192,5.481307024735141,9.9865487871206,0.5361178290406989,5.810004531393029,5.0320047653504565,9.122987495834701,1180.0684814453125,440.4306335449219,454.9114685058594,266.7986755371094,2701.96826171875,4696.31591796875,500.6105041503906,1074.9534912109375,970.1773071289062,604.3275756835938,1109.6090087890625,126.92168426513672,757.1366577148438,507.0272216796875,83.88892364501953,1277.785400390625,107.0459213256836,1387.439697265625,879.6427612304688,573.3298950195312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.03529411926865578,128.2752685546875,-20.911231994628906,-6.091238975524902,126.63327026367188,-21.141088485717773,-5.167107105255127,129.833984375,-20.055723190307617,-3.324756622314453,129.90814208984375,-21.18000030517578,-4.119856834411621,131.56478881835938,-22.562917709350586,-5.055096626281738,132.99462890625,-23.1691837310791,-6.574085235595703,133.1744384765625,-22.892467498779297,-7.605143070220947,133.00555419921875,-22.52574348449707,-8.652117729187012,131.85769653320312,-22.24718475341797,-8.476099014282227,130.2872314453125,-21.650249481201172,-7.58195686340332,6.007421674447766,3.632055034248848,-1.0,0.011168181818181817,2.3333334028720856,0.0,21.06,36
L-1:8,7.443269026716429,4.9697126333711665,2.3905272574190874,11.65624643745121,2.240226097064712,1.976229826296807,6.8994382613375045,9.614999550668456,8.869890172604888,2.8112418446298433,1333.8690185546875,263.34295654296875,1051.2396240234375,768.2706909179688,178.99114990234375,1856.9979248046875,460.5924377441406,1775.0313720703125,1457.3466796875,1005.3419189453125,1363.3494873046875,27.358842849731445,1059.983642578125,673.7535400390625,41.46261978149414,944.8023681640625,855.3095703125,1998.73095703125,769.36962890625,469.1700744628906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,129.01419067382812,-23.36879539489746,-4.614546298980713,129.0281982421875,-23.149242401123047,-4.6665520668029785,129.55386352539062,-23.03187370300293,-4.496716499328613,131.30245971679688,-23.101646423339844,-4.371906757354736,131.30245971679688,-23.101646423339844,-4.371906757354736,133.271240234375,-24.15338134765625,-5.394101142883301,135.24249267578125,-23.644672393798828,-6.359469890594482,135.24249267578125,-23.644672393798828,-6.359469890594482,136.52713012695312,-23.2357120513916,-6.578934192657471,135.23980712890625,-22.957366943359375,-6.0508928298950195,7.415614385160996,7.06605054046117,-1.0,0.008991861179361179,0.3333333432674408,5.01,16.73,100
L-1:9,1.7945034372446238,0.356750412180586,2.3967700138736143,3.9519578794592065,4.2106544950750315,0.2915860106027432,3.32944927089616,0.690256175760183,2.035851106323128,5.4570544162291235,666.3214111328125,58.95722579956055,907.1161499023438,470.463134765625,515.1546630859375,1463.025390625,450.6471252441406,558.0241088867188,1102.8492431640625,559.5592651367188,1308.1324462890625,206.20587158203125,1121.1959228515625,961.6140747070312,299.53857421875,1109.0875244140625,216.12628173828125,1283.07861328125,1246.9176025390625,679.8553466796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.04313725605607033,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,144.0052490234375,-23.522459030151367,-7.767895698547363,143.538818359375,-23.513660430908203,-7.622195720672607,142.95013427734375,-23.512062072753906,-7.407167911529541,143.00335693359375,-23.72072982788086,-7.103085041046143,142.18197631835938,-24.235801696777344,-7.0976996421813965,143.16754150390625,-24.34939956665039,-8.32962417602539,143.16754150390625,-24.34939956665039,-8.32962417602539,144.4615478515625,-24.18938636779785,-8.537687301635742,144.90631103515625,-23.65423011779785,-8.598204612731934,143.96868896484375,-23.394620895385742,-8.245160102844238,5.806507033320852,8.962057520176273,-1.0,0.011791773367477592,2.6666667461395264,0.0,21.05,108
L-1:10,0.9220111108897775,1.2293535499105004,4.6343233283243395,6.1332635000508295,2.5269183590855406,0.9092989944843564,2.800395838254086,1.4217085838275056,2.434579290899271,0.7820642943559816,330.31707763671875,12.178287506103516,1427.852783203125,1352.3204345703125,261.3564147949219,1131.330810546875,334.61895751953125,1152.7498779296875,633.5675048828125,810.5875244140625,819.8164672851562,139.49403381347656,661.176025390625,363.4901123046875,208.35755920410156,933.1727294921875,366.9946594238281,1013.0350341796875,603.12255859375,485.0380554199219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03921568766236305,139.80413818359375,-21.126697540283203,-8.071961402893066,134.92849731445312,-20.697816848754883,-6.3923468589782715,134.789794921875,-20.886293411254883,-6.327546119689941,134.789794921875,-20.886293411254883,-6.327546119689941,135.60595703125,-21.28693962097168,-6.348775386810303,136.69671630859375,-21.44743537902832,-7.020685195922852,137.6083984375,-21.415857315063477,-7.722933292388916,138.9857177734375,-21.299320220947266,-8.275675773620605,139.76025390625,-21.03295135498047,-8.448054313659668,139.76025390625,-21.03295135498047,-8.448054313659668,6.906064888444258,5.9417754208733164,-1.0,0.013567631964809382,1.3333333730697632,0.0,21.15,100
