Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.211418779555389,4.298963287215435,2.471934517527103,1.4212652159018595,1.5173159344181617,3.972719051495078,0.6677854077566885,2.7532660031829477,2.842913039368981,8.59184454149191,716.7296142578125,0.8959025740623474,475.5040283203125,571.0570068359375,315.037841796875,674.4884033203125,206.73379516601563,553.6572875976563,526.0098876953125,317.68414306640625,822.787109375,47.02981948852539,518.7646484375,503.0473937988281,248.587890625,755.960205078125,111.38563537597656,723.0343627929688,123.29518127441406,114.55279541015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.26300048828125,-37.82500076293945,25.28499984741211,161.08099365234375,-38.00299835205078,25.391000747680664,160.88400268554688,-38.055999755859375,25.489999771118164,160.91900634765625,-38.13999938964844,25.566999435424805,160.90199279785156,-38.30699920654297,25.607999801635742,160.90199279785156,-38.30699920654297,25.607999801635742,160.95399475097656,-38.41400146484375,25.809999465942383,160.6929931640625,-38.632999420166016,25.972999572753906,160.6929931640625,-38.632999420166016,25.972999572753906,161.45700073242188,-37.547000885009766,25.152999877929688,5.112440246568757,2.2160384423612993,-1.0,0.023681239143022583,4.5,0.0,23.37,32
L-1:2,2.5318979455746335,5.088181726741832,0.7318671207503261,2.669926901695013,1.879482172264138,4.368317980328402,2.649119454110001,8.30296215895027,7.0178412010464255,3.984067357157589,837.1687622070313,53.29821014404297,482.79473876953125,226.1378173828125,46.69768524169922,592.5028686523438,80.95539855957031,183.36715698242188,525.3592529296875,407.08392333984375,982.7531127929688,179.48643493652344,1078.327392578125,644.2634887695313,389.3056335449219,886.9854125976563,444.1669006347656,1039.486083984375,742.1392822265625,405.8466796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.7270050048828,-41.465999603271484,26.31800079345703,156.60699462890625,-41.70000076293945,26.309999465942383,156.46200561523438,-41.83300018310547,26.3799991607666,156.45599365234375,-41.970001220703125,26.38599967956543,156.35400390625,-42.130001068115234,26.35099983215332,156.27499389648438,-42.327999114990234,26.304000854492188,158.2270050048828,-40.25899887084961,26.304000854492188,157.70899963378906,-40.694000244140625,26.28700065612793,157.70899963378906,-40.694000244140625,26.28700065612793,157.13900756835938,-41.10599899291992,26.312000274658203,9.591451060179342,7.806216250000623,-1.0,0.0177046783625731,3.5,0.0,19.03,36
L-1:3,5.240515664251325,4.744182057870688,3.4252080637822235,3.1824886057113315,7.491374362669672,10.21620250207061,8.820577047498913,8.10014872295739,4.600818951076847,3.3325511222389546,893.5421142578125,271.77056884765625,459.2119140625,884.7077026367188,273.9052429199219,622.8379516601563,478.3415832519531,682.0287475585938,650.41259765625,550.052490234375,997.7806396484375,148.63516235351563,506.2927551269531,218.45523071289063,281.9792175292969,861.3388061523438,155.080078125,671.1138916015625,654.9026489257813,312.4327392578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.7429962158203,-38.404998779296875,28.483999252319336,154.63699340820313,-37.95199966430664,28.7450008392334,154.62899780273438,-37.527000427246094,28.9689998626709,155.4969940185547,-41.64799880981445,27.325000762939453,155.63099670410156,-41.02399826049805,27.507999420166016,155.34100341796875,-40.06700134277344,27.767000198364258,155.1840057373047,-39.3849983215332,28.025999069213867,155.1840057373047,-39.3849983215332,28.025999069213867,154.93800354003906,-38.867000579833984,28.261999130249023,154.7429962158203,-38.404998779296875,28.483999252319336,4.492383946912477,8.66719011235135,-1.0,0.017510133178922988,3.0,0.0,17.28,100
L-1:4,13.890021408337082,8.349233100466618,9.127415184560387,20.646846025804493,23.664813754903737,6.756868182080012,1.8415109716938238,1.5053786347844649,4.827970050207566,4.112742094614112,593.7149047851563,43.58492660522461,471.85595703125,528.250244140625,390.8780517578125,833.3245849609375,214.66542053222656,664.7440185546875,553.5474853515625,650.6220703125,617.4400634765625,123.9146499633789,342.4784240722656,403.4659118652344,146.61358642578125,663.369384765625,150.4459991455078,542.193603515625,267.87158203125,423.1745300292969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.48399353027344,-33.80699920654297,29.121000289916992,151.52099609375,-33.73400115966797,29.141000747680664,151.7429962158203,-33.65999984741211,29.180999755859375,151.85699462890625,-33.58700180053711,29.208999633789063,151.82899475097656,-33.50299835205078,29.216999053955078,151.82899475097656,-33.50299835205078,29.216999053955078,151.73300170898438,-33.590999603271484,29.2189998626709,151.80099487304688,-33.92100143432617,29.070999145507813,151.5229949951172,-33.900001525878906,29.024999618530273,151.3470001220703,-33.867000579833984,29.048999786376953,1.7697699422801116,6.076300050238515,-1.0,0.017030551415797318,8.0,5.0,19.59,44
L-1:5,12.577737437964942,3.497929607642362,7.553475398907493,1.1386485038431444,12.788123445007631,3.9809682045354826,1.3301013554234715,5.031279696266231,2.922910234276569,6.185853060747972,473.55572509765625,87.4404296875,726.453857421875,859.9110107421875,310.524658203125,984.2584228515625,181.80604553222656,737.9055786132813,431.5928039550781,432.6505126953125,923.1396484375,127.27651977539063,579.7523803710938,476.3315124511719,218.6113739013672,856.9988403320313,156.9674530029297,1093.3623046875,818.675048828125,450.5039978027344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.79100036621094,-37.47600173950195,29.57200050354004,157.36099243164063,-37.41699981689453,29.58799934387207,157.81900024414063,-37.191001892089844,29.677000045776367,158.38400268554688,-36.95600128173828,29.69499969482422,158.38400268554688,-36.95600128173828,29.69499969482422,158.38299560546875,-36.82699966430664,29.656999588012695,158.38299560546875,-36.82699966430664,29.656999588012695,158.37399291992188,-36.96699905395508,29.698999404907227,156.01400756835938,-37.303001403808594,29.628999710083008,156.33799743652344,-37.41699981689453,29.594999313354492,3.039601833732115,2.0795024085397795,-1.0,0.014547502047502048,1.5,0.0,20.3,76
L-1:6,0.955433945497585,4.769376892197719,7.325512600294727,3.419933586726549,5.4238550283825315,7.997453745162787,5.3109826830029645,2.4776204575924714,2.343746724356764,7.271093837549617,867.2615356445313,133.77728271484375,578.9880981445313,789.015869140625,122.66156005859375,449.22210693359375,92.26051330566406,543.427978515625,341.3916931152344,269.6022644042969,887.3949584960938,97.724853515625,1096.7528076171875,812.5490112304688,342.04913330078125,1019.2841186523438,264.7041320800781,865.8043823242188,197.1045379638672,284.7433776855469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0050048828125,-37.71500015258789,30.520000457763672,154.85299682617188,-37.60200119018555,30.691999435424805,154.6649932861328,-37.46099853515625,30.805999755859375,154.61700439453125,-37.31100082397461,30.924999237060547,157.4600067138672,-38.202999114990234,29.761999130249023,157.08999633789063,-37.891998291015625,29.716999053955078,156.4029998779297,-37.560001373291016,29.96500015258789,156.4029998779297,-37.560001373291016,29.96500015258789,155.8730010986328,-37.527000427246094,30.125,155.25900268554688,-37.6879997253418,30.395999908447266,3.5577367485797993,8.018219849342728,-1.0,0.01585680751173709,3.5,0.0,21.23,76
L-1:7,1.419569866841868,4.3016358843621365,8.437120249918756,4.164454517997129,1.9455727020117295,4.79445449249273,6.372277054860094,8.448912004273659,3.7591298906557715,2.259670647132542,752.53662109375,4.216779708862305,622.7163696289063,422.0957946777344,271.5673828125,909.0966186523438,257.69378662109375,592.6869506835938,484.3349304199219,428.0425720214844,888.4755249023438,83.8825454711914,947.2952880859375,756.3507690429688,297.311767578125,745.6117553710938,118.28897857666016,1061.3292236328125,493.5362243652344,473.7301330566406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.31100463867188,-43.27899932861328,26.083999633789063,155.7689971923828,-43.7859992980957,25.610000610351563,156.20799255371094,-44.21799850463867,25.011999130249023,156.93499755859375,-44.54899978637695,24.45599937438965,157.44000244140625,-44.939998626708984,23.91900062561035,157.8350067138672,-45.38600158691406,23.562000274658203,154.54100036621094,-39.62799835205078,28.863000869750977,154.69400024414063,-40.78099822998047,28.0,154.69400024414063,-40.78099822998047,28.0,154.78500366210938,-41.78900146484375,27.277999877929688,16.071442098055027,9.09895523909356,-1.0,0.01621559633027523,1.0,0.0,22.22,32
L-1:8,4.317835041760769,5.438408326904998,10.053696708618213,22.786377982787464,26.36538317579197,6.275938508575929,9.915263060830906,14.179882982610273,12.88284577570729,3.775625751087182,176.25552368164063,58.78988265991211,1116.2735595703125,869.4649047851563,516.430908203125,597.8260498046875,241.64041137695313,1098.8245849609375,1485.4549560546875,452.84130859375,1309.56640625,464.29925537109375,901.123291015625,990.4812622070313,169.70225524902344,891.72119140625,309.2093505859375,1142.413818359375,387.0434875488281,417.13323974609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.19900512695313,-41.17300033569336,23.722000122070313,167.17799377441406,-40.82500076293945,23.82900047302246,167.17799377441406,-40.82500076293945,23.82900047302246,167.28500366210938,-40.470001220703125,23.84600067138672,167.0570068359375,-40.183998107910156,23.82900047302246,167.0570068359375,-40.183998107910156,23.82900047302246,166.65699768066406,-40.1609992980957,23.972999572753906,166.65699768066406,-40.1609992980957,23.972999572753906,166.0469970703125,-40.2130012512207,24.18199920654297,166.0469970703125,-40.2130012512207,24.18199920654297,8.628866155061012,15.6868727968643,-1.0,0.012227272727272727,8.0,8.55,16.14,100
L-1:9,11.883744378642255,9.853895692427923,1.4645030801922307,1.9156959181120736,4.90055115599441,3.869485155708718,4.478821040768095,7.9928727127186665,2.413728325608193,6.660514148276812,635.3610229492188,103.74439239501953,732.9323120117188,400.8813781738281,528.0963134765625,869.1224365234375,116.62567901611328,557.2782592773438,435.03118896484375,401.6365051269531,534.044677734375,76.16645050048828,1356.3297119140625,667.9174194335938,195.38491821289063,794.390869140625,71.56375122070313,836.4517822265625,817.4669189453125,404.2729797363281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.36900329589844,-36.95399856567383,23.46500015258789,162.36900329589844,-36.95399856567383,23.46500015258789,162.2760009765625,-36.7859992980957,23.655000686645508,162.15899658203125,-36.571998596191406,23.851999282836914,162.23899841308594,-36.308998107910156,24.070999145507813,162.24200439453125,-36.01900100708008,24.288999557495117,162.24200439453125,-36.01900100708008,24.288999557495117,162.35699462890625,-35.821998596191406,24.52899932861328,162.53500366210938,-37.23899841308594,23.158000946044922,162.531005859375,-37.10499954223633,23.267000198364258,5.277673781672296,3.245579592055216,1.0,0.0156344696969697,3.5,0.0,16.51,76
L-1:10,2.5766464451798607,2.1030828386807188,4.789451151772836,4.187257841398509,1.4793434446092184,2.8224741640890385,2.4795626454327704,5.615423878441506,7.063695011591852,7.485668891872874,194.1439666748047,29.27003288269043,0.0,0.0,291.031982421875,1327.572021484375,95.60205841064453,374.7287902832031,931.5501708984375,817.6205444335938,849.9970703125,96.03275299072266,238.2088623046875,201.9843292236328,65.11278533935547,798.0999755859375,185.97718811035156,665.6566772460938,490.4021301269531,420.0260314941406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.38099670410156,-34.891998291015625,24.36199951171875,162.29400634765625,-37.42599868774414,23.26300048828125,162.1750030517578,-37.25899887084961,23.415000915527344,162.23199462890625,-36.99800109863281,23.52400016784668,162.19400024414063,-36.67900085449219,23.625,162.1699981689453,-35.77899932861328,23.538999557495117,162.16299438476563,-35.37300109863281,23.41699981689453,162.0279998779297,-35.18000030517578,23.511999130249023,161.71299743652344,-35.05799865722656,23.690000534057617,161.58900451660156,-34.9900016784668,23.979000091552734,5.355657391617734,4.167965657598871,-1.0,0.017025941230486688,0.5,0.0,21.19,44
L-1:11,1.0433111192535016,7.179784569161384,4.92133578829061,1.354415876315688,3.2239559863762146,2.3660138444549785,4.455992344494825,0.9258273435661514,7.997779887557373,1.3699386280112247,797.52099609375,173.9673309326172,538.3306274414063,370.4401550292969,110.31916809082031,642.4478759765625,173.1306915283203,574.4754028320313,542.5772705078125,451.5389709472656,788.8374633789063,97.19955444335938,620.5662841796875,480.2536315917969,464.26446533203125,827.5247802734375,328.5374450683594,850.79150390625,658.1776733398438,230.15057373046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.6750030517578,-38.13800048828125,24.66699981689453,159.6750030517578,-38.13800048828125,24.66699981689453,159.41700744628906,-38.7859992980957,24.756000518798828,158.90899658203125,-39.3489990234375,24.638999938964844,161.5749969482422,-33.66699981689453,25.20199966430664,161.23500061035156,-34.45000076293945,24.979999542236328,160.8470001220703,-35.375,24.76799964904785,160.8470001220703,-35.375,24.76799964904785,160.5030059814453,-36.387001037597656,24.636999130249023,160.0989990234375,-37.32899856567383,24.645999908447266,1.817131759292655,7.1712199231583815,-1.0,0.014935064935064933,4.0,0.0,18.4,32
L-1:12,8.589341750705145,8.179597676952557,2.1778670645524714,14.067159993579642,36.47357896388622,25.277391487205314,2.658020149290081,3.310060766439478,2.294798646792007,4.426793019359447,685.6465454101563,4.8027472496032715,422.6046447753906,457.5091552734375,288.2640686035156,1538.7205810546875,429.5149230957031,2154.75439453125,1136.45751953125,1041.024658203125,1336.1846923828125,202.1168975830078,739.5474243164063,275.9844665527344,200.5750274658203,1047.5323486328125,178.07655334472656,977.2405395507813,935.16748046875,448.44549560546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.03799438476563,-37.11000061035156,23.893999099731445,165.03799438476563,-37.11000061035156,23.893999099731445,164.9600067138672,-36.689998626708984,24.035999298095703,164.9600067138672,-36.689998626708984,24.035999298095703,164.98399353027344,-36.27899932861328,24.156999588012695,164.9929962158203,-35.875999450683594,24.360000610351563,165.16200256347656,-38.229000091552734,23.604000091552734,165.197998046875,-37.85200119018555,23.61199951171875,165.197998046875,-37.85200119018555,23.61199951171875,165.0679931640625,-37.48500061035156,23.716999053955078,3.374033238801094,8.501527289844809,-1.0,0.011935736677115987,10.0,4.06,15.23,32
L-1:13,9.385341886808389,10.836572943630575,18.479131366165966,20.647552994970113,6.75002168028752,2.2069009297219506,4.159368885249619,6.523619091198487,3.796072257128542,5.768873369335267,944.5211791992188,36.80446243286133,908.9915771484375,1181.7882080078125,92.9220962524414,491.50469970703125,3.5233824253082275,655.9209594726563,466.0105285644531,331.13970947265625,619.218505859375,95.626708984375,989.9031372070313,587.0473022460938,153.21929931640625,792.3489379882813,409.6067810058594,1331.785400390625,1302.6002197265625,1202.65234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.625,-37.01100158691406,27.768999099731445,161.00999450683594,-37.23899841308594,27.952999114990234,161.00999450683594,-37.23899841308594,27.952999114990234,160.6790008544922,-37.40399932861328,28.14299964904785,160.21499633789063,-37.358001708984375,28.385000228881836,159.92300415039063,-37.13399887084961,28.6560001373291,159.66700744628906,-36.77899932861328,28.91699981689453,159.38699340820313,-36.308998107910156,29.21299934387207,159.29100036621094,-36.0099983215332,29.447999954223633,161.625,-37.01100158691406,27.768999099731445,8.72345464738643,12.570684504314126,1.0,0.013863636363636363,6.5,0.0,15.86,64
L-1:14,2.149291520360506,6.869577617877047,3.046457994072269,0.9241424244294283,5.611741472152311,7.419881034895827,8.056459266531544,4.027624232270695,4.829410767359951,3.807735966809374,960.33740234375,103.15560150146484,272.91497802734375,192.62973022460938,740.8639526367188,1805.1080322265625,75.51065063476563,750.16650390625,990.987060546875,338.8020935058594,1542.59130859375,146.4967498779297,929.7831420898438,529.3155517578125,476.41864013671875,965.4623413085938,362.665283203125,509.1673889160156,872.7551879882813,890.5149536132813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0709991455078,-36.39799880981445,26.211000442504883,161.03199768066406,-36.374000549316406,26.416000366210938,161.28399658203125,-36.23699951171875,26.66200065612793,159.6790008544922,-38.11399841308594,25.29800033569336,159.97300720214844,-37.65700149536133,25.572999954223633,159.97300720214844,-37.65700149536133,25.572999954223633,160.3040008544922,-37.15299987792969,25.764999389648438,160.697998046875,-36.7140007019043,25.905000686645508,161.01499938964844,-36.41299819946289,26.031999588012695,161.01499938964844,-36.41299819946289,26.031999588012695,9.781167400241477,6.750999963242128,1.0,0.013000000000000001,2.5,0.0,17.16,68
