Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.864815416892654,4.63881249540534,7.357807472163451,9.774490202038226,4.471456888345369,2.3229409126254987,2.36972251862356,1.2370508017754953,2.352525588333682,6.038994172515463,1074.541015625,21.616491317749023,641.6369018554688,430.54913330078125,183.59115600585938,969.7518310546875,139.93313598632812,821.447021484375,1087.82666015625,651.9562377929688,1123.7479248046875,142.01519775390625,923.506103515625,520.7139282226562,400.8963928222656,1052.0960693359375,24.491743087768555,963.5624389648438,911.3104858398438,370.7921142578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,68.53384399414062,-38.66489028930664,-7.14560604095459,69.01446533203125,-37.15986633300781,-5.174154281616211,68.174560546875,-41.451290130615234,-9.54663372039795,68.46926879882812,-42.049774169921875,-10.190759658813477,68.869384765625,-43.18128204345703,-11.818458557128906,69.32684326171875,-43.74473571777344,-13.516748428344727,69.89996337890625,-43.59726333618164,-13.765640258789062,69.89996337890625,-43.59726333618164,-13.765640258789062,69.57516479492188,-42.56831359863281,-12.234414100646973,68.7947998046875,-40.65001678466797,-10.208025932312012,11.860191075326181,10.317903199990344,1.0,0.012190580503833516,0.3333333432674408,0.0,19.08,36
L-1:2,4.675314885916551,6.407149083018965,6.807626040951168,0.42324473416654507,3.4622973235213905,1.204033790633754,2.3379667545397567,6.46743364190307,7.7043398707779085,3.940909757956329,1367.34521484375,295.6083068847656,930.8094482421875,735.6288452148438,216.44735717773438,1155.1181640625,574.9725952148438,1459.570068359375,586.0113525390625,669.1026611328125,1778.344482421875,213.86412048339844,855.2739868164062,1021.5530395507812,453.1127014160156,1180.5726318359375,251.32034301757812,1109.0968017578125,998.9539794921875,1165.2576904296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,65.5177001953125,-38.292842864990234,-8.523564338684082,65.15252685546875,-38.4954833984375,-7.362220764160156,65.42337036132812,-39.11445617675781,-7.818469524383545,66.59213256835938,-39.73390579223633,-8.726029396057129,66.59213256835938,-39.73390579223633,-8.726029396057129,67.09088134765625,-40.23495101928711,-9.887534141540527,67.45770263671875,-40.29008865356445,-9.784148216247559,67.45770263671875,-40.29008865356445,-9.784148216247559,66.65216064453125,-39.14255905151367,-10.382345199584961,65.5177001953125,-38.292842864990234,-8.523564338684082,14.960305716639802,1.7765430751947644,1.0,0.009120402498265094,0.6666666865348816,0.0,15.02,36
L-1:3,8.393217700873842,5.545759256437054,8.997800919043923,5.234439522912686,5.260862409977012,5.2277666360434925,4.779564473807487,3.839147553238159,6.296269805619125,7.4449816082075735,2607.639892578125,196.5377655029297,308.5401611328125,240.81234741210938,439.6205139160156,982.8327026367188,346.8135681152344,1241.4669189453125,1032.7144775390625,1046.9013671875,1753.57373046875,107.8927230834961,1338.183349609375,1132.5206298828125,508.2111511230469,1330.0670166015625,304.7286376953125,1354.04736328125,1464.0457763671875,1277.4677734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,68.08221435546875,-32.69572067260742,-4.027710914611816,68.44903564453125,-32.38337326049805,-3.0219075679779053,67.66754150390625,-36.82197189331055,-7.18368673324585,68.06045532226562,-38.254146575927734,-8.66579532623291,68.06045532226562,-38.254146575927734,-8.66579532623291,68.62057495117188,-39.271446228027344,-10.493047714233398,68.62057495117188,-39.271446228027344,-10.493047714233398,68.80670166015625,-38.612361907958984,-10.248720169067383,67.9005126953125,-36.653656005859375,-8.421704292297363,67.9005126953125,-36.653656005859375,-8.421704292297363,7.679733648257349,6.081703435015261,1.0,0.00787584323803405,5.6666668355464935,0.0,14.01,100
L-1:4,2.7647286820232773,5.2515299698463,2.7344677302555147,17.823457416433325,19.27613387131569,12.57421031002307,10.019075258388787,8.23983470285442,24.02296574546948,17.031386764088246,1786.3233642578125,279.0987548828125,1131.1494140625,686.6893310546875,1085.0052490234375,1114.7479248046875,420.58953857421875,1691.850341796875,1424.0948486328125,997.6648559570312,2416.7275390625,32.902774810791016,1232.329345703125,1284.0113525390625,10.746018409729004,118.5731201171875,608.7554321289062,1381.565185546875,641.2568969726562,883.5888061523438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.02352941408753395,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,67.980224609375,-33.98324203491211,-5.462535858154297,68.08197021484375,-34.429988861083984,-5.367702960968018,68.61309814453125,-34.516788482666016,-4.78739595413208,69.30502319335938,-35.158687591552734,-6.162195682525635,70.34130859375,-35.84703826904297,-7.758592128753662,70.34130859375,-35.84703826904297,-7.758592128753662,70.54360961914062,-35.49272537231445,-8.134428024291992,70.51507568359375,-34.71270751953125,-8.150318145751953,68.07894897460938,-35.04293441772461,-6.960982799530029,68.07894897460938,-35.04293441772461,-6.960982799530029,11.015855576088764,13.823083660031193,1.0,0.0069164098613251155,3.333333432674408,4.09,15.39,100
L-1:5,9.573628980187571,5.460396602349438,10.225287975724113,7.1427249216222775,8.258675344128706,6.123605488029206,2.8814514729197858,5.812415748326169,7.295770291703564,6.692833612848294,1324.25927734375,211.54161071777344,1141.46337890625,541.6085205078125,346.6211242675781,1280.36572265625,449.3346862792969,1136.1439208984375,562.755126953125,756.4325561523438,1526.03125,281.0245361328125,1081.1837158203125,969.789306640625,317.91534423828125,1374.1522216796875,163.95730590820312,1186.5384521484375,673.0283813476562,1058.7841796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,68.31439208984375,-38.401405334472656,-10.669157981872559,68.23028564453125,-39.635528564453125,-12.646777153015137,68.38894653320312,-39.72809600830078,-13.097156524658203,68.76895141601562,-40.44340896606445,-13.818598747253418,68.78536987304688,-41.79725646972656,-14.948944091796875,68.97903442382812,-42.204490661621094,-15.431768417358398,68.97903442382812,-42.204490661621094,-15.431768417358398,68.875,-41.76229476928711,-14.66517162322998,68.73190307617188,-39.8856201171875,-12.767766952514648,68.73190307617188,-39.8856201171875,-12.767766952514648,16.443092597339096,7.007949072750678,1.0,0.009111570247933885,3.333333432674408,0.0,15.75,100
L-1:6,3.1000961720503373,4.439338653455509,10.619985484969344,6.566059568222571,7.862409017013165,7.1897459571786015,6.947181640870642,2.522267764740432,1.760551004866539,7.388474761768662,1312.478759765625,118.72852325439453,991.0738525390625,555.5150756835938,379.9571228027344,1202.6966552734375,147.79214477539062,679.9561157226562,514.4476928710938,396.48895263671875,1319.4459228515625,26.79383659362793,1040.885009765625,808.1364135742188,240.02590942382812,1160.190673828125,226.56260681152344,918.7836303710938,463.579833984375,559.6747436523438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03921568766236305,69.15921020507812,-36.96592330932617,-9.805614471435547,69.22491455078125,-37.185184478759766,-9.740235328674316,69.492431640625,-37.687252044677734,-9.707698822021484,69.73760986328125,-36.98484420776367,-11.704765319824219,69.86724853515625,-38.61626434326172,-12.991912841796875,69.7457275390625,-39.994850158691406,-13.960881233215332,69.74395751953125,-40.16661834716797,-13.907559394836426,69.73822021484375,-39.542396545410156,-13.235334396362305,69.7425537109375,-37.812843322753906,-11.529248237609863,69.43536376953125,-37.04290008544922,-10.745683670043945,10.415085558189759,7.6890039795617655,1.0,0.011383138313831382,5.000000149011612,0.0,21.68,108
L-1:7,3.0202205541733944,1.1200065732059068,3.846926277133884,3.2026658498283167,2.8022151755227585,6.417588396188942,3.4387586810532187,4.876828006825978,5.443954887229213,1.7647337082586732,897.5542602539062,27.63945198059082,656.5682373046875,477.74835205078125,183.47727966308594,1237.3953857421875,70.86307525634766,899.0258178710938,597.214111328125,270.0871887207031,744.3436279296875,8.527448654174805,635.5635375976562,487.5099182128906,305.375,955.4799194335938,219.4479522705078,923.4638061523438,1023.3713989257812,1058.66357421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,70.78256225585938,-36.6142463684082,-11.215972900390625,70.30319213867188,-37.432228088378906,-12.00590991973877,70.98086547851562,-37.934608459472656,-12.6668119430542,70.86175537109375,-38.305946350097656,-13.54962158203125,70.84201049804688,-38.79313659667969,-14.081401824951172,70.41217041015625,-39.633235931396484,-15.080561637878418,70.52035522460938,-39.56893539428711,-15.334465980529785,70.52035522460938,-39.56893539428711,-15.334465980529785,70.35174560546875,-39.51677703857422,-14.84886646270752,69.85220336914062,-37.3435173034668,-12.679113388061523,19.48719561096215,2.1613700179396433,1.0,0.013037112700034048,1.0000000298023224,0.0,21.88,100
L-1:8,14.291718711396566,2.3353414880491346,13.391776340426459,2.3354009484608955,2.1852828508907605,7.7335282819232365,7.5475428193103316,4.690978748310935,7.045834591648979,14.337139457425337,1474.59228515625,230.7932586669922,1730.410400390625,452.5390625,237.43777465820312,987.3075561523438,377.58306884765625,1170.0892333984375,812.8189697265625,850.6267700195312,1700.5980224609375,79.06330108642578,1285.0899658203125,865.185302734375,41.906105041503906,1086.587158203125,594.2112426757812,1217.4595947265625,879.2575073242188,666.4181518554688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,72.1038818359375,-35.796226501464844,-10.368791580200195,72.4334716796875,-34.59212875366211,-8.621143341064453,72.70965576171875,-34.95228576660156,-8.921821594238281,73.15499877929688,-35.84059143066406,-9.683178901672363,73.435791015625,-36.74901580810547,-10.614386558532715,74.809326171875,-38.22541427612305,-11.662505149841309,74.809326171875,-38.22541427612305,-11.662505149841309,74.975830078125,-38.10398483276367,-11.087519645690918,72.37966918945312,-37.51222229003906,-12.796367645263672,72.1038818359375,-35.796226501464844,-10.368791580200195,14.443241364381027,11.018345464853727,1.0,0.00919939577039275,1.0000000298023224,3.71,19.14,4
L-1:9,2.035569990396729,8.507613694574983,2.2887545804509366,3.17894587895069,14.408025626270732,2.0138445283858553,2.0369989529119747,1.9416958258369184,5.593789196783472,1.7984250076206416,887.4082641601562,179.43605041503906,502.3919372558594,632.5084228515625,212.27911376953125,1038.10400390625,338.5624694824219,764.2472534179688,820.7005615234375,397.82171630859375,1351.8153076171875,51.41600799560547,1852.602294921875,1037.6444091796875,563.8621215820312,1387.3138427734375,244.6836700439453,1324.923095703125,986.67529296875,476.1558837890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,71.16497802734375,-38.41109848022461,-12.391108512878418,71.14767456054688,-37.228450775146484,-10.92025375366211,71.58639526367188,-36.57542419433594,-9.904319763183594,72.74044799804688,-36.91476058959961,-9.817543983459473,73.72674560546875,-38.318321228027344,-10.295697212219238,71.03414916992188,-41.21940231323242,-13.873063087463379,71.04373168945312,-42.548980712890625,-15.110684394836426,70.56436157226562,-42.31221008300781,-15.565093994140625,70.56436157226562,-42.31221008300781,-15.565093994140625,71.084716796875,-39.7117919921875,-13.734718322753906,9.007528015560128,6.514587898173135,-1.0,0.01020021645021645,0.3333333432674408,0.0,18.85,100
L-1:10,6.143397834488044,1.8872508459426074,1.1827923185266365,0.3786387200807676,0.7946525568712395,0.818518907184784,1.2207968877732114,1.22687855657328,0.9207960797341757,3.5945470979914305,1415.38818359375,32.04107666015625,1410.3890380859375,550.9061889648438,278.433349609375,688.1267700195312,347.72308349609375,971.9268798828125,523.1651000976562,366.50830078125,716.864501953125,39.492759704589844,1027.5765380859375,699.6233520507812,343.5723571777344,1077.92041015625,243.74765014648438,871.010498046875,1081.076171875,630.7490234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,71.94131469726562,-34.624507904052734,-8.836328506469727,71.34442138671875,-33.97273254394531,-7.961604118347168,71.03857421875,-37.403167724609375,-11.26486587524414,71.08929443359375,-37.19240188598633,-11.688909530639648,71.62548828125,-37.679019927978516,-12.616914749145508,71.9300537109375,-38.595401763916016,-13.546764373779297,72.36468505859375,-38.85812759399414,-13.496642112731934,71.98959350585938,-38.73414611816406,-13.280482292175293,71.48983764648438,-37.948612213134766,-12.857431411743164,72.0614013671875,-35.94749450683594,-10.282673835754395,10.370069343226696,9.10074076690016,1.0,0.011999311294765842,0.0,0.0,24.89,0
