Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,11.10180165558726,7.739363467979042,5.274689419206553,1.2206414084134407,3.626215399348479,2.5495097567963922,7.71525168165923,2.2531864250782747,1.824603595625167,6.217900064481528,994.4014282226563,19.349853515625,918.0985717773438,799.3042602539063,390.3441162109375,721.3465576171875,214.19052124023438,712.8499145507813,157.2708282470703,0.0022315336391329765,551.9482421875,115.05439758300781,737.2583618164063,631.8780517578125,23.19602394104004,562.56298828125,109.61829376220703,864.0858764648438,600.7378540039063,474.1723937988281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.06666667014360428,0.13333334028720856,0.13333334028720856,0.2666666805744171,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.716990566028302,6.371192623678317,1.0,0.020630260942760947,0.0,0.0,28.01,36
L-1:2,1.0,12.047097474053816,8.957301158219556,1.3570475165295928,7.236468110888369,6.18465843842649,4.729492408819541,6.960597092577388,2.6879313321874583,2.0482578610747404,874.6504516601563,17.775501251220703,803.8621215820313,657.6342163085938,331.72320556640625,771.1888427734375,197.98037719726563,626.3994140625,325.76507568359375,473.12603759765625,777.1649169921875,30.069307327270508,841.8370361328125,720.7598876953125,187.19119262695313,900.9757080078125,395.02276611328125,1301.8704833984375,373.9177551269531,332.7113037109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5355339059327378,9.590361138435952,1.0,0.015724957912457913,1.0,0.0,21.35,36
L-1:3,2.1213203435596424,1.9251757749553724,7.209534533711498,1.8685096897369369,3.26447294988425,7.516648189186454,2.825286738858824,2.7695836007373265,2.5502641105741852,6.428946202192692,1067.387451171875,157.70700073242188,903.4201049804688,472.90240478515625,39.35846710205078,710.359619140625,184.98776245117188,538.1904296875,628.0901489257813,646.8776245117188,656.2374267578125,1.1079527139663696,525.8843383789063,434.60345458984375,113.04251098632813,477.5364074707031,411.6942138671875,1246.1097412109375,354.3305969238281,488.329345703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.06666667014360428,0.13333334028720856,0.06666667014360428,0.13333334028720856,0.2666666805744171,0.13333334028720856,0.20000001788139343,0.2666666805744171,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.264982043070834,6.186026553353141,1.0,0.01847971237801746,2.5,0.0,20.56,4
L-1:4,34.514489710844636,27.760103252734545,10.462196289190082,0.19236625722551268,9.41424790436592,5.0,4.921458408116071,18.851131757658365,21.37129648363321,34.33979223690329,690.0936889648438,40.09474182128906,978.8071899414063,610.4208984375,490.53985595703125,597.794189453125,90.02623748779297,547.6906127929688,409.85968017578125,335.677001953125,788.74169921875,145.27003479003906,443.1408996582031,661.7425537109375,147.0578155517578,748.1055297851563,258.9299011230469,705.1735229492188,899.349365234375,472.3447570800781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.06666667014360428,0.20000001788139343,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,24.07703762217456,1.0,0.019606643356643357,14.5,4.65,22.43,44
L-1:5,10.307764064044152,19.132030639588223,5.686254843367287,0.981721418478474,9.13976391221143,11.045361017187261,3.655603089147096,8.662408655005,11.132994147242265,2.22359901499654,813.9102783203125,95.74126434326172,985.8101196289063,641.7925415039063,446.0838928222656,627.1718139648438,394.7169494628906,918.7644653320313,54.884681701660156,408.0799560546875,860.3960571289063,23.833133697509766,714.5186767578125,880.9818115234375,15.359943389892578,515.1282958984375,69.40570831298828,1136.59423828125,776.2314453125,554.02197265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.13333334028720856,0.2666666805744171,0.13333334028720856,0.13333334028720856,0.06666667014360428,0.2666666805744171,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.301162633521313,9.838982599505883,1.0,0.017577816205533597,7.5,0.0,20.33,68
L-1:6,2.5,6.714450601403404,1.8626312203130082,5.875318208916452,11.246689510458298,11.01135777277262,4.31239428276769,3.853250503429789,5.13634872512729,0.015622026238801996,912.8202514648438,28.784870147705078,737.4107666015625,426.0113525390625,487.85687255859375,1021.8560180664063,308.3567810058594,1084.49462890625,592.3875122070313,528.911376953125,785.8214111328125,15.760276794433594,487.56427001953125,284.07568359375,165.6911163330078,878.9882202148438,241.89456176757813,1378.5240478515625,686.8648071289063,486.614013671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.2666666805744171,0.06666667014360428,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.2666666805744171,0.13333334028720856,0.20000001788139343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,11.207478915983469,1.0,0.014690185436454091,1.0,0.0,18.56,4
L-1:7,5.0990195135927845,2.2683535648703157,0.20087469357284043,0.20087469357284043,2.3430346079518496,10.111874208078342,11.140623236925263,5.714082957734176,4.172124804890642,6.007661695020315,553.8060302734375,0.03264131769537926,547.1917114257813,284.8877258300781,301.7803039550781,731.6104736328125,107.1756820678711,989.8348388671875,769.8788452148438,806.2741088867188,768.5905151367188,97.7088394165039,981.1436157226563,794.2373046875,192.08767700195313,1257.6256103515625,483.7856140136719,1093.0277099609375,773.6904907226563,483.893310546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333334028720856,0.20000001788139343,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.13333334028720856,0.20000001788139343,0.06666667014360428,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.685756881980649,1.0,0.014647335423197492,1.5,0.0,16.02,32
L-1:8,4.47213595499958,2.3299446534457275,7.499089921060718,4.094270836880999,18.81783248444725,4.031128874149275,14.606258071596113,22.527646050955536,22.29309392639121,17.51089599211586,1278.3609619140625,116.45711517333984,623.5803833007813,745.5400390625,468.4979553222656,704.3108520507813,8.23635196685791,1170.357666015625,619.6858520507813,552.7188110351563,675.0869750976563,85.9944839477539,780.2745971679688,942.3933715820313,339.7702331542969,1709.922607421875,311.0513916015625,850.887939453125,1030.6416015625,901.2816162109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666666805744171,0.20000001788139343,0.06666667014360428,0.13333334028720856,0.06666667014360428,0.13333334028720856,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.2666666805744171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.628499608087784,28.011142414354115,1.0,0.01695859114707282,8.0,8.54,20.36,100
L-1:9,2.0615528128088303,3.6296733514733526,2.329789116628011,4.429440921761018,8.59459310582072,3.8078865529319543,11.687499492557237,6.962132608202892,7.562562624129164,4.8847063750371955,874.8359375,129.486083984375,744.2808227539063,632.6834106445313,300.78375244140625,889.5042724609375,154.3151397705078,1203.987060546875,803.5410766601563,427.593994140625,744.4542846679688,152.24716186523438,911.52587890625,680.5716552734375,13.741621017456055,157.02012634277344,177.0743865966797,617.087158203125,753.0206909179688,736.9893188476563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.093386622447824,7.682415863278988,1.0,0.014373678646934462,3.5,0.0,15.54,0
L-1:10,3.640054944640259,1.7431923046004711,5.702502993541516,4.351302755778858,5.623638532595064,1.4142135623730951,3.589995606268142,5.996499060017348,7.221451446642514,7.395919796722101,1248.0526123046875,169.5092010498047,795.0223999023438,1053.9212646484375,295.33843994140625,837.7979736328125,90.2108154296875,441.98419189453125,550.331298828125,478.5894775390625,963.0841674804688,60.72200393676758,882.267822265625,740.8204956054688,247.07139587402344,998.399658203125,380.3309631347656,1184.988525390625,911.5848999023438,885.5573120117188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20000001788139343,0.13333334028720856,0.06666667014360428,0.06666667014360428,0.13333334028720856,0.13333334028720856,0.20000001788139343,0.20000001788139343,0.13333334028720856,0.13333334028720856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.211102550927978,9.475239165789203,1.0,0.012520383204239708,2.0,0.0,17.55,0
