Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.018748004055862,4.6662869692841245,5.596551413164438,6.131086813764767,0.819240057942443,4.1594454646110535,10.224662421130159,3.188254486652093,2.2348226085043223,1.9255661056746236,867.0533447265625,163.25357055664062,898.8121948242188,417.8868408203125,232.4251251220703,1052.9564208984375,77.73621368408203,905.1002197265625,805.7896728515625,429.2958984375,1156.5169677734375,144.4678955078125,784.9269409179688,482.8092956542969,225.24351501464844,1178.318115234375,340.1404724121094,1138.2747802734375,824.0076904296875,554.1348876953125,0.625,0.625,0.625,0.625,0.887499988079071,0.887499988079071,0.887499988079071,0.887499988079071,0.887499988079071,0.625,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.019607843831181526,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03921568766236305,0.027450982481241226,0.02352941408753395,340.0,-44.0,3.0,343.0,-44.0,4.0,343.0,-46.0,4.0,342.0,-47.0,3.0,337.0,-51.0,0.0,335.0,-53.0,-2.0,334.0,-53.0,-3.0,334.0,-51.0,-1.0,335.0,-48.0,0.0,337.0,-46.0,1.0,5.7166109981958995,6.955552146171296,1.0,0.011603567318757191,0.27729636430740356,0.0,28.81,44
L-1:2,0.6200535205049008,4.486827160721039,2.2083567155598263,4.9637585212827835,4.2192142054869874,8.506266543688607,17.65679411325451,15.949676870290688,8.541472602242624,2.8831368524383683,1479.000732421875,71.286376953125,971.9838256835938,750.9017333984375,277.669677734375,902.9984130859375,373.0829772949219,768.137939453125,702.24169921875,786.916748046875,1426.6212158203125,465.2235107421875,1466.0604248046875,1112.49853515625,411.2297058105469,1608.8472900390625,653.5375366210938,1927.2220458984375,1481.5042724609375,1138.006591796875,0.762499988079071,0.762499988079071,0.762499988079071,0.762499988079071,1.024999976158142,1.024999976158142,1.024999976158142,0.762499988079071,0.762499988079071,0.762499988079071,0.027450982481241226,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.02352941408753395,337.0,-43.0,5.0,339.0,-42.0,6.0,340.0,-43.0,6.0,340.0,-44.0,6.0,332.0,-48.0,2.0,331.0,-49.0,1.0,331.0,-49.0,1.0,332.0,-48.0,2.0,334.0,-44.0,4.0,337.0,-43.0,5.0,10.94179268153388,2.6456297118983345,1.0,0.008907318308432515,2.7729636430740356,0.0,20.1,76
L-1:3,10.453006355502048,11.007165520040514,10.031638355021308,20.193047828198672,19.191312914345666,23.15051008934764,22.33514948210588,9.252206153605231,2.2758549814837052,4.260323463355336,1894.830322265625,366.5039367675781,1332.5555419921875,893.6625366210938,678.4468383789062,1063.9013671875,262.5170593261719,1241.7305908203125,1131.150146484375,729.5977172851562,1433.0419921875,361.16632080078125,1143.6473388671875,1700.102783203125,265.19158935546875,1555.6173095703125,536.0588989257812,1088.7073974609375,1341.9107666015625,1159.1099853515625,0.737500011920929,0.737500011920929,0.737500011920929,1.0125000476837158,1.0125000476837158,1.0125000476837158,1.0125000476837158,0.75,0.75,0.737500011920929,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.0313725508749485,334.0,-38.0,11.0,334.0,-38.0,11.0,335.0,-38.0,11.0,333.0,-41.0,9.0,331.0,-44.0,6.0,331.0,-44.0,6.0,330.0,-44.0,6.0,332.0,-41.0,8.0,334.0,-40.0,10.0,331.0,-38.0,10.0,21.595316731560168,5.598082326792133,1.0,0.00763353115727003,13.032929122447968,0.0,16.17,4
L-1:4,11.379291403257394,1.871355372786321,2.5997012211929156,5.849312634329519,5.380336455466048,6.982144047442596,22.035918713458717,0.3056514312262959,21.18039739664303,22.141265005500884,45.70760726928711,104.3377456665039,485.5033264160156,360.7271728515625,333.6536560058594,1608.5997314453125,482.8393249511719,1819.04736328125,1626.177978515625,1372.79296875,2233.924072265625,641.2576904296875,1507.7333984375,1223.403564453125,73.69268035888672,1778.84423828125,601.8814697265625,1238.6488037109375,1016.4816284179688,1117.1207275390625,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.675000011920929,0.675000011920929,0.675000011920929,0.03529411926865578,0.02352941408753395,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.02352941408753395,0.0313725508749485,0.02352941408753395,328.0,-37.0,9.0,329.0,-38.0,10.0,328.0,-41.0,8.0,324.0,-45.0,5.0,324.0,-45.0,5.0,321.0,-49.0,2.0,320.0,-47.0,2.0,322.0,-44.0,5.0,326.0,-41.0,8.0,326.0,-41.0,8.0,2.5565461585777918,4.824668322858361,1.0,0.007467069747354784,1.6637781858444214,4.63,19.76,108
L-1:5,1.1433221996391798,1.3420261889892335,7.991559965720223,13.399718285994952,4.7867596304003746,5.5735879429568636,0.6734407641378924,4.684462910498444,2.716672068252437,1.6996214142121844,718.5779418945312,29.690811157226562,613.56591796875,406.3116760253906,293.1494445800781,252.87840270996094,114.32227325439453,643.355224609375,713.0049438476562,423.0526428222656,374.45697021484375,18.64063262939453,569.6660766601562,285.63128662109375,349.4278564453125,924.3787841796875,584.6260986328125,878.3283081054688,666.638427734375,577.2080078125,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03921568766236305,0.0313725508749485,334.0,-34.0,14.0,335.0,-34.0,14.0,335.0,-34.0,14.0,334.0,-36.0,12.0,332.0,-38.0,10.0,332.0,-40.0,9.0,331.0,-40.0,9.0,330.0,-40.0,10.0,331.0,-35.0,12.0,332.0,-35.0,13.0,10.874826660051387,8.131376105452798,1.0,0.014588857323232323,0.5545927286148071,0.0,26.41,100
L-1:6,1.4139395726517845,5.66502224504897,5.3681654558378495,2.0344988405842774,11.514899907775757,6.954557436023345,8.88603138586824,5.49383438423683,3.914146942450245,1.0151593524939344,959.9931640625,57.019683837890625,904.2803955078125,883.5130004882812,255.15476989746094,564.30126953125,80.09248352050781,1010.8951416015625,839.5975952148438,542.4879760742188,824.0386352539062,38.5805549621582,650.8228149414062,315.8229675292969,176.82371520996094,941.9159545898438,631.9789428710938,1647.5458984375,1198.7694091796875,990.1190185546875,0.574999988079071,0.8375000357627869,0.8375000357627869,1.100000023841858,1.100000023841858,1.100000023841858,0.8375000357627869,0.8375000357627869,0.8375000357627869,0.8375000357627869,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.027450982481241226,333.0,-32.0,15.0,334.0,-29.0,16.0,334.0,-30.0,16.0,332.0,-32.0,13.0,329.0,-34.0,11.0,327.0,-36.0,9.0,327.0,-37.0,9.0,328.0,-34.0,11.0,328.0,-34.0,11.0,331.0,-32.0,14.0,4.122306815175339,13.488005802869761,1.0,0.011695566014367106,0.27729636430740356,0.0,26.98,44
L-1:7,3.339090397162844,10.644523837912102,8.188416944847905,4.419023867892343,4.267445919012817,4.786877432117421,1.7875980212939013,7.453246237077451,0.4092561632016708,8.786413391576211,1248.6947021484375,84.23751831054688,1699.4451904296875,517.2857666015625,63.47879409790039,1164.0709228515625,548.2364501953125,1782.0509033203125,719.4415893554688,827.3121337890625,180.36814880371094,217.04458618164062,836.292236328125,847.0230102539062,481.9178161621094,1624.608642578125,56.02988052368164,1812.19970703125,856.0562744140625,385.8824768066406,0.6875,0.6875,0.6875,0.6875,0.6875,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,0.6875,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.02352941408753395,0.027450982481241226,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.02352941408753395,328.0,-32.0,13.0,329.0,-31.0,14.0,329.0,-33.0,13.0,327.0,-35.0,10.0,327.0,-35.0,10.0,324.0,-37.0,6.0,323.0,-36.0,7.0,324.0,-34.0,10.0,324.0,-34.0,10.0,325.0,-33.0,12.0,10.120367607581993,3.9669117357439037,1.0,0.008981643356643356,3.6048527359962463,0.0,20.55,44
L-1:8,4.722186925657459,7.868848876900462,5.913417566198288,10.327264485219974,11.182539529813472,11.702432242276975,3.861045455957898,4.101045419289662,6.584915277357918,5.643650370977374,903.3997802734375,108.01469421386719,635.376220703125,476.47454833984375,865.58935546875,1076.8111572265625,240.04702758789062,1466.7364501953125,969.3263549804688,562.7694091796875,1293.0733642578125,267.01031494140625,1145.66650390625,761.2077026367188,574.0760498046875,1995.556640625,585.8903198242188,1979.346923828125,1752.528564453125,1371.2470703125,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.9750000238418579,0.7125000357627869,0.7125000357627869,0.02352941408753395,0.02352941408753395,0.0313725508749485,0.02352941408753395,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,329.0,-31.0,14.0,330.0,-31.0,14.0,330.0,-31.0,14.0,326.0,-36.0,10.0,323.0,-38.0,7.0,322.0,-40.0,6.0,321.0,-40.0,6.0,322.0,-38.0,8.0,324.0,-35.0,10.0,327.0,-33.0,13.0,1.4139395726517845,17.317785960833394,1.0,0.008761256432246999,0.5545927286148071,4.94,23.35,100
L-1:9,1.493286622214578,1.112800527273005,2.9682917827312068,8.109420903153373,5.797542762209156,1.2401070410098016,2.5154181422574076,0.9023738253992067,2.961622034659427,1.6800180580980453,892.9306640625,6.710965633392334,421.5687561035156,133.8824005126953,488.0925598144531,568.0331420898438,155.34010314941406,835.2109375,703.5717163085938,364.7983703613281,715.0758666992188,42.650001525878906,284.22686767578125,121.93959045410156,274.9447326660156,723.0990600585938,226.38893127441406,793.8863525390625,1102.622314453125,692.627685546875,0.987500011920929,0.987500011920929,0.987500011920929,0.987500011920929,0.987500011920929,0.987500011920929,0.987500011920929,0.7250000238418579,0.7250000238418579,0.987500011920929,0.03529411926865578,0.0313725508749485,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.03921568766236305,0.0313725508749485,0.027450982481241226,0.0313725508749485,0.0313725508749485,329.0,-30.0,14.0,331.0,-30.0,14.0,332.0,-31.0,15.0,330.0,-32.0,13.0,326.0,-34.0,9.0,326.0,-35.0,9.0,325.0,-34.0,9.0,325.0,-33.0,11.0,327.0,-32.0,12.0,329.0,-30.0,14.0,3.3848334929590753,3.0408752285613767,1.0,0.015882307927762473,2.495667278766632,0.0,29.65,68
L-1:10,1.7537761961904295,4.696164935150562,6.515040337631555,1.9189163790270163,6.615270895124737,2.986573244429156,6.801810993421895,2.5391481785803363,3.740216784105682,1.2006082239522395,1414.6610107421875,66.98551940917969,402.1278991699219,184.85498046875,204.16180419921875,1055.7584228515625,86.05880737304688,1009.9163208007812,743.5299072265625,523.400390625,612.739013671875,91.92505645751953,514.5274658203125,203.31588745117188,392.03680419921875,1218.7105712890625,370.5364990234375,1213.8570556640625,873.1546630859375,615.9329223632812,0.637499988079071,0.637499988079071,0.637499988079071,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.637499988079071,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.03921568766236305,0.03529411926865578,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.02352941408753395,0.027450982481241226,329.0,-29.0,14.0,330.0,-29.0,15.0,330.0,-29.0,15.0,331.0,-26.0,17.0,327.0,-32.0,10.0,325.0,-32.0,9.0,323.0,-33.0,9.0,323.0,-32.0,10.0,324.0,-31.0,11.0,326.0,-30.0,13.0,6.156978472712521,10.210358399480905,1.0,0.011991735537190082,0.0,0.0,29.02,108
