Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,0.1768774298319456,7.346850895009594,4.119622042209045,3.660048295779982,5.584909469178344,7.874255343907795,7.566898981381487,1.421039204852387,6.6405253608993995,5.984681976325806,232.41029357910156,35.224334716796875,1609.940185546875,1271.8857421875,995.6982421875,1080.6871337890625,337.91448974609375,211.10858154296875,1254.69384765625,2621.577880859375,1279.986083984375,395.5892639160156,1694.681640625,1036.2965087890625,602.6220092773438,1072.558837890625,42.736656188964844,1200.13525390625,1091.013427734375,288.05487060546875,0.23155838251113892,0.7640449404716492,0.6971177458763123,0.6189545392990112,0.6199315786361694,0.6218856573104858,0.6213971376419067,0.6057645082473755,0.6072300672531128,0.6262823939323425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.53294372558594,-48.43692398071289,-6.127384185791016,231.19834899902344,-49.08611297607422,-7.369791507720947,231.19833374023438,-49.08068084716797,-7.367281913757324,231.3385772705078,-49.085205078125,-7.032857418060303,231.3466033935547,-49.860206604003906,-6.376172065734863,231.3982391357422,-50.38789367675781,-6.001035690307617,231.528564453125,-50.614295959472656,-5.804209232330322,231.5789794921875,-50.754112243652344,-5.714730262756348,231.6234893798828,-50.13255310058594,-5.649092197418213,231.5832061767578,-49.18391418457031,-5.881597995758057,4.031859700197317,2.2348947470548355,1.0,0.009440394511149228,0.25,0.0,25.16,100
L-1:2,7.366401914469764,9.348858065250797,1.9578893340089552,3.063545932451885,9.813136165787952,6.401668392099604,12.571839312108077,3.6551430284990625,4.117601371353077,6.6908468392344576,1523.5308837890625,165.72674560546875,1215.8514404296875,563.9248657226563,948.6726684570313,1468.1199951171875,50.19126892089844,1479.7667236328125,1070.8172607421875,1098.8900146484375,1724.15234375,309.21783447265625,1479.8848876953125,1314.7874755859375,864.6515502929688,1241.003662109375,1781.9666748046875,1636.9205322265625,831.8109741210938,1059.69921875,0.787493884563446,0.7401074767112732,0.7122618556022644,0.6409379839897156,0.5906203985214233,0.5251587629318237,0.5227161645889282,0.4855886697769165,0.7933561205863953,0.7884709239006042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.4964599609375,-49.931766510009766,-7.77372932434082,230.54800415039063,-49.99253463745117,-7.927188396453857,230.62435913085938,-50.26882553100586,-7.803071022033691,230.62435913085938,-50.26882553100586,-7.803071022033691,230.7413787841797,-51.6240348815918,-7.059544563293457,230.89593505859375,-52.21637725830078,-5.313877105712891,230.89593505859375,-52.21637725830078,-5.313877105712891,230.96875,-53.20063781738281,-5.132837772369385,230.58859252929688,-50.08597183227539,-7.511501312255859,230.58859252929688,-50.08597183227539,-7.511501312255859,2.3466269707542855,2.179794328813329,1.0,0.007432301740812378,1.5,0.0,15.37,100
L-1:3,6.587569023231519,3.639915997405448,11.857905961045033,4.120698919992886,5.594768252545796,1.3420299813578744,1.0530677239925639,8.139372501703198,1.2961199148285052,7.9932500776597335,998.180419921875,57.4559211730957,1717.42041015625,611.421142578125,415.3506774902344,887.8407592773438,1461.5618896484375,1722.422119140625,1076.1201171875,926.87451171875,2011.1370849609375,296.76593017578125,1470.6182861328125,746.109619140625,575.2970581054688,1440.2335205078125,448.5957946777344,1043.17431640625,1415.3916015625,1073.2877197265625,0.7410845160484314,0.734245240688324,0.7567171454429626,0.6414265036582947,0.5593551397323608,0.7205666899681091,0.7308256030082703,0.7479237914085388,0.7454811930656433,0.7308256030082703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.7523956298828,-52.92277908325195,-5.8838324546813965,229.70199584960938,-52.43475341796875,-5.91387939453125,229.70199584960938,-52.43475341796875,-5.91387939453125,229.7809600830078,-52.77263641357422,-5.4643635749816895,229.89154052734375,-53.25617218017578,-5.087246894836426,230.01112365722656,-52.34483337402344,-5.325573921203613,230.01112365722656,-52.34483337402344,-5.325573921203613,230.02847290039063,-52.80177307128906,-5.3282928466796875,229.93878173828125,-53.039642333984375,-5.498711585998535,229.83251953125,-52.88562774658203,-5.748882293701172,4.355566650303891,4.828722677156276,1.0,0.007758530867413389,3.25,0.0,17.02,108
L-1:4,14.858206245841645,3.6669910302637914,14.945533384506605,16.559221096451463,8.086725634483889,5.446978102557389,7.0814025989093,7.5042248639534295,4.072379787473843,15.736852715039394,2524.40087890625,280.3448486328125,1423.939208984375,1263.5792236328125,860.4965209960938,1946.243896484375,254.216796875,2732.083984375,1802.5797119140625,2441.591796875,1707.8138427734375,233.15765380859375,2048.880859375,997.388671875,362.1044921875,1846.3558349609375,527.478759765625,563.1971435546875,2464.399658203125,1418.088134765625,1.0,1.0,0.889106035232544,0.8270639777183533,0.7733268141746521,0.705422580242157,0.6394724249839783,0.608207106590271,0.8466047644615173,0.8632144331932068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.10525512695313,-50.98527145385742,-7.0023908615112305,228.27346801757813,-50.20423889160156,-7.261926174163818,228.38926696777344,-50.0300178527832,-6.656919002532959,228.38926696777344,-50.0300178527832,-6.656919002532959,228.4682159423828,-50.56534194946289,-5.993084907531738,228.51422119140625,-51.44011688232422,-5.434574127197266,228.51422119140625,-51.44011688232422,-5.434574127197266,228.5322265625,-51.99137496948242,-4.200972557067871,228.06951904296875,-51.30340576171875,-6.154414653778076,228.10525512695313,-50.98527145385742,-7.0023908615112305,4.521355001460732,17.810019130659914,1.0,0.006459570580173595,7.25,6.2,16.16,44
L-1:5,1.5276032250122284,0.941133328740545,9.69861560214937,1.0363802148174939,1.5322166747902906,5.957147206795996,1.4308070293898183,11.363428214163354,4.127855476562151,1.3718381973471205,1606.9105224609375,33.52975845336914,1627.1202392578125,146.88951110839844,463.18756103515625,1888.9202880859375,750.2950439453125,1815.32470703125,1521.310302734375,1743.435791015625,2362.009033203125,470.2804870605469,1588.1190185546875,802.283203125,341.9327392578125,2075.63720703125,216.15711975097656,1290.7874755859375,809.517578125,719.8925170898438,0.7694186568260193,0.7484123110771179,0.6824621558189392,0.6468002200126648,0.6042989492416382,0.5710796117782593,0.5652173757553101,0.5779188871383667,0.5676599740982056,0.7703956961631775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.6101837158203,-51.67621994018555,-5.771542549133301,227.7156219482422,-51.293556213378906,-5.77710485458374,227.85696411132813,-51.28075408935547,-5.692333221435547,227.85696411132813,-51.28075408935547,-5.692333221435547,227.96047973632813,-51.97416687011719,-4.180871963500977,228.1293487548828,-52.35126495361328,-4.141005992889404,228.1293487548828,-52.35126495361328,-4.141005992889404,228.17523193359375,-52.44401168823242,-4.161447525024414,228.116943359375,-52.89366149902344,-4.134768486022949,227.62750244140625,-51.76016616821289,-4.103218078613281,6.145994401317858,8.352432107070225,1.0,0.008782186022070416,2.5,0.0,19.1,100
L-1:6,3.196832208758383,4.243469990796778,13.158519978046598,5.768784022747519,2.522252120679296,1.344711824792068,8.408780396824978,3.1540641035736003,2.7911573783105417,2.6389535770788184,1367.6658935546875,386.69085693359375,1137.104248046875,584.0677490234375,548.91845703125,1884.0162353515625,248.21337890625,2595.58642578125,698.8518676757813,307.7473449707031,1824.656494140625,278.9642333984375,1133.7825927734375,1078.6417236328125,103.2989730834961,2320.140380859375,383.86541748046875,1179.3446044921875,1231.164794921875,934.4442749023438,0.7738153338432312,0.767953097820282,0.6292135119438171,0.5442110300064087,0.3810454308986664,0.6213971376419067,0.6140693426132202,0.6297020316123962,0.6384953856468201,0.6463117003440857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.7008514404297,-54.00730514526367,-4.003294944763184,226.6211700439453,-53.829219818115234,-4.057684421539307,226.68528747558594,-54.0765266418457,-3.64383602142334,226.67822265625,-54.218563079833984,-3.4921562671661377,226.6585693359375,-54.8236198425293,-3.274188280105591,226.8705291748047,-52.91324234008789,-3.801811933517456,226.97964477539063,-53.26295471191406,-3.7912817001342773,226.96731567382813,-53.77180480957031,-3.6799416542053223,226.83290100097656,-53.932579040527344,-3.7365732192993164,226.70645141601563,-54.146888732910156,-3.8425350189208984,1.5050676026287109,9.203043651762743,1.0,0.008107208448117539,1.0,0.0,20.18,68
L-1:7,2.9827825114941793,11.168173599457447,2.032862353457278,8.384929246043527,5.619845047915683,5.703490659364564,7.800656787162025,7.0908188239370915,1.7804776152893513,5.273053940465031,1429.27197265625,47.48442840576172,888.3733520507813,393.2502136230469,643.6985473632813,1845.666748046875,136.90286254882813,1535.0960693359375,1932.67724609375,1049.2576904296875,1789.3326416015625,39.62733459472656,1706.662353515625,1450.2078857421875,934.886474609375,1198.6700439453125,622.1678466796875,1290.34619140625,1382.802490234375,2300.371337890625,0.8138739466667175,0.9545676708221436,0.9345383644104004,0.729360044002533,0.652662456035614,0.555446982383728,0.49926722049713135,0.43673667311668396,0.7098192572593689,0.7806546092033386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.14755249023438,-54.16925048828125,-3.609931707382202,226.17462158203125,-53.8556022644043,-3.905113697052002,226.17213439941406,-53.5443115234375,-4.018906116485596,226.28414916992188,-53.20430374145508,-3.8922784328460693,226.43226623535156,-54.07396697998047,-3.3632137775421143,226.40797424316406,-54.69568634033203,-3.245161294937134,226.40797424316406,-54.69568634033203,-3.245161294937134,226.3917236328125,-54.84136199951172,-3.3174076080322266,226.36068725585938,-54.478965759277344,-2.994865655899048,226.29855346679688,-54.260990142822266,-3.396711826324463,4.817303537043368,9.557738292787874,1.0,0.007542355371900826,5.0,0.0,20.86,100
L-1:8,13.561655496756899,9.728669538344787,22.299779393689338,21.698965803217494,10.994537272383527,0.9013966993881708,0.8221080144881628,4.208817103518425,3.3997069361282595,12.28839680661163,1248.678466796875,177.7229461669922,1173.807861328125,591.92822265625,536.8548583984375,1597.5721435546875,370.366943359375,2082.713134765625,1477.1661376953125,1975.1422119140625,1717.6707763671875,386.73583984375,969.3989868164063,1124.9857177734375,508.0838623046875,1070.1033935546875,792.8350830078125,1689.4442138671875,368.9364013671875,449.64447021484375,0.729360044002533,0.6971177458763123,0.5779188871383667,0.5183194875717163,0.4240351617336273,0.488031268119812,0.6067415475845337,0.638006865978241,0.6678065657615662,0.7059110999107361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.25350952148438,-54.039093017578125,-3.4094271659851074,225.25350952148438,-54.039093017578125,-3.4094271659851074,225.35743713378906,-54.25667953491211,-3.3413889408111572,225.28512573242188,-55.165828704833984,-2.983039617538452,225.23098754882813,-55.95226287841797,-2.829969644546509,225.0039520263672,-53.86140060424805,-2.8245999813079834,225.16763305664063,-53.845882415771484,-2.808633804321289,225.25711059570313,-54.12824249267578,-2.789146900177002,225.33811950683594,-54.0201301574707,-2.9759035110473633,225.38058471679688,-53.78560256958008,-3.314762830734253,0.5588377733426285,9.802169535431263,1.0,0.007684045061566676,9.0,3.85,16.76,68
L-1:9,0.9173283530801698,2.9188252903541496,6.607127866796708,1.2425634166676807,2.113152225932351,3.972629967048605,0.3745887659090453,1.4274430049525868,9.52971267325723,6.614789938694905,752.7636108398438,384.0969543457031,1273.559814453125,740.8800659179688,329.7294616699219,1365.2640380859375,709.5640869140625,1419.403076171875,42.82328796386719,272.4873046875,1713.4146728515625,467.3005676269531,1323.1973876953125,766.4158935546875,88.41824340820313,1437.5943603515625,830.1788940429688,248.79306030273438,1247.328125,1424.9237060546875,0.5720566511154175,0.5593551397323608,0.5559355020523071,0.49926722049713135,0.531509518623352,0.5676599740982056,0.564728856086731,0.5896433591842651,0.5881778001785278,0.5959941148757935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.66221618652344,-54.17860794067383,-3.255202054977417,223.66366577148438,-54.10272216796875,-3.256554365158081,223.62164306640625,-54.72877502441406,-2.964383363723755,223.55413818359375,-55.65206527709961,-2.710796356201172,223.51513671875,-53.51224899291992,-3.3853585720062256,223.3895721435547,-53.68632507324219,-2.9485576152801514,223.47964477539063,-53.884002685546875,-2.864513635635376,223.51271057128906,-54.107845306396484,-2.8213069438934326,223.57647705078125,-54.24336624145508,-2.8806357383728027,223.57070922851563,-54.33645248413086,-2.960357189178467,7.711332864034894,9.709486185034914,1.0,0.009666048237476809,3.25,0.0,20.84,64
L-1:10,13.613404471997265,3.0447856556394424,12.783352527070345,6.873434779380949,17.711591594133466,10.35158023653895,3.2292958441074378,4.799693626271346,9.670056562553242,1.4034961877966998,1574.38525390625,18.29562759399414,816.757080078125,1060.4615478515625,630.361083984375,661.8816528320313,8.973177909851074,2297.599609375,1482.455078125,1428.8045654296875,1566.3199462890625,573.2262573242188,1578.91552734375,1156.806640625,711.1885375976563,1662.281982421875,920.6680908203125,1440.2249755859375,1182.6201171875,902.0507202148438,0.5999022722244263,0.4904738664627075,0.6472887396812439,0.6272594332695007,0.5852466821670532,0.5784074068069458,0.5828040838241577,0.5999022722244263,0.6213971376419067,0.6204200983047485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.4014892578125,-55.07126235961914,-2.8414053916931152,223.24034118652344,-55.39947509765625,-2.85213041305542,223.1201629638672,-53.873146057128906,-3.2338101863861084,223.2793426513672,-53.23974609375,-3.335312843322754,223.4071502685547,-53.3713493347168,-3.189368724822998,223.5719757080078,-54.00885009765625,-2.843496322631836,223.66110229492188,-53.985511779785156,-2.7836527824401855,223.70957946777344,-54.31544876098633,-2.6971068382263184,223.67794799804688,-54.69331359863281,-2.723362445831299,223.55239868164063,-54.76546096801758,-2.7954354286193848,4.5203459302364575,7.105072520147358,1.0,0.006877729257641921,6.0,0.0,19.8,100
