Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,27.880051832500335,37.20954609091703,33.63997764558862,13.356920772438515,2.3069721482836343,7.424862567766822,3.697329075866555,1.4455310429457102,1.8380512084180385,9.876079805703514,2810.796630859375,711.1357421875,2107.1328125,1738.6539306640625,1201.298828125,2350.013427734375,93.4300537109375,296.73797607421875,1000.052978515625,1301.89404296875,2181.023193359375,181.99285888671875,2124.547607421875,1522.7469482421875,900.2151489257812,2681.677978515625,691.9331665039062,2136.388427734375,2320.770751953125,532.2479248046875,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16470588743686676,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.13333334028720856,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.10000000894069672,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,81.83447265625,-20.619749069213867,5.478979110717773,81.83447265625,-20.619749069213867,5.478979110717773,81.83447265625,-20.619749069213867,5.478979110717773,79.552978515625,-20.97964096069336,6.937976837158203,79.552978515625,-20.97964096069336,6.937976837158203,79.37164306640625,-21.438274383544922,6.026696681976318,79.37164306640625,-21.438274383544922,6.026696681976318,79.37164306640625,-21.438274383544922,6.026696681976318,81.83447265625,-20.619749069213867,5.478979110717773,81.83447265625,-20.619749069213867,5.478979110717773,18.43831885998209,20.00378349399684,-1.0,0.007351778656126483,10.5,0.0,7.44,100
L-1:2,1.803093894257569,8.762776747729449,3.444770488473916,6.700451552415529,12.120564091176812,1.8807064232005786,7.318815106541162,17.46357695907272,19.66945661427073,4.289883705063072,2236.37890625,842.7360229492188,1849.7314453125,1974.9990234375,469.9638977050781,1317.616455078125,79.64973449707031,2053.9970703125,1872.554931640625,1080.544921875,2617.41064453125,353.62701416015625,1766.264404296875,1506.059814453125,250.52525329589844,2690.767822265625,680.8474731445312,3222.887939453125,1451.3182373046875,2522.91259765625,0.16862745583057404,0.16470588743686676,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.13333334028720856,84.1083984375,-20.659391403198242,5.597142219543457,84.1083984375,-20.659391403198242,5.597142219543457,82.43487548828125,-18.545522689819336,6.8924641609191895,82.43487548828125,-18.545522689819336,6.8924641609191895,82.43487548828125,-18.545522689819336,6.8924641609191895,83.5391845703125,-19.222637176513672,6.298406600952148,83.5391845703125,-19.222637176513672,6.298406600952148,83.5391845703125,-19.222637176513672,6.298406600952148,83.5391845703125,-19.222637176513672,6.298406600952148,83.5391845703125,-19.222637176513672,6.298406600952148,3.6496734972564506,18.073459062717696,-1.0,0.007052692530399537,11.5,0.0,6.96,32
L-1:3,3.7978927340894226,3.6383385563923434,10.470046599255241,8.808430048067086,8.564931442571762,5.928516575869362,2.4514499774941667,1.0305656497050637,4.336160728709666,4.301467965335743,1712.80712890625,143.08985900878906,1947.64599609375,894.3028564453125,775.3856201171875,2183.45947265625,1123.4517822265625,2535.643310546875,2108.935546875,2027.7012939453125,2785.7197265625,61.956138610839844,1834.300048828125,1655.38134765625,782.02783203125,2923.165771484375,295.3634948730469,2819.497314453125,1140.2379150390625,911.1251831054688,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16470588743686676,0.13333334028720856,0.13333334028720856,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.10000000894069672,80.45553588867188,-20.856029510498047,6.085018634796143,80.45553588867188,-20.856029510498047,6.085018634796143,80.45553588867188,-20.856029510498047,6.085018634796143,80.62704467773438,-20.76860237121582,6.21692419052124,80.62704467773438,-20.76860237121582,6.21692419052124,80.62704467773438,-20.76860237121582,6.21692419052124,80.62704467773438,-20.76860237121582,6.21692419052124,80.62704467773438,-20.76860237121582,6.21692419052124,81.86029052734375,-20.718063354492188,6.317415714263916,79.79379272460938,-20.809326171875,6.004157543182373,3.6504035540585105,6.902808712863189,-1.0,0.005906478578892372,3.0,0.0,6.46,100
L-1:4,19.45998175036478,28.77900995424536,27.037659861651193,15.339436489322317,0.346272814763508,4.7523770773563045,8.290122059005895,2.6669661537414044,3.68335876889667,5.775261227789666,2887.77587890625,1092.9019775390625,1965.73046875,2077.861328125,1283.6650390625,3132.99072265625,46.22051239013672,3768.49560546875,903.2825927734375,1142.193603515625,2699.824951171875,481.6456604003906,2419.279296875,1762.3743896484375,778.0094604492188,3815.091064453125,871.2186279296875,4126.80322265625,3045.95458984375,1345.98828125,0.16862745583057404,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16862745583057404,0.16470588743686676,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.13333334028720856,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,80.53732299804688,-18.316373825073242,3.4930503368377686,80.53732299804688,-18.316373825073242,3.4930503368377686,80.53732299804688,-18.316373825073242,3.4930503368377686,81.33926391601562,-18.316375732421875,3.493048906326294,78.2967529296875,-19.19232940673828,4.42738151550293,78.83526611328125,-18.907974243164062,3.3680319786071777,78.83526611328125,-18.907974243164062,3.3680319786071777,78.83526611328125,-18.907974243164062,3.3680319786071777,78.83526611328125,-18.907974243164062,3.3680319786071777,80.53732299804688,-18.316373825073242,3.4930503368377686,10.425218471650242,20.040641888978342,-1.0,0.005938838648262732,20.0,-4.22,7.13,12
L-1:5,6.925593650227478,1.3092574233062615,2.635154696881336,2.3446346063789,4.570840826720626,1.7531263830822064,12.453904937408492,14.233270623303097,12.13982107165739,8.830866907958413,2296.742431640625,105.57579803466797,1598.357666015625,1028.4254150390625,770.4581909179688,2533.71875,760.335693359375,2828.787841796875,1981.7117919921875,2062.47216796875,2389.33740234375,564.1754150390625,1478.713623046875,1689.715576171875,529.7816162109375,1973.1614990234375,395.7567443847656,2378.461181640625,1742.57275390625,1440.1353759765625,0.16862745583057404,0.16862745583057404,0.16470588743686676,0.16470588743686676,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16470588743686676,0.16862745583057404,0.16862745583057404,0.13333334028720856,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,80.15933227539062,-21.08350944519043,5.673112392425537,80.15933227539062,-21.08350944519043,5.673112392425537,80.15933227539062,-21.08350944519043,5.673112392425537,80.29534912109375,-20.717130661010742,5.798478603363037,80.29534912109375,-20.717130661010742,5.798478603363037,80.29534912109375,-20.717130661010742,5.798478603363037,81.0506591796875,-20.857627868652344,5.314075469970703,82.40362548828125,-19.84345817565918,6.7205810546875,82.40362548828125,-19.84345817565918,6.7205810546875,82.40362548828125,-19.84345817565918,6.7205810546875,14.494871127422796,3.1441285768554805,-1.0,0.005194959069366652,4.0,0.0,6.89,36
L-1:6,7.259074636039027,10.632995641459823,17.041099858247204,18.09209988413328,3.9102439944619953,4.607179605539118,13.120833366688839,19.553031401969445,17.20167257600402,5.451743577656625,2098.087646484375,50.02116775512695,2154.0986328125,1570.5927734375,1369.456298828125,2585.6708984375,1327.798583984375,1931.583251953125,591.0789794921875,1262.8658447265625,2222.74365234375,224.15234375,2288.6435546875,2051.38671875,913.9908447265625,3075.17626953125,425.1988220214844,3105.01171875,1674.6253662109375,1893.2359619140625,0.16470588743686676,0.16862745583057404,0.16470588743686676,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16470588743686676,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.10000000894069672,0.06666667014360428,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,77.65679931640625,-21.684146881103516,5.191165447235107,77.65679931640625,-21.684146881103516,5.191165447235107,77.65679931640625,-21.684146881103516,5.191165447235107,77.90411376953125,-20.63086700439453,5.53843355178833,79.40505981445312,-21.428176879882812,5.381831645965576,79.40505981445312,-21.428176879882812,5.381831645965576,79.54849243164062,-21.931528091430664,4.800288200378418,79.54849243164062,-21.931528091430664,4.800288200378418,79.54849243164062,-21.931528091430664,4.800288200378418,79.54849243164062,-21.931528091430664,4.800288200378418,19.427221181188717,19.766268169240725,-1.0,0.005721565430085609,2.5,0.0,8.02,36
L-1:7,5.876608564020347,7.600658974426174,4.835014534614105,7.246495331783025,17.03473193912305,17.83707589756266,11.166660333407446,8.578406576125564,8.476420753714441,2.7654994221410236,2216.69775390625,208.9352569580078,1599.76318359375,1253.3974609375,674.2275390625,2061.87744140625,303.4267272949219,2338.466796875,1605.681884765625,1654.7529296875,2646.156494140625,38.078636169433594,2069.47216796875,2085.980224609375,829.072021484375,2834.705322265625,843.3140869140625,2531.050048828125,2244.533935546875,821.7296752929688,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16470588743686676,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.10000000894069672,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.13333334028720856,79.74639892578125,-19.417938232421875,5.926322937011719,79.74639892578125,-19.417938232421875,5.926322937011719,79.74639892578125,-19.417938232421875,5.926322937011719,79.560302734375,-18.887964248657227,6.485599994659424,79.560302734375,-18.887964248657227,6.485599994659424,79.560302734375,-18.887964248657227,6.485599994659424,81.41729736328125,-18.887964248657227,6.485599994659424,81.41729736328125,-18.887964248657227,6.485599994659424,81.41729736328125,-18.887964248657227,6.485599994659424,79.74639892578125,-19.417938232421875,5.926322937011719,4.608780390162278,9.239168606451958,-1.0,0.006657690650581646,2.5,0.0,8.83,68
L-1:8,7.439436148939346,7.101117702356466,6.601428637862912,9.202771150103692,19.354817123444057,7.28432671412557,17.426022417467014,7.034688211071901,12.087890060494116,3.599013922000123,3130.1806640625,676.0872802734375,2250.11279296875,2126.5927734375,941.9431762695312,3302.969482421875,784.1297607421875,4007.48388671875,3196.39208984375,1858.88525390625,3382.635986328125,1415.590087890625,2023.9459228515625,2721.060546875,0.0,0.0,476.7547912597656,2141.036865234375,1848.7337646484375,2179.402587890625,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16470588743686676,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.13333334028720856,72.635498046875,-22.566444396972656,4.351379871368408,72.635498046875,-22.566444396972656,4.351379871368408,72.635498046875,-22.566444396972656,4.351379871368408,78.81936645507812,-22.040971755981445,4.6483845710754395,78.81936645507812,-22.040971755981445,4.6483845710754395,78.81936645507812,-22.040971755981445,4.6483845710754395,78.81936645507812,-22.040971755981445,4.6483845710754395,80.2469482421875,-21.63612174987793,4.734066963195801,80.2469482421875,-21.63612174987793,4.734066963195801,72.635498046875,-22.566444396972656,4.351379871368408,33.461873628143145,3.8880639847977707,-1.0,0.003736325914749152,1.0,-5.5,5.66,100
L-1:9,3.8019436544439813,3.4178910847032986,8.639845072972246,9.078363742844271,5.40298651385601,4.193682437886286,2.5527998877979243,11.49613377338385,14.07745913994331,1.9115971929517992,2117.540283203125,12.729316711425781,2180.655517578125,1641.82861328125,561.7420043945312,2576.31689453125,979.6427612304688,2695.26123046875,2091.60498046875,1971.3956298828125,2722.249755859375,103.13264465332031,575.5775756835938,394.20257568359375,506.6819763183594,2123.312255859375,484.02276611328125,2676.6005859375,1519.2181396484375,1536.3970947265625,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16470588743686676,0.16470588743686676,0.16470588743686676,0.16862745583057404,0.16862745583057404,0.16470588743686676,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.10000000894069672,0.10000000894069672,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,89.46624755859375,-21.177627563476562,4.56168270111084,89.46624755859375,-21.177627563476562,4.56168270111084,86.7205810546875,-20.74974822998047,4.831369400024414,86.7205810546875,-20.74974822998047,4.831369400024414,86.7205810546875,-20.74974822998047,4.831369400024414,86.7205810546875,-20.74974822998047,4.831369400024414,90.39096069335938,-21.25676727294922,4.4981231689453125,90.39096069335938,-21.25676727294922,4.4981231689453125,89.46624755859375,-21.177627563476562,4.56168270111084,89.46624755859375,-21.177627563476562,4.56168270111084,8.173368097737802,7.171992075984814,-1.0,0.006401069518716577,4.5,0.0,6.84,100
L-1:10,8.66543309117537,2.273530174748275,4.509716508531404,2.5592413926511144,1.0067277654458666,21.761767280730265,12.222427487792798,4.112617054295955,7.458081172373029,8.887436516821252,1945.332763671875,791.6293334960938,1801.384765625,1802.2537841796875,1015.09912109375,2289.848388671875,513.7096557617188,2161.207763671875,1300.0159912109375,381.8794250488281,2765.53271484375,206.63375854492188,1606.1038818359375,2280.5517578125,413.0296325683594,2928.983642578125,640.1520385742188,3047.0615234375,1221.6103515625,1820.6669921875,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.16862745583057404,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,0.13333334028720856,79.27047729492188,-18.895509719848633,6.179883003234863,79.27047729492188,-18.895509719848633,6.179883003234863,79.27047729492188,-18.895509719848633,6.179883003234863,79.27047729492188,-18.895509719848633,6.179883003234863,78.8846435546875,-19.054149627685547,5.782368183135986,78.93026733398438,-19.347558975219727,6.042441368103027,80.38983154296875,-19.24905776977539,5.779021263122559,80.38983154296875,-19.24905776977539,5.779021263122559,80.38983154296875,-19.24905776977539,5.779021263122559,80.38983154296875,-19.24905776977539,5.779021263122559,22.952450167492085,6.047775313913403,-1.0,0.007192433315187806,3.0,0.0,7.55,100
