Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,22.00232346253106,14.103328709272388,22.36804237468018,15.71669768480859,4.468726153348825,3.6308924755303127,16.161575251892778,29.127464197697083,31.001676222809387,34.54153072477244,770.6650390625,361.0462646484375,831.7850952148438,327.77117919921875,720.4793090820313,1791.1156005859375,152.0435791015625,1394.8681640625,859.1079711914063,749.4129028320313,696.57080078125,122.62178802490234,1015.742919921875,1132.722412109375,348.1734619140625,1595.828857421875,149.0176239013672,974.2930297851563,1646.5118408203125,1498.3873291015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.33453369140625,-52.676517486572266,-6.738251686096191,267.33453369140625,-52.676517486572266,-6.738251686096191,267.0210266113281,-54.91761779785156,-6.568780422210693,267.0210266113281,-54.91761779785156,-6.568780422210693,267.280029296875,-55.89697265625,-6.308466911315918,266.90478515625,-55.93744659423828,-6.735825538635254,267.0765686035156,-52.41926574707031,-6.499914646148682,267.0765686035156,-52.41926574707031,-6.499914646148682,267.0765686035156,-52.41926574707031,-6.499914646148682,267.33453369140625,-52.676517486572266,-6.738251686096191,4.558950856654472,19.128246954535598,1.0,0.011921620046620047,18.0,0.0,11.69,64
L-1:2,11.92831519809812,2.831850891752496,19.10620784345999,31.365481898737663,38.48229197916092,38.82832817433677,37.27973262715397,32.37628142233181,23.012666054524452,24.790757651772015,1754.781005859375,608.525146484375,708.199462890625,1335.47021484375,211.22506713867188,1780.743896484375,490.81964111328125,1527.5224609375,1304.5008544921875,977.3804321289063,1130.8646240234375,327.47711181640625,1235.449462890625,965.3710327148438,1169.7279052734375,1064.8353271484375,780.3579711914063,1859.6260986328125,2161.180908203125,1436.807861328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.31787109375,-48.51118469238281,-2.220832109451294,267.7926940917969,-48.27173614501953,-3.5030946731567383,268.3619079589844,-49.0228157043457,-2.768632411956787,268.3619079589844,-49.0228157043457,-2.768632411956787,268.3619079589844,-49.0228157043457,-2.768632411956787,268.3619079589844,-49.0228157043457,-2.768632411956787,269.50177001953125,-48.10746765136719,-1.9600712060928345,269.50177001953125,-48.10746765136719,-1.9600712060928345,269.50177001953125,-48.10746765136719,-1.9600712060928345,269.50177001953125,-48.10746765136719,-1.9600712060928345,7.877828743258231,21.063532712767,1.0,0.010347172512526844,24.5,0.0,8.26,64
L-1:3,0.6043290873811759,10.246993923080602,37.326525080316664,46.70403894183755,41.52104520596256,37.740769551304304,40.4497100071508,40.26619625355298,32.11407411183983,14.604405131017176,262.475341796875,32.71358108520508,443.0867614746094,534.5498046875,120.24677276611328,1457.615478515625,450.489990234375,1561.752685546875,1186.2486572265625,1032.9765625,1276.5211181640625,12.887295722961426,1023.7801513671875,769.1358642578125,689.486328125,1425.173095703125,253.58839416503906,2356.771728515625,1380.041748046875,1312.19287109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0829772949219,-40.98393630981445,-2.194772481918335,267.9595031738281,-42.76374816894531,-2.215423345565796,267.9595031738281,-42.76374816894531,-2.215423345565796,267.9595031738281,-42.76374816894531,-2.215423345565796,269.9126281738281,-41.84177780151367,-1.1571707725524902,269.9126281738281,-41.84177780151367,-1.1571707725524902,269.9126281738281,-41.84177780151367,-1.1571707725524902,270.6666564941406,-40.65726089477539,-0.8235015869140625,270.6666564941406,-40.65726089477539,-0.8235015869140625,270.6666564941406,-40.65726089477539,-0.8235015869140625,5.872423362808377,22.675769818935905,1.0,0.010635727908455182,28.5,0.0,9.56,32
L-1:4,37.92757670994784,38.13739742226463,30.733279799019897,11.118660853643224,3.7878234008437186,6.317215422104178,4.262229035046934,15.05845927806833,16.297231467028972,28.666360914202276,2055.364013671875,86.69527435302734,1701.351806640625,1333.527587890625,1545.404296875,2219.240966796875,908.5396118164063,1795.939453125,1518.6959228515625,1318.3643798828125,2136.326416015625,16.190738677978516,695.3736572265625,285.85675048828125,586.2302856445313,2366.392822265625,306.9005432128906,1405.9456787109375,1815.2904052734375,855.1171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.3185119628906,-47.04081726074219,-4.438669204711914,266.3185119628906,-47.04081726074219,-4.438669204711914,266.3185119628906,-47.04081726074219,-4.438669204711914,266.3185119628906,-47.04081726074219,-4.438669204711914,267.2572326660156,-45.75520706176758,-4.0079240798950195,267.2572326660156,-45.75520706176758,-4.0079240798950195,266.8173828125,-46.46224594116211,-4.335026264190674,266.8173828125,-46.46224594116211,-4.335026264190674,266.8173828125,-46.46224594116211,-4.335026264190674,266.3185119628906,-47.04081726074219,-4.438669204711914,21.24264291220519,20.433443433902973,1.0,0.007026515151515152,17.0,3.93,6.36,100
L-1:5,29.29480112404629,8.595990262352313,4.540034313196791,15.1878376025992,10.119277707763649,25.90934660777614,41.83922384390789,41.30224652045816,30.68278308437496,33.02910611329134,2423.63623046875,565.25244140625,952.1884765625,324.9560241699219,89.66754150390625,855.4954833984375,355.2518005371094,1398.77001953125,817.8292846679688,578.604248046875,968.701171875,31.90803337097168,1994.76953125,2015.0382080078125,1458.23388671875,1960.7523193359375,351.9521789550781,1148.546142578125,1433.2103271484375,1192.1851806640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.9322814941406,-46.2626953125,-4.753157615661621,267.9322814941406,-46.2626953125,-4.753157615661621,266.6923828125,-48.549224853515625,-5.782957553863525,266.6923828125,-48.549224853515625,-5.782957553863525,266.6923828125,-48.549224853515625,-5.782957553863525,267.59710693359375,-46.82761764526367,-4.875863075256348,267.59710693359375,-46.82761764526367,-4.875863075256348,267.59710693359375,-46.82761764526367,-4.875863075256348,267.59710693359375,-46.82761764526367,-4.875863075256348,267.9322814941406,-46.2626953125,-4.753157615661621,10.90912444917312,28.144518150793893,1.0,0.01259129759129759,26.0,0.0,9.26,76
L-1:6,32.868983008308106,25.66325311018322,28.084416664097425,27.758370048644654,14.129278235958358,6.2604897320738315,5.605198909792036,1.7055140595824,13.638803791542083,31.276150111187956,1613.7593994140625,336.132080078125,1111.167236328125,326.78564453125,536.5142822265625,1748.229736328125,121.29301452636719,2378.855224609375,1345.70556640625,1552.9814453125,1191.3436279296875,305.4010009765625,2381.796142578125,1589.4942626953125,156.6914825439453,737.566650390625,350.01568603515625,997.1369018554688,2172.63232421875,1222.474853515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.1531982421875,-49.90631866455078,-5.271203517913818,265.1531982421875,-49.90631866455078,-5.271203517913818,265.1531982421875,-49.90631866455078,-5.271203517913818,265.1531982421875,-49.90631866455078,-5.271203517913818,264.96282958984375,-49.313621520996094,-5.8258562088012695,264.96282958984375,-49.313621520996094,-5.8258562088012695,264.96282958984375,-49.313621520996094,-5.8258562088012695,265.40625,-48.728511810302734,-5.235296249389648,265.9072265625,-48.293880462646484,-5.4638895988464355,265.9072265625,-48.293880462646484,-5.4638895988464355,8.338735434674291,17.784426870877358,1.0,0.009055944055944056,19.0,0.0,8.88,68
L-1:7,32.532624491703636,9.222640613444025,17.8995771969265,25.73444246790391,28.52348785383985,30.330149023749694,28.42166967370739,23.70941842221485,19.521711502534355,28.77215904525586,2566.06884765625,340.8466796875,1344.4078369140625,205.9281005859375,205.59042358398438,812.04052734375,537.2776489257813,1504.956787109375,1218.4794921875,751.9613037109375,1641.398193359375,117.3613510131836,1539.47412109375,717.9805297851563,1025.4783935546875,1415.0283203125,393.3819580078125,2008.5899658203125,2103.76904296875,947.7348022460938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.5638122558594,-42.535301208496094,-0.8001468181610107,270.4971008300781,-42.57451629638672,-0.7489891052246094,268.5322265625,-42.80632019042969,-2.5680153369903564,268.5322265625,-42.80632019042969,-2.5680153369903564,269.677734375,-42.99051284790039,-1.8144936561584473,269.677734375,-42.99051284790039,-1.8144936561584473,269.677734375,-42.99051284790039,-1.8144936561584473,270.5638122558594,-42.535301208496094,-0.8001468181610107,270.5638122558594,-42.535301208496094,-0.8001468181610107,270.5638122558594,-42.535301208496094,-0.8001468181610107,8.113580772877334,16.10454554216127,1.0,0.00960548885077187,24.0,0.0,9.6,64
L-1:8,20.809985302572706,36.39244861491035,40.371924027977585,24.621109135721913,10.844531063164052,15.830321378217052,13.904131549519866,15.224381672591031,19.802078181944758,25.467413193098604,1550.57177734375,249.21031188964844,2566.934326171875,3006.642333984375,1523.7236328125,3794.42529296875,242.54283142089844,2998.015869140625,2178.294921875,1425.02880859375,1958.5103759765625,266.0908203125,4055.093505859375,1975.1396484375,789.3502197265625,1482.9801025390625,356.081787109375,2505.649658203125,2726.994140625,2249.83251953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.18133544921875,-54.705867767333984,-6.5379486083984375,265.0513610839844,-54.21312713623047,-6.846778392791748,265.0513610839844,-54.21312713623047,-6.846778392791748,265.0513610839844,-54.21312713623047,-6.846778392791748,265.0513610839844,-54.21312713623047,-6.846778392791748,263.2442321777344,-55.54010009765625,-6.875802516937256,263.2442321777344,-55.54010009765625,-6.875802516937256,265.18133544921875,-54.705867767333984,-6.5379486083984375,265.18133544921875,-54.705867767333984,-6.5379486083984375,265.18133544921875,-54.705867767333984,-6.5379486083984375,8.908688480519023,17.514732758298894,1.0,0.005593568665377176,22.5,3.36,6.61,68
L-1:9,31.87489817807002,17.219715847311416,0.9705459017913901,17.925151485967902,25.906279888338226,19.73775414218457,21.055857057900216,30.39476297292211,27.771223216598955,34.39591315768633,832.2672729492188,197.0286865234375,955.9190673828125,264.6933898925781,36.70542526245117,276.2744445800781,252.3807830810547,475.083251953125,432.6828918457031,364.80902099609375,370.26776123046875,30.121257781982422,415.0198669433594,392.2151794433594,496.9841613769531,1194.466064453125,165.19683837890625,865.0062866210938,656.1026611328125,376.08349609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.22564697265625,-53.01450729370117,-4.214620113372803,274.22564697265625,-53.01450729370117,-4.214620113372803,274.13916015625,-52.68880844116211,-6.326090335845947,274.1575927734375,-53.26484298706055,-6.367715358734131,274.0936584472656,-54.53720474243164,-6.497380256652832,273.39422607421875,-56.1650505065918,-6.505371570587158,273.449462890625,-56.36223602294922,-6.013711452484131,274.1474609375,-55.61404037475586,-4.839040279388428,274.6595458984375,-53.41427230834961,-4.020549297332764,274.6595458984375,-53.41427230834961,-4.020549297332764,2.4600023509980855,18.283859336209996,1.0,0.01893939393939394,23.5,0.0,20.0,64
L-1:10,16.336778266557157,14.187607919714015,34.20253690065781,38.82068439956388,23.089753147984133,9.05594610783961,0.8950554023473445,12.87577739731066,25.598158334712526,29.210393550768437,987.6223754882813,202.40847778320313,466.7171936035156,727.7584838867188,198.34918212890625,912.8707885742188,413.12042236328125,1625.953369140625,512.7180786132813,877.26416015625,1389.4158935546875,164.32406616210938,0.0,0.0,146.660400390625,1075.947265625,470.3763427734375,1092.4498291015625,1496.5216064453125,1253.9031982421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.7703857421875,-54.505916595458984,-4.581726551055908,272.7703857421875,-54.505916595458984,-4.581726551055908,271.7591552734375,-56.96171951293945,-4.519844055175781,271.7591552734375,-56.96171951293945,-4.519844055175781,271.7591552734375,-56.96171951293945,-4.519844055175781,271.68792724609375,-56.54517364501953,-4.391839027404785,272.99658203125,-55.22210693359375,-4.241936206817627,273.13916015625,-54.1329460144043,-3.9786553382873535,273.13916015625,-54.1329460144043,-3.9786553382873535,273.13916015625,-54.1329460144043,-3.9786553382873535,9.851127345903242,11.619711945930867,1.0,0.01134297520661157,16.5,0.0,10.98,100
