Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.782008206392442,15.865623019698857,8.743797922608632,4.333497423072448,4.16032205653432,7.379180764576737,3.1115738157739394,16.015815401223115,2.2636304035344836,3.3118000164193653,936.2271728515625,245.59710693359375,496.4981994628906,390.5620422363281,191.4220428466797,325.6468505859375,23.95005989074707,296.72393798828125,307.2012023925781,292.1487121582031,328.5177307128906,39.20806121826172,184.00784301757813,107.63430786132813,0.0,0.0,103.96397399902344,621.6069946289063,668.80126953125,671.3507080078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.44476318359375,-110.3420181274414,52.27018356323242,132.675048828125,-110.26441955566406,51.614261627197266,132.675048828125,-110.26441955566406,51.614261627197266,131.60687255859375,-108.97431182861328,51.902347564697266,129.23641967773438,-107.7110824584961,54.406639099121094,127.65155029296875,-107.08879089355469,55.90274429321289,125.7264404296875,-107.22217559814453,57.54624938964844,125.21658325195313,-107.08263397216797,57.265174865722656,128.471923828125,-107.11549377441406,54.38093566894531,130.85784912109375,-109.43326568603516,52.9456672668457,15.870374202893597,14.260339265133085,1.0,0.024345986460348162,8.5,0.0,28.77,36
L-1:2,7.866047657009594,6.057254906730849,0.7895480516530967,5.709111915563487,2.3189381021291395,3.4342721121764965,11.794784883885903,2.0933936927910475,1.9449499542303215,4.293066771813391,376.2710876464844,3.551218271255493,473.5343322753906,327.5641784667969,92.94452667236328,281.4100341796875,400.375,755.7655029296875,818.9598388671875,640.475830078125,895.0364379882813,174.5058135986328,600.5067138671875,364.1273498535156,145.6649169921875,891.606201171875,127.40645599365234,632.5513916015625,593.4186401367188,397.54632568359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.24896240234375,-107.23409271240234,21.250959396362305,131.3243408203125,-108.12712097167969,22.2385196685791,132.74624633789063,-109.11656188964844,22.15353775024414,126.624755859375,-108.11190795898438,20.582874298095703,126.91632080078125,-108.76471710205078,15.045631408691406,126.91632080078125,-108.76471710205078,15.045631408691406,126.30050659179688,-109.44100189208984,13.792394638061523,125.943359375,-108.95931243896484,15.360031127929688,126.33523559570313,-108.0556869506836,17.29172706604004,127.54238891601563,-107.05496215820313,20.02297019958496,3.3184798401503675,6.797734645553119,1.0,0.019898236092265945,4.0,0.0,25.14,104
L-1:3,5.542330433274406,1.3074104898942651,0.6174716388126068,2.7013032655014455,5.4095773628251065,8.846215683247395,3.7116969134491553,2.3436239854164658,1.0780012744600465,1.0731232671749955,470.53131103515625,34.247581481933594,596.0882568359375,500.2637634277344,190.3782501220703,633.588134765625,3.943779945373535,359.0381164550781,511.5574645996094,526.529296875,826.1896362304688,108.79623413085938,591.4557495117188,622.0623168945313,232.45301818847656,843.638671875,144.48287963867188,517.2495727539063,405.2141418457031,252.56301879882813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.8968505859375,-105.60359191894531,25.476890563964844,126.4417724609375,-102.00894927978516,30.073556900024414,126.413818359375,-102.68304443359375,28.92432403564453,126.26361083984375,-104.29830932617188,27.464447021484375,126.1240234375,-105.5339584350586,24.799158096313477,126.30032348632813,-106.100341796875,21.692214965820313,126.07186889648438,-106.46709442138672,21.175270080566406,125.7901611328125,-106.43470001220703,22.07506561279297,125.7901611328125,-106.43470001220703,22.07506561279297,126.45654296875,-105.73382568359375,24.557411193847656,6.220983303282766,5.283765234752786,1.0,0.0189170392449081,0.5,0.0,21.76,36
L-1:4,15.91114967856786,7.997006286270432,5.78693947215594,2.4828618020277022,8.419451016243798,9.709440859180704,6.798103817104404,1.6499413143664479,0.3275060595900019,20.11521878550333,522.4841918945313,77.56346130371094,575.2901000976563,399.836669921875,206.6079864501953,609.4629516601563,119.1368637084961,647.8143920898438,700.1871337890625,673.3511962890625,742.0271606445313,35.245147705078125,656.7728881835938,574.6010131835938,146.5726776123047,652.2196655273438,268.8957824707031,390.8094787597656,454.7557678222656,243.38539123535156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.20025634765625,-103.16447448730469,27.528581619262695,125.228271484375,-103.04297637939453,27.604145050048828,125.32061767578125,-103.32035064697266,27.168079376220703,125.342041015625,-104.0641098022461,25.58451271057129,125.797119140625,-104.68914031982422,22.68815040588379,126.19729614257813,-105.46085357666016,20.72562026977539,126.2435302734375,-106.27725219726563,20.186443328857422,126.66680908203125,-105.89422607421875,21.21489906311035,125.552001953125,-104.14673614501953,24.655290603637695,125.52227783203125,-104.1086196899414,25.46029281616211,12.946185090045743,8.451846654058288,1.0,0.020479583975346688,5.0,-4.72,30.38,36
L-1:5,1.8977993277129204,4.870260775516474,2.3058457678462667,5.619794449676248,2.5974772504852055,2.7052532052023763,3.0739589756582557,4.266955247961379,0.8205409617905076,0.9267846629357995,532.4590454101563,35.164146423339844,332.5296630859375,194.52798461914063,396.5450744628906,561.370361328125,222.8949737548828,677.2109985351563,510.0060119628906,319.3327941894531,1166.4569091796875,0.09972561150789261,627.104736328125,329.00762939453125,140.9298858642578,618.1272583007813,182.30589294433594,588.1798706054688,630.1234130859375,437.2449035644531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.66754150390625,-104.31642150878906,24.82548713684082,126.41836547851563,-104.26925659179688,24.610992431640625,124.209716796875,-104.36803436279297,24.705766677856445,124.13912963867188,-105.46720123291016,22.37012481689453,124.06784057617188,-106.57391357421875,19.567018508911133,124.06784057617188,-106.57391357421875,19.567018508911133,123.75161743164063,-107.17169952392578,18.75265121459961,123.73590087890625,-106.8340835571289,19.687414169311523,123.96807861328125,-105.83364868164063,21.586380004882813,124.85934448242188,-104.90018463134766,23.889612197875977,2.199035177818676,7.181082645641649,1.0,0.02018254352030948,0.5,0.0,23.85,36
L-1:6,1.1769025275373752,8.06361883392684,8.026250810284028,3.1887948548105527,2.1174559832408324,4.216174409058632,4.405270242265832,3.132608760114893,0.2855127668678866,4.244627559190331,508.5199279785156,113.05304718017578,342.0469055175781,277.90728759765625,123.98828125,505.4341125488281,200.0194549560547,511.3970031738281,354.8998107910156,250.22618103027344,725.90478515625,77.78875732421875,548.9624633789063,483.5636291503906,170.96170043945313,515.7654418945313,170.0281982421875,517.9442749023438,373.7372741699219,343.0483093261719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.08560180664063,-102.25373840332031,27.89597511291504,124.545654296875,-102.1075210571289,28.145448684692383,124.7408447265625,-102.50927734375,27.394615173339844,124.81707763671875,-103.5169906616211,25.863832473754883,124.51416015625,-104.44537353515625,23.780118942260742,124.2315673828125,-105.61774444580078,21.749141693115234,124.107666015625,-106.29084014892578,20.951950073242188,124.0745849609375,-105.94623565673828,21.81413459777832,124.21511840820313,-103.24725341796875,25.284440994262695,124.03741455078125,-102.64845275878906,26.85423469543457,10.998615107198093,5.6202093481394,1.0,0.020956687291765825,1.0,0.0,25.16,100
L-1:7,6.3304059755458475,7.354409857909971,0.6972775602916919,4.689856315661751,3.781365926573567,1.397599715880073,3.644119355515011,1.4841733262521128,1.5250549285974855,0.8822763857866892,607.463623046875,97.115478515625,438.7462463378906,347.902587890625,115.96145629882813,524.79150390625,118.23176574707031,426.225341796875,499.5028076171875,343.9223327636719,526.5007934570313,161.06568908691406,407.0731506347656,300.8537292480469,175.67889404296875,599.6807250976563,174.27810668945313,521.0613403320313,290.0294189453125,290.3294982910156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.2098388671875,-100.38558197021484,33.910823822021484,124.43115234375,-100.31696319580078,33.39302062988281,124.65481567382813,-100.89552307128906,31.954118728637695,124.638916015625,-102.1983642578125,28.224998474121094,124.4080810546875,-102.91075897216797,26.547922134399414,124.7626953125,-103.40470886230469,25.151473999023438,124.93215942382813,-103.67316436767578,24.732791900634766,124.86187744140625,-103.84640502929688,25.401657104492188,124.68231201171875,-103.40985107421875,26.6763858795166,125.09698486328125,-102.34008026123047,28.517784118652344,4.705261804867877,5.932124192723131,1.0,0.019645877378435518,0.0,0.0,26.55,32
L-1:8,3.0832457615606463,0.3471270337822943,1.9355029749296604,6.88602486026494,22.863077215596253,23.56899180843673,7.295237869560906,0.7206204806467627,2.3686791384384,1.1060112750220579,487.7603759765625,50.80317687988281,350.6083984375,361.01806640625,274.1956787109375,636.8504638671875,98.19869232177734,595.90966796875,411.8624267578125,499.2414245605469,422.4481201171875,89.6357421875,365.8195495605469,392.2798156738281,201.2928924560547,581.5408325195313,123.80226135253906,574.74658203125,393.3750915527344,218.49034118652344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.3795166015625,-101.95087432861328,26.88429069519043,125.88232421875,-101.523193359375,27.084808349609375,126.45953369140625,-101.75859832763672,26.042213439941406,126.8756103515625,-102.26888275146484,24.38849449157715,127.09078979492188,-102.84210205078125,22.217466354370117,127.42022705078125,-103.98969268798828,19.120357513427734,127.7646484375,-104.47206115722656,18.630342483520508,127.67123413085938,-104.77800750732422,18.89069938659668,127.8570556640625,-104.44416809082031,19.8497314453125,129.4532470703125,-102.98065948486328,22.13258171081543,4.309052236551259,8.684349677349628,1.0,0.02201120797011208,7.5,-5.43,30.3,36
L-1:9,8.283908514895717,4.024623339600849,0.7467237155861075,7.23914845658536,1.4962061200649115,4.943916433373994,2.464889432561276,5.730005584587628,7.252334598632601,10.269248521396047,426.6732177734375,21.780473709106445,289.38323974609375,192.42605590820313,145.356689453125,362.4400939941406,150.49343872070313,423.9333190917969,260.59466552734375,172.30027770996094,424.9031677246094,2.2948031425476074,552.938232421875,400.7745361328125,195.73985290527344,619.16748046875,151.2486572265625,429.3671569824219,337.58563232421875,267.68072509765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.92437744140625,-103.2894515991211,18.804153442382813,125.53506469726563,-102.9710922241211,19.26508903503418,125.57574462890625,-103.52616119384766,18.54796028137207,122.06594848632813,-103.60812377929688,17.538177490234375,121.6861572265625,-104.95679473876953,14.812736511230469,121.48623657226563,-105.57688903808594,13.686342239379883,121.2083740234375,-106.21170806884766,12.520174980163574,120.93600463867188,-105.540771484375,14.212817192077637,121.32861328125,-104.46378326416016,15.928669929504395,122.52947998046875,-103.6148452758789,17.98417854309082,2.251968439981438,12.392426386977968,1.0,0.02777972027972028,5.5,0.0,36.32,68
L-1:10,1.560241873814672,0.85530230523688,5.867153787973263,8.806282930455156,7.50006641358395,5.719940049347663,2.5783940204043483,1.1644290375865844,0.7793249408311098,2.171559630129823,422.6934814453125,20.782978057861328,399.91436767578125,242.37049865722656,197.6070098876953,345.69219970703125,45.4486198425293,266.1079406738281,199.40606689453125,141.60902404785156,395.3607177734375,8.395439147949219,290.83941650390625,300.4004211425781,180.7344512939453,432.1471862792969,131.5208282470703,343.6249084472656,288.3972473144531,317.94482421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.20712280273438,-102.09226989746094,24.15864372253418,123.41348266601563,-101.9028549194336,24.50690460205078,123.57403564453125,-102.1775131225586,23.846885681152344,123.45196533203125,-102.54517364501953,22.562101364135742,122.71002197265625,-103.34590148925781,20.378414154052734,122.07351684570313,-104.12273406982422,17.732316970825195,122.19943237304688,-104.76237487792969,17.063806533813477,122.1351318359375,-104.82515716552734,17.227807998657227,123.26434326171875,-104.02128601074219,18.47654151916504,122.78176879882813,-102.80874633789063,22.5019588470459,13.537236264997278,8.751016584935769,1.0,0.031230027548209367,1.0,0.0,32.39,68
