Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.512261886565616,4.506509484507242,4.614892131059079,10.970830090887072,3.188986104250385,10.99765692711247,18.07673807439729,6.032346144145787,2.7315944582078493,4.984717625134148,487.6589660644531,113.71980285644531,596.1227416992188,316.7484130859375,56.5844612121582,832.8680419921875,143.2413787841797,748.2779541015625,399.0428771972656,222.50448608398438,1062.6527099609375,298.318115234375,851.5049438476563,531.1514892578125,703.1798706054688,885.734619140625,129.79745483398438,507.00921630859375,707.899658203125,357.6730651855469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.044921875,-118.17485809326172,3.87286376953125,103.69229125976563,-118.87387084960938,4.847121715545654,103.05905151367188,-118.59656524658203,5.045132160186768,103.05905151367188,-118.59656524658203,5.045132160186768,103.41888427734375,-118.73893737792969,4.701014041900635,103.468505859375,-118.39424133300781,4.291649341583252,103.468505859375,-118.39424133300781,4.291649341583252,104.59689331054688,-118.15894317626953,3.862264633178711,106.0501708984375,-118.6976089477539,3.3423104286193848,106.49612426757813,-117.98873138427734,3.524397134780884,9.328269103798574,9.971354587433686,-1.0,0.01779946524064171,8.0,0.0,19.02,68
L-1:2,13.879951191284972,13.095599667211449,9.114139605856861,1.3278602496869942,1.5314272107333995,0.4854021720001654,4.599304801603908,0.5087508377241352,5.796070686548139,3.6898802481747874,386.5041809082031,49.23432922363281,356.5065612792969,117.46980285644531,224.61166381835938,395.8166809082031,115.43244934082031,1060.25390625,911.0526123046875,499.12567138671875,1121.89697265625,100.23624420166016,757.3556518554688,463.2978210449219,318.3307800292969,907.679931640625,301.5489501953125,681.6884765625,520.0682983398438,158.0767822265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.10220336914063,-119.2599105834961,5.932678699493408,96.6087646484375,-119.09219360351563,5.903131484985352,96.31985473632813,-119.100830078125,5.729365825653076,101.23370361328125,-119.66638946533203,3.439663887023926,98.36312866210938,-121.28324127197266,3.324314594268799,94.61322021484375,-122.5284194946289,4.382843971252441,93.05416870117188,-122.87721252441406,5.878922939300537,94.5699462890625,-121.36385345458984,6.026435852050781,96.51815795898438,-120.331787109375,5.842241287231445,97.20486450195313,-119.23983764648438,5.891636371612549,12.811259337578248,4.091307862807491,-1.0,0.016830926083262535,3.0,0.0,22.64,36
L-1:3,6.429208029982667,1.4799469498606257,2.753544836110206,16.312844909798656,9.032777942989,3.26130237962693,3.235260001808625,7.999937567188246,5.550045892993777,7.753356834851872,810.7855834960938,124.99671173095703,566.1500244140625,161.62570190429688,862.0263671875,1574.7745361328125,309.5,637.4183959960938,1142.1546630859375,224.73623657226563,601.9559936523438,84.82752990722656,390.9598693847656,493.826416015625,214.03419494628906,900.8345947265625,258.2149658203125,740.1399536132813,623.173095703125,330.1116638183594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.88311767578125,-117.21428680419922,8.228857040405273,98.91537475585938,-117.46560668945313,8.423029899597168,97.00784301757813,-117.01167297363281,9.150378227233887,96.44845581054688,-116.679443359375,8.819482803344727,96.44845581054688,-116.679443359375,8.819482803344727,96.60018920898438,-117.55756378173828,8.529600143432617,97.29513549804688,-117.81806182861328,8.376227378845215,98.52838134765625,-117.8587417602539,8.555295944213867,98.52838134765625,-117.8587417602539,8.555295944213867,99.88055419921875,-117.35692596435547,8.312216758728027,4.63470209329741,5.714215291488496,-1.0,0.012822252374491179,0.5,0.0,16.2,100
L-1:4,1.933548871396139,6.102508130536302,13.214270416538783,12.529927329009745,1.8116611537929803,4.274402992744266,8.018868129619047,6.543374507771479,5.136143818533294,7.407089973421076,647.2131958007813,12.080187797546387,566.303466796875,484.2587585449219,25.08131217956543,434.04437255859375,70.4725341796875,915.6469116210938,855.9098510742188,761.9957885742188,1762.89794921875,21.31984519958496,941.4379272460938,688.8629760742188,130.17611694335938,812.593994140625,296.1669921875,1334.4097900390625,888.2451782226563,513.4547119140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.25894165039063,-116.6197509765625,6.231266498565674,99.59713745117188,-116.13883209228516,6.2009453773498535,99.2218017578125,-115.65522766113281,6.163926601409912,98.22650146484375,-115.80126953125,6.65305233001709,98.22650146484375,-115.80126953125,6.65305233001709,98.48541259765625,-116.18012237548828,5.7491960525512695,98.48541259765625,-116.18012237548828,5.7491960525512695,100.65328979492188,-116.77719116210938,5.379247188568115,100.65328979492188,-116.77719116210938,5.379247188568115,100.3221435546875,-116.9795150756836,6.299251556396484,21.025730138199986,8.307561366260654,-1.0,0.012969367588932806,1.0,14.57,15.0,100
L-1:5,13.809201062955575,1.3157675537528282,0.6323628103904266,2.102841832271497,4.629901636555541,3.1252834099539766,1.5971863001059217,1.8700803968715427,3.4531780207313227,10.968579248364263,399.4313049316406,4.095085620880127,403.013427734375,167.65701293945313,143.6759490966797,843.3450927734375,114.61231994628906,693.2031860351563,843.6307373046875,548.2164916992188,581.3923950195313,37.67572021484375,837.85791015625,576.0337524414063,196.31585693359375,814.2420043945313,174.9458770751953,92.74496459960938,393.4640197753906,185.79910278320313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.57293701171875,-120.34233856201172,10.680985450744629,93.15020751953125,-118.93384552001953,10.4779634475708,93.10845947265625,-118.81991577148438,10.385368347167969,92.81695556640625,-119.37520599365234,10.105530738830566,92.81695556640625,-119.37520599365234,10.105530738830566,91.58642578125,-121.31185913085938,10.496588706970215,92.59051513671875,-122.59935760498047,10.457808494567871,93.5567626953125,-122.25855255126953,10.090331077575684,95.19464111328125,-121.35396575927734,9.147265434265137,93.91217041015625,-121.65999603271484,10.838573455810547,7.4317758921319665,4.933661996399211,-1.0,0.02022599591419816,4.5,0.0,22.63,108
L-1:6,1.3771638928748404,1.4537448993560365,5.105621468211555,2.077328705157403,6.343792388869021,4.3756987960130855,7.6965635578146925,3.1902078822753324,1.3429854474714702,1.53031739749929,351.38494873046875,15.037443161010742,402.60870361328125,201.86106872558594,163.66357421875,405.0126647949219,139.24606323242188,555.3823852539063,834.9988403320313,433.6324157714844,548.3919677734375,11.68510627746582,526.7879028320313,421.6166076660156,80.45198059082031,668.4990234375,168.94544982910156,360.3592224121094,262.2191467285156,147.36199951171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.947265625,-118.6395263671875,8.447287559509277,98.666748046875,-118.34844207763672,8.40491008758545,98.37466430664063,-118.62968444824219,8.55084228515625,103.22235107421875,-117.21234893798828,5.226587772369385,100.30218505859375,-118.40833282470703,6.136389255523682,96.46426391601563,-119.32508087158203,7.866270542144775,95.91555786132813,-120.31002044677734,8.781876564025879,96.5360107421875,-120.27410888671875,9.058847427368164,97.1685791015625,-119.32392883300781,9.132222175598145,98.82916259765625,-118.5673599243164,8.442850112915039,6.65543477358935,3.828224503111882,-1.0,0.020534208059981254,0.0,0.0,25.04,68
L-1:7,5.2526435744213025,4.928614096194837,11.048780994978246,16.459837582681196,14.084143850690275,4.897408402028992,4.91992285950255,4.530874221846875,1.4300859573097144,6.212613615225459,530.6732177734375,32.45731735229492,789.4108276367188,742.6185913085938,291.7430725097656,406.5289611816406,241.1223602294922,584.0036010742188,503.57635498046875,155.9300537109375,1360.7310791015625,354.6571960449219,676.6339111328125,332.8314514160156,0.0,0.0,328.37567138671875,1334.1051025390625,522.6615600585938,276.795166015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.27377319335938,-119.04714965820313,11.1768159866333,99.15325927734375,-119.05879974365234,10.303138732910156,98.8905029296875,-118.3347396850586,10.20452880859375,98.30410766601563,-118.61003112792969,10.476629257202148,98.30410766601563,-118.61003112792969,10.476629257202148,98.00155639648438,-118.60069274902344,10.399529457092285,98.07046508789063,-119.79469299316406,10.562637329101563,94.6951904296875,-119.52225494384766,11.467751502990723,93.41900634765625,-119.78922271728516,12.421796798706055,94.89053344726563,-119.73110961914063,12.30997085571289,4.825266225244908,5.762524852498871,-1.0,0.015038090401218894,4.0,0.0,16.92,100
L-1:8,16.354693170635837,4.04563069638985,6.64888808827157,9.706911184336303,10.448487055240584,3.3949634959749506,12.233145970320946,18.461539455718494,14.307898811370515,15.988728866396183,1211.8731689453125,124.50926208496094,626.3065185546875,278.3910217285156,299.5242919921875,674.5118408203125,448.19189453125,903.3557739257813,612.666015625,616.0999145507813,883.6196899414063,65.4185791015625,970.8621826171875,1071.0943603515625,203.1783905029297,895.9189453125,279.2857360839844,960.5048828125,846.023193359375,549.1841430664063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.03213500976563,-118.25517272949219,7.6603617668151855,97.03213500976563,-118.25517272949219,7.6603617668151855,97.6151123046875,-118.20084381103516,7.037253379821777,100.90631103515625,-119.03661346435547,4.851036071777344,97.29351806640625,-119.4139404296875,5.552107810974121,95.39248657226563,-119.59564971923828,6.336935997009277,95.39248657226563,-119.59564971923828,6.336935997009277,96.91567993164063,-119.31482696533203,7.006513595581055,96.91567993164063,-119.31482696533203,7.006513595581055,97.19369506835938,-118.59776306152344,7.674595832824707,8.319791537136203,8.669140280865898,-1.0,0.012016769638128862,9.0,3.65,15.56,68
L-1:9,0.8012603258572356,1.1938734187609974,1.4514920515635323,1.0421148930532635,4.529381158934864,4.8823728374187745,4.748091960722365,3.7739057172456936,1.73234814320924,0.4894834123022656,393.0367736816406,4.756133556365967,465.1157531738281,278.2889709472656,123.334716796875,169.78424072265625,323.8741455078125,1091.283935546875,959.2359008789063,409.1313781738281,906.3721313476563,17.237470626831055,472.7208251953125,333.1914367675781,162.52720642089844,680.9306640625,280.3810119628906,710.7075805664063,477.30047607421875,360.9534606933594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.17636108398438,-121.24703216552734,9.963067054748535,94.23004150390625,-119.92839050292969,9.877992630004883,94.08172607421875,-119.55636596679688,9.836878776550293,94.0546875,-119.78874206542969,9.55712604522705,92.25466918945313,-120.94021606445313,10.092623710632324,92.33975219726563,-122.76256561279297,10.526495933532715,92.34622192382813,-124.58409881591797,11.0166015625,92.65158081054688,-124.62547302246094,11.14513874053955,93.81439208984375,-123.91642761230469,10.854188919067383,94.6864013671875,-122.31377410888672,10.306909561157227,5.886822883811983,3.407931769656139,-1.0,0.019399095668729178,0.5,0.0,23.29,100
L-1:10,7.374957811219261,3.6589468456661356,4.58454388255448,0.6277316257418374,5.029291569264342,2.197597521246135,4.340523353644703,1.1789856269813077,2.671307064774073,2.2133850548967344,473.7742919921875,2.069549322128296,471.312744140625,480.690673828125,420.2020568847656,1444.2957763671875,172.66372680664063,662.9506225585938,615.7578125,571.8787841796875,697.394287109375,76.2342529296875,502.0474853515625,430.72784423828125,260.3717346191406,1121.984130859375,172.3016815185547,537.3193359375,405.3095703125,202.28990173339844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.10516357421875,-119.84233093261719,11.637555122375488,96.47296142578125,-119.4781494140625,11.163596153259277,96.24237060546875,-119.32335662841797,11.074317932128906,95.52276611328125,-118.52063751220703,10.901702880859375,95.09796142578125,-118.68694305419922,10.870628356933594,94.94161987304688,-119.12528991699219,10.789435386657715,96.39401245117188,-119.91612243652344,10.581596374511719,90.2374267578125,-121.21427154541016,13.962348937988281,92.40505981445313,-121.18694305419922,13.690620422363281,93.22250366210938,-119.85457611083984,13.138768196105957,4.139980571234838,1.0492702593553869,-1.0,0.01770079435127979,0.0,0.0,22.92,0
