Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.3333333730697632,3.034080603760278,0.9332731353369339,3.0593020671484386,1.9959906920750625,11.401754590790137,23.99694458039487,17.59523317206389,3.6226966775575877,7.909280630868669,1847.326416015625,147.50308227539063,767.1153564453125,588.5528564453125,773.6087646484375,1023.4844360351563,770.7468872070313,1539.4522705078125,1092.8927001953125,1348.38232421875,1236.4801025390625,120.38878631591797,1517.14208984375,624.4758911132813,187.37692260742188,1470.892333984375,697.7459106445313,1417.783935546875,1396.1884765625,1146.0401611328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,50.165443420410156,-26.460126876831055,-12.928048133850098,52.01102066040039,-26.039810180664063,-11.759567260742188,52.358585357666016,-26.175352096557617,-12.18585205078125,52.57441711425781,-26.337459564208984,-12.828470230102539,52.20138931274414,-26.810222625732422,-14.231932640075684,50.91318130493164,-28.290771484375,-16.385967254638672,50.03800964355469,-29.361736297607422,-17.476224899291992,48.22949981689453,-30.785446166992188,-18.399431228637695,48.750762939453125,-29.791461944580078,-16.58942413330078,49.55332565307617,-28.050662994384766,-14.861288070678711,23.240291377352445,10.29508519616774,1.0,0.007933403805496828,6.333333522081375,0.0,15.01,100
L-1:2,2.981424058853078,4.483305191098173,4.9779792469787045,7.183875587344416,11.603267653114814,4.666666805744171,3.0753852608546692,2.249477085483031,3.751436167007094,1.854311468368362,1528.5732421875,209.64845275878906,1015.9356079101563,723.9116821289063,309.7115478515625,851.7000122070313,277.25311279296875,1585.837890625,1106.771240234375,996.2598876953125,1340.710205078125,415.90185546875,1424.218994140625,803.1491088867188,551.9937744140625,2298.023681640625,290.8298034667969,1974.059814453125,1263.0660400390625,758.5968017578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,48.44729995727539,-32.5679817199707,-14.59679889678955,49.2045783996582,-31.982877731323242,-14.13336181640625,49.501312255859375,-31.95838737487793,-14.18648910522461,49.597469329833984,-32.4830207824707,-14.811634063720703,49.06427001953125,-33.629825592041016,-16.13016700744629,48.834049224853516,-33.995399475097656,-16.536563873291016,48.920833587646484,-33.8990478515625,-16.600616455078125,47.94021224975586,-33.175209045410156,-16.4283504486084,47.759883880615234,-33.36286163330078,-16.238283157348633,48.045623779296875,-33.04087448120117,-15.317102432250977,6.036923605339283,3.6078817435652875,1.0,0.00849139543583988,1.0000000298023224,0.0,12.97,32
L-1:3,6.674994997097276,3.625139624894649,3.713472192312738,0.44864175888402635,6.860199134194428,7.007932222728862,1.5726161675132095,1.3436930183884603,2.221050000951032,0.7910262634086344,1006.6707763671875,61.55760192871094,952.2979736328125,360.7396240234375,116.14018249511719,904.6533203125,192.2083740234375,1006.4495849609375,873.7794799804688,836.5112915039063,1023.015380859375,162.2310028076172,1213.6678466796875,847.2894287109375,546.6761474609375,1799.39453125,309.31756591796875,2109.607421875,1297.7503662109375,925.4852905273438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,49.18328094482422,-28.278823852539063,-10.808279991149902,49.5987663269043,-28.127145767211914,-10.631122589111328,50.46048355102539,-27.271041870117188,-10.339534759521484,50.501529693603516,-27.407827377319336,-10.632302284240723,50.17586898803711,-28.07146453857422,-11.387917518615723,49.523399353027344,-29.075241088867188,-12.6082124710083,49.62403106689453,-29.297510147094727,-12.744882583618164,47.21833038330078,-28.61510467529297,-13.187198638916016,47.046878814697266,-29.588165283203125,-13.23874282836914,47.90633773803711,-29.211408615112305,-11.848763465881348,9.433981413211152,8.802856775761455,1.0,0.009623604465709729,1.0000000298023224,0.0,17.24,100
L-1:4,4.027682111232468,12.714955483631014,18.98041876435163,3.409664962107507,2.6015790760819333,6.871842914159654,7.0950715357829495,4.760328334948673,10.95886376003606,7.724814919211156,4049.533447265625,37.023406982421875,3490.8193359375,1073.330810546875,173.372314453125,2319.16650390625,662.59814453125,550.9679565429688,3620.944091796875,2315.14306640625,3978.30224609375,581.5951538085938,3261.10107421875,2137.261962890625,1957.9251708984375,3412.202880859375,595.835205078125,3270.6083984375,3535.349853515625,1701.3685302734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,46.03269577026367,-28.431852340698242,-10.185273170471191,46.255958557128906,-28.016489028930664,-9.57065486907959,46.60079574584961,-27.79644775390625,-9.262588500976563,47.0806770324707,-27.98807144165039,-9.04960823059082,45.02780532836914,-28.772045135498047,-11.81410026550293,45.08039855957031,-28.73028564453125,-11.948501586914063,45.11455535888672,-28.848356246948242,-11.962339401245117,45.243446350097656,-29.033620834350586,-11.834307670593262,45.69674301147461,-28.937196731567383,-11.322135925292969,45.79338836669922,-28.884675979614258,-10.920726776123047,11.205157876587457,10.892992611566127,1.0,0.00421472184531886,3.6666667759418488,9.25,7.1,32
L-1:5,2.538591110943878,2.5112088537458765,10.244174153594097,4.11820390455547,3.972920897086503,3.162277754411592,1.415539587256328,7.505871618285389,4.404681527881154,3.879814512939569,831.4497680664063,73.37494659423828,425.4630126953125,256.58758544921875,229.583984375,449.71209716796875,189.151611328125,728.5151977539063,377.8834228515625,202.5939483642578,970.8211669921875,61.3404541015625,870.673095703125,590.4898681640625,128.60777282714844,724.7588500976563,475.08123779296875,985.6493530273438,929.4597778320313,470.09259033203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,39.084754943847656,-30.799467086791992,-13.539267539978027,40.74890899658203,-29.43621063232422,-12.343504905700684,41.54779052734375,-29.492122650146484,-12.585626602172852,42.31501770019531,-29.825428009033203,-12.983436584472656,41.44496154785156,-31.727169036865234,-14.229467391967773,39.32665252685547,-35.11092758178711,-16.379962921142578,39.0533447265625,-35.886539459228516,-16.465070724487305,39.1176643371582,-36.04589080810547,-15.904071807861328,35.972286224365234,-33.0941047668457,-17.835493087768555,36.83221435546875,-32.879638671875,-16.155963897705078,10.225241404854577,11.623804873836416,1.0,0.014491449144914492,2.3333334028720856,0.0,27.6,32
L-1:6,5.705747759585759,1.0736838350028102,7.771940670185755,3.130315862275503,14.939877840441524,8.110350282104893,2.3933205536464164,7.031631757390488,1.3402473645143678,1.8747910342888179,737.9794311523438,61.86821746826172,521.078369140625,145.13880920410156,254.35215759277344,568.1867065429688,187.80709838867188,1185.5899658203125,333.8536376953125,328.34576416015625,684.6880493164063,153.07064819335938,670.12255859375,473.2255859375,335.7970886230469,700.286865234375,290.9893798828125,847.443115234375,1148.0445556640625,617.2850952148438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02352941408753395,0.02549019828438759,0.02352941408753395,39.838375091552734,-29.76498031616211,-9.773187637329102,40.65156555175781,-29.264240264892578,-8.703653335571289,41.949928283691406,-28.881622314453125,-7.569738864898682,42.105743408203125,-29.279470443725586,-7.686892986297607,39.46558380126953,-30.31930923461914,-15.553163528442383,39.06790542602539,-30.861629486083984,-15.399209976196289,39.35240173339844,-30.322935104370117,-14.34328842163086,36.3006706237793,-33.64572525024414,-16.13470458984375,36.158729553222656,-33.795074462890625,-15.352740287780762,37.8365364074707,-31.91245460510254,-12.689712524414063,10.635371072654625,12.455075155719472,1.0,0.014667776491024898,3.333333432674408,0.0,28.95,36
L-1:7,3.8005848635967117,1.0567003454240391,13.883238956090569,7.697094312588953,5.902502759260981,6.342099385822767,4.043742162703835,5.855354592171974,2.773404601205416,4.100511354631094,829.00830078125,113.32097625732422,862.2747802734375,342.91876220703125,285.26409912109375,756.3564453125,327.47698974609375,810.1033935546875,438.0274353027344,460.9464111328125,955.0943603515625,59.96171569824219,1166.435302734375,830.9912109375,255.79432678222656,906.7277221679688,567.2061157226563,1313.1358642578125,1239.4266357421875,972.8987426757813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,38.96698760986328,-28.759532928466797,-12.141401290893555,39.4278564453125,-28.806095123291016,-12.13331413269043,40.17759704589844,-27.860095977783203,-12.61108112335205,40.432525634765625,-27.761775970458984,-12.749177932739258,40.500694274902344,-28.123340606689453,-12.96230697631836,39.996299743652344,-28.714900970458984,-13.80359172821045,39.62933349609375,-29.02194595336914,-14.424223899841309,39.309417724609375,-29.196517944335938,-14.749245643615723,39.54336929321289,-28.445287704467773,-14.226479530334473,37.874847412109375,-29.24912452697754,-13.25320053100586,15.205993423783296,10.112178292501364,1.0,0.011779497098646034,3.6666667759418488,0.0,24.36,64
L-1:8,5.426273693748788,7.666300907562868,3.1486830323903643,25.707794604853028,14.547187337189975,8.49836610925901,7.081117918860244,8.240753272871753,28.3160278579038,19.85494978979363,4871.5029296875,1279.68310546875,2467.701904296875,2306.64111328125,1044.4434814453125,1336.6165771484375,2260.553466796875,4447.3466796875,4487.66650390625,2656.114990234375,4241.86572265625,518.6743774414063,3725.921630859375,2089.12109375,3537.369384765625,4946.8095703125,85.61849975585938,4966.38134765625,4438.8779296875,653.693359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.021568628028035164,0.021568628028035164,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,0.02549019828438759,0.02549019828438759,0.02352941408753395,42.04214859008789,-30.159414291381836,-10.122403144836426,42.99821472167969,-29.436565399169922,-8.56850814819336,43.85390090942383,-29.36952781677246,-7.015614032745361,41.74222183227539,-30.761014938354492,-10.812891006469727,41.741546630859375,-30.956890106201172,-11.236056327819824,41.552555084228516,-31.08808708190918,-11.850329399108887,41.506385803222656,-31.066083908081055,-11.938860893249512,41.56913375854492,-31.185598373413086,-11.782004356384277,41.64441680908203,-31.24404525756836,-11.667261123657227,41.79881286621094,-30.54849624633789,-10.921699523925781,7.031674579469889,6.0710553044773725,1.0,0.0030217572062084257,9.333333611488342,8.55,6.23,108
L-1:9,2.3333334028720856,10.343560676258452,6.41996283426463,1.4680835046621263,3.6769081785995734,1.9436506895404029,2.619465871036481,10.25994660735079,7.988672175844278,1.3812576270665708,644.64208984375,97.08221435546875,506.88409423828125,452.2290954589844,280.8385925292969,673.8775024414063,245.74948120117188,684.900146484375,533.2091064453125,309.4648132324219,496.6542663574219,92.927734375,1769.9053955078125,904.7708740234375,304.2040100097656,1125.2044677734375,762.7252197265625,1193.2110595703125,1005.66650390625,665.417236328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.02549019828438759,0.021568628028035164,0.02352941408753395,0.02549019828438759,0.02549019828438759,35.87922668457031,-36.40686798095703,-14.810858726501465,39.117591857910156,-32.57109832763672,-11.501511573791504,39.93597412109375,-32.646339416503906,-11.683826446533203,39.93270492553711,-33.67449951171875,-12.15970230102539,38.94721984863281,-36.22418212890625,-13.214068412780762,38.05339431762695,-37.986961364746094,-13.852992057800293,35.0162353515625,-37.06116485595703,-18.66071891784668,32.66883087158203,-38.59098434448242,-19.840068817138672,33.07682418823242,-38.44284439086914,-18.264223098754883,34.3762092590332,-37.7156982421875,-16.683334350585938,7.7817452518665755,7.459936257225834,1.0,0.014597184531886024,0.6666666865348816,0.0,24.59,108
L-1:10,5.374838659048369,4.999840112017788,11.343385087382584,4.9815349745358315,9.026076407748214,2.108185169607732,7.840233432352525,5.47735310786833,8.324336373092306,5.581661782296476,1905.209716796875,321.9311828613281,503.5303649902344,479.5382995605469,902.2724609375,1444.81103515625,315.1395263671875,676.3289184570313,750.0527954101563,263.5850830078125,1209.4630126953125,198.50428771972656,921.8056640625,729.9417724609375,4251.97509765625,4221.38916015625,0.0,0.0,2150.567138671875,1132.609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.02549019828438759,0.027450982481241226,0.02549019828438759,0.02549019828438759,0.03333333507180214,0.02352941408753395,0.027450982481241226,42.67861557006836,-39.092403411865234,-3.404343605041504,45.41858673095703,-37.105712890625,-1.0071324110031128,45.810325622558594,-36.78085708618164,-0.8952457904815674,45.37118911743164,-37.121299743652344,-2.18183970451355,43.27105712890625,-38.74537658691406,-4.305997848510742,40.12831115722656,-42.607852935791016,-8.050836563110352,38.007991790771484,-45.03861999511719,-9.710677146911621,36.94430923461914,-44.82467269897461,-9.868200302124023,38.688560485839844,-43.54408645629883,-8.153299331665039,38.8709831237793,-42.188175201416016,-7.2371745109558105,3.5433820431792276,11.52265359750995,1.0,0.0089171974522293,0.3333333432674408,0.0,17.6,100
