Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,9.218486911742538,5.159273222165445,1.5104499247113263,0.6343212529046142,0.7705834221653463,13.42030593650962,11.5636155410013,6.207417940758956,7.495903689608296,6.222239851908657,656.6639404296875,46.10964584350586,737.2365112304688,358.1082763671875,563.2256469726563,1148.1456298828125,355.0853576660156,1115.9130859375,425.9804382324219,124.88243865966797,977.6568603515625,42.27412414550781,1156.9976806640625,622.4297485351563,305.8897399902344,879.6739501953125,307.8391418457031,1445.3529052734375,983.6395874023438,747.8944702148438,0.26274511218070984,0.30588236451148987,0.26274511218070984,0.26274511218070984,0.3294117748737335,0.2823529541492462,0.27450981736183167,0.26274511218070984,0.26274511218070984,0.26274511218070984,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,171.41619873046875,-48.2910270690918,-3.0442233085632324,170.5562744140625,-48.284915924072266,-2.1843745708465576,169.9324951171875,-48.837799072265625,-1.706710934638977,169.9127197265625,-49.05027389526367,-2.169675350189209,173.6981201171875,-50.293556213378906,-6.396980285644531,174.4339599609375,-51.19540023803711,-7.97451639175415,174.03564453125,-51.627906799316406,-8.184006690979004,174.03564453125,-51.627906799316406,-8.184006690979004,173.07269287109375,-50.248046875,-6.70257568359375,172.3995361328125,-48.503814697265625,-4.261346340179443,3.1052163318398702,6.024937661820342,1.0,0.011464736331284375,6.000000178813934,0.0,20.25,100
L-1:2,7.505445747487784,4.8536017228080235,5.755901864298978,1.2458906847886548,5.061752755670703,5.35234258544543,12.486316878298725,4.062706642047389,4.230878693040485,13.627676641170149,1214.6768798828125,423.2406311035156,1034.99560546875,594.5091552734375,370.3528137207031,1137.892333984375,375.2361145019531,925.1444091796875,1056.747802734375,795.4973754882813,809.3510131835938,9.313666343688965,920.1563110351563,735.7578125,153.63140869140625,1614.6488037109375,393.3721008300781,1086.6954345703125,1241.5091552734375,860.1214599609375,0.3176470696926117,0.3176470696926117,0.3176470696926117,0.3176470696926117,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.3137255012989044,0.30980393290519714,0.27450981736183167,0.02352941408753395,0.01568627543747425,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.019607843831181526,172.90826416015625,-47.043052673339844,-2.6321680545806885,172.28973388671875,-46.38933563232422,-1.6733927726745605,172.7459716796875,-47.26462936401367,-2.373847007751465,173.9248046875,-47.93920135498047,-3.7200584411621094,174.555908203125,-48.7747917175293,-4.841034889221191,174.555908203125,-48.7747917175293,-4.841034889221191,175.19207763671875,-48.72970962524414,-4.583242893218994,175.02020263671875,-49.450679779052734,-7.269092082977295,174.1649169921875,-48.131866455078125,-5.121675491333008,172.90826416015625,-47.043052673339844,-2.6321680545806885,7.871809828631985,4.18356519226736,1.0,0.010018115942028985,4.0000001192092896,0.0,17.38,32
L-1:3,4.830229509381426,1.111473193457942,5.009271423375891,3.3863706569241145,1.8295206081435456,0.8761308677868677,4.352483953159,6.19128205096255,11.527377129139682,9.338787242591705,1029.374755859375,37.20652770996094,1037.80712890625,904.396240234375,420.9021911621094,709.5026245117188,310.0040283203125,798.6094360351563,857.9840087890625,572.5953979492188,925.5228881835938,73.56080627441406,704.2634887695313,727.1209716796875,350.21240234375,694.9547729492188,402.7573547363281,1092.5994873046875,608.9736328125,726.6881103515625,0.2549019753932953,0.2980392277240753,0.2980392277240753,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,174.0927734375,-46.05815124511719,-4.404946327209473,173.5537109375,-45.9974479675293,-4.2734150886535645,173.88037109375,-46.81535339355469,-5.230770111083984,174.64990234375,-47.341217041015625,-6.568300724029541,175.41796875,-47.96866989135742,-8.128632545471191,175.611328125,-49.352256774902344,-9.759257316589355,176.1065673828125,-49.51061248779297,-10.242615699768066,176.64349365234375,-48.64609146118164,-9.40822696685791,176.67742919921875,-46.77899932861328,-7.143788814544678,175.86407470703125,-45.906925201416016,-5.334355354309082,6.5904422189547445,6.782219435375007,1.0,0.011029231711049893,0.6666666865348816,0.0,20.59,76
L-1:4,13.778254210644405,9.528808828747493,3.913749300763063,9.938341229026557,2.8696240880279476,1.8243447331364275,2.691479979843152,11.289907369819483,12.773364894111854,9.632789234368591,715.0195922851563,110.00904083251953,983.1831665039063,400.2707214355469,664.6836547851563,1339.84130859375,128.6068572998047,615.6053466796875,1151.40869140625,591.0526733398438,939.40966796875,63.7781867980957,692.7943725585938,469.7409362792969,223.52902221679688,1442.516357421875,0.0,0.0,878.5615844726563,677.058837890625,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.25882354378700256,0.3019607961177826,0.07058823853731155,0.26274511218070984,0.019607843831181526,0.027450982481241226,0.02352941408753395,0.0313725508749485,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.007843137718737125,0.019607843831181526,175.4339599609375,-46.9020881652832,-4.849434852600098,173.9873046875,-47.13694381713867,-3.3628482818603516,174.55059814453125,-48.01007080078125,-4.480649471282959,175.342529296875,-49.1108283996582,-5.501739025115967,177.13995361328125,-50.529701232910156,-7.886322021484375,177.7801513671875,-51.49003601074219,-9.527358055114746,177.980712890625,-51.938812255859375,-9.996006965637207,177.8173828125,-51.18416213989258,-8.401495933532715,177.66326904296875,-50.39265060424805,-7.733008861541748,175.861328125,-47.999046325683594,-6.2001214027404785,15.159457443537164,10.068409444422773,1.0,0.012080052493438319,1.666666716337204,1.4,28.93,68
L-1:5,4.092305316536423,1.5576514395417955,2.7890786661041487,2.38452664193558,4.55235925820031,2.0848969363538434,3.3655760354903963,1.60782625893577,0.911381244328055,1.1060589523798297,653.6651611328125,42.705116271972656,1032.473388671875,675.3532104492188,252.05111694335938,844.34228515625,208.5258026123047,629.0719604492188,849.6516723632813,580.2567749023438,607.886474609375,6.848147392272949,585.7953491210938,574.0643920898438,325.2614440917969,864.8746948242188,159.36062622070313,1048.197265625,816.761962890625,467.5494689941406,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.01568627543747425,177.43310546875,-48.8646354675293,-9.564192771911621,177.0081787109375,-48.954803466796875,-9.298956871032715,176.884521484375,-49.20128631591797,-9.60125732421875,177.5450439453125,-49.652137756347656,-10.47220230102539,178.5546875,-51.35973358154297,-13.761858940124512,178.98272705078125,-51.80912780761719,-14.739279747009277,179.2623291015625,-52.130332946777344,-14.978145599365234,179.72344970703125,-51.92588424682617,-16.770240783691406,179.1826171875,-51.0555305480957,-15.260177612304688,178.4423828125,-50.16889190673828,-13.202919006347656,10.940000350337408,2.1456022145226363,1.0,0.014234997029114675,2.0000000596046448,0.0,27.38,100
L-1:6,7.004188583217901,5.41442481093493,6.891224056570204,10.78166600510911,4.675852896145253,2.419140553424606,1.5843749484362832,4.247876392252918,0.6330984370973575,3.975657137980966,640.968017578125,76.04800415039063,878.6380615234375,639.991455078125,289.34832763671875,762.1591796875,173.74407958984375,669.3348388671875,586.7220458984375,373.8590393066406,719.7044677734375,30.367231369018555,527.9818115234375,450.79052734375,227.2237091064453,660.2490234375,191.2181396484375,731.0199584960938,700.988037109375,540.0492553710938,0.3176470696926117,0.3176470696926117,0.3176470696926117,0.3176470696926117,0.3176470696926117,0.3176470696926117,0.3176470696926117,0.32156863808631897,0.3176470696926117,0.27450981736183167,0.01568627543747425,0.027450982481241226,0.01568627543747425,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.01568627543747425,177.2645263671875,-46.41363525390625,-10.288865089416504,176.722900390625,-46.3906364440918,-9.913056373596191,177.2652587890625,-47.362552642822266,-10.608152389526367,178.2344970703125,-47.54689407348633,-11.550325393676758,179.468994140625,-47.605735778808594,-13.10413646697998,180.59034729003906,-48.07529830932617,-15.356107711791992,180.425537109375,-48.24261474609375,-15.298338890075684,180.28099060058594,-47.61697006225586,-14.290715217590332,180.5089874267578,-45.7738037109375,-12.721722602844238,180.4369659423828,-44.91962814331055,-11.401939392089844,11.221252968948836,2.3503988308035866,1.0,0.015100244872972146,4.33333346247673,0.0,28.19,100
L-1:7,1.663147375504572,6.190966209141747,0.9019388025603102,5.614680911728867,1.3816922173645854,0.9115959989182285,1.416089821339107,2.011861990776272,1.5972408274956071,4.862343385100627,549.254638671875,118.23202514648438,853.5177001953125,417.9609069824219,477.2835693359375,1212.73486328125,255.92039489746094,688.9847412109375,567.4441528320313,374.37322998046875,587.2977294921875,60.85618591308594,710.6721801757813,380.2774963378906,227.00303649902344,850.5319213867188,306.52557373046875,936.2252197265625,714.1072387695313,988.5345458984375,0.32549020648002625,0.32549020648002625,0.32549020648002625,0.32549020648002625,0.32549020648002625,0.32549020648002625,0.2823529541492462,0.27843138575553894,0.2666666805744171,0.2666666805744171,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,176.625244140625,-45.4752311706543,-7.8677568435668945,176.151123046875,-45.54301834106445,-7.305891990661621,176.385986328125,-45.91959762573242,-7.776267051696777,177.408447265625,-46.50404739379883,-9.10692024230957,178.61279296875,-47.103214263916016,-10.659480094909668,179.81805419921875,-48.07582092285156,-12.934334754943848,180.1644287109375,-48.384151458740234,-13.076240539550781,180.70712280273438,-48.04018020629883,-12.269469261169434,180.53701782226563,-46.91640090942383,-10.70068645477295,179.3839111328125,-46.213932037353516,-9.365692138671875,15.43089220261534,1.1295909312549826,1.0,0.013647450110864745,2.3333334028720856,0.0,24.62,32
L-1:8,2.3366792184401244,2.4308840048969693,3.9763036882682337,1.917122328653651,6.881630722858451,2.7137816601625193,2.0059024535293153,1.5104001094003974,1.490253506572418,1.212299338275019,648.7088623046875,0.41434717178344727,494.03900146484375,459.86370849609375,271.78399658203125,608.532958984375,118.96495819091797,1221.5047607421875,338.7388000488281,175.9164276123047,252.2851104736328,0.08662790060043335,456.436767578125,326.1484375,220.70545959472656,659.183349609375,217.19960021972656,952.8391723632813,932.9627075195313,779.2344970703125,0.3019607961177826,0.3019607961177826,0.3019607961177826,0.3019607961177826,0.3019607961177826,0.32156863808631897,0.27843138575553894,0.32549020648002625,0.25882354378700256,0.25882354378700256,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,177.2596435546875,-47.421199798583984,-8.124857902526855,176.785400390625,-47.449790954589844,-7.774398326873779,177.19097900390625,-47.8936767578125,-7.950417995452881,178.13580322265625,-47.78950500488281,-8.291831970214844,179.2252197265625,-47.90326690673828,-8.71678352355957,178.8594970703125,-49.726318359375,-12.574724197387695,178.6846923828125,-51.103485107421875,-13.69808578491211,179.1500244140625,-49.76585388183594,-11.927898406982422,178.75885009765625,-48.58963394165039,-10.248830795288086,177.951171875,-47.60399627685547,-8.958080291748047,6.535501867793766,7.275054182356262,1.0,0.016768608907870654,0.0,0.23,31.41,100
L-1:9,8.94591924774803,0.24635727862529094,15.889670005116665,12.911327287380118,5.344580456407885,0.34923031487120615,6.469079853263004,6.517988012686738,3.67789054743579,8.163451612459237,2038.6143798828125,116.623779296875,1384.59619140625,550.6839599609375,707.56591796875,835.3954467773438,741.6708374023438,1415.4033203125,1306.011962890625,818.5087890625,936.8345947265625,209.3365936279297,3272.563720703125,1644.182373046875,447.660888671875,994.8091430664063,1674.3939208984375,2998.695556640625,2057.94140625,1197.7762451171875,0.3019607961177826,0.3019607961177826,0.29019609093666077,0.29019609093666077,0.3333333432674408,0.3333333432674408,0.2980392277240753,0.3019607961177826,0.3019607961177826,0.3019607961177826,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.01568627543747425,0.027450982481241226,0.02352941408753395,0.027450982481241226,182.38267517089844,-38.65224838256836,-7.494218349456787,182.19351196289063,-38.601524353027344,-6.333650588989258,183.7040557861328,-38.90007400512695,-7.294177055358887,183.7040557861328,-38.90007400512695,-7.294177055358887,185.46470642089844,-38.93931198120117,-8.447689056396484,186.4375457763672,-39.22962951660156,-7.769640922546387,184.03826904296875,-38.77824020385742,-9.248173713684082,184.03826904296875,-38.77824020385742,-9.248173713684082,182.38267517089844,-38.65224838256836,-7.494218349456787,182.38267517089844,-38.65224838256836,-7.494218349456787,13.083441797793947,15.375774186868362,1.0,0.00847830153385709,1.3333333730697632,0.0,12.95,108
L-1:10,7.874697098338401,7.133545520441544,7.897819143645141,3.7665797681926017,4.386515161919778,1.6029487195775383,7.348685274174857,11.848771710383453,9.427614755545246,3.794701251403977,1348.4908447265625,54.21963119506836,1516.7501220703125,900.4823608398438,348.48779296875,1617.863525390625,610.7060546875,1353.1375732421875,1191.872802734375,690.8231201171875,1608.918212890625,338.5005187988281,1159.023681640625,958.47607421875,427.2138977050781,1127.1865234375,205.23155212402344,1369.9241943359375,1054.0609130859375,1046.8541259765625,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,178.80462646484375,-35.87617492675781,-3.1379871368408203,178.80462646484375,-35.87617492675781,-3.1379871368408203,180.1075897216797,-36.362037658691406,-3.785451889038086,181.4377899169922,-36.104820251464844,-4.487091541290283,181.4377899169922,-36.104820251464844,-4.487091541290283,175.586669921875,-42.73212814331055,-11.216425895690918,175.586669921875,-42.73212814331055,-11.216425895690918,177.114013671875,-39.61887741088867,-7.362627983093262,177.114013671875,-39.61887741088867,-7.362627983093262,178.18359375,-36.62784957885742,-4.021717548370361,7.0084354167082665,6.1028471451927455,1.0,0.008243265993265993,2.0000000596046448,0.0,13.99,36
