Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,4.7726071633268905,1.4624543178097043,5.787660586846207,1.7988124969741792,5.478217604272338,4.7726071633268825,4.9527596284308375,3.12899214525036,3.4520174122018936,0.7441192477250598,619.4173583984375,30.72816276550293,1053.058837890625,426.5826416015625,246.35105895996094,713.0714111328125,247.93202209472656,958.1787109375,858.1043090820313,564.594970703125,1174.2769775390625,10.224403381347656,892.8060302734375,639.9535522460938,632.2925415039063,1114.498046875,348.9194030761719,514.7496948242188,410.91033935546875,128.3789825439453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.12352941930294037,0.0882352963089943,0.12352941930294037,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.1411764770746231,182.37205505371094,-28.18017578125,-8.93371295928955,180.3478240966797,-27.534873962402344,-7.284194469451904,178.74215698242188,-27.160188674926758,-5.975640296936035,176.76612854003906,-28.155649185180664,-6.327333450317383,174.425537109375,-30.555500030517578,-8.86176872253418,175.58653259277344,-32.666934967041016,-11.075126647949219,178.20980834960938,-34.009525299072266,-13.431244850158691,182.90049743652344,-32.85834884643555,-17.26471519470215,184.86276245117188,-31.784059524536133,-15.45232105255127,184.98878479003906,-30.398231506347656,-13.143353462219238,11.836854289142206,2.301174810716564,-1.0,0.014364631718646315,0.6666666865348816,0.0,24.74,32
L-1:2,0.6666666865348816,2.8638396053521586,0.9581110392388265,0.5012628536810062,3.2540248380442627,3.349958640210176,1.2590582733874447,5.091469061149838,3.064840046918211,2.5623538605559815,1171.565185546875,48.10380554199219,452.3341979980469,357.4901123046875,252.6968536376953,484.6606750488281,602.2896118164063,1290.137451171875,697.01318359375,612.064208984375,892.8602294921875,67.08415985107422,753.9357299804688,602.7828979492188,358.08331298828125,694.7303466796875,318.33990478515625,862.6282348632813,904.5466918945313,689.7237548828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.10588236153125763,0.12352941930294037,0.10588236153125763,0.12352941930294037,174.90296936035156,-28.04551887512207,-5.597522735595703,175.56414794921875,-27.097347259521484,-4.435207843780518,175.97901916503906,-27.301790237426758,-3.978656530380249,186.27511596679688,-29.56329917907715,-8.214469909667969,186.27511596679688,-29.56329917907715,-8.214469909667969,181.73013305664063,-34.26201629638672,-13.813204765319824,179.0856170654297,-34.13559341430664,-12.744100570678711,174.89881896972656,-33.86262893676758,-11.858290672302246,175.00665283203125,-29.81795310974121,-7.282332420349121,174.90296936035156,-28.04551887512207,-5.597522735595703,6.936217555610323,8.184831163963404,1.0,0.014071108815426999,3.000000089406967,0.0,23.35,44
L-1:3,3.7267800735663474,0.7131109160196067,2.6633377536502474,1.7142662217236202,3.1997487076687556,1.201850460972581,4.794334709997732,4.7560062707259725,6.790307963783299,1.3606141247562131,1356.65966796875,133.54428100585938,2070.094482421875,1099.0645751953125,154.33033752441406,817.8126220703125,432.67889404296875,1141.75927734375,1151.2802734375,852.011474609375,1362.701416015625,142.15438842773438,705.5313720703125,494.8892517089844,342.6149597167969,1072.9996337890625,418.5914306640625,1618.8182373046875,781.2960815429688,520.1654663085938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12352941930294037,0.12352941930294037,0.10588236153125763,0.10588236153125763,0.12352941930294037,0.1411764770746231,0.1411764770746231,0.1411764770746231,0.12352941930294037,0.12352941930294037,181.59298706054688,-23.23072052001953,-3.4222447872161865,178.56736755371094,-22.554954528808594,-1.9209445714950562,178.56736755371094,-22.554954528808594,-1.9209445714950562,176.14601135253906,-24.142240524291992,-2.4809322357177734,172.62484741210938,-27.56330108642578,-5.441699981689453,176.025390625,-28.775911331176758,-7.808661460876465,177.97962951660156,-29.19021987915039,-9.379913330078125,180.809814453125,-29.411239624023438,-9.327017784118652,181.73110961914063,-28.432859420776367,-8.55380916595459,183.35536193847656,-25.068958282470703,-5.2579264640808105,17.30767383013842,3.3752147605082263,-1.0,0.0120508658008658,2.3333334028720856,0.0,22.27,36
L-1:4,12.33333370089531,0.9256140338966453,12.745879761898196,22.51942100336302,13.723848230146741,7.007932222728863,0.6492804562459057,8.974299362902366,20.90813659906108,30.922467469004594,1550.7392578125,231.899169921875,623.262939453125,814.29736328125,206.2421875,892.2362060546875,492.074462890625,1511.99951171875,927.4664306640625,747.93115234375,1096.585205078125,53.181922912597656,1432.819580078125,721.5296630859375,954.8119506835938,2157.320556640625,543.218017578125,1956.84716796875,1084.7327880859375,647.2039794921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.12352941930294037,0.12352941930294037,0.10588236153125763,0.10588236153125763,0.12352941930294037,0.1411764770746231,0.12352941930294037,0.10588236153125763,0.12352941930294037,182.81842041015625,-25.233966827392578,-2.222702980041504,180.2330322265625,-24.992319107055664,-1.6445834636688232,178.69061279296875,-25.46461296081543,-1.1059644222259521,176.23841857910156,-28.093637466430664,-3.9155211448669434,176.23841857910156,-28.093637466430664,-3.9155211448669434,177.45855712890625,-29.937149047851563,-6.793179035186768,180.82276916503906,-31.218793869018555,-9.011271476745605,182.43270874023438,-32.162689208984375,-10.421353340148926,182.43270874023438,-32.162689208984375,-10.421353340148926,184.5430450439453,-26.082807540893555,-3.6647584438323975,4.737556942374161,20.844302214281353,-1.0,0.008441021788129227,0.6666666865348816,6.34,19.26,36
L-1:5,3.1446604710703836,3.1997487076687556,6.3145477042892875,10.9441567709513,2.8892263373124907,1.054092584803866,4.039792745201379,2.2679320446588407,3.3913946212398205,3.40579345907967,1138.371826171875,51.61643981933594,484.52703857421875,482.52020263671875,23.712587356567383,897.686279296875,119.43425750732422,603.9585571289063,530.1115112304688,403.30926513671875,652.2534790039063,42.076454162597656,606.706298828125,469.0605773925781,183.5525360107422,612.1707153320313,355.49127197265625,750.1282348632813,993.829345703125,939.0257568359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.10588236153125763,0.0882352963089943,0.12352941930294037,0.10588236153125763,0.12352941930294037,0.10588236153125763,0.1411764770746231,0.12352941930294037,0.12352941930294037,180.8087615966797,-21.614011764526367,-1.310109257698059,175.97293090820313,-21.413515090942383,0.17916738986968994,176.16030883789063,-22.081268310546875,0.11752154678106308,175.62777709960938,-26.45841407775879,-2.2534523010253906,177.80642700195313,-28.746810913085938,-3.553973436355591,179.6273956298828,-30.36540985107422,-8.019076347351074,180.97503662109375,-30.769868850708008,-9.943854331970215,184.1203155517578,-30.087635040283203,-10.027511596679688,185.2938690185547,-27.83602523803711,-7.946376323699951,184.716064453125,-24.169116973876953,-4.44630241394043,10.671874047101369,2.8437995711522213,-1.0,0.01590378787878788,0.3333333432674408,0.0,29.99,36
L-1:6,0.9428090696799625,6.446607889536461,1.652836194494315,4.338195987158789,4.370111327233669,1.8856181393599112,4.065645285949561,2.0317951781703028,2.33188318596721,1.5940608054206662,1054.9547119140625,122.90153503417969,511.0952453613281,205.7108612060547,267.95147705078125,891.1742553710938,155.4321746826172,603.4806518554688,514.6832275390625,408.5259704589844,776.199951171875,159.52769470214844,843.632568359375,560.1968994140625,317.67169189453125,752.140380859375,336.1422119140625,1431.50048828125,853.5966796875,751.5643310546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12352941930294037,0.1411764770746231,0.10588236153125763,0.10588236153125763,0.12352941930294037,0.12352941930294037,0.10588236153125763,0.0882352963089943,0.10588236153125763,0.12352941930294037,176.09593200683594,-22.497453689575195,-3.0617589950561523,179.18612670898438,-21.016170501708984,-1.0053225755691528,179.88137817382813,-20.847597122192383,-1.1824833154678345,182.15440368652344,-21.986373901367188,-2.5082662105560303,182.4974822998047,-23.115982055664063,-4.339872360229492,184.54025268554688,-30.235151290893555,-13.59371566772461,181.51828002929688,-30.246522903442383,-13.947945594787598,178.06951904296875,-30.043352127075195,-13.207901954650879,174.90835571289063,-27.434497833251953,-9.035552978515625,175.14627075195313,-24.65580177307129,-5.187200546264648,8.33333358168602,9.28604662363956,1.0,0.01375034965034965,0.6666666865348816,0.0,28.09,36
L-1:7,4.384315609984752,3.495725072994432,4.239846411299529,1.1742037202171143,9.458333321136172,3.43187681594023,3.027602575456732,1.6775879054193183,2.7747753659475487,2.9289459617994678,1167.8914794921875,143.35299682617188,516.55224609375,314.2784423828125,158.97781372070313,755.9512329101563,464.3004455566406,1325.6923828125,927.9204711914063,584.3663940429688,1633.1646728515625,197.6554412841797,908.6419677734375,578.5531616210938,186.87445068359375,1092.5465087890625,116.19805908203125,991.866943359375,1029.2313232421875,536.0310668945313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.12352941930294037,0.10588236153125763,0.12352941930294037,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.12352941930294037,180.82667541503906,-25.8686466217041,-6.618168354034424,181.02603149414063,-25.448619842529297,-5.870635509490967,183.34490966796875,-25.29508399963379,-5.033666133880615,182.62274169921875,-25.726743698120117,-5.677136421203613,188.8259735107422,-33.18692398071289,-15.859793663024902,186.1490936279297,-33.80119323730469,-16.860910415649414,182.1868896484375,-33.61538314819336,-16.524639129638672,181.47715759277344,-32.079978942871094,-13.400568962097168,181.02902221679688,-29.156917572021484,-10.450961112976074,180.14939880371094,-28.1118221282959,-8.8162841796875,7.401201324297821,10.843864733705235,1.0,0.013700353045013238,1.666666716337204,0.0,26.61,100
L-1:8,19.405040015419086,2.9360728179219087,4.4898691592213,3.6067193041183763,6.815746820094283,17.62889095495168,3.8776162530026417,10.056444856991845,12.051761753276255,3.254748540422843,1377.661865234375,15.449063301086426,0.0,0.0,184.8201446533203,1056.2197265625,339.9552307128906,1500.826416015625,792.3984375,731.217041015625,1277.7535400390625,203.40158081054688,977.994384765625,1455.0369873046875,188.63243103027344,1728.3017578125,358.5023193359375,1502.1962890625,980.7272338867188,1461.7987060546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12352941930294037,0.0882352963089943,0.12352941930294037,0.12352941930294037,0.10588236153125763,0.10588236153125763,0.12352941930294037,0.12352941930294037,0.12352941930294037,0.12352941930294037,186.99510192871094,-24.867759704589844,-5.428994655609131,184.46685791015625,-25.399534225463867,-3.88024640083313,183.40789794921875,-25.71946144104004,-4.229625225067139,183.20809936523438,-26.27440643310547,-4.678941249847412,181.91175842285156,-28.883316040039063,-6.838280200958252,182.15574645996094,-29.947046279907227,-8.693511009216309,184.24642944335938,-30.092329025268555,-9.80902099609375,184.24642944335938,-30.092329025268555,-9.80902099609375,186.84814453125,-28.04473876953125,-8.280673027038574,186.84814453125,-28.04473876953125,-8.280673027038574,6.437736163802138,11.412210064170356,-1.0,0.011827797202797204,0.3333333432674408,3.79,19.33,68
L-1:9,0.7453560147132695,4.8479506337925,5.437570976788329,0.8959625577967709,4.353463866942958,3.6817871154548905,3.8222223277211,2.4503844871390674,1.7057002760005822,7.111992830762178,907.266845703125,1.415246605873108,695.7982788085938,396.48931884765625,64.19324493408203,476.06988525390625,157.52003479003906,365.84552001953125,658.2869873046875,625.8787231445313,1541.0892333984375,99.63500213623047,847.9492797851563,666.0015258789063,504.236572265625,1563.3802490234375,553.76416015625,1391.9896240234375,1198.0997314453125,889.1051025390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.10588236153125763,0.10588236153125763,0.12352941930294037,0.1411764770746231,0.12352941930294037,0.12352941930294037,0.12352941930294037,0.0882352963089943,0.10588236153125763,176.5000457763672,-23.335010528564453,-5.871102809906006,178.01979064941406,-22.10572052001953,-4.064776420593262,178.88748168945313,-21.28733253479004,-3.485011577606201,179.12290954589844,-21.922786712646484,-3.851452350616455,182.62118530273438,-26.72339630126953,-10.540477752685547,182.62118530273438,-26.72339630126953,-10.540477752685547,180.01449584960938,-28.459989547729492,-11.608633041381836,177.62510681152344,-27.814556121826172,-10.560250282287598,176.28543090820313,-26.042339324951172,-8.44189167022705,176.28543090820313,-26.042339324951172,-8.44189167022705,4.3461350663266805,13.44236734763836,1.0,0.013299284984678243,1.666666716337204,0.0,22.32,100
L-1:10,9.718253447702015,2.066309246977257,6.199485230500698,5.151406089554937,4.634864048310831,3.2829526984383053,4.50868535634584,5.838558624308415,11.362418498006969,12.243004668532308,1418.3548583984375,207.04736328125,1407.1441650390625,532.6541137695313,272.6322021484375,1247.1966552734375,167.500244140625,1262.126953125,1180.004150390625,983.0,1595.1329345703125,56.09773254394531,882.8489379882813,521.1377563476563,262.2579345703125,1550.1085205078125,314.5003662109375,1249.5465087890625,1013.674072265625,847.074951171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10588236153125763,0.10588236153125763,0.12352941930294037,0.1411764770746231,0.10588236153125763,0.10588236153125763,0.12352941930294037,0.12352941930294037,0.12352941930294037,0.12352941930294037,177.42401123046875,-23.710962295532227,-6.81770133972168,178.6748809814453,-22.487009048461914,-4.748694896697998,186.06906127929688,-25.6964111328125,-9.632917404174805,186.06906127929688,-25.6964111328125,-9.632917404174805,184.7828369140625,-28.4222354888916,-12.78508472442627,180.79783630371094,-30.217330932617188,-14.572789192199707,180.79783630371094,-30.217330932617188,-14.572789192199707,177.37579345703125,-29.324440002441406,-13.12947940826416,176.68380737304688,-26.060029983520508,-9.629310607910156,177.42401123046875,-23.710962295532227,-6.81770133972168,3.8873013790808058,5.116290398781102,1.0,0.009287307032590052,4.0000001192092896,0.0,15.47,0
