Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,15.234625398583198,11.833717584682699,6.342100451253493,1.7516725845740604,1.334488542658221,3.4480329572691244,3.004589585468919,2.4143546483869853,7.535259093053603,3.7924932915045404,1270.4521484375,14.9243745803833,1274.62890625,820.8075561523438,1725.5677490234375,2687.033935546875,344.00775146484375,1629.6279296875,1125.2001953125,1074.33935546875,1969.66796875,78.61182403564453,1055.46044921875,888.6732788085938,441.0611877441406,947.6737060546875,416.3000183105469,1775.7509765625,1766.46240234375,345.51751708984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027450982481241226,0.027450982481241226,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.02352941408753395,0.021568628028035164,0.02352941408753395,0.021568628028035164,0.027450982481241226,332.4415588378906,-18.88487434387207,-1.381919264793396,332.4501953125,-18.9638729095459,-1.3987873792648315,332.4501953125,-18.9638729095459,-1.3987873792648315,332.45904541015625,-19.067203521728516,-1.5019547939300537,332.62774658203125,-18.61221694946289,-1.5542081594467163,332.6295166015625,-18.613710403442383,-1.545514464378357,332.532470703125,-18.619155883789062,-1.4453719854354858,332.532470703125,-18.619155883789062,-1.4453719854354858,332.43768310546875,-18.707502365112305,-1.3946843147277832,332.43951416015625,-18.794540405273438,-1.380162000656128,17.851649792080067,11.899235313045839,-1.0,0.007872727272727273,2.75,0.0,17.32,68
L-1:2,3.0176438605299567,6.57393532033057,5.905314376542889,4.031208422341022,9.327709439797136,12.271925630943429,8.020251753807745,2.064059337994849,4.138021600750062,3.983921682486923,2197.027587890625,217.60198974609375,1416.8187255859375,765.7530517578125,483.0325927734375,1617.57080078125,599.667236328125,3086.94287109375,2417.226806640625,717.1727905273438,1749.265625,34.27528762817383,1957.29931640625,1568.7200927734375,819.5242309570312,2525.28515625,402.6014099121094,1144.4552001953125,2833.20947265625,2555.992919921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.01568627543747425,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.01568627543747425,0.027450982481241226,0.013725491240620613,332.46148681640625,-19.31573486328125,-1.3699802160263062,332.46710205078125,-19.36998176574707,-1.3879995346069336,332.46710205078125,-19.36998176574707,-1.3879995346069336,332.4739074707031,-19.50821876525879,-1.527051329612732,332.4817810058594,-19.51356315612793,-1.4731671810150146,332.4817810058594,-19.51356315612793,-1.4731671810150146,332.4696350097656,-19.566570281982422,-1.473384141921997,332.4696350097656,-19.566570281982422,-1.473384141921997,332.46484375,-19.63666343688965,-1.4596315622329712,332.46484375,-19.63666343688965,-1.4596315622329712,4.559188267921551,4.899870271772841,-1.0,0.005745679939894816,1.5,0.0,13.11,108
L-1:3,9.782604184725546,1.8059421415818653,2.5629430552506753,4.592015770036644,11.277642112427259,5.180177967446105,9.266950268999738,5.627375386108959,3.844731381492512,14.96421234352196,3824.335693359375,1389.083251953125,2702.545654296875,2452.429443359375,329.00006103515625,1055.341064453125,861.9899291992188,1494.34375,1461.6297607421875,1044.773193359375,1643.744384765625,190.32064819335938,3014.244384765625,2007.247802734375,496.9033508300781,1819.66357421875,216.6609649658203,4570.71826171875,2665.026611328125,2012.5113525390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.01568627543747425,0.01568627543747425,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.021568628028035164,0.02352941408753395,0.019607843831181526,0.021568628028035164,332.5038146972656,-19.808921813964844,-1.198501706123352,332.5038146972656,-19.808921813964844,-1.198501706123352,332.5065612792969,-19.721717834472656,-1.4718354940414429,332.5061340332031,-19.737857818603516,-1.4531890153884888,332.5055236816406,-19.706974029541016,-1.3535388708114624,332.5055236816406,-19.706974029541016,-1.3535388708114624,332.4959411621094,-19.68783187866211,-1.1798362731933594,332.4959411621094,-19.68783187866211,-1.1798362731933594,332.4945373535156,-19.71370506286621,-1.1401431560516357,332.4945373535156,-19.71370506286621,-1.1401431560516357,11.713247568869154,4.983104884839419,-1.0,0.004989054854493948,0.75,0.0,11.07,36
L-1:4,10.795185315731109,10.224591454478794,7.4730107536677846,4.554564432849323,11.572712940938544,5.500183449199991,8.398529181172922,8.125628087507444,5.440276697273321,1.553969744611477,4240.5732421875,51.077003479003906,3454.923828125,1983.8350830078125,935.223388671875,3076.39697265625,105.92076110839844,4106.8583984375,2743.465087890625,903.9696655273438,4374.38671875,147.2787628173828,3860.32763671875,2132.225830078125,610.54638671875,4358.2607421875,2141.735595703125,5121.90576171875,3212.85888671875,1417.484619140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.01568627543747425,0.01568627543747425,0.021568628028035164,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.02352941408753395,0.021568628028035164,332.5097961425781,-20.793363571166992,-1.7780758142471313,332.51153564453125,-20.913572311401367,-1.8589845895767212,332.51153564453125,-20.913572311401367,-1.8589845895767212,332.5328674316406,-20.934703826904297,-2.0044944286346436,332.5328674316406,-20.934703826904297,-2.0044944286346436,332.55157470703125,-20.76919174194336,-1.7303814888000488,332.55157470703125,-20.76919174194336,-1.7303814888000488,332.5516052246094,-20.61138343811035,-1.2497035264968872,332.5044250488281,-20.704322814941406,-1.9589061737060547,332.5097961425781,-20.793363571166992,-1.7780758142471313,6.0603703169778536,6.688196258543574,-1.0,0.0031332160710979447,0.5,4.45,9.67,36
L-1:5,7.116638631415554,9.53068116884327,9.038654826030857,1.0722409920570943,2.7409609526058203,8.954092988684001,7.247803893003937,4.196345860559391,3.1863439010149164,2.2139254445031846,1900.4461669921875,412.3026428222656,1059.0733642578125,939.0731201171875,897.4346313476562,2360.52783203125,178.82916259765625,893.392822265625,1832.2723388671875,1662.373779296875,2941.16162109375,437.474853515625,2418.13427734375,2596.944091796875,879.5614013671875,2768.686279296875,1064.2916259765625,1640.1373291015625,1530.5736083984375,1056.9637451171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021568628028035164,0.021568628028035164,0.01568627543747425,0.021568628028035164,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.019607843831181526,0.021568628028035164,0.019607843831181526,333.24127197265625,-20.39288902282715,-1.2759672403335571,333.2545471191406,-20.386993408203125,-1.3054205179214478,333.2564697265625,-20.361249923706055,-1.306674599647522,333.2564697265625,-20.361249923706055,-1.306674599647522,333.2561340332031,-20.43893814086914,-1.4152709245681763,333.2557067871094,-20.387996673583984,-1.3459913730621338,333.2557067871094,-20.387996673583984,-1.3459913730621338,333.25384521484375,-20.370054244995117,-1.280829668045044,333.25384521484375,-20.370054244995117,-1.280829668045044,333.24127197265625,-20.39288902282715,-1.2759672403335571,5.7747905214307345,6.779440673556249,-1.0,0.0054974747474747475,0.75,0.0,12.44,68
L-1:6,10.976003655702744,18.068558444038576,10.405096006499791,1.1006920991260378,5.32487210835276,7.728020787876516,6.014292910389576,1.945650389755383,3.654238514933435,2.1204002718973562,2316.793701171875,492.991943359375,1670.828369140625,1226.718994140625,875.2520751953125,1433.340087890625,1028.6693115234375,1871.6573486328125,3037.0322265625,2720.77978515625,2199.91455078125,484.52276611328125,892.2039184570312,848.6138916015625,1693.9287109375,2608.013916015625,554.3388671875,1329.9722900390625,2372.152587890625,1350.7735595703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.021568628028035164,0.013725491240620613,0.01568627543747425,0.021568628028035164,0.02352941408753395,0.019607843831181526,0.021568628028035164,0.027450982481241226,333.2920837402344,-20.374780654907227,-1.209877371788025,333.2920837402344,-20.374780654907227,-1.209877371788025,333.3011474609375,-20.39478302001953,-1.2547082901000977,333.264404296875,-20.33022117614746,-1.253548502922058,333.264404296875,-20.33022117614746,-1.253548502922058,333.27197265625,-20.355804443359375,-1.2637490034103394,333.27197265625,-20.355804443359375,-1.2637490034103394,333.2787170410156,-20.353759765625,-1.2054904699325562,333.2787170410156,-20.353759765625,-1.2054904699325562,333.283935546875,-20.369855880737305,-1.1998727321624756,7.564406729944219,1.9919970257251822,-1.0,0.005088625489343192,4.0,0.0,13.37,100
L-1:7,6.025024363361659,7.316005929615905,8.40372812859352,5.9399936593327665,9.522328167614253,11.817756411758792,13.581005811767223,13.886179273874541,8.230501992852764,4.258497926007059,4904.2822265625,238.31736755371094,2063.72216796875,1942.3094482421875,1060.9521484375,2443.052001953125,914.7357788085938,2192.1181640625,1589.9249267578125,1426.104736328125,1677.001953125,241.24827575683594,1513.5528564453125,1187.3778076171875,1902.172607421875,3911.265380859375,333.1728515625,2130.599365234375,1438.41748046875,1323.675048828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.019607843831181526,0.027450982481241226,0.021568628028035164,0.021568628028035164,0.021568628028035164,333.34637451171875,-20.337129592895508,-1.1742324829101562,333.34808349609375,-20.377155303955078,-1.1683769226074219,333.34808349609375,-20.377155303955078,-1.1683769226074219,333.3466796875,-20.430845260620117,-1.21794593334198,333.3481750488281,-20.431631088256836,-1.2130907773971558,333.3481750488281,-20.431631088256836,-1.2130907773971558,333.3473815917969,-20.42456817626953,-1.1715096235275269,333.3473815917969,-20.42456817626953,-1.1715096235275269,333.3497009277344,-20.437503814697266,-1.1484622955322266,333.3497009277344,-20.437503814697266,-1.1484622955322266,13.05217908299979,5.150604440921646,-1.0,0.005630326704545455,6.0,0.0,13.59,36
L-1:8,4.807424271374433,4.407967351770382,8.110275800497796,12.37125277420012,3.7622418333985883,4.286198116421229,12.768251901407838,22.22728556263642,4.5454119878562835,6.904105409065067,3856.3154296875,108.4101791381836,3416.3349609375,1951.5845947265625,1808.2381591796875,3247.656494140625,748.2188720703125,4290.5673828125,3936.51513671875,1232.3380126953125,2775.27392578125,630.8418579101562,2347.430908203125,1182.337646484375,1727.122802734375,4513.1552734375,1170.93994140625,4625.4990234375,3045.585693359375,1876.7113037109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019607843831181526,0.021568628028035164,0.02352941408753395,0.01568627543747425,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.005882353521883488,0.01568627543747425,0.021568628028035164,333.36962890625,-20.304885864257812,-0.9682828187942505,333.36962890625,-20.304885864257812,-0.9682828187942505,333.3694152832031,-20.317899703979492,-0.989312469959259,333.3694152832031,-20.317899703979492,-0.989312469959259,333.3671875,-20.328153610229492,-1.0940808057785034,333.3671875,-20.328153610229492,-1.0940808057785034,333.3316345214844,-20.273738861083984,-0.8465393781661987,333.3316345214844,-20.273738861083984,-0.8465393781661987,333.3577880859375,-20.269227981567383,-1.0624457597732544,333.36962890625,-20.304885864257812,-0.9682828187942505,4.447282780215046,3.723726107336053,-1.0,0.0031152529478889308,3.5,5.21,9.36,108
L-1:9,2.6384174215765244,2.5654652337702255,9.112367391251333,4.354482601180498,1.1405835920876608,3.6984911548508217,8.505688733715672,12.957167320582592,0.8774631713719212,3.4044716854003503,3991.634765625,536.7305297851562,2220.382568359375,1806.1197509765625,379.7861328125,2647.65966796875,382.8466796875,3269.639404296875,2187.031494140625,921.6314086914062,1478.6195068359375,12.67683219909668,1257.3134765625,1581.3631591796875,2217.164306640625,4042.594482421875,250.80023193359375,1193.10791015625,2095.169677734375,1299.8416748046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.021568628028035164,0.019607843831181526,0.021568628028035164,333.39111328125,-20.36901092529297,-0.5873746275901794,333.39111328125,-20.36901092529297,-0.5873746275901794,333.3992919921875,-20.389680862426758,-0.5868557095527649,333.3992919921875,-20.389680862426758,-0.5868557095527649,333.3992919921875,-20.389680862426758,-0.5868557095527649,333.3726806640625,-20.33974266052246,-0.621232807636261,333.37469482421875,-20.337326049804688,-0.6108864545822144,333.37469482421875,-20.337326049804688,-0.6108864545822144,333.37664794921875,-20.34636116027832,-0.582222580909729,333.37664794921875,-20.34636116027832,-0.582222580909729,2.055147880932173,5.2660479962098234,-1.0,0.0060578760578760575,5.75,0.0,12.68,68
L-1:10,4.966296087858173,4.719976506582553,0.9334159015585949,4.883955182160862,12.932960251323813,15.769949252882096,13.003620035215603,6.836090698235819,5.174976414609363,4.268590704817924,2740.11767578125,68.48357391357422,1522.802490234375,1382.94287109375,861.1290283203125,2391.20849609375,649.5366821289062,1886.5230712890625,1400.493896484375,935.2610473632812,1433.5794677734375,34.79670715332031,913.1607055664062,697.376220703125,955.2288208007812,1366.31591796875,1029.843994140625,2745.03857421875,1669.0592041015625,1786.49365234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02352941408753395,0.02352941408753395,0.01568627543747425,0.02352941408753395,0.021568628028035164,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.027450982481241226,0.02352941408753395,333.4228210449219,-20.397518157958984,-0.5386877655982971,333.4284973144531,-20.41963768005371,-0.5479267239570618,333.4301452636719,-20.422718048095703,-0.5633418560028076,333.4301452636719,-20.422718048095703,-0.5633418560028076,333.43048095703125,-20.39805793762207,-0.5156781673431396,333.4301452636719,-20.388429641723633,-0.4702304005622864,333.4301452636719,-20.388429641723633,-0.4702304005622864,333.4359130859375,-20.38934898376465,-0.4463329315185547,333.4193420410156,-20.385515213012695,-0.5570893287658691,333.4228210449219,-20.397518157958984,-0.5386877655982971,3.037909987923698,7.312580403442151,-1.0,0.006732873144047929,5.75,0.0,14.77,32
