Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,12.879786441421974,3.527227020733761,2.472329732885723,9.16766473690558,1.2399519977226485,3.000000089406967,6.54403750212488,3.9308150295001565,10.512629621891916,12.190515190202934,1010.967041015625,160.82528686523438,2248.352783203125,2634.510009765625,481.9276428222656,990.5444946289062,190.28041076660156,636.5949096679688,861.5751342773438,735.8814086914062,794.1199340820312,117.15731048583984,798.66064453125,358.76910400390625,773.396240234375,1198.768798828125,553.2677612304688,1091.5242919921875,565.6041870117188,586.2989501953125,0.3960784673690796,0.3333333432674408,0.34117648005485535,0.3686274588108063,0.41568630933761597,0.4784314036369324,0.5176470875740051,0.5098039507865906,0.4784314036369324,0.4235294461250305,0.3960784673690796,0.3333333432674408,0.34117648005485535,0.3686274588108063,0.41568630933761597,0.4784314036369324,0.5176470875740051,0.5098039507865906,0.4784314036369324,0.4235294461250305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.547772491034245,3.8527705037112643,1.0,0.010208333333333335,0.6666666865348816,0.0,18.48,68
L-1:2,16.74979320105087,21.6033324212289,2.823294717824334,10.035874402996512,7.329044567764845,10.333333641290665,5.088723042522484,2.489592939064064,5.428184133681049,3.788488261427258,732.0968017578125,67.26769256591797,1070.928955078125,23.962556838989258,1553.3056640625,2366.60546875,431.4829406738281,899.7678833007812,1063.612060546875,592.7001342773438,1044.0736083984375,224.8394317626953,1167.258056640625,1050.935791015625,775.2202758789062,1502.5958251953125,310.9973449707031,665.08642578125,724.9357299804688,179.64419555664062,0.41568630933761597,0.3803921937942505,0.35686275362968445,0.38431376218795776,0.41568630933761597,0.4431372880935669,0.4784314036369324,0.4862745404243469,0.4862745404243469,0.46666669845581055,0.41568630933761597,0.3803921937942505,0.35686275362968445,0.38431376218795776,0.41568630933761597,0.4431372880935669,0.4784314036369324,0.4862745404243469,0.4862745404243469,0.46666669845581055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.678556421971242,9.434065309096985,1.0,0.010010489510489511,0.6666666865348816,0.0,16.36,68
L-1:3,15.391195632846955,8.250359119126191,11.475070640182766,4.3642818223252124,1.746542648700103,3.073181577352237,2.1910931453238227,8.36991810601447,2.97684844828817,8.862693047468914,1179.058837890625,132.94081115722656,1083.416259765625,393.13739013671875,468.0517578125,1051.5960693359375,8.093159675598145,935.2793579101562,724.8133544921875,702.3506469726562,1680.63330078125,254.83868408203125,1518.2506103515625,1268.825439453125,56.471107482910156,1104.9591064453125,647.3150634765625,999.26220703125,1211.396484375,538.8572387695312,0.3921568989753723,0.3960784673690796,0.3921568989753723,0.40000003576278687,0.44705885648727417,0.4901961088180542,0.4901961088180542,0.5215686559677124,0.4941176772117615,0.43137258291244507,0.3921568989753723,0.3960784673690796,0.3921568989753723,0.40000003576278687,0.44705885648727417,0.4901961088180542,0.4901961088180542,0.5215686559677124,0.4941176772117615,0.43137258291244507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.749485778255874,5.7348546030255205,-1.0,0.008884443021766966,0.0,0.0,15.86,36
L-1:4,2.027587570526223,11.44101715862784,20.191563754109865,15.049782918513385,11.80533027933038,0.3333333432674408,2.315825610085629,6.874869227013587,5.448150775471725,2.6985702441195616,3307.718994140625,352.8197937011719,943.5675659179688,2606.095947265625,889.0731811523438,2172.748046875,310.06866455078125,2049.69580078125,794.8703002929688,844.68505859375,3006.601318359375,98.96715545654297,1941.786376953125,1416.2432861328125,830.3524169921875,2379.93798828125,938.0098266601562,1785.6610107421875,1744.784423828125,1071.8897705078125,0.30980393290519714,0.32549020648002625,0.3490196168422699,0.3764706254005432,0.45098042488098145,0.5137255191802979,0.5686274766921997,0.5647059082984924,0.4862745404243469,0.34117648005485535,0.30980393290519714,0.32549020648002625,0.3490196168422699,0.3764706254005432,0.45098042488098145,0.5137255191802979,0.5686274766921997,0.5647059082984924,0.4862745404243469,0.34117648005485535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.673074812649556,9.469128504819743,-1.0,0.0062248942917547566,5.6666668355464935,2.78,13.46,76
L-1:5,16.346933600828876,14.160374125166562,15.625448669708003,2.0732786931158023,4.260726125236035,10.964589795702588,2.5195585314387507,2.6814037271135165,6.286848997380094,16.210245662752715,1773.1815185546875,202.45509338378906,871.1870727539062,682.8004150390625,194.13174438476562,854.4845581054688,858.90087890625,1756.8953857421875,1307.647216796875,1844.9464111328125,1901.925048828125,480.17523193359375,1916.8848876953125,1370.321533203125,284.19549560546875,1231.3597412109375,158.3319091796875,1579.5509033203125,1007.4664916992188,667.6861572265625,0.44705885648727417,0.40000003576278687,0.3450980484485626,0.32156863808631897,0.3529411852359772,0.48235297203063965,0.5137255191802979,0.529411792755127,0.5215686559677124,0.501960813999176,0.44705885648727417,0.40000003576278687,0.3450980484485626,0.32156863808631897,0.3529411852359772,0.48235297203063965,0.5137255191802979,0.529411792755127,0.5215686559677124,0.501960813999176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.386752173299488,8.51030938718988,1.0,0.008166285153695226,12.000000357627869,0.0,14.27,36
L-1:6,19.827030401508935,16.058796384957784,19.367330707185637,7.061953249116598,4.293050060922284,0.6666666865348816,3.0213615546201176,0.9185430564164385,7.001551010578165,21.56269175266589,1067.18701171875,375.52740478515625,1091.28076171875,271.98974609375,407.6579895019531,2687.924072265625,642.9448852539062,947.2650146484375,723.2830200195312,722.3245849609375,2092.55029296875,430.4639587402344,1218.4947509765625,798.980224609375,587.8419799804688,1112.5726318359375,1122.869384765625,1416.631591796875,1854.2783203125,920.3775024414062,0.32549020648002625,0.32549020648002625,0.35686275362968445,0.3921568989753723,0.46274513006210327,0.545098066329956,0.5686274766921997,0.5529412031173706,0.41568630933761597,0.33725491166114807,0.32549020648002625,0.32549020648002625,0.35686275362968445,0.3921568989753723,0.46274513006210327,0.545098066329956,0.5686274766921997,0.5529412031173706,0.41568630933761597,0.33725491166114807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.852547387497577,11.49125464999763,-1.0,0.007803030303030302,2.6666667461395264,0.0,15.45,68
L-1:7,11.493960108924473,5.204098178684549,11.401869460030476,4.53526544328446,3.3390647321417153,3.349958640210176,5.929177662957989,10.4709479817198,9.061327603060448,6.535883809419237,958.7626342773438,120.3093490600586,709.3223876953125,72.37763977050781,225.92337036132812,1055.90673828125,0.0,0.0,593.0272216796875,448.68096923828125,929.868896484375,66.05818939208984,470.6040344238281,387.7645263671875,117.59514617919922,691.7196655273438,296.54290771484375,903.1884155273438,811.2977294921875,296.4351501464844,0.3803921937942505,0.37254902720451355,0.37254902720451355,0.3450980484485626,0.4941176772117615,0.5529412031173706,0.6039215922355652,0.5960784554481506,0.4901961088180542,0.40000003576278687,0.3803921937942505,0.37254902720451355,0.37254902720451355,0.3450980484485626,0.4941176772117615,0.5529412031173706,0.6039215922355652,0.5960784554481506,0.4901961088180542,0.40000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.137703986344938,10.301549566800954,-1.0,0.014367704280155642,2.6666667461395264,0.0,23.21,68
L-1:8,7.3333335518836975,3.4148589184722575,9.76328314598513,6.586561145673294,7.866719798740717,10.994948662655423,20.855449589741223,15.219588763012638,8.31171997478724,1.7778207926347347,632.2864379882812,71.28370666503906,853.2841186523438,560.7203979492188,317.6427001953125,974.0418090820312,41.825653076171875,1442.1546630859375,984.3021240234375,464.8373718261719,971.7908325195312,150.50315856933594,863.1835327148438,641.8179321289062,589.55419921875,1097.1734619140625,318.4172668457031,831.4566650390625,890.9437255859375,1195.4049072265625,0.3607843220233917,0.32549020648002625,0.364705890417099,0.37254902720451355,0.4784314036369324,0.5803921818733215,0.5764706134796143,0.5372549295425415,0.48235297203063965,0.43137258291244507,0.3607843220233917,0.32549020648002625,0.364705890417099,0.37254902720451355,0.4784314036369324,0.5803921818733215,0.5764706134796143,0.5372549295425415,0.48235297203063965,0.43137258291244507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.609220624739104,10.308371165513428,1.0,0.010433753943217666,5.000000149011612,3.21,20.79,64
L-1:9,9.219544732056724,8.688609924974944,2.618381686884151,6.575393715827416,0.6635369358315055,14.098857741883089,17.014030836138406,7.494130038860313,3.550721682020309,2.3010692307745058,1241.5762939453125,82.66271209716797,1328.7078857421875,834.302978515625,258.6684265136719,970.8935546875,292.19769287109375,1034.455810546875,445.8447265625,1025.35302734375,1457.581787109375,536.114501953125,841.3087768554688,401.0169372558594,254.73080444335938,1488.3919677734375,242.6210479736328,914.65625,1421.5301513671875,1145.9501953125,0.41568630933761597,0.38823533058166504,0.3686274588108063,0.32549020648002625,0.3607843220233917,0.4705882668495178,0.5803921818733215,0.5490196347236633,0.5058823823928833,0.45098042488098145,0.41568630933761597,0.38823533058166504,0.3686274588108063,0.32549020648002625,0.3607843220233917,0.4705882668495178,0.5803921818733215,0.5490196347236633,0.5058823823928833,0.45098042488098145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.671568773174652,4.135377946165792,1.0,0.008649425287356322,2.3333334028720856,0.0,14.19,68
L-1:10,4.678556421971242,5.8098311342275055,12.681264259866193,4.878466530362725,7.349016450062275,8.498366109259013,13.150296546573593,5.073411521187821,2.4591904250993797,4.282786383245799,876.2023315429688,130.80447387695312,1235.6593017578125,308.9759521484375,671.6129760742188,1805.44873046875,32.04499053955078,970.0864868164062,641.3004150390625,511.3330383300781,1951.254150390625,184.3967742919922,987.7247924804688,781.8941650390625,308.109375,797.5835571289062,380.3838806152344,869.0784301757812,706.5582885742188,802.1156005859375,0.3960784673690796,0.3450980484485626,0.3333333432674408,0.3686274588108063,0.40392160415649414,0.45098042488098145,0.5411764979362488,0.5058823823928833,0.4862745404243469,0.4549019932746887,0.3960784673690796,0.3450980484485626,0.3333333432674408,0.3686274588108063,0.40392160415649414,0.45098042488098145,0.5411764979362488,0.5058823823928833,0.4862745404243469,0.4549019932746887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.676462291147222,7.432462015574953,1.0,0.010914256198347107,0.6666666865348816,0.0,21.13,44
