Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.798435340436264,4.206892761869467,2.2518525569601087,6.099048765874357,0.7088831885619639,5.989670411203432,9.167620110852917,10.045743425175365,10.36961202480193,8.174863512253014,1962.5228271484375,68.1318359375,1108.3087158203125,1084.1085205078125,370.16876220703125,601.8841552734375,492.3422546386719,1117.9046630859375,868.89990234375,427.6585998535156,1541.02099609375,441.3354797363281,1278.6341552734375,849.981689453125,131.0044708251953,936.8427734375,132.30294799804688,1204.1795654296875,1191.6851806640625,730.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3302001953125,-48.09227752685547,-13.620274543762207,2.957733154296875,-43.99700927734375,-7.686971187591553,2.957733154296875,-43.99700927734375,-7.686971187591553,2.130950927734375,-45.24235153198242,-10.072869300842285,1.093231201171875,-46.639503479003906,-13.238903045654297,1.093231201171875,-46.639503479003906,-13.238903045654297,1.093231201171875,-46.639503479003906,-13.238903045654297,359.3638000488281,-48.30959701538086,-14.722396850585938,359.3638000488281,-48.30959701538086,-14.722396850585938,0.3302001953125,-48.09227752685547,-13.620274543762207,3.030265399487008,11.214669852432696,-1.0,0.010085227272727272,3.5,0.0,10.65,32
L-1:2,9.90532550725919,10.13274575987934,3.428775900369905,4.145272987975249,3.0854325223184693,1.0438907071954773,5.02236123828506,3.1054478470315137,0.3437312428197803,1.1411892600735236,627.7669677734375,86.76812744140625,251.29359436035156,82.8091049194336,156.85238647460938,510.2093200683594,253.1533966064453,629.7655029296875,649.1655883789063,391.8133239746094,902.5284423828125,79.50968933105469,544.7142333984375,430.5903015136719,179.0333251953125,588.7429809570313,150.35311889648438,399.4464416503906,457.01910400390625,276.8807678222656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.61846923828125,-43.55256652832031,-4.695841312408447,350.9233093261719,-43.660030364990234,-4.8059844970703125,351.41961669921875,-44.10621643066406,-5.184269905090332,357.783935546875,-42.36391067504883,-3.39449405670166,358.1573791503906,-43.56095504760742,-4.950257778167725,357.3583984375,-45.59793472290039,-7.0457987785339355,356.0384826660156,-46.055091857910156,-7.986082553863525,354.8147888183594,-45.878013610839844,-7.956122875213623,351.77606201171875,-44.37362289428711,-6.359378814697266,350.9859313964844,-43.79548263549805,-5.617873668670654,9.369502016361606,3.9377708997493506,-1.0,0.021224511469838572,2.5,0.0,28.55,32
L-1:3,1.5428428762283244,1.4930075193030938,6.098923780131849,2.643649167766976,5.147175054375231,3.310726557696929,4.2187691286989555,0.8529392219128961,2.127117526879307,2.467852258505505,470.0636291503906,79.9665756225586,349.8798828125,287.03912353515625,242.52206420898438,433.352294921875,159.47549438476563,358.7364807128906,429.7781982421875,247.50770568847656,560.1245727539063,10.069278717041016,309.3789367675781,197.87022399902344,90.68915557861328,380.8020935058594,121.4787368774414,437.3396301269531,390.7683410644531,305.7355041503906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0945129394531,-42.2645149230957,-1.9640294313430786,347.5248718261719,-42.643272399902344,-1.7587895393371582,347.7799377441406,-42.62116241455078,-1.732535719871521,348.9737548828125,-43.244293212890625,-2.645216464996338,349.95843505859375,-45.959781646728516,-5.1846232414245605,348.88134765625,-48.35200881958008,-8.597957611083984,348.2759704589844,-48.46842575073242,-9.117924690246582,347.0445556640625,-47.74307632446289,-8.733759880065918,346.0506896972656,-46.36787414550781,-7.555793285369873,347.2333068847656,-42.619075775146484,-2.481668472290039,4.037470421243538,4.006844327132497,-1.0,0.02816632231404959,0.0,0.0,38.95,100
L-1:4,33.116754732369046,12.651635657515476,9.222706359985915,13.411586051264601,11.985555601506654,12.412225523143741,7.798957059509519,4.9694299366034596,12.432914565494197,31.619571286847926,1983.814208984375,610.2396850585938,635.6513061523438,1088.4234619140625,303.9664611816406,1592.231201171875,421.8852233886719,1401.393798828125,1087.214599609375,854.595947265625,999.3504028320313,110.88919830322266,1337.9610595703125,684.9413452148438,355.7297668457031,1107.51220703125,333.0716857910156,1707.7923583984375,1138.8521728515625,1297.815185546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.8312683105469,-50.41146469116211,-10.737889289855957,350.888671875,-50.507423400878906,-10.81690788269043,350.888671875,-50.507423400878906,-10.81690788269043,354.1738586425781,-51.40602493286133,-13.25395393371582,357.0369567871094,-51.818641662597656,-16.073198318481445,357.0369567871094,-51.818641662597656,-16.073198318481445,352.19757080078125,-53.377559661865234,-13.674020767211914,352.19757080078125,-53.377559661865234,-13.674020767211914,351.32598876953125,-51.84476852416992,-12.615103721618652,351.32598876953125,-51.84476852416992,-12.615103721618652,31.773319292184212,16.92516394596118,-1.0,0.00969896331738437,1.5,6.23,13.9,36
L-1:5,2.368798824853889,3.011580432881772,1.0128442672449722,8.213798641018098,7.164612207073827,6.628922960300913,9.614490822456604,7.403974120463286,3.2390504213357048,2.583197190396556,424.82635498046875,11.345891952514648,349.2498474121094,269.74456787109375,19.322887420654297,338.053466796875,158.73143005371094,381.62017822265625,625.7407836914063,625.0679931640625,382.1339416503906,9.723982810974121,470.6785583496094,299.2530212402344,175.1109161376953,437.18310546875,70.58068084716797,476.68682861328125,303.142822265625,170.3255157470703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.4190368652344,-48.39576721191406,-14.598443031311035,350.8306884765625,-48.06660079956055,-14.355487823486328,351.58984375,-48.17638397216797,-14.601418495178223,352.7817687988281,-48.28645706176758,-14.99843978881836,354.2790832519531,-50.0035400390625,-14.330740928649902,354.05023193359375,-50.86397933959961,-15.879249572753906,353.6941223144531,-50.908382415771484,-16.482297897338867,352.8740234375,-50.90401077270508,-16.649381637573242,351.94580078125,-50.225311279296875,-16.241701126098633,350.45208740234375,-48.52372741699219,-14.755477905273438,13.461530464405561,7.00160668507616,-1.0,0.023742588932806324,4.5,0.0,27.46,100
L-1:6,0.8983139419595182,6.915175364290585,4.983340843638009,4.927331786664015,2.587853955851107,12.086850110991918,7.907665621542183,7.267377388346048,4.167308875160749,3.2973005344746866,539.0109252929688,55.734458923339844,339.4778747558594,274.64801025390625,61.42250061035156,558.3270263671875,134.61502075195313,489.5428161621094,338.47491455078125,152.25392150878906,419.2628173828125,34.95576858520508,390.1487731933594,186.8834228515625,153.63674926757813,435.99542236328125,135.88768005371094,527.1851196289063,634.1763916015625,330.46087646484375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.9955139160156,-41.144287109375,-6.2166829109191895,346.8343505859375,-41.165061950683594,-6.139626979827881,348.1341857910156,-41.45550537109375,-6.689582347869873,348.9151306152344,-41.86222457885742,-7.2344489097595215,349.5365295410156,-44.479957580566406,-9.399795532226563,349.1595764160156,-45.568058013916016,-10.969910621643066,348.4981384277344,-46.194618225097656,-13.012866020202637,348.0002746582031,-46.09083557128906,-12.84468936920166,346.59820556640625,-44.53420639038086,-11.299671173095703,347.06103515625,-41.229095458984375,-6.278774738311768,6.148112750777521,7.265072929661627,-1.0,0.02735842026825633,1.0,0.0,31.47,32
L-1:7,0.5329160686134887,4.340257492180481,3.7074494052495126,3.2193389679471216,6.453656305364813,5.534129896961454,3.949666965227579,4.167931590094955,1.3684450995634336,3.3321604168205825,457.3709716796875,11.529585838317871,268.8415832519531,162.77210998535156,124.31810760498047,628.434326171875,23.770614624023438,651.9146118164063,743.399658203125,296.28778076171875,696.8413696289063,0.769138514995575,717.1522827148438,471.3511047363281,257.9454040527344,610.3257446289063,232.72512817382813,362.6268005371094,333.6618347167969,260.0671081542969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.1280822753906,-43.97236633300781,-7.2947611808776855,354.20501708984375,-44.1499137878418,-7.427737712860107,353.8438720703125,-41.7142219543457,-4.1738600730896,354.70458984375,-42.49492645263672,-5.258162021636963,354.8758239746094,-43.58669662475586,-6.4366984367370605,353.2527160644531,-44.65118408203125,-8.682394027709961,352.2698059082031,-45.21644592285156,-9.595707893371582,352.4195251464844,-45.2420768737793,-9.308370590209961,352.9233093261719,-44.901397705078125,-8.591596603393555,353.4032897949219,-44.504364013671875,-7.940506458282471,20.026366382803854,8.495437550407713,-1.0,0.01995937637241985,0.0,0.0,25.97,32
L-1:8,8.29220447540132,10.390166927033446,17.975982293071073,6.7820471701114045,16.993546898624917,24.34845619507572,23.30340433559325,19.638917228256087,14.887859518168106,4.295648546429157,1396.0885009765625,227.40309143066406,1082.943115234375,828.0700073242188,54.335487365722656,698.9668579101563,850.0460205078125,983.6285400390625,1143.23046875,441.3763732910156,1345.7657470703125,56.27147674560547,623.42333984375,509.72320556640625,0.0,0.0,339.96954345703125,1030.2308349609375,1167.903076171875,1050.1234130859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.4578857421875,-45.982791900634766,-17.37400245666504,355.3923645019531,-44.71189498901367,-16.84811782836914,355.3923645019531,-44.71189498901367,-16.84811782836914,356.4481506347656,-44.88813400268555,-18.06175994873047,357.83050537109375,-44.586875915527344,-19.836332321166992,357.83050537109375,-44.586875915527344,-19.836332321166992,357.8276062011719,-45.24443435668945,-20.809947967529297,353.2237548828125,-48.00532913208008,-19.757558822631836,352.4419250488281,-48.200592041015625,-19.070463180541992,352.4419250488281,-48.200592041015625,-19.070463180541992,13.066716366702869,11.140056619672137,-1.0,0.010733844468784228,4.5,3.91,16.8,100
L-1:9,0.7453379824181284,1.0555010802573892,1.3961690364259118,1.7983715941837872,8.049768132007651,12.361132386665778,9.808663957330952,5.779297232977639,5.2510756367143365,5.162464761661416,365.2333068847656,50.0428466796875,448.60870361328125,395.183837890625,102.1643295288086,478.25982666015625,239.34994506835938,447.73223876953125,439.0147399902344,220.7066192626953,669.690185546875,21.12705421447754,452.6552429199219,354.6837463378906,175.46981811523438,466.8684387207031,131.1085968017578,193.24258422851563,409.1894226074219,399.70465087890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.1362609863281,-46.0531005859375,-11.939760208129883,355.4029846191406,-45.58884048461914,-11.776047706604004,355.47149658203125,-45.46541213989258,-11.999006271362305,355.8713073730469,-46.09637451171875,-12.29268741607666,356.227783203125,-46.629241943359375,-13.161004066467285,354.06304931640625,-50.463890075683594,-17.93643569946289,354.06304931640625,-50.463890075683594,-17.93643569946289,354.7344665527344,-50.5431022644043,-17.641620635986328,353.519775390625,-47.254173278808594,-13.466023445129395,353.9109191894531,-46.88029861450195,-12.941920280456543,44.61373598918329,4.437017965954254,1.0,0.02237878787878788,0.0,0.0,29.54,100
L-1:10,2.115894873237263,5.606660813843232,5.998487643768679,3.867108589426832,1.7202824293035464,4.8783707223635036,6.968917981705385,4.503672080809463,9.61939592585317,0.4771673685058227,354.16998291015625,14.704570770263672,333.9322204589844,298.93670654296875,129.7407684326172,282.29962158203125,107.21138000488281,384.4630126953125,448.8253173828125,205.7834014892578,1104.357421875,394.76361083984375,492.0224304199219,609.8872680664063,159.4132843017578,487.52252197265625,172.33233642578125,398.7480773925781,552.0288696289063,250.53500366210938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.13714599609375,-46.14125061035156,-9.985368728637695,356.03863525390625,-45.773441314697266,-10.204100608825684,356.1590881347656,-45.80259323120117,-10.281015396118164,356.1125183105469,-46.40140914916992,-10.96998405456543,356.04071044921875,-47.29230880737305,-11.886072158813477,354.5257263183594,-47.9481315612793,-11.516877174377441,354.59234619140625,-48.20528030395508,-12.260634422302246,354.6135559082031,-48.029693603515625,-11.8640775680542,355.4232177734375,-46.997520446777344,-10.754582405090332,355.77996826171875,-46.59626388549805,-10.305390357971191,2.4978378037283977,5.644338016435867,-1.0,0.02385454545454545,0.5,0.0,26.24,32
