Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.5751420077033247,1.5663477980992002,2.172110482086875,2.2909737302884854,11.672210140068163,4.28668427911588,7.543249043881662,2.995263086866658,2.733002465107889,1.713864067245129,587.2679443359375,78.93541717529297,412.41180419921875,84.40240478515625,271.2625427246094,742.6538696289063,168.10447692871094,392.4567565917969,325.90484619140625,303.0671691894531,871.26025390625,14.964662551879883,356.1849365234375,254.55665588378906,361.43865966796875,854.4314575195313,202.70408630371094,1010.8634643554688,854.2196044921875,417.0745849609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,0.07058823853731155,208.45518493652344,-7.888243675231934,-11.550331115722656,207.55126953125,-7.952900409698486,-11.644895553588867,206.81787109375,-8.353190422058105,-12.188446998596191,205.62477111816406,-9.923624992370605,-13.420507431030273,205.39556884765625,-10.415349960327148,-14.157078742980957,207.05931091308594,-9.299053192138672,-14.246244430541992,207.17042541503906,-7.872135162353516,-12.619297981262207,207.7691650390625,-7.616647720336914,-12.182856559753418,208.19415283203125,-7.587316989898682,-11.68213176727295,208.57022094726563,-7.717532634735107,-11.562531471252441,5.245308790215693,9.4691215601142,1.0,0.01980812220566319,1.0000000298023224,0.0,30.38,108
L-1:2,8.131432249644563,3.434335945921671,1.5722711181569307,3.9906334677740944,4.829663464438028,1.8921353308615858,2.929919801216029,5.040533575430096,3.2582460296356586,4.885647291810209,528.569580078125,77.76201629638672,390.8962707519531,389.3043518066406,30.9030704498291,241.68850708007813,0.0,0.0,338.0069274902344,263.31378173828125,403.21734619140625,8.054097175598145,475.9544677734375,529.2301025390625,139.91720581054688,325.5805358886719,251.21905517578125,716.042236328125,562.178955078125,547.5679931640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,206.09954833984375,-6.482392311096191,-7.589362621307373,206.4307861328125,-6.526978492736816,-7.63018798828125,205.87005615234375,-6.373887538909912,-7.2986369132995605,204.82318115234375,-5.860123634338379,-5.914707660675049,208.6123504638672,-8.102503776550293,-11.534038543701172,208.52540588378906,-8.491049766540527,-11.725412368774414,208.85459899902344,-8.32970142364502,-10.789297103881836,208.4769744873047,-8.308119773864746,-10.53484058380127,206.38723754882813,-7.050473690032959,-8.872537612915039,205.9585723876953,-6.398029804229736,-8.065351486206055,3.095092186306343,7.0858183632597465,1.0,0.022398325358851678,1.3333333730697632,0.0,37.45,32
L-1:3,4.740875778309364,4.758939530428239,6.587419331492418,1.4113876432818506,1.158250910653238,5.161906693234983,13.702738541367784,4.547644538249189,6.561728586011758,5.951608069109593,569.5025024414063,6.905484676361084,763.0674438476563,474.4969787597656,54.33197784423828,553.0718383789063,170.0464630126953,779.6947631835938,1264.691650390625,569.0137939453125,764.72705078125,6.5917253494262695,664.0576782226563,416.0868225097656,223.7298583984375,629.828125,334.4166564941406,833.6099853515625,378.4670715332031,389.16949462890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,202.4253692626953,-3.041112184524536,-7.376091003417969,200.4464569091797,-3.2085719108581543,-7.503654956817627,199.5366668701172,-4.107327938079834,-8.0215482711792,198.4603271484375,-5.70105504989624,-8.617563247680664,199.14395141601563,-5.487074851989746,-8.144054412841797,200.35479736328125,-5.716095447540283,-7.838656425476074,201.68222045898438,-5.269294261932373,-7.552423000335693,202.99647521972656,-4.600589275360107,-7.07293176651001,203.9770050048828,-4.212944030761719,-6.5487236976623535,204.4326629638672,-3.7664144039154053,-6.21082878112793,4.921283868068927,11.972060445857403,1.0,0.017018106374952848,4.33333346247673,0.0,25.78,36
L-1:4,22.944783643665243,18.56698553664972,17.29447842515827,12.286426993324886,3.7273234593173763,1.0853611819185298,2.3783495083436934,15.6542494449319,15.537496138489903,17.509378794982528,1001.0115356445313,141.9456787109375,490.9075012207031,257.0091552734375,186.686279296875,541.5650024414063,2.6441521644592285,658.606689453125,446.701904296875,229.41297912597656,557.2937622070313,3.194525718688965,615.9660034179688,613.4092407226563,197.5888214111328,800.5663452148438,271.8124694824219,465.355712890625,385.5438232421875,371.132080078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,205.08969116210938,-8.642335891723633,-10.29755687713623,205.4799346923828,-9.295561790466309,-10.391780853271484,206.1155548095703,-9.002119064331055,-10.335372924804688,206.43783569335938,-8.777630805969238,-10.594402313232422,206.37026977539063,-9.479494094848633,-11.856060981750488,206.82705688476563,-10.015656471252441,-11.511993408203125,207.40673828125,-10.034847259521484,-10.715987205505371,208.6195831298828,-10.532502174377441,-13.193575859069824,206.1222686767578,-8.479785919189453,-11.143163681030273,205.2494354248047,-8.332268714904785,-10.641524314880371,8.0768060280657,16.0926185497039,1.0,0.01790325126262626,13.333333730697632,4.99,32.41,100
L-1:5,0.9524999096210133,3.2398660756224023,7.833291234131331,1.3593432024908019,1.4310294458039778,1.1967314141888772,4.767771874003769,4.279415203486049,5.577271295099994,6.203191614665249,1392.356689453125,265.2842102050781,1408.3280029296875,725.8875122070313,116.82347869873047,389.8753967285156,61.73029327392578,260.4715270996094,494.3783264160156,232.04879760742188,1011.6278686523438,112.02747344970703,265.8979797363281,155.01986694335938,272.68316650390625,884.6424560546875,288.18231201171875,974.190673828125,660.726318359375,528.7111206054688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,207.6725311279297,-6.784436225891113,-6.8557963371276855,207.6725311279297,-6.784436225891113,-6.8557963371276855,206.95213317871094,-5.799226760864258,-7.9391255378723145,207.71426391601563,-6.450362682342529,-8.46587085723877,207.54855346679688,-6.750790119171143,-8.851462364196777,207.0159912109375,-7.138601779937744,-9.2412109375,206.56565856933594,-7.421677589416504,-9.303763389587402,207.02484130859375,-7.305943012237549,-8.867932319641113,207.57244873046875,-6.85067892074585,-8.041810035705566,207.72378540039063,-6.616339683532715,-7.479555130004883,5.840567519011859,4.453639760573561,1.0,0.017732662594322674,4.0000001192092896,0.0,28.2,68
L-1:6,2.415693514339018,2.257605665122056,8.140060680300069,2.504717534801966,6.929971003623662,1.218487059291772,1.0567084811183733,7.337230800144417,6.624773429542073,2.5241992416765338,750.4766235351563,95.28254699707031,905.74072265625,420.16693115234375,135.80751037597656,742.1717529296875,328.2168273925781,1085.06494140625,486.2188415527344,419.0462646484375,1064.8138427734375,171.5965576171875,689.7086791992188,543.7313842773438,381.61260986328125,2100.50146484375,118.79366302490234,1364.138427734375,647.4287719726563,572.7171020507813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0941176563501358,0.0941176563501358,0.0941176563501358,0.0941176563501358,0.0941176563501358,0.0941176563501358,0.0941176563501358,0.0941176563501358,0.0941176563501358,0.0941176563501358,206.1053009033203,-6.887754917144775,-8.483650207519531,206.4949493408203,-6.80593204498291,-8.4534912109375,207.18212890625,-6.927494525909424,-8.726067543029785,207.73297119140625,-7.414977550506592,-9.202360153198242,208.28770446777344,-7.963118553161621,-9.42176628112793,208.7581024169922,-7.676458358764648,-8.988348960876465,205.34230041503906,-7.810447692871094,-10.317859649658203,205.4674072265625,-7.167084693908691,-9.539971351623535,205.4674072265625,-7.167084693908691,-9.539971351623535,205.80027770996094,-6.765746116638184,-8.80708122253418,6.31101226990587,12.501411811424324,1.0,0.01444394538268056,1.666666716337204,0.0,22.97,100
L-1:7,0.753211385214085,1.658246166716943,1.5031338985987632,2.2814135437570204,1.0169400546578122,0.2266411036548864,1.4293014064779532,5.1919585612293275,0.206500844853938,1.331447162258955,402.9683532714844,19.4113826751709,512.3629760742188,479.48211669921875,223.25103759765625,513.82177734375,45.324039459228516,118.25321197509766,301.9424743652344,253.35226440429688,372.5256652832031,18.283531188964844,400.42120361328125,217.55084228515625,186.3957061767578,1254.81591796875,173.7745819091797,406.0938720703125,382.9427490234375,398.02569580078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,0.06666667014360428,208.2549285888672,-3.4682483673095703,-8.953144073486328,208.44070434570313,-3.549269914627075,-8.864638328552246,208.8423309326172,-3.74362850189209,-9.135129928588867,209.10662841796875,-4.260403156280518,-9.590095520019531,209.06320190429688,-4.8436102867126465,-10.233190536499023,208.5298614501953,-5.387430191040039,-10.571142196655273,208.4821014404297,-5.2853498458862305,-10.322802543640137,208.69850158691406,-5.247617721557617,-10.512479782104492,207.75669860839844,-6.446971416473389,-13.16052532196045,207.7712860107422,-3.882739305496216,-9.92018985748291,5.4268291509761175,2.155744420514523,1.0,0.021265151515151518,0.3333333432674408,0.0,36.09,100
L-1:8,4.9628128537451195,4.20918917282175,7.7433735934731125,1.3085413601888354,3.2846152140712483,3.0539725280967014,17.24759095136881,11.628303734705117,3.4412269329482137,7.168228067267064,721.2351684570313,31.665512084960938,525.544677734375,620.994384765625,256.1708679199219,466.80535888671875,238.70143127441406,686.080078125,582.1763305664063,411.9054870605469,313.44830322265625,109.03620910644531,1078.15234375,856.3522338867188,543.1485595703125,779.0795288085938,60.176475524902344,671.0030517578125,774.402099609375,428.82635498046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,0.07450980693101883,206.1389923095703,-3.2345845699310303,-7.276637077331543,206.74603271484375,-3.9538681507110596,-7.60309362411499,208.14578247070313,-4.801831245422363,-7.889439582824707,209.1671142578125,-5.01891565322876,-8.019909858703613,209.81036376953125,-5.235594272613525,-8.240349769592285,206.43838500976563,-6.460740566253662,-10.083109855651855,206.25653076171875,-6.27315616607666,-10.134086608886719,206.25653076171875,-6.27315616607666,-10.134086608886719,205.7207794189453,-5.771567344665527,-9.893327713012695,205.42172241210938,-3.1216378211975098,-7.616150856018066,13.49921414050564,5.0510328693578,1.0,0.014974497449744974,2.0000000596046448,5.88,28.52,76
L-1:9,1.2332415948773232,4.087765183629423,2.6660818219790317,3.0715561562059737,1.6958717631016267,2.683925278689289,5.972018278204975,7.422844432715311,1.0386637480258245,2.763172109978932,500.9209289550781,25.44912338256836,523.5593872070313,335.9503173828125,174.59080505371094,466.4649658203125,96.87889099121094,585.5781860351563,532.3508911132813,497.45458984375,994.14111328125,1.0636038780212402,585.9375610351563,605.4121704101563,400.8081970214844,762.6026000976563,204.1499786376953,533.9298095703125,277.8188171386719,249.28579711914063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,0.0784313753247261,205.92906188964844,-9.202163696289063,-1.9209669828414917,205.25904846191406,-9.84082317352295,-1.0729444026947021,203.90492248535156,-11.579380989074707,-1.1270442008972168,203.15869140625,-12.43108081817627,-1.0202200412750244,206.70452880859375,-15.819151878356934,-12.779829025268555,207.577392578125,-15.439019203186035,-12.661247253417969,208.5220184326172,-14.84344482421875,-11.773730278015137,209.84095764160156,-13.477168083190918,-10.093408584594727,209.1138153076172,-12.77239990234375,-8.294459342956543,207.42965698242188,-10.241859436035156,-4.458540439605713,4.65398421366485,3.54344977328871,1.0,0.017686851738865163,2.3333334028720856,0.0,33.13,108
L-1:10,0.6631047592519144,4.526962733130655,7.886368188212175,1.7437501416053336,1.7216950763222094,2.633892820460295,0.34481229313582346,0.8059161461677362,5.21818982522979,1.8039944305459759,650.9341430664063,40.08189010620117,401.8957824707031,193.59762573242188,168.73146057128906,463.06219482421875,483.37530517578125,808.9555053710938,791.0355834960938,721.3902587890625,677.3296508789063,54.737945556640625,949.4391479492188,478.93212890625,297.1867980957031,1017.2411499023438,689.0,1226.376220703125,443.5997009277344,231.20982360839844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,0.08235294371843338,207.66908264160156,-8.051739692687988,-11.195596694946289,205.13865661621094,-9.379829406738281,-11.117507934570313,202.95108032226563,-9.660653114318848,-11.27653694152832,202.7980499267578,-9.504255294799805,-12.31478500366211,203.45567321777344,-9.693861961364746,-12.67659854888916,205.04364013671875,-9.881317138671875,-13.045798301696777,207.0790252685547,-9.912107467651367,-13.152437210083008,210.2593231201172,-9.09752082824707,-12.400277137756348,211.08050537109375,-7.525669574737549,-11.468775749206543,208.74671936035156,-8.452757835388184,-11.400503158569336,11.19063221254243,4.531683759454682,1.0,0.018173523556735235,0.3333333432674408,0.0,31.3,116
