Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,10.937914419337764,0.6486343757420151,3.0204718855563355,2.2517369661581945,10.218491506488826,7.391568998479131,7.94651207130302,4.8628372945423415,3.978645785183511,14.30894454838754,685.8321533203125,40.00205993652344,446.2064208984375,483.20172119140625,205.8980255126953,562.3206176757812,199.1265411376953,574.887939453125,891.4027099609375,580.2808837890625,683.59033203125,21.098432540893555,1017.92138671875,692.4177856445312,321.262451171875,523.5328369140625,73.7603988647461,833.4486083984375,569.3167724609375,354.5823059082031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.498291015625,-93.98946380615234,2.2776553630828857,341.6838073730469,-94.10762786865234,2.6194775104522705,340.78851318359375,-94.10388946533203,3.1158368587493896,340.1734619140625,-94.19960021972656,3.2646050453186035,339.2716064453125,-94.55077362060547,3.444448232650757,338.683349609375,-94.81470489501953,3.335080623626709,339.3747253417969,-94.51949310302734,3.0030078887939453,344.52008056640625,-94.70272827148438,1.3675397634506226,343.9283142089844,-94.72562408447266,1.5209366083145142,343.0713806152344,-94.56450653076172,1.6805340051651,6.495127012033593,9.939317519794907,-1.0,0.016321548821548824,0.0,0.0,22.16,100
L-1:2,5.640079021550913,2.353470973488174,8.211950106276326,1.2401102407111213,8.875758535263206,8.864895589645316,7.023670508822197,2.262142678294029,3.6481895472905284,8.553153368290182,408.3462219238281,20.12293815612793,406.6806335449219,410.3629150390625,258.8069763183594,432.02227783203125,346.79254150390625,685.223876953125,455.44891357421875,197.2606658935547,716.8062133789062,15.706687927246094,674.376708984375,462.8475341796875,490.0800476074219,803.176025390625,268.70318603515625,745.9531860351562,331.0606384277344,365.93658447265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.9969177246094,-95.62413024902344,4.303017616271973,335.61810302734375,-95.1679458618164,4.466525077819824,335.796142578125,-95.10774993896484,4.677926063537598,335.26904296875,-95.33963012695312,5.1555914878845215,335.9498291015625,-95.24784851074219,4.914158821105957,336.2586364746094,-95.16676330566406,4.7465596199035645,336.3809814453125,-95.3584976196289,4.55608606338501,336.43475341796875,-95.39263916015625,4.420610427856445,336.5110778808594,-95.40312194824219,4.226351737976074,336.62451171875,-95.43299102783203,4.107447147369385,4.563256616519593,11.488151586827875,-1.0,0.018663636363636365,2.5,0.0,20.53,100
L-1:3,6.61882756001993,2.0350966457055253,4.4822356527663425,6.542090374999167,8.8406458788784,10.2716843960512,4.9740366037158505,3.6719867473292362,0.7064580438347415,2.0679516710528536,478.41522216796875,62.81251525878906,612.5999145507812,484.6636657714844,149.5778350830078,966.1129150390625,159.7777557373047,463.0643615722656,205.05503845214844,287.0673828125,576.6158447265625,45.264671325683594,828.9403076171875,614.9891357421875,229.2908935546875,688.5645751953125,312.7081604003906,733.4078979492188,666.8403930664062,439.061279296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.3929748535156,-96.79350280761719,5.768977642059326,334.5820617675781,-97.04812622070312,6.351046562194824,333.5604248046875,-97.47901153564453,7.050459384918213,333.1783447265625,-97.78842163085938,7.442286014556885,332.4423522949219,-97.98920440673828,7.7077717781066895,335.5562744140625,-96.3770980834961,5.4783034324646,335.6658935546875,-96.38481140136719,5.388199329376221,335.5702209472656,-96.73612976074219,5.361344337463379,335.63922119140625,-96.83199310302734,5.283059597015381,335.9110107421875,-96.73979187011719,5.2157087326049805,11.413116240304094,5.815927446105396,-1.0,0.014821836455002284,2.0,0.0,18.54,32
L-1:4,9.723172301365453,0.571896331366297,3.5983299937170297,7.669658236886129,19.523467031413325,19.454555075027972,13.607164379189618,14.72968889929885,11.448861785700206,2.5501018528570305,673.5560913085938,8.459372520446777,494.6877136230469,536.9183349609375,257.2630615234375,580.2537231445312,187.1817626953125,281.4163513183594,705.1201782226562,428.57122802734375,916.2572631835938,56.52567672729492,794.042236328125,522.9424438476562,200.7577362060547,846.8759155273438,146.82162475585938,945.2288208007812,452.0014953613281,351.7662353515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.6552429199219,-97.14823150634766,5.824696063995361,338.7182922363281,-97.03604125976562,5.829850673675537,338.446533203125,-97.07917785644531,5.854652404785156,339.5404052734375,-97.16834259033203,5.867003917694092,339.4133605957031,-97.22771453857422,5.875618934631348,339.1567687988281,-97.26014709472656,5.900677680969238,339.0059814453125,-97.28340911865234,5.884280204772949,338.79571533203125,-97.28924560546875,5.894628047943115,338.7973327636719,-97.27816009521484,5.904173851013184,338.7768249511719,-97.23554992675781,5.80720853805542,11.020043804651658,17.254076395428168,-1.0,0.015253577441077441,8.5,5.72,20.71,4
L-1:5,1.482038030526557,1.8490462149383453,2.5435390275598655,4.381004146465808,8.258473646912728,7.912064981539077,5.401697294577532,8.621014893412442,4.396025674299716,2.9159138057148435,476.7237854003906,37.585166931152344,538.9327392578125,331.0933532714844,191.66433715820312,565.4254150390625,191.80230712890625,419.8236389160156,491.6595458984375,428.0995788574219,604.2611694335938,57.137367248535156,555.5720825195312,354.2713928222656,209.0886993408203,711.3086547851562,183.06613159179688,636.7756958007812,392.5563659667969,318.9049987792969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.48077392578125,-95.8456039428711,5.226790428161621,340.87310791015625,-95.72388458251953,5.038228988647461,340.8800048828125,-95.75804138183594,5.003424644470215,340.5766296386719,-95.90707397460938,5.100828170776367,340.2435607910156,-96.28439331054688,5.0116095542907715,339.71856689453125,-96.4812240600586,5.224238395690918,339.3596496582031,-96.6053466796875,5.366153717041016,338.96685791015625,-96.77066802978516,5.489002227783203,339.8908386230469,-96.13282012939453,5.40999698638916,340.19207763671875,-95.96983337402344,5.334052085876465,16.280155429993894,6.759601859594128,1.0,0.019811652435961828,5.0,0.0,22.54,4
L-1:6,2.8632793740793954,1.9214002136590713,2.2323237189855845,6.747873911164645,3.1804177153152464,7.286504729168798,5.0874015369529735,4.625830618354593,2.1670774888547157,0.47607011011408196,347.32647705078125,6.528141021728516,403.8962707519531,302.45928955078125,100.07266998291016,524.1840209960938,184.50889587402344,558.1195068359375,399.02325439453125,336.8331298828125,623.5484008789062,32.645164489746094,385.1300048828125,446.82879638671875,130.4810791015625,441.508544921875,44.23157501220703,387.0296325683594,387.75543212890625,261.2403259277344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.2271728515625,-96.05671691894531,5.15873908996582,339.9176025390625,-96.1641845703125,5.290443420410156,339.7804870605469,-96.16801452636719,5.379124641418457,339.5768737792969,-96.21131134033203,5.468301773071289,339.3791198730469,-96.27349853515625,5.548951148986816,339.34039306640625,-96.45763397216797,5.450448989868164,339.2430114746094,-96.39810180664062,5.577097415924072,339.3297424316406,-96.35250854492188,5.556722640991211,339.72509765625,-96.17156982421875,5.425559997558594,340.04754638671875,-96.09081268310547,5.261073589324951,11.337385983299015,4.758112221015181,-1.0,0.02062533620225928,4.0,0.0,21.91,68
L-1:7,6.781468679323516,4.473696442571568,0.3821314403234628,1.7462847077239727,0.8114571674848118,4.2994585536060095,1.3370699212876096,2.2598356097576526,6.483651756780724,2.454258420278664,282.3224182128906,2.469834804534912,438.78009033203125,181.62387084960938,59.70800018310547,352.031982421875,66.82959747314453,299.6535949707031,322.4598388671875,230.80670166015625,553.8242797851562,35.4471321105957,456.21771240234375,353.6030578613281,80.59856414794922,569.5866088867188,133.80751037597656,570.6100463867188,368.4076843261719,396.47125244140625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.391845703125,-97.06120300292969,6.178207874298096,338.0961608886719,-96.75921630859375,5.9843854904174805,338.7242736816406,-96.52687072753906,5.760513782501221,338.81475830078125,-96.49369812011719,5.726959705352783,338.629150390625,-96.65127563476562,5.708735942840576,338.2201232910156,-96.77970886230469,5.875624656677246,338.4825134277344,-96.6493911743164,5.815845489501953,338.5500183105469,-96.60710906982422,5.808502674102783,338.6529541015625,-96.51473236083984,5.82382869720459,336.7901611328125,-97.26008605957031,6.391716003417969,20.370896978630334,6.065663020060344,1.0,0.027563636363636367,8.5,0.0,30.32,4
L-1:8,5.258212699403909,2.701586020844425,7.119698407652477,17.267025311952228,19.59592267198193,24.256464431274345,26.84324039228293,23.386735079189773,12.153270493837041,2.871559946368888,613.254638671875,41.88788604736328,559.6500854492188,383.2933654785156,80.32756805419922,738.0089721679688,147.88314819335938,477.7508850097656,387.756103515625,347.1102600097656,614.9718627929688,45.54909896850586,564.5716552734375,458.50311279296875,266.397705078125,607.6791381835938,85.65786743164062,526.776123046875,476.922607421875,439.79437255859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.9712829589844,-95.8062515258789,5.65004301071167,339.2008361816406,-95.8431625366211,5.549813747406006,341.46356201171875,-94.96296691894531,4.682584285736084,342.5596008300781,-94.57624816894531,4.238581657409668,343.1580810546875,-94.39636993408203,3.9983086585998535,343.7353515625,-94.27222442626953,3.687952756881714,342.38494873046875,-95.03486633300781,4.2408246994018555,341.8940124511719,-95.25640869140625,4.490013122558594,340.7039794921875,-95.83671569824219,4.9612836837768555,340.7716064453125,-95.80304718017578,4.946207046508789,14.0330730228459,16.475790064957657,1.0,0.01813087774294671,10.5,3.97,26.44,100
L-1:9,9.246509229056466,5.451325098975038,2.743521645191876,2.6304783434535284,5.964706215797704,7.432105812411928,3.0757419063558786,5.675192647836712,9.21272064845312,7.0155855894117,413.4638671875,7.9151153564453125,402.9706726074219,491.8370666503906,50.97927474975586,346.9950256347656,156.0045623779297,299.1106262207031,419.021728515625,304.1015319824219,648.71630859375,45.13822937011719,532.5191650390625,426.1565856933594,220.35916137695312,344.7485046386719,138.53350830078125,537.3812255859375,250.61683654785156,171.83729553222656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.9738464355469,-95.76676177978516,3.761867046356201,334.6165466308594,-95.38951110839844,3.5947539806365967,334.55047607421875,-95.3843994140625,3.596890687942505,334.5800476074219,-95.27388763427734,3.497175455093384,335.1846618652344,-95.16678619384766,3.1414296627044678,334.86102294921875,-95.33279418945312,3.0860917568206787,333.7082214355469,-96.37303924560547,3.931382656097412,333.2314453125,-96.52710723876953,3.8747596740722656,333.93048095703125,-96.18209838867188,3.5924863815307617,333.8943176269531,-95.91736602783203,3.8042714595794678,2.6314409374030667,7.172970162281391,-1.0,0.022890995260663505,1.0,0.0,30.36,100
L-1:10,0.846885862981313,2.7328780488294675,5.220809207077658,8.256738269053912,8.746166991967774,0.8259630829962098,3.4466893785511705,1.2256236455240723,4.053630751283788,1.6021187628168885,256.5657958984375,21.022472381591797,375.404541015625,332.524169921875,115.99714660644531,470.46435546875,215.2687530517578,415.4398193359375,366.267333984375,372.9532775878906,650.2533569335938,33.140541076660156,699.4270629882812,547.2854614257812,173.86924743652344,550.2373046875,163.30807495117188,549.085205078125,421.31146240234375,252.7473907470703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.74676513671875,-95.11131286621094,3.4099059104919434,335.56707763671875,-95.1380615234375,3.5748443603515625,335.3681945800781,-95.20442199707031,3.6629536151885986,334.0082702636719,-95.15193939208984,4.149150848388672,334.56854248046875,-95.02399444580078,4.1816511154174805,335.41156005859375,-94.9754409790039,3.8333067893981934,335.5795593261719,-94.9906997680664,3.6832406520843506,335.9289855957031,-95.06420135498047,3.378876209259033,335.52435302734375,-95.29146575927734,3.420292377471924,335.58184814453125,-95.27007293701172,3.3727877140045166,5.788665229294284,8.30993539843846,-1.0,0.022906144781144784,2.0,0.0,31.1,100
