Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,8.000000357627869,0.6287173362732403,0.6749220331495979,3.0744050955627658,7.6883237166060585,8.126550450901037,8.582665676524945,11.896383423403641,9.40278491241672,5.378147548513959,1639.2862548828125,25.343111038208008,1612.08154296875,916.8486938476563,362.1595458984375,1528.5701904296875,317.59515380859375,1738.1083984375,1172.858154296875,991.3877563476563,2130.147705078125,78.7155532836914,2047.2386474609375,1242.1834716796875,744.300048828125,2269.647705078125,946.6737670898438,2267.03173828125,1489.13037109375,1163.096435546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.12548828125,-29.763704299926758,4.850452423095703,272.5052795410156,-30.245712280273438,4.02011775970459,273.0465393066406,-30.394195556640625,3.3752105236053467,274.61871337890625,-31.03873062133789,3.0109426975250244,274.61871337890625,-31.03873062133789,3.0109426975250244,275.637939453125,-31.26239776611328,3.27421498298645,275.637939453125,-31.26239776611328,3.27421498298645,274.6485900878906,-30.634586334228516,4.1533050537109375,274.6485900878906,-30.634586334228516,4.1533050537109375,273.12548828125,-29.763704299926758,4.850452423095703,7.16567815117902,1.246168474247542,1.0,0.006064491064491065,6.0000002682209015,0.0,13.38,68
L-1:2,5.111012748479584,9.49529857089027,19.43787494854815,6.078739687956301,2.070583488732109,1.7379322292053982,1.7127954031942485,8.31100092723945,16.056796884000075,9.225350845682911,2672.21533203125,10.429306030273438,2947.548828125,1199.2510986328125,966.3086547851563,1681.0048828125,1142.8065185546875,2227.8720703125,1680.629150390625,1063.574462890625,1921.4398193359375,42.20994186401367,2158.759765625,672.0137939453125,1473.356689453125,1678.531494140625,578.1261596679688,2153.111328125,2419.748779296875,1473.3350830078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.45703125,-29.48508644104004,4.989806652069092,271.65130615234375,-29.539751052856445,4.169167518615723,271.65130615234375,-29.539751052856445,4.169167518615723,273.80419921875,-30.68638801574707,4.209457874298096,273.80419921875,-30.68638801574707,4.209457874298096,273.80419921875,-30.68638801574707,4.209457874298096,274.64300537109375,-31.054180145263672,4.714057445526123,274.64300537109375,-31.054180145263672,4.714057445526123,273.0823974609375,-30.449748992919922,4.898221492767334,273.0823974609375,-30.449748992919922,4.898221492767334,14.00000062584877,5.401234256273091,1.0,0.0049642255892255885,9.428571850061417,0.0,10.11,36
L-1:3,4.882288072722435,4.1161103756584225,18.70295943202167,15.432915113026503,4.405435790795928,4.285714477300634,6.131203564993961,14.099811531246681,15.46553319619715,8.573849041764584,2373.20751953125,97.49285125732422,2284.135498046875,863.066162109375,1128.606689453125,1682.0738525390625,971.4203491210938,2330.62939453125,2468.53564453125,1090.043212890625,2946.463134765625,18.809194564819336,0.0,0.0,702.2218017578125,1952.864501953125,649.8231201171875,3147.048828125,1861.3834228515625,1460.9580078125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.1985778808594,-32.69594955444336,0.6659823060035706,275.1985778808594,-32.69594955444336,0.6659823060035706,275.1985778808594,-32.69594955444336,0.6659823060035706,277.0675964355469,-33.85544204711914,-0.1441803276538849,277.0675964355469,-33.85544204711914,-0.1441803276538849,278.068359375,-34.449920654296875,-0.0019517267355695367,276.4491882324219,-32.999168395996094,1.249948501586914,277.6561584472656,-34.00056838989258,0.1725718230009079,276.3246154785156,-33.2386360168457,0.8651599884033203,276.3246154785156,-33.2386360168457,0.8651599884033203,6.167724031410995,16.032587050441936,1.0,0.00477796052631579,0.0,0.0,9.13,32
L-1:4,3.077237170211503,14.185613503923427,7.597811789841825,1.3569167845785444,5.005002401745001,3.8861346047910166,10.69838594682581,22.36891825725929,11.008598610672081,0.7233904540476634,0.0,0.0,2784.1796875,1910.018310546875,895.0974731445313,3736.692138671875,989.7785034179688,4819.9482421875,2790.401611328125,2189.753173828125,4166.5400390625,565.1464233398438,4270.69384765625,1936.9071044921875,1670.5943603515625,3496.258056640625,1970.6697998046875,3504.640380859375,3443.57421875,1882.7669677734375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.6080322265625,-30.765195846557617,3.657154083251953,273.32562255859375,-30.77027130126953,2.168877363204956,273.32562255859375,-30.77027130126953,2.168877363204956,273.32562255859375,-30.77027130126953,2.168877363204956,273.32562255859375,-30.77027130126953,2.168877363204956,276.48907470703125,-31.999414443969727,2.485295057296753,276.48907470703125,-31.999414443969727,2.485295057296753,276.48907470703125,-31.999414443969727,2.485295057296753,273.50762939453125,-31.300941467285156,2.9202497005462646,273.50762939453125,-31.300941467285156,2.9202497005462646,16.72832208301932,2.8393480277029055,1.0,0.0033323095823095824,8.000000357627869,3.71,7.75,100
L-1:5,5.436085268852065,6.694129868122061,14.550168405946748,6.753154124503284,1.9343552985577597,7.284313916481029,3.1989791121353908,6.533102923625516,4.7730018770000795,4.057019249147807,1843.672119140625,86.22649383544922,1547.99951171875,1442.8216552734375,1278.3983154296875,2564.517333984375,230.21914672851563,2611.123046875,1710.9327392578125,1348.95458984375,2505.4697265625,149.89137268066406,2604.529296875,1168.351806640625,667.5242309570313,2232.51513671875,752.0758666992188,2689.696044921875,2422.8388671875,1981.315673828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.13787841796875,-30.932310104370117,3.146080255508423,273.13787841796875,-30.932310104370117,3.146080255508423,274.4060974121094,-31.659021377563477,2.2844290733337402,274.4060974121094,-31.659021377563477,2.2844290733337402,276.1442565917969,-32.68455123901367,1.9654583930969238,276.1442565917969,-32.68455123901367,1.9654583930969238,276.11737060546875,-32.85074996948242,2.3981332778930664,276.11737060546875,-32.85074996948242,2.3981332778930664,276.11737060546875,-32.85074996948242,2.3981332778930664,273.73828125,-31.42795753479004,3.517176628112793,18.223107922181484,6.096897773370264,1.0,0.004523172905525847,2.000000089406967,0.0,10.15,68
L-1:6,12.970925680206872,12.73435350552759,1.3759703733500628,5.256017861070562,1.3297832297620422,7.719575251438345,7.023391076868118,4.430161293206645,9.497017192076086,1.7787608242573414,1725.5469970703125,255.46400451660156,1136.553466796875,534.4486083984375,742.6556396484375,1425.014404296875,530.5558471679688,2308.35791015625,1681.7852783203125,1444.774658203125,2544.11767578125,15.257892608642578,3208.154541015625,1666.0736083984375,1581.43505859375,2081.009033203125,716.9021606445313,2757.068359375,1805.0994873046875,783.1279907226563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.6573486328125,-31.231565475463867,3.8324477672576904,273.3328857421875,-31.1698055267334,3.702707052230835,273.3328857421875,-31.1698055267334,3.702707052230835,272.85821533203125,-30.630212783813477,2.5280628204345703,273.9809875488281,-31.45857048034668,3.1506576538085938,273.9809875488281,-31.45857048034668,3.1506576538085938,273.9809875488281,-31.45857048034668,3.1506576538085938,274.2006530761719,-31.613740921020508,3.549051284790039,274.2006530761719,-31.613740921020508,3.549051284790039,273.6573486328125,-31.231565475463867,3.8324477672576904,9.253791694077647,4.70116993307052,1.0,0.006089876033057852,3.1428572833538055,0.0,11.79,68
L-1:7,2.060315106654109,5.901182219239938,1.4710547577273454,5.952408626513565,20.255376075350128,25.787199368883478,14.938254541237738,3.7477225997750887,1.6757267340968376,3.6579464438264053,1887.458984375,576.322021484375,1875.4473876953125,1369.8328857421875,895.1309204101563,1342.68994140625,5.8379435539245605,3227.6298828125,1856.0355224609375,2566.4111328125,2937.11767578125,132.53343200683594,2189.22802734375,2628.450927734375,1101.1246337890625,3952.252685546875,927.4785766601563,3047.812744140625,1976.9259033203125,1862.1192626953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.41400146484375,-30.86820411682129,4.372983455657959,273.41400146484375,-30.86820411682129,4.372983455657959,273.75970458984375,-30.74995994567871,4.859705448150635,272.70721435546875,-30.462051391601563,3.2051258087158203,274.5263366699219,-31.207534790039063,3.7011358737945557,274.5263366699219,-31.207534790039063,3.7011358737945557,274.5263366699219,-31.207534790039063,3.7011358737945557,273.62591552734375,-30.99530029296875,4.157166481018066,273.62591552734375,-30.99530029296875,4.157166481018066,273.62591552734375,-30.99530029296875,4.157166481018066,4.517539716476009,10.437934249183845,1.0,0.004731934731934732,8.571428954601288,0.0,9.28,76
L-1:8,18.796439929864622,1.5252249897175054,7.393399248329878,2.599289910407338,3.2195400125945084,9.701672917326926,9.819183282939333,7.528582173210321,19.260739889960735,26.731879336691062,3564.154296875,797.1271362304688,2121.94482421875,715.7190551757813,547.9669189453125,1871.87744140625,647.9100341796875,2481.673828125,2476.416259765625,1497.763916015625,2865.65673828125,34.749210357666016,3378.619140625,2133.19775390625,1166.4329833984375,3050.75830078125,1563.8238525390625,3440.82763671875,3297.10400390625,2257.78173828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.84564208984375,-31.301361083984375,2.874333143234253,272.2591552734375,-30.08847999572754,3.258160352706909,272.4688720703125,-30.248268127441406,1.5436064004898071,274.2413330078125,-31.250185012817383,1.5961980819702148,274.2413330078125,-31.250185012817383,1.5961980819702148,276.34197998046875,-32.105491638183594,2.8045530319213867,276.34197998046875,-32.105491638183594,2.8045530319213867,276.34197998046875,-32.105491638183594,2.8045530319213867,273.84564208984375,-31.301361083984375,2.874333143234253,273.84564208984375,-31.301361083984375,2.874333143234253,13.71428632736206,18.4057304788455,1.0,0.004175614411834884,8.000000357627869,3.6,10.0,64
L-1:9,11.93861905699851,18.667955566122213,9.190934044560743,1.3899451073715867,3.0484109179836207,5.436085268852066,12.446421391382241,9.810919808020662,1.8145939331541743,5.527754257946326,2250.143310546875,795.5424194335938,1429.5693359375,1234.1199951171875,288.3945007324219,1497.2520751953125,455.1841125488281,1913.007080078125,1539.8956298828125,1508.2545166015625,2578.62353515625,310.78118896484375,2196.636962890625,1439.30126953125,1045.6400146484375,2414.986328125,57.16035079956055,2256.4033203125,2162.88671875,1669.013671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.1156921386719,-31.75961685180664,2.1734700202941895,274.44671630859375,-31.324399948120117,2.4931108951568604,274.88458251953125,-31.587520599365234,2.415468215942383,274.6149597167969,-30.834747314453125,1.3285822868347168,275.6610412597656,-31.559995651245117,0.9606103897094727,276.43756103515625,-32.08829116821289,2.0839967727661133,276.43756103515625,-32.08829116821289,2.0839967727661133,276.43756103515625,-32.08829116821289,2.0839967727661133,275.1156921386719,-31.75961685180664,2.1734700202941895,275.1156921386719,-31.75961685180664,2.1734700202941895,8.820199845969716,15.759423273163431,1.0,0.005428628389154705,3.428571581840515,0.0,11.67,96
L-1:10,6.154474340423006,3.2073051666805843,1.9704255818190948,12.206104665847864,19.125815817020694,11.30288075947954,1.70315023086472,4.621217920107239,10.207598254708559,12.132481602830683,2320.347900390625,621.337646484375,1287.121826171875,1080.0447998046875,1296.8721923828125,1886.134521484375,197.2953338623047,1960.7529296875,1133.4461669921875,1289.969970703125,1725.0714111328125,312.7940368652344,1873.5079345703125,1742.2000732421875,608.9560546875,1892.7965087890625,894.8399658203125,2177.2001953125,1837.5765380859375,1328.4967041015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.58184814453125,-30.77741050720215,2.9294114112854004,272.842529296875,-30.45199203491211,3.1202175617218018,273.21807861328125,-30.64496421813965,2.524061679840088,273.21807861328125,-30.64496421813965,2.524061679840088,274.3420104980469,-31.238344192504883,2.1857218742370605,275.0736999511719,-31.6746826171875,2.0066399574279785,275.0736999511719,-31.6746826171875,2.0066399574279785,275.16009521484375,-31.631084442138672,2.53593111038208,275.16009521484375,-31.631084442138672,2.53593111038208,273.58184814453125,-30.77741050720215,2.9294114112854004,16.215387723355956,16.48782641983578,1.0,0.005833333333333333,4.285714477300644,0.0,13.2,68
