Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.031105939804792,4.735752023776005,11.41524604727415,8.313692428976625,13.306155116592986,14.193598978170582,10.820730666877534,12.240445903408148,9.280423661739343,5.210088350678512,1255.5341796875,65.50799560546875,677.236083984375,580.8746948242188,406.79888916015625,1555.6181640625,384.8798522949219,894.7161254882812,999.2305297851562,505.0948181152344,1252.095458984375,155.31484985351562,1328.8636474609375,979.1344604492188,581.6846313476562,1928.2762451171875,455.96209716796875,1798.84814453125,1145.978759765625,1249.3935546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.05490196496248245,0.05490196496248245,0.05098039656877518,140.67086791992188,-26.748512268066406,-6.2817888259887695,140.5550537109375,-27.38071060180664,-5.721426963806152,140.42849731445312,-27.885313034057617,-5.277933597564697,140.2559814453125,-28.591289520263672,-5.270341873168945,139.47747802734375,-28.569204330444336,-7.289653778076172,137.90423583984375,-27.753517150878906,-9.312444686889648,137.91583251953125,-27.4061336517334,-10.052350044250488,138.0225830078125,-25.952390670776367,-9.857429504394531,138.0225830078125,-25.952390670776367,-9.857429504394531,138.6011962890625,-24.071311950683594,-7.424133777618408,2.419991234377284,11.4190353701175,-1.0,0.009324620139067732,10.25,0.0,20.69,64
L-1:2,13.906487555028555,12.019510872552463,6.131462518763349,3.325373476471572,1.725816668194602,1.8251344396115727,1.7147938720758429,7.791704890388728,12.366471665707454,2.202656765203014,1804.3922119140625,387.5877990722656,1355.99072265625,1055.420654296875,467.4476623535156,2010.2283935546875,409.7029113769531,1056.70947265625,1109.8636474609375,549.333251953125,2541.624267578125,35.401756286621094,1745.045654296875,818.0696411132812,452.76025390625,1216.3572998046875,229.50914001464844,1019.0056762695312,1317.85400390625,1969.4385986328125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.05490196496248245,0.05490196496248245,0.05098039656877518,0.0470588281750679,0.0470588281750679,139.62255859375,-25.003952026367188,-5.220879077911377,140.4315185546875,-22.694351196289062,-4.582740783691406,140.38470458984375,-22.6546573638916,-5.206875324249268,139.82183837890625,-24.107818603515625,-6.614495754241943,138.7916259765625,-25.620054244995117,-7.999265670776367,138.27410888671875,-26.414602279663086,-6.1348419189453125,138.27410888671875,-26.414602279663086,-6.1348419189453125,138.2889404296875,-26.716367721557617,-5.965237617492676,138.2889404296875,-26.716367721557617,-5.965237617492676,139.62255859375,-25.003952026367188,-5.220879077911377,11.921822684036998,7.5783131099258645,1.0,0.007539525691699606,0.0,0.0,16.35,68
L-1:3,12.00901201718552,10.618097262788243,7.742714835297741,10.685437430045683,4.551759757256424,6.114008792570141,14.858809204077113,9.857721078639203,14.253888277840392,3.5834355327037217,1400.4052734375,226.0181121826172,940.208251953125,746.861572265625,413.7884521484375,2432.943603515625,367.1781921386719,1351.9840087890625,950.1468505859375,1103.1583251953125,1027.37353515625,273.4477233886719,1834.9776611328125,1104.761474609375,246.68980407714844,2012.48046875,893.197021484375,2533.77734375,870.2308959960938,1405.597900390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.05098039656877518,139.37164306640625,-21.392375946044922,-11.007983207702637,139.37164306640625,-21.392375946044922,-11.007983207702637,139.0177001953125,-22.176464080810547,-11.927078247070312,137.85531616210938,-23.942270278930664,-12.560441970825195,137.85531616210938,-23.942270278930664,-12.560441970825195,137.10394287109375,-25.364370346069336,-13.303829193115234,137.24945068359375,-24.958377838134766,-10.379899978637695,136.85931396484375,-25.436420440673828,-10.457147598266602,136.85931396484375,-25.436420440673828,-10.457147598266602,138.024169921875,-23.721782684326172,-10.459179878234863,13.87532565447825,10.928970573016706,1.0,0.007288017792604949,5.5,0.0,14.98,104
L-1:4,8.67674962409926,3.2020912480924064,3.2558294872343096,1.2858402765678663,4.373318308955533,20.539819145557892,11.464460810368225,5.205077779895921,16.674344486411336,12.55647503559561,1827.7554931640625,224.2667999267578,1849.16015625,696.485107421875,592.4352416992188,1885.010009765625,354.08416748046875,1643.0462646484375,1189.3974609375,1065.4852294921875,1193.7738037109375,499.0475769042969,1353.355224609375,1592.14892578125,157.88107299804688,2093.492919921875,661.2767333984375,2142.015380859375,1399.8836669921875,1342.23046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.0313725508749485,153.25390625,-9.298393249511719,-3.8341007232666016,153.1357421875,-8.988297462463379,-3.477219343185425,153.28338623046875,-9.035845756530762,-3.4011218547821045,153.28338623046875,-9.035845756530762,-3.4011218547821045,152.3973388671875,-9.64423942565918,-4.334624767303467,152.62847900390625,-9.82263469696045,-4.282305717468262,152.59149169921875,-9.823866844177246,-4.183529376983643,152.899658203125,-9.712015151977539,-4.175618648529053,152.899658203125,-9.712015151977539,-4.175618648529053,153.25390625,-9.298393249511719,-3.8341007232666016,2.694307443952724,15.94079938618319,1.0,0.006564593301435406,1.25,4.78,15.68,68
L-1:5,4.726110919156047,2.243696513197985,3.085178302825304,2.4221453851974757,1.9597222766463027,4.316081011502398,1.6319172385367584,5.234632914926017,2.696451727673245,1.0801989697959364,1171.3656005859375,167.43067932128906,734.0791625976562,536.7581787109375,511.0434875488281,1409.81689453125,690.763671875,1785.9122314453125,1510.267333984375,1338.4066162109375,2076.647705078125,87.42076873779297,1432.528076171875,1592.426025390625,830.619384765625,2574.0966796875,337.51190185546875,2576.70166015625,770.6429443359375,200.01467895507812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,152.9681396484375,-10.448349952697754,-4.125296115875244,152.96014404296875,-10.567361831665039,-4.490566253662109,152.72528076171875,-10.698205947875977,-4.951591968536377,152.72528076171875,-10.698205947875977,-4.951591968536377,152.7076416015625,-10.66999340057373,-5.045636177062988,152.7076416015625,-10.66999340057373,-5.045636177062988,152.5960693359375,-10.530227661132812,-4.822318077087402,152.5960693359375,-10.530227661132812,-4.822318077087402,152.5770263671875,-10.142972946166992,-4.3123087882995605,152.5770263671875,-10.142972946166992,-4.3123087882995605,3.212605657955142,10.431967464770528,-1.0,0.007824471126357918,2.0,0.0,15.64,68
L-1:6,6.314839448919109,11.29252640208558,3.7135852389016963,1.4677443421350989,2.8320359062264284,2.533835515224477,4.460582990060441,4.521374945938312,6.484286733874059,7.207911246105609,1448.1580810546875,185.47384643554688,1599.607666015625,1065.7886962890625,948.203125,1254.9813232421875,282.2456970214844,1026.6954345703125,1076.4520263671875,801.8385009765625,1243.2041015625,62.66660690307617,1096.1943359375,1123.781005859375,607.5712280273438,1925.4910888671875,729.7071533203125,1918.005126953125,1699.0218505859375,1445.0787353515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.04313725605607033,0.03921568766236305,152.739990234375,-10.004605293273926,-3.9133691787719727,152.5594482421875,-10.092658996582031,-4.118975639343262,152.3175048828125,-10.206635475158691,-4.6440019607543945,152.28369140625,-10.995046615600586,-5.226930141448975,152.33929443359375,-11.128096580505371,-5.605592250823975,152.34234619140625,-10.852502822875977,-5.341509819030762,152.59619140625,-10.550918579101562,-4.807855606079102,152.59619140625,-10.550918579101562,-4.807855606079102,152.789794921875,-10.237001419067383,-4.238839626312256,152.739990234375,-10.004605293273926,-3.9133691787719727,6.186755202964333,12.505098844671618,-1.0,0.008008125294394723,4.0,0.0,19.43,100
L-1:7,4.917871403052635,5.662897503825809,6.2778776899313495,3.0820143336780728,3.190460002629072,3.582761733722325,8.683698686279772,11.566856933009408,13.98009583162384,10.174228913702981,1189.6859130859375,58.343509674072266,1495.045166015625,580.7377319335938,199.19635009765625,1149.3782958984375,428.59173583984375,1024.330322265625,1331.346923828125,1113.9093017578125,1427.0068359375,356.1596374511719,1260.7081298828125,1082.51318359375,270.1597595214844,1235.7508544921875,443.9123840332031,1596.60498046875,1405.285888671875,1178.182373046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.03921568766236305,153.719970703125,-8.681690216064453,-2.041872501373291,153.77020263671875,-8.54640007019043,-1.7989333868026733,152.22515869140625,-9.106352806091309,-3.3651275634765625,152.689697265625,-9.151544570922852,-3.425243616104126,153.0616455078125,-9.199520111083984,-3.5562899112701416,153.331298828125,-9.142221450805664,-3.463465452194214,153.298828125,-8.905353546142578,-3.0094239711761475,153.30877685546875,-8.93384075164795,-2.7261812686920166,153.4283447265625,-8.750097274780273,-2.3024415969848633,153.4283447265625,-8.750097274780273,-2.3024415969848633,6.584701331569759,13.540239939774986,-1.0,0.008139710645648888,3.25,0.0,21.54,36
L-1:8,13.406404934501355,6.0750782290514,6.870888347167441,17.751611813726687,6.280814491974262,9.152036146399336,13.424069720272085,13.794640914884427,14.163043968128441,15.183799619975414,1559.838134765625,98.53611755371094,1509.7227783203125,782.957275390625,966.2002563476562,1760.4852294921875,668.9771728515625,2243.965087890625,2387.302734375,872.727294921875,3526.152099609375,537.1747436523438,2493.15185546875,1828.236328125,829.1805419921875,3135.226806640625,204.02227783203125,6327.23095703125,1310.4095458984375,1008.6138916015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.03529411926865578,0.03921568766236305,152.86572265625,-8.70806884765625,-2.3077869415283203,152.99639892578125,-8.681264877319336,-2.24655818939209,153.17266845703125,-8.537899017333984,-2.4212594032287598,153.17266845703125,-8.537899017333984,-2.4212594032287598,153.34033203125,-8.35625171661377,-2.4578847885131836,153.34033203125,-8.35625171661377,-2.4578847885131836,153.4854736328125,-7.962050914764404,-1.8510411977767944,153.4854736328125,-7.962050914764404,-1.8510411977767944,153.4854736328125,-7.962050914764404,-1.8510411977767944,152.86572265625,-8.70806884765625,-2.3077869415283203,13.518049959707012,13.64991065524015,-1.0,0.005991796664873588,4.25,3.78,12.73,100
L-1:9,2.5838131202698302,3.1186521525697963,0.7355167248951369,3.2041870847229053,5.21246683613907,9.118106485188914,5.717925366034754,1.9506922676756677,2.3406675521191134,2.216434417781544,1087.432373046875,107.19728088378906,862.3925170898438,335.540771484375,376.7680358886719,996.5603637695312,298.9936218261719,967.3933715820312,1086.1300048828125,611.89697265625,1527.166015625,30.106304168701172,1084.1842041015625,741.5274047851562,401.9739685058594,1359.463623046875,526.74755859375,1860.180908203125,1592.3092041015625,1050.848388671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.0313725508749485,0.03529411926865578,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.03529411926865578,153.12799072265625,-6.990085124969482,-0.2782207727432251,152.98529052734375,-7.121002674102783,-0.625234067440033,153.66845703125,-7.464334487915039,-0.7550285458564758,153.6551513671875,-7.51889181137085,-1.0164439678192139,153.491455078125,-7.618109226226807,-1.3611829280853271,153.48016357421875,-7.468442916870117,-1.2392308712005615,153.48016357421875,-7.468442916870117,-1.2392308712005615,153.33251953125,-7.244149208068848,-0.8146559000015259,153.12408447265625,-7.01620626449585,-0.37757351994514465,153.12408447265625,-7.01620626449585,-0.37757351994514465,14.829035804359059,13.104032542675549,-1.0,0.009743682834737147,3.5,0.0,19.17,64
L-1:10,1.2506102026236032,1.1716453223465653,1.4767047079021176,2.5657111606284317,1.724832001485939,7.556106260587463,13.083313772200462,17.124459811341655,13.318239898228375,2.3596207620197918,1518.6583251953125,220.09500122070312,615.6083374023438,350.1208190917969,390.4226989746094,1089.6512451171875,315.02685546875,945.2481689453125,1141.138671875,489.62579345703125,1720.4287109375,213.407470703125,843.7621459960938,735.5009765625,575.357666015625,1498.5616455078125,319.73095703125,1936.6475830078125,1449.1959228515625,1264.267822265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411926865578,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.03921568766236305,0.03921568766236305,0.03921568766236305,0.04313725605607033,0.04313725605607033,0.03921568766236305,152.9459228515625,-6.483682632446289,-0.10074396431446075,152.7310791015625,-6.689250946044922,-0.5800661444664001,153.659423828125,-7.256269454956055,-0.73479163646698,153.45831298828125,-7.31205940246582,-1.1376457214355469,153.244384765625,-7.11122465133667,-1.3084325790405273,153.244384765625,-7.11122465133667,-1.3084325790405273,152.88232421875,-6.683742046356201,-0.8765442967414856,152.909423828125,-6.430717945098877,-0.46563276648521423,152.97149658203125,-6.316650390625,-0.08390132337808609,152.97149658203125,-6.316650390625,-0.08390132337808609,4.539432267640966,17.665232119969897,-1.0,0.00872527084314649,6.5,0.0,21.17,68
