Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.2965583044572067,0.6541083877538806,2.972227321359779,11.18966809929257,1.7325745362054812,10.202880703553811,1.8939535348373215,2.5729190717443107,6.209362864951305,4.023290513285911,1000.2846069335938,80.18458557128906,682.7443237304688,459.0013122558594,275.20355224609375,559.6564331054688,72.7145004272461,860.8283081054688,1235.4178466796875,414.4871520996094,1222.862548828125,71.12960052490234,947.2778930664063,221.99708557128906,285.8895568847656,1504.70361328125,364.9809875488281,735.839111328125,793.7149658203125,563.4692993164063,0.2980392277240753,0.2980392277240753,0.2980392277240753,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.27450981736183167,0.3019607961177826,0.2980392277240753,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.0313725508749485,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.027450982481241226,164.06097412109375,-37.10799026489258,-6.2021002769470215,164.428466796875,-36.67396545410156,-5.1795854568481445,164.5933837890625,-36.743289947509766,-4.493746757507324,163.8109130859375,-35.65499496459961,-10.105435371398926,163.8109130859375,-35.65499496459961,-10.105435371398926,164.2010498046875,-35.44948959350586,-11.019854545593262,162.94378662109375,-36.48817825317383,-11.777194023132324,162.1732177734375,-37.87037658691406,-9.901683807373047,163.7474365234375,-36.95838928222656,-7.314155101776123,164.06097412109375,-37.10799026489258,-6.2021002769470215,9.867908054593782,6.6907805245784004,1.0,0.012686776859504131,0.0,0.0,21.93,108
L-1:2,9.971536393386767,11.457675451668907,4.858000104034767,2.1650604040036217,8.191163646987215,3.4913709149057564,7.1383621498162295,7.796821776863625,7.156372497519894,4.392819033296081,920.4081420898438,129.3605194091797,790.9473266601563,412.3170166015625,457.7978210449219,720.5204467773438,81.15118408203125,824.4700927734375,861.8060302734375,587.7265625,1248.5352783203125,143.319580078125,731.6765747070313,464.7458801269531,477.0015869140625,1224.55126953125,493.8113708496094,1723.1961669921875,1011.7968139648438,779.4793701171875,0.2549019753932953,0.2980392277240753,0.250980406999588,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.26274511218070984,0.2549019753932953,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,161.948486328125,-35.798583984375,-7.121170520782471,161.948486328125,-35.798583984375,-7.121170520782471,162.11541748046875,-35.76887512207031,-6.791151523590088,162.30926513671875,-35.41368865966797,-8.496940612792969,162.94512939453125,-35.282901763916016,-9.592214584350586,163.03070068359375,-35.99028015136719,-9.687267303466797,163.02001953125,-36.46078109741211,-8.84005069732666,163.02001953125,-36.46078109741211,-8.84005069732666,162.6324462890625,-36.22581100463867,-8.277164459228516,162.36248779296875,-36.035621643066406,-7.4613356590271,7.220794177870402,10.788103098071538,1.0,0.010701438848920863,3.333333432674408,0.0,18.7,100
L-1:3,2.3079221163205994,1.368214361052919,5.824751448869722,3.48072774527737,5.59220062762263,12.169739301718167,5.495507083306251,5.632343139042811,8.883961639962962,4.127473964574181,796.2504272460938,98.95761108398438,1053.4478759765625,484.2235107421875,416.89630126953125,920.2850952148438,486.7242736816406,1407.056396484375,785.178466796875,297.30523681640625,1118.474853515625,49.952415466308594,757.1744384765625,475.0985412597656,289.46319580078125,834.6096801757813,684.852294921875,1201.295166015625,829.7872314453125,544.5864868164063,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.32156863808631897,0.2823529541492462,0.2823529541492462,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02352941408753395,158.5361328125,-33.44542694091797,-6.187476634979248,158.40679931640625,-33.57275390625,-6.167934894561768,159.5086669921875,-33.628787994384766,-6.8400115966796875,159.5086669921875,-33.628787994384766,-6.8400115966796875,160.024169921875,-33.89862823486328,-7.967392921447754,160.5985107421875,-34.1569709777832,-8.878528594970703,160.932861328125,-34.40120315551758,-8.993407249450684,160.97064208984375,-34.56162643432617,-8.376744270324707,161.306640625,-34.45962905883789,-7.2816996574401855,158.45147705078125,-33.659942626953125,-6.715427875518799,13.358644383966316,6.951349394197319,1.0,0.011031407828282828,4.666666805744171,0.0,19.97,100
L-1:4,1.1135881061603499,6.166506248058169,6.238827095457,10.508649546728169,7.86716745095437,3.5794553724951603,9.63542687657322,16.302890763591147,19.008649219902477,15.770678913260234,584.2572631835938,13.739479064941406,752.9795532226563,404.5605773925781,608.6074829101563,1777.983642578125,202.5043487548828,1158.2928466796875,759.7957153320313,611.0652465820313,997.0374755859375,169.94691467285156,664.4160766601563,495.4053039550781,149.56637573242188,455.9621887207031,264.6278381347656,776.5285034179688,545.1005859375,518.7257080078125,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.2705882489681244,0.30588236451148987,0.30980393290519714,0.3137255012989044,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.0313725508749485,159.51177978515625,-35.94538879394531,-10.379426002502441,159.54052734375,-35.669837951660156,-10.125518798828125,160.442626953125,-35.52705001831055,-10.329960823059082,161.25762939453125,-35.73263168334961,-11.228763580322266,162.017578125,-35.93330001831055,-12.125598907470703,162.22802734375,-36.58188247680664,-12.854116439819336,162.1783447265625,-37.0452995300293,-12.924761772155762,161.790283203125,-36.9011344909668,-11.059098243713379,161.877685546875,-36.5513916015625,-9.491530418395996,161.55511474609375,-36.43898391723633,-8.448369026184082,11.644440670696083,8.94237759567464,1.0,0.013746949359365468,3.000000089406967,2.03,25.75,108
L-1:5,0.610381354270144,13.76946789913237,5.492072012413283,8.893329725901333,11.093546149605697,9.539427844082995,15.061752076463534,1.0438678865675457,8.659279366860186,1.6740579964248128,904.8602294921875,250.19851684570313,622.107177734375,488.18731689453125,0.009779782965779305,1040.6162109375,365.2642822265625,799.6317749023438,605.037841796875,605.9754638671875,751.9225463867188,39.836219787597656,904.9937133789063,594.2398681640625,708.924560546875,666.879150390625,556.4006958007813,1593.2396240234375,1229.8890380859375,624.3726196289063,0.2980392277240753,0.2980392277240753,0.20000001788139343,0.2705882489681244,0.2705882489681244,0.26274511218070984,0.30588236451148987,0.30588236451148987,0.30980393290519714,0.2549019753932953,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,158.49298095703125,-35.50443649291992,-10.4488525390625,158.773681640625,-35.103763580322266,-9.975292205810547,159.0067138671875,-34.757389068603516,-10.127081871032715,160.26171875,-34.33230972290039,-11.820716857910156,160.26171875,-34.33230972290039,-11.820716857910156,160.0623779296875,-35.98784637451172,-12.705809593200684,160.10968017578125,-35.98916244506836,-12.610095024108887,160.10968017578125,-35.98916244506836,-12.610095024108887,159.57965087890625,-36.25283432006836,-12.209227561950684,158.7586669921875,-35.98115158081055,-11.37563419342041,6.582616520528166,5.410510725769109,1.0,0.012489823609226595,9.333333611488342,0.0,21.04,68
L-1:6,1.7306426978747897,8.997935720503111,5.49258725042221,7.772494423575643,0.7213705640099848,2.3892346432544946,2.0530703214745856,1.1573037941361062,1.9114560813570256,1.0778212690114592,1086.264404296875,4.046414375305176,1596.39990234375,702.266357421875,70.36234283447266,1463.40478515625,413.018310546875,1864.424560546875,434.10546875,481.0269775390625,1540.341552734375,35.62503433227539,989.5887451171875,670.0782470703125,741.0240478515625,1748.797607421875,417.7989196777344,1570.680419921875,717.0903930664063,664.2037963867188,0.27843138575553894,0.27843138575553894,0.27843138575553894,0.27843138575553894,0.27843138575553894,0.32549020648002625,0.27450981736183167,0.3137255012989044,0.2705882489681244,0.27843138575553894,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.01568627543747425,156.8907470703125,-33.60051727294922,-9.215163230895996,156.84228515625,-33.080257415771484,-9.032243728637695,157.6534423828125,-32.72311782836914,-9.624387741088867,158.2294921875,-33.48011016845703,-10.655122756958008,158.47589111328125,-33.934051513671875,-11.35366439819336,158.84295654296875,-34.23273468017578,-11.546721458435059,158.84295654296875,-34.23273468017578,-11.546721458435059,158.8177490234375,-34.32197952270508,-11.026583671569824,158.92449951171875,-33.62356185913086,-10.18685531616211,156.72119140625,-34.501312255859375,-9.934008598327637,11.948548181620758,3.8887827594010167,1.0,0.009908008658008657,2.0000000596046448,0.0,18.31,36
L-1:7,1.8958781037077894,2.185109567113366,4.501417943123711,2.4354178217995686,1.0146857936769746,1.1764033231289779,3.113583097862344,3.3808018523514107,3.1007545717139418,1.5645150272381365,745.271240234375,62.3944206237793,919.7489624023438,539.4689331054688,435.38275146484375,909.2966918945313,338.583740234375,881.408447265625,651.6538696289063,462.6699523925781,1119.6392822265625,44.082435607910156,603.2637329101563,501.6527099609375,287.8263244628906,773.3607177734375,231.189453125,1042.594482421875,1179.424560546875,956.3693237304688,0.27450981736183167,0.26274511218070984,0.26274511218070984,0.26274511218070984,0.25882354378700256,0.3019607961177826,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.27450981736183167,0.02352941408753395,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.01568627543747425,0.02352941408753395,0.01568627543747425,0.02352941408753395,0.02352941408753395,157.20562744140625,-33.8888053894043,-11.068470001220703,157.04052734375,-33.93253707885742,-11.035661697387695,157.30487060546875,-33.82981872558594,-11.178502082824707,157.7803955078125,-33.582942962646484,-11.686450004577637,157.9073486328125,-33.601261138916016,-12.141444206237793,158.2100830078125,-33.80352020263672,-12.117081642150879,157.0511474609375,-34.91658020019531,-13.392340660095215,157.028564453125,-34.61022186279297,-12.763264656066895,157.03057861328125,-34.643089294433594,-12.310315132141113,157.03057861328125,-34.643089294433594,-12.310315132141113,8.999572258416594,4.288225561351778,1.0,0.013138169777242626,2.0000000596046448,0.0,24.94,76
L-1:8,4.339388927171885,4.613128666525192,5.711133050902123,1.8453735971588392,5.874295450359877,3.899845560321848,7.529547562933085,21.197177882053527,24.08717394548552,15.173227493411856,1020.0195922851563,37.71413803100586,732.0625610351563,642.9406127929688,329.70867919921875,824.7399291992188,250.77041625976563,1269.957763671875,590.5304565429688,531.6852416992188,432.587646484375,39.523956298828125,581.5224609375,547.2979125976563,165.2071990966797,750.0528564453125,233.31393432617188,943.6724853515625,775.408935546875,893.4891357421875,0.32549020648002625,0.32549020648002625,0.27843138575553894,0.27843138575553894,0.27843138575553894,0.32156863808631897,0.3333333432674408,0.2823529541492462,0.2823529541492462,0.2823529541492462,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.02352941408753395,0.019607843831181526,0.02352941408753395,156.794921875,-35.86282730102539,-11.986062049865723,156.47723388671875,-35.666927337646484,-11.76466178894043,156.708251953125,-35.927738189697266,-12.051283836364746,157.8157958984375,-35.89288330078125,-12.57105541229248,158.311767578125,-36.31572723388672,-13.160945892333984,158.591552734375,-37.107757568359375,-13.62263298034668,157.54150390625,-35.88114929199219,-14.239242553710938,157.22222900390625,-36.15826416015625,-13.543516159057617,157.03662109375,-36.316078186035156,-13.070111274719238,156.75439453125,-36.3029670715332,-12.732139587402344,18.91136924625994,11.409111834501749,1.0,0.01399020979020979,9.000000268220901,6.49,28.58,36
L-1:9,2.9035606701095027,6.736412344191836,3.819044998046384,2.7024891476797843,4.373117257542623,4.0003739420845195,8.27707251352321,3.1748161569556292,4.404368210788773,3.645179111411859,626.9935302734375,0.0013852664269506931,787.7734375,499.15093994140625,282.8443603515625,997.6827392578125,265.1828308105469,804.0194702148438,525.90380859375,440.0880126953125,453.7240295410156,43.18584060668945,385.56439208984375,462.419189453125,226.00491333007813,519.7445678710938,463.302490234375,1391.41796875,540.0125122070313,355.98193359375,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.29019609093666077,0.24313727021217346,0.29019609093666077,0.29019609093666077,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.019607843831181526,0.027450982481241226,157.736083984375,-49.9294319152832,-4.906826972961426,157.6392822265625,-49.62260437011719,-4.601973533630371,158.1011962890625,-49.56110382080078,-5.094283580780029,158.7398681640625,-50.225555419921875,-6.041276931762695,159.7149658203125,-51.514060974121094,-8.234085083007813,159.3343505859375,-52.4845085144043,-8.956778526306152,158.9564208984375,-53.001888275146484,-8.549546241760254,158.8731689453125,-50.77764129638672,-7.861440658569336,157.31463623046875,-50.9338493347168,-6.488199234008789,157.610595703125,-50.49409866333008,-5.56111478805542,10.938080667726641,3.50694527495264,1.0,0.014858161911081618,1.3333333730697632,0.0,25.59,100
L-1:10,4.396889351825142,1.9596830457105185,0.9302693850527479,4.313286918012082,2.5047114003727144,0.44731064986389346,8.541360366446902,18.04962755610153,8.414917658800862,2.8748876423994942,1069.54736328125,228.90072631835938,707.9713134765625,732.528076171875,492.400634765625,962.477783203125,281.8271179199219,759.9124145507813,485.466552734375,277.98284912109375,719.8550415039063,50.82372283935547,1006.8789672851563,344.603271484375,624.4332885742188,1325.5042724609375,1095.3350830078125,1396.8133544921875,1728.2301025390625,1110.0980224609375,0.27843138575553894,0.27843138575553894,0.27843138575553894,0.27843138575553894,0.26274511218070984,0.26274511218070984,0.26274511218070984,0.30588236451148987,0.27843138575553894,0.27843138575553894,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.019607843831181526,0.02352941408753395,0.0313725508749485,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.02352941408753395,158.541748046875,-48.899532318115234,-4.902062892913818,158.8392333984375,-48.88459396362305,-4.901297569274902,159.667236328125,-49.151554107666016,-5.114818096160889,160.484130859375,-49.029911041259766,-5.660277366638184,158.98968505859375,-49.00790786743164,-6.594794273376465,159.185791015625,-49.6956787109375,-7.997424125671387,158.64361572265625,-50.864986419677734,-8.159401893615723,157.9434814453125,-51.220035552978516,-7.529332637786865,157.0419921875,-50.7137336730957,-5.876854419708252,157.0419921875,-50.7137336730957,-5.876854419708252,10.984576904562447,8.217924129729479,1.0,0.013073365231259968,2.3333334028720856,0.0,23.42,108
