Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,1.8940620160798483,8.004172428737679,0.8598817870168677,1.406369377532162,3.2228960196191445,5.477949206417801,4.2234873561246,0.764184891922069,5.201398081286509,2.8689678223514123,329.6783752441406,24.387374877929688,498.4402160644531,304.8709716796875,83.71783447265625,310.2519226074219,271.5057067871094,732.1204223632813,584.9722900390625,308.2301025390625,450.4169616699219,64.27863311767578,275.23504638671875,284.2563171386719,181.14370727539063,574.892822265625,168.90167236328125,641.6356201171875,607.837158203125,307.04345703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9099999666213989,0.9199999570846558,0.9599999785423279,0.9599999785423279,0.7999999523162842,0.5199999809265137,0.699999988079071,0.7999999523162842,0.8700000047683716,0.8700000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.202902772134222,2.8848971701613384,-1.0,0.021939746300211414,2.0,0.0,23.72,96
L-1:2,8.889739546612228,2.5940721848660373,5.777186404185862,5.457360744848498,6.736377997139566,3.3128035008548378,6.051025669427911,4.00233977737126,2.060219144829641,4.396380374115334,713.69580078125,0.08325974643230438,853.9413452148438,302.272705078125,269.2216796875,682.4552612304688,198.83334350585938,624.4482421875,575.3466796875,289.1835632324219,487.45770263671875,58.72001266479492,294.20855712890625,306.47503662109375,275.40228271484375,465.48626708984375,429.7944030761719,776.6107177734375,593.764404296875,628.2305908203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7299999594688416,0.7699999809265137,0.7699999809265137,0.7999999523162842,0.9399999976158142,0.8899999856948853,0.8499999642372131,0.5699999928474426,0.3799999952316284,0.699999988079071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.408851252153731,4.871219157853142,1.0,0.021517267648552565,3.5,0.0,24.21,36
L-1:3,8.579959077484624,6.64912892385166,2.923993312441333,1.7488365075142014,4.502244050437218,1.102992437725616,1.3309087807496722,5.443464965134714,0.19976319445994414,7.991943211826902,349.32281494140625,98.44462585449219,361.64044189453125,365.08697509765625,465.5437927246094,559.3236083984375,182.6947021484375,750.1869506835938,603.2411499023438,583.6207885742188,461.3333435058594,52.50271224975586,495.24853515625,404.7606506347656,162.7658233642578,731.3814697265625,282.8197326660156,606.13720703125,527.5636596679688,341.6872863769531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6599999666213989,0.7299999594688416,0.7699999809265137,0.8899999856948853,0.8899999856948853,0.9099999666213989,0.8899999856948853,0.7799999713897705,0.550000011920929,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.772481764296987,2.1786461156903933,1.0,0.01913770053475936,4.0,0.0,24.54,100
L-1:4,4.358240044687155,14.848366567989832,7.328175091241954,12.872761352728276,22.59547435633877,21.826363207817977,1.2825794812181344,9.611160076921013,0.6722763234447721,3.42971915974597,897.2996215820313,163.2438507080078,0.0,0.0,38.547340393066406,344.02203369140625,139.84417724609375,349.9730529785156,583.4468994140625,226.47117614746094,725.0086059570313,98.52937316894531,373.52166748046875,263.9932556152344,38.663917541503906,519.462890625,547.0140991210938,768.170166015625,669.971923828125,489.9256896972656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9099999666213989,0.23999999463558197,0.75,0.9199999570846558,0.9099999666213989,0.9199999570846558,0.9399999976158142,0.8700000047683716,0.8700000047683716,0.8899999856948853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.845674735677347,10.991256160775277,-1.0,0.020182193839218633,5.5,6.92,30.7,108
L-1:5,1.8089101370590077,8.003730086814214,8.948664414582057,0.9547452035861113,8.110230212483955,3.9607691007782617,2.348934542216382,7.649850771275696,9.25742085880467,2.974571083939648,617.2623291015625,23.871217727661133,345.67572021484375,462.4176940917969,259.695068359375,584.364501953125,118.64495849609375,576.504638671875,343.1653137207031,430.3492431640625,508.99639892578125,70.45391082763672,400.1626281738281,353.0862121582031,377.44293212890625,607.6508178710938,336.1651306152344,652.757568359375,460.06298828125,167.38841247558594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9399999976158142,0.9099999666213989,0.9199999570846558,0.9199999570846558,0.5999999642372131,0.7199999690055847,0.8199999928474426,0.8399999737739563,0.8700000047683716,0.9199999570846558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1726901207625664,3.5328778359693356,-1.0,0.016934510986643687,0.5,0.0,22.46,68
L-1:6,4.301181168395037,5.110405170772824,5.697151431200264,1.5655334130650285,3.4400214720749434,9.201208047609985,8.462529498327893,2.1870943517221137,1.8001958965695162,7.194548898078718,635.1450805664063,51.832218170166016,303.18560791015625,179.819580078125,190.8290557861328,524.3662719726563,129.07601928710938,687.376953125,544.129150390625,451.2760009765625,890.837158203125,65.8057632446289,304.4930725097656,430.2517395019531,103.01832580566406,591.0018920898438,223.10403442382813,866.05126953125,738.6895141601563,420.7061767578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6100000143051147,0.5199999809265137,0.6399999856948853,0.6899999976158142,0.699999988079071,0.7999999523162842,0.8499999642372131,0.8499999642372131,0.8499999642372131,0.8199999928474426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.097177723868755,2.2242045993380675,-1.0,0.01924129353233831,1.5,0.0,24.31,100
L-1:7,10.495794912590906,0.5406823627606991,2.178225844779736,5.91390618688117,8.817398034593152,5.875176574838459,0.777248739248684,3.221177611654789,2.282511373990183,2.136162570964939,617.5449829101563,69.55884552001953,432.81463623046875,175.01414489746094,207.99342346191406,714.2295532226563,446.9277038574219,742.227294921875,567.2559204101563,332.5653076171875,816.966552734375,168.37002563476563,676.3707275390625,489.7589416503906,151.37159729003906,519.3602294921875,227.74313354492188,624.00927734375,413.261962890625,135.5377655029297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.7699999809265137,0.7999999523162842,0.8199999928474426,0.8199999928474426,0.6899999976158142,0.5,0.5699999928474426,0.6699999570846558,0.7199999690055847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4202498124064675,2.968031845358018,-1.0,0.0218520541958042,3.0,0.0,28.57,36
L-1:8,35.89330992442021,30.620518813136048,28.039530938429092,23.32590210866519,1.3443980447073072,3.8434911283406894,1.4448550069488475,0.4117100520489573,2.1248602900918527,27.522811107345074,577.4044799804688,29.560806274414063,464.04913330078125,239.509033203125,129.94361877441406,596.5196533203125,26.990480422973633,495.9890441894531,469.80218505859375,464.3245544433594,0.0,0.0,557.4445190429688,499.2975769042969,240.39044189453125,694.4592895507813,341.390869140625,303.082763671875,389.3063049316406,85.49344635009766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8199999928474426,0.8399999737739563,0.8399999737739563,0.8700000047683716,0.7999999523162842,0.14000000059604645,0.41999998688697815,0.5399999618530273,0.7799999713897705,0.8199999928474426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.783575575829272,18.1169104596659,-1.0,0.019823088842975206,16.0,4.55,21.93,44
L-1:9,3.7988989722894857,2.3081486071803363,3.4764754199953605,2.6659081043186483,7.270560536466693,16.391163537244065,6.544998462241137,3.573820198091419,2.4963865776682543,3.154267084554417,301.29095458984375,194.20431518554688,300.69476318359375,267.89544677734375,76.21556091308594,516.6729736328125,170.58226013183594,447.8339538574219,362.2532958984375,281.5257568359375,399.8505859375,59.43592834472656,344.6153259277344,218.6398162841797,336.6521911621094,539.8280029296875,131.3485565185547,579.2191772460938,282.82305908203125,262.5000915527344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9199999570846558,0.7999999523162842,0.7199999690055847,0.5399999618530273,0.6899999976158142,0.75,0.8499999642372131,0.8700000047683716,0.8899999856948853,0.8899999856948853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.38580443377509,12.663253270565361,-1.0,0.01921270117442366,3.0,0.0,25.24,100
L-1:10,4.360220093496579,2.8040316341215488,6.8683279924219125,6.64590701167305,10.796925976936317,7.917668081540343,12.013677542465187,4.414307597682125,3.437762467923314,2.3758273985559524,562.4376831054688,83.82439422607422,702.7962036132813,485.95489501953125,364.46417236328125,463.23052978515625,333.90673828125,798.6568603515625,332.5947570800781,440.11102294921875,375.0375671386719,70.62432098388672,191.3641357421875,302.326416015625,99.37164306640625,595.2680053710938,110.23585510253906,635.756591796875,555.8777465820313,347.1246032714844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7199999690055847,0.699999988079071,0.7199999690055847,0.7799999713897705,0.8499999642372131,0.8499999642372131,0.7299999594688416,0.7999999523162842,0.7999999523162842,0.7799999713897705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.093347286279147,2.2539097609348695,1.0,0.016513780337309752,3.0,0.0,22.94,0
