Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,3.2829526984383133,19.097919420085766,29.270802820322775,22.3808077414205,17.579342363807193,10.005554311391169,0.9014160695500274,4.271197712760804,10.230164982484416,11.61690838392077,2701.41650390625,922.4232177734375,1803.9925537109375,2099.80322265625,1242.1844482421875,3158.9140625,922.89208984375,2371.614990234375,1915.026123046875,1440.92333984375,2148.19287109375,708.7968139648438,2165.77099609375,1085.309814453125,1277.73681640625,2995.278564453125,1095.708984375,2314.4853515625,1817.2037353515625,1590.1141357421875,0.8588235974311829,0.8509804606437683,0.8549020290374756,0.8627451658248901,0.874509871006012,0.874509871006012,0.8509804606437683,0.8235294818878174,0.8313726186752319,0.8392157554626465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.875,-43.359375,-7.78125,129.875,-43.359375,-7.78125,129.875,-43.359375,-7.78125,129.984375,-44.921875,-7.578125,129.984375,-44.921875,-7.578125,129.984375,-44.921875,-7.578125,133.609375,-43.015625,-6.5625,133.609375,-43.015625,-6.5625,129.984375,-40.828125,-6.390625,129.984375,-40.828125,-6.390625,3.5433820431792276,20.08637176144883,1.0,0.005427181514138036,8.33333358168602,0.0,10.2,100
L-1:2,1.7950549892083072,5.1434696859855675,4.585037619031995,4.197436178820795,7.497882079090443,2.848001333316228,6.924873334206616,7.948995262823521,1.0443879337137085,1.159386393855637,1839.91455078125,362.2755126953125,1141.0277099609375,1075.2708740234375,582.0281982421875,2204.149169921875,100.45062255859375,2426.806396484375,1922.4803466796875,1170.1434326171875,3413.38916015625,65.89325714111328,2804.011474609375,1084.295166015625,523.8529052734375,2315.702880859375,268.7485046386719,627.1600341796875,1704.821044921875,1161.6929931640625,0.847058892250061,0.8431373238563538,0.8313726186752319,0.8392157554626465,0.8274510502815247,0.8392157554626465,0.8392157554626465,0.8235294818878174,0.8431373238563538,0.847058892250061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.671875,-39.109375,-6.5625,130.5,-40.234375,-7.796875,130.5,-40.234375,-7.796875,130.5,-40.234375,-7.796875,130.421875,-41.046875,-6.5625,130.421875,-41.046875,-6.5625,130.421875,-41.046875,-6.5625,130.359375,-40.34375,-6.21875,134.3125,-36.34375,-3.109375,130.671875,-39.109375,-6.5625,6.342099385822767,0.4895465237192655,1.0,0.0056953362622507615,1.666666716337204,0.0,9.63,108
L-1:3,3.8005848635967117,6.448757111465405,7.140542866393117,4.1023143321289,9.608604210350459,6.342099385822767,14.647366638010302,2.4968266610561147,1.79112182238672,2.8654020634062807,2485.020263671875,25.089494705200195,1793.66650390625,1308.17529296875,790.852294921875,1622.3992919921875,249.5221405029297,2491.844970703125,1954.8189697265625,986.9736938476563,3200.50634765625,698.7685546875,1237.8048095703125,773.2911376953125,435.3460388183594,2588.68701171875,610.3484497070313,3146.34912109375,1611.844970703125,1328.9656982421875,0.8588235974311829,0.8509804606437683,0.8509804606437683,0.8392157554626465,0.8313726186752319,0.8549020290374756,0.8392157554626465,0.8392157554626465,0.8313726186752319,0.8549020290374756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.1875,-36.046875,-4.390625,135.1875,-36.046875,-4.390625,135.0625,-36.5625,-5.0625,135.0625,-36.5625,-5.0625,134.984375,-37.375,-3.21875,134.984375,-37.375,-3.21875,134.875,-36.65625,-3.15625,134.875,-36.65625,-3.15625,134.875,-36.65625,-3.15625,135.1875,-36.046875,-4.390625,7.7817452518665755,5.738489300323619,1.0,0.00561755485893417,4.0000001192092896,0.0,10.24,68
L-1:4,6.8718429141596395,6.0723175593595355,4.111144887001015,4.143659609811065,6.02510613905719,7.673909850847898,5.071320456142481,5.048529705418628,10.141895277733443,10.583015400637523,2662.023681640625,269.5779724121094,1952.17578125,1897.763671875,0.0,0.0,185.26499938964844,2691.722900390625,2612.8544921875,1517.8172607421875,3051.5888671875,400.9136657714844,1280.4852294921875,2058.03125,663.504638671875,3230.43310546875,1150.871337890625,2280.923828125,2295.22802734375,1230.3436279296875,0.8666667342185974,0.8509804606437683,0.46666669845581055,0.7960785031318665,0.803921639919281,0.8078432083129883,0.8352941870689392,0.8352941870689392,0.8588235974311829,0.8588235974311829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.234375,-38.296875,-5.5,136.1875,-37.609375,-4.703125,136.28125,-36.796875,-3.109375,136.328125,-36.796875,-3.328125,136.359375,-36.703125,-3.8125,136.359375,-36.703125,-3.8125,136.359375,-36.703125,-3.8125,136.359375,-36.703125,-3.8125,136.234375,-38.296875,-5.5,136.234375,-38.296875,-5.5,5.206833272446822,8.82827259092547,-1.0,0.005962777380100215,3.333333432674408,4.12,9.52,4
L-1:5,7.923243118800848,7.854301167413624,9.668471391066769,2.831343022854133,7.120937176746944,2.426703368748233,3.9057115270347853,5.8848270144447286,3.7497772730737085,5.950009908658322,2627.849365234375,77.03176879882813,1239.9310302734375,1525.1658935546875,446.3457946777344,1889.1544189453125,820.911376953125,1373.367431640625,1672.5445556640625,1066.75048828125,2921.12890625,353.1449279785156,2368.200927734375,1693.19091796875,505.1640319824219,3584.984130859375,853.8577880859375,2779.03369140625,2122.341552734375,1117.473876953125,0.8392157554626465,0.8196079134941101,0.8000000715255737,0.7803922295570374,0.7960785031318665,0.8078432083129883,0.8313726186752319,0.8392157554626465,0.8509804606437683,0.8392157554626465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.734375,-37.109375,-3.828125,136.703125,-36.734375,-4.796875,136.703125,-36.734375,-4.796875,136.6875,-36.65625,-3.25,136.6875,-36.65625,-3.25,136.75,-36.90625,-2.09375,136.75,-36.90625,-2.09375,136.75,-36.90625,-2.09375,136.734375,-37.109375,-3.828125,136.734375,-37.109375,-3.828125,16.719915436938233,9.110292385098264,-1.0,0.00600088836245188,7.666666895151138,0.0,11.58,64
L-1:6,0.6666666865348816,7.043174742659939,3.1129664695989026,8.506539752477428,5.027054608438317,3.333333432674408,4.040185305492318,7.579007607442574,11.58517434649851,19.642717515371082,7.9151930809021,56.861595153808594,1447.462646484375,772.4408569335938,322.7186584472656,1821.3392333984375,668.0604248046875,2403.55029296875,1551.747314453125,1824.6226806640625,2503.198486328125,171.60626220703125,2431.57958984375,1710.87744140625,795.3796997070313,3106.388916015625,1365.60302734375,2649.803955078125,1938.8251953125,1088.669189453125,0.7764706611633301,0.8196079134941101,0.803921639919281,0.8235294818878174,0.8352941870689392,0.8392157554626465,0.8352941870689392,0.8235294818878174,0.8117647767066956,0.803921639919281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.75,-36.703125,-4.84375,136.78125,-36.90625,-4.453125,136.8125,-37.265625,-5.859375,136.8125,-37.265625,-5.859375,136.9375,-35.90625,-2.734375,136.9375,-35.90625,-2.734375,136.9375,-35.90625,-2.734375,136.859375,-36.84375,-2.890625,136.859375,-36.84375,-2.890625,136.859375,-36.84375,-2.890625,11.100550867719994,10.59800574652541,1.0,0.0060159932659932655,4.666666805744171,0.0,10.21,36
L-1:7,3.8005848635967117,6.520529815526649,3.844056637436252,12.519620421773517,9.604225252311748,11.723670612771917,13.31868267828304,5.272196231078731,6.584178768873333,9.509782819336824,2899.316650390625,255.21487426757813,2387.690185546875,1211.72021484375,353.94964599609375,2429.851806640625,1030.46875,2002.1951904296875,1360.156005859375,714.5448608398438,2887.53515625,302.22650146484375,2101.483642578125,1766.7969970703125,1661.863525390625,2460.66748046875,953.0966186523438,2777.4951171875,1697.2999267578125,883.234375,0.8352941870689392,0.8235294818878174,0.8117647767066956,0.8117647767066956,0.803921639919281,0.8078432083129883,0.8196079134941101,0.8235294818878174,0.8352941870689392,0.8392157554626465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.78125,-36.8125,-4.65625,136.75,-37.125,-4.03125,136.75,-37.125,-4.03125,136.703125,-37.375,-2.96875,136.703125,-37.375,-2.96875,136.828125,-35.578125,-2.265625,136.828125,-35.578125,-2.265625,136.828125,-35.578125,-2.265625,136.78125,-36.8125,-4.65625,136.78125,-36.8125,-4.65625,4.714045348399812,11.386194864630477,-1.0,0.006044249311294765,3.333333432674408,0.0,10.03,64
L-1:8,24.34246476580832,21.74794950781486,13.313295693769398,14.149582351616438,6.556511379324021,7.071068022599718,7.2699441658016575,1.1850074752177457,2.6817563638923785,16.55791533866246,2288.90087890625,36.97217559814453,2114.943603515625,994.7745361328125,795.8390502929688,2022.6055908203125,422.41082763671875,2482.324462890625,1140.957763671875,1248.553955078125,2596.015380859375,187.63961791992188,1844.28662109375,1318.166015625,158.92234802246094,38.0887565612793,919.0803833007813,2001.9593505859375,1517.6517333984375,818.6888427734375,0.8509804606437683,0.8588235974311829,0.8392157554626465,0.8509804606437683,0.8666667342185974,0.8509804606437683,0.8392157554626465,0.8313726186752319,0.8274510502815247,0.847058892250061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.796875,-37.09375,-4.703125,136.84375,-36.1875,-3.5,136.84375,-36.1875,-3.5,136.796875,-37.03125,-4.140625,136.796875,-37.03125,-4.140625,136.828125,-37.140625,-4.140625,136.828125,-37.140625,-4.140625,136.796875,-36.953125,-4.703125,136.84375,-36.140625,-3.578125,136.796875,-37.09375,-4.703125,3.1446604710703836,9.67714815652706,1.0,0.006113986013986015,11.333333671092987,4.22,12.49,64
L-1:9,12.004629094678554,2.690141596305683,5.462844261867836,19.057170391080515,17.199334227696944,4.642796230760812,1.4986000817195066,4.437412392893757,5.502700808044487,10.723287686506815,1600.0872802734375,321.1832275390625,1702.4913330078125,1365.316162109375,63.34607696533203,1560.265380859375,950.8721923828125,2326.41650390625,1906.726318359375,2020.9775390625,1511.6217041015625,748.6434326171875,1992.348388671875,1507.232666015625,960.140380859375,1513.77978515625,852.3318481445313,2857.072509765625,1264.59912109375,1404.06396484375,0.803921639919281,0.7960785031318665,0.7764706611633301,0.8078432083129883,0.8235294818878174,0.8313726186752319,0.8274510502815247,0.8274510502815247,0.8235294818878174,0.8117647767066956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0625,-38.28125,-5.65625,136.0625,-38.28125,-5.65625,136.171875,-38.6875,-5.046875,136.171875,-38.6875,-5.046875,136.171875,-38.6875,-5.046875,136.296875,-37.609375,-4.0625,136.296875,-37.609375,-4.0625,136.0,-37.953125,-4.625,136.0,-37.953125,-4.625,136.0,-37.953125,-4.625,8.894442974492605,11.545438882876237,1.0,0.007418216253443527,0.0,0.0,12.31,108
L-1:10,1.9436506895404029,3.8528820295402584,7.274341639081325,0.807674152312166,1.8518793612829798,6.47216280586801,7.221342697441556,11.809798746388152,21.516262926697213,20.48810198822771,727.4961547851563,198.94737243652344,2174.48388671875,1151.2091064453125,764.24365234375,2187.82568359375,1192.6005859375,3025.065673828125,1208.1854248046875,1246.105224609375,2416.939453125,48.15400695800781,1969.286376953125,1200.8890380859375,530.775390625,2654.16357421875,1372.048828125,3500.82568359375,2123.098388671875,2188.679443359375,0.8156863451004028,0.803921639919281,0.7843137979507446,0.7960785031318665,0.8313726186752319,0.8196079134941101,0.8117647767066956,0.8000000715255737,0.8000000715255737,0.7686275243759155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.703125,-37.234375,-3.78125,135.703125,-37.234375,-3.78125,135.65625,-38.578125,-6.1875,135.65625,-38.578125,-6.1875,135.65625,-38.578125,-6.1875,135.78125,-37.03125,-3.28125,135.78125,-37.03125,-3.28125,135.703125,-37.296875,-3.296875,135.703125,-37.296875,-3.296875,135.703125,-37.296875,-3.296875,12.866839760540882,13.751327470214122,1.0,0.006194903581267217,8.66666692495346,0.0,10.28,32
