Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.7817346325568777,15.647673115488699,17.576708599082455,12.028838759120033,3.4695528761147365,4.012958637278019,7.094505089810936,10.043405762306515,5.439952214462068,1.932054028423067,1518.1256103515625,509.4862976074219,1258.794189453125,1128.01806640625,469.3522644042969,1573.1943359375,76.89999389648438,1334.5985107421875,1059.259033203125,754.5180053710938,1458.836669921875,196.27830505371094,839.7485961914063,778.9706420898438,589.1863403320313,1509.078369140625,181.62022399902344,1215.4429931640625,987.0447387695313,1185.5948486328125,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4274510145187378,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.03999999910593033,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,335.21875,-9.046875,-4.25,335.21875,-9.046875,-4.25,335.859375,-12.375,-6.703125,335.859375,-12.375,-6.703125,336.15625,-13.84375,-8.421875,336.03125,-14.671875,-8.140625,336.453125,-16.015625,-9.359375,335.53125,-14.796875,-7.859375,335.53125,-14.796875,-7.859375,335.359375,-10.40625,-4.8125,2.9243846130634603,10.177994575434287,1.0,0.008789905746427486,7.666666895151138,0.0,16.52,100
L-1:2,17.956042019894248,5.5897003758379995,2.474097924771583,2.345049036888856,12.327052879429692,11.573445383465856,1.486503237344711,6.036134646826111,12.06255762974884,14.115400604384163,2418.53515625,316.039306640625,1716.52685546875,384.7925720214844,592.2158813476563,2203.104736328125,27.0918025970459,910.3878784179688,1186.3253173828125,693.7921142578125,1324.1331787109375,254.02415466308594,1335.7437744140625,328.8843078613281,486.5018005371094,2029.0941162109375,372.0783386230469,1809.862060546875,1902.37841796875,873.4216918945313,0.4235294461250305,0.3921568989753723,0.35686275362968445,0.3019607961177826,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,0.03999999910593033,334.53125,-12.671875,-3.953125,335.25,-11.484375,-3.28125,335.25,-11.484375,-3.28125,335.171875,-11.515625,-3.53125,336.125,-12.03125,-7.34375,336.125,-12.03125,-7.34375,335.3125,-16.765625,-8.203125,335.3125,-16.765625,-8.203125,334.53125,-12.671875,-3.953125,334.53125,-12.671875,-3.953125,7.914878893508344,16.253472823944694,1.0,0.00846944549226707,9.666666954755783,0.0,12.83,36
L-1:3,11.971606838561371,14.959869058207465,9.554136210484543,2.9590769725693575,3.606496519107376,2.5806801589758863,6.001995439449557,7.992273234631274,2.1731232167176335,4.610199392199571,1875.21484375,75.83122253417969,1916.032470703125,1136.043212890625,923.0526733398438,1778.75146484375,498.0704040527344,1285.502685546875,1026.1265869140625,735.88037109375,1817.4677734375,184.19287109375,1692.515380859375,1460.54296875,990.962890625,2549.468017578125,0.0,0.0,1186.2650146484375,679.5677490234375,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4274510145187378,0.4392157196998596,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.05999999865889549,334.234375,-8.703125,-1.59375,334.234375,-8.703125,-1.59375,334.234375,-8.703125,-1.59375,334.90625,-12.234375,-5.609375,334.90625,-12.234375,-5.609375,334.625,-13.265625,-6.171875,334.625,-13.265625,-6.171875,334.625,-13.265625,-6.171875,334.71875,-11.5,-4.953125,333.6875,-9.75,-2.296875,2.6350037800482413,5.05625221427353,1.0,0.007258522727272728,6.000000178813934,0.0,10.22,64
L-1:4,2.857336945057792,24.929978397974615,21.370770617261602,13.259428227129687,10.725094004770517,1.5060939003720173,13.547976017473284,16.399063827612625,7.5337768808356165,3.7342133944509532,1236.9443359375,241.947998046875,1747.141357421875,1148.274169921875,1144.64794921875,2051.554931640625,604.1203002929688,1786.52099609375,1750.2110595703125,1656.044189453125,1880.1602783203125,744.2902221679688,2622.804931640625,1009.1812133789063,1062.868408203125,2083.60205078125,1470.5501708984375,3166.12548828125,2287.433349609375,1343.05029296875,0.458823561668396,0.458823561668396,0.458823561668396,0.458823561668396,0.458823561668396,0.458823561668396,0.458823561668396,0.458823561668396,0.458823561668396,0.458823561668396,0.03999999910593033,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,333.09375,-14.453125,-4.796875,332.765625,-13.125,-5.125,332.765625,-13.125,-5.125,333.4375,-17.359375,-9.15625,333.4375,-17.359375,-9.15625,333.4375,-17.359375,-9.15625,332.734375,-20.5,-9.703125,332.734375,-20.5,-9.703125,332.734375,-20.5,-9.703125,333.09375,-14.453125,-4.796875,6.419863272808089,10.937582624759004,1.0,0.00684434270765206,4.0000001192092896,-9.26,11.96,64
L-1:5,18.962481154806046,14.61801615066215,7.844803685683131,1.6097268148522519,5.826932535090406,4.843956536802193,5.187732869078114,4.400104810577637,16.541344696813795,13.33975127063222,2640.728515625,285.78839111328125,1535.2032470703125,163.48838806152344,1194.572998046875,2021.3748779296875,244.3745574951172,2408.86962890625,1704.4423828125,1507.9591064453125,2337.743896484375,136.00808715820313,1783.11474609375,1199.955322265625,108.65108489990234,541.5140380859375,360.5291748046875,1697.149658203125,732.2886352539063,1089.9053955078125,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.03999999910593033,0.04999999701976776,0.04999999701976776,334.390625,-10.0625,-3.921875,334.390625,-10.0625,-3.921875,334.390625,-10.0625,-3.921875,335.453125,-16.34375,-9.78125,335.453125,-16.34375,-9.78125,335.03125,-16.328125,-10.03125,335.03125,-16.328125,-10.03125,334.328125,-16.6875,-8.984375,334.671875,-15.265625,-7.578125,334.671875,-15.265625,-7.578125,9.63366773913923,10.456268593641255,1.0,0.006691586921850079,6.000000178813934,0.0,9.59,100
L-1:6,23.55454712569522,18.57264547024261,9.905241583710257,6.069887242537651,6.041510263370323,19.100324532919874,13.881305795345716,4.777835299780526,4.935144389719867,18.707992251702667,2105.164306640625,1.0849074125289917,1494.070556640625,539.6038208007813,781.313232421875,1794.9530029296875,404.3339538574219,1326.91357421875,763.8057861328125,990.67333984375,1484.8446044921875,559.6456298828125,2156.65283203125,1633.29736328125,595.7099609375,2558.63916015625,1177.0946044921875,1773.7427978515625,2283.5341796875,1216.8377685546875,0.4745098352432251,0.4745098352432251,0.4745098352432251,0.4745098352432251,0.4745098352432251,0.4745098352432251,0.4745098352432251,0.4745098352432251,0.4745098352432251,0.4745098352432251,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,334.03125,-9.453125,-2.375,335.09375,-10.40625,-4.8125,335.09375,-10.40625,-4.8125,335.140625,-15.75,-9.46875,335.671875,-11.234375,-6.8125,335.671875,-11.234375,-6.8125,334.90625,-14.59375,-9.40625,334.90625,-14.59375,-9.40625,334.03125,-9.453125,-2.375,334.03125,-9.453125,-2.375,5.253451147077015,19.462181553010765,1.0,0.008484848484848484,6.333333522081375,0.0,12.96,36
L-1:7,16.33335538821671,15.65615784074822,15.006155969476682,6.2543325946338415,8.686198410158537,5.7545670720822955,0.9195593918245836,13.219122195895729,15.998507970469817,2.1767445889194783,2984.630859375,88.89508056640625,1489.5743408203125,908.4828491210938,1282.3271484375,2229.6083984375,330.78350830078125,1758.591552734375,1678.2374267578125,1344.1507568359375,2536.15185546875,170.6746368408203,1403.2216796875,509.0583801269531,1239.76123046875,2682.6767578125,1243.387451171875,3130.070068359375,2723.641357421875,593.7706298828125,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.03999999910593033,0.04999999701976776,0.04999999701976776,0.04999999701976776,334.390625,-6.875,-0.078125,334.390625,-6.875,-0.078125,334.390625,-6.875,-0.078125,335.21875,-12.109375,-6.78125,335.21875,-12.109375,-6.78125,334.625,-10.125,-6.21875,334.625,-10.125,-6.21875,333.3125,-9.21875,-2.15625,333.3125,-9.21875,-2.15625,333.3125,-9.21875,-2.15625,9.096573114374559,11.680947819285349,1.0,0.006098484848484849,5.6666668355464935,0.0,10.35,100
L-1:8,2.793277431504805,1.883151449110848,3.238498070628969,1.030022590261986,10.221521785479137,10.661465091849035,3.7674081880796013,10.625739610841533,9.418549471422423,1.36904265463002,2115.930908203125,263.45635986328125,1754.5667724609375,1274.3763427734375,444.3929138183594,640.9818725585938,18.536264419555664,2238.265869140625,2245.187744140625,1643.445556640625,2715.812744140625,228.8606414794922,1975.6455078125,1964.1282958984375,653.1549072265625,3402.330810546875,398.4560852050781,2625.518310546875,1737.25,1386.6578369140625,0.4392157196998596,0.4392157196998596,0.4117647409439087,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,330.859375,-10.953125,-4.453125,331.15625,-13.46875,-5.546875,331.15625,-13.46875,-5.546875,332.125,-15.953125,-9.25,332.125,-15.953125,-9.25,332.125,-15.953125,-9.25,331.046875,-11.859375,-5.890625,331.046875,-11.859375,-5.890625,331.046875,-11.859375,-5.890625,330.859375,-10.953125,-4.453125,8.73749959010936,12.90713416942521,1.0,0.005617734724292101,0.3333333432674408,-7.16,10.77,100
L-1:9,6.323993560754718,15.794907061416033,30.893995050464383,12.86860551760904,4.6905556995000275,17.839835612923952,18.668784104290733,8.437447551071052,11.684352819751298,7.588195074525569,2401.367919921875,156.45472717285156,481.580322265625,720.6329345703125,1247.0692138671875,2579.389404296875,724.903076171875,3437.616455078125,2228.02294921875,960.10009765625,3935.461669921875,453.2810363769531,3544.73974609375,1856.217529296875,849.833984375,1103.715576171875,934.2064208984375,3861.30712890625,2375.337890625,2099.52392578125,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.03999999910593033,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.04999999701976776,0.04999999701976776,330.9375,-9.8125,-3.578125,331.265625,-8.375,-3.53125,331.796875,-8.765625,-4.453125,331.796875,-8.765625,-4.453125,331.796875,-8.765625,-4.453125,331.15625,-14.734375,-8.34375,331.15625,-14.734375,-8.34375,331.15625,-14.734375,-8.34375,330.9375,-9.8125,-3.578125,330.9375,-9.8125,-3.578125,1.2851313566087277,9.760445402992467,1.0,0.005587857372309669,14.000000417232513,0.0,9.94,100
L-1:10,20.382234987369934,17.980075792485227,10.200461121910227,13.048341391449698,17.91809156208238,6.703501980732088,5.794356371193938,11.735789599488957,11.846145596898209,17.76566747888758,5081.73876953125,1061.1514892578125,5893.97314453125,4271.7783203125,3782.25146484375,6391.822265625,645.902099609375,4479.01611328125,4243.98828125,1606.151611328125,4133.84716796875,55.20412826538086,5080.1220703125,3278.833740234375,1914.649169921875,2433.58837890625,292.2789001464844,2718.01904296875,3314.08056640625,3081.938232421875,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4392157196998596,0.4274510145187378,0.4078431725502014,0.38823533058166504,0.4392157196998596,0.4392157196998596,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,0.04999999701976776,330.828125,-8.59375,-2.296875,332.625,-15.921875,-10.859375,332.625,-15.921875,-10.859375,332.625,-15.921875,-10.859375,332.625,-15.921875,-10.859375,331.5625,-8.53125,-2.015625,331.5625,-8.53125,-2.015625,331.5625,-8.53125,-2.015625,330.828125,-8.59375,-2.296875,330.828125,-8.59375,-2.296875,16.72668544554203,22.213307339321382,1.0,0.003955022250476796,6.333333522081375,0.0,7.11,100
