Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,2.348666813625087,9.270655657860553,1.706910858744917,4.24105611697478,7.775867083549138,8.382427826976699,8.358337266322941,15.875141182616554,19.01936807222411,13.379816440022424,1038.3411865234375,200.3520965576172,766.4271240234375,431.24371337890625,417.4697570800781,703.908935546875,413.7421569824219,917.712890625,632.79345703125,528.6972045898438,854.935791015625,322.499755859375,785.4052124023438,629.6904296875,182.2709503173828,872.1006469726562,114.82665252685547,831.3096313476562,1006.8743286132812,781.8090209960938,0.671714723110199,0.6629213690757751,0.6502198576927185,0.5642403364181519,0.5446995496749878,0.5388373136520386,0.5354176759719849,0.5183194875717163,0.4582315683364868,0.43282851576805115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.06849670410156,-74.15354919433594,15.672919273376465,94.81599426269531,-74.713623046875,15.10947322845459,93.51679229736328,-74.99715423583984,14.831754684448242,93.51679229736328,-74.99715423583984,14.831754684448242,93.10018157958984,-75.3575668334961,14.400594711303711,93.1444320678711,-74.67642974853516,14.913322448730469,93.1444320678711,-74.67642974853516,14.913322448730469,95.43678283691406,-73.01978302001953,16.13576316833496,97.69474029541016,-71.73973846435547,17.037508010864258,97.69474029541016,-71.73973846435547,17.037508010864258,5.167428951823377,7.344647809753406,1.0,0.011915417057169633,8.761904925107956,0.0,14.53,100
L-1:2,11.025770390087027,17.741255821581174,20.25995125672662,22.12737081460332,11.439906326449812,4.106742268536978,13.066418154078896,21.085881295619426,9.679185419629741,2.9944677941722593,1258.58056640625,477.2447509765625,490.12176513671875,435.5252990722656,458.32196044921875,1034.8121337890625,553.59423828125,1363.87548828125,213.0435791015625,801.8211059570312,963.9885864257812,394.8144226074219,696.461669921875,1062.283935546875,470.2361755371094,1486.934814453125,452.1011962890625,1189.2174072265625,878.1227416992188,566.5731811523438,0.5422569513320923,0.550561785697937,0.5637518167495728,0.6174889802932739,0.6394724249839783,0.681485116481781,0.4777723550796509,0.6062530279159546,0.6316561102867126,0.540791392326355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.98465728759766,-75.8823013305664,14.013998985290527,92.85157775878906,-75.45035552978516,14.458420753479004,92.85157775878906,-75.45035552978516,14.458420753479004,92.4447250366211,-75.55375671386719,14.395692825317383,90.80622100830078,-75.85643768310547,14.126763343811035,90.80622100830078,-75.85643768310547,14.126763343811035,96.3126220703125,-76.72456359863281,13.134500503540039,94.69969940185547,-77.13567352294922,12.782430648803711,94.69969940185547,-77.13567352294922,12.782430648803711,93.11399841308594,-76.765625,13.174084663391113,6.937043085900553,2.7556540710431783,-1.0,0.01112848784878488,12.571428805589676,0.0,14.13,64
L-1:3,5.726951839405271,10.391676563418509,11.262739851372292,7.34351888490517,24.14110511638626,10.464490327474651,1.7571849776801225,15.914262113433772,16.745137044673005,3.8044060759089215,1207.6864013671875,574.8954467773438,1156.96826171875,1274.52734375,140.1268768310547,1176.97216796875,335.9168395996094,510.09149169921875,1215.733154296875,730.8204345703125,1225.8389892578125,140.6074676513672,959.5025024414062,617.4848022460938,112.0730972290039,752.272705078125,159.78399658203125,1019.055419921875,639.465576171875,856.1157836914062,0.6902784705162048,0.6902784705162048,0.6638984084129333,0.6209086179733276,0.5236932039260864,0.43575963377952576,0.31314119696617126,0.7669760584831238,0.7498778700828552,0.686370313167572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.05118560791016,-74.75200653076172,14.471102714538574,103.05118560791016,-74.75200653076172,14.471102714538574,103.75105285644531,-75.63249206542969,13.604679107666016,101.36121368408203,-75.76251220703125,13.610837936401367,100.36203002929688,-76.501708984375,12.902981758117676,100.14057922363281,-76.54669189453125,12.865392684936523,100.14057922363281,-76.54669189453125,12.865392684936523,92.33334350585938,-73.30770111083984,16.485546112060547,95.21148681640625,-73.17568969726562,16.478803634643555,100.27295684814453,-73.76895141601562,15.637713432312012,5.491127256904252,5.935079160596446,1.0,0.010744850852272727,11.809524029493332,0.0,17.29,36
L-1:4,35.06684753348194,29.867658970264575,35.68763481949155,33.55593605371802,23.28148419521963,9.85361274700879,3.7795148707492365,9.38795576420679,15.34604081318831,25.394051220072242,1452.592529296875,12.186724662780762,809.5724487304688,650.8735961914062,470.4912414550781,1380.531494140625,385.3870544433594,1920.091552734375,693.5636596679688,970.4666748046875,603.5250244140625,53.368247985839844,1505.27783203125,1770.40771484375,249.30801391601562,1341.7611083984375,683.7615966796875,1364.26513671875,1901.247314453125,462.0704040527344,0.652662456035614,0.6795310378074646,0.7024914622306824,0.7239863276481628,0.7322911620140076,0.7313141226768494,0.5925744771957397,0.6008793115615845,0.60332190990448,0.6135808229446411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.31808471679688,-105.88014221191406,15.870936393737793,92.9117660522461,-105.80421447753906,15.800162315368652,92.9117660522461,-105.80421447753906,15.800162315368652,92.9117660522461,-105.80421447753906,15.800162315368652,92.8065185546875,-105.45934295654297,15.432814598083496,91.72052764892578,-105.19036865234375,15.103325843811035,92.16775512695312,-105.57928466796875,15.577753067016602,91.13883972167969,-105.57996368408203,15.566665649414062,91.13883972167969,-105.57996368408203,15.566665649414062,91.31808471679688,-105.88014221191406,15.870936393737793,5.347597570813441,19.654006553553902,-1.0,0.009375000000000001,21.333333730697632,6.11,11.55,100
L-1:5,3.0052339207426346,1.7271512557716997,14.556859750159802,17.69207040241425,4.357363608648096,12.385069805480246,12.23627360693537,17.75839350270538,5.730756298874786,2.376707044927591,851.4466552734375,60.80150604248047,41.6441535949707,56.848201751708984,454.3799743652344,1361.4554443359375,400.3280029296875,1346.563232421875,410.4698486328125,538.0325927734375,1251.870849609375,17.00196647644043,778.7424926757812,1084.326416015625,192.064697265625,1005.5934448242188,127.9009017944336,1114.1875,636.193359375,636.0255126953125,0.6790425181388855,0.06839276850223541,0.5852466821670532,0.6511968970298767,0.7122618556022644,0.7288715243339539,0.6966292262077332,0.7796775698661804,0.7713727355003357,0.6795310378074646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.00942993164062,-72.55232238769531,17.44728660583496,96.19110870361328,-72.6309585571289,17.325746536254883,95.26900482177734,-72.62166595458984,17.319154739379883,94.12699890136719,-72.50980377197266,17.434480667114258,92.03378295898438,-72.49600982666016,17.479333877563477,92.03378295898438,-72.49600982666016,17.479333877563477,89.61000061035156,-72.73941802978516,17.25947380065918,89.8675765991211,-107.0388412475586,17.03428077697754,89.8675765991211,-107.0388412475586,17.03428077697754,88.95296478271484,-107.33792114257812,17.333314895629883,6.724402846875181,15.031271601067298,-1.0,0.01388231631382316,8.380952537059784,0.0,19.11,64
L-1:6,3.792153976109582,10.924924294261348,9.262440663448539,22.970645777938653,17.89980292765668,4.008589983783056,10.37613388673256,21.04771292641885,11.542916497319771,2.466054128419165,1092.3302001953125,401.1184387207031,525.9695434570312,370.8932800292969,517.0220947265625,729.3048706054688,622.88232421875,918.9176025390625,797.2326049804688,837.2117309570312,711.6926879882812,112.1455078125,1053.998779296875,1539.890380859375,513.7879638671875,1081.015869140625,182.4552001953125,1125.844970703125,1201.705810546875,519.9437866210938,0.6638984084129333,0.671714723110199,0.6795310378074646,0.7274059653282166,0.7532975077629089,0.7601367831230164,0.6077185869216919,0.608207106590271,0.6209086179733276,0.6629213690757751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.68695068359375,-109.4214859008789,19.379533767700195,92.99576568603516,-109.1043701171875,18.97918128967285,93.70259857177734,-108.94799041748047,18.815717697143555,94.00079345703125,-108.70680236816406,18.57792854309082,91.97618103027344,-108.51768493652344,18.38155174255371,89.51655578613281,-108.70964050292969,18.571821212768555,89.83792877197266,-108.21625518798828,18.194730758666992,89.83792877197266,-108.21625518798828,18.194730758666992,88.78992462158203,-108.89523315429688,18.868711471557617,88.65508270263672,-109.30088806152344,19.244245529174805,4.679329304084685,2.657494305012866,-1.0,0.012695068089804931,11.047619253396988,0.0,19.71,68
L-1:7,5.2427108777015885,15.565832344253343,1.528242682047991,5.467286492575288,10.596406393132614,7.573501828782458,11.717626832692833,13.70136211671052,20.879181806400414,1.03355135083729,763.643310546875,34.890464782714844,725.92626953125,732.1707153320312,31.256080627441406,442.5784912109375,371.6470031738281,1280.4215087890625,877.8038940429688,755.6768798828125,1304.2364501953125,88.8787841796875,1107.402099609375,854.6842651367188,80.41720581054688,1339.489501953125,460.68157958984375,1186.96142578125,612.3204345703125,773.8640747070312,0.7215437293052673,0.7381533980369568,0.4587200880050659,0.7313141226768494,0.7635564208030701,0.7567171454429626,0.7484123110771179,0.7239863276481628,0.7088422179222107,0.7166585326194763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.83357238769531,-108.86359405517578,18.648733139038086,91.15192413330078,-109.41063690185547,19.174823760986328,95.79075622558594,-107.74215698242188,17.693954467773438,93.45233154296875,-107.59432220458984,17.527074813842773,92.61068725585938,-107.18656158447266,17.046096801757812,92.61068725585938,-107.18656158447266,17.046096801757812,92.89632415771484,-106.76907348632812,16.545005798339844,93.3936996459961,-106.72806549072266,16.39188575744629,93.3936996459961,-106.72806549072266,16.39188575744629,91.57499694824219,-107.68628692626953,17.399822235107422,2.561942673882865,15.296719093953783,-1.0,0.01286840175953079,11.42857164144516,0.0,20.06,68
L-1:8,10.454196905417135,7.483210327094794,8.41120391351324,0.968919613686147,3.2316742335359194,9.718320662303329,28.776257423651987,34.81238984397846,28.531142965817107,18.992672676386853,1164.27001953125,44.28725814819336,1259.017333984375,801.6867065429688,800.5691528320312,1793.05615234375,353.8778991699219,2267.75244140625,2136.431396484375,1320.5665283203125,2115.4677734375,1004.6814575195312,1434.3427734375,1772.966796875,895.8375244140625,2149.102783203125,322.6766662597656,1723.363525390625,1162.902099609375,950.0117797851562,0.6707376837730408,0.5007327795028687,0.6580361723899841,0.7254518866539001,0.7313141226768494,0.7059110999107361,0.6853932738304138,0.6790425181388855,0.6663410067558289,0.6653639674186707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.19825744628906,-108.46498107910156,18.19622802734375,95.97004699707031,-107.10055541992188,17.080259323120117,94.40962219238281,-107.35769653320312,17.346445083618164,94.40962219238281,-107.35769653320312,17.346445083618164,91.00827026367188,-107.47411346435547,17.421762466430664,91.00827026367188,-107.47411346435547,17.421762466430664,91.00827026367188,-107.47411346435547,17.421762466430664,91.62793731689453,-107.2256851196289,17.02469825744629,91.62793731689453,-107.2256851196289,17.02469825744629,90.19825744628906,-108.46498107910156,18.19622802734375,15.009010743642316,17.320650026132807,-1.0,0.008913658112222705,17.904762238264084,9.2,11.71,64
L-1:9,6.816587684333468,0.6784014799410635,7.873164445986131,0.2680799743450188,3.214472853317348,5.006880800316148,7.283290199693541,1.465572428408761,2.7102689689131023,4.861439747712345,895.4457397460938,113.34304809570312,664.0499267578125,387.37420654296875,327.0025634765625,788.668212890625,1.4307500123977661,217.86721801757812,1211.5562744140625,436.8825988769531,925.3438720703125,27.910724639892578,686.6856079101562,545.189453125,272.048583984375,808.4616088867188,245.61776733398438,849.9514770507812,659.4754028320312,439.57476806640625,0.6731802821159363,0.6844162344932556,0.6990718245506287,0.7132388949394226,0.6189545392990112,0.6502198576927185,0.6536394953727722,0.6555935740470886,0.6487542986869812,0.6541280150413513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.53929901123047,-108.26944732666016,17.930622100830078,95.70684814453125,-108.57303619384766,18.283544540405273,96.52293395996094,-108.32958221435547,18.021818161010742,95.97140502929688,-108.48542022705078,18.052528381347656,99.43666076660156,-107.0331039428711,16.69287109375,95.59114837646484,-107.62620544433594,17.24995994567871,95.16447448730469,-107.80590057373047,17.39618682861328,95.16447448730469,-107.80590057373047,17.39618682861328,94.78560638427734,-108.09323120117188,17.721723556518555,95.0986099243164,-108.11839294433594,17.776081085205078,1.0194235162334278,5.140523942580572,-1.0,0.014295013239187998,5.333333432674408,0.0,18.51,64
L-1:10,16.874294555666623,7.941027938758537,11.083544000836488,5.622903513957631,1.1223765422399137,10.491140740357254,10.01173586201878,3.6878999418803544,5.078837065067858,17.241072490384585,976.1485595703125,426.8070068359375,949.4967651367188,749.8934936523438,270.46722412109375,701.9594116210938,33.85868835449219,583.8668823242188,1075.1162109375,548.3416137695312,1302.32470703125,179.4481964111328,1220.11865234375,962.0670166015625,1521.10986328125,1493.595458984375,313.21380615234375,245.38986206054688,606.48681640625,659.6324462890625,0.7288715243339539,0.739130437374115,0.7181240916252136,0.7015144228935242,0.6243282556533813,0.5476306676864624,0.5276013612747192,0.5578895807266235,0.7523204684257507,0.7024914622306824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3158950805664,-107.93260955810547,17.687679290771484,97.3158950805664,-107.93260955810547,17.687679290771484,98.32113647460938,-107.33538055419922,17.08045196533203,95.16924285888672,-107.1646499633789,16.95106315612793,95.01669311523438,-106.6561279296875,16.4703311920166,95.37630462646484,-106.49862670898438,16.343339920043945,95.37630462646484,-106.49862670898438,16.343339920043945,96.70150756835938,-106.39535522460938,16.258493423461914,89.32110595703125,-109.37866973876953,19.233076095581055,94.6082763671875,-108.58929443359375,18.422657012939453,8.251674583517527,2.292197560635551,1.0,0.013193359375000002,8.761904925107956,0.0,21.23,64
