Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,7.7817452518665755,6.8646696795518345,6.295312390689371,2.2410231646052514,1.8202810829047549,3.7267800735663474,2.127310879944814,6.199545819955391,0.8370644408658696,4.617952428738404,2465.637451171875,105.92247772216797,1657.0845947265625,1641.8187255859375,562.9676513671875,2005.348876953125,584.1400756835938,1084.8546142578125,816.4848022460938,692.7279052734375,2711.5068359375,400.2580261230469,2557.38818359375,1401.4954833984375,179.58497619628906,1726.5784912109375,887.0809936523438,1792.2130126953125,1619.1793212890625,988.933349609375,0.21176472306251526,0.21176472306251526,0.21176472306251526,0.3137255012989044,0.38431376218795776,0.38431376218795776,0.38431376218795776,0.2352941334247589,0.2705882489681244,0.2705882489681244,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.019607843831181526,0.019607843831181526,221.69363403320313,-15.74930477142334,-3.3275930881500244,221.9362335205078,-15.573922157287598,-3.6719162464141846,221.9362335205078,-15.573922157287598,-3.6719162464141846,221.07220458984375,-16.156047821044922,-4.050607204437256,221.07220458984375,-16.156047821044922,-4.050607204437256,220.33592224121094,-16.911134719848633,-3.8550500869750977,220.33592224121094,-16.911134719848633,-3.8550500869750977,221.29833984375,-15.644437789916992,-4.121427536010742,221.29833984375,-15.644437789916992,-4.121427536010742,221.69363403320313,-15.74930477142334,-3.3275930881500244,7.6955978164234775,9.33861409188451,-1.0,0.007803343350864011,3.333333432674408,0.0,11.87,64
L-1:2,16.719915436938233,17.617686176815145,14.167879498209501,10.572202289614724,0.42292258381164616,3.0184618026696417,2.680381908158304,7.28441513131091,2.2209666479577574,2.8544390981389567,1662.74072265625,79.65434265136719,1885.630126953125,1590.4156494140625,572.349853515625,1782.463134765625,674.0802001953125,1789.5616455078125,810.365478515625,731.8228759765625,3196.154052734375,32.39305877685547,2065.1708984375,1334.4158935546875,290.1473693847656,2411.9130859375,851.5588989257813,1971.8377685546875,1497.9224853515625,480.0810546875,0.24313727021217346,0.2196078598499298,0.2196078598499298,0.3294117748737335,0.3294117748737335,0.4078431725502014,0.4078431725502014,0.3607843220233917,0.3607843220233917,0.24313727021217346,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.01568627543747425,219.9772186279297,-19.304615020751953,-4.5876994132995605,219.9772186279297,-19.304615020751953,-4.5876994132995605,219.65223693847656,-19.273056030273438,-5.357017517089844,219.65223693847656,-19.273056030273438,-5.357017517089844,218.53082275390625,-20.616071701049805,-5.074522972106934,218.19967651367188,-20.42644500732422,-3.974245548248291,218.19967651367188,-20.42644500732422,-3.974245548248291,218.3090057373047,-20.930492401123047,-3.68858003616333,218.3090057373047,-20.930492401123047,-3.68858003616333,219.3494873046875,-20.154800415039063,-3.6883773803710938,19.00292431798356,8.964361201273348,-1.0,0.006440864960282435,3.6666667759418488,0.0,12.51,68
L-1:3,2.8284272090398868,5.187431087816971,7.467204236413536,2.3721024630932988,2.6808453614449816,6.262764929330245,6.422723103588527,0.04475188996312226,11.754068085646162,9.061775193113023,1910.075927734375,122.8916015625,1554.8800048828125,1715.8128662109375,350.968994140625,2091.83740234375,366.4795227050781,1332.323974609375,1219.18310546875,1025.2398681640625,2382.94384765625,430.01025390625,1568.08154296875,1219.3673095703125,359.8318176269531,1689.74951171875,864.8429565429688,1460.614990234375,1277.8314208984375,1153.005859375,0.20784315466880798,0.20784315466880798,0.20784315466880798,0.20784315466880798,0.33725491166114807,0.33725491166114807,0.3803921937942505,0.3294117748737335,0.2705882489681244,0.2705882489681244,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.02352941408753395,220.37213134765625,-18.901569366455078,-2.7567341327667236,220.05470275878906,-18.831235885620117,-3.919429302215576,220.05470275878906,-18.831235885620117,-3.919429302215576,219.76312255859375,-19.238313674926758,-4.43723201751709,219.76312255859375,-19.238313674926758,-4.43723201751709,218.96868896484375,-21.107046127319336,-4.383234977722168,218.96868896484375,-21.107046127319336,-4.383234977722168,218.9440155029297,-19.6242618560791,-2.5944666862487793,219.32281494140625,-19.43669319152832,-2.768380641937256,219.32281494140625,-19.43669319152832,-2.768380641937256,5.754225672033306,6.682267070344049,-1.0,0.0070683343502135456,3.000000089406967,0.0,13.24,36
L-1:4,4.055175141052446,5.531493034247674,13.956799670585163,11.992405483068445,4.493898567038223,0.3333333432674408,1.1104586313927018,10.541155731512886,13.83820456732574,8.786442024863554,426.0022277832031,30.05190086364746,1091.0111083984375,1153.8533935546875,330.32257080078125,1235.823486328125,319.1336364746094,876.3179321289063,611.3302001953125,684.9235229492188,1320.523681640625,37.7485466003418,1656.05615234375,990.8267822265625,480.65081787109375,1032.4398193359375,548.8236694335938,1013.36572265625,645.8931884765625,268.6655578613281,0.27450981736183167,0.3019607961177826,0.3019607961177826,0.37254902720451355,0.4235294461250305,0.46666669845581055,0.46666669845581055,0.4274510145187378,0.37254902720451355,0.27450981736183167,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.019607843831181526,217.29043579101563,-19.70039939880371,-5.010272026062012,218.4682159423828,-17.06291389465332,-2.389721155166626,218.0558624267578,-17.26264190673828,-2.9423766136169434,218.0558624267578,-17.26264190673828,-2.9423766136169434,217.09620666503906,-18.31268310546875,-3.5136067867279053,216.37142944335938,-18.949420928955078,-3.452677011489868,216.2545623779297,-19.177776336669922,-3.364067554473877,216.2545623779297,-19.177776336669922,-3.364067554473877,216.4062957763672,-19.626346588134766,-3.7293379306793213,216.82106018066406,-19.937280654907227,-4.44296407699585,16.719915436938233,11.580653978585955,-1.0,0.01150445632798574,0.6666666865348816,4.03,18.44,100
L-1:5,6.128258952919755,2.212372886872867,9.40971612318573,10.769489602350843,11.131580512288373,13.017083181117057,2.142246914585112,9.039960337140949,19.814664581985873,18.19617077016106,1190.050048828125,298.6997985839844,969.2699584960938,912.3114013671875,254.77296447753906,1896.1937255859375,375.38970947265625,1258.842529296875,1136.6864013671875,1079.607421875,1818.9185791015625,13.453415870666504,188.28646850585938,75.35749053955078,267.6814880371094,1578.0501708984375,449.00921630859375,1116.692138671875,1498.7083740234375,1428.395263671875,0.29019609093666077,0.24313727021217346,0.24313727021217346,0.3019607961177826,0.3019607961177826,0.364705890417099,0.24705883860588074,0.41960787773132324,0.3450980484485626,0.3450980484485626,0.02352941408753395,0.019607843831181526,0.019607843831181526,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.027450982481241226,219.44097900390625,-21.48185920715332,-4.27567720413208,219.44097900390625,-21.48185920715332,-4.27567720413208,219.2292022705078,-20.996936798095703,-4.851090908050537,218.48707580566406,-21.270776748657227,-5.11282205581665,218.48707580566406,-21.270776748657227,-5.11282205581665,217.8971405029297,-22.098604202270508,-5.451347351074219,217.7007598876953,-22.4886417388916,-5.434020519256592,218.8595428466797,-22.686349868774414,-4.094986915588379,218.8595428466797,-22.686349868774414,-4.094986915588379,219.29443359375,-22.72987174987793,-4.235944747924805,1.666666716337204,1.3387439224160904,1.0,0.008405607802159527,8.000000238418579,0.0,13.79,4
L-1:6,4.921607833419806,1.3340789194085267,5.308353631513403,4.545731429597351,14.97507923056873,10.088497600941686,10.531900040871294,9.157854121850319,2.768881601082495,6.635378095294449,1263.8917236328125,303.00299072265625,1068.094482421875,1089.9783935546875,598.03955078125,1498.0802001953125,32.580074310302734,1273.3355712890625,851.2789306640625,911.9667358398438,1734.232421875,29.738765716552734,1321.612060546875,900.3577880859375,463.2913818359375,2467.040283203125,1251.8585205078125,2020.8358154296875,885.0166625976563,560.5004272460938,0.3176470696926117,0.18431372940540314,0.18431372940540314,0.18431372940540314,0.22745099663734436,0.4431372880935669,0.4117647409439087,0.4117647409439087,0.3019607961177826,0.3019607961177826,0.027450982481241226,0.01568627543747425,0.019607843831181526,0.019607843831181526,0.01568627543747425,0.027450982481241226,0.0313725508749485,0.0313725508749485,0.019607843831181526,0.019607843831181526,219.78695678710938,-20.164478302001953,-3.74589467048645,220.07260131835938,-19.996461868286133,-4.535989284515381,220.07260131835938,-19.996461868286133,-4.535989284515381,219.83358764648438,-19.661914825439453,-4.592030048370361,218.96217346191406,-19.814308166503906,-4.578185558319092,218.64111328125,-20.324262619018555,-4.19870138168335,218.9276885986328,-21.115825653076172,-3.1016852855682373,218.9276885986328,-21.115825653076172,-3.1016852855682373,219.40252685546875,-20.818687438964844,-3.000659704208374,219.40252685546875,-20.818687438964844,-3.000659704208374,16.82590645361636,5.89084680862552,1.0,0.008502764127764129,0.6666666865348816,0.0,15.82,100
L-1:7,7.731609233582039,3.2111916233844076,1.5579058781130746,3.2283279343417246,2.00357206256247,3.8005848635967117,4.191471297125764,3.5463566893267098,9.875770704516215,10.959589186173252,1966.45166015625,533.8072509765625,1475.385498046875,1134.639404296875,108.33668518066406,970.8211669921875,275.2914123535156,779.9784545898438,1345.66650390625,748.9725952148438,1909.5499267578125,26.587190628051758,1772.8282470703125,1470.4923095703125,935.3375244140625,1663.341796875,582.2235107421875,1506.2548828125,1810.4708251953125,1267.6214599609375,0.24313727021217346,0.24313727021217346,0.24313727021217346,0.3333333432674408,0.3921568989753723,0.4392157196998596,0.4392157196998596,0.46666669845581055,0.3686274588108063,0.3686274588108063,0.01568627543747425,0.02352941408753395,0.02352941408753395,0.02352941408753395,0.03529411926865578,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.027450982481241226,0.027450982481241226,219.91514587402344,-23.561006546020508,-5.4703497886657715,220.11062622070313,-23.88292694091797,-6.623797416687012,219.6556396484375,-24.353534698486328,-6.886260986328125,218.97528076171875,-24.40996742248535,-6.381539344787598,219.60768127441406,-22.39682388305664,-5.18451452255249,218.87449645996094,-23.395811080932617,-5.8492960929870605,218.8491973876953,-23.819021224975586,-6.1409592628479,218.8491973876953,-23.819021224975586,-6.1409592628479,218.945556640625,-23.99674415588379,-5.979490756988525,218.945556640625,-23.99674415588379,-5.979490756988525,4.3461350663266805,4.606431833973142,-1.0,0.007712450592885375,1.666666716337204,0.0,15.61,100
L-1:8,8.279828479007591,4.899488452317084,5.021428694215123,11.389255445928228,30.902335932644004,27.406407204900514,21.12845460141497,6.402343608811386,14.363637155834134,25.14034370342133,1035.1319580078125,104.559814453125,1303.0706787109375,725.094970703125,444.0284729003906,1210.5684814453125,41.6502685546875,107.31156158447266,578.2006225585938,469.1817626953125,1216.5570068359375,27.60721206665039,1031.8062744140625,817.3466186523438,120.39271545410156,1792.858154296875,705.6571655273438,755.9844360351563,809.4033203125,800.7186279296875,0.2392157018184662,0.2392157018184662,0.2392157018184662,0.2392157018184662,0.38823533058166504,0.4274510145187378,0.45098042488098145,0.364705890417099,0.3529411852359772,0.32549020648002625,0.01568627543747425,0.02352941408753395,0.01568627543747425,0.019607843831181526,0.02352941408753395,0.0313725508749485,0.0313725508749485,0.0313725508749485,0.02352941408753395,0.02352941408753395,220.58197021484375,-21.864307403564453,-3.555896282196045,220.4184112548828,-21.478492736816406,-4.22161340713501,220.40281677246094,-21.167879104614258,-5.553831577301025,219.64186096191406,-20.78436279296875,-5.617713451385498,218.69418334960938,-20.293758392333984,-4.733615398406982,218.25357055664063,-21.282928466796875,-4.907284736633301,218.2661590576172,-21.61562156677246,-3.9343204498291016,218.02503967285156,-21.741363525390625,-3.9911980628967285,219.42913818359375,-23.267385482788086,-3.60280704498291,220.03286743164063,-22.9107608795166,-3.566035747528076,3.8005848635967117,21.83060027557885,1.0,0.010071614583333333,4.0000001192092896,2.92,24.31,4
L-1:9,5.333333492279053,0.4609911843480517,0.810343936161061,1.2756697740968446,3.04887923917815,6.342099385822767,4.4447691910005425,4.81954454644465,4.400514995302137,2.487124802722303,1457.7352294921875,84.2316665649414,810.0985107421875,479.8534851074219,300.7130432128906,808.1157836914063,541.2613525390625,1478.1492919921875,1210.9466552734375,688.4946899414063,2662.40087890625,125.91746520996094,2267.464111328125,1175.120849609375,549.614013671875,1682.7249755859375,751.7241821289063,1453.6058349609375,1979.3468017578125,991.2515869140625,0.2980392277240753,0.2705882489681244,0.30588236451148987,0.3333333432674408,0.3333333432674408,0.43137258291244507,0.43137258291244507,0.43137258291244507,0.43137258291244507,0.2980392277240753,0.019607843831181526,0.01568627543747425,0.02352941408753395,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.027450982481241226,0.03529411926865578,0.03529411926865578,0.019607843831181526,219.5365447998047,-23.378211975097656,-4.913327217102051,219.38710021972656,-23.71769142150879,-5.6363067626953125,219.38710021972656,-23.71769142150879,-5.6363067626953125,218.52908325195313,-23.411056518554688,-5.066497325897217,217.74327087402344,-23.97292137145996,-5.131596088409424,217.74327087402344,-23.97292137145996,-5.131596088409424,217.9573974609375,-23.830318450927734,-4.4098711013793945,217.9573974609375,-23.830318450927734,-4.4098711013793945,218.60545349121094,-23.842050552368164,-4.259190559387207,218.60545349121094,-23.842050552368164,-4.259190559387207,13.308310248403295,7.444370095907811,-1.0,0.0076084529505582145,0.3333333432674408,0.0,13.63,68
L-1:10,6.936217555610323,10.315421941311541,7.099986762624742,8.875037386171835,10.637352575846975,1.0000000298023224,3.3977254005532904,4.145986964550213,6.952169498588856,4.576960775051314,1666.4498291015625,282.55792236328125,986.0301513671875,1016.5596313476563,449.7790222167969,993.4244384765625,608.2422485351563,1281.52685546875,1164.7373046875,455.62298583984375,1167.95556640625,204.96478271484375,1648.5076904296875,1421.1268310546875,299.8996887207031,1464.44677734375,730.187255859375,1700.2166748046875,1255.1199951171875,1393.3070068359375,0.2823529541492462,0.2823529541492462,0.30588236451148987,0.35686275362968445,0.43137258291244507,0.41568630933761597,0.41568630933761597,0.41568630933761597,0.41568630933761597,0.41568630933761597,0.01568627543747425,0.01568627543747425,0.019607843831181526,0.027450982481241226,0.027450982481241226,0.0313725508749485,0.03529411926865578,0.027450982481241226,0.027450982481241226,0.027450982481241226,219.59747314453125,-25.45505714416504,-5.212601184844971,220.4226837158203,-24.809274673461914,-5.404583930969238,219.99607849121094,-25.192031860351563,-5.982892990112305,219.21221923828125,-25.847644805908203,-5.65768575668335,218.99533081054688,-25.840925216674805,-5.13919734954834,218.85572814941406,-25.550291061401367,-6.383505344390869,218.85572814941406,-25.550291061401367,-6.383505344390869,218.88397216796875,-25.85723114013672,-6.141921520233154,218.88397216796875,-25.85723114013672,-6.141921520233154,219.59747314453125,-25.45505714416504,-5.212601184844971,14.149990606229984,11.280499511375115,-1.0,0.009577272727272728,2.6666667461395264,0.0,15.05,100
