Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,9.061851252177481,1.941991535245166,1.1288707322029383,1.4762829587060036,1.8973056243135809,3.579368128666878,4.052898393161485,1.9575001545176185,6.30888045460913,3.2157126983716022,1980.4422607421875,24.015687942504883,1163.7269287109375,455.565673828125,502.30474853515625,983.512939453125,69.86325073242188,1249.117431640625,1407.6807861328125,921.0823974609375,1156.5133056640625,17.192392349243164,1373.121337890625,881.273681640625,242.8211669921875,1282.5230712890625,252.76502990722656,1200.1851806640625,685.3152465820313,545.5266723632813,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.30980393290519714,0.30588236451148987,0.3176470696926117,0.32156863808631897,0.3019607961177826,0.2980392277240753,0.2980392277240753,0.30588236451148987,0.32549020648002625,0.30980393290519714,281.3000183105469,-95.4000015258789,5.0,281.3000183105469,-95.4000015258789,5.0,278.8000183105469,-96.9000015258789,6.400000095367432,278.1000061035156,-97.5999984741211,5.599999904632568,276.3000183105469,-99.20000457763672,4.400000095367432,276.0,-99.70000457763672,3.9000000953674316,276.0,-99.70000457763672,3.9000000953674316,277.3999938964844,-98.30000305175781,4.099999904632568,279.3999938964844,-96.80000305175781,4.599999904632568,279.3999938964844,-96.80000305175781,4.599999904632568,12.566275517301143,5.255764563587279,1.0,0.009165535956580732,2.3333334028720856,0.0,15.44,68
L-1:2,1.6171813812948495,1.4891996981473732,1.6780453646487696,10.000227041318228,9.192123267026671,4.231730925380936,8.16195072201606,8.166398044923746,6.974276810448094,4.549153861504949,1692.4442138671875,9.418184280395508,840.5248413085938,519.3194580078125,1029.9637451171875,1533.8289794921875,430.5976257324219,1527.467041015625,951.3579711914063,770.6317749023438,1885.931396484375,56.67194366455078,1731.918701171875,825.63330078125,309.1974182128906,1698.6912841796875,309.3966979980469,1959.056640625,1412.8016357421875,550.4411010742188,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.32156863808631897,0.3333333432674408,0.2823529541492462,0.2980392277240753,0.3019607961177826,0.30588236451148987,0.30588236451148987,0.29411765933036804,0.3019607961177826,0.32549020648002625,274.6000061035156,-99.4000015258789,6.900000095367432,274.6000061035156,-99.4000015258789,6.900000095367432,273.70001220703125,-99.9000015258789,6.099999904632568,272.0,-101.4000015258789,5.400000095367432,270.3999938964844,-102.80000305175781,4.5,270.3999938964844,-102.80000305175781,4.5,270.3999938964844,-102.80000305175781,4.5,270.70001220703125,-102.0999984741211,5.200000286102295,272.70001220703125,-100.20000457763672,6.0,272.70001220703125,-100.20000457763672,6.0,1.0030716542866804,2.976129390427318,1.0,0.007395241477272727,5.333333492279053,0.0,11.9,32
L-1:3,3.1215225886727116,4.860877524029461,2.159441051967829,4.001435160439353,1.552315736587093,3.2956884809308487,4.82194220780048,1.0103341328554758,1.3053485023864684,4.3620609700063415,1755.9656982421875,266.6991271972656,1227.5562744140625,955.1427612304688,387.312744140625,1599.1063232421875,499.10345458984375,2266.16162109375,1296.880126953125,1138.8802490234375,1529.7078857421875,57.45549011230469,1269.228515625,950.62841796875,298.18463134765625,1354.972900390625,461.88409423828125,1974.021484375,0.0,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.30588236451148987,0.30588236451148987,0.30588236451148987,0.3176470696926117,0.29411765933036804,0.3019607961177826,0.2980392277240753,0.2980392277240753,0.3137255012989044,0.3137255012989044,272.8000183105469,-96.5,8.0,272.70001220703125,-96.5999984741211,8.0,272.70001220703125,-96.5999984741211,8.0,271.8999938964844,-98.20000457763672,6.400000095367432,270.1000061035156,-99.70000457763672,5.5,270.1000061035156,-99.70000457763672,5.5,269.8999938964844,-100.0,5.400000095367432,270.70001220703125,-98.9000015258789,6.599999904632568,270.70001220703125,-98.9000015258789,6.599999904632568,272.1000061035156,-97.5999984741211,7.300000190734863,5.085286778989076,2.443918012811546,1.0,0.006899038461538461,0.3333333432674408,0.0,13.53,36
L-1:4,11.445318975731146,14.78022407477519,8.354386909365061,6.810281771377511,6.239580272462532,1.6096284276235906,13.402316735382028,23.826911254545266,25.96471977279741,23.02183472698827,1949.0823974609375,587.8404541015625,1762.21240234375,909.7088623046875,484.7441101074219,1846.1695556640625,793.1520385742188,2016.2288818359375,1025.541015625,757.2330322265625,1584.5413818359375,81.5527572631836,1314.3316650390625,1416.0606689453125,365.4185791015625,2404.009765625,575.7431640625,1783.8868408203125,1454.2232666015625,1439.537109375,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.2705882489681244,0.2666666805744171,0.29019609093666077,0.2823529541492462,0.2666666805744171,0.27450981736183167,0.2705882489681244,0.2705882489681244,0.2862745225429535,0.2705882489681244,275.3000183105469,-97.0,10.0,276.6000061035156,-96.80000305175781,10.90000057220459,277.6000061035156,-98.0,9.40000057220459,277.6000061035156,-98.0,9.40000057220459,273.5,-100.20000457763672,7.0,273.0,-101.0,6.900000095367432,273.3999938964844,-100.0,7.599999904632568,273.3999938964844,-100.0,7.599999904632568,275.3000183105469,-97.0,10.0,275.3000183105469,-97.0,10.0,1.901853921090609,20.246427615892827,1.0,0.006304713804713804,9.666666954755783,8.32,12.84,108
L-1:5,0.3661867918231221,7.962231347282614,4.630273916213707,3.327998688567996,2.212874118018365,0.7744707916495519,1.5137265043513644,1.0715900065142452,5.079279884285402,1.5879767071934456,1468.60009765625,195.85804748535156,961.3533325195313,742.9456176757813,374.1947326660156,1149.307373046875,473.44146728515625,1865.8514404296875,824.5108642578125,808.5750122070313,1394.6280517578125,70.2938232421875,1380.6014404296875,897.659912109375,247.35943603515625,1404.7127685546875,439.0858154296875,1293.5191650390625,803.2924194335938,917.5501708984375,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3019607961177826,0.30980393290519714,0.3176470696926117,0.30980393290519714,0.29411765933036804,0.2980392277240753,0.29019609093666077,0.2980392277240753,0.32549020648002625,0.30980393290519714,275.6000061035156,-96.5,9.100000381469727,276.3999938964844,-97.30000305175781,8.800000190734863,276.3999938964844,-97.30000305175781,8.800000190734863,274.0,-98.80000305175781,7.300000190734863,272.8000183105469,-100.4000015258789,6.800000190734863,272.8000183105469,-100.4000015258789,6.800000190734863,272.8999938964844,-100.5,6.900000095367432,272.8999938964844,-100.5,6.900000095367432,274.0,-98.5999984741211,7.800000190734863,274.0,-98.5999984741211,7.800000190734863,5.305730448041416,4.217150129194426,1.0,0.00823179932101094,0.0,0.0,12.47,64
L-1:6,2.422210900888345,2.469433231063311,4.814809521131198,1.1049603291737116,1.647153167124111,2.7488552046804644,3.171163783626221,1.7406659289783817,3.2793948845003804,2.853384840365468,1690.60302734375,49.24385070800781,1451.827880859375,518.3287353515625,402.9453430175781,1892.9412841796875,755.2962036132813,2012.441650390625,1100.8338623046875,699.4361572265625,1494.226318359375,65.95960235595703,1650.06103515625,1146.473876953125,496.1693115234375,1423.8394775390625,648.2623291015625,2241.428955078125,1210.3394775390625,1003.1434326171875,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.3176470696926117,0.3176470696926117,0.30980393290519714,0.2862745225429535,0.29411765933036804,0.3019607961177826,0.2980392277240753,0.29019609093666077,0.2980392277240753,0.32156863808631897,274.5,-98.5999984741211,7.0,274.5,-98.5999984741211,7.0,274.5,-99.9000015258789,6.400000095367432,274.5,-99.9000015258789,6.400000095367432,274.1000061035156,-101.70000457763672,5.300000190734863,269.20001220703125,-103.30000305175781,4.700000286102295,269.70001220703125,-102.9000015258789,4.700000286102295,269.70001220703125,-102.9000015258789,4.700000286102295,272.1000061035156,-100.0999984741211,5.900000095367432,272.1000061035156,-100.0999984741211,5.900000095367432,3.13310482774161,2.802586189803178,1.0,0.007311163101604278,0.6666666865348816,0.0,12.5,108
L-1:7,2.369133488046228,2.9847513915844837,4.315239329158022,4.058685396498398,4.484311718083231,4.193554575856231,3.0655988983049376,3.4355946062106617,2.0873597641173482,0.7814341571087068,1370.919921875,97.27400970458984,1683.162841796875,863.2079467773438,447.4512023925781,1258.78564453125,439.9281005859375,1933.989013671875,1224.829833984375,1093.234375,1783.1187744140625,101.74235534667969,1699.9498291015625,1042.1739501953125,712.173828125,1605.3702392578125,774.3224487304688,1765.658203125,653.7366943359375,782.2951049804688,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30980393290519714,0.30588236451148987,0.30588236451148987,0.2980392277240753,0.3294117748737335,0.30980393290519714,0.3137255012989044,0.3137255012989044,0.3019607961177826,0.3019607961177826,272.20001220703125,-93.20000457763672,10.40000057220459,272.20001220703125,-93.20000457763672,10.40000057220459,272.6000061035156,-94.0999984741211,9.90000057220459,271.3000183105469,-96.70000457763672,8.100000381469727,271.3000183105469,-96.70000457763672,8.100000381469727,270.70001220703125,-97.9000015258789,7.300000190734863,270.70001220703125,-97.9000015258789,7.300000190734863,271.5,-96.4000015258789,7.400000095367432,272.6000061035156,-93.20000457763672,9.199999809265137,270.6000061035156,-95.0,10.300000190734863,7.773840109798377,1.8402228947540542,1.0,0.006529133618059793,4.0000001192092896,0.0,12.23,108
L-1:8,8.89451023820322,0.9391615522973265,8.563920420915675,15.686881169228075,11.264413758944016,8.002689374313178,3.5012278593902018,3.532743467083127,7.893728294205157,12.393575648314945,1241.5992431640625,225.7178955078125,1804.1219482421875,796.8432006835938,941.8384399414063,1611.708984375,515.9528198242188,1954.0614013671875,1550.7855224609375,1023.8577880859375,1441.9259033203125,14.58930492401123,1088.6007080078125,1065.4112548828125,305.4684753417969,1725.9439697265625,423.2801208496094,1333.45703125,1361.2060546875,986.4578247070313,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.30980393290519714,0.3019607961177826,0.3019607961177826,0.30980393290519714,0.29411765933036804,0.30588236451148987,0.3019607961177826,0.2980392277240753,0.3176470696926117,0.30588236451148987,273.1000061035156,-96.30000305175781,9.300000190734863,273.3999938964844,-96.5999984741211,9.100000381469727,273.3999938964844,-96.5999984741211,9.100000381469727,273.1000061035156,-98.0999984741211,8.100000381469727,273.1000061035156,-98.0999984741211,8.100000381469727,272.8999938964844,-99.20000457763672,7.599999904632568,272.8999938964844,-99.20000457763672,7.599999904632568,271.1000061035156,-99.0,6.800000190734863,272.3000183105469,-97.5,7.900000095367432,273.1000061035156,-96.30000305175781,9.300000190734863,1.8391117556438006,12.01709073546969,1.0,0.007353256979241232,2.0000000596046448,6.82,11.74,100
L-1:9,5.0463614315303005,3.7858780154084575,2.7688614542617653,1.369469329320368,5.886876170619632,2.171900412729469,1.9259771448768082,1.7447166583034588,1.3488472017539783,2.214880114362463,1449.9940185546875,2.728806972503662,1663.30224609375,850.1900024414063,7.990157127380371,1491.5596923828125,154.5648193359375,1448.2550048828125,1025.7171630859375,861.90283203125,1169.30859375,356.42022705078125,1194.7825927734375,1038.2662353515625,523.1416625976563,1185.0267333984375,401.9472351074219,1471.2467041015625,945.95166015625,771.0760498046875,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30980393290519714,0.30980393290519714,0.30588236451148987,0.29019609093666077,0.3019607961177826,0.30588236451148987,0.2980392277240753,0.29411765933036804,0.3019607961177826,0.3176470696926117,274.20001220703125,-97.70000457763672,9.0,275.20001220703125,-97.70000457763672,9.40000057220459,275.6000061035156,-98.70000457763672,8.699999809265137,275.6000061035156,-98.70000457763672,8.699999809265137,275.1000061035156,-100.5999984741211,7.599999904632568,270.3999938964844,-102.20000457763672,6.800000190734863,270.6000061035156,-102.0999984741211,6.900000095367432,270.6000061035156,-102.0999984741211,6.900000095367432,271.8999938964844,-99.5,7.800000190734863,274.20001220703125,-97.70000457763672,9.0,4.638842928614389,4.27702887225545,1.0,0.007763233601841196,0.6666666865348816,0.0,15.42,108
L-1:10,6.141212540657719,9.659686010912681,2.2545980692610157,4.7982164734437465,7.909834506618896,7.887097704280448,7.965934110171444,1.801270899203692,2.4244815772081005,9.187114170618432,1824.75830078125,255.06747436523438,844.9111938476563,857.0783081054688,510.56317138671875,1471.06640625,798.8173217773438,1290.53759765625,970.5272827148438,896.00146484375,1541.9847412109375,40.23695755004883,1368.7100830078125,902.2150268554688,462.1893005371094,1700.8316650390625,178.1475067138672,1866.0535888671875,982.82666015625,758.7615966796875,0.30000001192092896,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.3333333432674408,0.3137255012989044,0.30980393290519714,0.29411765933036804,0.29411765933036804,0.29411765933036804,0.3019607961177826,0.2980392277240753,0.27843138575553894,0.2823529541492462,0.29411765933036804,272.8000183105469,-99.5,5.400000095367432,272.8000183105469,-99.5,5.400000095367432,272.8999938964844,-100.0999984741211,5.099999904632568,271.6000061035156,-102.4000015258789,4.200000286102295,270.3000183105469,-104.30000305175781,3.799999952316284,270.3000183105469,-104.30000305175781,3.799999952316284,270.1000061035156,-104.5,3.5,268.5,-103.70000457763672,3.200000047683716,268.5,-103.70000457763672,3.200000047683716,270.8999938964844,-101.0999984741211,4.5,7.924354842301145,8.609696846027356,1.0,0.00692907995618839,0.6666666865348816,0.0,14.46,16
