Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,5.9997550441784595,8.724550718365457,3.558360951544823,7.448653875047569,6.3682863090200055,6.501134494451636,8.785852133418716,1.9663832097706018,9.372751207101162,2.2806979263350153,893.439208984375,178.2025604248047,1909.25634765625,678.8836669921875,212.5852508544922,1952.47412109375,551.5858154296875,1787.364013671875,1180.8516845703125,973.8890991210938,997.1924438476562,168.1089324951172,1113.1656494140625,512.6732788085938,650.5634155273438,1473.4359130859375,316.375,1290.819091796875,1431.859619140625,781.7171630859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.04313725605607033,0.05098039656877518,0.04313725605607033,0.0470588281750679,0.05098039656877518,0.04313725605607033,0.0470588281750679,0.03921568766236305,0.04313725605607033,317.4447937011719,-45.242759704589844,-1.5236541032791138,318.1516418457031,-45.70859909057617,-1.7690132856369019,318.1516418457031,-45.70859909057617,-1.7690132856369019,318.28314208984375,-45.91946029663086,-1.8140974044799805,318.28314208984375,-45.91946029663086,-1.8140974044799805,318.4656066894531,-45.52573776245117,-1.6119263172149658,318.3085632324219,-45.11671829223633,-1.276703119277954,317.92327880859375,-43.934181213378906,-0.20032815635204315,317.92327880859375,-43.934181213378906,-0.20032815635204315,319.8513488769531,-43.79056167602539,0.27187585830688477,5.4889222622022285,15.6623837303686,1.0,0.00908050576184379,4.666666805744171,0.0,16.21,100
L-1:2,5.200523107384576,1.444569679074342,11.224321853261918,13.31428531734832,8.689031763865836,5.910460495947006,1.1648959970506934,1.6939734389284922,2.2601082487753503,1.9124542975124683,1391.5379638671875,93.05256652832031,1138.951416015625,1007.8191528320312,110.4705581665039,1719.23828125,333.8746337890625,1707.3756103515625,1027.387939453125,924.8222045898438,1772.9373779296875,83.36930847167969,1417.8319091796875,1188.7064208984375,262.8659973144531,1412.5966796875,156.40065002441406,1750.1229248046875,1229.5029296875,741.4110107421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.05098039656877518,0.05490196496248245,0.0470588281750679,0.04313725605607033,319.0535583496094,-46.277957916259766,-2.415940046310425,318.74334716796875,-46.27859878540039,-1.9325449466705322,319.1242370605469,-46.659515380859375,-1.6555113792419434,319.1242370605469,-46.659515380859375,-1.6555113792419434,320.6708068847656,-47.86510467529297,-2.5763051509857178,322.5377502441406,-49.40624237060547,-4.452864646911621,322.5377502441406,-49.40624237060547,-4.452864646911621,323.11279296875,-50.5230712890625,-5.42979621887207,318.5588073730469,-46.41948318481445,-2.607661485671997,319.0535583496094,-46.277957916259766,-2.415940046310425,12.808947212901332,11.253887577310403,-1.0,0.008306894447834045,6.333333522081375,0.0,15.56,108
L-1:3,4.134400744880961,2.5885864751416956,0.41119192127616466,0.8976788274486169,6.2939517448625555,6.841587650782265,6.2411947932280105,5.666290216176652,6.571744969246967,1.9531136032306016,1403.6610107421875,96.3155746459961,1305.709228515625,1771.058349609375,367.1034851074219,692.6895141601562,676.9463500976562,1457.36767578125,1336.6851806640625,634.1148071289062,1218.654052734375,165.4027862548828,893.2169189453125,789.3857421875,640.9273681640625,1523.5216064453125,52.546470642089844,1368.32568359375,1322.066162109375,590.912109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.04313725605607033,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.04313725605607033,0.04313725605607033,322.3455505371094,-50.33736801147461,-4.163935661315918,322.6036376953125,-50.545291900634766,-4.211977481842041,322.5101623535156,-50.21516418457031,-4.206793308258057,321.2529296875,-53.23075866699219,-7.034149169921875,321.2529296875,-53.23075866699219,-7.034149169921875,321.34185791015625,-52.15116500854492,-6.551536560058594,321.34185791015625,-52.15116500854492,-6.551536560058594,322.27166748046875,-50.721656799316406,-4.736155986785889,322.27166748046875,-50.721656799316406,-4.736155986785889,322.3455505371094,-50.33736801147461,-4.163935661315918,3.220315428418797,4.28655248265393,1.0,0.00821524064171123,0.6666666865348816,0.0,12.29,44
L-1:4,2.8912071526550434,6.948164903732053,0.9717550064089702,15.691385350997953,12.220018409832267,6.396050125503393,2.6971878392418263,2.8261842765147915,1.5376876682074954,1.4003333117236116,1193.9049072265625,138.43885803222656,1007.6891479492188,490.0207214355469,56.31454086303711,1444.9608154296875,631.834228515625,933.2422485351562,934.34814453125,883.6275024414062,991.718994140625,102.66028594970703,829.9124145507812,494.2264404296875,489.5635070800781,1056.697265625,191.60531616210938,1220.8721923828125,574.6359252929688,450.52410888671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03921568766236305,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.03921568766236305,321.56591796875,-47.29981231689453,-2.3023736476898193,321.56591796875,-47.29981231689453,-2.3023736476898193,321.74688720703125,-47.12309646606445,-1.8368747234344482,322.3287353515625,-47.653831481933594,-1.746392011642456,322.3287353515625,-47.653831481933594,-1.746392011642456,323.2847900390625,-49.078269958496094,-3.013681411743164,323.28521728515625,-50.45598220825195,-4.083557605743408,323.2462463378906,-51.128910064697266,-4.402016639709473,323.2462463378906,-51.128910064697266,-4.402016639709473,321.5645751953125,-47.404945373535156,-2.6375176906585693,1.3776023616673032,9.045536780689579,-1.0,0.010960320417287629,4.0000001192092896,6.42,16.81,100
L-1:5,5.339911219536017,6.899487916504246,0.4403528243688123,7.049413237491573,7.416291905783047,5.592450698111426,2.5619725731379086,4.689128666565907,3.4720390057976536,7.127030127738519,1364.397216796875,44.960391998291016,922.4513549804688,916.0604858398438,113.44123077392578,1771.2703857421875,426.97491455078125,1206.9141845703125,1122.2158203125,715.3133544921875,1015.499755859375,78.33537292480469,585.6402587890625,459.6713562011719,610.0436401367188,1446.2340087890625,532.9359130859375,1232.0035400390625,981.08837890625,893.1924438476562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05098039656877518,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.04313725605607033,0.0470588281750679,0.05098039656877518,319.7563781738281,-48.58106231689453,-0.8726646900177002,319.8182678222656,-47.835899353027344,0.33521053194999695,320.1924743652344,-48.126869201660156,0.7210180759429932,320.1924743652344,-48.126869201660156,0.7210180759429932,321.5570373535156,-50.47754669189453,-0.7849063277244568,322.3687744140625,-53.233787536621094,-3.101008176803589,321.9739685058594,-55.07590866088867,-4.764903545379639,321.59820556640625,-51.32310104370117,-4.372129917144775,321.23663330078125,-51.3615837097168,-4.089771747589111,321.1927490234375,-50.24720764160156,-3.0550971031188965,5.643834527812908,6.621774307615103,-1.0,0.00943939393939394,1.0000000298023224,0.0,18.69,64
L-1:6,8.738524422911528,9.867615456377665,6.723092031909946,3.354806489505675,6.07090525497228,14.55644002913174,2.3432737139827644,4.34241890230819,5.66431640469724,2.205032801739988,2123.716064453125,350.673095703125,1069.568115234375,1034.91015625,477.5751953125,1744.802734375,708.5186767578125,1399.6102294921875,1277.4383544921875,426.074951171875,1640.3846435546875,69.3509521484375,1107.0068359375,425.4520263671875,432.01934814453125,1529.97314453125,571.6655883789062,1241.3427734375,547.157470703125,483.7503662109375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.05098039656877518,319.7673645019531,-49.48945236206055,-5.389296054840088,319.833251953125,-48.67100524902344,-3.94484543800354,319.833251953125,-48.67100524902344,-3.94484543800354,320.3885192871094,-49.42631530761719,-3.593721389770508,320.3885192871094,-49.42631530761719,-3.593721389770508,320.8880310058594,-52.168121337890625,-5.164595603942871,320.78680419921875,-54.08174514770508,-6.797698497772217,320.78680419921875,-54.08174514770508,-6.797698497772217,320.8608093261719,-54.53466796875,-7.681619644165039,320.7298583984375,-53.23366165161133,-6.576505661010742,7.04843338156696,11.023457445106658,-1.0,0.00823562479922904,3.000000089406967,0.0,14.65,108
L-1:7,5.488659089698613,2.2014078870371465,4.845980801830152,6.798760520992695,13.401381768414252,4.387828979884295,1.944847818378871,7.9187486435763725,5.4116968131314644,4.033534509265544,1658.4293212890625,288.3108825683594,1161.2227783203125,887.1032104492188,513.2508544921875,1738.9398193359375,680.169189453125,1401.8685302734375,1158.999755859375,802.239501953125,1257.744384765625,116.3302993774414,1327.921142578125,1110.7303466796875,423.4911804199219,1490.22509765625,313.9849548339844,1096.5762939453125,1106.2347412109375,1020.7316284179688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04313725605607033,0.0470588281750679,0.04313725605607033,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.04313725605607033,0.0470588281750679,320.2161560058594,-52.86288070678711,-4.8860626220703125,320.2161560058594,-52.86288070678711,-4.8860626220703125,320.4267883300781,-52.246551513671875,-4.467051029205322,321.80877685546875,-53.11346435546875,-4.729640960693359,321.80877685546875,-53.11346435546875,-4.729640960693359,320.735595703125,-53.45701599121094,-5.846006393432617,320.4722595214844,-54.078163146972656,-6.242859840393066,320.4722595214844,-54.078163146972656,-6.242859840393066,320.18975830078125,-54.5339241027832,-6.403381824493408,320.3727111816406,-53.95103073120117,-5.719794273376465,5.820225867253358,5.301319413014259,-1.0,0.008591912819042157,4.0000001192092896,0.0,17.12,36
L-1:8,16.714374471626197,7.73010761873044,2.825077595075113,7.152838463658658,6.601772692767664,2.2322449818051564,1.2853443538433953,5.548130701301217,8.809104839357094,15.670511882649606,1202.6102294921875,53.21454620361328,999.6726684570312,587.1265869140625,259.47857666015625,905.8779907226562,618.9678344726562,1039.1666259765625,839.861328125,747.7471313476562,1002.1995239257812,165.32655334472656,604.09716796875,329.12896728515625,282.0639343261719,993.9483032226562,349.0743713378906,874.6559448242188,1019.5443115234375,655.474365234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.04313725605607033,0.04313725605607033,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.0470588281750679,0.04313725605607033,0.0470588281750679,0.0470588281750679,316.48089599609375,-47.05811309814453,-0.24481862783432007,316.02850341796875,-46.79204559326172,0.09670186787843704,316.02850341796875,-46.79204559326172,0.09670186787843704,316.2604675292969,-46.8159294128418,0.20446385443210602,316.6007080078125,-47.20027542114258,-0.10556405037641525,316.6007080078125,-47.20027542114258,-0.10556405037641525,316.7735290527344,-47.3830451965332,-0.982616126537323,316.56475830078125,-47.475467681884766,-0.7632022500038147,316.33355712890625,-47.36029815673828,-0.5743977427482605,316.48089599609375,-47.05811309814453,-0.24481862783432007,3.809304934967472,9.653179026837991,-1.0,0.011326105087572978,8.33333358168602,6.56,15.52,36
L-1:9,6.853393096867803,10.370794826356347,7.174460061636457,4.853397121649555,2.8908090117935616,6.005251178532021,11.865898381546685,14.17556794357782,7.725109426263108,1.6634049723780293,798.4520263671875,184.41029357910156,1356.417236328125,1028.6822509765625,93.091064453125,2011.529541015625,550.30322265625,1906.963623046875,1424.492431640625,1032.4681396484375,1927.3507080078125,265.6653137207031,1004.6690673828125,1017.062255859375,450.64886474609375,1419.5872802734375,102.04163360595703,1283.65966796875,962.1860961914062,800.2012939453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.04313725605607033,0.0470588281750679,319.2911682128906,-48.99209976196289,-1.8030329942703247,319.3377380371094,-49.294151306152344,-1.7545698881149292,319.36566162109375,-49.64636993408203,-2.00225567817688,319.36566162109375,-49.64636993408203,-2.00225567817688,319.10296630859375,-49.54348373413086,-2.3496170043945312,319.10296630859375,-49.54348373413086,-2.3496170043945312,318.60150146484375,-49.09954071044922,-2.0962862968444824,318.60150146484375,-49.09954071044922,-2.0962862968444824,318.78662109375,-48.886802673339844,-1.8127655982971191,318.7000427246094,-48.90386962890625,-1.9944833517074585,5.735219548529256,14.651066998453448,1.0,0.008517316017316017,3.6666667759418488,0.0,15.74,36
L-1:10,1.6016018479352416,3.6933213245594327,5.572370136497114,19.71716295297023,9.492884551080754,3.989652295471856,7.916227522778675,5.897715020277296,9.518122193327393,5.376066603286167,1248.456787109375,308.5300598144531,983.2071533203125,1183.974365234375,82.03764343261719,1040.8011474609375,431.9271240234375,1610.175537109375,1093.4815673828125,1188.6173095703125,1329.641357421875,141.4419708251953,1657.9029541015625,1177.843017578125,68.15507507324219,896.762451171875,412.3874206542969,1175.7647705078125,595.2698364257812,953.9608764648438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0470588281750679,0.0470588281750679,0.05098039656877518,0.0470588281750679,0.05098039656877518,0.05098039656877518,0.0470588281750679,0.04313725605607033,0.0470588281750679,0.04313725605607033,319.2978820800781,-50.06110382080078,-2.288208484649658,319.3850402832031,-50.56557083129883,-3.064629316329956,319.3850402832031,-50.56557083129883,-3.064629316329956,319.80255126953125,-50.952205657958984,-3.2637321949005127,319.80255126953125,-50.952205657958984,-3.2637321949005127,319.71209716796875,-50.89845275878906,-3.248579263687134,319.71209716796875,-50.89845275878906,-3.248579263687134,319.43927001953125,-50.50522994995117,-2.744556427001953,319.4083557128906,-50.18062210083008,-2.392693281173706,319.4083557128906,-50.18062210083008,-2.392693281173706,3.856345011172986,8.76013689394551,1.0,0.009161682615629985,6.666666865348816,0.0,13.13,64
