Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,6.772229602224301,4.670030001565386,1.675225880235289,3.9173835514694173,3.725675290650863,3.375007413595499,1.126091108625647,5.502167609977402,2.051863632879465,1.7891192220731693,973.6557006835938,21.44705581665039,1035.5294189453125,803.3295288085938,3.7568655014038086,781.9842529296875,156.90647888183594,950.0476684570313,204.70120239257813,201.0378875732422,793.9348754882813,102.32292938232422,587.8240966796875,459.6322937011719,301.11505126953125,741.7818603515625,475.8783874511719,1231.4735107421875,997.2816772460938,718.0879516601563,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.29032257199287415,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.29032257199287415,0.25806450843811035,0.25806450843811035,0.25806450843811035,0.29032257199287415,0.29032257199287415,227.34375,-63.8125,-1.0625,227.0625,-61.34375,0.5,226.90625,-61.40625,2.515625,226.828125,-63.6875,0.78125,226.828125,-63.6875,0.796875,227.515625,-61.5625,1.046875,227.5,-63.328125,-0.84375,227.5,-63.328125,-0.828125,227.5,-63.328125,-0.828125,227.34375,-63.8125,-1.0625,6.884702821844176,6.275531154730097,-1.0,0.015571625344352615,3.5,0.0,16.15,36
L-1:2,3.675675789057997,5.152986268844684,2.844388911147482,3.290955892423329,2.6228401727390285,1.8164827362102745,6.38562001470562,4.989750743457037,2.924003758631044,11.9174464098635,1350.5211181640625,384.9004211425781,925.0625,688.0250854492188,265.8478088378906,806.905029296875,333.0068054199219,1327.671142578125,880.2418823242188,763.1846313476563,630.1489868164063,65.4952163696289,1071.9083251953125,796.63427734375,413.68243408203125,980.9368286132813,182.91705322265625,1293.1541748046875,837.7855834960938,521.5286865234375,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.25806450843811035,0.25806450843811035,0.32258063554763794,0.32258063554763794,0.32258063554763794,227.390625,-61.65625,0.5,227.390625,-61.65625,0.5,227.734375,-62.390625,-0.46875,228.09375,-65.453125,-0.265625,228.09375,-65.453125,-0.265625,228.171875,-68.875,-1.171875,227.9375,-61.796875,0.265625,227.0625,-62.15625,0.4375,227.0625,-62.15625,0.4375,227.390625,-61.65625,0.515625,13.860194557575754,6.780567407148091,1.0,0.011417629331993974,2.0,0.0,12.99,36
L-1:3,9.18831079545139,7.3061708856033505,3.0583881817201797,13.107482666421555,20.260970059173488,7.239376195538885,4.426493295839102,5.002969114867123,7.159826201876123,8.032841604856296,1166.9559326171875,100.83029174804688,1400.028076171875,781.38037109375,374.9071960449219,1236.2386474609375,172.13760375976563,90.49327087402344,699.6038818359375,622.7091064453125,843.939697265625,161.76043701171875,746.306396484375,775.778564453125,175.57945251464844,1097.6717529296875,606.32373046875,1570.3590087890625,974.91455078125,492.4000244140625,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.32258063554763794,0.32258063554763794,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,225.28125,-61.640625,-0.21875,225.078125,-60.8125,0.046875,225.078125,-60.8125,0.046875,224.90625,-59.296875,2.734375,225.75,-60.65625,1.703125,225.59375,-62.515625,0.046875,225.59375,-62.515625,0.0625,225.4375,-61.46875,0.65625,225.4375,-61.46875,0.65625,225.28125,-61.640625,-0.21875,11.509942004078876,4.136441212269723,-1.0,0.013176682074987161,7.5,0.0,14.66,4
L-1:4,24.965046915083757,13.973997492795222,2.215439642318502,3.8886568041173764,3.887193626646906,7.433491581612107,29.787635070536986,43.56822880729349,46.795967064766835,33.73877173299822,1036.8765869140625,182.4112548828125,973.375244140625,474.8184814453125,491.3029479980469,1565.987060546875,635.2288818359375,1090.3514404296875,1486.7833251953125,842.7084350585938,1656.17529296875,150.7332000732422,907.7551879882813,1294.5362548828125,104.17736053466797,1061.0401611328125,309.65643310546875,1773.1513671875,880.5333251953125,995.9073486328125,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.32258063554763794,0.19354838132858276,0.29032257199287415,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,224.484375,-61.0,2.5625,224.484375,-61.0,2.5625,224.65625,-59.328125,6.140625,224.5625,-58.375,5.3125,224.46875,-61.15625,1.203125,224.46875,-61.15625,1.203125,224.515625,-62.84375,1.0,224.515625,-62.84375,1.0,224.484375,-61.0,2.609375,224.484375,-61.0,2.609375,9.334966599883417,27.40323550103068,-1.0,0.010446127946127946,19.5,5.16,12.41,100
L-1:5,3.9854123365156564,4.801293626071267,3.2671098373881806,5.179310190277699,16.871199287872347,16.708343688108176,2.953245842279938,1.552110520796625,9.438352179055842,11.895575346199688,949.4095458984375,224.37123107910156,504.53570556640625,349.4902648925781,395.9637451171875,1071.7979736328125,315.5444641113281,436.4956359863281,709.888671875,411.84326171875,851.971923828125,166.8678741455078,525.6729736328125,458.4295959472656,232.3177490234375,723.3986206054688,414.2187805175781,670.3342895507813,947.7633666992188,826.5328979492188,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.25806450843811035,0.25806450843811035,0.29032257199287415,0.29032257199287415,224.125,-61.9375,1.40625,224.125,-61.9375,1.40625,224.125,-61.9375,1.421875,224.0,-61.203125,1.1875,223.984375,-62.40625,0.96875,223.84375,-61.28125,1.453125,224.34375,-63.09375,0.984375,224.265625,-61.890625,0.859375,224.25,-62.9375,0.703125,224.1875,-61.859375,0.578125,4.06715740945839,5.38175757667292,-1.0,0.016478675645342312,7.5,0.0,16.78,64
L-1:6,11.62630862123697,13.68871433831836,1.7803728836204138,2.638546327692184,1.5261730077228102,4.688225681737317,8.840438219823186,3.558170548732624,3.2578186641511384,4.053903043131042,849.7388305664063,153.28207397460938,958.528564453125,508.9437255859375,345.4771728515625,699.7073364257813,327.61322021484375,602.6528930664063,722.1146240234375,539.63330078125,764.711181640625,85.7997817993164,739.546875,463.7660217285156,209.70559692382813,1020.5040893554688,318.7411193847656,979.4679565429688,932.3804321289063,301.9244689941406,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.25806450843811035,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,224.015625,-62.15625,1.625,223.875,-61.53125,1.859375,223.75,-61.921875,1.484375,223.765625,-63.1875,1.609375,223.8125,-62.34375,1.140625,223.984375,-65.296875,1.234375,223.90625,-62.734375,1.328125,224.09375,-65.84375,0.703125,224.015625,-62.15625,1.609375,224.015625,-62.15625,1.625,9.067127312990236,15.454793547066046,-1.0,0.0167831088664422,14.5,0.0,17.09,100
L-1:7,11.711128026556093,5.70596640251897,6.636294890347406,4.253673878912806,2.0573714021032083,2.444554797291077,0.5184735153993535,1.5444999446923906,3.5372031157248536,5.098997229235663,739.4469604492188,222.4869384765625,899.2078857421875,235.3007354736328,117.6479263305664,903.968994140625,3.884855270385742,817.2125854492188,585.7573852539063,524.1329345703125,1169.8817138671875,77.46864318847656,947.644775390625,598.5328369140625,438.6230773925781,1113.87890625,116.03177642822266,838.3977661132813,807.87451171875,186.9978790283203,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.25806450843811035,0.25806450843811035,0.32258063554763794,225.296875,-60.96875,2.8125,225.5625,-62.78125,1.15625,225.78125,-62.53125,2.921875,225.78125,-62.53125,2.96875,225.96875,-61.390625,1.0,225.96875,-61.390625,1.0,226.375,-61.9375,2.6875,226.65625,-63.265625,2.53125,226.859375,-61.703125,3.25,225.296875,-60.96875,2.8125,6.656355655967324,8.694925314682166,1.0,0.013318430203676106,5.0,0.0,15.32,100
L-1:8,3.154849847835261,2.4896082667528487,8.393308660219757,12.408679871102665,9.437599497410849,3.2949736661181594,9.960210749534149,11.955665441045594,10.79089360298538,7.372548559102179,1153.4373779296875,292.9154357910156,522.2998657226563,527.0577392578125,334.6556396484375,612.4721069335938,324.1787109375,1359.69287109375,1290.9776611328125,1202.2742919921875,1009.3824462890625,98.8505630493164,434.9611511230469,337.9681701660156,246.81944274902344,735.0889282226563,44.61869812011719,981.9006958007813,1041.7314453125,723.8472900390625,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.32258063554763794,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.25806450843811035,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,223.734375,-59.328125,6.765625,223.734375,-59.328125,6.765625,223.84375,-60.546875,4.390625,223.84375,-60.546875,4.4375,223.84375,-60.546875,4.4375,223.984375,-60.59375,3.9375,223.421875,-61.015625,4.109375,223.546875,-60.859375,3.875,223.546875,-60.859375,3.875,223.671875,-59.640625,6.671875,13.974772218491264,4.214977191742415,1.0,0.01267724413950829,4.5,3.61,12.67,68
L-1:9,5.312608758452127,2.6264360022112605,4.370568650353971,4.568640848015789,4.289170648370479,3.116229066001046,4.55419482955774,1.3988053974813168,4.269536424286549,4.351713595579485,1531.204345703125,54.98944854736328,864.7551879882813,665.6045532226563,569.641845703125,1042.73876953125,867.4305419921875,1938.8563232421875,1691.2108154296875,1951.8153076171875,1236.344970703125,64.1153564453125,1293.2464599609375,822.267333984375,450.6352844238281,1479.504150390625,411.51739501953125,661.2965087890625,662.7754516601563,437.18682861328125,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.35483869910240173,225.15625,-60.46875,5.03125,225.15625,-60.46875,5.03125,225.15625,-60.46875,5.015625,225.375,-62.390625,0.796875,225.375,-62.390625,0.796875,225.703125,-64.75,0.875,225.703125,-64.75,0.875,225.84375,-62.453125,2.203125,226.109375,-62.09375,3.0,224.984375,-63.375,1.328125,17.818405973185005,8.532792324323115,1.0,0.01015033143939394,5.0,0.0,12.25,68
L-1:10,0.7131323053630323,5.974169946265429,7.610627667803277,6.4094768283357775,5.436337361653144,9.811077245339025,1.8757942977820063,9.887749913157716,14.390445720860248,8.694350470560929,899.8763427734375,102.7002944946289,1699.3697509765625,1118.1966552734375,0.0,0.0,358.1722412109375,856.2374877929688,762.6600952148438,351.6585693359375,1197.781005859375,0.507798433303833,975.1292114257813,298.534423828125,623.5389404296875,1059.2938232421875,347.9875183105469,1557.7803955078125,1103.23046875,656.4055786132813,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.35483869910240173,0.32258063554763794,0.25806450843811035,0.32258063554763794,0.35483869910240173,0.35483869910240173,0.3870967626571655,0.3870967626571655,0.3870967626571655,0.35483869910240173,223.46875,-61.03125,1.25,223.265625,-60.953125,2.046875,224.484375,-65.9375,2.640625,224.140625,-61.0625,2.28125,224.140625,-61.0625,2.28125,223.828125,-60.0,1.875,223.828125,-60.0,1.828125,223.828125,-60.0,1.828125,223.703125,-60.984375,3.703125,223.46875,-61.03125,1.25,24.635830644121434,4.027771537225075,-1.0,0.01478099173553719,1.0,0.0,15.33,68
