Lev/Rou,error1,error2,error3,error,error5,error6,error7,error8,error9,error10,speedx1,speedy1,speedx3,speedy2,speedx3,speedy3,speedx4,speedy4,speedx5,speedy5,speedx6,speedy6,speedx7,speedy7,speedx8,speedy8,speedx9,speedy9,speedx10,speedy10,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,events1,events2,events3,events4,events5,events6,events7,events8,events9,events10,orix1,oriy1,oriz1,orix2,oriy2,oriz2,orix3,oriy3,oriz3,orix4,oriy4,oriz4,orix5,oriy5,oriz5,orix6,oriy6,oriz6,orix7,oriy7,oriz7,orix8,oriy8,oriz8,orix9,oriy9,oriz9,orix10,oriy10,oriz10,eStart,eCenter,direction,timediff,eRadious,reactDiff,tTime,Constrain
L-1:1,10.763764794162663,3.1072059799479863,5.963414418230449,2.404063954081375,2.1733100950085795,4.075648338067813,1.5711287975226318,3.4897955092298902,7.163238260170973,11.50115103741806,683.2348022460938,239.82867431640625,1495.5970458984375,745.3121948242188,61.73246383666992,841.5521240234375,252.36355590820313,316.8099670410156,577.6351318359375,498.109130859375,413.9236145019531,145.51727294921875,332.9456787109375,351.5855712890625,144.60646057128906,692.5028686523438,303.9878234863281,1667.129638671875,634.246337890625,234.4815673828125,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.35483869910240173,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.29032257199287415,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,221.359375,-52.421875,3.125,221.359375,-52.421875,3.125,221.25,-51.96875,3.03125,221.25,-51.96875,3.046875,221.640625,-52.828125,3.90625,221.59375,-52.515625,4.03125,221.421875,-51.484375,2.921875,221.421875,-51.484375,2.9375,221.390625,-54.359375,2.171875,221.453125,-55.6875,1.859375,13.310610530902919,14.944418553063771,-1.0,0.01609340354767184,6.0,0.0,16.59,100
L-1:2,2.413725968442108,4.265837287877518,2.731871492401919,11.564527433801148,12.578641547720176,9.944082542792655,5.6414673081557405,6.97056740470087,4.5316011033015915,5.749546141364819,1026.6611328125,70.64962768554688,1140.7281494140625,1014.185791015625,68.28544616699219,713.406982421875,434.0780944824219,907.7026977539063,852.1685791015625,809.2935180664063,1611.8582763671875,22.815731048583984,757.6148071289063,526.3890380859375,573.5699462890625,1530.9757080078125,335.12127685546875,1526.130126953125,604.6134643554688,401.04010009765625,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.29032257199287415,0.29032257199287415,0.25806450843811035,0.25806450843811035,0.32258063554763794,224.8125,-55.15625,0.78125,225.078125,-56.5,1.15625,225.21875,-54.890625,1.28125,225.21875,-54.890625,1.328125,225.46875,-54.46875,0.65625,225.46875,-54.46875,0.65625,225.796875,-60.984375,0.921875,221.78125,-56.0,1.1875,221.78125,-56.0,1.1875,224.609375,-55.09375,2.46875,12.597896892668972,10.899934634651999,1.0,0.011414386584289496,7.0,0.0,14.78,68
L-1:3,8.681638436604128,1.8151605737761172,9.294059026840229,10.677650253501827,14.400789692795419,11.715109777156844,11.511082838152396,2.7975048212367444,12.367939178156425,10.439700909696919,887.3677978515625,133.97268676757813,985.60888671875,819.579833984375,127.09925079345703,879.9381713867188,171.965576171875,777.3303833007813,850.4869384765625,411.0815734863281,1151.1505126953125,215.97854614257813,827.412841796875,671.5323486328125,626.1620483398438,908.4901733398438,107.04177856445313,1497.970458984375,1198.5704345703125,646.661376953125,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.29032257199287415,0.25806450843811035,0.25806450843811035,0.25806450843811035,0.29032257199287415,0.32258063554763794,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.32258063554763794,223.921875,-56.734375,2.203125,224.734375,-54.1875,4.828125,224.625,-55.875,4.03125,224.625,-55.875,4.046875,224.625,-55.875,4.046875,224.40625,-55.046875,2.9375,224.40625,-55.046875,2.9375,224.265625,-56.265625,2.8125,224.265625,-56.265625,2.8125,224.078125,-55.90625,2.515625,10.905790138421093,14.747893507376848,-1.0,0.013068181818181817,7.5,0.0,12.65,32
L-1:4,4.543878753313186,2.8879447134189657,1.8804495397667444,2.5495457621444237,2.4740043761387414,5.842433228112775,12.448096574300616,15.690681388965245,12.436223309956482,10.048155771538465,671.4053955078125,321.9638977050781,1152.8448486328125,826.7999267578125,580.5126953125,1297.3228759765625,228.89990234375,1714.887939453125,1134.814697265625,447.46710205078125,1257.2694091796875,137.9708251953125,569.6898193359375,819.8235473632813,153.92295837402344,1065.67626953125,211.67788696289063,761.3579711914063,912.3694458007813,913.4634399414063,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.29032257199287415,0.25806450843811035,0.25806450843811035,0.29032257199287415,0.32258063554763794,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.32258063554763794,221.71875,-54.109375,3.5625,221.890625,-54.1875,3.734375,221.78125,-54.15625,2.9375,221.78125,-54.15625,2.9375,221.8125,-56.21875,1.890625,221.8125,-56.21875,1.890625,221.8125,-56.21875,1.90625,221.765625,-54.09375,3.375,221.765625,-54.09375,3.375,221.765625,-54.09375,3.375,10.131736199864713,13.127175459178007,-1.0,0.014505347593582886,6.5,4.0,13.95,108
L-1:5,7.286640317215128,3.497529247725677,2.1577628001659774,1.4748727211485755,4.264629887263972,3.4148260099002683,3.127482998781485,9.348813427056719,16.561774747463904,13.413454627349463,853.8013305664063,66.44747161865234,458.48419189453125,325.9529113769531,330.0320739746094,974.462890625,370.4577941894531,601.87646484375,644.8770751953125,294.876220703125,1045.156494140625,102.55274200439453,577.723876953125,463.0806579589844,71.5660400390625,473.70904541015625,318.51922607421875,1315.0050048828125,596.8460693359375,559.1513671875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.29032257199287415,225.21875,-58.65625,0.546875,225.21875,-58.65625,0.546875,225.328125,-57.328125,1.078125,225.328125,-57.328125,1.09375,225.375,-55.921875,1.5,224.5,-57.5,0.875,224.5,-57.5,0.875,224.859375,-59.78125,0.5,224.859375,-59.78125,0.5,224.984375,-57.015625,0.78125,11.890936433950039,8.87483919725003,-1.0,0.016930282555282554,8.5,0.0,15.75,108
L-1:6,15.332517767684351,21.937171098434906,12.970987529487163,8.36554534802009,0.9220948725979863,2.782512854465781,1.579910016377734,4.152590547646309,3.8416627087376765,13.812403638967657,610.277587890625,15.594998359680176,828.5769653320313,522.0560913085938,348.0611572265625,776.3607177734375,160.45803833007813,523.0018310546875,981.5767822265625,1225.9989013671875,1427.294189453125,180.30812072753906,685.2127075195313,437.1067199707031,339.343017578125,2095.309814453125,337.3470458984375,13.808767318725586,780.274169921875,408.4640808105469,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.32258063554763794,224.46875,-53.6875,2.25,224.296875,-52.6875,2.265625,224.125,-52.640625,2.0,223.90625,-51.453125,1.9375,225.09375,-59.359375,1.1875,224.890625,-54.234375,0.625,224.578125,-51.5625,1.671875,224.578125,-51.5625,1.671875,224.578125,-51.5625,1.6875,224.46875,-53.6875,2.25,10.0543762780291,11.727862029012684,-1.0,0.016792929292929294,14.0,0.0,19.0,36
L-1:7,10.470049132742394,1.1057671006615544,3.9347865187687883,1.4866930039141166,3.2726282822092903,0.7635953357516926,6.439745412858914,16.712480988171055,12.358572672756035,13.103058596407681,1833.8544921875,153.83380126953125,1043.0631103515625,808.5613403320313,652.2385864257813,1832.3861083984375,422.2477722167969,532.234619140625,610.3401489257813,580.59033203125,642.02294921875,185.373291015625,422.08258056640625,330.4766540527344,12.378131866455078,719.7625732421875,386.1033020019531,144.85943603515625,1409.7271728515625,865.1876220703125,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.25806450843811035,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.32258063554763794,0.32258063554763794,0.25806450843811035,0.25806450843811035,225.015625,-54.8125,1.515625,225.015625,-54.8125,1.515625,225.015625,-54.8125,1.515625,225.046875,-57.296875,0.9375,224.828125,-53.765625,1.34375,224.734375,-55.59375,0.90625,224.734375,-55.59375,0.921875,224.84375,-57.890625,1.109375,225.140625,-56.890625,1.203125,225.140625,-56.890625,1.15625,15.244034456096253,4.8840401354751,-1.0,0.014946438911407064,9.5,0.0,14.75,100
L-1:8,19.78150361953339,21.673734379557015,16.390750510856197,7.986597325717839,16.759683284657857,12.294713614181228,10.591046000937746,15.628228757932419,18.906779345996142,19.095138750811106,1161.7584228515625,56.1861686706543,1017.7236328125,783.3068237304688,332.7735595703125,878.086669921875,430.9964904785156,230.61561584472656,542.6956787109375,348.5936279296875,680.740966796875,49.866493225097656,968.6119995117188,589.779541015625,87.47743225097656,695.6957397460938,293.4680480957031,1434.21923828125,993.7164916992188,805.8557739257813,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.32258063554763794,0.32258063554763794,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.29032257199287415,225.015625,-58.65625,1.03125,225.015625,-58.65625,1.03125,225.015625,-58.65625,1.046875,224.984375,-56.421875,1.28125,224.890625,-55.671875,1.484375,224.90625,-57.09375,1.109375,224.671875,-58.109375,1.40625,224.8125,-57.78125,1.328125,224.8125,-57.78125,1.328125,224.875,-57.375,1.015625,10.19983201854807,15.056488565728726,-1.0,0.013974201474201474,17.5,14.36,16.25,100
L-1:9,1.7173837534329133,3.974334145260077,8.86587517908257,11.974433394858849,1.167438080783335,3.624020094402265,2.1400189832565966,3.6823808482766314,3.774006827274733,6.996020583935518,952.0728149414063,69.84123229980469,770.5274047851563,465.341064453125,125.8419418334961,445.3292236328125,242.55612182617188,2283.10009765625,807.6710205078125,744.2484130859375,986.1530151367188,44.158058166503906,986.209716796875,674.8655395507813,484.76812744140625,2176.341552734375,517.0980834960938,1353.5614013671875,726.0772705078125,348.8525390625,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.35483869910240173,0.32258063554763794,0.32258063554763794,0.32258063554763794,227.015625,-55.3125,0.9375,227.28125,-55.75,0.59375,227.28125,-55.75,0.578125,227.28125,-55.75,0.578125,227.53125,-55.25,1.125,227.8125,-54.75,1.421875,227.8125,-54.75,1.421875,228.125,-56.40625,1.40625,228.3125,-54.09375,2.03125,226.875,-56.859375,1.375,6.269635266837915,9.099041769792287,1.0,0.011911210551106922,5.5,0.0,14.45,100
L-1:10,1.2359053683120518,9.79466465065969,8.180292332943386,7.2261328845209505,3.9620572827954215,1.0656473732206684,6.240688041098373,1.3370570905191448,4.426597656010978,5.149184783474272,1599.8516845703125,247.62596130371094,1045.944580078125,1041.9739990234375,231.79843139648438,1085.5177001953125,208.7786865234375,951.6654663085938,951.8854370117188,1093.724365234375,1231.690185546875,241.75942993164063,881.6638793945313,886.14990234375,316.45361328125,866.1561889648438,189.62313842773438,1704.1793212890625,1060.795166015625,461.3941955566406,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.29032257199287415,0.29032257199287415,0.32258063554763794,0.29032257199287415,0.25806450843811035,0.25806450843811035,0.25806450843811035,0.29032257199287415,0.29032257199287415,0.29032257199287415,222.953125,-56.140625,1.671875,223.0625,-56.0625,1.09375,223.0625,-56.0625,1.09375,223.15625,-55.671875,2.03125,222.734375,-53.25,1.828125,222.734375,-53.25,1.828125,222.828125,-55.71875,1.859375,222.828125,-55.71875,1.859375,222.828125,-55.71875,1.875,222.953125,-56.140625,1.671875,18.282928997178566,4.444316423021278,-1.0,0.011780535415504742,4.0,0.0,12.07,0
L-1:11,16.226867442252807,2.9116195342212428,5.8872851368783925,16.313339042824243,14.02639069066464,13.838428487778396,13.617730604665553,11.05947089147806,12.714749217231212,13.32983644657679,877.4651489257813,35.91973114013672,1388.245849609375,991.4305419921875,131.84518432617188,250.1778564453125,485.0814514160156,1150.7080078125,1079.8673095703125,768.1913452148438,741.711181640625,3.839057445526123,709.6412963867188,640.5905151367188,153.29103088378906,711.6978149414063,499.50299072265625,1519.673583984375,719.1593627929688,160.46075439453125,0.48235297203063965,0.48235297203063965,0.48235297203063965,0.48235297203063965,0.48235297203063965,0.48235297203063965,0.48235297203063965,0.48235297203063965,0.48235297203063965,0.48235297203063965,0.32258063554763794,0.19354838132858276,0.25806450843811035,0.25806450843811035,0.29032257199287415,0.32258063554763794,0.32258063554763794,0.35483869910240173,0.35483869910240173,0.32258063554763794,227.390625,-55.09375,2.109375,228.96875,-55.15625,2.890625,226.828125,-54.71875,2.03125,228.734375,-56.890625,2.28125,228.421875,-55.875,2.21875,228.25,-57.65625,1.15625,228.25,-57.65625,1.15625,227.984375,-55.703125,1.9375,227.984375,-55.703125,1.953125,227.6875,-55.84375,1.46875,13.664980001219039,3.7244306092988753,-1.0,0.01334688995215311,12.5,0.0,15.94,0
L-1:12,37.938930582905854,31.347118676598978,22.63962310793622,3.3911867662198456,2.94331707264678,6.161183863869866,9.258390740915045,2.1122005542881355,11.3759881847906,27.99482768570123,1673.417724609375,44.222755432128906,661.6317138671875,435.6277770996094,858.2298583984375,1154.4000244140625,27.761611938476563,920.3424072265625,607.7617797851563,192.84674072265625,1481.1649169921875,341.0114440917969,691.2470703125,928.3797607421875,17.021780014038086,1487.3861083984375,686.5333862304688,2079.3212890625,1169.66796875,61.75864791870117,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.32258063554763794,0.32258063554763794,0.32258063554763794,0.29032257199287415,0.29032257199287415,0.25806450843811035,0.25806450843811035,0.32258063554763794,0.32258063554763794,0.32258063554763794,224.484375,-57.84375,1.34375,224.484375,-57.84375,1.34375,224.265625,-54.578125,2.109375,224.265625,-54.578125,2.109375,223.765625,-52.375,2.171875,224.546875,-56.5625,1.25,224.546875,-56.5625,1.25,224.46875,-56.421875,1.84375,224.46875,-56.421875,1.859375,224.46875,-56.421875,1.859375,8.753661013533854,26.34590757073068,-1.0,0.011734104046242774,11.5,4.48,12.76,0
L-1:13,3.825538641393379,5.275599448424082,6.632382111835794,5.844232606768398,0.2647034093081147,0.8843997220814802,1.6084251758556596,5.376767465926836,8.691983103076304,10.202413298421028,889.12744140625,162.32188415527344,897.3033447265625,604.715576171875,627.6449584960938,1311.5225830078125,313.4755859375,725.9747924804688,969.0217895507813,468.5802001953125,1013.1329345703125,9.97373104095459,568.6925659179688,655.4861450195313,116.51116943359375,878.0101928710938,510.8782958984375,1429.3280029296875,890.1875,553.4757690429688,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.49803924560546875,0.29032257199287415,0.32258063554763794,0.29032257199287415,0.29032257199287415,0.29032257199287415,0.32258063554763794,0.32258063554763794,0.29032257199287415,0.29032257199287415,0.29032257199287415,221.59375,-55.5625,1.40625,221.796875,-57.53125,1.0,221.796875,-57.53125,1.0,221.984375,-56.65625,1.875,221.921875,-53.21875,1.546875,221.921875,-53.21875,1.5625,221.921875,-53.21875,1.5625,221.5,-53.6875,2.0,221.5,-53.6875,1.953125,221.5,-53.6875,1.953125,11.150447492867183,6.962194898444635,-1.0,0.01221625344352617,0.0,0.0,12.67,0
